[00:00:00.109 --> 00:00:00.669]  Network.
[01:24:23.857 --> 01:24:25.238]  Said the joker to the thief.
[01:24:25.298 --> 01:24:26.779]  Said the joker to the thief.
[01:24:26.879 --> 01:24:28.821]  There's too much confusion.
[01:24:29.541 --> 01:24:31.042]  There's too much confusion.
[01:24:31.202 --> 01:24:33.484]  I can't get no relief.
[01:24:33.924 --> 01:24:37.006]  I can't get no relief.
[01:24:37.066 --> 01:24:41.109]  Businessmen here, drink my wine.
[01:24:41.389 --> 01:24:46.552]  Climb and dig my earth.
[01:24:46.593 --> 01:24:48.794]  None will level on the
[01:24:50.779 --> 01:24:55.781]  You want to talk about what you think is going on with the Malaysian airliner?
[01:24:55.841 --> 01:24:56.461]  I know you do.
[01:24:56.562 --> 01:24:58.362]  I know listeners want to hear what you have to say.
[01:24:59.883 --> 01:25:03.925]  For the open borders or other issues, the phones are wide open.
[01:25:03.945 --> 01:25:05.385]  800-259-9231.
[01:25:05.405 --> 01:25:09.647]  Let's take three or four calls right now in this short second.
[01:25:09.667 --> 01:25:10.308]  Let's just do it.
[01:25:10.968 --> 01:25:12.529]  Brian in Georgia.
[01:25:12.569 --> 01:25:14.990]  You're on the air on the missing airplane.
[01:25:15.010 --> 01:25:15.850]  Well, I don't think it's missing.
[01:25:15.910 --> 01:25:16.550]  It's on the ground.
[01:25:16.910 --> 01:25:17.371]  Go ahead.
[01:25:17.391 --> 01:25:17.911]  You're on the air.
[01:25:19.133 --> 01:25:19.753]  Oh, hey, Alex.
[01:25:20.233 --> 01:25:20.614]  Hey, go ahead.
[01:25:20.874 --> 01:25:22.254]  I was listening to you on the internet.
[01:25:22.274 --> 01:25:22.514]  Sorry.
[01:25:23.655 --> 01:25:27.356]  Yeah, my thought was, remember that missing plane from Malaysia?
[01:25:27.676 --> 01:25:27.916]  Yes.
[01:25:30.537 --> 01:25:31.777]  I think it kind of ties in.
[01:25:33.018 --> 01:25:33.578]  It was weird.
[01:25:33.678 --> 01:25:35.699]  My wife and I were driving back from Orlando.
[01:25:36.619 --> 01:25:47.943]  We heard it on the news, and we look at each other, and she doesn't like your news like I do, but it was just very ironic that it's a Malaysia airplane
[01:25:49.142 --> 01:25:49.602]  Once again.
[01:25:50.623 --> 01:25:56.967]  Well, I've got to say that that whole thing was very suspicious and doesn't add up, but we're supposed to not question that or we're bad.
[01:25:57.467 --> 01:26:00.709]  We're not supposed to question Obamacare doubling, crippling prices or we're bad.
[01:26:01.129 --> 01:26:03.811]  We're not supposed to question that all the taxes in it or we're bad.
[01:26:03.831 --> 01:26:05.772]  We're just supposed to do what we're told.
[01:26:05.792 --> 01:26:08.633]  That's what a good citizen does is get screwed over.
[01:26:09.594 --> 01:26:12.255]  And yeah, it's the same make and model and the same airline.
[01:26:12.295 --> 01:26:17.879]  And then Operation Northwood said they would have one airplane launch with the CIA on board
[01:26:18.840 --> 01:26:26.747]  It would land, have another identical airplane get blown up, and that's how Northwood said they would blame the Russians and the Cubans for shooting down an airline.
[01:26:27.207 --> 01:26:28.988]  That's Operation Northwood's ABC News.
[01:26:29.429 --> 01:26:40.458]  But when I mention that, they'll have the Boston Globe say I made it up, and then I'm insane, and have Rydel Yankovic make a joke video like they've done, because they just think they control reality and questioning is insane.
[01:26:40.958 --> 01:26:46.223]  If I walk out and say the sky is blue, I'm a bad person, unless Obama says it's okay for me to say that.
[01:26:47.003 --> 01:26:50.645]  And, uh, yes, I agree with you, uh, that the whole thing's very weird.
[01:26:50.685 --> 01:26:54.388]  They've had a hundred attendees heading to Australian AIDS conference.
[01:26:54.408 --> 01:26:56.649]  I mean, who knows if any of this is even true?
[01:26:56.669 --> 01:27:00.451]  Uh, it's all very, very bizarre.
[01:27:00.471 --> 01:27:04.213]  Uh, but Operation Northwood's called for doing something just like this, and then...
[01:27:05.194 --> 01:27:16.502]  A little bit more recently, in 2003, it was declassified in 2006, that Bush and Blair wanted to paint up a plane like a UN plane, shoot it down, and blame it on their enemies to start war.
[01:27:16.822 --> 01:27:17.842]  Saddam in that case.
[01:27:18.503 --> 01:27:19.283]  So thank you, Brian.
[01:27:20.024 --> 01:27:20.564]  Good points.
[01:27:20.624 --> 01:27:22.746]  But again, questioning is bad.
[01:27:24.087 --> 01:27:25.307]  And so we're going to do it again.
[01:27:25.327 --> 01:27:31.031]  I think John from Texas is thinking and looking at things, trying to figure out what's happening.
[01:27:31.451 --> 01:27:33.393]  If you watch a mystery movie,
[01:27:34.266 --> 01:27:35.127]  That's a thought crime.
[01:27:36.188 --> 01:27:37.849]  If you play Clue, it's a thought crime.
[01:27:37.909 --> 01:27:42.112]  You do not think or question when people don't know what's going on.
[01:27:42.493 --> 01:27:46.476]  You receive what the loving government says.
[01:27:47.076 --> 01:27:49.698]  John, you're not about to ask questions here, are you?
[01:27:49.718 --> 01:27:53.101]  I want to ask questions about Vladimir Putin, Alex.
[01:27:53.421 --> 01:27:53.982]  Okay, go ahead.
[01:27:55.217 --> 01:28:01.184]  I see the pictures on the internet that he's in church and he's praying and meeting with church leaders.
[01:28:01.244 --> 01:28:06.010]  But let's face it, to get up high in the KGB, you almost have to be a hardcore communist.
[01:28:06.751 --> 01:28:09.434]  And I still see the Soviet emblems on all the vehicles.
[01:28:09.594 --> 01:28:12.017]  I still see Red Square still named Red Square.
[01:28:12.518 --> 01:28:15.241]  When the Russian troops marched through there, they still got red flags.
[01:28:16.221 --> 01:28:18.143]  And then there's the Comer River Truck Factory.
[01:28:18.343 --> 01:28:23.168]  It was built by, financed by David Rockefeller and built by the Ford Motor Company.
[01:28:23.188 --> 01:28:31.656]  A truck factory that's 36 miles long, capable of building... That was used to arm the North, that was used to give trucks to the North Vietnamese for the Ho Chi Minh Trail.
[01:28:32.737 --> 01:28:34.959]  It's capable of building 250,000 military vehicles a year.
[01:28:37.176 --> 01:28:37.436]  I know.
[01:28:37.516 --> 01:28:38.737]  Now where's all this stuff going?
[01:28:38.797 --> 01:28:41.558]  I mean, is this just an illusion to put us to sleep?
[01:28:41.578 --> 01:28:51.203]  And like the Soviet defectors said, they came over here in the mid-80s and warned us that they were going to put this big illusion up and when we're back, they're going to smash us with their steel fish, you know?
[01:28:52.604 --> 01:28:54.545]  But it's more sophisticated than that.
[01:28:55.886 --> 01:29:01.609]  Our government, the globalists, the John D. Rockefeller, the Rothschilds, on record,
[01:29:03.814 --> 01:29:11.218]  Put the Bolsheviks in in 1917 and aided them the whole time and gave $25 million to Stalin, who was the main henchman of Lenin.
[01:29:12.398 --> 01:29:19.662]  And our government declassified in 2004, look it up, that our government put Mao Zedong into power.
[01:29:21.103 --> 01:29:26.285]  So, yes, is there big remnants of the Russians and the KGB and all that?
[01:29:26.305 --> 01:29:27.146]  Do I trust Putin?
[01:29:27.186 --> 01:29:27.426]  No.
[01:29:28.586 --> 01:29:33.409]  The point is, is that, I'm going to come back and break this down briefly and then let you get a comment, John.
[01:29:35.973 --> 01:29:48.103]  The issue is, the globalists took down the czars to put an evil in, used the Soviet empire to take over parts of the world, then built a police state here to counter it that was also used to take over parts of the world.
[01:29:48.523 --> 01:29:50.425]  I'm gonna explain full spectrum dominance when we come back.
[01:29:51.365 --> 01:29:54.368]  We're on the march, the empire's on the run.
[01:29:55.289 --> 01:29:57.971]  Alex Jones and the GCN Radio Network.
[01:30:02.356 --> 01:30:06.079]  City of Austin tap water versus filtered City of Austin tap water.
[01:30:06.179 --> 01:30:07.340]  I didn't, I taste dirt in it.
[01:30:07.440 --> 01:30:08.521]  God knows what's in this.
[01:30:08.741 --> 01:30:12.824]  These people just sampled City of Austin tap water straight from the faucet.
[01:30:12.984 --> 01:30:18.788]  Next, we had them try a sample of tap water filtered with a ProPure G2.0 filtration system.
[01:30:18.908 --> 01:30:19.889]  That one is better.
[01:30:19.969 --> 01:30:20.929]  Tastes like nothing.
[01:30:21.230 --> 01:30:22.671]  Yep, I know what good water tastes like.
[01:30:22.691 --> 01:30:23.171]  It's good water.
[01:30:23.271 --> 01:30:29.015]  Most tap water contains added substances, like fluoride, chlorine, glyphosate, and many others.
[01:30:29.256 --> 01:30:36.301]  Studies prove that these substances are linked to an assortment of major health issues, including tooth decay, lowered IQ, and even cancer.
[01:30:36.501 --> 01:30:39.003]  It tastes like you're drinking out of the lake when you're drinking tap water.
[01:30:39.203 --> 01:30:47.149]  The ProPure® G2.0 filtration system removes these deadly substances, leaving only fresh-tasting, deliciously clean water.
[01:30:47.269 --> 01:30:48.270]  Okay, this is very tasty.
[01:30:48.290 --> 01:30:49.291]  It's good water.
[01:30:49.491 --> 01:30:49.932]  Refreshing.
[01:30:49.952 --> 01:30:50.412]  It's good!
[01:30:50.572 --> 01:30:54.815]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[01:30:54.855 --> 01:30:57.637]  Most people know that iodine deficiency has been a crisis around the world.
[01:31:13.229 --> 01:31:17.832]  Iodine is key to so many of the body's functions, especially the thyroid.
[01:31:18.232 --> 01:31:20.834]  I discovered a product being developed by Dr. Group.
[01:31:21.134 --> 01:31:26.318]  You now know it as Survival Shield True Nascent Iodine that your body can really absorb.
[01:31:26.598 --> 01:31:33.463]  Then, about a year ago, he said, listen, if you think this is powerful, I'm going to come out with rare earth, deep earth crystals.
[01:31:33.983 --> 01:31:37.725]  And the results that I personally have had have been life changing.
[01:31:38.106 --> 01:31:42.889]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[01:31:43.209 --> 01:31:51.637]  This is innovating and the best part is it helps fund InfoWars.com, the radio show, the TV show, the whole media operation promoting true libertarian ideas.
[01:31:51.857 --> 01:31:55.560]  For a limited time, experience the ancient power of Survival Shield X2.
[01:31:56.101 --> 01:32:01.546]  Take advantage of this unprecedented 30% off super detox special at InfoWarsLive.com.
[01:32:02.026 --> 01:32:03.928]  I've always believed in nutrition and herbs.
[01:32:04.268 --> 01:32:12.197]  Super Male Vitality was developed to activate your body's own natural processes, instead of using synthetic chemicals.
[01:32:12.297 --> 01:32:19.604]  Sourced from powerful organic herbs, harvested around the planet, and then concentrated for maximum potency.
[01:32:19.864 --> 01:32:24.129]  I just received my Male Vitality about three days ago and I must say, that is some good stuff.
[01:32:24.449 --> 01:32:34.653]  After consulting top doctors, nutritionists, pharmacists, and others, we have developed what I believe is the ultimate non-GMO, organic, super male vitality formula.
[01:32:35.073 --> 01:32:41.255]  Super male vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[01:32:41.556 --> 01:32:43.796]  I jump out of bed ready to fight these criminals every day.
[01:32:43.916 --> 01:32:47.778]  I look forward to waking up and taking my super male vitality and getting the day started.
[01:32:47.938 --> 01:32:49.539]  It's not just the super male vitality.
[01:32:49.899 --> 01:32:53.842]  All the products in InfoWarsLife.com are simply amazing.
[01:32:54.062 --> 01:33:01.087]  Visit InfoWarsLife.com today to secure your super male vitality and other powerful products from InfoWarsLife.
[01:33:07.732 --> 01:33:13.256]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[01:33:13.736 --> 01:33:16.298]  You're listening to the Alex Jones Show.
[01:33:21.357 --> 01:33:23.819]  Alright, I'm going to go to a lot of calls, so I'm not going to belabor this point.
[01:33:25.261 --> 01:33:28.023]  But let me explain full-spectrum dominance as simply as I can.
[01:33:29.224 --> 01:33:32.307]  But it's full-spectrum, so it's very complex, but also very simple.
[01:33:33.428 --> 01:33:45.779]  If you are global financial combines that for 500 years on record are longer with the black nobility of Venice, the Venetians,
[01:33:46.684 --> 01:33:48.285]  This is on record mainline history.
[01:33:48.526 --> 01:33:52.589]  What I'm telling you is known by historical and economic scholars.
[01:33:53.289 --> 01:33:54.671]  This is not my view of things.
[01:33:54.711 --> 01:33:57.013]  This is prima facie admitted.
[01:33:59.775 --> 01:34:02.717]  Transferred their system to England in the last 500 years.
[01:34:06.140 --> 01:34:10.944]  Napoleon was a competing faction of the very same group.
[01:34:12.005 --> 01:34:12.745]  Out of Corsica.
[01:34:13.486 --> 01:34:13.986]  Out of Italy.
[01:34:14.607 --> 01:34:15.508]  He wasn't even French.
[01:34:17.546 --> 01:34:32.494]  And that was a battle between the two Venetian systems, the two Italian systems, that had the Roman technology of governing and manipulation, between the Britannic forces and the Napoleonic forces.
