[00:00:00.349 --> 00:00:05.552]  Coast-to-coast, direct from Austin.
[01:05:25.160 --> 01:05:40.466]  After consulting top doctors, nutritionists, pharmacists and others, we have developed what I believe is the ultimate non-GMO organic super male vitality formula sourced from powerful organic herbs and then concentrated for maximum
[01:05:40.726 --> 01:05:41.246]  I'm good.
[01:06:10.766 --> 01:06:19.772]  Alex Jones here to tell you about how you can help spread liberty worldwide, also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[01:06:19.852 --> 01:06:27.997]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[01:06:28.257 --> 01:06:32.960]  We have now managed to secure the sought-after beans in a highly customized blend.
[01:06:33.140 --> 01:06:39.845]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[01:06:39.925 --> 01:06:47.010]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[01:06:47.110 --> 01:06:53.994]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[01:06:54.134 --> 01:06:58.097]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[01:06:58.717 --> 01:07:13.604]  Alex Jones here with a message to fellow freedom lovers.
[01:07:13.884 --> 01:07:18.726]  The prognosis for the entire planetary economic system runs from bad to worse.
[01:07:18.886 --> 01:07:26.069]  The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover.
[01:07:26.209 --> 01:07:31.612]  That's why we've assembled the most vital and important preparedness items at InfoWarsShop.com.
[01:07:31.832 --> 01:07:35.514]  These are items that I did research on, that I personally use.
[01:07:35.854 --> 01:07:40.396]  You've got the LifeStraw, so you can turn fetid water into safe water anywhere you go.
[01:07:40.576 --> 01:07:45.819]  The KTOR Hand Crank Generator, to charge up key equipment during power outages or out in the field.
[01:07:46.059 --> 01:07:49.101]  Strategic Relocation 3rd Edition by Joel Skousen.
[01:07:49.281 --> 01:07:51.543]  When Disaster Strikes by Matthew Stein.
[01:07:51.783 --> 01:07:56.367]  Therosafe used by Homeland Security to protect yourself during any radiological event.
[01:07:56.527 --> 01:07:59.010]  Hand-cranked shortwave AM FM radios.
[01:07:59.450 --> 01:08:06.476]  Everything that we've researched and found to be the best is available at Infowarshop.com and your purchase makes our Infowar possible.
[01:08:06.636 --> 01:08:07.697]  We're getting prepared.
[01:08:07.918 --> 01:08:08.338]  Are you?
[01:08:08.578 --> 01:08:09.419]  Infowarshop.com
[01:08:12.045 --> 01:08:17.068]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[01:08:17.449 --> 01:08:19.770]  Because there's a war on for your mind.
[01:08:25.854 --> 01:08:31.038]  The name of the game is controlled by the corporate governing ruling class.
[01:08:32.701 --> 01:08:40.564]  They want to be able to make all the decisions for you, tell you where to live, tell you what to eat, how to live your lives, whose products to buy.
[01:08:41.164 --> 01:08:48.386]  That's what Obamacare is about, is shutting down their competition, shutting down companies that aren't affiliated with the globalist.
[01:08:48.906 --> 01:08:50.727]  The major unions are exempt.
[01:08:52.072 --> 01:09:01.936]  Multi-thousand major companies like McDonald's, Subway and others were given exemptions last year to the Obamacare Act.
[01:09:02.256 --> 01:09:13.000]  They wrote the loopholes to where they can keep their employees for 40 hours, but you, you have to cut them to 30 hours or less, or
[01:09:15.859 --> 01:09:19.786]  It kicks in, you have to pay for the Obamacare, which many businesses just can't do.
[01:09:20.086 --> 01:09:24.333]  Especially now, as making you buy a product is making the price go up.
[01:09:24.754 --> 01:09:27.719]  So I've asked Leanne McAdoo to go out for the nightly news tonight.
[01:09:28.749 --> 01:09:47.153]  And to go to the corner of South Lamar, right where it hits Barton Springs, and you can point right across the street to a McDonald's that was given health care waivers, and to a Texas-based hamburger company that was not given waivers, P. Terry's.
[01:09:47.873 --> 01:09:48.833]  And there's the example.
[01:09:49.133 --> 01:09:49.973]  Now what does that do?
[01:09:50.854 --> 01:09:57.595]  It allows them to pass on the savings they have with the Monsanto, Bill Gates-controlled McDonald's.
[01:09:59.019 --> 01:10:16.407]  into the cost of their food, so that it's a lot less expensive, so that people will choose to eat there and not at P. Terry's, even though P. Terry's is edible, compared to McDonald's, where literally, as Supersize Me shows, the food does not rot, and basically lives in your colon.
[01:10:18.167 --> 01:10:25.731]  And they literally have federal regulations written where they can have ingredients that are in plastic, that are in silicone, in the Chicken McNuggets.
[01:10:26.641 --> 01:10:28.902]  Just like Subway has plastic in their brand.
[01:10:29.162 --> 01:10:31.962]  They claim they're going to take it out, but we haven't seen that happen yet.
[01:10:32.242 --> 01:10:34.303]  This shows who these corporations are.
[01:10:35.023 --> 01:10:36.524]  That's what Obamacare is all about.
[01:10:36.844 --> 01:10:39.724]  Why do you think the big associations were for Obamacare?
[01:10:39.965 --> 01:10:42.125]  Why do you think the Republican leadership helped write it?
[01:10:42.745 --> 01:10:45.806]  Because it's written as a way to shut down all their competition.
[01:10:46.086 --> 01:10:47.847]  But they say a picture tells a thousand words.
[01:10:48.107 --> 01:10:49.067]  What does video do?
[01:10:51.528 --> 01:10:52.868]  With Leanne McAdoo out there.
[01:10:53.559 --> 01:10:57.922]  Illustrating, here I am at P. Terry's, which did not get an Obamacare waiver.
[01:10:57.942 --> 01:11:00.023]  You can look up the list of Obamacare waivers online.
[01:11:00.424 --> 01:11:02.845]  It's over 3,000 last time I checked.
[01:11:02.865 --> 01:11:03.226]  3,000 companies.
[01:11:04.146 --> 01:11:05.947]  Now, the unions have gotten them.
[01:11:06.328 --> 01:11:07.689]  That's tens of millions of people.
[01:11:10.310 --> 01:11:11.091]  Obamacare
[01:11:12.481 --> 01:11:16.326]  Exempted 1,200 plus groups, including Congress.
[01:11:17.027 --> 01:11:18.469]  And that article asks, did they?
[01:11:18.509 --> 01:11:21.833]  And then they spin it, well, they've got to opt into another group.
[01:11:21.853 --> 01:11:25.637]  You know, they play all these games like, it's not illegal when Congress
[01:11:27.247 --> 01:11:30.251]  Has insider trading, like I talked about last hour, because we say so.
[01:11:30.551 --> 01:11:34.777]  It's not illegal when the NSA spies on you, even though it's, on record, it's illegal.
[01:11:35.438 --> 01:11:41.386]  And speaking of that, I want to go to Judge Andrew Napolitano's piece he did from last Friday, and air that in a moment.
[01:11:41.606 --> 01:11:42.607]  But before I do that...
[01:11:43.553 --> 01:11:48.315]  I want to get your take on this, because this is the real form of discrimination.
[01:11:48.996 --> 01:11:59.061]  It's not, oh, I think somebody didn't serve me quick because I'm black, or I think somebody, you know, didn't serve me quick because I'm white, or, you know, you're not for open borders so you're racist.
[01:12:01.042 --> 01:12:09.386]  The very same globalist interests that want open borders that gave us NAFTA and GATT and CAFTA and all the rest of the stuff, the same Jeb Bush now wants open borders.
[01:12:10.151 --> 01:12:12.715]  Because it's good for the globalists, not good for us.
[01:12:12.955 --> 01:12:20.045]  What about the real discrimination of us having to pay trillions in banker bailouts to banks that created fraudulent derivatives?
[01:12:21.238 --> 01:12:23.861]  And they now say that's our debt, your debt, my debt, your children's debt.
[01:12:24.202 --> 01:12:25.343]  That's the total discrimination.
[01:12:25.563 --> 01:12:26.825]  The discrimination of Obamacare.
[01:12:27.245 --> 01:12:28.787]  The discrimination of government.
[01:12:28.807 --> 01:12:31.290]  You try to spy on government, you go to prison for espionage.
[01:12:31.631 --> 01:12:34.194]  But they spy on you illegally, and oh, it's okay.
[01:12:34.374 --> 01:12:35.095]  We're the government.
[01:12:35.255 --> 01:12:36.016]  We're here to help you.
[01:12:36.256 --> 01:12:37.377]  This is a fraud.
[01:12:37.618 --> 01:12:38.599]  This is a scam.
[01:12:38.939 --> 01:12:39.840]  And, quite frankly,
[01:12:40.737 --> 01:12:42.339]  Congress has a 6% approval rating.
[01:12:42.719 --> 01:12:44.842]  More and more of Hollywood is speaking out and going public.
[01:12:45.262 --> 01:12:50.087]  Liberal darling Rob Lowe has gone public saying, I want government out of almost every area of my life.
[01:12:50.508 --> 01:12:53.331]  People are waking up and saying no.
[01:12:53.731 --> 01:12:55.713]  We've just got to have the courage to tell it like it is.
[01:12:56.334 --> 01:13:09.682]  We've just got to have the courage to speak out now and give other people political cover so they can speak out so the system can't persecute and can't prosecute and can't chill and can't hurt and can't demonize all of us.
[01:13:10.062 --> 01:13:11.763]  We all start going public.
[01:13:12.023 --> 01:13:13.464]  We all start speaking out.
[01:13:13.744 --> 01:13:15.325]  We all start doing the right thing.
[01:13:15.545 --> 01:13:17.226]  We all stop being intimidated.
[01:13:17.826 --> 01:13:21.028]  And the whole system of tyranny will come down like a house of cards.
[01:13:21.448 --> 01:13:24.310]  Some people say, yeah, but then that might bring down the whole system itself.
[01:13:26.049 --> 01:13:36.774]  The globalists have codified their system of tyranny in Agenda 21, so that when they implode things, they rationalize that as a political system of domestication and dependency.
[01:13:38.335 --> 01:13:39.956]  Cloward and Pivot, Agenda 21.
[01:13:40.316 --> 01:13:44.478]  This is a real strategy, and you can see it taking place, so we don't have a choice!
[01:13:44.938 --> 01:13:51.401]  We're cornered, they're turning off our life support, they're shutting down our society, they want to have a game of chicken, let's have it!
[01:13:53.021 --> 01:13:55.303]  Because they've got a score to settle with America.
[01:13:55.343 --> 01:13:58.406]  The globalists hate this country more than they hate anybody else.
[01:13:59.447 --> 01:14:01.368]  They want to have their way with us.
[01:14:01.508 --> 01:14:04.191]  That's the main goal is running our lives.
[01:14:04.671 --> 01:14:05.932]  I mean, what's wrong with this headline?
[01:14:09.695 --> 01:14:10.476]  Look at this headline.
[01:14:10.556 --> 01:14:13.358]  Students fed up with Michelle Obama's school lunch overhaul.
[01:14:14.039 --> 01:14:14.840]  Menu item.
[01:14:15.460 --> 01:14:16.801]  Snapshots spell out why.
[01:14:16.821 --> 01:14:19.484]  And we'll show you some of those snapshots from the blaze.
[01:14:21.328 --> 01:14:34.275]  And it goes through the fact that a million public school students said no way to their cafeteria menus after Michelle Obama's anti-obesity campaign led to anger and frustration over food that apparently many American kids didn't want.
[01:14:34.755 --> 01:14:42.559]  But for those without other options, all that's left is the power of social media and cell phone cameras when they simply can't take another bite.
[01:14:45.708 --> 01:14:52.914]  Folks, this is worse than prison food, and school food's never been perfect, but this is worse than prison food.
[01:14:54.075 --> 01:14:57.578]  Because the parents put up with it, ladies and gentlemen.
[01:14:59.919 --> 01:15:01.120]  The parents put up with it.
[01:15:01.421 --> 01:15:03.883]  When I was a child, it was pretty good school lunch at public school.
[01:15:04.783 --> 01:15:07.646]  When my mother was a child, it was like a nice restaurant.
[01:15:08.294 --> 01:15:14.996]  The chicken fried steaks, the fish, because the parents locally ran the school, they paid for it, and it was high quality.
[01:15:15.356 --> 01:15:21.138]  You let government get involved, you let the federal government get involved, it has gotten worse and worse until now.
[01:15:22.139 --> 01:15:25.520]  School lunch food is literally hell on earth.
[01:15:25.860 --> 01:15:29.481]  My children are homeschooled, but they went to a homeschool academy a few years ago.
[01:15:29.941 --> 01:15:31.302]  Very nice school, nice people.
[01:15:32.102 --> 01:15:32.743]  Three days a week.
[01:15:33.503 --> 01:15:39.729]  And they brought me the literature home, and I went to the school, and I saw what was at lunch, if you didn't pack a lunch, which we did.
[01:15:40.630 --> 01:15:46.516]  And it was Michelle Obama, every week, lecturing them on what to eat in handouts, because the school was accredited.
