[00:00:00.350 --> 00:00:01.654]  Direct from Austin.
[01:04:45.275 --> 01:04:48.797]  The government is psyching itself up for a civil war with us.
[01:04:49.897 --> 01:04:50.898]  And so, uh,
[01:04:52.762 --> 01:04:54.704]  You understand they were playing dumb with you, did you know that?
[01:04:55.485 --> 01:04:56.626]  Oh yes sir, I understand.
[01:04:56.646 --> 01:04:59.189]  Tell you what, I got Bundy coming up and I want you to finish your story.
[01:04:59.790 --> 01:05:04.575]  He's only on I think for one segment or so, so I'm gonna come back to you, then Daniel, John, Mike, Darren and others.
[01:05:06.823 --> 01:05:10.144]  The globalist social engineers are not just targeting us with propaganda.
[01:05:10.244 --> 01:05:12.485]  They are manipulating our genetics.
[01:05:12.665 --> 01:05:20.967]  We are being targeted at every level by estrogen mimickers that lower our testosterone and other hormones and natural compounds that the body needs.
[01:05:21.267 --> 01:05:31.450]  After consulting top doctors, nutritionists, pharmacists and others, we have developed what I believe is the ultimate, non-GMO, organic, super male vitality formula.
[01:05:31.810 --> 01:05:45.215]  Sourced from powerful organic herbs and then concentrated for maximum potency, Super Mel Vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[01:05:45.615 --> 01:05:51.717]  Super Mel Vitality by InfoWarsLife is so powerful that I only take half the recommended dose.
[01:05:51.957 --> 01:06:00.580]  For a limited time, we are offering 15% off Super Mel Vitality at InfoWarsLife.com to introduce you to this powerful supplement.
[01:06:00.700 --> 01:06:04.682]  Visit Infowarslife.com today to secure your super male vitality.
[01:06:04.842 --> 01:06:11.005]  Infowarslife.com A chemical spill contaminating the water supply in nine West Virginia counties.
[01:06:11.045 --> 01:06:15.207]  This year alone, over 300,000 people in West Virginia had their drinking water contaminated.
[01:06:15.407 --> 01:06:18.849]  What are the health effects of having these drugs in our drinking water?
[01:06:19.069 --> 01:06:21.950]  It's forced medical treatment without the consent of residents.
[01:06:22.110 --> 01:06:29.454]  My friends, water filtration is one of the most basic actions you can take to protect you and your family from the harmful toxins and heavy metals in your tap water.
[01:06:29.674 --> 01:06:33.335]  On average, the county says it sprays with glyphosate at least once a week.
[01:06:33.595 --> 01:06:37.857]  Few filters cut out the glyphosate that is found in water supplies worldwide.
[01:06:38.017 --> 01:06:43.938]  Remove pesticides, herbicides, chloramines, hydrofluorosilicic acid, sodium hexafluorosilicate.
[01:06:43.978 --> 01:06:47.760]  Fluoride is in tea, it's in coffee, it's in water, it's in bread, it's in toothpaste.
[01:06:47.920 --> 01:06:50.461]  It is our responsibility to protect our families.
[01:06:50.661 --> 01:06:52.001]  The establishment's not going to do it.
[01:06:52.161 --> 01:06:53.381]  It's time to take action.
[01:06:53.521 --> 01:06:55.182]  It's time to filter our water.
[01:06:55.342 --> 01:07:02.508]  Visit InfoWarsThor.com and use promo code WATER to get 10% off their entire family of incredible products.
[01:07:02.728 --> 01:07:06.592]  Or call toll free 888-253-3139.
[01:07:07.032 --> 01:07:14.158]  From the water table, to our soils, to the atmosphere itself, our world is becoming more and more toxic each and every day.
[01:07:14.278 --> 01:07:16.460]  But it's not just the air outside that's toxic.
[01:07:16.641 --> 01:07:21.846]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[01:07:22.006 --> 01:07:27.132]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[01:07:27.252 --> 01:07:30.335]  There are more than 42 million smokers in the United States.
[01:07:30.615 --> 01:07:34.558]  Well over a thousand types of mold and mildew linked to numerous conditions.
[01:07:34.758 --> 01:07:39.081]  And don't forget the fact that six million Americans live with pets they're allergic to as well.
[01:07:39.161 --> 01:07:49.308]  When I began to research these statistics it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[01:07:49.508 --> 01:07:53.871]  Made with organic and wild cultivated herbs and manufactured in the USA.
[01:07:53.991 --> 01:08:00.435]  The new InfoWars Life Lung Cleanse is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[01:08:00.575 --> 01:08:06.863]  Now available exclusively at Infowarslife.com or by calling toll-free 888-253-3139.
[01:08:09.666 --> 01:08:15.693]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:08:16.294 --> 01:08:19.277]  It's Alex Jones and the GCN Radio Network.
[01:08:38.456 --> 01:08:48.463]  Ladies and gentlemen, we are back live on this Monday edition, and joining us from Southern Nevada is Cliven Bundy.
[01:08:48.943 --> 01:08:58.409]  It's now a giant international story worldwide, something right out of an old western, something right out of the history books, 1775, 1776, something right out of the end of V for Vendetta.
[01:09:01.929 --> 01:09:11.674]  When the army is out there with their guns around Parliament aiming them at the people saying we're going to shoot you if you cross the line and the people crossed the line.
[01:09:12.195 --> 01:09:24.441]  Harry Reid last week came out and said that Bundy and his supporters are nothing more than domestic terrorists and they were planning to use women and children at the front to be killed with no evidence of that.
[01:09:25.262 --> 01:09:28.103]  So he's just demonizing people now.
[01:09:28.223 --> 01:09:29.384]  But here's the issue.
[01:09:30.674 --> 01:09:31.855]  This is why this is so important.
[01:09:32.796 --> 01:09:34.778]  Mr. Bundy's joining us here in just a moment.
[01:09:36.079 --> 01:09:40.423]  This is the demonization of civil disobedience and property rights.
[01:09:42.545 --> 01:09:44.988]  This is the demonization of that as terrorism.
[01:09:45.548 --> 01:09:50.853]  This is what I've been telling you now for year after year, behind the scenes, the feds
[01:09:51.980 --> 01:10:05.272]  And the same thing's been happening in Europe, have been training that anyone who doesn't turn their property over, turn their children over, anyone who doesn't comply with forced inoculation, anyone that doesn't comply with martial law is a terrorist.
[01:10:05.792 --> 01:10:07.854]  And they train in all the manuals that we've broken.
[01:10:09.856 --> 01:10:11.638]  Remember back when people couldn't believe those manuals?
[01:10:12.038 --> 01:10:13.800]  And now it's so mainstream, it's passé.
[01:10:15.575 --> 01:10:28.781]  That the military, the police, they're all training to take on gun owners, returning veterans, veterans, Christians, conservatives, libertarians, constitutionalists.
[01:10:29.929 --> 01:10:33.951]  I mean, they list Ron Paul, Alex Jones, Aaron Russo.
[01:10:34.551 --> 01:10:39.193]  They list films like America Freedom to Fascism that exposes the IRS.
[01:10:39.913 --> 01:10:49.417]  This is a totally illegitimate out-of-control system, violating laws on every front, exempting themselves from the laws they put on us, declaration of independence on steroids.
[01:10:50.417 --> 01:10:54.279]  The train of abuses that are listed there is nothing compared to what we're going through.
[01:10:55.680 --> 01:10:58.961]  And Bundy and these guys stand up peacefully.
[01:11:00.458 --> 01:11:07.261]  The feds have killed a bunch of the cattle, they found mass graves, shot the bulls, they admit they shot the bulls now, saying they were quote, dangerous.
[01:11:08.762 --> 01:11:13.424]  That's to destroy his herd of animals that have learned to live out there for hundreds of years, over a hundred years.
[01:11:14.044 --> 01:11:16.105]  This is a total takeover, destroying the water tanks.
[01:11:16.465 --> 01:11:26.109]  The federal judge, we're going to show this article from last Friday, Kit Daniels, ruled last year that the BLM is quote, in a criminal conspiracy in Nevada, and ordered them out of his jurisdiction.
[01:11:26.129 --> 01:11:27.310]  He said, I want new BLM.
[01:11:27.870 --> 01:11:28.410]  Never happened.
[01:11:28.710 --> 01:11:29.611]  That was Judge Jones.
[01:11:31.676 --> 01:11:33.498]  Well, I'll find that article and put that on screen.
[01:11:33.878 --> 01:11:42.525]  So, with this backdrop of lawlessness, there's the headline, Federal Judge BLM Engage in a Criminal Conspiracy Against Ranchers.
[01:11:43.025 --> 01:11:45.988]  Court Opinion Exposes BLM's True Intent Against Cliven Bundy.
[01:11:47.264 --> 01:12:01.914]  For 20 years, the Bureau of Land Management engaged in a literal, intentional conspiracy, close quote, against Nevada ranchers to force them out of business, according to a federal judge whose court opinion exposes the BLM's true intent against rancher Cliven Bundy.
[01:12:02.975 --> 01:12:04.656]  And then it goes into the federal judge Jones.
[01:12:06.157 --> 01:12:10.360]  And the court ruling even deals with other ranchers in his area forced out.
[01:12:11.361 --> 01:12:14.663]  You can build a coal power plant, but we will raise taxes to bankrupt you.
[01:12:16.175 --> 01:12:17.277]  We will bankrupt you.
[01:12:17.297 --> 01:12:18.600]  Now who does that bankrupt?
[01:12:18.920 --> 01:12:19.101]  Us.
[01:12:19.642 --> 01:12:21.626]  This is total mafia takeover.
[01:12:22.147 --> 01:12:23.409]  That's the rest of the story.
[01:12:23.710 --> 01:12:25.072]  But what does the system prey on?
[01:12:26.530 --> 01:12:33.275]  The ignorance that if you had it when it was a territory, the grazing and forage rights, it's allodial.
[01:12:33.675 --> 01:12:36.937]  It's passed on, it's inviolate, that's land rights.
[01:12:37.618 --> 01:12:42.481]  Under the UN, UNESCO, worldwide, they don't recognize even puritile.
[01:12:43.142 --> 01:12:49.947]  Total ownership of mineral, surface, water, forage, entrance,
[01:12:54.858 --> 01:12:58.361]  This is a total annihilation of property rights that we're facing.
[01:12:59.681 --> 01:13:01.183]  And Cliven Bundy is joining us.
[01:13:01.523 --> 01:13:11.130]  I want to play this clip of Harry Reid saying he is a domestic terrorist and now they're beating war drums for congressional hearings and I guess a federal expeditionary force.
[01:13:11.730 --> 01:13:13.171]  I guess they're going to use the army next.
[01:13:15.033 --> 01:13:16.534]  I mean, we got to say no at some point.
[01:13:17.094 --> 01:13:18.275]  All we've been doing is laying down.
[01:13:18.295 --> 01:13:19.136]  Where's that been getting us?
[01:13:19.816 --> 01:13:20.657]  Let's go to that clip.
[01:13:21.177 --> 01:13:23.659]  So these people who hold themselves out
[01:13:24.582 --> 01:13:25.383]  To be patriots.
[01:13:25.903 --> 01:13:26.223]  Or not.
[01:13:26.684 --> 01:13:28.985]  They're nothing more than domestic terrorists.
[01:13:29.606 --> 01:13:33.089]  And I think that we are a country that people should follow the law.
[01:13:33.449 --> 01:13:35.931]  And what went up in Mesquite is not very good.
[01:13:36.331 --> 01:13:39.113]  I repeat, what went up there is domestic terrorism.
[01:13:39.293 --> 01:13:40.114]  Okay?
[01:13:40.134 --> 01:13:41.275]  Domestic terrorism.
[01:13:41.755 --> 01:13:42.336]  Not tourism.
[01:13:43.325 --> 01:13:45.765]  And it's real funny to the cowardly crowd there.
[01:13:46.225 --> 01:13:51.206]  We have another clip of him on another television show this weekend called What's Your Point, where he says more.
[01:13:51.486 --> 01:13:53.787]  But we've only got him to the bottom of the hour, so let's go to him.
[01:13:54.127 --> 01:13:59.028]  The rancher at the center of all this, what could end up being the new Legend's Inner Concord.
[01:13:59.368 --> 01:14:01.428]  Thank God there was no violence, but it was epic.
[01:14:01.988 --> 01:14:04.769]  Beyond any movie I've ever seen, it was the stuff of legends.
[01:14:05.489 --> 01:14:07.569]  And he joins us now from his ranch.
[01:14:07.929 --> 01:14:12.410]  Cliven, what do you make of the escalation of words by Mr. Reed?
[01:14:14.113 --> 01:14:15.194]  Well, I think he's right.
[01:14:15.234 --> 01:14:17.775]  I guess we are, uh... Well, I don't say guess.
[01:14:17.855 --> 01:14:19.436]  We are domestic violence.
[01:14:19.456 --> 01:14:20.477]  There's the violence.
[01:14:21.218 --> 01:14:27.922]  I guess they call we the people standing up for our rights and marching towards the government and their guns.
[01:14:28.002 --> 01:14:29.623]  We did do that, that's for sure.
[01:14:31.667 --> 01:14:33.368]  Well, I call that being heroes.
