[00:00:09.346 --> 00:00:14.970]  We are back on the continuing 24 plus hour broadcast for the InfoWars Money Bomb.
[01:22:39.793 --> 01:22:42.614]  And hey, don't think I'm trying to intimidate you right now and get in your face.
[01:22:42.914 --> 01:22:48.935]  When they groped that little six-year-old girl, I mean, kept her safe at that airport, the parents reportedly, the TSA, bowed up and got in their face.
[01:22:49.815 --> 01:22:50.375]  That's freedom!
[01:22:51.636 --> 01:22:53.436]  I'm just following what the federal government does.
[01:22:53.636 --> 01:22:58.477]  You're bowing up on parents because they don't like their kid being groped is what our government does, is what I do.
[01:22:59.357 --> 01:23:00.017]  Got a problem?
[01:23:00.237 --> 01:23:01.938]  There's gonna be a problem!
[01:23:01.958 --> 01:23:02.278]  No problem.
[01:23:02.678 --> 01:23:03.258]  That's freedom!
[01:23:04.098 --> 01:23:04.478]  Freedom!
[01:23:04.738 --> 01:23:06.399]  Oh, God, I got power now!
[01:23:15.647 --> 01:23:16.348]  Good, that's freedom!
[01:23:16.368 --> 01:23:16.708]  That's freedom!
[01:23:16.728 --> 01:23:17.168]  Good news, y'all.
[01:23:17.188 --> 01:23:17.628]  Check this out.
[01:23:17.688 --> 01:23:18.349]  Uh, from now on...
[01:23:37.912 --> 01:23:39.533]  You don't have to bring any food to work anymore.
[01:23:39.773 --> 01:23:41.614]  You don't have to think about what you're going to eat for lunch.
[01:23:42.674 --> 01:23:44.055]  We're going to have an employee meal plan.
[01:23:45.295 --> 01:23:47.456]  You're only allowed to buy lunch from the company break room.
[01:23:49.077 --> 01:23:50.998]  Straight from the top.
[01:23:51.398 --> 01:23:52.458]  Outside, food and drink.
[01:23:53.779 --> 01:23:54.819]  From now on, prohibited.
[01:23:57.140 --> 01:24:03.283]  Even more exciting news is we've got bottled water available with sodium fluoride for your safety.
[01:24:04.218 --> 01:24:06.160]  So, don't have to think anymore about what to bring, so.
[01:24:06.180 --> 01:24:08.643]  From now on, no more outside food.
[01:24:09.463 --> 01:24:09.964]  Or water.
[01:24:10.124 --> 01:24:11.025]  We got it all here, so.
[01:24:11.566 --> 01:24:12.687]  But I'm on a budget.
[01:24:13.768 --> 01:24:14.409]  Um, it's alright.
[01:24:14.429 --> 01:24:15.009]  Don't worry about it.
[01:24:15.850 --> 01:24:16.911]  You're still gonna have to pay for it.
[01:24:17.071 --> 01:24:17.832]  But it's, you know.
[01:24:18.413 --> 01:24:19.654]  We can take it out of your paycheck.
[01:24:21.456 --> 01:24:23.598]  Um... What's that?
[01:24:24.038 --> 01:24:25.119]  My mom makes my lunch.
[01:24:26.894 --> 01:24:30.336]  Well, that's old-fashioned, and that's not what the state approves of anymore.
[01:24:30.596 --> 01:24:32.638]  So, we're going to do what the state tells us to do.
[01:24:34.259 --> 01:24:36.640]  So, I've got these for you.
[01:24:37.080 --> 01:24:38.781]  Can I just finish this?
[01:24:38.942 --> 01:24:39.222]  No.
[01:24:40.703 --> 01:24:42.404]  Well, you've got like five minutes, basically.
[01:24:42.584 --> 01:24:46.306]  So, I don't know, either, you know, whatever you've got to do.
[01:24:46.506 --> 01:24:48.267]  You've got five minutes, and then it's in effect.
[01:24:48.287 --> 01:24:49.408]  So, here.
[01:24:49.588 --> 01:24:50.629]  Thanks for looking out for me.
[01:24:51.129 --> 01:24:51.810]  Here, take two.
[01:24:53.351 --> 01:24:55.092]  And I'll leave one more in here you guys can post it.
[01:24:58.280 --> 01:25:00.181]  So, uh, welcome to the new world order.
[01:25:00.201 --> 01:25:07.463]  This sucks, guys.
[01:25:07.744 --> 01:25:10.485]  I'm a vegetarian.
[01:25:10.525 --> 01:25:11.405]  It's okay.
[01:25:11.445 --> 01:25:18.568]  They want us to eat safer food.
[01:25:23.629 --> 01:25:24.630]  Well, well, well!
[01:25:24.650 --> 01:25:25.810]  Living in the air and dike!
[01:25:26.330 --> 01:25:27.011]  How you doing, buddy?
[01:25:27.091 --> 01:25:27.291]  Howdy.
[01:25:28.260 --> 01:25:29.002]  What are you doing right now?
[01:25:30.404 --> 01:25:32.128]  Just eating lunch while I'm going over some stories.
[01:25:32.308 --> 01:25:33.230]  Excuse me.
[01:25:34.878 --> 01:25:36.039]  What are you doing in the truck?
[01:25:36.819 --> 01:25:39.681]  Listen, buddy, that's what they do at the Chicago Public School System.
[01:25:40.001 --> 01:25:44.024]  This is like some kind of boss hog town where I gotta buy my food from the state store.
[01:25:44.864 --> 01:25:45.645]  Whoa!
[01:25:46.465 --> 01:25:47.506]  You are an extremist.
[01:25:47.526 --> 01:25:49.507]  You know, they have new mental illness designations.
[01:25:49.827 --> 01:25:53.469]  When you challenge authority in any way, it's a sign that you're dangerous.
[01:25:53.489 --> 01:25:56.411]  Maybe I should send the FBI or Homeland Security over here.
[01:25:57.252 --> 01:25:58.292]  I don't think so.
[01:25:58.453 --> 01:26:03.536]  You're gonna buy your food from this office because I know it's safe and I care about you and I have the moral high ground.
[01:26:04.176 --> 01:26:04.837]  Don't argue with me.
[01:26:06.698 --> 01:26:08.459]  And by the way, this system's going in nationwide.
[01:26:08.719 --> 01:26:10.740]  Don't think you'll just quit this job and get away from this.
[01:26:11.261 --> 01:26:13.882]  Don't think you'll just stop at public schools in Chicago or New York.
[01:26:14.603 --> 01:26:15.103]  You understand?
[01:26:15.123 --> 01:26:16.004]  Those are organic.
[01:26:17.625 --> 01:26:18.145]  Organic?
[01:26:20.286 --> 01:26:21.367]  What's this about Voss Hogg?
[01:26:21.387 --> 01:26:22.107]  What are you talking about?
[01:26:22.187 --> 01:26:24.149]  Oh, like, this is a sharecropper operation?
[01:26:24.169 --> 01:26:25.630]  You gotta buy your stuff from the company store?
[01:26:26.090 --> 01:26:29.252]  I'll be honest with you, that's exactly what this is, and they're all submitting to it.
[01:26:29.792 --> 01:26:30.413]  And I like it!
[01:26:31.417 --> 01:26:32.278]  You think you're a thinker?
[01:26:32.738 --> 01:26:34.379]  Get up and get your ass out of this office.
[01:26:34.399 --> 01:26:36.501]  You're fired, and I'm calling Homeland Security on you.
[01:26:36.521 --> 01:26:37.121]  Get out of here!
[01:26:40.644 --> 01:26:43.946]  You're a dying breed, we're running you out of this country, and we're taking over the whole planet.
[01:26:44.126 --> 01:26:44.947]  You understand me?
[01:26:44.967 --> 01:26:48.770]  The future belongs to the slave masters!
[01:26:49.911 --> 01:26:50.511]  You're fired!
[01:26:50.531 --> 01:26:54.915]  Oh God, it's gonna be so much fun when they arrest him.
[01:27:15.954 --> 01:27:17.254]  Hey, production crew!
[01:27:18.075 --> 01:27:18.235]  Hey!
[01:27:19.215 --> 01:27:21.736]  Uh, you guys gonna buy me lunch out of the back today?
[01:27:21.756 --> 01:27:23.316]  I brought my lunch.
[01:27:23.416 --> 01:27:23.936]  Yeah, me too.
[01:27:24.296 --> 01:27:26.737]  You saw the memo that went out at 9 a.m.
[01:27:26.977 --> 01:27:27.237]  Memo?
[01:27:27.257 --> 01:27:27.717]  What memo?
[01:27:28.598 --> 01:27:30.298]  Well, I didn't have time to get anything else, though.
[01:27:30.358 --> 01:27:30.938]  It's what we brought.
[01:27:30.978 --> 01:27:33.659]  No, dude, I've got... You saw all the food we've got there for you to buy?
[01:27:33.679 --> 01:27:35.320]  That's totally reasonable!
[01:27:35.340 --> 01:27:35.480]  Look!
[01:27:35.920 --> 01:27:39.781]  Are you saying the Chicago school system's wrong, not letting parents pack their lunches?
[01:27:41.641 --> 01:27:43.162]  Are you saying Mayor Bloomberg's wrong, Phil?
[01:27:44.065 --> 01:27:44.465]  Yeah, yeah.
[01:27:44.525 --> 01:27:45.446]  It doesn't seem right.
[01:27:45.646 --> 01:27:46.166]  It doesn't seem right.
[01:27:46.186 --> 01:27:46.906]  Well, here's the deal.
[01:27:46.926 --> 01:27:47.446]  Here's the deal.
[01:27:48.147 --> 01:27:48.507]  Okay?
[01:27:51.188 --> 01:27:51.968]  It's on me today.
[01:27:52.008 --> 01:27:53.109]  I'll buy your first lunch.
[01:27:53.549 --> 01:27:54.409]  And I'm doing you a favor.
[01:27:54.689 --> 01:27:55.710]  But that stuff's going in the trash.
[01:27:55.790 --> 01:27:56.210]  Okay, buddy?
[01:27:56.670 --> 01:27:57.230]  Wait, what are you doing?
[01:27:57.590 --> 01:27:58.691]  I'm gonna throw it in the trash, man.
[01:27:59.071 --> 01:28:01.192]  Listen, you saw the policy.
[01:28:02.272 --> 01:28:04.093]  But I... Look.
[01:28:04.513 --> 01:28:05.494]  That's an entire salad.
[01:28:05.614 --> 01:28:08.775]  I can't 100% know this is healthy and good for you, okay?
[01:28:10.475 --> 01:28:12.036]  Aaron Bloomberg's a very respected man.
[01:28:12.636 --> 01:28:14.197]  He also wants everybody to turn their firearms in.
[01:28:15.277 --> 01:28:16.038]  There you go, pal.
[01:28:16.458 --> 01:28:18.879]  Have you heard about how they've got giant fines for salt?
[01:28:19.399 --> 01:28:23.141]  In fact, I bet that there's salt on this chicken!
[01:28:24.942 --> 01:28:26.463]  They're trying to pass laws like this in Austin.
[01:28:26.483 --> 01:28:27.303]  That could shut us down.
[01:28:27.323 --> 01:28:28.484]  We're getting with the times.
[01:28:28.544 --> 01:28:28.944]  We're trendy.
[01:28:28.964 --> 01:28:29.704]  Do you understand that?
[01:28:31.105 --> 01:28:32.366]  You know, it's totally reasonable, Phil.
[01:28:32.686 --> 01:28:33.826]  It's for your own good, man.
[01:28:33.986 --> 01:28:34.927]  Yeah, thank you.
[01:28:35.407 --> 01:28:36.248]  Thank you, Jared.
[01:28:36.328 --> 01:28:36.828]  Not mine.
[01:28:38.729 --> 01:28:39.069]  Here we go.
[01:28:40.103 --> 01:28:42.624]  Now, like I said, I'm gonna be honest there.
[01:28:42.644 --> 01:28:44.965]  Everybody else has got to buy theirs, I'm gonna buy lunch for you, okay?
[01:28:45.606 --> 01:28:45.926]  Get up!
[01:28:45.946 --> 01:28:46.446]  Let's go!
[01:28:46.606 --> 01:28:47.407]  I've got you lunch!
[01:28:47.887 --> 01:28:49.008]  You know you'll appreciate it!
[01:28:56.031 --> 01:28:58.692]  God, what won't that Chicago Mafia think of next?
[01:28:58.732 --> 01:28:59.333]  This is gonna be ri-
[01:29:00.356 --> 01:29:01.136]  Oh, hi guys!
[01:29:01.176 --> 01:29:02.457]  I care about your health!
[01:29:02.557 --> 01:29:04.457]  Come on in, Matt and Tim.
[01:29:04.477 --> 01:29:06.258]  You guys liking the new policy?
[01:29:07.118 --> 01:29:09.999]  It's only $20 for this salad.
[01:29:10.679 --> 01:29:14.220]  Or I've got some fluoridated baby water here, only $3 a bottle.
[01:29:14.841 --> 01:29:23.603]  You can have ramen noodle, bananas, Lunchables, we've got some Spam, and we've also got some Vienna sausages.
[01:29:24.083 --> 01:29:25.084]  So what would you like here?
[01:29:26.124 --> 01:29:27.084]  Well, I brought my own banana.
[01:29:27.104 --> 01:29:28.385]  Is that okay?
[01:29:29.722 --> 01:29:30.162]  No, sir.
[01:29:30.743 --> 01:29:33.264]  We can't trust you to bring your own food, okay?
[01:29:33.764 --> 01:29:36.445]  Is there anything other than the fluoridated water?
[01:29:36.745 --> 01:29:38.306]  Sir, fluoride, for instance, your teeth.
[01:29:38.586 --> 01:29:44.489]  Don't be like the extremist kids that protested and they were called revolutionary extremists in Chicago and are probably now on the FBI list.
[01:29:44.549 --> 01:29:44.949]  Okay, buddy?
[01:29:44.969 --> 01:29:45.790]  Okay.
[01:29:45.810 --> 01:29:46.530]  This is reasonable.
[01:29:46.590 --> 01:29:49.191]  Not being able to decide what you're going to eat is freedom, okay?
[01:29:49.211 --> 01:29:50.132]  The government cares about you.
[01:29:50.152 --> 01:29:51.472]  Michelle Obama cares.
[01:29:51.512 --> 01:29:51.732]  Look.
[01:29:52.553 --> 01:29:52.853]  Look here.
[01:29:55.342 --> 01:29:55.842]  Take the carrots.
[01:29:56.283 --> 01:29:57.624]  Now listen, pay up, pal.
