[00:00:04.989 --> 00:00:06.390]  I am absolutely honored
[01:08:58.449 --> 01:09:10.940]  Where Senator Patrick exposes Perry for the fact that he sabotaged this bill a month ago secretly and did not want it known.
[01:09:10.940 --> 01:09:24.012]  Quote, apparently for political reasons, he came up with this elaborate political play to kill the bill without his fingerprints, Patrick said, speaking to the drama over the anti-airport pat-down bill that failed.
[01:09:25.435 --> 01:09:37.020]  When asked about how that would affect his relationship with Dewhurst, the right-hand man of Harry Perry, he paused for a while before answering the question, I have to ask myself, Patrick said, before trailing off again.
[01:09:37.020 --> 01:09:40.842]  And then later he said, I cannot support him for US Senate or governorship.
[01:09:41.562 --> 01:09:42.223]  We're good to go.
[01:09:58.444 --> 01:09:59.905]  That Perry was caught lying.
[01:09:59.905 --> 01:10:15.638]  The Houston Chronicle, Joe Hawley reports that Perry told activist Wesley Stein Strickbein that they simply weren't the votes to pass the measure and they didn't have the votes, an answer that he wasn't pleased with.
[01:10:15.638 --> 01:10:19.622]  And then a letter was put out by Representative David Simpson
[01:10:20.836 --> 01:10:25.360]  An open letter to him documenting the fact that Perry is a liar.
[01:10:25.360 --> 01:10:35.228]  Perry says on the video, we're going to play some of that coming up, he says, well, there's not time to introduce the bill when Perry can add weeks anytime he wants a special session, when there is plenty of time.
[01:10:35.228 --> 01:10:36.629]  It's one of the most popular bills.
[01:10:36.629 --> 01:10:38.291]  And then he says, we don't have the votes for it.
[01:10:38.979 --> 01:10:44.223]  When they have already passed it unanimously in the House and near unanimously in the Senate.
[01:10:44.223 --> 01:10:49.446]  And the representatives have reported they're probably going to have unanimous votes again.
[01:10:49.446 --> 01:10:54.030]  They've got close to unanimous already on record saying that they'll vote for it.
[01:10:54.030 --> 01:10:58.493]  Because to try to get the governor to add bills they can have mock votes and they've had one of those.
[01:10:59.522 --> 01:11:05.856]  So Perry said, we don't have time, I can't put it on, and we don't have the votes.
[01:11:05.856 --> 01:11:08.822]  And the person was informed and said, yes, you do have the votes.
[01:11:09.844 --> 01:11:14.388]  And the guy walked away and Perry said, come here, get a picture, shake my hand.
[01:11:14.388 --> 01:11:17.631]  You know, I'm going to bend you over a barrel here, buddy.
[01:11:17.631 --> 01:11:19.112]  I'm lying to you.
[01:11:19.112 --> 01:11:20.313]  I'm insulting you.
[01:11:20.313 --> 01:11:21.854]  But that's OK.
[01:11:21.854 --> 01:11:25.237]  Because I know how to talk like a Texan, boy.
[01:11:25.237 --> 01:11:30.001]  And I want me some possum grits and some possum stew.
[01:11:30.001 --> 01:11:32.844]  And I want me some armadillo dumplings.
[01:11:33.564 --> 01:11:36.948]  Get Granny Clampett out there in the cement pond!
[01:11:36.948 --> 01:11:40.171]  I killed a coyote in the middle of Austin!
[01:11:40.171 --> 01:11:42.374]  Hey, I'm a rootin' tootin'!
[01:11:42.374 --> 01:11:44.376]  Pow, pow, Yosemite Sam!
[01:11:44.376 --> 01:11:47.859]  Ooh, I'll kill all of ya!
[01:11:47.859 --> 01:11:50.763]  Want to hear a Yosemite Sam imitation?
[01:11:50.763 --> 01:11:53.626]  Not to get into character to do that.
[01:11:53.626 --> 01:11:54.847]  Rackin', strackin', rackin'!
[01:11:56.974 --> 01:11:57.674]  I mean, why not?
[01:11:57.674 --> 01:12:09.079]  I'm convinced that you could dress up like Yosemite Sam in America would elect you because there's that archetypal Western image of, you know, John Wayne gonna save you.
[01:12:09.079 --> 01:12:14.341]  And so basically we have a male cheerleader who voted for Al Gore.
[01:12:14.341 --> 01:12:15.582]  Oh, he worked for Al Gore.
[01:12:15.582 --> 01:12:17.703]  You didn't know that, Rick Perry?
[01:12:17.703 --> 01:12:19.343]  But of course you're gonna elect him.
[01:12:19.343 --> 01:12:21.264]  You love it.
[01:12:21.264 --> 01:12:25.126]  You Republicans love, love Al Gore.
[01:12:27.025 --> 01:12:32.409]  You love to fail, you love to be conned, you love to be defeated, and you are going to elect Perry president.
[01:12:32.409 --> 01:12:37.612]  You are going to bow down, just like all the idiot liberals did for Obama, for the establishment candidate.
[01:12:37.612 --> 01:12:38.973]  You are going to lick his boots.
[01:12:38.973 --> 01:12:49.260]  And when Sarah Palin and him run against each other and have little cute gaffes that are all scripted, oh, Perry's not going to like the fact that I have this intelligence info on them.
[01:12:49.260 --> 01:12:51.281]  Oh, just like Obama and Hillary.
[01:12:51.281 --> 01:12:56.425]  Then there'll be that secret meeting with the two, and she'll come out and announce that she's going to be his VP.
[01:12:57.645 --> 01:13:06.987]  Oh, yes, and we're going to have Rick Perry as president and Vice President cutesy pants right there, Sarah Palin.
[01:13:06.987 --> 01:13:08.108]  It's over.
[01:13:08.108 --> 01:13:09.928]  That's who they've got lined up.
[01:13:09.928 --> 01:13:12.349]  Not Mitt Romney, not any of them.
[01:13:12.349 --> 01:13:15.149]  That's at least what Rick Perry and Karl Rove think.
[01:13:15.149 --> 01:13:17.850]  So they have these fake fights between Perry and Karl Rove.
[01:13:17.850 --> 01:13:19.890]  Oh, Perry doesn't like Bush now.
[01:13:19.890 --> 01:13:22.231]  And this stuff is put out to conservatives.
[01:13:23.317 --> 01:13:27.442]  Maybe he doesn't like Bush because he stole the election from his buddy Al Gore.
[01:13:27.442 --> 01:13:27.862]  I don't know.
[01:13:27.862 --> 01:13:32.928]  You know what, I said I was going to cover Perry later and I'm already getting into it.
[01:13:32.928 --> 01:13:41.077]  But we do have a special announcement about Harry Perry coming up at 33 after here in about 17 minutes.
[01:13:41.077 --> 01:13:42.018]  So there you have it.
[01:13:42.978 --> 01:13:48.662]  We're gonna be going over all that and starting in the next segment, building up to the special report on Perry.
[01:13:48.662 --> 01:13:57.429]  I had even forgotten this, but when I saw the reports, it refreshed my memory and I went to the links and there it was admitted.
[01:13:57.429 --> 01:14:02.433]  Did you know Perry worked for Al Gore?
[01:14:02.433 --> 01:14:07.137]  Rick Perry worked for Al Gore and he worked for him recently, boys and girls.
[01:14:09.141 --> 01:14:11.803]  Let me tell you, and he's a male cheerleader?
[01:14:11.803 --> 01:14:13.664]  He's going to the top there.
[01:14:13.664 --> 01:14:17.967]  Bush was a male cheerleader, Trent Lott.
[01:14:17.967 --> 01:14:19.027]  If you look at the U.S.
[01:14:19.027 --> 01:14:28.633]  Senate alone, last time I looked, of the men that are in there, close to half of them were male cheerleaders.
[01:14:28.633 --> 01:14:35.137]  Again, you've got to be a male cheerleader to be in this Bohemian Grove club of male cheerleaders.
[01:14:37.890 --> 01:14:41.394]  Or, I'm sorry, if you're not a male cheerleader, it's okay.
[01:14:41.394 --> 01:14:46.819]  As long as you're a male ballet dancer, like Rahm Emanuel, the Chicago mayor.
[01:14:46.819 --> 01:14:50.423]  I mean, we're ruled by Barney Frank and male cheerleaders.
[01:14:54.471 --> 01:14:54.851]  I don't know.
[01:15:18.603 --> 01:15:20.464]  I'm sorry, ladies and gentlemen.
[01:15:20.464 --> 01:15:25.045]  I'm sorry to talk bad about a big Al Gore supporter like Rick Perry.
[01:15:25.045 --> 01:15:32.748]  And you know what Rick Perry told a Fox News source, I'll just leave that alone, behind closed doors.
[01:15:32.748 --> 01:15:35.069]  He said, there's only three people
[01:15:36.195 --> 01:15:46.164]  I'm fearing right now, and I'm about to knock one of them out, and that was Debra Medina, because if she'd have beat him for governor, obviously that would have wrecked his presidential aspirations.
[01:15:46.164 --> 01:15:56.153]  But he said it's Ron Paul, Alex Jones, and Debra Medina, because what he fears is a true constitutionalist that you could call conservative, and some people see things through their own lens.
[01:15:56.153 --> 01:15:57.374]  I just want freedom.
[01:15:57.374 --> 01:15:58.455]  I don't want your labels.
[01:15:58.455 --> 01:16:00.237]  I'm pro-gun, pro-private property.
[01:16:00.237 --> 01:16:01.098]  I'm anti-abortion.
[01:16:01.098 --> 01:16:02.178]  If that's conservative, whatever.
[01:16:02.839 --> 01:16:12.166]  But it's not going to serve to go around warmongering and butcher the Bill of Rights and Constitution and sell out to foreign banks and support bailouts like Glenn Beck and Mitt Romney have done.
[01:16:12.166 --> 01:16:17.651]  Mitt Romney wrote the Obamacare in Massachusetts that was the main model of what we got.
[01:16:17.651 --> 01:16:19.672]  I mean, I can just see straight.
[01:16:19.672 --> 01:16:20.853]  I can talk straight.
[01:16:20.853 --> 01:16:22.494]  My job is easy, ladies and gentlemen.
[01:16:22.494 --> 01:16:27.098]  I don't have to sit here and gauge what I'm going to say and think about what I'm going to say, because I know what I believe.
[01:16:27.378 --> 01:16:30.780]  I know who I am, so that's why I don't want anybody's labels.
[01:16:30.780 --> 01:16:32.180]  I'm somebody who wants freedom.
[01:16:32.180 --> 01:16:33.221]  That's what I am.
[01:16:33.221 --> 01:16:40.485]  I'm somebody, I'm one of these evil sovereign citizen type people that wants to be left alone, that doesn't want to be bossed around and controlled.
[01:16:40.485 --> 01:16:44.827]  I'm an American, and if I'm evil because I follow the bedrock
[01:16:45.797 --> 01:16:51.439]  Beliefs of what this country was founded on, then call me evil, nail me to the wall if you want.
[01:16:51.439 --> 01:16:53.520]  I'm a heretic, I'm evil.
[01:16:53.520 --> 01:16:57.141]  I'm not a good little socialist, okay?
[01:16:57.141 --> 01:16:58.582]  I'm not a good little commie.
[01:16:58.582 --> 01:17:00.382]  I'm not a fascist bootlicker.
[01:17:00.382 --> 01:17:02.423]  I'm not here to lick boots.
[01:17:02.423 --> 01:17:07.565]  I don't want to rob people, I don't want to run other people's lives, and I don't want you wanting to rob me or run my life.
[01:17:07.765 --> 01:17:08.466]  You got it.
[01:17:08.466 --> 01:17:09.646]  I want my privacy.
[01:17:09.646 --> 01:17:10.807]  Stay out of my life.
[01:17:10.807 --> 01:17:13.649]  Stay out of my relationship with my wife.
[01:17:13.649 --> 01:17:15.491]  Stay out of my relationship with my children.
[01:17:15.491 --> 01:17:16.932]  Stay off my land.
[01:17:16.932 --> 01:17:18.453]  I'm like one of those hillbillies.
[01:17:18.453 --> 01:17:20.474]  Get off my land, boy!
[01:17:20.474 --> 01:17:23.637]  I'm Rick Perry.
[01:17:23.637 --> 01:17:25.498]  I love Al Gore.
[01:17:25.498 --> 01:17:27.560]  Oh, Al Gore.
[01:17:32.435 --> 01:17:35.378]  What's it take to be a Republican candidate for president?
[01:17:35.378 --> 01:17:36.218]  Male cheerleader?
[01:17:36.218 --> 01:17:36.899]  Check.
[01:17:36.899 --> 01:17:37.920]  Al Gore supporter?
[01:17:37.920 --> 01:17:38.840]  Check.
[01:17:38.840 --> 01:17:39.901]  Same thing with Newt Gingrich.
[01:17:39.901 --> 01:17:45.686]  Newt Gingrich wrote the foreword to Alvin and Heidi Toffler's, two of their books, calling for world government.
[01:17:45.686 --> 01:17:52.132]  I keep meaning to print off the foreword from that and quotes about planetary government, the end of America.
[01:17:53.783 --> 01:17:58.826]  All right, coming up, we're going to go over Rick Perry and the fact that he's been pressured into doing the right thing.
[01:17:58.826 --> 01:18:13.977]  We're going to skip this break coming up because during my caterwauling here, we have gotten State Representative Mr. Simpson on with us, and we do have his letter here that he sent
[01:18:14.870 --> 01:18:28.368]  A couple days ago, after one of his constituents got video of Rick Perry saying that there's not time to reintroduce the anti-groping bill and that we don't have the votes, which clearly Mr. Perry had to know was the case.
[01:18:29.830 --> 01:18:31.931]  So we're going to be going over that here.
[01:18:31.931 --> 01:18:33.873]  And this is national news.
