[00:00:00.109 --> 00:00:01.650]  This is the GCN Radio Network.
[01:54:15.156 --> 01:54:17.878]  They demonize gun owners and constitutionalists.
[01:54:17.878 --> 01:54:20.220]  I mean, how stupid do they think we are?
[01:54:20.220 --> 01:54:21.220]  And the feds have been caught.
[01:54:21.220 --> 01:54:22.061]  I don't know about this case.
[01:54:22.401 --> 01:54:32.610]  paying money to the studios to put this in TV and movies to put these type of so so the Constitutionalists, the ones that want freedom, they're going to nuke you.
[01:54:32.610 --> 01:54:36.273]  Yeah, and you can tell just by watching like this new Knight Rider series.
[01:54:36.273 --> 01:54:37.554]  It's kind of like the old one.
[01:54:37.554 --> 01:54:40.557]  You can obviously tell that it's geared towards children, younger people.
[01:54:40.557 --> 01:54:41.518]  It's all the children!
[01:54:41.518 --> 01:54:47.083]  Oh my gosh, the people that care about the Constitution, they're going to, they're going to nuke us!
[01:54:47.907 --> 01:54:51.088]  And by the way, folks, we're kicking their hind end, exposing the New World Order.
[01:54:51.088 --> 01:54:53.648]  Right now, that's what they're moving to try to regulate and shut down the web.
[01:54:53.648 --> 01:54:54.708]  That's all happening right now.
[01:54:54.708 --> 01:54:58.569]  We've got stories up on InfoWars.com and PrisonPlanet.com about that.
[01:54:58.569 --> 01:55:00.910]  Jim in Austin, Texas.
[01:55:00.910 --> 01:55:01.570]  You're on the air.
[01:55:01.570 --> 01:55:02.930]  Go ahead.
[01:55:02.930 --> 01:55:04.150]  Hey, Alex.
[01:55:04.150 --> 01:55:04.810]  Hello.
[01:55:04.810 --> 01:55:05.951]  Thanks for taking my call.
[01:55:05.951 --> 01:55:07.551]  Anyway, I've got a little information.
[01:55:07.551 --> 01:55:16.873]  I have a friend that's a cop, and he just picked up a fully automatic AK-74U in preparation for martial law.
[01:55:17.904 --> 01:55:19.846]  This was a couple of weeks ago.
[01:55:19.846 --> 01:55:23.911]  And yesterday, I'm sitting in a barbershop, and the guy's got a, uh, what is it?
[01:55:23.911 --> 01:55:26.775]  A new army training manual.
[01:55:26.775 --> 01:55:29.037]  Or the actual army handbook, sitting there.
[01:55:29.037 --> 01:55:33.142]  Yeah, they give all, everyone in the army now gets riot control training.
[01:55:33.142 --> 01:55:33.683]  Right, right.
[01:55:35.320 --> 01:55:46.228]  One of the little stories in there was that in Florida, they're going to set up a faction of infantry brigade.
[01:55:50.413 --> 01:55:51.954]  You know, evidently from this article.
[01:55:51.954 --> 01:55:52.454]  Well, right after I heard
[01:56:13.752 --> 01:56:33.188]  about the uh... certain congressman or yeah uh... you know being told that he interviewed me i was on so i call well this is this is before that that this is the the friday of the bailout when they passed the bailout i'd call lloyd dog itself is because i was watching very closely and um... that i denied it
[01:56:33.982 --> 01:56:35.183]  I mean... Well, let me go back.
[01:56:35.183 --> 01:56:38.086]  While I was on C-SPAN, we interviewed two different congressmen on it.
[01:56:38.086 --> 01:56:41.949]  Specifically, your friend who's a cop says we've been told we're getting ready for martial law.
[01:56:41.949 --> 01:56:57.943]  Well, yeah, but not only that, but last summer, and it wasn't up on the APD website or anything like that, I overheard, I was in an army surplus store and saw a guy turning in, like a, you know, essentially a bunch of camping gear for tactical equipment.
[01:56:58.556 --> 01:57:02.477]  And I shoot and go to rifle ranges and stuff like that, so I know what I'm looking at.
[01:57:02.477 --> 01:57:03.357]  Web gear, yeah.
[01:57:03.357 --> 01:57:03.757]  Yeah.
[01:57:03.757 --> 01:57:09.099]  Well, anyway, you know, everything, simply everything short of a ghillie suit.
[01:57:09.099 --> 01:57:16.661]  Well, anyway, he's telling the guy behind the counter how they're about to go ahead and start training.
[01:57:16.661 --> 01:57:17.841]  Well, they did this covertly.
[01:57:18.755 --> 01:57:25.759]  Well wait, I sent Trey and Weldon out to, they were given just masses of the police SWAT training.
[01:57:25.759 --> 01:57:27.020]  So listen, listen, it's simple.
[01:57:27.020 --> 01:57:31.863]  The bankers, it happened in Rome, it happened in Europe, it happens all the time.
[01:57:31.863 --> 01:57:33.303]  It's happening in terrible countries right now.
[01:57:33.303 --> 01:57:34.484]  They take over.
[01:57:34.484 --> 01:57:35.245]  That's tyranny.
[01:57:35.245 --> 01:57:40.748]  The military and the police are used so the bankers can take over the entire society.
[01:57:40.748 --> 01:57:44.490]  But they won't be able to get away with it if you're aware of what they're doing.
[01:57:45.070 --> 01:57:48.372]  And the police and military, a lot of them I've talked to, they don't like it.
[01:57:48.372 --> 01:57:49.773]  They don't want to be part of it.
[01:57:49.773 --> 01:57:55.536]  But again, the TV shows are telling you, and I know I didn't see this one, but I've seen others, evil constitutionalists.
[01:57:55.536 --> 01:57:57.177]  People that talk about freedom.
[01:57:57.177 --> 01:57:58.138]  They've got nukes.
[01:57:58.138 --> 01:58:00.199]  They're going to nuke you.
[01:58:00.199 --> 01:58:02.500]  I mean, how obvious does it have to get?
[01:58:02.500 --> 01:58:05.302]  Ladies and gentlemen, they're going to devalue your dollar down to nothing.
[01:58:06.102 --> 01:58:10.545]  They are going to bring you into total slavery unless you get up and you say no.
[01:58:10.545 --> 01:58:16.429]  We'll see you on the web at InfoWars.com for the weekday show and of course back next Sunday.
[01:58:16.429 --> 01:58:18.170]  Get out there and stand up for liberty.
[01:58:18.170 --> 01:58:19.011]  Get off the bench.
[01:58:19.011 --> 01:58:19.891]  Get in the game.
[01:58:19.891 --> 01:58:20.992]  Defend the Republic!
[01:58:21.212 --> 01:58:22.252]  Hi, this is Ted Anderson.
[01:58:22.252 --> 01:58:24.413]  Did you miss your favorite shows on GCN today?
[01:58:24.413 --> 01:58:32.434]  Thanks to the continued support of our listeners, subscribers, and sponsors, we are proud to bring the GCN audience a new and exciting way to listen called On Demand.
[01:58:32.434 --> 01:58:38.455]  Available on GCNlive.com, On Demand plays each show continuously until the next time the show goes live.
[01:58:38.455 --> 01:58:39.575]  It's simple to use.
[01:58:39.575 --> 01:58:44.276]  Just go to GCNlive.com, click on the On Demand button, and find your favorite shows.
[01:58:44.276 --> 01:58:45.256]  Don't get discouraged.
[01:58:45.256 --> 01:58:46.936]  Get On Demand, free!
[01:58:46.936 --> 01:58:49.777]  Thanks again to the listeners at GCNlive.com.
[01:58:51.818 --> 01:58:54.759]  Are your Federal Reserve notes looking for a safe haven?
[01:58:54.759 --> 01:58:57.360]  Mine found it in precious metals.
[01:58:57.360 --> 01:59:01.202]  Not paper promises, but actual gold in my possession.
[01:59:01.202 --> 01:59:08.444]  It is liquid, it is private, it owes no one, it cannot go bankrupt, and it maintains its purchasing power.
[01:59:08.444 --> 01:59:11.025]  Find your answer at Midas Resources.
[01:59:11.025 --> 01:59:11.545]  That's 1-800-686-2237.
[01:59:11.545 --> 01:59:12.946]  The answer is at 1-800-686-2237.
[01:59:21.738 --> 01:59:25.442]  Are you sick and tired of spending your hard-earned money to fill your gas tank?
[01:59:25.442 --> 01:59:27.124]  Then do something about it!
[01:59:27.124 --> 01:59:30.909]  Fuel Saver's Fuel Conditioner lets you drive further on each gallon of fuel.
[01:59:30.909 --> 01:59:32.711]  Completely safe for all engines.
[01:59:32.711 --> 01:59:39.119]  Just add a small squeeze of product to your tank each time you fill up to improve your fuel economy 10 to 20 percent or more.
[01:59:39.119 --> 01:59:40.320]  Saving you 35 to 80 cents on every gallon.
[01:59:42.202 --> 01:59:42.463]  I think so.
