[00:00:06.066 --> 00:00:07.707]  Hitler took the guns.
[01:08:29.815 --> 01:08:33.537]  And have him all go on TV and say, he's dead, he'll be gone.
[01:08:34.217 --> 01:08:41.080]  I told you that was desperate, desperate disinfo to get their criminals to continue to man the post.
[01:08:42.441 --> 01:08:47.183]  And we now have the emails, we now have the text messages, Congress has them, they're gonna release them.
[01:08:47.664 --> 01:08:52.186]  These five congressmen, every time they say they've got this, they release it a week later.
[01:08:54.130 --> 01:08:57.311]  And now they're saying, we've got FBI agents that blew the whistle to us.
[01:08:57.852 --> 01:08:59.913]  Of course, that probably happened a year ago, or more.
[01:09:00.273 --> 01:09:11.418]  We've got all the documents, we've got all the emails, we've got everything that this whole house of cards is coming down, that they're scared, that they're using burner phones, that they're hiding out.
[01:09:14.479 --> 01:09:17.741]  You don't think Congress wanted to bring all this out if they didn't have to, right?
[01:09:18.390 --> 01:09:20.690]  You think they wanted to really damage the FBI this much?
[01:09:21.131 --> 01:09:23.471]  You think they really wanted to bring it to this point?
[01:09:23.671 --> 01:09:24.731]  You think Trump wanted that?
[01:09:24.771 --> 01:09:26.052]  This isn't good for the stock market.
[01:09:26.372 --> 01:09:27.412]  It's not good for the economy.
[01:09:28.252 --> 01:09:29.912]  It's good, it'd be good if Hillary goes to prison.
[01:09:30.172 --> 01:09:46.636]  Some people need to go to prison, but this is gonna be huge now, because they pushed it all the way, and so now they're just watching the Democrats continue to perjure themselves, and they brought in McCabe, and they brought in Comey, and they brought in all these people, and they all perjured themselves,
[01:09:47.912 --> 01:10:00.679]  And they've got them all dead to rights, and the congressman would look right at Rosenstein, who wouldn't answer questions, but he perjured himself, and say, I kind of feel like this is how it happened.
[01:10:01.179 --> 01:10:02.740]  And then, of course, it's exactly how it happened.
[01:10:03.440 --> 01:10:07.162]  I kind of feel like, Rosenstein, this is how it might have happened.
[01:10:07.623 --> 01:10:17.408]  And Rosenstein sat there and squirmed around in his chair and wouldn't answer anything but with bizarre, sideways activities.
[01:10:18.715 --> 01:10:22.103]  Talk it out of both sides of his mouth, because they don't know what to do.
[01:10:22.183 --> 01:10:26.754]  So the $64 trillion question is also your answer.
[01:10:30.305 --> 01:10:34.769]  Program A was to stop the nomination and then steal the election or stop the president from being seated.
[01:10:35.450 --> 01:10:39.113]  Program B was the whole fake Russiagate and try to get some dirt.
[01:10:39.354 --> 01:10:41.956]  That didn't work, so now Plan C is obstruction.
[01:10:42.677 --> 01:10:46.380]  And then that kind of moves on into 25th Amendment.
[01:10:46.761 --> 01:10:48.302]  You're a lunatic, but that's gone nowhere.
[01:10:49.023 --> 01:10:49.743]  So, Plan D...
[01:10:52.017 --> 01:11:00.759]  Is kill the president, which they've already been kind of trying to get to happen behind the scenes, and trying to kill the congressman to send a message, and I mean, I'll give it to them.
[01:11:00.779 --> 01:11:03.160]  They're some really evil people.
[01:11:03.220 --> 01:11:05.081]  They've already done a lot.
[01:11:05.221 --> 01:11:06.881]  I'm surprised they're walking around right now.
[01:11:07.001 --> 01:11:12.223]  I'll tell you, if I was the president, I guess I'd do what he's done.
[01:11:12.263 --> 01:11:15.104]  He's given them a long game, letting them hang themselves, but it's dangerous.
[01:11:15.664 --> 01:11:17.244]  Because you know they got people in the White House.
[01:11:18.184 --> 01:11:19.705]  You know they got people in the Secret Service.
[01:11:20.515 --> 01:11:21.876]  So folks should be praying for the president.
[01:11:21.896 --> 01:11:24.758]  This is beyond a thriller, beyond a movie, beyond anything.
[01:11:25.079 --> 01:11:28.882]  This is sudden death overtime for this country right now with these people.
[01:11:28.922 --> 01:11:36.128]  Because let me tell you, if they're able to kill the president, or able to get him out of there, they have said they're going out for everybody.
[01:11:37.529 --> 01:11:39.630]  And that's going to cause a civil war right there.
[01:11:39.650 --> 01:11:48.938]  I mean, they've had their butts handed to them on every crime they've committed, every dirty trick they've played, every scam they've run, every fraud they've engaged in.
[01:11:51.906 --> 01:12:00.971]  Everything they've pulled, so far, has blown up.
[01:12:02.011 --> 01:12:04.692]  So I'll ask you again, what are they going to pull now?
[01:12:04.753 --> 01:12:10.675]  Because now, they're cornered like a bank robber that the cops run in, so he grabs a kid and says, I got a hostage!
[01:12:10.876 --> 01:12:11.716]  I'll blow his head off!
[01:12:11.916 --> 01:12:12.777]  I'll blow his head off!
[01:12:14.037 --> 01:12:21.381]  And that's Comey, and that's Mueller, and that's all of them, and oh, and then there's this, I forgot this, guys get the audio.
[01:12:22.666 --> 01:12:23.546]  I didn't see it on the list.
[01:12:24.487 --> 01:12:25.307]  CNN's got it.
[01:12:25.407 --> 01:12:26.467]  It's all over.
[01:12:28.088 --> 01:12:28.748]  It's audio.
[01:12:28.788 --> 01:12:31.389]  Trump says he will go under oath with Comey.
[01:12:31.729 --> 01:12:34.130]  He says, oh, I'll love to meet with him the next two to three weeks.
[01:12:34.750 --> 01:12:35.830]  And I love to go under oath.
[01:12:35.850 --> 01:12:38.671]  But you know, Hillary didn't go under oath when she met with Comey.
[01:12:38.911 --> 01:12:39.191]  No, no.
[01:12:39.371 --> 01:12:46.873]  Comey already gave her a letter absolving her, saying you're not under criminal investigation, but we're going to go to the media and say you are in the next six months.
[01:12:46.933 --> 01:12:47.914]  But it's all fake.
[01:12:48.174 --> 01:12:50.474]  And you're going to get to meet with Strzok and everybody.
[01:12:50.514 --> 01:12:52.015]  And it's not a real investigation.
[01:12:53.027 --> 01:12:53.928]  She wasn't under oath.
[01:12:54.869 --> 01:12:58.391]  And tarmac meetings with Bill Clinton, the Attorney General, on and on and on.
[01:12:59.332 --> 01:13:01.854]  So Trump says, oh I'll meet with him and I'll go under oath.
[01:13:02.274 --> 01:13:03.736]  And I've said this a hundred times.
[01:13:05.197 --> 01:13:12.823]  Mr. President, the only way this is going to work, and you're all, literally, he's always a couple steps ahead of me, so I'm guessing this is what he's going to do.
[01:13:14.084 --> 01:13:15.465]  Have live cameras in there.
[01:13:17.458 --> 01:13:26.564]  Crook Mueller in, that arrogant SOB, and set down that monster in front of you and say, all right, you got five minutes, buddy boy.
[01:13:28.465 --> 01:13:30.006]  And then I'm going to do the talking.
[01:13:30.667 --> 01:13:37.271]  And then lay into him with his whole history and Uranium One and the criminal activity and McCabe and everything.
[01:13:37.551 --> 01:13:43.475]  And it will be the giant nail in their fraud you've ever seen in your life.
[01:13:45.666 --> 01:13:47.787]  It will be beyond devastating.
[01:13:49.227 --> 01:14:02.531]  And I said that a week ago, and a little bird told me that Trump is intending to just say, come on in, it's under oath, and he's gonna sit right there with Mueller in the ultimate stare down.
[01:14:02.551 --> 01:14:04.912]  I should have led the show with this, there's just so much news.
[01:14:08.173 --> 01:14:09.413]  The ultimate showdown.
[01:14:12.294 --> 01:14:14.015]  And then he's gonna chew him out.
[01:14:16.158 --> 01:14:24.360]  And say, in case you don't know, former director, this person, this person, this email, this document, what do you say about that?
[01:14:24.660 --> 01:14:26.361]  What do you say about Hillary meeting in secret?
[01:14:26.581 --> 01:14:27.461]  What do you say about all that?
[01:14:27.481 --> 01:14:28.681]  What do you say about not being under oath?
[01:14:29.321 --> 01:14:32.822]  What do you say about you guys saying you weren't surveilling us, but you were?
[01:14:35.343 --> 01:14:42.305]  Because when Mueller sits down in front of the president in the next three weeks, it's after they've timed all this out with the Freedom Caucus.
[01:14:43.584 --> 01:14:47.446]  When he... I'll be surprised if Mueller even goes.
[01:14:47.806 --> 01:14:52.868]  Because you talk about walking into the dragon's den, the lion's den.
[01:14:52.988 --> 01:14:55.169]  I mean, you are walking in there, buddy.
[01:14:55.389 --> 01:14:55.989]  Here's the president.
[01:14:58.866 --> 01:15:01.447]  I'm looking forward to it, actually.
[01:15:02.628 --> 01:15:04.309]  There's been no collusion whatsoever.
[01:15:04.949 --> 01:15:06.730]  There's no obstruction whatsoever.
[01:15:07.250 --> 01:15:08.311]  And I'm looking forward to it.
[01:15:08.451 --> 01:15:13.654]  I do worry when I look at all of the things that you people don't report about with what's happening.
[01:15:13.794 --> 01:15:17.776]  If you take a look at, you know, the five months worth of missing texts.
[01:15:18.456 --> 01:15:19.697]  That's a lot of missing texts.
[01:15:20.537 --> 01:15:22.438]  And, as I said yesterday, that's primetime.
[01:15:23.158 --> 01:15:25.799]  So, you do sort of look at that and say, what's going on?
[01:15:26.760 --> 01:15:33.563]  You do look at certain texts where they talk about insurance policies or insurance, where they say the kinds of things they're saying.
[01:15:33.583 --> 01:15:34.563]  You've got to be concerned.
[01:15:34.923 --> 01:15:38.125]  But I would love to do that, and I'd like to do it as soon as possible.
[01:15:38.145 --> 01:15:39.045]  Good luck, everybody.
[01:15:39.145 --> 01:15:40.246]  Do you have a date set?
[01:15:40.326 --> 01:15:40.926]  So, here's the story.
[01:15:40.946 --> 01:15:42.226]  Do you have a date set, Mr. President?
[01:15:42.246 --> 01:15:43.087]  I don't know, no.
[01:15:43.187 --> 01:15:45.608]  I guess they're talking about two or three weeks, but I would love to do it.
[01:15:46.308 --> 01:15:50.590]  You know, again, I have to say, subject to my lawyers and all of that, but I would love to do it.
[01:15:52.792 --> 01:15:54.292]  We'll be right back and I'm going to your calls.
[01:15:54.312 --> 01:15:56.373]  Then he finishes up, he says, oh yeah, I'll go under oath.
[01:15:56.794 --> 01:15:58.054]  But Hillary didn't.
[01:15:59.215 --> 01:16:01.016]  Joel Gilbert joins us for the balance of the hour.
[01:16:01.076 --> 01:16:05.638]  Here is the trailer for the powerful new film available at Infowarsstore.com.
[01:16:06.398 --> 01:16:10.580]  Trump, the art of the insult, directed by the amazing director Joel Gilbert.
[01:16:10.600 --> 01:16:11.421]  Here is the trailer.
[01:16:11.892 --> 01:16:16.153]  Call women you don't like fat pigs, dogs, slobs.
[01:16:17.014 --> 01:16:18.414]  Only Rosie O'Donnell.
[01:16:18.594 --> 01:16:21.355]  And they said that wasn't politically correct.
[01:16:21.595 --> 01:16:22.416]  Who cares?
[01:16:26.157 --> 01:16:27.057]  You haven't been called.
[01:16:28.958 --> 01:16:29.998]  Go back to Univision.
[01:16:31.199 --> 01:16:32.639]  I think Jeb is a nice person.
[01:16:32.799 --> 01:16:33.639]  He's very low energy.
[01:16:33.739 --> 01:16:35.300]  I'm not used to that kind of a person.
[01:16:38.442 --> 01:16:38.942]  Throw him out.
[01:16:39.183 --> 01:16:40.324]  Throw him out into the cold.
[01:16:40.844 --> 01:16:48.370]  Don't give him their coat.
[01:16:48.711 --> 01:16:48.991]  No coats.
[01:16:52.974 --> 01:16:58.599]  I have never seen a human being eat in such a disgusting fashion.
