[00:00:23.547 --> 00:00:24.727]  From the front lines.
[01:15:42.014 --> 01:15:43.315]  So it ends with
[01:15:44.429 --> 01:15:45.710]  It's dystopian.
[01:15:45.730 --> 01:15:54.893]  Look, it's a dystopian fairy tale, but you know, it really is like this race to see who can be strong through victimization.
[01:15:55.053 --> 01:15:56.073]  That's right.
[01:15:56.213 --> 01:16:00.395]  It's a race to make everybody be weak and lazy and stupid so they can be controlled.
[01:16:03.096 --> 01:16:07.998]  It was about 25 years ago that I began to read publicly available
[01:16:09.164 --> 01:16:17.365]  Books that have been written for the State Department and for the CIA by top professors at Georgetown, Harvard, and Yale.
[01:16:19.846 --> 01:16:25.947]  So that the CIA and other agencies could understand the complex political system they were building.
[01:16:27.347 --> 01:16:29.888]  And in short, it was going to be called a technocracy.
[01:16:30.688 --> 01:16:34.108]  But it was going to fund communism and socialism and fascism.
[01:16:35.049 --> 01:16:37.169]  But really what it was was crony capitalism.
[01:16:38.925 --> 01:16:44.107]  So decades later, after fighting against this, humanity is somewhat awake to the threat.
[01:16:46.048 --> 01:16:52.651]  But at the same time, despite all our successes, changing this paradigm really is an inside job.
[01:16:53.612 --> 01:16:54.632]  It's up to us personally.
[01:16:56.013 --> 01:17:02.856]  So, I don't feel sorry for myself being demonized by mainstream media and being attacked and the globalists filing frivolous lawsuits.
[01:17:03.376 --> 01:17:04.677]  I expected that to happen.
[01:17:05.837 --> 01:17:07.178]  This is 21st century warfare.
[01:17:09.181 --> 01:17:20.089]  I just wanna make sure that you, the listeners, and you, the viewers, many of you already understand this, so I'm not patronizing those of you that are already awake, but I wanna make sure all of you realize this isn't just some more entertainment.
[01:17:20.809 --> 01:17:22.350]  This isn't just some other talking head.
[01:17:23.031 --> 01:17:34.679]  The reason they hate what we cover is because I and others have researched what they actually are planning, and it is nightmarish, it is authoritarian, it is eugenics-based, it is anti-human.
[01:17:35.239 --> 01:17:37.441]  And we've already come so far together
[01:17:38.462 --> 01:17:47.469]  That I know that if each and every one of you will just go research these issues for yourself, you will find out how real it is and understand it's not your duty.
[01:17:48.049 --> 01:17:53.473]  It is your basic survival to stand up against this anti-human onslaught.
[01:17:54.594 --> 01:18:02.480]  If you go back into history, it was 3% that volunteered for the Revolutionary War back in 1776.
[01:18:04.713 --> 01:18:09.456]  But if you look at the InfoWars audience, it's maybe 10% of the United States.
[01:18:10.957 --> 01:18:12.959]  Another 10% or so worldwide.
[01:18:13.419 --> 01:18:14.940]  That's a conservative estimate.
[01:18:15.941 --> 01:18:18.602]  But we have 50, 60, 70 million people listening.
[01:18:19.403 --> 01:18:21.224]  We have more than that tuned in over the years.
[01:18:21.264 --> 01:18:26.147]  The point is that if you look at that, that's less than 3% of the world population.
[01:18:27.248 --> 01:18:37.993]  So what you're doing has already changed the world and instead of sitting here and going into each product and telling you how great they are, I'm just going to encourage you to go research them yourselves because you're funding our operation.
[01:18:38.073 --> 01:18:42.015]  Just like our information has changed the world, any products we sell
[01:18:43.459 --> 01:18:44.100]  Our game is changing.
[01:19:04.079 --> 01:19:06.621]  And then we have a new addition to the Super Blue family of products.
[01:19:06.661 --> 01:19:14.546]  You know about our best-selling fluoride-free toothpaste that's fortified with colloidal silver and iodine, other key compounds that are so good for your gums and teeth.
[01:19:15.166 --> 01:19:26.314]  We now have, not just the mouthwash, but Super Blue Silver Immune Gargle Mouth Spray that is concentrated with one of the strongest patented forms of colloidal silver out there.
[01:19:26.754 --> 01:19:33.639]  Silver, salt, nano-silver, iodine, the ionized water, stevia, peppermint, essential oil, and so much more.
[01:19:33.899 --> 01:19:36.060]  Thank you so much for being part of the Second American Revolution.
[01:20:06.866 --> 01:20:11.528]  You're listening to The Alex Jones Show.
[01:20:26.435 --> 01:20:31.417]  From the front lines of the information war, it's Alex Jones.
[01:20:33.954 --> 01:20:37.536]  Okay, I got sidetracked over into the Harvey Weinstein situation.
[01:20:37.556 --> 01:20:40.638]  And from what I've heard, people that know him, and he is a monstrous pig.
[01:20:41.239 --> 01:20:43.160]  I said that he reportedly raped women first.
[01:20:43.260 --> 01:20:50.545]  I was attacked by major publications on the left, like the Huffington Post, saying how Jones made outrageous claims.
[01:20:50.785 --> 01:20:53.686]  He said there's a cult, too, where they brand women and torture them.
[01:20:53.907 --> 01:20:55.428]  Well, I didn't want to say the name and get sued.
[01:20:55.448 --> 01:20:59.210]  I knew about NXIVM from people that had been on the periphery of it.
[01:20:59.730 --> 01:21:00.431]  I'm gonna leave it at that.
[01:21:01.471 --> 01:21:01.892]  But yeah.
[01:21:02.572 --> 01:21:06.756]  It's a lot bigger than that, and I heard Obama and Richard Branson were involved, and I said that.
[01:21:07.317 --> 01:21:08.217]  And now it's in the news.
[01:21:08.518 --> 01:21:09.439]  But I'm going to stop right there.
[01:21:09.479 --> 01:21:10.820]  You've got the floor for the time we have.
[01:21:10.840 --> 01:21:13.042]  You're going to be back in studio several hours with us.
[01:21:13.422 --> 01:21:17.927]  Mark Rondasza next Tuesday, because I knew he was a top lawyer, but my lawyers...
[01:21:18.447 --> 01:21:21.049]  You know, when I look at a complaint like this, and I see that it's got what, 394 paragraphs?
[01:21:41.860 --> 01:21:48.445]  You know, that's not always an indication of something, but it usually is in a case like this, because it's relatively simple facts.
[01:21:49.146 --> 01:21:54.950]  If we look at the facts, they're saying you said something hurtful about them, you said something untrue about them.
[01:21:55.350 --> 01:21:59.493]  That shouldn't require 400 odd paragraphs to explain.
[01:22:00.054 --> 01:22:06.959]  And when I look at this complaint, and I look at how the logical contortions that some of it went through, and I'm going to take
[01:22:07.722 --> 01:22:16.406]  At this point, a judge, if you file a motion to dismiss, is going to take everything in this complaint as true, just for the purpose of a motion to dismiss.
[01:22:16.986 --> 01:22:21.188]  Summary judgment or trial, that's later on when you evaluate the evidence.
[01:22:21.668 --> 01:22:27.010]  Let's look at this and just say every single thing in it is true from a factual perspective.
[01:22:27.777 --> 01:22:30.398]  It still seems like a pretty strange suit to me.
[01:22:31.118 --> 01:22:49.506]  It's trying to, you know, it's funny how when it accuses you of being a conspiracy theorist, but then it creates this, what seems like an implausible conspiracy among you and these other people who happen to just be some of your viewers.
[01:22:50.226 --> 01:22:57.049]  So, you know, if you want to bring, just as a theme, when you write a complaint, you write legal documents, you've got to remember
[01:22:57.853 --> 01:22:59.174]  You're talking to a human being.
[01:22:59.374 --> 01:23:03.137]  At the end of the day, a judge or the judge's clerks is going to read this.
[01:23:03.998 --> 01:23:13.445]  And if you if you create the theme of here's a conspiracy theory against this person we're accusing of being a conspiracy theorist, I think you lose a little rhetorical ground.
[01:23:14.827 --> 01:23:20.731]  Another thing I'm looking at and that I find curious is they've added one defendant.
[01:23:21.131 --> 01:23:22.853]  So this case is filed in Connecticut.
[01:23:23.834 --> 01:23:25.375]  They've added one defendant.
[01:23:25.996 --> 01:23:28.477]  Who's in Connecticut.
[01:23:28.737 --> 01:23:31.398]  So we've got plaintiffs in Connecticut and defendants in Connecticut.
[01:23:31.538 --> 01:23:35.679]  And why that's important is when you have diversity of citizenship.
[01:23:36.340 --> 01:23:41.741]  So you have plaintiffs and defendants from different states and they're seeking in excess of $75,000.
[01:23:43.042 --> 01:23:45.703]  You have the right to remove your case to federal court.
[01:23:46.463 --> 01:23:49.004]  That's something that's been enshrined in the law forever.
[01:23:49.719 --> 01:24:00.282]  Now, when you put somebody who's a nominal defendant on another side of the case so that you have defendant and plaintiffs on in the same state, you lose that right.
[01:24:01.262 --> 01:24:07.764]  So the concern here, I think, is that they really don't want this to get into federal court.
[01:24:08.388 --> 01:24:11.009]  Yeah, and there's a number of reasons for that.
[01:24:11.150 --> 01:24:14.411]  Federal court is perceived to be more defendant-friendly.
[01:24:14.431 --> 01:24:17.633]  It's not to say that I... Sure, I mean, let's just say it.
[01:24:17.873 --> 01:24:19.974]  They want it in local court.
[01:24:21.235 --> 01:24:21.675]  Sure, yeah.
[01:24:21.715 --> 01:24:27.879]  I mean, Connecticut judges are appointed for eight years, and then they can be reappointed.
[01:24:28.859 --> 01:24:33.602]  So if you have something that might be a politically challenging case,
[01:24:34.469 --> 01:24:37.953]  You probably would prefer it to be in state court.
[01:24:38.533 --> 01:24:49.385]  I'm not saying that the judge here isn't going to make a completely above board decision, but the reason that we put into the law this ability to remove to federal court
[01:24:50.220 --> 01:24:55.344]  Is because there was a perception that people might get hometowned by state court judges.
[01:24:55.925 --> 01:25:01.829]  Meanwhile, a federal judge, say what you want about lifetime tenure, there are problems with that.
[01:25:02.349 --> 01:25:08.094]  But one of the good things about lifetime tenure for a federal judge is they are completely insulated from politics.
[01:25:08.594 --> 01:25:11.236]  A federal judge can make whatever decision they want.
[01:25:11.376 --> 01:25:15.399]  Article 3 of the Constitution means the judge never has to say he's sorry.
[01:25:15.500 --> 01:25:16.741]  Sure, so in the time we have left,
[01:25:17.461 --> 01:25:20.603]  You're giving away too much here about the defense here.
[01:25:20.623 --> 01:25:33.171]  I mean, I think the goal here is public relations to drag me through the mud, to bring the shooting back up for political purposes, not by the family, but by the Democrats and by the establishment doing this.
[01:25:33.191 --> 01:25:34.691]  And a lot of them admit that in the news.
[01:25:35.032 --> 01:25:35.652]  But that's their goal.
[01:25:35.672 --> 01:25:41.055]  And then to keep saying that I'm still saying when I never said the way they said I did those things.
[01:25:41.956 --> 01:25:42.916]  They misrepresent it.
[01:25:43.277 --> 01:25:46.819]  They reboot it and then create the trauma they say I created.
[01:25:48.260 --> 01:25:57.992]  themselves by always bringing it back up and then never saying all the apologies or all the clarifications over the years.
[01:25:58.413 --> 01:26:03.219]  They just reboot the crime against humanity they say I committed.
[01:26:04.537 --> 01:26:16.225]  Well, you know, there is something called the Streisand effect, which means that there's no better way to bring a spotlight to statements that you don't want to hear than to sue over it.
[01:26:16.365 --> 01:26:20.448]  So, yes, they've kicked the beach ball back up in the air here by suing.
[01:26:21.729 --> 01:26:24.791]  As far as what this is part and parcel of, I think
[01:26:25.725 --> 01:26:35.337]  You know, I think we've, when you look at this, you know, you do have allegations in the complaint of people who really have had their feelings hurt by one thing or another.
[01:26:36.385 --> 01:26:37.526]  You can't discount that.
[01:26:37.866 --> 01:26:41.007]  That doesn't mean that I think it's definitely actionable.
[01:26:41.567 --> 01:26:43.968]  You have some problems in this complaint.
[01:26:44.669 --> 01:26:48.190]  Look, a lot of these statements are outside the statute of limitations.
[01:26:49.050 --> 01:26:52.592]  The statute of limitations in Connecticut for defamation is two years.
[01:26:53.412 --> 01:26:54.713]  Three years for other torts.
[01:26:54.753 --> 01:26:55.693]  But it's further than that.
[01:26:55.733 --> 01:26:57.234]  We've gone and pulled some of the statements up.
[01:26:57.834 --> 01:27:05.565]  Some of them are not even accurate in their little snippet, but then right after it, I'm playing devil's advocate and saying, but I don't believe that.
[01:27:05.966 --> 01:27:11.153]  So this is the next level saying you can't even question or talk about what other people are questioning.
[01:27:11.494 --> 01:27:13.256]  It's like this other lawsuit against me here in Texas.
[01:27:14.087 --> 01:27:15.768]  In a complaint like this, you know,
[01:27:42.495 --> 01:27:46.738]  I've seen, I don't know if it's next level, it's a very common thing, to be honest.
[01:27:47.779 --> 01:28:05.872]  Throughout my career, I've seen defamation cases like this where somebody has either motivation to shut somebody up, or simply looking for money, or actually feels genuinely wronged and is looking for the strongest legal theory possible.
