[00:00:08.671 --> 00:00:09.511]  It's April 1st, 2019.
[01:22:36.218 --> 01:22:37.059]  Then on top of that,
[01:22:38.075 --> 01:22:45.704]  The media uses what's happening in the lawsuits to try to create another false narrative and another fake story, to try to further demonize, to further marginalize.
[01:22:46.084 --> 01:22:47.646]  And it actually reflects an old objective.
[01:22:47.666 --> 01:22:56.156]  If you go back and study the cultural portrayal of poor whites or African Americans between 1900 and 1970, you'll see a similar demonization of entire groups of people.
[01:22:56.556 --> 01:22:56.996]  We're good to go.
[01:23:15.530 --> 01:23:18.871]  And because of that, they need to suppress it, they need to censor it, they need to shame it.
[01:23:19.231 --> 01:23:26.692]  And in order to achieve that, you're the one they've chosen to be the target to say, if you do what Alex Jones did, we'll treat you, we'll do what we did to Alex Jones.
[01:23:27.052 --> 01:23:28.333]  That's the goal, that's the objective.
[01:23:28.353 --> 01:23:29.733]  So that's it, it's the Alex Jones treatment?
[01:23:30.093 --> 01:23:30.513]  Absolutely.
[01:23:30.973 --> 01:23:36.014]  It's to say... It's like when they took William Wallace and Ron Corning and tortured him to death in front of everybody, it was a message.
[01:23:36.254 --> 01:23:41.916]  The most powerful form of censorship, as people like on the left, like Noam Chomsky and others have identified, is self-censorship.
[01:23:42.176 --> 01:23:43.756]  But how do you get people to self-censorship?
[01:23:44.116 --> 01:23:49.082]  You get them to believe they're being surveilled all the time, that they can be censored at any time, that they can be shamed for their support at any time.
[01:23:49.503 --> 01:23:50.144]  That's how you do it.
[01:23:50.164 --> 01:23:50.924]  That's how you achieve it.
[01:23:50.965 --> 01:23:52.747]  That's how the objective is accomplished.
[01:23:52.927 --> 01:23:54.068]  And that's what they're trying to do here.
[01:23:54.088 --> 01:24:01.898]  They're trying to terrorize the audience and terrorize future Alex Joneses from ever participating in this thought free press experience.
[01:24:02.979 --> 01:24:08.081]  And on YouTube and Facebook, if you're a quote, conspiracy person, that just means questioning the official narrative.
[01:24:08.221 --> 01:24:10.281]  If you attack me, they allow you to do it.
[01:24:10.802 --> 01:24:12.062]  And so they're monetized.
[01:24:12.142 --> 01:24:16.023]  And so all these people that used to like me, now their business is attacking me.
[01:24:16.464 --> 01:24:17.284]  Hundreds of channels.
[01:24:17.924 --> 01:24:24.209]  Because suddenly they don't get censored and they get monetized and so now all these channels are attack Alex Jones channels.
[01:24:24.490 --> 01:24:28.513]  So they're hitting me from the questioning angle and they're hitting me from the establishment angle.
[01:24:28.793 --> 01:24:31.035]  I've talked to a bunch of family, neighbors, crew here.
[01:24:31.476 --> 01:24:33.798]  They've got Time Warner, changed his name to Spectrum.
[01:24:35.017 --> 01:24:37.118]  And they have local news here run by CNN.
[01:24:37.558 --> 01:24:42.179]  Literally every 15 minutes, there's an attack piece that just re-rolls.
[01:24:42.720 --> 01:24:45.801]  And they even use old footage and go, here's Alex Jones losing in court.
[01:24:45.841 --> 01:24:47.461]  Here's Alex Jones who says he's crazy.
[01:24:47.741 --> 01:24:49.922]  Here's Alex Jones who's a racist.
[01:24:49.982 --> 01:24:52.783]  Jones is being taken off the internet for being anti-Semitic.
[01:24:52.843 --> 01:24:56.144]  And it's like 1984, but really it's not even me.
[01:24:56.184 --> 01:24:58.625]  It's that tarot card of Alex Jones.
[01:24:58.645 --> 01:24:59.785]  They've just created it.
[01:24:59.805 --> 01:25:01.626]  And one of the really astute things you point out,
[01:25:01.766 --> 01:25:08.930]  Because I read a lot of history myself, I never get into this enough, is America's real history was way more rich and way more complex.
[01:25:09.711 --> 01:25:12.492]  And anytime you talk about real history, they go, oh, you're defending it.
[01:25:12.612 --> 01:25:12.992]  No, no, no.
[01:25:13.012 --> 01:25:13.933]  It was the time they lived.
[01:25:13.953 --> 01:25:15.294]  There were blacks that owned slaves.
[01:25:15.734 --> 01:25:17.035]  There are still slaves in Africa.
[01:25:18.035 --> 01:25:20.977]  There were all these different forms of systems.
[01:25:21.017 --> 01:25:22.298]  And you talk about how Hollywood
[01:25:23.447 --> 01:25:30.931]  Demonized real American history, where New Yorkers and people still believe anywhere in the South there's KKK running around and burning crosses.
[01:25:31.932 --> 01:25:35.073]  And all of that Hollywood move actually built up the KKK for a while.
[01:25:35.333 --> 01:25:38.455]  And now they've again created this whole false narrative where we're all scared of each other.
[01:25:38.695 --> 01:25:39.095]  Absolutely.
[01:25:39.115 --> 01:25:43.517]  Like you go back and you study American history, they've tried to demonize poor white Southern culture in particular.
[01:25:43.878 --> 01:25:46.419]  People who think that Deliverance is a documentary of the South.
[01:25:47.099 --> 01:25:48.760]  Which was my experience when I was up at Yale.
[01:25:49.240 --> 01:25:59.865]  And the reason that I started to study this phenomenon that happened to both African-American culture and poor white culture, because they had a narrative of life experience that was different than the institutional narrative they spread in the civics books in third grade.
[01:26:00.345 --> 01:26:03.307]  They understood, I mean you go back you discover that there was a
[01:26:03.587 --> 01:26:08.110]  There was biracial coalitions between poor white Southerners and African-Americans going back to the 1830s.
[01:26:08.430 --> 01:26:13.794]  Many of the poor whites of the mountains of East Tennessee and places like that voted against slavery, voted against the Civil War.
[01:26:14.134 --> 01:26:19.918]  Many of them later joined the Populist, the original Populist movement from where the term originates, the People's Party of the 1890s.
[01:26:20.398 --> 01:26:28.644]  Then after that, and that's why they, what people don't know is that in fact, not only did they disfranchise most African-Americans in the South, but the institutional powers that be disfranchised most poor whites in the South.
[01:26:28.664 --> 01:26:33.327]  And the robber barons from, as you said, the 1830s learned to fear populist coalitions.
[01:26:33.587 --> 01:26:33.987]  Precisely.
[01:26:34.108 --> 01:26:39.192]  Everything you hear about anti-racism is actually making people all hate each other so we don't have coalitions.
[01:26:39.292 --> 01:26:39.652]  Exactly.
[01:26:39.692 --> 01:26:45.057]  It's why Black Lives Matter celebrates divisive events rather than events like my case in Milwaukee that brought people together.
[01:26:45.097 --> 01:26:46.758]  Your big case you just won that you can't talk about.
[01:26:46.898 --> 01:26:47.219]  Precisely.
[01:26:47.239 --> 01:26:48.200]  It was a unifying case.
[01:26:48.220 --> 01:26:51.442]  It was a case when people looked at that, they didn't see the color... They settled in day three of the trial?
[01:26:51.622 --> 01:26:52.623]  That's correct.
[01:26:52.783 --> 01:26:57.868]  And it's a case where the jury and the public didn't see the color of his skin, they saw a human being.
[01:26:58.228 --> 01:27:03.812]  And when you get that achievement, you get cross-racial, biracial, cross-political coalitions that are humanitarian-based.
[01:27:03.932 --> 01:27:04.633]  Shared experience.
[01:27:04.833 --> 01:27:05.354]  Absolutely.
[01:27:05.694 --> 01:27:06.875]  And that's real power.
[01:27:07.095 --> 01:27:08.316]  And that's the power they're afraid of.
[01:27:08.376 --> 01:27:09.477]  That's the power they're scared of.
[01:27:09.857 --> 01:27:22.367]  I mean, you're talking about corporate elites and economic elites who are looking at trying to automate large portions of labor and employment, looking at AI as a solution for their future labor needs and other needs, who increasingly don't see human beings as human beings.
[01:27:22.707 --> 01:27:25.629]  That's why they can support wars that drop bombs.
[01:27:25.649 --> 01:27:27.971]  Oh, they say, we're replacing you, we're making a post-human
[01:27:28.631 --> 01:27:28.972]  Exactly.
[01:27:28.992 --> 01:27:30.172]  They want a drone-driven era.
[01:27:30.472 --> 01:27:35.516]  They want, you know, the idea that drones could drop a bomb and kill a bunch of kids in a school doesn't bother them.
[01:27:35.536 --> 01:27:36.556]  They don't blink an eye about it.
[01:27:36.977 --> 01:27:48.204]  So it's the lack of humanitarianism within key positions of power around the world that is now being threatened by the popular and populist revolutions and rebellions that are taking place, not only across the United States, but across Europe and the world.
[01:27:48.564 --> 01:27:50.565]  And they're afraid of that, need to oppress that and suppress that.
[01:27:50.585 --> 01:27:51.366]  What would you call this?
[01:27:52.067 --> 01:27:52.708]  I don't know.
[01:28:00.393 --> 01:28:04.394]  If they weren't in deep trouble, they wouldn't need to be waging the personal war they're waging against you.
[01:28:04.854 --> 01:28:19.838]  So if they were in fact safely ensconced and felt completely as safe as a baby rocking in their mother's arms, they wouldn't need to be attacking you, demonizing you, constant lawfare waged against you, constant blacklisting on social media against you.
[01:28:19.858 --> 01:28:20.898]  They wouldn't need to do all of that.
[01:28:21.238 --> 01:28:23.659]  They need to do all of that because we're in a transitional period.
[01:28:23.959 --> 01:28:26.821]  We're in a period where either the people are going to win or the elites are going to win.
[01:28:27.121 --> 01:28:30.924]  Where the future is either going to be little d democratic or totally capital A authoritarian.
[01:28:31.264 --> 01:28:33.045]  And that's what they know, that's what they recognize.
[01:28:33.085 --> 01:28:35.767]  And to their credit, they realize that they're up against it.
[01:28:35.827 --> 01:28:39.390]  They realize that they're on the cusp of losing the power that they've long sought.
[01:28:39.670 --> 01:28:42.412]  And that's why they're waging a personal war against you and Infowar.
[01:28:43.072 --> 01:28:45.434]  Well, people just heard total Veritas, ladies and gentlemen.
[01:28:45.494 --> 01:28:46.594]  That's why it's happening.
[01:28:46.614 --> 01:28:48.516]  They looked and said, who's Mr. Anti-Globalist?
[01:28:48.996 --> 01:28:51.038]  They said he's ground zero.
[01:28:51.118 --> 01:28:51.599]  Get him.
[01:28:52.039 --> 01:28:53.341]  That's why your support is so critical.
[01:28:53.361 --> 01:28:55.223]  We'll be back to look at Trump.
[01:28:55.703 --> 01:28:57.465]  He's set to start the indictments and arrests.
[01:28:57.525 --> 01:28:58.686]  It's really gonna happen, folks.
[01:28:59.087 --> 01:29:00.488]  Stay with us, InfoWars.com.
[01:29:02.715 --> 01:29:09.357]  The Heights Public Library today debuting a new children's story hour called Drag Queen Storytime.
[01:29:09.537 --> 01:29:10.617]  My name is Blackberry.
[01:29:10.737 --> 01:29:12.218]  I'm a bearded drag queen.
[01:29:12.418 --> 01:29:14.918]  That means I'm a lady with lots of facial hair.
[01:29:15.338 --> 01:29:18.999]  Stephanie Whitfield sat in on the program designed to promote acceptance.
[01:29:19.400 --> 01:29:22.980]  I'm actually going to be one of the drag queens reading for Drag Queen Storytime.
[01:29:23.041 --> 01:29:24.301]  Drag Queen Storytime.
[01:29:24.441 --> 01:29:29.502]  And we witnessed parents taking their children, as young as two, inside to take part.
[01:29:29.522 --> 01:29:30.262]  Are you nervous?
[01:29:30.523 --> 01:29:30.703]  Yes.
[01:29:30.723 --> 01:29:32.103]  Do you want to touch my hair?
[01:29:33.146 --> 01:29:33.306]  No.
[01:29:34.006 --> 01:29:39.369]  And for the children and the people that support it are gonna realize that this is gonna be the grooming of the next generation.
[01:29:39.669 --> 01:29:45.031]  That's the whole goal is to make kids that aren't used to seeing something like me more comfortable to seeing it.
