[00:00:00.236 --> 00:00:01.857]  Come on man!
[01:14:26.778 --> 01:14:35.826]  To Rolling Stone, quoted, he bought the extra footage that was never aired from Pumping Iron because he praised Hitler and Pumping Iron in the extras they were going to put out.
[01:14:36.883 --> 01:14:38.964]  Nice form of extortion though, the filmmakers.
[01:14:38.964 --> 01:14:40.524]  He bought it for millions.
[01:14:40.524 --> 01:14:43.925]  So he went to the ADL and paid them off.
[01:14:43.925 --> 01:14:51.207]  PewDiePie, they call a Nazi for a reason because he's got a hundred and something billion views and it's growing and they're jealous.
[01:14:51.207 --> 01:14:54.669]  So the ADL is always attacking him, calling for him to be taken off the internet.
[01:14:54.669 --> 01:14:56.429]  So he gave them $50,000 or started to.
[01:14:56.429 --> 01:14:57.469]  There was a big backlash.
[01:14:57.469 --> 01:14:59.170]  ADL didn't thank him.
[01:14:59.170 --> 01:15:01.031]  And so he said, screw you, I'll take the money back.
[01:15:01.031 --> 01:15:02.091]  A great way to chump the ADL.
[01:15:03.442 --> 01:15:11.246]  The ADL with Abe Foxman discredited itself so bad, lost a bunch of lawsuits, got caught breaking into police stations to get files on people.
[01:15:11.246 --> 01:15:20.151]  And the ADL is a leftist group trying to use what happened to the Jews in the Holocaust to project it on the American people.
[01:15:20.151 --> 01:15:21.172]  And to make us all guilty.
[01:15:21.172 --> 01:15:23.273]  Hey, we kicked Hitler's ass, ADL.
[01:15:24.221 --> 01:15:27.462]  And so, you try to tell us all we're Nazis, hittin' gunna hunt.
[01:15:27.462 --> 01:15:29.302]  By the way, they're trying though.
[01:15:29.302 --> 01:15:31.322]  Right-wingers are America's deadliest terrorists.
[01:15:31.322 --> 01:15:38.084]  We're gonna get to the false numbers on the other side as they try to sell you this, that right-wingers and white people are terrorists.
[01:15:38.084 --> 01:15:40.744]  Boy, doesn't that sound racist?
[01:15:40.744 --> 01:15:49.106]  I mean, this is the left going pure racial politics to divide us, while telling us, when we try to unify people, that we're dividing.
[01:15:49.106 --> 01:15:53.747]  I love people of every color, according to their deeds, like Martin Luther King rightfully said.
[01:15:56.058 --> 01:16:07.106]  When you have a pain in the neck, a real pain in the neck, back, shoulder or legs, you now have two convenient choices to get fast relief without taking another pill.
[01:16:07.106 --> 01:16:12.550]  Because now, Sunny Bay Heating Wraps and Pillows are available at both Amazon and Walmart.
[01:16:12.890 --> 01:16:13.531]  Yes.
[01:16:13.531 --> 01:16:19.800]  See Sunny Bay's four and a half to five star customer reviews on Amazon .com or Wal-Mart .com.
[01:16:19.800 --> 01:16:26.269]  Our microwavable heat wraps, heatable neck pillows and extra large body wraps are designed better for perfect support
[01:16:28.212 --> 01:16:37.235]  Even while driving, Sunny Bay wraps will not burn and stay balanced to provide soothing hot or cold therapy to help treat temporary or chronic pain.
[01:16:37.235 --> 01:16:41.497]  And the best part, Sunny Bay quality products start at under 20 dollars.
[01:16:41.497 --> 01:16:49.519]  Join thousands of happy customers and see why Sunny Bay products have a lifetime 100% positive rating on both Amazon and Etsy.
[01:16:49.519 --> 01:16:50.299]  It's easy.
[01:16:50.299 --> 01:16:54.161]  Click Amazon or Walmart and search today for Sunny Bay.
[01:16:55.316 --> 01:16:57.277]  Heart disease is on the rise.
[01:16:57.277 --> 01:17:02.600]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[01:17:02.600 --> 01:17:04.180]  But the symptoms are there.
[01:17:04.180 --> 01:17:12.524]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[01:17:12.524 --> 01:17:18.227]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[01:17:18.387 --> 01:17:20.209]  My blood pressure has normalized.
[01:17:20.209 --> 01:17:22.392]  My diabetes has totally improved.
[01:17:22.392 --> 01:17:26.898]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[01:17:26.898 --> 01:17:29.101]  I recommend Heart and Body Extract to everyone.
[01:17:29.101 --> 01:17:36.951]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[01:17:36.971 --> 01:17:41.134]  Order your two-month supply today by calling 866-295-5305.
[01:17:41.134 --> 01:17:45.017]  That's 866-295-5305.
[01:17:45.017 --> 01:17:48.040]  Or order online, HBextract.com.
[01:17:48.040 --> 01:17:50.282]  Heart and Body Extract, 866-295-5305.
[01:17:50.282 --> 01:17:56.987]  Or HBextract.com.
[01:17:56.987 --> 01:18:05.094]  As I sit here recording this on the eve of September 11th, 2019, and I look back to that tragic event 18 years ago,
[01:18:06.454 --> 01:18:20.481]  It makes me sick to my stomach to be vindicated and have the Fire Department of New York and major construction and engineering firms come out and confirm that bombs were in Tower 1, Tower 2, and of course Building 7.
[01:18:20.481 --> 01:18:22.663]  It's just pancakes.
[01:18:22.663 --> 01:18:30.327]  And that then FBI Director Robert Mueller helped cover the whole thing up with the Saudis and to know that there's a deep state group
[01:18:31.087 --> 01:18:42.870]  Working within our government with radical Islam, who are using the threat of Islamic terror to take our basic liberties and freedoms, while empowering and funding radical Islam to take over the planet.
[01:18:42.870 --> 01:18:52.472]  Well, 18 years later, I'm here to tell you that the world has awakened to 9-11, and InfoWars, and our researchers, and our guests, and our whistleblowers have been vindicated yet again.
[01:18:52.472 --> 01:18:54.673]  That's why InfoWars.com is more important than ever.
[01:18:55.993 --> 01:19:00.215]  We sold Secret 12 for four years and it was our number third bestseller.
[01:19:00.215 --> 01:19:04.978]  We had to discontinue it because when you upgrade a formula, you are supposed to rename it.
[01:19:04.978 --> 01:19:07.239]  That new formula is Ultra 12.
[01:19:07.239 --> 01:19:09.240]  It's twice as strong as Secret 12.
[01:19:09.240 --> 01:19:11.621]  The very best vitamin B12 out there.
[01:19:11.621 --> 01:19:16.724]  It's got the complex system that lets your body absorb it and it does amazing things.
[01:19:16.724 --> 01:19:18.544]  Supports healthy nerve and brain cells.
[01:19:18.544 --> 01:19:19.825]  Helps make DNA.
[01:19:19.825 --> 01:19:21.166]  Helps the body produce energy.
[01:19:21.166 --> 01:19:22.667]  Helps produce healthy blood cells.
[01:19:22.667 --> 01:19:23.427]  Essential for proper
[01:19:23.707 --> 01:19:25.470]  Nervous system function, it goes on and on.
[01:19:25.470 --> 01:19:33.761]  B12 deficiency is a serious problem that can cause anemia, fatigue, weakness, constipation, weight loss, depression, poor memory loss, asthma, vision problems, and low sperm count.
[01:19:33.761 --> 01:19:36.305]  Bottom line, folks, you need Ultra 12.
[01:19:36.305 --> 01:19:38.007]  It helps fund the info war, so it's a 360 win.
[01:19:38.968 --> 01:19:43.131]  And it's 50% off for a limited time at InfoWarsStore.com.
[01:19:43.131 --> 01:19:48.454]  Again, we can only run the special for the next two weeks or so while supplies last.
[01:19:48.454 --> 01:19:49.455]  Ultra 12.
[01:19:49.455 --> 01:19:50.556]  Twice as powerful.
[01:19:50.556 --> 01:19:51.296]  Half the price.
[01:19:51.296 --> 01:19:59.902]  50% off right now at InfoWarsLive.com.
[01:19:59.902 --> 01:20:02.544]  You're listening to the Alex Jones Show.
[01:20:08.653 --> 01:20:22.925]  You are listening to an Infowars.com Frontline Report.
[01:20:22.925 --> 01:20:26.788]  If you are receiving this transmission, you are the resistance.
[01:20:34.654 --> 01:20:37.778]  I almost forgot some exciting news.
[01:20:37.778 --> 01:20:44.647]  I've been so focused on all the breaking news across the country from Texas to New York to Illinois to California.
[01:20:44.647 --> 01:20:47.590]  Confirming in court and in Congress in DC.
[01:20:49.082 --> 01:20:56.307]  That children are being kept alive illegally all over the world, not just here, and their organs are being harvested.
[01:20:56.307 --> 01:20:59.089]  Yes, it's horrific, but we knew this a long time ago.
[01:20:59.089 --> 01:21:14.600]  Now it's coming out, and that's why the Satanists and their minions are trying to really intimidate and bully everybody right now, because they can feel the heat, the searing light of publicity, like high noon vaporizing Count Dracula.
[01:21:14.600 --> 01:21:17.963]  Now, President Trump tweeted Paul Joseph Watson's great news site,
[01:21:19.148 --> 01:21:21.070]  Summit.News.
[01:21:21.070 --> 01:21:22.651]  And I was talking to Paul this morning.
[01:21:22.651 --> 01:21:26.315]  Paul said, yeah, we've gotten over a million visitors from it.
[01:21:26.315 --> 01:21:28.577]  So thanks to President Trump.
[01:21:28.577 --> 01:21:37.445]  Ship carrying climate change warriors concerned about melting Arctic ice get stuck in the ice.
[01:21:37.445 --> 01:21:40.408]  And of course, right now is the end of summer.
[01:21:41.946 --> 01:21:58.392]  This is the peak time in the Arctic, the North Pole and the Northern Passage, and there are big Russian nuclear-powered icebreakers that the West uses, that Russia uses, now that through most of the year, they actually keep it open.
[01:21:58.392 --> 01:22:00.373]  They keep it open in the middle of the winter if they want.
[01:22:00.373 --> 01:22:10.157]  There's a few months they usually take off, and these big giant nuclear-powered evil Russians keep that Northern Passage all the way around the North Pole broken open.
[01:22:11.502 --> 01:22:19.646]  Some leftists wanted to go stage an event, because they do this every summer, and they show melting glaciers collapsing at the end of summer.
[01:22:19.646 --> 01:22:27.869]  That's why you always have had the icebergs, sometimes giant ones, you know, the size of a city from Antarctica to the south or Arctic to the north, float sometimes.
[01:22:27.869 --> 01:22:33.632]  There have been cases where they've seen them all the way up by Brazil's coast from the Arctic or from the Antarctic, because
[01:22:34.592 --> 01:22:39.235]  It'll break off and be the size of Dallas, was one they said was the size of Dallas years ago.
[01:22:39.235 --> 01:22:45.398]  And by the time it went a couple thousand miles north up to Brazil, it was still huge, though a lot smaller.
[01:22:45.398 --> 01:22:50.680]  And the media always points at it and says, look at that.
[01:22:50.680 --> 01:22:51.601]  Look at that.
[01:22:51.601 --> 01:22:52.321]  It's all melting.
[01:22:52.321 --> 01:22:57.544]  Well, that's because the Arctic and the Antarctic get smaller in the summer.
[01:22:58.544 --> 01:23:00.144]  Bigger in the winter.
[01:23:00.144 --> 01:23:04.905]  Now, I know all of you know that, but they'll show all the time to school kids, they were showing it.
[01:23:04.905 --> 01:23:11.967]  You know, my kid saw some TV program, my middle daughter was asking last week, she goes, Dad, they showed a satellite.
[01:23:11.967 --> 01:23:16.208]  Because she'd heard me talk about how the ice caps are actually the biggest ever recorded right now, which they are.
[01:23:16.208 --> 01:23:20.248]  They've only been recording them, though, for a couple hundred years.
[01:23:20.248 --> 01:23:22.769]  And she heard me saying, oh, that's all bull.
[01:23:22.769 --> 01:23:24.249]  She said, but they showed it shrinking.
[01:23:24.249 --> 01:23:27.230]  And I said, honey, that was a time lapse of the summer.
[01:23:28.257 --> 01:23:36.980]  And I went online and showed her how they run the scams, and what's up with that and other sites, where Monk and sites have it.
[01:23:36.980 --> 01:23:39.261]  And it shows the ice caps getting smaller.
[01:23:39.261 --> 01:23:41.602]  Well, they show you the ice caps getting smaller.
[01:23:42.549 --> 01:23:45.790]  And of course, the fall comes and winter, they get bigger.
[01:23:45.790 --> 01:23:46.491]  That's how that works.
[01:23:46.491 --> 01:23:56.515]  And then, at many times, the northern passage gets completely blocked if the Russians weren't going back and forth with these gigantic nuclear-powered icebreakers, which are amazing in and of themselves.
[01:23:56.515 --> 01:23:58.936]  I watched a documentary about that just a few weeks ago.
[01:23:58.936 --> 01:24:01.617]  Actually, my daughter was asking about it, and I went and showed her this.
[01:24:01.617 --> 01:24:02.997]  And then she went, what's that?
[01:24:02.997 --> 01:24:04.798]  It was an RT show about icebreakers.
[01:24:04.798 --> 01:24:08.599]  And all of a sudden, she got obsessed with icebreakers, and next we were watching northern
[01:24:10.540 --> 01:24:20.184]  Military convoys, and the race to the Arctic, and the US and the Russians sending in forces to the Arctic, and we spent like an hour at the computer watching it, but I'm digressing.
[01:24:20.184 --> 01:24:21.905]  It is riveting stuff.
[01:24:21.905 --> 01:24:28.067]  Ship-tearing climate change warriors concerned about melting Arctic ice get stuck in the ice, and it goes on.
[01:24:28.067 --> 01:24:34.190]  Arctic tour ship MS Momo, with 16 passengers on board, got stuck September 3rd.
[01:24:35.913 --> 01:24:39.335]  And it goes on with the Archipelago Reports Maritime Bulletin.
[01:24:39.335 --> 01:24:47.360]  The ship is on Arctic tour with climate change documentary team film, and tourists concerned that climate change and melting ice.
