[00:00:00.190 --> 00:00:01.838]  Offend Liberty Worldwide!
[01:20:39.301 --> 01:20:44.163]  Turn on the news and you'll hear stories of natural disasters, political unrest, and financial crisis.
[01:20:44.504 --> 01:20:48.186]  In times of uncertainty, how will you take care of your family's most basic needs?
[01:20:48.486 --> 01:20:54.929]  Food Insurance, America's most trusted provider of freeze-dried emergency food, has solutions that fit your family's needs and budget.
[01:20:55.209 --> 01:20:59.171]  Our meals are delicious, nutritious, and come with a guaranteed 25-year shelf life.
[01:20:59.431 --> 01:21:03.553]  For a limited time, we are sending a free freeze-dried meal to all listeners of this program.
[01:21:03.653 --> 01:21:06.915]  Go to foodinsurance.com and request your free meal today.
[01:21:07.115 --> 01:21:08.216]  That's foodinsurance.com.
[01:21:09.454 --> 01:21:13.376]  Communist China freely allows the sale of bulletproof armor plates, while our U.S.
[01:21:13.416 --> 01:21:16.337]  politicians argue from banning Americans from owning body armor.
[01:21:16.498 --> 01:21:17.818]  Does that sound right to you?
[01:21:18.038 --> 01:21:20.960]  Arm your American body at InfidelBodyArmor.com.
[01:21:21.300 --> 01:21:23.861]  Infidel Body Armor just won't quit.
[01:21:23.881 --> 01:21:26.503]  Hi, Ted Anderson with Midas Resources.
[01:21:26.723 --> 01:21:31.185]  Is it time to convert paper 401ks and IRAs to solid gold and silver yet?
[01:21:31.365 --> 01:21:32.906]  Get our 10 Reasons book free.
[01:21:33.086 --> 01:21:33.366]  Call 800-686-2237.
[01:21:33.386 --> 01:21:33.566]  That's 800-686-2237.
[01:21:39.349 --> 01:21:39.689]  I think so.
[01:22:08.709 --> 01:22:12.194]  As if chlorine in our water weren't bad enough, now they're adding ammonia?
[01:22:12.935 --> 01:22:13.455]  It's true.
[01:22:13.575 --> 01:22:17.501]  Some municipalities are now adding ammonia plus chlorine to your water supply.
[01:22:17.721 --> 01:22:19.583]  It's a disinfectant called chloramine.
[01:22:20.124 --> 01:22:24.590]  But with a trusted Big Berkey water filter, you can keep chloramine out of your water.
[01:22:24.890 --> 01:22:37.495]  New NSF EPA Certified Lab Tests show EPA Berkey Water Filters remove chloramines, pharmaceuticals, BPA, pesticides, bacteria and viruses, all forms of fluoride, and much more.
[01:22:37.755 --> 01:22:41.256]  Big Berkey Water Filters are the original and most trusted on the market.
[01:22:41.556 --> 01:22:43.836]  The gold standard in water purification.
[01:22:44.197 --> 01:22:48.217]  And our filters last for years at less than two cents per gallon.
[01:22:48.517 --> 01:22:49.137]  Big Berkey.
[01:22:49.337 --> 01:22:52.838]  The one that's powerful enough to purify stagnant pond water.
[01:22:53.038 --> 01:22:54.658]  Get your Big Berkey today.
[01:22:54.799 --> 01:22:57.099]  Call 1-877-99-BERKEY or click BigBerkeyWaterFilters.com.
[01:22:57.179 --> 01:22:57.779]  That's 1-877-99-BERKEY.
[01:22:57.919 --> 01:22:59.179]  Big Berkey Water Filters.
[01:22:59.239 --> 01:23:00.300]  For the love of clean water.
[01:23:08.553 --> 01:23:09.053]  Okay.
[01:23:09.273 --> 01:23:10.553]  Open your mouth and say ah.
[01:23:11.253 --> 01:23:11.373]  Ah.
[01:23:11.814 --> 01:23:14.314]  When your child has a sore throat, you need to know when to get help.
[01:23:14.474 --> 01:23:15.834]  The doctor-recommended Say Ah!
[01:23:15.854 --> 01:23:17.535]  Sore Throat Exam is your solution.
[01:23:17.695 --> 01:23:23.436]  The scientifically designed oral retractor offers a clear view of the throat, relaxing the tongue and minimizing gag reflex.
[01:23:23.656 --> 01:23:26.216]  Compare with a medical grade chart, website, and app.
[01:23:26.316 --> 01:23:28.056]  Then you'll know just what to tell your doctor.
[01:23:28.076 --> 01:23:30.237]  A wellness plan in your hands in minutes.
[01:23:30.437 --> 01:23:33.297]  Go to sayahhnow.com.
[01:23:33.537 --> 01:23:34.157]  Say Ah!
[01:23:34.277 --> 01:23:35.158]  Now.com.
[01:23:35.278 --> 01:23:37.658]  The new mainstay for every family's first aid kit.
[01:23:38.138 --> 01:23:44.963]  By now you know that wireless technology like cell phones do in fact pose dangers to the health and privacy of everyone.
[01:23:45.163 --> 01:23:50.006]  Block It Pocket's wide range of products are unmatched in providing the protection you deserve.
[01:23:50.187 --> 01:23:52.288]  No scare tactics, just common sense.
[01:23:52.428 --> 01:23:58.953]  BlockItPocket.com offers quality American-made options to alleviate and eliminate these invisible dangers.
[01:23:59.113 --> 01:24:01.615]  Learn more at BlockItPocket.com or call 888-315-9618.
[01:24:01.695 --> 01:24:04.036]  BlockItPocket.com, enhancing health and privacy.
[01:24:09.844 --> 01:24:13.433]  No matter how hard you try, you can't stop us now!
[01:24:22.162 --> 01:24:23.663]  CarlForSheriff.com.
[01:24:23.703 --> 01:24:25.364]  Carl Pittman, an impressive guy.
[01:24:26.065 --> 01:24:28.486]  You know, we love having good sheriffs on.
[01:24:28.926 --> 01:24:32.889]  We also love having people that are running for sheriff, and he's got a lot of backing, doing good in the polls.
[01:24:32.929 --> 01:24:34.510]  He has a very good chance of winning.
[01:24:34.890 --> 01:24:41.715]  I want to talk about how we get you and other sheriffs elected, but he also wrote a book, The Personal Journey of a Black Common Sense Conservative.
[01:24:41.755 --> 01:24:42.395]  Carl Pittman.
[01:24:42.695 --> 01:24:46.678]  The book is available on his website, and I can't wait to read it.
[01:24:47.058 --> 01:24:47.839]  Carl For Sheriff.
[01:24:50.142 --> 01:24:54.110]  And if you want to join us on air, we'll take a few calls before this hour ends.
[01:24:54.872 --> 01:24:55.052]  It's 800-259-9231.
[01:24:59.091 --> 01:25:00.773]  I'll tell you what I appreciate about Ted Nugent.
[01:25:01.574 --> 01:25:02.575]  Ted is the real deal.
[01:25:03.156 --> 01:25:03.737]  He's not a fake.
[01:25:03.777 --> 01:25:04.517]  He is a maniac.
[01:25:04.598 --> 01:25:05.979]  I love maniacs.
[01:25:05.999 --> 01:25:15.630]  And he travels around the country just like Charlton Heston did, who was a big part of the real civil rights movement when Republicans got it passed.
[01:25:16.451 --> 01:25:17.272]  It wasn't the Democrats.
[01:25:17.292 --> 01:25:19.414]  And again, I'm not even a Republican because the leadership's so bad.
[01:25:20.714 --> 01:25:22.256]  They're a bunch of blue blood rhinos.
[01:25:41.736 --> 01:25:49.519]  Speaking of inverting reality, I've been asking a lot of the questions here, but what are some of the other points you want to get out about what this country's facing?
[01:25:49.559 --> 01:25:53.461]  Because what I like that you have to say in your speeches is, we're in a lot of trouble.
[01:25:54.121 --> 01:25:55.841]  I mean, we're not embellishing this.
[01:25:56.222 --> 01:25:59.523]  In fact, I keep getting amazed, sir, at
[01:26:01.567 --> 01:26:04.050]  How aggressive and crazy the left is.
[01:26:04.270 --> 01:26:05.372]  They're not even the left.
[01:26:05.432 --> 01:26:10.117]  It's like a totalitarian criminal cult that knows exactly what they're doing.
[01:26:11.318 --> 01:26:14.943]  So, Sheriff Pittman, what do you say about that?
[01:26:15.784 --> 01:26:19.268]  Well, remember what is helping to push this movement.
[01:26:20.430 --> 01:26:30.035]  Because of social programs in this country, welfare, there's a lot of people out there that have attached their existence and livelihood on getting free stuff from the government.
[01:26:30.496 --> 01:26:37.620]  So, can you imagine anyone that would advocate getting rid of that would obviously be viewed as the enemy.
[01:26:38.320 --> 01:26:43.447]  When conservatives simply want to empower people to take care of themselves.
[01:26:44.168 --> 01:26:46.050]  Now, that's a problem for a lot of people.
[01:26:46.130 --> 01:26:55.943]  If you've watched your grandmother, your mother, sit at home and wait to open the mailbox to get a check or food stamps or free phones or whatever housing subsidies,
[01:26:56.824 --> 01:27:02.007]  It's really difficult to convince these people that getting up, going to work's a pretty good idea.
[01:27:02.027 --> 01:27:04.869]  Now, I grew up my entire life doing it.
[01:27:05.069 --> 01:27:06.150]  I'm sure so did you.
[01:27:06.170 --> 01:27:08.852]  When I was 13, my dad said, go get a job.
[01:27:09.012 --> 01:27:10.473]  Absolutely, that's what it's about.
[01:27:10.513 --> 01:27:15.876]  You know, I hate the fact that I'm paying taxes and I don't like paying taxes.
[01:27:16.796 --> 01:27:18.638]  And I surely don't want to pay high taxes.
[01:27:19.278 --> 01:27:23.501]  But the fact that I know that there is some cost to make this country work
[01:27:24.321 --> 01:27:31.327]  I would be so pleased if simply the government would do what the Constitution gave it the authority to do.
[01:27:31.627 --> 01:27:33.329]  Hell, just deliver the mail on time.
[01:27:33.369 --> 01:27:34.130]  That'd be pretty good.
[01:27:34.650 --> 01:27:39.875]  But they've dipped themselves into everything, and what we keep watching happen.
[01:27:40.902 --> 01:27:58.128]  Is this idea that it's certain people against certain other peoples and I think race is one of the most dangerous and volatile issues because they know that it is something that they can bring people into their camp to do some pretty bad things.
[01:27:58.288 --> 01:28:04.230]  Ted Cruz called it the fascist left and I agree with that because this isn't the left I've known in the past that had some good ideas.
[01:28:04.790 --> 01:28:07.531]  This is really a group crazed that wants full power.
[01:28:08.251 --> 01:28:18.478]  And I think they're doing it because they realize there's a movement against it gaining steam, and this is really a desperate act of arrogance and fake bravado to try to finish their takeover.
[01:28:18.918 --> 01:28:20.759]  I think they're doing it because they know they're in trouble.
[01:28:21.179 --> 01:28:27.844]  Well, they are in trouble, and you know, every time they, I can guarantee you, if they see more and more black conservatives start stepping up...
[01:28:28.624 --> 01:28:29.745]  Uh, that scares the hell out of them.
[01:28:30.345 --> 01:28:38.188]  Because the commentary in this country has been for a long time, for several decades, that blacks tend to vote Democrat.
[01:28:38.208 --> 01:28:38.448]  90% of them.
[01:28:38.468 --> 01:28:38.988]  Yeah.
[01:28:39.588 --> 01:28:43.870]  And so we have to start changing that by simply putting out the truth.
[01:28:44.350 --> 01:28:48.212]  And the truth is, the Democrat Party has done very little
[01:28:48.752 --> 01:28:54.220]  To help minorities in this country that was not somehow aligned to pushing their agenda.
[01:28:54.561 --> 01:28:58.467]  And they will use any tactic necessary to get it done.
[01:28:59.288 --> 01:29:00.229]  And we must...
[01:29:01.471 --> 01:29:05.054]  I think we've got to take a few plays out of their playbook and start hitting back.
[01:29:05.834 --> 01:29:11.178]  Do you think, though, they've jumped the shark trying to start a localized civil war with police?
[01:29:11.678 --> 01:29:28.951]  Well, you know, I think when you go back and look at some of the legislation that has come about in past years, whether it's things that have happened through the Patriot Act or NDAA, you know, it's scary to believe that Barack Obama has his finger on the ability to declare martial law in this country.
[01:29:29.831 --> 01:29:30.772]  Hold on, stay there.
[01:29:30.792 --> 01:29:34.674]  This is bombshell because you go further than a lot of these constitutional sheriffs.
[01:29:35.374 --> 01:29:35.995]  You're like Mac.
[01:29:36.015 --> 01:29:36.915]  You know what you're talking about.
[01:29:37.255 --> 01:29:41.578]  Break down this move towards tyranny and why the Constitution is so important.
[01:29:41.598 --> 01:29:42.778]  When we come back, I'm going to give you the floor.
[01:29:42.798 --> 01:29:52.544]  I'm going to let you roll, sir, with just all your knowledge, the situation with the execution of police around the country, where you think that's going, and more, and phone calls.
[01:29:52.564 --> 01:29:52.924]  800-259-9231.
[01:29:52.944 --> 01:29:53.284]  I'm Alex Jones.
[01:29:58.915 --> 01:30:01.918]  We're on the march, the Empire's on the run.
[01:30:02.859 --> 01:30:05.522]  Alex Jones and the GCN Radio Network.
[01:30:09.677 --> 01:30:13.240]  ISIS has demanded that Syrian Christians pay an Islam tax.
