[00:00:16.411 --> 00:00:21.113]  Ladies and gentlemen, Owen Schroyer here hosting the Alex Jones Show.
[01:25:18.307 --> 01:25:20.928]  I believe we're all made in the image of God.
[01:25:20.928 --> 01:25:24.069]  And I believe that when we put our faith in Him, we receive His Holy Spirit.
[01:25:24.069 --> 01:25:26.429]  We are His temple, His blind place.
[01:25:26.429 --> 01:25:34.011]  And 1 Corinthians 3 and 1 Corinthians 6 both say that people are going to answer for damaging or destroying that temple.
[01:25:34.011 --> 01:25:40.312]  And I'm not willing to voluntarily surrender my temple to other people to abuse for any reason.
[01:25:40.312 --> 01:25:45.233]  So to me, the issues are, if I have faith and I have a right to live,
[01:25:45.959 --> 01:25:53.165]  According to our Constitution, I have a right to agree to what I participate in faith-wise or not.
[01:25:53.165 --> 01:25:59.991]  Congress is not allowed, the government is not allowed, the administration is not allowed to mandate what my faith is.
[01:25:59.991 --> 01:26:07.918]  And yet people's faiths are being rejected if they do not agree to the status and to the mandate of getting a shot.
[01:26:07.918 --> 01:26:10.521]  That doesn't make sense to me.
[01:26:10.521 --> 01:26:11.722]  So let's talk about that.
[01:26:13.439 --> 01:26:27.685]  Doctors, or anybody for that matter, that have real medical exemptions, this is just one angle of it, that have real medical exemptions that can't get the vaccine, are now losing their jobs because of that.
[01:26:27.685 --> 01:26:30.126]  Correct.
[01:26:30.126 --> 01:26:36.509]  For instance, you know, I've been injured because of a flu shot, and I have a brain shot, two of them.
[01:26:36.509 --> 01:26:39.130]  One works, one doesn't.
[01:26:39.130 --> 01:26:40.691]  I've been diagnosed with a brain tumor,
[01:26:41.787 --> 01:26:49.554]  Why should I take a shot that could further damage my ability to think and function, provide for my family and have ministry with people?
[01:26:49.554 --> 01:26:52.016]  It should be my right to say no.
[01:26:52.016 --> 01:26:59.442]  I should not have to take a shot out of fear that I won't have income and therefore risk my sanity, my livelihood.
[01:26:59.442 --> 01:27:07.889]  My brain and my body have already been damaged by the brain surgeries and by the flu shots, so why would I make myself more vulnerable?
[01:27:08.833 --> 01:27:27.268]  I believe there should be people of faith that are allowed to serve with their faith, with whatever immunity they have, and I'm willing to take the risk to get sick myself, but I can't be more dangerous to others when those that have the shots have been proven to be guilty of passing it as well.
[01:27:27.268 --> 01:27:32.573]  I know people that have had both shots and a booster and had the flu shot and died.
[01:27:32.573 --> 01:27:34.334]  It does not prevent death.
[01:27:34.334 --> 01:27:36.696]  I don't care what story is being passed around.
[01:27:36.696 --> 01:27:37.977]  I've seen too much of the opposite.
[01:27:39.662 --> 01:27:46.925]  And there's a similar situation, an individual in Boston who is on a heart transplant list.
[01:27:46.925 --> 01:27:52.708]  He's now been removed from the heart transplant list because he is not vaccinated.
[01:27:52.708 --> 01:27:54.408]  He hasn't gotten the COVID vaccine.
[01:27:54.408 --> 01:27:55.109]  The problem is,
[01:27:56.189 --> 01:27:59.451]  His doctors tell him, if you get this vaccine, you're going to die!
[01:27:59.451 --> 01:28:01.193]  Your heart's going to fail!
[01:28:01.193 --> 01:28:08.077]  So literally, if he gets the vaccine, he dies, but because he won't get the vaccine, he's going to die because he can't have the heart transplant.
[01:28:08.077 --> 01:28:17.004]  I mean, that's basically medical-induced, prescribed death!
[01:28:17.004 --> 01:28:21.647]  Which, again, makes you question what the motives are.
[01:28:21.647 --> 01:28:24.669]  Is the population being limited or controlled because of this?
[01:28:27.952 --> 01:28:29.232]  Well, that's what I want to get with you.
[01:28:29.232 --> 01:28:30.613]  We're going to take a break here.
[01:28:30.613 --> 01:28:46.217]  On the other side, when you look at all this, and you're in the crosshairs of it now too, not wanting to get a vaccine that's going to do harm to you and is not going to do anything good for you or others around you, what conclusions have you reached?
[01:28:46.217 --> 01:28:47.157]  What are the motives?
[01:28:47.157 --> 01:28:49.838]  What do you think is really going on here?
[01:28:49.838 --> 01:28:54.159]  We are with Pastor Paul Isaacs here on the Alex Jones Show.
[01:28:54.159 --> 01:28:55.499]  We'll answer these questions on the other side.
[01:28:58.308 --> 01:29:00.610]  Reset Wars is legit.
[01:29:00.610 --> 01:29:02.492]  Reset Wars has been a great tool.
[01:29:02.492 --> 01:29:04.794]  It's amazing and eye-opening.
[01:29:04.794 --> 01:29:16.664]  It really dives deeper into yourself and into the bigger picture that doesn't necessarily go across political lines or religious lines but about all of us as a human species coming together.
[01:29:16.664 --> 01:29:18.065]  I'm a combat veteran.
[01:29:18.485 --> 01:29:24.070]  And I mean, that brought me close to God, but what Alex goes through brought me even closer.
[01:29:24.070 --> 01:29:25.671]  I can feel God in my life now.
[01:29:25.671 --> 01:29:33.818]  The viruses that Alex talks to you about that are subconsciously programmed into your brain and how to erase those programs and install new
[01:29:34.238 --> 01:29:39.083]  Reset Wars is a step beyond what you already get in regular Info Wars broadcasts.
[01:29:39.083 --> 01:29:45.370]  It's an academic level course that will raise your awareness and help you live a more conscious and self-determined life.
[01:29:45.370 --> 01:29:48.853]  If you're on the fence about Reset Wars, it's time to get off the fence.
[01:29:48.853 --> 01:29:50.595]  Join Reset Wars today.
[01:29:59.001 --> 01:30:09.152]  Whether they were present that day or were otherwise criminally responsible for the assault on our democracy, we will follow the facts wherever they lead.
[01:30:12.364 --> 01:30:14.346]  The days of independent media are numbered.
[01:30:14.346 --> 01:30:18.069]  The government has made it illegal to oppose them.
[01:30:18.069 --> 01:30:20.952]  They are now debanking us behind the scenes.
[01:30:20.952 --> 01:30:23.854]  They want to bankrupt us and make us go away quietly.
[01:30:23.854 --> 01:30:29.879]  With practically half the population wanting to lock the unvaccinated up in camps.
[01:30:29.879 --> 01:30:33.142]  The traitors know they can shut us down by force.
[01:30:33.142 --> 01:30:36.385]  But that would accelerate the awakening exponentially.
[01:30:36.385 --> 01:30:36.885]  So be it.
[01:30:37.866 --> 01:30:40.168]  Make them silence us by force.
[01:30:40.168 --> 01:30:43.251]  This is the final battle of the information war.
[01:30:43.251 --> 01:30:44.352]  Give now.
[01:30:44.352 --> 01:30:46.034]  Buy products.
[01:30:46.034 --> 01:30:47.235]  Donate.
[01:30:47.235 --> 01:30:49.016]  Before everything changes.
[01:30:49.016 --> 01:30:51.899]  We need you to carry us through to the end.
[01:30:51.899 --> 01:30:53.260]  Victory or death.
[01:30:53.260 --> 01:30:55.362]  Go now to infowarestore.com
[01:30:59.918 --> 01:31:00.298]  Are great.
[01:31:00.298 --> 01:31:01.820]  Got a bag of it here.
[01:31:01.820 --> 01:31:05.323]  I mean, this is from, people say, why is it from Chiapas, Mexico?
[01:31:05.323 --> 01:31:06.423]  The communist!
[01:31:06.423 --> 01:31:13.749]  Well, that's where some of the best coffee in the world that's wild harvested, above organic, in the volcanic soil, better than Guatemalan coffee.
[01:31:13.749 --> 01:31:19.054]  And yeah, we buy it from the little farmers that, you know, the media calls communists, but really they're just a commune and whatever.
[01:31:19.054 --> 01:31:23.737]  The point is, is that it's good coffee and we've got it and the farmers don't let the Mexican government take over.
[01:31:23.737 --> 01:31:28.161]  So I actually buy this from the Mexican rebels and I've been buying it for what, 14 years and the price has never gone up.
[01:31:28.161 --> 01:31:29.582]  The same stuff sold at Whole Foods on
[01:31:29.602 --> 01:31:34.986]  Or another name for about 50% more per pound, and I just think it's some of the best coffee you're gonna find anywhere.
[01:31:34.986 --> 01:31:39.189]  It's Wake Up America Patriot Blend from the Chiapas Rebels, literally.
[01:31:39.189 --> 01:31:42.252]  Um, in fact, I'm not gonna tell you the whole story.
[01:31:42.252 --> 01:31:46.555]  Um... We had like the... You wouldn't believe it.
[01:31:46.555 --> 01:31:52.940]  Anyway, so, it's InfoWarsTore.com, and that's how we fund this operation, and if you don't fund us and don't want us here, that's fine.
[01:31:57.766 --> 01:32:12.279]  The COVID-19 face diaper is a symbol of subservience, a symbol of slavery, a symbol of the change that the medical tyranny combine controlled by the global private corporations has put in place.
[01:32:13.059 --> 01:32:18.261]  It is the symbol of the permanent emergency from which we will never emerge.
[01:32:18.261 --> 01:32:27.145]  It is the symbol that we are diseased and evil and bad and must cover our diseased criminal faces from the light of the sun.
[01:32:27.145 --> 01:32:34.708]  It is the symbol of our complete and total absolute surrender to evil.
[01:32:34.708 --> 01:32:35.489]  Ladies and gentlemen,
[01:32:36.468 --> 01:32:39.290]  We are crossing the Rubicon now.
[01:32:39.290 --> 01:32:42.552]  The entire future destiny of humanity is upon us.
[01:32:42.552 --> 01:32:48.917]  Klaus Schwab and the UN admit they're coming out with implantable microchips as part of the World ID and carbon taxes.
[01:32:48.917 --> 01:32:50.998]  Things only get worse from here if we submit.
[01:32:50.998 --> 01:32:54.540]  They only get better if we resist and say no.
[01:32:54.540 --> 01:32:59.564]  Noncompliance, noncompliance, noncompliance.
[01:32:59.564 --> 01:33:05.448]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:33:21.821 --> 01:33:26.703]  Defending the Republic from enemies foreign and domestic.
[01:33:26.703 --> 01:33:32.666]  It's Alex Jones and now your host Owen Troyer.
[01:33:32.666 --> 01:33:39.829]  Again we're with Dr. Paul Isaacs and he's been a staff chaplain at Bay Health Hospital in Delaware for seven years.
[01:33:39.829 --> 01:33:44.391]  He's been a pastor in the area for over 12 years.
[01:33:44.391 --> 01:33:44.992]  He's had a
[01:33:46.277 --> 01:33:48.139]  He's one example of so many others.
[01:33:48.139 --> 01:33:50.140]  And so, Doctor, going through all of this...
[01:34:04.793 --> 01:34:09.218]  The madness, the hysteria, the nonsense, the illogic.
[01:34:09.218 --> 01:34:19.289]  I mean, what conclusions are you reaching or what is kind of scrambling throughout your head trying to make sense of all this?
[01:34:19.289 --> 01:34:23.133]  Well, I see it as government overreach.
[01:34:23.133 --> 01:34:26.797]  I see it as power of bureaucracy denying people their fate.
[01:34:27.876 --> 01:34:33.061]  Overruling their right to have a relationship with God, trying to be God in their place.
[01:34:33.061 --> 01:34:40.687]  Anybody that curses on national TV, claims to be an expert, and takes the name of God in vain, is saying they're God.
[01:34:40.687 --> 01:34:50.196]  We're facing idolatry, we're facing spiritual warfare, we're facing what I believe is the preparation for One World Church.
[01:34:50.196 --> 01:34:53.118]  You're having people scared to death.
[01:34:53.118 --> 01:34:53.839]  You know, when I hear
