[00:00:00.089 --> 00:00:02.291]  The Liberal World Order!
[01:03:51.155 --> 01:03:53.277]  And Europe now banning cattle farming.
[01:03:55.358 --> 01:03:59.040]  Scientists create new life form in lab, altering the fundamentals of DNA, let independent.
[01:04:01.281 --> 01:04:04.503]  Thousands of new life forms discovered that redraw the tree of life.
[01:04:06.484 --> 01:04:09.686]  Working with robots, driving US workers into depression, substance abuse, report.
[01:04:11.206 --> 01:04:16.868]  The land where the internet ends in West Virginia where the government allows no frequency transmissions and where all the elite are secretly moving.
[01:04:17.988 --> 01:04:18.528]  New York Times.
[01:04:20.789 --> 01:04:23.230]  Gene editing experiment on human embryos went horribly wrong.
[01:04:24.270 --> 01:04:25.511]  Futurism.com.
[01:04:27.031 --> 01:04:27.912]  Low possibilities.
[01:04:28.332 --> 01:04:32.513]  Utah researcher uses goats to make one of the strongest known substances.
[01:04:35.454 --> 01:04:37.635]  Isn't even in the headline that the goats are part spider.
[01:04:39.153 --> 01:04:42.874]  Invisible quantum dot tattoo can be used for ID vaccinated kids.
[01:04:47.675 --> 01:04:48.455]  The birds and the bees.
[01:04:49.815 --> 01:04:51.395]  Will 5G also kill humanity?
[01:04:53.516 --> 01:04:54.196]  Elon Musk.
[01:04:56.276 --> 01:04:58.577]  Neuralink will do human brain implants.
[01:05:03.318 --> 01:05:05.718]  And it goes on and on and on.
[01:05:08.678 --> 01:05:09.418]  What they're setting up.
[01:05:12.559 --> 01:05:14.559]  Here's another headline.
[01:05:14.559 --> 01:05:20.318]  Dealing with the future being humanless.
[01:05:20.318 --> 01:05:30.319]  [BLANK_AUDIO]
[01:05:23.942 --> 01:05:26.942]  The world's first human-less work, a model for the future.
[01:05:26.942 --> 01:05:32.942]  On and on and on.
[01:05:32.942 --> 01:05:42.942]  [BLANK_AUDIO]
[01:05:34.073 --> 01:05:40.096]  So when we talk about how they're building an anti-human world, they're telling you it's a post-human world.
[01:05:40.116 --> 01:05:42.457]  They're telling you run up the white flag and submit to it.
[01:05:42.917 --> 01:05:47.800]  All I'm saying is we should all have a serious debate about this and realize they're not taking us towards utopia.
[01:05:48.180 --> 01:05:50.981]  They are dropping us down a black hole of dystopia.
[01:05:51.342 --> 01:05:51.822]  We'll be right back.
[01:05:52.515 --> 01:05:59.199]  The Heights Public Library today debuting a new children's story hour called Drag Queen Storytime.
[01:05:59.359 --> 01:06:00.419]  My name is Blackberry.
[01:06:00.559 --> 01:06:02.020]  I'm a bearded drag queen.
[01:06:02.220 --> 01:06:04.741]  That means I'm a lady with lots of facial hair.
[01:06:04.882 --> 01:06:08.463]  I'm actually going to be one of the drag queens reading for Drag Queen Storytime.
[01:06:08.543 --> 01:06:09.784]  Drag Queen Storytime.
[01:06:09.924 --> 01:06:16.748]  And we have to warn you, ladies and gentlemen, if you've got young or impressionable children in your household, bring them to the screen right now.
[01:06:18.638 --> 01:06:23.699]  And we witnessed parents taking their children, as young as two, inside to take part.
[01:06:23.819 --> 01:06:25.640]  Talking, singing, and reading.
[01:06:26.260 --> 01:06:27.680]  We can both be grooms.
[01:06:27.800 --> 01:06:31.521]  To an audience of preschoolers, toddlers, and their caregivers.
[01:06:31.621 --> 01:06:35.522]  The hips on the drag queen go swish, swish, swish.
[01:06:35.582 --> 01:06:36.222]  Turn around.
[01:06:37.882 --> 01:06:38.602]  And shake your butt!
[01:06:38.622 --> 01:06:39.863]  Shake em, shake em, shake em, shake em, shake em!
[01:06:39.963 --> 01:06:43.163]  It was a first for this branch of the public library, too.
[01:06:43.343 --> 01:06:44.284]  Are you nervous?
[01:06:44.324 --> 01:06:44.404]  Yes.
[01:06:44.424 --> 01:06:45.764]  Do you want to touch my hair?
[01:06:46.832 --> 01:06:47.012]  No.
[01:06:47.653 --> 01:06:53.077]  And for the children and the people that support it are gonna realize that this is gonna be the grooming of the next generation.
[01:06:53.337 --> 01:06:58.661]  That's the whole goal is to make kids that aren't used to seeing something like me more comfortable to seeing it.
[01:06:58.901 --> 01:07:02.003]  No one's there to push an agenda on anyone.
[01:07:02.484 --> 01:07:07.187]  No one's there to persuade people or to recruit people.
[01:07:07.428 --> 01:07:09.629]  Who wants to be a drag queen when they grow up?
[01:07:09.809 --> 01:07:11.411]  You could be a drag queen superhero!
[01:07:15.947 --> 01:07:17.048]  They were all accepting.
[01:07:17.109 --> 01:07:21.574]  They all were happy about it and excited and giving me hugs and everything.
[01:07:21.594 --> 01:07:23.656]  The woman gets up on her table, spreads her legs.
[01:07:23.737 --> 01:07:24.397]  It's a man.
[01:07:25.238 --> 01:07:26.920]  This is adult entertainment.
[01:07:27.161 --> 01:07:29.764]  Most people seem to walk away having a good time.
[01:07:29.864 --> 01:07:31.045]  A stardom young, right?
[01:07:31.106 --> 01:07:32.667]  A stardom young, right?
[01:07:35.566 --> 01:07:36.807]  Everyone can do that.
[01:07:36.847 --> 01:07:39.608]  Everyone can teach the children.
[01:07:40.028 --> 01:07:41.989]  I'm all about education.
[01:07:42.009 --> 01:07:44.410]  I actually do story time with drag queens in Chicago.
[01:07:44.430 --> 01:07:44.950]  Right?
[01:07:44.970 --> 01:07:49.852]  Yes, family programming.
[01:07:50.212 --> 01:07:50.432]  Love it.
[01:07:51.793 --> 01:08:00.642]  We have just confirmed that a registered child sex offender has been reading to children at a Houston Public Library as part of its Drag Queen Story Hour.
[01:08:00.922 --> 01:08:09.330]  A media spokesperson for the library confirms one of those drag queens, Tatiana Malanina, is really Alberto Garza, a child sex offender.
[01:08:09.651 --> 01:08:12.914]  In 2008, he was convicted of assaulting an 8-year-old boy.
[01:08:13.154 --> 01:08:15.996]  This is Tatiana Balina, my sister from Queens of the Week.
[01:08:16.196 --> 01:08:17.696]  What has this world come to?
[01:08:17.977 --> 01:08:20.458]  It's come to a world where drag kids actually exist.
[01:08:20.518 --> 01:08:21.839]  And people do ketamine on a couch.
[01:08:24.180 --> 01:08:25.921]  Desmond is the world's youngest club kid.
[01:08:26.281 --> 01:08:29.603]  And we challenge you, as the people out there, to find a younger club kid.
[01:08:29.623 --> 01:08:30.223]  Will they find one?
[01:08:30.583 --> 01:08:30.904]  Mm-mm.
[01:08:30.984 --> 01:08:31.204]  No.
[01:08:31.444 --> 01:08:35.466]  Please welcome Desmond Napolis, a.k.a.
[01:08:35.506 --> 01:08:37.687]  Desmond is Amazing.
[01:08:38.168 --> 01:08:38.388]  Woo!
[01:08:38.908 --> 01:08:39.968]  Have you been to a nightclub?
[01:08:40.369 --> 01:08:40.529]  No.
[01:08:40.829 --> 01:08:41.009]  No?
[01:08:40.889 --> 01:08:41.889]  No? Okay.
[01:08:41.889 --> 01:08:47.889]  [music]
[01:08:47.889 --> 01:08:51.889]   Drag should be an all-ages thing and some people consider it provocative.
[01:08:51.889 --> 01:08:53.889]  It's not inappropriate.
[01:08:54.067 --> 01:09:04.552]  It's not inappropriate.
[01:09:04.572 --> 01:09:06.893]  Teach the children.
[01:09:06.973 --> 01:09:09.454]  Teach the children.
[01:09:10.333 --> 01:09:13.094]  I'm all about education.
[01:09:13.094 --> 01:09:23.092]  [MUSIC]
[01:09:23.092 --> 01:09:25.894]  And everywhere else it's called pedophilia.
[01:09:26.270 --> 01:09:33.435]  But when it's done institutionally, and they can get away with people dressed up like demon clowns with your children.
[01:09:33.495 --> 01:09:36.056]  Pull up Tranny Time in the New York schools.
[01:09:36.296 --> 01:09:38.238]  This is put out in the New York Times, like it's wonderful.
[01:09:38.438 --> 01:09:42.360]  And it's the biggest scary looking group of weirdo pot-bellied men.
[01:09:42.400 --> 01:09:47.244]  Looks like a bunch of Dennis Hasterds running around with clown makeup on.
[01:09:48.044 --> 01:09:53.768]  Just hopping around, rubbing their giant bellies in front of children, and you're like, what alternate universe is this?
[01:09:54.308 --> 01:09:55.949]  What planet did I wake up in?
[01:09:58.851 --> 01:10:04.294]  All right, ladies and gentlemen, and the reason I went to this news is we have some breaking news here.
[01:10:05.435 --> 01:10:11.399]  You know that top Biden administration official that runs the nuclear waste piles in the United States and the nuclear reactors?
[01:10:12.890 --> 01:10:21.532]  Top new Biden staffer defended underage gay prostitution website raided by the feds in 2015 and defended sex with children.
[01:10:22.252 --> 01:10:24.193]  Isn't that a big surprise?
[01:10:24.833 --> 01:10:29.874]  Top Biden staffer defended gay pedophilia prostitution website raided by the feds.
[01:10:30.514 --> 01:10:31.594]  Infowars.com.
[01:10:31.774 --> 01:10:32.174]  Why?
[01:10:34.195 --> 01:10:34.975]  Am I not surprised?
[01:10:34.995 --> 01:10:35.455]  Here's another one.
[01:10:35.915 --> 01:10:38.876]  A Pennsylvania drag queen who counseled children.
[01:10:40.746 --> 01:10:45.390]  A 400-pound black man has been arrested and charged with 25 counts of child pornography.
[01:10:45.450 --> 01:10:48.412]  Why am I not surprised?
[01:10:48.913 --> 01:10:49.894]  And we have this video.
[01:10:50.194 --> 01:10:55.078]  Video of drag queen performing with little girls horrifies viewers.
[01:10:55.098 --> 01:11:01.363]  This is happening at malls now, at churches, in schools without parents being told, in Denver, at libraries.
[01:11:02.103 --> 01:11:07.728]  A total invasion of men, many of them convicted sex offenders, dressed up in clown outfits.
[01:11:07.868 --> 01:11:09.868]  Here's some of the latest footage.
[01:11:09.868 --> 01:11:19.868]  [MUSIC]
[01:11:19.868 --> 01:11:32.868]   All right, for radio listeners, it is a man with giant artificial breast,
[01:11:32.868 --> 01:11:39.868]   a man named John Ropless, with what looks like a three-year-old girl,
[01:11:39.868 --> 01:11:45.868]  being led around while money is stuck in the.
[01:11:46.496 --> 01:11:47.257]  Thong panties.
[01:11:49.379 --> 01:11:52.703]  So, again, this is going on at bars.
[01:11:52.783 --> 01:11:54.545]  This is going on in schools.
[01:11:54.565 --> 01:11:57.368]  This is going on at shopping malls.
[01:11:57.408 --> 01:11:58.710]  We have footage at shopping malls.
[01:11:59.470 --> 01:12:02.113]  And this is literal scalp-taking.
[01:12:03.074 --> 01:12:06.939]  There's footage at a shopping mall of a child dancing on stage with one of these people.
[01:12:08.932 --> 01:12:11.134]  And it's like taking a scalp.
[01:12:11.194 --> 01:12:14.376]  It's the Declaration of Victory over humanity, over the children.
[01:12:15.097 --> 01:12:32.551]  And if they can parade around with a three-year-old girl at a sex bar with a man with giant fake breasts, with people sticking money in the g-strings, with men and women, with sickos, this is all pedophilic fetish, ruining their innocence, ruining their lives.
[01:12:33.051 --> 01:12:34.833]  They are simply marking their territory.
[01:12:36.104 --> 01:12:38.305]  And declaring their victory over humanity?
[01:12:38.345 --> 01:12:45.290]  And are we surprised the person over all the nuclear waste in the United States is defending all of this?
[01:12:46.250 --> 01:12:48.932]  That is where we are in the year 2022.
[01:12:51.193 --> 01:12:52.914]  Can you imagine?
[01:12:53.635 --> 01:12:58.097]  At the current trajectory, they'll be having sex with children early next year on TV.
[01:13:00.939 --> 01:13:03.921]  Men dressed up like clowns saying that's what a woman looks like.
[01:13:06.274 --> 01:13:08.536]  Because children know to run from men, but not from women.
[01:13:09.216 --> 01:13:09.916]  These are predators.
[01:13:10.017 --> 01:13:14.239]  Big bad wolf dresses up like a woman, like grandma.
[01:13:14.259 --> 01:13:16.481]  And here it all is.
[01:13:16.641 --> 01:13:16.881]  All right.
[01:13:17.482 --> 01:13:22.285]  I want to talk about the inflation, how it's affecting you and your family, where you see it going, the Great Reset.
[01:13:22.645 --> 01:13:23.446]  How do we expose it?
[01:13:23.466 --> 01:13:24.787]  How do we rally to fight against it?
[01:13:26.144 --> 01:13:28.405]  And if you want to call in about this, you're welcome to as well.
[01:13:28.425 --> 01:13:35.727]  If you want to call in about how they're creating alien life forms and then creating black holes and all these new dangerous things, I'd like to hear about that as well.
