[00:00:00.169 --> 00:00:01.409]  Let me make the announcement.
[01:11:57.288 --> 01:12:02.833]  But the law hasn't been stopping these criminals from committing crimes against humanity so far.
[01:12:03.353 --> 01:12:09.639]  And if they plan on staying in power, they are going to have to bring back the lockdowns and the ballot-harvesting mules.
[01:12:10.299 --> 01:12:11.360]  So we know it's coming.
[01:12:11.780 --> 01:12:16.645]  And it will soon be climate lockdowns to go with their climate migration.
[01:12:17.265 --> 01:12:22.031]  People are waking up, but the UN's agenda is aggressively pressing forward.
[01:12:22.711 --> 01:12:36.146]  The United Nations is meeting this week with members of the Mayor's Migration Council, which is comprised of nine mayors from nine different cities throughout the world, including Eric Garcetti of Los Angeles, California.
[01:12:36.787 --> 01:12:47.537]  The Mayor's Migration Council is funded by George Soros' Open Society Foundations, sponsored by the Rockefeller Foundation, and partnered with the United Nations.
[01:12:48.097 --> 01:12:50.279]  And their stated goal is pretty clear.
[01:12:50.700 --> 01:13:02.631]  They want to grant mayors the ability to bypass state and federal government when it comes to what they call climate migration, and go straight to international organizations for resources.
[01:13:03.271 --> 01:13:20.414]  They are inviting all interested mayors or senior city staff members to contact them at contact at mayorsmigrationcouncil.org to learn how to engage with the international system and learn how to get funding and boots on the ground support.
[01:13:21.519 --> 01:13:25.363]  This all sounds completely illegal, but who's going to stop them?
[01:13:25.884 --> 01:13:36.796]  There is no longer any justice in America, so expect more lockdowns as the food supply diminishes and the population around you surges with hungry foreign migrants.
[01:13:38.177 --> 01:13:41.677]  Reporting for InfoWars, this is Greg Reese.
[01:13:41.677 --> 01:13:44.257]  (upbeat music)
[01:13:44.257 --> 01:14:08.137]   All right, for the next hour and 22 minutes, I am very honored to have Dr. Peter McCullough
[01:14:08.137 --> 01:14:12.457]   and John Leake who've written a powerful new book, The Courage to Face COVID-19,
[01:14:12.457 --> 01:14:15.216]   already number one in many categories and it just came out,
[01:14:15.216 --> 01:14:19.856]   Preventing Hospitalization and Death While Battling the Biopharmaceutical Complex.
[01:14:20.529 --> 01:14:26.151]  And we are very, very excited to talk about this with John Leake and Peter A. McCullough, MD, MPH.
[01:14:26.671 --> 01:14:26.951]  Wow.
[01:14:27.091 --> 01:14:28.132]  And I haven't read the book yet.
[01:14:28.172 --> 01:14:28.832]  I've heard all about it.
[01:14:28.852 --> 01:14:30.212]  I've seen some interviews you guys have done.
[01:14:30.232 --> 01:14:31.873]  I know you're doing big speaking tours.
[01:14:31.893 --> 01:14:34.914]  Congratulations on fighting this whole thing so tirelessly.
[01:14:35.354 --> 01:14:36.494]  There's a lot to cover here.
[01:14:36.634 --> 01:14:47.618]  Organized crime, the massive PSYOP, the propaganda campaign, the intrigue, the historic efforts to fight back against it, the historic efforts to block it, the malfeasance, again, all of it.
[01:14:48.741 --> 01:14:54.497]  We've got five minutes to break, so you guys just give people a synopsis of what's coming up in the next hour and 20 minutes, please.
[01:14:55.084 --> 01:15:23.359]   Alex, thanks so much for having us on the program and it was absolutely an honor to work over the last year with best-selling author John Leake on telling the story, really the battle that I was facing and that of my colleagues as we attempted to take care of patients who were sick with COVID-19 and we started to run into clear efforts to suppress Early treatment in order to promote fear, hospitalization, and death.
[01:15:24.040 --> 01:15:28.066]  And I'll let John kind of lay the groundwork for how we put this together.
[01:15:29.518 --> 01:15:30.219]  Thank you, Alex.
[01:15:30.699 --> 01:15:32.880]  I came at this as a true crime author.
[01:15:33.021 --> 01:15:50.012]  Early 2020, SARS-CoV-2 arrives in our nation, and I began to perceive that the public, the official public policy response, was just not plausible with the federal health agencies and what the mainstream media was telling us.
[01:15:51.293 --> 01:15:55.916]  And it seemed to me there were two elements of what seemed like a crime taking shape.
[01:15:56.016 --> 01:15:58.097]  One of them was something like mass fraud.
[01:15:59.478 --> 01:16:03.503]  Huge fraudulent misrepresentations of what we were actually up against.
[01:16:04.303 --> 01:16:16.456]  And then secondly, as it became evident that some of these repurposed drugs, supplements, anything that could be used to counter and to treat SARS-CoV-2...
[01:16:17.657 --> 01:16:18.737]  We're being suppressed.
[01:16:19.137 --> 01:16:27.300]  A sort of a propaganda campaign was being waged both by federal health agencies and by the mainstream media.
[01:16:27.680 --> 01:16:49.107]   And it began to feel like, you know, for higher risk people over the age of 65, people with diabetes, some of these metabolic illnesses, it felt like there's a deliberate suppression Even impeding these people from getting something that could help them, which to me began to take an element of something like...
[01:16:50.549 --> 01:16:54.854]  Mass fraudulent, excuse me, mass negligent homicide.
[01:16:54.874 --> 01:17:06.326]  I mean, if you withhold medications from a sick man who could wind up in hospital, how is that any different from a guy falls overboard in a boat in the high seas?
[01:17:06.366 --> 01:17:09.829]  How is it any different from saying, well, we're not going to throw him a life ring?
[01:17:09.849 --> 01:17:13.393]  I mean, that was sort of my starting point for my inquiry.
[01:17:13.533 --> 01:17:16.234]  And it was globally managed and directed, which is so incredible.
[01:17:16.274 --> 01:17:27.360]  I can't wait to read the book because when I'm reading the synopsis here, I'm not a historian or criminologist like you that writes famous, powerful true crime books, but just studying criminology.
[01:17:27.520 --> 01:17:32.503]  And I have read some of your books now that I remember and think about it, because I like true crime.
[01:17:32.523 --> 01:17:36.245]  You're one of the top guys that when you study crime, you just see it jumping out.
[01:17:36.665 --> 01:17:42.388]  And I wonder how the FBI and Justice Department doesn't see this when they were busy basically cooking it up at the Wuhan lab.
[01:17:43.368 --> 01:17:43.849]  Absolutely.
[01:17:43.869 --> 01:17:46.292]  You know, as a practicing doctor, I didn't see it either.
[01:17:46.813 --> 01:17:48.314]  I saw patients falling sick.
[01:17:48.835 --> 01:17:53.981]  I was relying on my instincts, the best information at hand, communicating across the world.
[01:17:54.582 --> 01:17:58.787]  What could we do to help patients with SARS-CoV-2 infection, COVID-19, the illness?
[01:18:00.229 --> 01:18:03.192]  And it took several months, Alex, but we were able to put it together.
[01:18:03.252 --> 01:18:15.763]  The medicines weren't perfect, and we didn't ask that they be perfect, but we simply wanted to reduce the intensity and duration of symptoms, and by that mechanism, reduce the risks of hospitalization and death.
[01:18:16.184 --> 01:18:29.955]   And when we started seeing a sequence of events unfold, It was clear that people all over the world were being intentionally denied and then blocked access to early therapy.
[01:18:30.874 --> 01:18:34.317]  All right, we've got an 11-minute segment coming up, then a whole other hour after that.
[01:18:34.337 --> 01:18:42.064]  I'm going to try my best to just let you guys roll through the book, and then I think everybody out there needs to get the book, even if you think you know everything about COVID, read the book.
[01:18:42.084 --> 01:18:51.592]  I'm going to read it this weekend, and then share it with judges and law enforcement, other talk show hosts, because magnifying something like this with thought leaders is how we're going to win this fight.
[01:18:51.913 --> 01:18:52.713]  We're going to go to break.
[01:18:52.793 --> 01:18:53.734]  Where is the best place?
[01:18:53.754 --> 01:18:55.576]  You've got quite a few websites, quite a few places.
[01:18:56.696 --> 01:19:00.977]  Obviously, people can go to Amazon and get it, but then that won't fund you guys and your tour as much as it should.
[01:19:01.237 --> 01:19:03.858]  Where's the best place to get The Courage to Face COVID-19?
[01:19:05.698 --> 01:19:06.479]  We have a website.
[01:19:06.559 --> 01:19:11.520]  It's actually couragetofacecovid.com, and that'll be a launching point.
[01:19:12.100 --> 01:19:15.621]  Amazon, and then we plan to open up other avenues for purchase.
[01:19:15.781 --> 01:19:17.441]  Well, I'm going to definitely buy a bunch for our store.
[01:19:17.561 --> 01:19:19.482]  So, very, very excited about what you're doing.
[01:19:19.502 --> 01:19:20.902]  The Courage to Face COVID-19.
[01:19:21.202 --> 01:19:22.703]  Get the book now and spread the word.
[01:19:22.723 --> 01:19:23.303]  We'll be right back.
[01:19:23.323 --> 01:19:23.803]  This is a war.
[01:19:24.537 --> 01:19:26.858]  All right, welcome back to the final segment of hour number two.
[01:19:27.059 --> 01:19:29.160]  Our guests will be with us throughout the entire next hour.
[01:19:29.200 --> 01:19:40.646]  We may even push the next guest back a little bit if they need more time because we're gonna get into monkey pox and the next lockdowns and looking over the horizon with Dr. Peter McCullough and his co-author John Leake, the new book, The Courage to Face COVID-19.
[01:19:40.666 --> 01:19:42.448]  But I want to say something here out of the gates.
[01:19:43.428 --> 01:19:46.810]  Well, I thank Tim for what he's been doing for my family and my future.
[01:19:47.291 --> 01:19:55.796]  That's genuine 100% because this isn't a popularity contest between us, but it's about who's the most effective and who's reaching out and helping the people the most.
[01:19:56.356 --> 01:20:06.503]  And I tell you, I don't hear about Joe Rogan or Tucker Carlson or Dr. Malone or Alex Jones or Dale Bigtree, who are all great people working hard.
[01:20:07.503 --> 01:20:12.120]   I hear Three to one, Dr. Peter McCullough, everywhere I go.
[01:20:12.400 --> 01:20:19.245]  Every day on the street, if I walk around or, you know, out for a hike, it's insane how many people you've reached.
[01:20:19.405 --> 01:20:21.607]  It is amazing and it's exciting.
[01:20:21.647 --> 01:20:25.630]  Before we get back to the book, and so prolific what you're doing, how did you do this?
[01:20:25.930 --> 01:20:29.473]  I mean, you have really scorched earth on these people with the truth.
[01:20:29.493 --> 01:20:30.434]  You have kicked their ass.
[01:20:30.834 --> 01:20:37.560]  You know what people tell me, Alex, as I go out and really do what I think my job is.
[01:20:37.621 --> 01:20:45.428]  My job as a doctor is not only to take care of the patients in my immediate circles, but also educate others on what's going on.
[01:20:45.768 --> 01:20:59.260]   What I hear, Alex, is they tell me, Dr. McCullough, for the first time, someone in a position of authority Is making sense that what I say fits into the cognitive framework of what they understand what's going on.
