[00:00.000 --> 00:07.000]  Ladies and gentlemen, thank you so much for joining us today.
[1:15:04.000 --> 1:15:08.000]  Can we all sue the mainstream news that lied to us about hydroxychloroquine and ivermectin?
[1:15:08.000 --> 1:15:11.000]  What about suing the government?
[1:15:11.000 --> 1:15:17.000]  And that's why we come back to the story on Yahoo News from the Association of American Physicians and Surgeons.
[1:15:17.000 --> 1:15:21.000]  The FDA misled the public about ivermectin and should be accountable in court.
[1:15:21.000 --> 1:15:24.000]  So how do we hold them accountable?
[1:15:24.000 --> 1:15:27.000]  Who sues them?
[1:15:27.000 --> 1:15:30.000]  Does it have to be the Association of American Physicians and Surgeons?
[1:15:30.000 --> 1:15:36.000]  Does it have to be a class action lawsuit with hundreds of thousands of Americans?
[1:15:36.000 --> 1:15:38.000]  We can sue CNN.
[1:15:38.000 --> 1:15:41.000]  Trump decided to sue them. They can sue us.
[1:15:41.000 --> 1:15:47.000]  Well, what about our government that lied to us and their lives resulted in hundreds of thousands dead?
[1:15:47.000 --> 1:15:54.000]  This is the question I think many lawyers and the Association of American Physicians and Surgeons are asking.
[1:15:54.000 --> 1:15:58.000]  How can we sue our government for lying to us about COVID and the treatments and the vaccines?
[1:15:58.000 --> 1:16:00.000]  Look around you.
[1:16:00.000 --> 1:16:04.000]  Everything I predicted from the Globlestone documents from their own admissions is now happening.
[1:16:04.000 --> 1:16:06.000]  Info wars credibility.
[1:16:06.000 --> 1:16:08.000]  My credibility has never been higher.
[1:16:08.000 --> 1:16:14.000]  And it's because of your backing of this operation that I could steadfastly, despite the censorship
[1:16:14.000 --> 1:16:18.000]  and the boycotts and the attacks and the lawsuits stay on air.
[1:16:18.000 --> 1:16:23.000]  But now we're reaching the most critical juncture in the fight together.
[1:16:23.000 --> 1:16:28.000]  So I want to ask all of you today to help keep me on the air.
[1:16:28.000 --> 1:16:31.000]  In my decades on air, I've never asked for personal donations,
[1:16:31.000 --> 1:16:37.000]  but I'm being forced by the bankruptcy court to pay for 40% of the legal fees and I can't fund those myself.
[1:16:37.000 --> 1:16:39.000]  It's unsustainable.
[1:16:39.000 --> 1:16:46.000]  Please visit SaveInfoWars.com. SaveInfoWars.com where you can make straight donations,
[1:16:46.000 --> 1:16:51.000]  five, ten, fifty hundred dollars, whatever you can, so that I can continue to persevere.
[1:16:51.000 --> 1:16:54.000]  I'll never give up. I'll never give in, but I could give out.
[1:16:54.000 --> 1:16:59.000]  Thank you for your support. Wouldn't be without you. SaveInfoWars.com.
[1:16:59.000 --> 1:17:04.000]  I have been in a 28 year marathon battle with the Globlestone.
[1:17:04.000 --> 1:17:10.000]  I have come from nowhere to the very heights of politics, not just in America, but in the world.
[1:17:10.000 --> 1:17:15.000]  We are engaging the globalists at point-blank range in the information war.
[1:17:15.000 --> 1:17:17.000]  But I don't deserve the credit.
[1:17:17.000 --> 1:17:24.000]  Yes, I've persevered, but the listeners and viewers who support InfoWars for the real reason we've had the success.
[1:17:24.000 --> 1:17:30.000]  We're having now the greatest victories in the fight against the new order we've ever had.
[1:17:30.000 --> 1:17:34.000]  We are now entering the final mile of the marathon.
[1:17:34.000 --> 1:17:39.000]  And that's why today it's more important than ever to realize how important you've been in this fight
[1:17:39.000 --> 1:17:43.000]  and to continue in the efforts you've been tearing out and to intensify it.
[1:17:43.000 --> 1:17:49.000]  God bless you all. I salute you. I thank you. And I beg you to intensify what you're doing now
[1:17:49.000 --> 1:17:53.000]  because we are over the target and this dream is happening.
[1:17:53.000 --> 1:17:57.000]  The fight is my fight. It's your fight. It's our fight. God bless you all.
[1:17:57.000 --> 1:18:02.000]  By the will of God and by God working through you and your support,
[1:18:02.000 --> 1:18:09.000]  InfoWars continues to persevere against attacks never before seen in the western world against independent media.
[1:18:09.000 --> 1:18:11.000]  Thanks for keeping me in the fight.
[1:18:11.000 --> 1:18:15.000]  And over the years you have come to the table. You have stepped to the plate so many times
[1:18:15.000 --> 1:18:18.000]  and kept InfoWars and Free Speech on the air. And I thank you.
[1:18:18.000 --> 1:18:24.000]  But now I have my own legal bills that have reached the point that I can't pay them and I need your support.
[1:18:24.000 --> 1:18:30.000]  So if you want to keep this operation moving forward, if you want to back me in this fight against the globalists,
[1:18:30.000 --> 1:18:41.000]  please visit saveinfowars.com. And saveinfowars.com takes you to a URL that gives in go for direct Alex Jones legal defense fund.
[1:18:41.000 --> 1:18:45.000]  This whole phase of their attacks, foyers in the making is almost over.
[1:18:45.000 --> 1:18:50.000]  And right at the end we're not giving up. We're not giving in. But we could give out.
[1:18:50.000 --> 1:18:55.000]  So please, if you support what we're doing and want to fight for liberty and freedom in just in the future,
[1:18:55.000 --> 1:19:04.000]  go to saveinfowars.com today. The biggest sale of 2022 is now live exclusively at infowarstore.com.
[1:19:04.000 --> 1:19:10.000]  The Info War Store Super Sale is now live 40 to 50% off, bare minimum 40% off,
[1:19:10.000 --> 1:19:14.000]  made the products 15% off at infowarstore.com.
[1:19:14.000 --> 1:19:22.000]  The most exciting of all these incredible products is X3. All three of the very best types of iodine that are natural and pure
[1:19:22.000 --> 1:19:30.000]  that actually get into your cells are in X3. The Deep Earth Crystal iodine and two other types to maximize full absorption.
[1:19:30.000 --> 1:19:39.000]  This really is the missing link. X3 sold out for a long time is finally back in stock available at infowarstore.com
[1:19:39.000 --> 1:19:47.000]  or by calling toll free, triple A, two, five, three, three, one, three, nine. Now it takes a few weeks for this high quality iodine to kick in.
[1:19:47.000 --> 1:19:54.000]  But almost everybody after that feels the effects. It's not a sheer immune system, but it's for your energy and so much more.
[1:19:54.000 --> 1:20:10.000]  X3 back in stock at infowarstore.com. 50% off.
[1:20:24.000 --> 1:20:44.000]  Alright, as we come in to the sounds of the final countdown, you wonder if this is at the final countdown towards a World War 3 nuclear
[1:20:44.000 --> 1:20:56.000]  confrontation scenario. And it seems that there are certain world leaders that are hell bent on that result, no matter what,
[1:20:56.000 --> 1:21:09.000]  including most of the Western leadership, political regime elites, military regime elite class all calling for a war against Russia,
[1:21:09.000 --> 1:21:17.000]  all supporting a nuclear war against Russia. It's truly psychotic. It's mad scientist level.
[1:21:17.000 --> 1:21:23.000]  It's destruction of the planet level. And then they sit there and tell you about manmade climate change.
[1:21:23.000 --> 1:21:29.000]  How's the nuclear war work for that? Just curious. Oh, that's right. BuzzFeed News publishes the story saying a nuclear war would save us
[1:21:29.000 --> 1:21:36.000]  from global warming. Not even kidding you. That's real. So I guess we know what they think about that.
[1:21:36.000 --> 1:21:44.000]  But there have been some major developments here and it's worth pointing out to this day and we've been keeping the record,
[1:21:44.000 --> 1:21:54.000]  ladies and gentlemen, that to this day, there have only been three Western leaders and that's what we'll call them.
[1:21:54.000 --> 1:22:02.000]  I mean, you know, maybe it's not a fair blanket term, but it's been Donald Trump and it's been Elon Musk and it's been
[1:22:02.000 --> 1:22:07.000]  Colonel Doug McGregor. I think it's been Colonel Doug McGregor. They put all these kernels on television,
[1:22:07.000 --> 1:22:13.000]  but he's the only one that's telling the truth. I'm hoping I'm not getting his name wrong. I don't have it in front of me.
[1:22:13.000 --> 1:22:28.000]  Who have been calling for deescalation and negotiations and saying, hey, let's not sit here as America and throw stones in our glass house here.
[1:22:28.000 --> 1:22:34.000]  Every member of the Biden administration is calling for a nuclear war with Russia. All the mainstream media is fully in the tank
[1:22:34.000 --> 1:22:39.000]  for a nuclear war against Russia. All the liberal media fully in the tank for a nuclear war against Russia.
[1:22:39.000 --> 1:22:46.000]  It's actually stunning how far the liberal left has gone and it just shows you that they were never liberal.
[1:22:46.000 --> 1:22:54.000]  They were never leftist. They were never really anything other than conformists and statists and brainwashed minions
[1:22:54.000 --> 1:23:02.000]  of the New World Order, sadly. So let's get into the developments here and it'll take me this segment and the next.
[1:23:02.000 --> 1:23:08.000]  Man, I hate those breaks, but folks, we're going to break it all down here in this segment and the next.
[1:23:08.000 --> 1:23:15.000]  So let's start with this, though. North Korea fires ballistic missile over Japan for first time in five years,
[1:23:15.000 --> 1:23:21.000]  drawing quick response from U.S. and South Korea. Now, if this happened when Donald Trump was president,
[1:23:21.000 --> 1:23:26.000]  you know what the press would be saying, but I guess let's not even go down that road.
[1:23:26.000 --> 1:23:30.000]  Biden is the president. And so this barely got any coverage last night.
[1:23:30.000 --> 1:23:36.000]  Now, you remember there was some saber rattling back and forth between North Korea and America when Trump was president.
[1:23:36.000 --> 1:23:40.000]  And it was the biggest story. Oh, Trump, he has no control over the world.
[1:23:40.000 --> 1:23:45.000]  Oh, Trump's going to get us into a nuclear war with North Korea. Remember all that?
[1:23:45.000 --> 1:23:51.000]  Well, now North Korea is firing missiles and the media doesn't even blink.
[1:23:51.000 --> 1:23:55.000]  And they don't even say boo about it because it's Joe Biden.
[1:23:55.000 --> 1:24:01.000]  Now, the real question is this, and this is this is my theory and other expert theories on this geopolitical issue
[1:24:01.000 --> 1:24:06.000]  of North Korea and specifically weapons testing.
[1:24:06.000 --> 1:24:11.000]  I don't think North Korea does anything without the behest of China.
[1:24:11.000 --> 1:24:18.000]  Or rather, I think that China basically treats North Korea like its junkyard dog.
[1:24:18.000 --> 1:24:23.000]  And if they say bark, North Korea barks.
[1:24:23.000 --> 1:24:27.000]  That's that's my opinion. That's other experts opinion on the matter.
[1:24:27.000 --> 1:24:33.000]  So the obvious question would be, why would North Korea fire a missile over Japan? Why?
[1:24:33.000 --> 1:24:39.000]  What would be the purpose of that specifically for North Korea?
[1:24:39.000 --> 1:24:44.000]  Well, it doesn't really make any sense unless it was at the behest of China.
[1:24:44.000 --> 1:24:50.000]  And China said, hey, why don't you pop one off and see how the world responds?
[1:24:50.000 --> 1:24:56.000]  Because you have to understand that China is behind a lot of this stuff with their own military strategy,
[1:24:56.000 --> 1:25:05.000]  knowing that the U.S. is weak right now and that the U.S. is preoccupied in Ukraine right now.
[1:25:05.000 --> 1:25:09.000]  And so China is kind of testing the waters. What can we get away with in North Korea?
[1:25:09.000 --> 1:25:13.000]  What can we get away with in Taiwan? What can we get away with in Hong Kong?
