[00:00:00.229 --> 00:00:02.590]  Biden in Syracuse yesterday.
[01:09:21.130 --> 01:09:31.638]  And the Brazilian constitution allows and gives the military kind of oversight power at balancing the checks and the balances between the various branches of government.
[01:09:31.938 --> 01:09:38.703]  For example, even have like a court system there that has a military arm, a Praetorian Guard of sorts.
[01:09:38.763 --> 01:09:43.706]  And so what we have is that the national military there needs to conduct an audit.
[01:09:43.967 --> 01:09:51.135]   Apparently they've already done a report On the previous, the first round of election, this was round two, and they haven't released it yet.
[01:09:51.195 --> 01:09:53.979]  And so all I called for was a simple audit.
[01:09:54.099 --> 01:10:02.891]  And that is that the AP, the Associated Press, and you know, kind of the Anglosphere's intelligence agencies, they don't get to certify elections.
[01:10:03.311 --> 01:10:06.352]  Government-certified elections, and that includes the military.
[01:10:06.392 --> 01:10:10.413]  So I called for a peaceful military intervention.
[01:10:10.473 --> 01:10:13.374]  I did not call for a military violent coup.
[01:10:13.954 --> 01:10:22.836]  The press knows this, and yet they ran it on Yahoo, they ran it on AOL, they ran it on Business Insider, and then they used a bot army against me.
[01:10:22.896 --> 01:10:32.118]   It's the State Department and the CIA using a bot army on Elon Musk's Twitter to amplify, you know, these Let me stop you.
[01:10:32.338 --> 01:10:33.939]  We said that years ago when Obama left.
[01:10:33.959 --> 01:10:36.900]  Stay Behind Network's in there under Trump and with millions in funding.
[01:10:37.180 --> 01:10:45.263]  They now admit that even when Trump was in and now under Biden, they are have the CIA and State Department coordinating with big tech on how to censor.
[01:10:45.303 --> 01:10:45.943]  Totally illegal.
[01:10:47.975 --> 01:10:49.316]  Totally, totally illegal.
[01:10:49.616 --> 01:10:56.262]  And Alex, while I was prepping for your show, right before, I think right when I was coming live, The Intercept dropped a piece.
[01:10:56.342 --> 01:11:01.186]  I'm telling you, you know, this lid is about to blow wide open, okay?
[01:11:01.627 --> 01:11:17.926]   You know, I think that there need to be people like you, and need to be people like me, who are dismissed from Twitter, and we tell Elon Musk, we're not looking for a financial remedy, we're simply looking for evidence that the government colluded with Twitter employees, we
[01:11:17.926 --> 01:11:24.296]   will enter in with the new Twitter incorporated a settlement, a no cash settlement agreement
[01:11:24.296 --> 01:11:29.226]   in exchange for evidence that our government was coordinating against us. And we know that.
[01:11:29.226 --> 01:11:30.016]  We know that they were.
[01:11:30.245 --> 01:11:34.266]  We know that DHS was involved in this, just like they were involved in Brazil.
[01:11:34.506 --> 01:11:47.529]  You know, you wouldn't believe it, and I've outlined this in my piece at the Gateway Pundit, that you didn't have mid-level deputies or managers with the Biden administration getting involved with the Brazil election, and they've been involved for months and months and months.
[01:11:47.869 --> 01:11:58.491]   You had the CIA director, you had the Secretary of Defense, you had our National Security Advisor, and they were threatening Brazil behind the scenes. They
[01:11:58.491 --> 01:12:03.141]   were leaking to the press and they were at conferences effectively making sub
[01:12:03.141 --> 01:12:06.400]   tweets and overtures saying well Brazil's gonna lose its diplomatic
[01:12:06.400 --> 01:12:10.861]   status if you don't hand over the election to the socialist who yeah has
[01:12:10.861 --> 01:12:16.951]   promised basically to kill or arrest Bacilanaro.
[01:12:15.109 --> 01:12:20.391]  And so I'm very glad that the president, the legitimate president of Brazil, has not conceded.
[01:12:20.851 --> 01:12:35.898]  He has met with political advisors, lawyers, and yes, he's meeting with the military to assess what options need to be done to safeguard constitutionally and peacefully the integrity of the actual vote there in Brazil.
[01:12:38.089 --> 01:12:44.831]  Now the reason obviously they came out and twisted what you said is they're always putting out the narrative that we wanted a coup on January 6 and that we're calling for coups.
[01:12:44.991 --> 01:12:48.932]  It was Pelosi and all the Democrats on the news saying we're going to have the military remove Trump.
[01:12:49.252 --> 01:12:50.853]  We have all the Peter Strzok emails.
[01:12:51.193 --> 01:12:53.754]  They said we're not going to accept the election if Trump does get elected.
[01:12:53.794 --> 01:12:56.975]  So they're the ones pushing violence, the mostly peaceful protest.
[01:12:58.456 --> 01:13:01.639]  I mean, it's a copy and paste like nothing I've ever seen, Alex.
[01:13:02.100 --> 01:13:12.489]  Not only did they, for months and months and months, this international order put pressure on Bolsonaro, which was intended to affect middle-of-the-road swing voters, right?
[01:13:12.850 --> 01:13:18.875]  But they also decided to subvert him with this narrative meme saying, well, he might do a coup.
[01:13:19.176 --> 01:13:21.698]  How are you going to be the head of state and organize a coup?
[01:13:22.158 --> 01:13:29.903]  How are you going to say that there's a coup when you really have a lawless court there in Brazil and all these elites against Bolsonaro and the people?
[01:13:30.383 --> 01:13:33.485]  Bolsonaro had larger rallies than Trump.
[01:13:33.525 --> 01:13:37.467]  They're the largest rallies I've ever seen in my adult life.
[01:13:37.647 --> 01:13:39.268]  You know, maybe the largest rallies ever.
[01:13:39.728 --> 01:13:41.569]  And he's very wildly popular.
[01:13:41.609 --> 01:13:44.231]  And it looks like, again, they use an algorithm.
[01:13:44.551 --> 01:13:51.754]  They used an algorithm, maybe we'll talk about that next segment, that all we want, all we're doing is calling for an audit.
[01:13:51.854 --> 01:13:59.558]  By the way, the Brazilian Constitution says that you need your elections to be transparent, the people need to have confidence.
[01:13:59.578 --> 01:14:03.080]  And that's where I'm going next with Bolsonaro, or Bolasenaro, as you pronounce it correctly.
[01:14:03.620 --> 01:14:04.760]  What do you think he's going to do next?
[01:14:06.081 --> 01:14:10.123]  Well, look, what I think that he needs to do is he needs to choose not to die.
[01:14:12.312 --> 01:14:14.114]  Sure, just like Venezuela.
[01:14:13.934 --> 01:14:19.934]   of the military. I think that the military does need to do whatever they need to do to basically
[01:14:19.934 --> 01:14:26.014]   freeze the country for a week or two, bring in international auditors, bring in American auditors.
[01:14:26.014 --> 01:14:29.373]   Well sure, just like Venezuela, if the communists get in this time,
[01:14:29.373 --> 01:14:30.972]  they're never going to have a real election again.
[01:14:30.972 --> 01:14:33.373]  Never, never.
[01:14:33.643 --> 01:14:36.846]  And they're going to kill and arrest opposition leaders.
[01:14:36.906 --> 01:14:43.491]  I mean, what we're watching is actually a coup, actually a coup against the Brazilian people, against sovereign states.
[01:14:43.891 --> 01:14:44.792]  They want who?
[01:14:45.212 --> 01:14:46.814]  They want the World Economic Forum.
[01:14:46.834 --> 01:14:52.138]  They want the UN to have control over Brazil and take away the one bright light in South America.
[01:14:52.598 --> 01:14:56.541]  And I think that this positions us very, very, very poorly going forward.
[01:14:56.601 --> 01:14:57.702]  And by the way, you're not just saying that.
[01:14:57.922 --> 01:15:07.708]  The UN is hopping mad that he wouldn't do forced injections to keep the lockdowns going so they're trying to get war crime charges against him for crimes against humanity.
[01:15:09.309 --> 01:15:21.016]  It's entirely what their agenda is and they've said it and they're bragging about it just like after the 2020 election in Time magazine they said oh we fortified the election, we fortified the election.
[01:15:21.496 --> 01:15:28.118]   Claims that they had previously said that we were conspiracists for for believing, right? This arrangement between county level
[01:15:28.118 --> 01:15:33.948]   bureaucrats, NGOs, the press and all of them, they bragged about it in Time magazine.
[01:15:33.948 --> 01:15:38.778]   Well, they just did it in Foreign Policy magazine now three days ago with the Brazilian
[01:15:38.778 --> 01:15:44.527]   election. The Biden team is bragging and bragging about interfering with this election. And Alex,
[01:15:44.527 --> 01:15:50.018]   again, there's these weird things happening with the winner. Again, just like we saw in
[01:15:50.018 --> 01:15:53.078]  America. Lula has small rallies.
[01:15:53.078 --> 01:15:58.697]   Bolsonaro has large rallies. And then we see that there's violence in the street by the
[01:15:58.697 --> 01:15:59.837]  winning party.
[01:16:00.126 --> 01:16:06.347]  Why are there these BLM Antifa-like looting and arsons happening if their guy won?
[01:16:06.527 --> 01:16:11.789]  There's these powerful videos of jail cells and prisons with them screaming Lula's name.
[01:16:12.109 --> 01:16:16.250]  And so it's a very dark day for sovereign states.
[01:16:16.690 --> 01:16:22.255]  For free citizens and, you know, actual elections that matter.
[01:16:22.595 --> 01:16:24.637]  All right, Ali Alexander, let's look at U.S.
[01:16:24.717 --> 01:16:30.101]  elections only eight days away, when we return with one of the smartest political analysts out there, Ali Alexander.
[01:16:30.522 --> 01:16:32.523]  I'm Alex Jones, InfoWars.com.
[01:16:32.804 --> 01:16:35.826]  Tomorrow's news today, AliAlexander.org.
[01:16:35.846 --> 01:16:38.729]  I want to thank all the great listeners and viewers.
[01:16:38.769 --> 01:16:39.609]  You are amazing.
[01:16:39.629 --> 01:16:40.590]  You have changed the world.
[01:16:40.650 --> 01:16:42.111]  We together are the tip of the spear.
[01:16:42.672 --> 01:16:45.493]   Please remember, We need funds to stay on air.
[01:16:45.553 --> 01:16:46.673]  We have a victory path.
[01:16:47.074 --> 01:16:48.334]  Also, we've got great products you need.
[01:16:48.775 --> 01:16:49.775]  The sale has to end.
[01:16:49.795 --> 01:16:54.217]  I've extended it for like a week, Tuesday night, because we've almost sold out a bunch of products.
[01:16:54.798 --> 01:17:01.902]  Up to 60% off promo code 1776 at Infowarsware.com on DNA Force Plus, Phyton Mineral Fusion, X3.
[01:17:02.022 --> 01:17:04.003]  The list goes on and on.
[01:17:05.240 --> 01:17:09.400]   at infowarestore.com or call toll free, 888-253-3139.
[01:17:09.400 --> 01:17:15.340]  You can also do Brain Force Plus, Brain Force Ultra.
[01:17:15.340 --> 01:17:17.159]  There's so many great products there.
[01:17:17.159 --> 01:17:21.841]   The fluoride-free toothpaste, Diet Force, a little bit of that's back in.
[01:17:22.043 --> 01:17:29.470]  It's all massively discounted at InfoWarsTore.com or 888-253-3139.
[01:17:29.871 --> 01:17:36.758]  Living Defense, Parasite Cleanse, Knockout Sleep Aids, all 50 to 60% off at InfoWarsTore.com.
[01:17:36.818 --> 01:17:38.039]  Back to Ali Alexander.
[01:17:38.379 --> 01:17:42.443]  All right, let's get in to the domestic side, the diesel running out on the 19th.
[01:17:43.584 --> 01:17:46.326]  Yeah, so, you know, this cycle is interesting, as you pointed out.
[01:17:46.145 --> 01:17:50.385]   All the numbers I'm seeing showed bloodbath of the Democrats.
[01:17:50.385 --> 01:17:55.824]   What is your intel and also your discernment telling you, Ali Alexander?
[01:17:55.824 --> 01:18:00.185]  Yeah, so this cycle is interesting as you pointed out.
[01:18:00.185 --> 01:18:07.024]   You and I have faced tremendous lawfare by the Biden administration and our federal government.
[01:18:07.040 --> 01:18:12.763]  And so this is the first cycle in my career where I'm not actually working a race.
[01:18:13.382 --> 01:18:17.662]   And it's a little bittersweet, but it also means that I'm not pressing my sources in
[01:18:17.662 --> 01:18:23.822]   the more than 35 states that I've worked in as much as I would during a normal cycle.
