[00:00.000 --> 00:24.120]  It's a helpless feeling.
[1:05:30.560 --> 1:05:32.560]  Most other iodine out there
[1:05:32.560 --> 1:05:34.560]  Is bound to other minerals
[1:05:34.560 --> 1:05:36.560]  And compounds so you don't absorb it
[1:05:36.560 --> 1:05:38.560]  At all or fully
[1:05:38.560 --> 1:05:40.560]  Ladies and gentlemen, we got a limited supply
[1:05:40.560 --> 1:05:42.560]  And it's been sold out for months
[1:05:42.560 --> 1:05:44.560]  But despite that
[1:05:44.560 --> 1:05:46.560]  We're selling it at 25% off
[1:05:46.560 --> 1:05:48.560]  For one more week
[1:05:48.560 --> 1:05:50.560]  More than two weeks
[1:05:50.560 --> 1:05:52.560]  Experience X2 for yourself today
[1:05:52.560 --> 1:05:54.560]  At infowarstore.com
[1:05:54.560 --> 1:05:55.560]  X2
[1:05:55.560 --> 1:05:56.560]  At infowarstore.com
[1:05:56.560 --> 1:06:25.560]  Take action now.
[1:06:26.560 --> 1:06:28.560]  Our fellow humans across the globe
[1:06:28.560 --> 1:06:31.560]  We are going to defeat the new world order
[1:06:31.560 --> 1:06:33.560]  It has been foretold
[1:06:33.560 --> 1:06:35.560]  And we can already smell the victory
[1:06:35.560 --> 1:06:37.560]  It's Friday the 13th
[1:06:37.560 --> 1:06:40.560]  On this May 13th broadcast
[1:06:40.560 --> 1:06:42.560]  I am your host Alex Jones
[1:06:42.560 --> 1:06:45.560]  And we are the human resistance
[1:06:45.560 --> 1:06:48.560]  And I can feel your strength
[1:06:49.560 --> 1:06:51.560]  I can feel your will
[1:06:51.560 --> 1:06:57.560]  I can feel your power
[1:07:00.560 --> 1:07:02.560]  Checking your phone calls the next two hours
[1:07:02.560 --> 1:07:05.560]  Starting at the next segment
[1:07:05.560 --> 1:07:07.560]  I'm going to hit a lot of news right now
[1:07:07.560 --> 1:07:09.560]  Here on the World Wide Broadcast
[1:07:09.560 --> 1:07:12.560]  That exists in defiance to tyranny
[1:07:12.560 --> 1:07:13.560]  And defensive liberty
[1:07:13.560 --> 1:07:15.560]  And that outrages the enemies
[1:07:15.560 --> 1:07:21.560]  Of our people to no end
[1:07:21.560 --> 1:07:23.560]  We are strong
[1:07:23.560 --> 1:07:25.560]  The devil is broken
[1:07:25.560 --> 1:07:27.560]  And that's why he comes to try
[1:07:27.560 --> 1:07:29.560]  To kill, steal and destroy
[1:07:29.560 --> 1:07:31.560]  Alright, I want to hit
[1:07:31.560 --> 1:07:33.560]  The situation in Ukraine
[1:07:33.560 --> 1:07:35.560]  There's some really huge developments there
[1:07:35.560 --> 1:07:37.560]  But I really like what Joe Rogan's been doing lately
[1:07:37.560 --> 1:07:39.560]  He's been hitting on all cylinders
[1:07:39.560 --> 1:07:41.560]  And saying basically every podcast
[1:07:41.560 --> 1:07:42.560]  Nice things about the broadcast
[1:07:42.560 --> 1:07:44.560]  We appreciate that Joe
[1:07:44.560 --> 1:07:46.560]  And he's really awake
[1:07:46.560 --> 1:07:47.560]  Totally awake now
[1:07:47.560 --> 1:07:49.560]  It's hard for him to believe how evil the system is
[1:07:49.560 --> 1:07:50.560]  But he gets it now
[1:07:50.560 --> 1:07:51.560]  Now that he shifted his perspective
[1:07:51.560 --> 1:07:53.560]  And now it all makes sense
[1:07:53.560 --> 1:07:55.560]  He's coming out and talking about how
[1:07:55.560 --> 1:07:56.560]  The dictator up in Canada
[1:07:56.560 --> 1:07:57.560]  He stole the election
[1:07:57.560 --> 1:07:59.560]  Declared martial law
[1:07:59.560 --> 1:08:01.560]  How he's a creepy son of a bitch
[1:08:01.560 --> 1:08:03.560]  And this is the spirit we need
[1:08:03.560 --> 1:08:05.560]  Realizing these are our enemies
[1:08:05.560 --> 1:08:08.560]  And not even at a debate level with them
[1:08:08.560 --> 1:08:10.560]  We know they're agents of the Davos Group
[1:08:10.560 --> 1:08:11.560]  That's penetrated our governments
[1:08:11.560 --> 1:08:12.560]  And taken over
[1:08:12.560 --> 1:08:13.560]  And who created the Davos Group?
[1:08:13.560 --> 1:08:14.560]  The Bilderberg Group
[1:08:14.560 --> 1:08:15.560]  What's their goal?
[1:08:15.560 --> 1:08:16.560]  The world government?
[1:08:16.560 --> 1:08:17.560]  The population?
[1:08:17.560 --> 1:08:18.560]  It's on record
[1:08:18.560 --> 1:08:19.560]  Here it is
[1:08:21.560 --> 1:08:23.560]  Great of taxation
[1:08:23.560 --> 1:08:25.560]  But I always knew that Canada was really high
[1:08:25.560 --> 1:08:26.560]  It used to be
[1:08:26.560 --> 1:08:27.560]  The Canada was high
[1:08:27.560 --> 1:08:28.560]  But crime was lower
[1:08:28.560 --> 1:08:29.560]  The United States
[1:08:29.560 --> 1:08:30.560]  People were friendlier
[1:08:30.560 --> 1:08:31.560]  It seems like a great system
[1:08:31.560 --> 1:08:33.560]  Because you have socialized medicine
[1:08:33.560 --> 1:08:36.560]  You have some sort of a healthcare system up there
[1:08:36.560 --> 1:08:38.560]  Although there's a lot of complaints about that as well
[1:08:38.560 --> 1:08:40.560]  Your education system
[1:08:40.560 --> 1:08:43.560]  It seems like it's more accessible to people
[1:08:43.560 --> 1:08:44.560]  To go to college
[1:08:44.560 --> 1:08:45.560]  And things like that
[1:08:45.560 --> 1:08:47.560]  So you're contributing into this pile
[1:08:47.560 --> 1:08:48.560]  Which is fine
[1:08:48.560 --> 1:08:50.560]  But then when you have
[1:08:50.560 --> 1:08:53.560]  What's a creepy fucking dictator
[1:08:53.560 --> 1:08:54.560]  For a prime minister
[1:08:54.560 --> 1:08:55.560]  And that's what he is
[1:08:55.560 --> 1:08:57.560]  The way he behaves
[1:08:57.560 --> 1:08:58.560]  The way he behaved during this thing
[1:08:58.560 --> 1:09:00.560]  And just the disingenuous way
[1:09:00.560 --> 1:09:02.560]  That he communicated
[1:09:02.560 --> 1:09:03.560]  It freaked me out
[1:09:03.560 --> 1:09:05.560]  Because I never thought that guy was like that
[1:09:05.560 --> 1:09:07.560]  We had a conversation a few years ago
[1:09:07.560 --> 1:09:09.560]  Where you were sort of more positive
[1:09:09.560 --> 1:09:10.560]  I thought he was a handsome fellow
[1:09:10.560 --> 1:09:11.560]  With a good vocabulary
[1:09:11.560 --> 1:09:13.560]  And seems like a nice guy
[1:09:13.560 --> 1:09:15.560]  Before he really leaned into the woke stuff
[1:09:15.560 --> 1:09:18.560]  I just thought he was a kind, sensitive guy
[1:09:18.560 --> 1:09:19.560]  And I was like
[1:09:19.560 --> 1:09:21.560]  That's probably a good disposition
[1:09:21.560 --> 1:09:22.560]  To be a leader
[1:09:22.560 --> 1:09:27.560]  But just the way he labeled those truckers
[1:09:27.560 --> 1:09:30.560]  As racist for no reason
[1:09:30.560 --> 1:09:32.560]  The people protesting against mandates
[1:09:32.560 --> 1:09:34.560]  He decided they were misogynists
[1:09:34.560 --> 1:09:35.560]  And racist
[1:09:35.560 --> 1:09:36.560]  That's phobic
[1:09:36.560 --> 1:09:37.560]  Yeah
[1:09:37.560 --> 1:09:39.560]  But the way he did it was just like
[1:09:39.560 --> 1:09:42.560]  He just cast a pejorative label on them
[1:09:42.560 --> 1:09:43.560]  With no evidence
[1:09:43.560 --> 1:09:46.560]  With no provocation
[1:09:46.560 --> 1:09:47.560]  It was just like
[1:09:47.560 --> 1:09:49.560]  I'm going to label them this
[1:09:49.560 --> 1:09:51.560]  So that I can impose laws
[1:09:51.560 --> 1:09:54.560]  To stop them from doing what is essentially
[1:09:54.560 --> 1:09:55.560]  A peaceful protest
[1:09:55.560 --> 1:09:58.560]  So let me tell you about the draconian measures
[1:09:58.560 --> 1:09:59.560]  We've had in Quebec
[1:09:59.560 --> 1:10:01.560]  Oh, I know
[1:10:01.560 --> 1:10:02.560]  You know about it
[1:10:02.560 --> 1:10:03.560]  Yeah, I have friends
[1:10:03.560 --> 1:10:04.560]  I have friends that live in Quebec
[1:10:04.560 --> 1:10:05.560]  And they're furious
[1:10:05.560 --> 1:10:07.560]  So we still have, by the way, masks
[1:10:07.560 --> 1:10:10.560]  I think they're removing them on May 14th
[1:10:10.560 --> 1:10:11.560]  Right, so the first time
[1:10:11.560 --> 1:10:15.560]  We got to get Gad sad back on
[1:10:15.560 --> 1:10:16.560]  He's a really smart guy
[1:10:16.560 --> 1:10:19.560]  So
[1:10:19.560 --> 1:10:23.560]  Pulling back from this
[1:10:23.560 --> 1:10:27.560]  It's critical to understand
[1:10:27.560 --> 1:10:30.560]  That the whole liberal, fake, effeminate act
[1:10:30.560 --> 1:10:31.560]  Of people like Trudeau is an act
[1:10:31.560 --> 1:10:34.560]  These are psychotic control freaks
[1:10:34.560 --> 1:10:38.560]  And they're trained in NLP
[1:10:38.560 --> 1:10:41.560]  And all other forms of different psychological warfare
[1:10:41.560 --> 1:10:42.560]  They're sent to special schools
[1:10:42.560 --> 1:10:43.560]  It's on record
[1:10:43.560 --> 1:10:45.560]  They're sent to Debo schools
[1:10:45.560 --> 1:10:47.560]  To do all this
[1:10:47.560 --> 1:10:50.560]  To make themselves sound as non-threatening as possible
[1:10:50.560 --> 1:10:52.560]  I call it the MPR voice
[1:10:52.560 --> 1:10:54.560]  Very soft, very nice
[1:10:54.560 --> 1:10:55.560]  Very, oh
[1:10:55.560 --> 1:10:58.560]  To lull you into a sense of security
[1:10:58.560 --> 1:11:02.560]  When these people are literally trying to kill you
[1:11:02.560 --> 1:11:05.560]  Canada now is euthanizing old people
[1:11:05.560 --> 1:11:06.560]  Without their permission
[1:11:06.560 --> 1:11:08.560]  Which we always warned it would lead to
[1:11:08.560 --> 1:11:13.560]  So think of the most selfish, horrible, wicked stuff
[1:11:13.560 --> 1:11:16.560]  You can imagine and then go further
[1:11:16.560 --> 1:11:18.560]  And that's who these people are
[1:11:18.560 --> 1:11:20.560]  Whatever you can imagine
[1:11:20.560 --> 1:11:21.560]  And it's all on record
[1:11:21.560 --> 1:11:22.560]  They're doing it
[1:11:22.560 --> 1:11:24.560]  Because once you become evil
[1:11:24.560 --> 1:11:26.560]  And you have no morals
[1:11:26.560 --> 1:11:29.560]  Then the very worst
[1:11:29.560 --> 1:11:32.560]  Remove those that are just corrupt and want power
[1:11:32.560 --> 1:11:38.560]  And puts in people that have sick, twisted, satanic fetishes
[1:11:38.560 --> 1:11:40.560]  To hurt innocent people
[1:11:40.560 --> 1:11:43.560]  So that's why what Joe was talking about
[1:11:43.560 --> 1:11:45.560]  Is there, it's so important
[1:11:45.560 --> 1:11:48.560]  And notice, Joe's a master
[1:11:48.560 --> 1:11:50.560]  Of going, oh, free healthcare
[1:11:50.560 --> 1:11:52.560]  It sounded so good, so liberal, so loving
[1:11:52.560 --> 1:11:54.560]  To get liberals to listen
[1:11:54.560 --> 1:11:56.560]  And that's why he's so effective
[1:11:56.560 --> 1:11:58.560]  Is he's there
[1:11:58.560 --> 1:12:00.560]  Oh, I'm with you, but oh, this is really bad
[1:12:00.560 --> 1:12:02.560]  And he actually convinces people
[1:12:02.560 --> 1:12:04.560]  Whereas I do the frontal assault
[1:12:04.560 --> 1:12:06.560]  And he's not right, I'm not right
[1:12:06.560 --> 1:12:08.560]  He's not wrong, I'm not wrong
[1:12:08.560 --> 1:12:11.560]  Different approaches
[1:12:11.560 --> 1:12:14.560]  Are gonna reach different people
[1:12:14.560 --> 1:12:16.560]  But that's why they fear Joe
[1:12:16.560 --> 1:12:20.560]  Is that he's very smooth about it
[1:12:20.560 --> 1:12:23.560]  And he talks to them in their NPR voice
[1:12:23.560 --> 1:12:25.560]  And he programs them
[1:12:25.560 --> 1:12:27.560]  And he's doing a great job
[1:12:27.560 --> 1:12:29.560]  And some of the listeners are like, well, Joe's not perfect
[1:12:29.560 --> 1:12:31.560]  Is this and that
[1:12:31.560 --> 1:12:36.560]  Believe me, Joe is completely on board
[1:12:36.560 --> 1:12:38.560]  And the system knows that
[1:12:38.560 --> 1:12:41.560]  But he has decided another path to beat them
[1:12:41.560 --> 1:12:43.560]  And I say more power to him
[1:12:43.560 --> 1:12:48.560]  Now, let's hit some of this military news
[1:12:48.560 --> 1:12:51.560]  If you look at maps, I should have told the crew
[1:12:51.560 --> 1:12:54.560]  Of NATO 1993
[1:12:54.560 --> 1:12:57.560]  Type in maps of NATO 1993
[1:12:57.560 --> 1:12:59.560]  NATO 2022
[1:12:59.560 --> 1:13:01.560]  And you'll see NATO's doubled in size
[1:13:01.560 --> 1:13:03.560]  And is all around Russia
[1:13:03.560 --> 1:13:06.560]  And is then fomenting movements to
[1:13:06.560 --> 1:13:09.560]  Overthrow the Russian government inside their country
[1:13:09.560 --> 1:13:10.560]  Which is an active war
[1:13:10.560 --> 1:13:12.560]  Admitting we're in a proxy war with Russia
[1:13:12.560 --> 1:13:14.560]  Tens of billions of dollars of weapons
[1:13:14.560 --> 1:13:15.560]  Already shipped in
[1:13:15.560 --> 1:13:17.560]  And now 40 billion
[1:13:17.560 --> 1:13:19.560]  Rand Paul's blocking it right now
[1:13:19.560 --> 1:13:21.560]  But 40 billion passed in the house
[1:13:21.560 --> 1:13:23.560]  In two hours, no one had a chance to read the bill
[1:13:23.560 --> 1:13:24.560]  Now we're learning about it
[1:13:24.560 --> 1:13:25.560]  It is just insane
[1:13:25.560 --> 1:13:27.560]  For domestic propaganda here
[1:13:27.560 --> 1:13:29.560]  All sorts of illegal CIA operations
[1:13:29.560 --> 1:13:32.560]  I mean, it is coup funding money
[1:13:32.560 --> 1:13:34.560]  So if you look at NATO
[1:13:34.560 --> 1:13:36.560]  In the baby blue of your TV viewer
[1:13:36.560 --> 1:13:41.560]  It's in only a few countries in 1949, 1982
[1:13:41.560 --> 1:13:43.560]  The 1990, it expands into Poland
[1:13:43.560 --> 1:13:44.560]  And a bunch of other countries
[1:13:44.560 --> 1:13:47.560]  1999 expands, 2009 expands
[1:13:47.560 --> 1:13:50.560]  And then now if you look where it's expanded today
[1:13:50.560 --> 1:13:52.560]  It's even larger
[1:13:52.560 --> 1:13:55.560]  And the best maps, great job finding that map
[1:13:55.560 --> 1:13:57.560]  Yeah, that's a better one
[1:13:57.560 --> 1:13:59.560]  It just shows the switch
[1:13:59.560 --> 1:14:01.560]  1999 to 2015, there's a map
[1:14:01.560 --> 1:14:03.560]  And as you see, that's doubled in size
[1:14:03.560 --> 1:14:05.560]  And now it's even more
[1:14:05.560 --> 1:14:08.560]  And now they're trying to take Ukraine
[1:14:08.560 --> 1:14:10.560]  Which is as Russian as it gets
[1:14:10.560 --> 1:14:14.560]  I mean, Ukraine is Russia's mama
[1:14:14.560 --> 1:14:16.560]  And has there been a battle for thousands of years
[1:14:16.560 --> 1:14:18.560]  Whether Europe or Russia will run Ukraine?
[1:14:18.560 --> 1:14:19.560]  Yeah
[1:14:19.560 --> 1:14:22.560]  It's a very Germanic country in the west
[1:14:22.560 --> 1:14:24.560]  A very Slavic country in the east
[1:14:24.560 --> 1:14:26.560]  But they're all intermarried
[1:14:26.560 --> 1:14:30.560]  And that leads us to this
[1:14:30.560 --> 1:14:37.560]  Russia has said that if you keep taking members in
[1:14:37.560 --> 1:14:39.560]  It's an act of war, you gotta stop
[1:14:39.560 --> 1:14:41.560]  We had an agreement in 1993 to not do this
[1:14:41.560 --> 1:14:43.560]  1992
[1:14:43.560 --> 1:14:48.560]  Finland will be a NATO backwater
[1:14:48.560 --> 1:14:50.560]  Russia threatens military and technical measures
[1:14:50.560 --> 1:14:53.560]  If it enters, Finland has now officially
[1:14:53.560 --> 1:14:57.560]  Put in their application to enter NATO
[1:14:57.560 --> 1:15:00.560]  In the next 12 months
[1:15:00.560 --> 1:15:02.560]  And Russia has now announced it's going to cut
[1:15:02.560 --> 1:15:04.560]  The power supply to Finland tomorrow
[1:15:04.560 --> 1:15:06.560]  I mean, this is all out war
[1:15:06.560 --> 1:15:08.560]  Rand Paul blocks 40 billion to Ukraine
[1:15:08.560 --> 1:15:10.560]  Citing inflation at home
[1:15:10.560 --> 1:15:12.560]  Lack of basic food stuffs
[1:15:12.560 --> 1:15:14.560]  French open warns Russian players
[1:15:14.560 --> 1:15:17.560]  Not to make political statements of support for Putin
[1:15:17.560 --> 1:15:19.560]  That's saying you're just against the war
[1:15:19.560 --> 1:15:21.560]  And that there should be detente
[1:15:21.560 --> 1:15:25.560]  Very important statements by Gosar
[1:15:25.560 --> 1:15:27.560]  Congressman Gosar
[1:15:27.560 --> 1:15:29.560]  Russia not our enemy US Congressman
[1:15:29.560 --> 1:15:31.560]  I'm going to get to that later
[1:15:31.560 --> 1:15:33.560]  But I want to go to your phone calls
[1:15:33.560 --> 1:15:35.560]  When we come back, we've also, as I said
[1:15:35.560 --> 1:15:37.560]  Got a bunch of censorship news, economy news
[1:15:37.560 --> 1:15:40.560]  COVID news, transgender power grab news
