[00:26.000 --> 00:28.000]  You don't need
[1:51:13.760 --> 1:51:21.600]  i sat there for about an hour but my father in his sleep across the street felt what was
[1:51:21.600 --> 1:51:26.800]  happening and came across the street and climbed up in the house it wasn't even finished on top of
[1:51:26.800 --> 1:51:35.120]  the roof at the very second i reached my hand out to the devil to make the deal my father's hand
[1:51:36.080 --> 1:51:44.880]  stopped me that's the story of god that's the story of reality that's the story of the future
[1:51:45.680 --> 1:51:52.800]  that's the story of victory this is everything this is real this isn't a lie Jesus is real
[1:51:52.800 --> 1:51:59.200]  now Jesus's father is real our mission on this planet is real we're made in the image of the
[1:51:59.200 --> 1:52:04.800]  creator we were created and put here to do incredible things but first this is our boot camp
[1:52:09.040 --> 1:52:13.600]  you think bill gates everyone had a chance to have that experience now
[1:52:13.600 --> 1:52:23.200]  because he came from a family of evil and satanism
[1:52:24.880 --> 1:52:32.400]  but satan doesn't have the ultimate power satan only has the power to trick us to subserve
[1:52:32.400 --> 1:52:41.280]  our birthright and our will our ancestors paid for in blood and sweat and tears and prayer
[1:52:41.280 --> 1:52:45.600]  to bring us to the point we are now
[1:52:49.920 --> 1:52:56.800]  so that we're on the mountain we are not christ but we are of christ we are like christ we will
[1:52:56.800 --> 1:53:03.040]  follow in the path of christ and god is our heavenly father who win we're on the mountain
[1:53:03.040 --> 1:53:13.280]  tipped by satan and satan hand is there offering you the whole world you don't take satan's hand
[1:53:13.280 --> 1:53:19.280]  you take your father's hand and you break the will of the devil that's a true story
[1:53:20.960 --> 1:53:27.280]  and just that alone should let you know how magic and amazing consciousness is
[1:53:27.280 --> 1:53:34.000]  and the choices we have to make while we're alive for the short time because you're deciding on an
[1:53:34.000 --> 1:53:44.960]  eternity right now i see my enemies and i feel sorry for them because they have not partook
[1:53:46.080 --> 1:53:54.560]  of this cup they have never drunk deep on the strength and the will and the honor and the
[1:53:54.560 --> 1:54:01.680]  and the eternity of this paradigm they have no idea they believe because they're willing to hurt
[1:54:01.680 --> 1:54:06.800]  innocent people and because they're willing to lie that they are powerful when they are weak
[1:54:06.800 --> 1:54:20.720]  a rude awakening CNN reports polio's back
[1:54:23.760 --> 1:54:26.720]  bus in china transporting epidemic related people
[1:54:28.560 --> 1:54:32.160]  to cuba corny facility crashes at least 27 dead
[1:54:32.160 --> 1:54:34.160]  dead
[1:54:36.000 --> 1:54:37.040]  michigan general
[1:54:39.440 --> 1:54:40.400]  food offstage
[1:54:43.040 --> 1:54:47.120]  biden administration essentially weakened our military retired general thinks so
[1:54:48.160 --> 1:54:53.920]  world's top medical journal finally says cuba 19 could have come from a lab leak or really
[1:54:53.920 --> 1:55:06.160]  but the most important thing they tell us is don't send a family member a love note when
[1:55:06.160 --> 1:55:12.080]  they're dying locked up in hospital the most important thing is do what you're told
[1:55:14.960 --> 1:55:16.080]  and then we've got bill clinton
[1:55:16.080 --> 1:55:27.040]  i mean how surprising is this a scorpion stung the toad or the frog bill clinton falsely claims
[1:55:27.040 --> 1:55:33.920]  critical race theory doesn't exist and no one's teaching it wow how surprising that this sold
[1:55:33.920 --> 1:55:49.840]  out devil lies to us department of defense equality chief under investigation after posting
[1:55:49.840 --> 1:55:56.560]  racist anti-white rants black people aren't our enemy because the left has put racist black people
[1:55:56.560 --> 1:56:02.880]  in charge who declare war on us are we that stupid yeah they got armies of racist black people
[1:56:02.880 --> 1:56:08.480]  out murdering us because they programmed them 99% of black people aren't doing that we don't
[1:56:08.480 --> 1:56:14.640]  blame our brothers if they trick us into hating black people they win if they trick you into
[1:56:14.640 --> 1:56:22.800]  hating white people they win christ unifies us that doesn't mean when a black dog comes to your
[1:56:22.800 --> 1:56:28.640]  house to rape and kill you you don't shoot him or a white dog you're in a black church or a black
[1:56:28.640 --> 1:56:35.200]  grocery store in a white supremacist program of the fbi comes to kill you kill him and if some
[1:56:35.200 --> 1:56:41.680]  black supremacist comes to kill you defend yourself kill them but don't hate black people
[1:56:44.640 --> 1:56:48.960]  because they got a soul just like you do and don't you hate white people either and i want
[1:56:48.960 --> 1:56:56.480]  this broken now i want this race bs over and we know we're coming together all the numbers show
[1:56:56.480 --> 1:57:02.800]  trump as a fulcrum point whether he's perfect or not is a symbol of unity and black people love him
[1:57:05.600 --> 1:57:12.240]  we are going to win this fight together or we're going to lose this fight by not being together
[1:57:12.800 --> 1:57:16.400]  i'm sure it's going to take over two hours info wars dot com four slash show
[1:57:17.840 --> 1:57:21.680]  i will go into the belly of the beast tomorrow i'm very honored to be in this position
[1:57:21.680 --> 1:57:25.920]  i don't enjoy it but i'm very honored i've actually appreciate it and i think if you're
[1:57:25.920 --> 1:57:30.800]  prayers and support info wars short on com keep us on air we can't fight this fight without you
[1:57:31.360 --> 1:57:34.240]  we're going to global depression it's going to be rough together we're going to win
[1:57:34.960 --> 1:57:40.880]  but just as i put my hand out looking for the devil and i found my father you will as well
[1:57:41.520 --> 1:57:43.920]  just call on god great job crew
[1:57:49.120 --> 1:57:53.120]  info wars work has never been having a bigger effect than it's having right now
[1:57:53.120 --> 1:57:59.920]  now and today is do or die time if info wars gets the funding into the midterms in the next year
[1:57:59.920 --> 1:58:02.720]  we're going to stay on air be more effective than ever but if we don't
[1:58:03.680 --> 1:58:09.200]  i respect your decision and i'm ready to basically implode and shut down our main operations
[1:58:09.200 --> 1:58:14.960]  i've done my work i've i've put everything into it i'm leaving it on the field but i believe in a
[1:58:14.960 --> 1:58:19.840]  gut level you're going to come through plus you're going to get great products that your family already
[1:58:19.840 --> 1:58:25.600]  need so don't procrastinate show info wars you want us to stay on the air go to info wars store
[1:58:25.600 --> 1:58:30.720]  dot com where we got three great products back in stock vitamin c and zinc highest quality super
[1:58:30.720 --> 1:58:37.680]  strong back in stock vitamin d3 and calcium and of course dna force plus all these products
[1:58:37.680 --> 1:58:43.200]  are 50 off together in a combo pack or 40 off individually so the great products you already
[1:58:43.200 --> 1:58:48.320]  need for your immune system and we need the money to stay on air so please take action now thank you
[1:58:48.320 --> 1:58:53.840]  the globalists are fighting around the clock to destroy the family to destroy heterosexual
[1:58:53.840 --> 1:58:59.600]  relationships to annihilate our marriages and the studies are all clear the number one cause
[1:58:59.600 --> 1:59:06.400]  of marital splits is that there is problems in the bedroom and the number one issue men have
[1:59:06.400 --> 1:59:11.920]  is a rectile dysfunction ladies and gentlemen the left makes big jokes about this because they
[1:59:11.920 --> 1:59:16.720]  don't want people having lasting good loving relationships they want to break up society
[1:59:16.720 --> 1:59:23.680]  and we are so excited to have the number one natural male enhancement pill in the world
[1:59:23.680 --> 1:59:30.800]  available as a major sponsor now go to the iron patriot dot com today the iron patriot dot com
[1:59:30.800 --> 1:59:35.120]  and watch the instructional video look at the science yourself and then get a bottle of it's
[1:59:35.120 --> 1:59:39.920]  to heart it's discreet shipping i've used it it's amazing and it's not just for folks that
[1:59:39.920 --> 1:59:47.120]  have problems in the bedroom this also enhances it so again get yours today at the iron patriot dot com
[1:59:47.120 --> 2:00:07.920]  if you are receiving this transmission you are the resistance
