[00:00.000 --> 00:11.000]  And it's time for humanity to stand up in the Info War and say, I don't know what's going
[1:36:58.000 --> 1:37:00.000]  and how she believes that they were inappropriate
[1:37:00.000 --> 1:37:04.000]  and may have caused her to be a sex addict or an abuse victim.
[1:37:04.000 --> 1:37:07.000]  And that's the Biden family.
[1:37:07.000 --> 1:37:09.000]  And I mean, I feel bad, actually.
[1:37:09.000 --> 1:37:15.000]  I mean, I feel bad that Joe Biden was such a bad father,
[1:37:15.000 --> 1:37:19.000]  maybe perhaps even abusive, even sexually abusive,
[1:37:19.000 --> 1:37:22.000]  that Ashley Biden has to write about that in her diary
[1:37:22.000 --> 1:37:25.000]  and go through that pain in her life.
[1:37:25.000 --> 1:37:27.000]  And then you just look at Hunter.
[1:37:27.000 --> 1:37:30.000]  I mean, my God.
[1:37:30.000 --> 1:37:33.000]  I mean, talk about an absolute disaster.
[1:37:33.000 --> 1:37:37.000]  Hunter Biden, my goodness, the drug abuse, the drug addiction,
[1:37:37.000 --> 1:37:40.000]  the sex abuse, the sex addiction, the combining of them all,
[1:37:40.000 --> 1:37:43.000]  then the need to film it.
[1:37:43.000 --> 1:37:47.000]  He likes to film himself doing drugs and having sex with hookers.
[1:37:47.000 --> 1:37:50.000]  And then the rumors about maybe his own family members
[1:37:50.000 --> 1:37:54.000]  being involved with some of this, maybe some minors.
[1:37:54.000 --> 1:37:56.000]  Who knows if we'll ever know the full story
[1:37:56.000 --> 1:37:58.000]  or have a real investigation,
[1:37:58.000 --> 1:38:03.000]  but we do know that the diary is real.
[1:38:03.000 --> 1:38:08.000]  And so we'll be discussing that with Lee Stranahan
[1:38:08.000 --> 1:38:13.000]  coming up in the next hour.
[1:38:13.000 --> 1:38:19.000]  Meanwhile, Paul finds half of Americans rank moral values
[1:38:19.000 --> 1:38:22.000]  in country as poor.
[1:38:22.000 --> 1:38:25.000]  A new Gallup poll has found that 50% of Americans
[1:38:25.000 --> 1:38:28.000]  rank moral values in their country as poor.
[1:38:28.000 --> 1:38:31.000]  With only 13% saying those values are good,
[1:38:31.000 --> 1:38:33.000]  that's the real problem.
[1:38:33.000 --> 1:38:40.000]  And when you juxtapose that or rather look at that
[1:38:40.000 --> 1:38:43.000]  next to the fact that only 80% of Americans,
[1:38:43.000 --> 1:38:45.000]  according to a new poll,
[1:38:45.000 --> 1:38:47.000]  only 80% of Americans believe in God,
[1:38:47.000 --> 1:38:50.000]  well, you start to see the problem.
[1:38:50.000 --> 1:38:55.000]  So the majority of Americans believe our country
[1:38:55.000 --> 1:39:00.000]  has low moral values and a shrinking majority
[1:39:00.000 --> 1:39:07.000]  of Americans believe in God and creation.
[1:39:07.000 --> 1:39:10.000]  And so when you have those two factors combined,
[1:39:10.000 --> 1:39:13.000]  that's how you end up with a gay pride month
[1:39:13.000 --> 1:39:15.000]  that really just turns into sexual deviation,
[1:39:15.000 --> 1:39:18.000]  perversion and abuse of children month,
[1:39:18.000 --> 1:39:20.000]  grooming of the children month,
[1:39:20.000 --> 1:39:22.000]  sexual abuse of children month,
[1:39:22.000 --> 1:39:25.000]  that's what happens.
[1:39:25.000 --> 1:39:28.000]  And then also that's why you get mass shootings.
[1:39:28.000 --> 1:39:31.000]  Switzerland has a stunningly high rate of gun ownership.
[1:39:31.000 --> 1:39:33.000]  Isn't it 100%?
[1:39:33.000 --> 1:39:35.000]  I think you have to have a gun in Switzerland,
[1:39:35.000 --> 1:39:36.000]  so I think it's like 100%,
[1:39:36.000 --> 1:39:38.000]  but this is the headline for Business Insider.
[1:39:38.000 --> 1:39:41.000]  Switzerland has a stunningly high rate of gun ownership.
[1:39:41.000 --> 1:39:44.000]  Here's why it doesn't have mass shootings.
[1:39:44.000 --> 1:39:47.000]  Because they're trained on firearms,
[1:39:47.000 --> 1:39:50.000]  they know about firearms at a young age.
[1:39:50.000 --> 1:39:53.000]  And again, Switzerland doesn't have
[1:39:53.000 --> 1:39:56.000]  a low moral country like we have.
[1:39:56.000 --> 1:39:59.000]  I doubt that 50% of Swiss citizens
[1:39:59.000 --> 1:40:04.000]  would say their morals are poor.
[1:40:04.000 --> 1:40:09.000]  I doubt the rate of a fatherless household in Switzerland
[1:40:09.000 --> 1:40:12.000]  is as high as it is in America.
[1:40:12.000 --> 1:40:16.000]  I don't know as far as their belief in God is concerned.
[1:40:16.000 --> 1:40:21.000]  But how many Cardi B's come out of Switzerland?
[1:40:21.000 --> 1:40:23.000]  How many Kim Kardashian's come out of Switzerland?
[1:40:23.000 --> 1:40:29.000]  How many of these degenerates come out of Switzerland
[1:40:29.000 --> 1:40:33.000]  as entertainers and cultural icons?
[1:40:33.000 --> 1:40:36.000]  Do you see much of that coming out of Switzerland?
[1:40:36.000 --> 1:40:38.000]  You ever hear about any of that?
[1:40:38.000 --> 1:40:40.000]  You ever see any of that?
[1:40:40.000 --> 1:40:42.000]  No, that's just American culture.
[1:40:42.000 --> 1:40:44.000]  That's just American celebrity
[1:40:44.000 --> 1:40:47.000]  taking the most degenerative,
[1:40:47.000 --> 1:40:53.000]  stupefied, moronic individuals
[1:40:53.000 --> 1:40:57.000]  we can find that promote violence and sex
[1:40:57.000 --> 1:41:00.000]  and degeneracy and moral decay,
[1:41:00.000 --> 1:41:03.000]  and we lift them up.
[1:41:03.000 --> 1:41:06.000]  That's what leads to our cultural rot.
[1:41:06.000 --> 1:41:09.000]  That's what leads to the deterioration of our morals
[1:41:09.000 --> 1:41:12.000]  and ultimately the deterioration of our country,
[1:41:12.000 --> 1:41:16.000]  which of course leads to all the stuff that we see
[1:41:16.000 --> 1:41:20.000]  as far as crime and fatherless households
[1:41:20.000 --> 1:41:24.000]  and abortions and everything else goes.
[1:41:24.000 --> 1:41:27.000]  But see, okay, so what do you do about that?
[1:41:27.000 --> 1:41:29.000]  Well, do you really look for a leader to fix that
[1:41:29.000 --> 1:41:31.000]  or do you just look at yourself?
[1:41:31.000 --> 1:41:33.000]  Because that's what that comes down to
[1:41:33.000 --> 1:41:36.000]  and that's what's so frustrating is
[1:41:36.000 --> 1:41:40.000]  this is something that actually is probably the easiest fix of all.
[1:41:40.000 --> 1:41:43.000]  It just requires everybody to get on board.
[1:41:43.000 --> 1:41:45.000]  You have to wake up every day
[1:41:45.000 --> 1:41:47.000]  and look at yourself in the mirror
[1:41:47.000 --> 1:41:49.000]  and say, how can I be a better person?
[1:41:49.000 --> 1:41:51.000]  You have to look at yourself every day
[1:41:51.000 --> 1:41:53.000]  and you have to wake up and you say,
[1:41:53.000 --> 1:41:55.000]  how can I be the change I want to see in the world?
[1:41:55.000 --> 1:41:59.000]  How can I be an example of the civilization
[1:41:59.000 --> 1:42:01.000]  of the society that I want to live in,
[1:42:01.000 --> 1:42:03.000]  that I want to raise a family in?
[1:42:03.000 --> 1:42:05.000]  And if you're not doing that,
[1:42:05.000 --> 1:42:08.000]  well then you're part of the problem.
[1:42:08.000 --> 1:42:11.000]  Does that mean you're going to be perfect?
[1:42:11.000 --> 1:42:12.000]  Of course not.
[1:42:12.000 --> 1:42:14.000]  Of course you're not going to be perfect.
[1:42:14.000 --> 1:42:16.000]  Of course you're going to make mistakes,
[1:42:16.000 --> 1:42:20.000]  but are you making an active effort?
[1:42:20.000 --> 1:42:22.000]  Is it something you're considering every day?
[1:42:22.000 --> 1:42:24.000]  How you can be a good person?
[1:42:24.000 --> 1:42:26.000]  How you can raise the moral compass?
[1:42:26.000 --> 1:42:28.000]  How you can raise the moral value in this country?
[1:42:28.000 --> 1:42:32.000]  How you can be a better example for other people?
[1:42:32.000 --> 1:42:35.000]  Because that's something that takes all of us.
[1:42:35.000 --> 1:42:38.000]  There's no government, there's no leadership.
[1:42:38.000 --> 1:42:41.000]  It's something that takes individual effort every day.
[1:42:41.000 --> 1:42:43.000]  And then yeah, you know what?
[1:42:43.000 --> 1:42:47.000]  Part of that effort means turning off the smut on your television.
[1:42:47.000 --> 1:42:50.000]  Turning off the smut on your internet.
[1:42:50.000 --> 1:42:55.000]  Disengaging with all the moral decay activities
[1:42:55.000 --> 1:42:59.000]  that have become normal in this country.
[1:42:59.000 --> 1:43:01.000]  I'm a humble person
[1:43:01.000 --> 1:43:04.000]  and I want to say that I'm just a man.
[1:43:04.000 --> 1:43:05.000]  I'm not just a man.
[1:43:05.000 --> 1:43:06.000]  Just like you.
[1:43:06.000 --> 1:43:09.000]  No matter what color you are, whether you're a man or a woman,
[1:43:09.000 --> 1:43:11.000]  you were made by the creator of the universe.
[1:43:11.000 --> 1:43:13.000]  Who had a plan for you.
[1:43:13.000 --> 1:43:15.000]  Who has a destiny for you.
[1:43:15.000 --> 1:43:18.000]  That's why the system hates you and fears you.
[1:43:18.000 --> 1:43:19.000]  That's why they hate me.
[1:43:19.000 --> 1:43:22.000]  It's because the spirit I carry is one of justice
[1:43:22.000 --> 1:43:25.000]  and truth and courage and honor and will and love.
[1:43:25.000 --> 1:43:28.000]  My friends, the enemy's coming after me.
[1:43:28.000 --> 1:43:31.000]  Not because I'm a loser, but because I'm a winner.
[1:43:31.000 --> 1:43:32.000]  They're coming after you,
[1:43:32.000 --> 1:43:34.000]  not because you're a bad person,
[1:43:34.000 --> 1:43:36.000]  because you're a good person.
[1:43:36.000 --> 1:43:39.000]  Because you love God and God loves you.
[1:43:39.000 --> 1:43:40.000]  And so I signed up for this.
[1:43:40.000 --> 1:43:42.000]  I signed up for this fight.
[1:43:42.000 --> 1:43:43.000]  And I'm not a victim.
[1:43:43.000 --> 1:43:44.000]  I'm an overcomer.
[1:43:44.000 --> 1:43:46.000]  And I can't fight this fight without you.
[1:43:46.000 --> 1:43:48.000]  That's why I want you to always remember
[1:43:48.000 --> 1:43:49.000]  that I appreciate you and I thank you
[1:43:49.000 --> 1:43:51.000]  because M4 Wars is your fight.
[1:43:51.000 --> 1:43:52.000]  M4 Wars is your baby.
[1:43:52.000 --> 1:43:54.000]  It's the thing you built.
[1:43:54.000 --> 1:43:55.000]  We did this together.
[1:43:55.000 --> 1:43:56.000]  So God bless you all.
[1:43:56.000 --> 1:43:58.000]  Let's keep fighting.
[1:43:58.000 --> 1:44:02.000]  Get our great bag of it here.
[1:44:02.000 --> 1:44:04.000]  I mean, this is from, people say,
[1:44:04.000 --> 1:44:07.000]  why is it from Chiapas, Mexico, the communists?
[1:44:07.000 --> 1:44:09.000]  Well, that's where some of the best coffee in the world
[1:44:09.000 --> 1:44:13.000]  that's wild harvested above organic in the volcanic soil,
[1:44:13.000 --> 1:44:14.000]  better than Guatemalan coffee.
[1:44:14.000 --> 1:44:16.000]  And yeah, we buy it from the little farmers
[1:44:16.000 --> 1:44:18.000]  that, you know, the media calls communists,
[1:44:18.000 --> 1:44:19.000]  but really they're just a commune.
