[00:00:00.169 --> 00:00:00.730]  I'm a fighter.
[01:04:00.492 --> 01:04:04.774]  I've been trying to rank order them and I just can't figure out which one is most important.
[01:04:05.174 --> 01:04:09.396]  But I've narrowed it down to the real one that's important coming up in November.
[01:04:09.877 --> 01:04:20.442]   And that is that the vast majority of Americans today, in my personal opinion, are not elected I'm not able to elect people because they're not properly informed.
[01:04:21.843 --> 01:04:24.525]  An informed electorate is essentially in a democracy.
[01:04:24.545 --> 01:04:26.866]  It's not just the vote that's important.
[01:04:27.287 --> 01:04:35.393]  It's important that the people have information about what they're voting for and who they're voting for and why they're voting for those people.
[01:04:35.653 --> 01:04:37.835]  That's right, the people perish for lack of knowledge.
[01:04:38.855 --> 01:04:44.835]   Exactly, and it's been a deliberate dumbing down of the entire American population so
[01:04:44.835 --> 01:04:48.094]   that they don't understand the dynamics of government themselves.
[01:04:48.094 --> 01:04:53.255]   I happen to have been an observant of this a long time, and I can tell you the most important
[01:04:53.255 --> 01:04:58.335]   thing in America today is that you don't understand your own American voting system.
[01:04:58.335 --> 01:05:05.733]   For example, the Republicans and the Democrats have had a concerted effort to keep out any
[01:05:05.733 --> 01:05:08.494]  one third party from coming into office.
[01:05:08.494 --> 01:05:13.454]   This is an agreement that they seem to have tacitly at the very top level.
[01:05:13.454 --> 01:05:18.614]   President Trump, when he ran, he was opposed right from the inside of the Republican Party.
[01:05:18.661 --> 01:05:34.971]  The way that these parties work, a two-system in Canada as well, okay, is that when one party gets in trouble, the other party simply drops the ball, doesn't do, follows along, finds some sort of becoming a loyal opposition as opposed to a real opposition.
[01:05:35.291 --> 01:05:37.032]  They become a disloyal opposition.
[01:05:37.432 --> 01:05:38.653]  And then they drop the ball.
[01:05:38.893 --> 01:05:41.714]  Now, come in November, you think the Democrats are going to get beaten?
[01:05:42.015 --> 01:05:42.715]  You bet not.
[01:05:43.037 --> 01:05:46.037]  You're going to have the pollsters saying that neck to neck.
[01:05:46.037 --> 01:05:49.357]  You're going to have the Republicans drop the ball.
[01:05:49.357 --> 01:05:52.937]   And they're going to have some sort of agreement that, you know, well, you can't allow the
[01:05:52.937 --> 01:05:57.716]   Democrat Party to be destroyed because then that opens the party to a third party and
[01:05:57.716 --> 01:05:59.576]  we can't have that happen, blah, blah.
[01:05:59.576 --> 01:06:05.556]   And so you find the most incredible voting practices among Republicans that are shocking.
[01:06:05.832 --> 01:06:09.394]  And you say, how is it possible that Republicans can be voting this way?
[01:06:10.134 --> 01:06:16.058]  And it's because there's insider deals at the committee chairman level, and that's how they control things, is by the leadership.
[01:06:16.118 --> 01:06:16.898]  Thank you so much.
[01:06:16.938 --> 01:06:17.459]  Great point.
[01:06:17.999 --> 01:06:19.280]  But more and more people see through it.
[01:06:19.360 --> 01:06:19.680]  All right.
[01:06:19.740 --> 01:06:26.724]  Bone Crusher, Kevin, Jefferson, Peter, Paul, Josh, John, Alex, your calls are all coming up in the order they were received straight ahead.
[01:06:26.804 --> 01:06:28.045]  Thank you so much for calling.
[01:06:28.345 --> 01:06:29.425]  Thank you so much for caring.
[01:06:30.666 --> 01:06:31.486]  We're here, folks.
[01:06:31.506 --> 01:06:33.867]  We're going to have to fight through this.
[01:06:33.907 --> 01:06:39.990]  Ladies and gentlemen, we are back live broadcasting worldwide on this Live Monday broadcast.
[01:06:40.570 --> 01:06:42.251]  Let's go ahead and go back to your phone calls.
[01:06:42.271 --> 01:06:43.392]  Who's been holding the longest here?
[01:06:44.592 --> 01:06:48.334]  Oh, I guess that would be Bone Crusher in FEMA Region 10.
[01:06:48.814 --> 01:06:49.874]  Bone Crusher, welcome.
[01:06:51.675 --> 01:06:52.696]  Alex, great to see you.
[01:06:52.716 --> 01:06:56.837]  You're still hanging in there after all the crap that's going on right now?
[01:06:58.418 --> 01:06:59.118]  Well, thank you, brother.
[01:06:59.138 --> 01:06:59.939]  We're all in this together.
[01:07:00.925 --> 01:07:01.245]  I know.
[01:07:01.985 --> 01:07:09.887]  Um, so I just want to say that I just ordered some stuff from the store and I was looking back at my history and I made an order.
[01:07:09.907 --> 01:07:18.609]  There was another one around about a year ago and there's been 600,000 orders that the whole entire website has done in about a year.
[01:07:22.941 --> 01:07:23.761]  That's ridiculous.
[01:07:24.281 --> 01:07:34.083]  There is so many people watching this stuff, and for 600,000 orders to only come out of your guys' store within a year for how many people are watching this and stuff, is absurd.
[01:07:34.503 --> 01:07:35.683]  I know we got that many orders.
[01:07:35.703 --> 01:07:38.124]  I don't know where you got that number, but look, it's fine.
[01:07:38.164 --> 01:07:43.385]  Listen, I've run my course, and nobody takes this stuff serious, so we'll just go off the air.
[01:07:43.445 --> 01:07:44.165]  I mean, I'm not mad.
[01:07:44.625 --> 01:07:48.926]  I mean, if people don't want to support us, don't want to buy the products, don't want to keep us on air, that's fine.
[01:07:48.946 --> 01:07:49.946]  You're going to lose everything anyways.
[01:07:50.786 --> 01:07:52.127]  Uh, so I'm not bitching anybody.
[01:07:52.347 --> 01:07:59.089]  I'm tired of asking for support, and I'm tired of the other sides lying and saying I got all these hundreds of millions of dollars, and just all of it.
[01:07:59.209 --> 01:08:00.830]  Everybody's going to get what they want real soon.
[01:08:00.890 --> 01:08:02.430]  Stuff is going down.
[01:08:02.730 --> 01:08:04.551]  Things are falling apart now.
[01:08:04.891 --> 01:08:05.891]  The borders are open.
[01:08:05.931 --> 01:08:08.212]  Pedophilia is all over the news.
[01:08:08.252 --> 01:08:12.674]  We're just in the middle of the beginning of the end here, and I guess it's just what we deserve.
[01:08:14.573 --> 01:08:19.284]  I mean, yeah, as a whole that's what we deserve, but I'm mad about it.
[01:08:19.385 --> 01:08:20.066]  I think it's ridiculous.
[01:08:20.086 --> 01:08:20.908]  People don't realize that...
[01:08:22.162 --> 01:08:23.023]  Go watch the Nightly News.
[01:08:23.043 --> 01:08:23.963]  You guys have ran it before.
[01:08:23.983 --> 01:08:25.044]  You guys have a montage of it.
[01:08:25.084 --> 01:08:28.925]  I've seen it a million times, where it's showing the sponsors for the Nightly News.
[01:08:29.025 --> 01:08:34.668]  It's Big Pharma, Pfizer, it's Nestle, it's Coca-Cola, everybody who's pumping junk into you.
[01:08:35.168 --> 01:08:41.811]  While everybody wants to sit here, all your naysayers want to go, oh, Alex Jones is selling, Alex Jones is selling snake oil.
[01:08:41.871 --> 01:08:47.414]  No, Alex Jones is selling good products and trying to keep himself afloat because he doesn't have corporate sponsors.
[01:08:47.474 --> 01:08:47.874]  That's why.
[01:08:48.766 --> 01:08:49.406]  That's right, brother.
[01:08:49.446 --> 01:08:50.307]  I appreciate your call.
[01:08:50.427 --> 01:08:51.767]  But look, I'm not bitching at people.
[01:08:52.968 --> 01:08:53.948]  People want to keep us on air.
[01:08:53.988 --> 01:08:54.288]  They are.
[01:08:54.929 --> 01:08:55.989]  If they don't want to, that's fine.
[01:08:56.509 --> 01:08:57.410]  I've done my job.
[01:08:57.490 --> 01:08:58.330]  I've tried my best.
[01:08:59.310 --> 01:09:02.732]  And a lot of folks are supporting us right now.
[01:09:03.052 --> 01:09:07.394]  If we got the kind of support we're getting today, every day we'd expand, actually.
[01:09:08.447 --> 01:09:09.548]  And so I'm not bitching at anybody.
[01:09:09.568 --> 01:09:10.648]  You want to support us, support us.
[01:09:10.668 --> 01:09:12.749]  We've got great products that will enrich your life.
[01:09:13.249 --> 01:09:14.250]  Infowarrestore.com.
[01:09:14.930 --> 01:09:17.811]  Okay, let's go ahead now and let's take another call.
[01:09:17.631 --> 01:09:27.671]   Oh, by the way, I'm not mad, but there's an article right here on Infowars.com that says
[01:09:27.671 --> 01:09:32.771]  global recession looming as China shuts down supply lanes.
[01:09:32.805 --> 01:09:37.088]  Look, we're not in a recession, we're in a global depression.
[01:09:37.589 --> 01:09:40.411]  They're shutting down the economy, hundreds of billions are starving to death.
[01:09:41.252 --> 01:09:50.259]  So, a lot of this is, we have become very comfortable with our own destruction.
[01:09:51.821 --> 01:09:52.881]  Well, I'm not comfortable with it.
[01:09:55.343 --> 01:10:04.202]   And so, A lot of people think they're going to do some metamorphosis of corruption, and, oh, this great, wonderful thing's going to come out on the other side.
[01:10:04.222 --> 01:10:05.323]  That's what the left thinks.
[01:10:05.383 --> 01:10:08.627]  No, what's going to come out on the other side is mass death and nuclear war.
[01:10:08.648 --> 01:10:09.589]  Okay?
[01:10:10.850 --> 01:10:12.132]  So I've already made friends with this.
[01:10:12.192 --> 01:10:14.675]  I'm already way past it, and I don't want to take calls.
[01:10:16.325 --> 01:10:18.167]  I don't want to take calls about Infowars anymore.
[01:10:18.608 --> 01:10:19.649]  I want to talk about Russia.
[01:10:19.669 --> 01:10:22.893]  I want to talk about China, the borders, the new world order, any subject but us.
[01:10:23.533 --> 01:10:25.295]  Because it's whining.
[01:10:25.976 --> 01:10:26.397]  It's whining.
[01:10:26.677 --> 01:10:41.450]   If America doesn't believe in free speech, and America believes in killing babies, and America believes in drag queen story time, and America believes in open borders, and tuberculosis, and Bioweapons being released and forced inoculations, then America's done!
[01:10:41.790 --> 01:10:49.434]  And my job was to be here, to expose what was happening, and to try to get people to make a mental, psychic, spiritual choice, and I've done that.
[01:10:51.075 --> 01:10:52.615]  But I sure as hell am not going to bitch.
[01:10:52.735 --> 01:10:57.278]  I'm just saying, you want to aid us in the fight against the New World Order, we need your support.
[01:10:57.438 --> 01:11:02.660]  But I don't want to turn it into bitching at people, or turn it into complaining, okay?
[01:11:02.480 --> 01:11:04.799]   Okay, 'cause it's just, people are gonna do what they're gonna do.
[01:11:04.799 --> 01:11:15.120]   Let's go to Paul in Colorado on the midterm election fraud and moving forward.
[01:11:15.189 --> 01:11:17.531]  Yeah, how are we going to stop massive fraud by these crooks?
[01:11:17.851 --> 01:11:18.872]  They've already gotten away with it.
[01:11:18.892 --> 01:11:21.414]  They're trying to outlaw questioning election fraud.
[01:11:21.434 --> 01:11:22.775]  What do you think is going to happen, Paul?
[01:11:22.815 --> 01:11:23.456]  How do we move forward?
[01:11:24.777 --> 01:11:33.404]  Alex, this is, I've been wanting to make this call for 10 years, and Judge Napolitano and Gerald Sorrento are two of my heroes, so what a good Monday and what a good day to call.
[01:11:34.425 --> 01:11:38.788]  There's something that's important about elections that we can't forget about, and I'm going to go back to 2012.
[01:11:40.285 --> 01:11:45.808]  And if anybody hasn't seen it, look up the Ron Paul media blackout in 2012, okay?
[01:11:47.629 --> 01:12:02.078]  And this kind of goes to what one of the previous callers said about selecting our new leaders, and what we've been doing in the past is allowing the media to feed us, our leaders, by falsely reporting poll numbers, right?
[01:12:02.797 --> 01:12:13.263]  And so that same thing that blacked out Ron Paul in 2012 is the same media deception that swept Bernie under the rug.
[01:12:13.864 --> 01:12:17.126]  It's the same media deception that fed us Donald Trump in 2016.
[01:12:18.206 --> 01:12:18.487]  Okay?
[01:12:18.767 --> 01:12:19.867]  Whether they meant to or not.
[01:12:19.887 --> 01:12:20.328]  That's right.
[01:12:20.368 --> 01:12:26.892]  Even though he meant well, he energized the left to commit a bunch of crimes and censor to bring in the new world order.
[01:12:27.132 --> 01:12:30.254]  So Trump was, I agree with the head of Barstool Sports.
[01:12:30.934 --> 01:12:35.698]  Is that he's not against Trump personally, but Trump energized the left.
[01:12:36.899 --> 01:12:49.049]  So here's my point, though, is when you when you give somebody 400 mentions to one mention for every other candidate, you delivered that candidate to the general.
[01:12:49.129 --> 01:12:50.550]  Well, we know the emails came out.
[01:12:50.670 --> 01:12:57.496]  Hillary ordered the media that she controlled to give Trump all the attention early on because she thought she could beat him easier than it backfired.
[01:12:58.601 --> 01:13:00.462]  So, I agree totally.
[01:13:00.502 --> 01:13:16.214]  So here is my point, and this is going to be an unpopular opinion, but I'm willing to bet that Judge Napolitano and Gerald would agree with me, is that in 2016, every vote that went to Donald Trump should have gone to Rand Paul.
