[00:00:00.169 --> 00:00:01.450]  Is the pandemic over?
[01:03:27.708 --> 01:03:28.529]  There's two reasons.
[01:03:29.069 --> 01:03:31.451]  One, they already know that their policies are failures.
[01:03:31.591 --> 01:03:32.312]  They're not stupid.
[01:03:32.332 --> 01:03:39.077]  They know California and New York and Illinois are disasters of states run by Democrats.
[01:03:39.097 --> 01:03:43.520]  They know every major inner city that's run by Democrats goes to hell within a decade.
[01:03:43.780 --> 01:03:43.961]  St.
[01:03:43.981 --> 01:03:45.842]  Louis, Baltimore, New Orleans, you name it.
[01:03:45.862 --> 01:03:46.623]  It's all of them.
[01:03:46.863 --> 01:03:49.225]  So they know that their leadership destroys worlds.
[01:03:49.985 --> 01:03:51.907]  But that's not really the problem here.
[01:03:53.668 --> 01:03:59.172]   Democrats The modern-day American left is all about control.
[01:03:59.772 --> 01:04:01.174]  It's all about subjugation.
[01:04:02.495 --> 01:04:11.543]  So, the modern-day Democrat Party would not want a two-party system in America where Republicans have red states, Democrats have blue states.
[01:04:12.504 --> 01:04:19.430]  They would never want that because their entire ideology is based off of controlling your life.
[01:04:21.348 --> 01:04:24.990]  So, sure, Republicans would say, all right, let's separate.
[01:04:25.190 --> 01:04:28.091]  We just want to be independent of you guys trying to control our lives anyway.
[01:04:29.051 --> 01:04:36.254]  Democrats, despite all the attacks they say about conservatives, oh, they're racist, oh, they're bigots, oh, they're xenophobic, oh, they're extremists, oh, they're hate groups.
[01:04:37.335 --> 01:04:38.595]  Okay, well, let's just separate then.
[01:04:38.635 --> 01:04:40.796]  We'll have our lives, you'll have yours.
[01:04:41.176 --> 01:04:50.220]  No, they can't have that because their entire operational motivation is to control your life.
[01:04:51.499 --> 01:04:53.661]  Tell you how to protect your family and yourself.
[01:04:54.141 --> 01:04:55.842]  Tell you how to educate your children.
[01:04:56.383 --> 01:04:57.784]  Tell you how to spend your money.
[01:04:58.124 --> 01:04:59.325]  Tell you how to travel.
[01:04:59.965 --> 01:05:01.126]  Tell you what to eat.
[01:05:01.446 --> 01:05:02.968]  Tell you where and how to live.
[01:05:03.848 --> 01:05:09.553]  So sure, you ask a Republican today, they'd sure, I'd love to have a separation between the Republicans and the Democrats.
[01:05:09.573 --> 01:05:12.074]  Split America into two different countries now.
[01:05:13.018 --> 01:05:17.279]  But Democrats would never have that because it's all about controlling you.
[01:05:17.699 --> 01:05:20.199]  Democrats want to tell you how to live your life.
[01:05:21.219 --> 01:05:28.241]  So last night, Joe Biden declared that the COVID pandemic is over.
[01:05:28.401 --> 01:05:31.761]  Here is that clip from last night's 60 Minutes interview, clip 14.
[01:05:31.841 --> 01:05:37.222]  Mr. President, first Detroit auto show in three years.
[01:05:37.242 --> 01:05:37.542]  Yeah.
[01:05:39.003 --> 01:05:40.243]  Is the pandemic over?
[01:05:41.021 --> 01:05:42.962]  The pandemic is over.
[01:05:43.122 --> 01:05:44.923]  We still have a problem with COVID.
[01:05:45.003 --> 01:05:46.484]  We're still doing a lot of work on it.
[01:05:48.085 --> 01:05:49.346]  But the pandemic is over.
[01:05:49.606 --> 01:05:51.147]  If you notice, no one's wearing masks.
[01:05:51.227 --> 01:05:52.968]  Everybody seems to be in pretty good shape.
[01:05:53.608 --> 01:05:57.331]  And so I think it's changing, and I think this is a perfect example of it.
[01:05:58.411 --> 01:05:59.692]  Total clown world stuff.
[01:06:01.173 --> 01:06:07.857]  You could have had the Detroit Auto Show in 2020 and 2021 with no masks or vaccines, and there wouldn't have been a pandemic then either.
[01:06:09.485 --> 01:06:10.825]  That's what's so weird, man.
[01:06:10.845 --> 01:06:14.507]  That's the crazy clown world that we're in today.
[01:06:15.767 --> 01:06:17.928]  We're just playing games like little kids.
[01:06:19.348 --> 01:06:20.848]  I mean, doesn't it feel like that sometimes?
[01:06:20.869 --> 01:06:25.390]  Do you ever play make-believe with your cousins or your friends growing up when you were little kids?
[01:06:25.410 --> 01:06:26.190]  You play make-believe?
[01:06:27.190 --> 01:06:28.371]  That's what this is.
[01:06:28.451 --> 01:06:38.614]  It's grown adults in our government playing make-believe, but forcing us into their clown world, make-believe world that doesn't exist.
[01:06:40.458 --> 01:06:43.540]  Now, okay, Biden declares the pandemic is over.
[01:06:43.840 --> 01:06:51.446]  We'll see if the White House tries to retract that statement like they've had to retract others that he made last night on the 60 Minutes interview.
[01:06:54.148 --> 01:07:00.252]  But that hasn't stopped the vaccine pushers from pushing their vaccines.
[01:07:00.312 --> 01:07:02.153]  Now, there's been a realization.
[01:07:04.375 --> 01:07:13.389]   Some sectors of the government Now, nobody's being outright honest about this vaccine that promoted it because they know how bad it is.
[01:07:13.489 --> 01:07:17.594]  That's like... I mean, it'd be like if you were the...
[01:07:19.210 --> 01:07:40.371]  Snack provider for a, let's say a youth peewee football team, and you were the snack provider at halftime, and you brought oranges, orange slices or something for the whole team at halftime, and then the entire team got sick in the second half, and it's like, uh oh, you knew it was from what you, well, oh I don't know anything about that, maybe we should stop having snack time!
[01:07:41.152 --> 01:07:42.693]  I think snack time was the problem.
[01:07:42.713 --> 01:07:44.874]  It's like, no, you gave them bad snacks.
[01:07:44.894 --> 01:07:46.115]  You gave them poison snacks.
[01:07:46.475 --> 01:07:50.738]  Like, no, no, no, I think maybe just snack time in general is a problem and we should just end snack time.
[01:07:51.479 --> 01:07:55.741]  Like, well, okay, maybe we should end snack time, but we know what you did.
[01:07:55.801 --> 01:08:14.562]   So, now certain areas are backing off the vaccine mandates, like in the military, because they know that this COVID-19 vaccine is probably the biggest humanitarian pharmaceutical disaster Maybe world history, but certainly modern history.
[01:08:15.703 --> 01:08:21.946]  And that's saying something, because there have been vaccines that have already caused disasters, like a vaccine caused a polio outbreak in Africa.
[01:08:22.226 --> 01:08:25.027]  Looks like it's about to cause a polio outbreak in New York City.
[01:08:26.328 --> 01:08:31.731]  You've had, of course, the experimentation on individuals with vaccines, like the Tuskegee experiment.
[01:08:33.482 --> 01:08:37.284]  You've had deadly drugs pushed by the system that get pulled off the market.
[01:08:37.304 --> 01:08:42.706]  So, I mean, there have been a lot of pharmaceutical disasters that have killed millions of people.
[01:08:42.726 --> 01:08:45.047]  I mean, hell, just opioids in general kill millions of people.
[01:08:46.708 --> 01:08:47.588]  Pharmaceutical drugs.
[01:08:49.069 --> 01:08:53.751]  But so all the vaccine pushers now know it's bad, and there's two responses.
[01:08:54.031 --> 01:09:08.221]   One, you either back off of it, knowing the vaccine has been a complete disaster, or two, you double down and in your confidence, That's the big act is the con game of, oh, the vaccine is great.
[01:09:08.341 --> 01:09:09.722]  Look at how confident I am in it.
[01:09:11.804 --> 01:09:28.798]   But the numbers are in and it's not going so well, so we'll see if the White House sticks by Biden's statement that COVID pandemic is over as they continue to push those deadly vaccines that don't just Not do a damn thing to stop COVID.
[01:09:29.299 --> 01:09:31.020]  They're going to do more harm than good.
[01:09:31.381 --> 01:09:40.308]  And almost every study, the further we get into this and more and newer studies come out, every study is now indicating what we all knew from the beginning.
[01:09:40.728 --> 01:09:43.150]  The COVID vaccine destroys your immune system.
[01:09:43.450 --> 01:09:48.314]  The COVID vaccine gives you all kinds of other negative side effects that have nothing to do with even COVID.
[01:09:48.594 --> 01:09:51.637]  Heart problems, stroke, Guillain-Barre, you name it.
[01:09:54.079 --> 01:10:09.393]  So it's either double down and pretend like you're still confident in the vaccines like Trump has done, like a jackass, or you back off the mandates and the promotion of the vaccines and just say, well, we're just not doing mandates and promotions anymore, but you don't tell people why.
[01:10:12.270 --> 01:10:13.671]  And so that's where it's going.
[01:10:14.111 --> 01:10:14.972]  Following U.S.
[01:10:15.032 --> 01:10:18.233]  Navy's change to vaccine mandate policy, U.S.
[01:10:18.273 --> 01:10:19.434]  Marine Corps follows.
[01:10:19.874 --> 01:10:28.819]  Yeah, they see how much of a disaster this has been and what a humanitarian crisis the vaccine is with the deadly side effects.
[01:10:30.040 --> 01:10:32.661]  But not everybody is going that direction.
[01:10:33.442 --> 01:10:34.883]  New York City, there it is.
[01:10:35.990 --> 01:10:37.451]  Run by the tyrannical Democrats.
[01:10:38.131 --> 01:10:53.282]  New York City fires another 850 teachers and teaching aides after they failed to get the COVID vaccine by September 5th deadline, bringing the total number to 1,950 terminated by Department of Education since vaccine mandate took effect.
[01:10:53.322 --> 01:10:54.503]  So there is no pandemic.
[01:10:54.643 --> 01:10:57.765]  The vaccine doesn't stop you from getting COVID or spreading COVID.
[01:10:58.025 --> 01:10:59.366]  It's actually negative on you.
[01:10:59.386 --> 01:11:01.027]  It's basically just straight up a poison.
[01:11:01.047 --> 01:11:02.728]  I mean, that's really what it is at this point.
[01:11:02.748 --> 01:11:05.010]  The vaccine is just a straight up poison.
[01:11:06.681 --> 01:11:08.562]  But they're still making you get it in New York City.
[01:11:09.543 --> 01:11:12.164]  Because... Democrats.
[01:11:13.665 --> 01:11:14.186]  Tyrants.
[01:11:14.586 --> 01:11:15.506]  Authoritarians.
[01:11:15.927 --> 01:11:16.627]  Fascists.
[01:11:16.807 --> 01:11:17.748]  Totalitarians.
[01:11:17.828 --> 01:11:18.468]  Conformists.
[01:11:19.169 --> 01:11:20.430]  What other words can we use here?
[01:11:22.331 --> 01:11:28.895]  So, the military says, okay, this vaccine has been a disaster, let's back off the mandates.
[01:11:30.458 --> 01:11:37.123]  But the tyrannical Democrats that run the New York City educational system, they say, let's double down on our con game with the vaccine.
[01:11:37.843 --> 01:11:43.247]  But see, there's another element to this that the left understands in their totalitarian nature.
[01:11:45.269 --> 01:11:55.476]  Keeping the vaccine mandate is more important to them because it weeds out freethinkers, it weeds out nonconformists, it weeds out, in their eyes, conservatives.
[01:11:57.250 --> 01:12:04.600]  And so the New York City Education System is not keeping the vaccine around because they think it works or protects from COVID or the safety of their teachers and students.
[01:12:05.541 --> 01:12:11.609]  The New York City Education Department is keeping the vaccine mandate as a filter.
[01:12:12.390 --> 01:12:21.933]  To keep non-conformists out of the classroom, conservatives, Christians, and all these people out of the classroom, they want totality in the education department.
[01:12:21.953 --> 01:12:24.794]  They only want radical leftists teaching children.
[01:12:24.854 --> 01:12:27.235]  They only want radical leftists indoctrinating children.
[01:12:27.675 --> 01:12:30.957]  That's why the New York City Education Department is keeping the vaccine around.
