[00:00:01.340 --> 00:00:03.661]  Put the U.S.
[00:59:58.069 --> 00:59:59.949]  Good evening and welcome to Tucker Carlson.
[00:59:59.989 --> 01:00:05.110]  Tonight, there was a lot going on right around the time of the last presidential inauguration.
[01:00:05.130 --> 01:00:16.052]  So you may have missed that on his very first day as president, Joe Biden ordered federal law enforcement and intelligence agencies to prepare a review of how the administration should fight terrorism.
[01:00:16.692 --> 01:00:18.573]  By last June, that report was complete.
[01:00:18.773 --> 01:00:24.717]   It concluded, That after more than 20 years, Islamic terror is no longer the greatest threat to this country.
[01:00:25.418 --> 01:00:33.425]  Instead, the agencies declared that domestic political extremism is, quote, the most urgent terrorism threat the United States faces today.
[01:00:34.636 --> 01:00:36.017]  That's a very stark assessment.
[01:00:36.057 --> 01:00:40.339]  So you have to ask, who exactly are these terrorists who threaten us so urgently?
[01:00:40.399 --> 01:00:41.519]  And they're not who you might expect.
[01:00:42.220 --> 01:00:47.342]  The report did not even mention the BLM riots, the deadly BLM riots that had just taken place.
[01:00:47.762 --> 01:00:49.143]  There wasn't a word about Antifa.
[01:00:49.163 --> 01:00:54.485]  There was nothing about the gunmen who murdered 800 Americans in the city of Chicago last year, many of them children.
[01:00:54.525 --> 01:00:55.326]  No, they weren't there.
[01:00:56.155 --> 01:01:04.039]  Instead, the Biden administration declared that the quote, most lethal elements of today's domestic terror threat are political conservatives.
[01:01:04.539 --> 01:01:06.080]  They're people who disagree with Joe Biden.
[01:01:07.341 --> 01:01:11.863]  Now that report was released almost exactly six months ago, six months ago this Friday.
[01:01:11.883 --> 01:01:14.604]  It received relatively little attention and hasn't since.
[01:01:15.305 --> 01:01:18.766]  And no major news organization even asked the most obvious question.
[01:01:19.327 --> 01:01:21.748]  These terrorists who threaten us, where are they?
[01:01:22.822 --> 01:01:29.166]  If Trump voters are really the most, quote, lethal threat that our country faces today, where are all the people they've killed?
[01:01:30.307 --> 01:01:31.848]  That's not an easy question to answer.
[01:01:31.928 --> 01:01:34.890]  Just look at the numbers, which are fairly tidily kept.
[01:01:35.730 --> 01:01:41.614]  Take a look at all the Americans who died by violence over the past 12 months, and there are many thousands and thousands of Americans.
[01:01:41.634 --> 01:01:43.255]  I'm going to ask a simple question.
[01:01:43.616 --> 01:01:46.898]  How many of them were killed by right-wingers for political reasons?
[01:01:47.799 --> 01:01:48.259]  Not many.
[01:01:49.159 --> 01:01:52.260]  Or since we're talking about threats here, pose the question another way.
[01:01:52.860 --> 01:02:00.642]  Are you more in danger walking through a neighborhood that votes 90% Democrat or a neighborhood that votes 90% Republican?
[01:02:01.803 --> 01:02:02.063]  Come on.
[01:02:03.143 --> 01:02:04.883]  This claim is ridiculous.
[01:02:05.624 --> 01:02:06.224]  On its face.
[01:02:06.524 --> 01:02:09.945]  There is no substantial right-wing terror threat in this country.
[01:02:10.005 --> 01:02:11.265]  Certainly not in relative terms.
[01:02:11.285 --> 01:02:12.105]  There just isn't.
[01:02:13.446 --> 01:02:14.406]  And no one's shown there is.
[01:02:15.336 --> 01:02:16.777]  The White House knows this, of course.
[01:02:16.817 --> 01:02:18.718]  They can read the numbers as well as anyone else can.
[01:02:19.259 --> 01:02:22.421]  So they're working hard to create the illusion of that threat.
[01:02:22.681 --> 01:02:24.723]  Much hangs on their ability to do that.
[01:02:25.644 --> 01:02:35.591]  You may remember the story this fall about a group called the National School Boards Association, which sent a letter to the feds asking the DOJ to take a look at parents who don't like their kids' curriculums.
[01:02:36.385 --> 01:02:39.987]  The Justice Department responded immediately to the letter, talking about customer service.
[01:02:40.687 --> 01:02:48.190]  Days later, the Attorney General announced the FBI would investigate moms who dared to complain at school board meetings as potential terrorists.
[01:02:49.366 --> 01:02:54.027]  Many people were shocked by this story, but we just learned it's worse even than we thought it was.
[01:02:54.587 --> 01:03:04.810]  A new Freedom of Information Act request has revealed that the National School Boards Association asked the feds to investigate parents because the feds asked them to ask the feds to investigate parents.
[01:03:05.590 --> 01:03:06.130]  See how that works?
[01:03:06.970 --> 01:03:12.892]  Apparently, the Secretary of Education, Miguel Cardona, told school board administrators to write their letter to the White House.
[01:03:13.292 --> 01:03:17.893]  The White House then used that letter as a pretext to begin a crackdown on parents.
[01:03:19.008 --> 01:03:19.549]  See how that works?
[01:03:19.889 --> 01:03:20.811]  The snake eating its tail.
[01:03:21.592 --> 01:03:26.600]  When you don't have enough domestic terrorists to justify a political purge, then you just go ahead and create them.
[01:03:26.821 --> 01:03:28.043]  And that's exactly what they've been doing.
[01:03:28.945 --> 01:03:34.850]  This week, the campaign against this new American Al Qaeda entered a new and very ominous phase.
[01:03:35.211 --> 01:03:37.153]  Again, little noticed by the national media.
[01:03:37.573 --> 01:03:42.738]  This Tuesday, two days ago, the DOJ announced the creation of a new domestic terrorism unit.
[01:03:42.998 --> 01:03:43.639]  What will it do?
[01:03:44.099 --> 01:03:47.482]  Well, it will target, quote, anti-authority ideologues.
[01:03:47.722 --> 01:03:49.184]  Anti-authority ideologues.
[01:03:49.584 --> 01:03:54.649]  Now, keep in mind, this country was founded by people who are anti-authority ideologues.
[01:03:55.009 --> 01:03:57.030]  We face an elevated threat from domestic violent extremists.
[01:03:56.850 --> 01:04:01.250]   the idea of opposing authority, so it doesn't get too big and take over your life,
[01:04:01.250 --> 01:04:03.550]  into our founding documents.
[01:04:03.550 --> 01:04:08.350]   These ideas are central to the American idea. In fact, they are the American idea.
[01:04:08.350 --> 01:04:10.949]  But in this administration, they are now crimes.
[01:04:10.949 --> 01:04:13.950]   Here's Matt Olson, the Assistant Attorney General, explaining.
[01:04:13.950 --> 01:04:18.950]  We face an elevated threat from domestic violent extremists.
[01:04:18.950 --> 01:04:25.049]   That is, individuals in the United States who seek to commit violent criminal acts
[01:04:25.049 --> 01:04:29.050]  in furtherance of domestic, social, or political goals.
[01:04:29.452 --> 01:04:34.675]  Domestic violent extremists are often motivated by a mix of ideologies and personal grievances.
[01:04:35.596 --> 01:04:45.782]  We've seen a growing threat from those who are motivated by racial animus, as well as those who ascribe to extremist anti-government and anti-authority ideologies.
[01:04:45.882 --> 01:04:52.882]   I've decided to establish a domestic terrorism unit to augment our existing approach.
[01:04:52.882 --> 01:04:58.202]   This group of dedicated attorneys will focus on the domestic terrorism threat.
[01:04:58.202 --> 01:04:59.320]  Who's the threat to the country?
[01:04:59.403 --> 01:05:14.095]  That guy is the threat to the country, and the people working for him and those propping him up, and the people spreading the core lie here, which is that American citizens who distrust the government or don't like its policies are terrorists.
[01:05:14.616 --> 01:05:21.522]  Just today on MSNBC, Jason Johnson, one of its contributors, described the entire Republican Party as a terrorist organization.
[01:05:22.222 --> 01:05:24.003]  So you can see where this is going.
[01:05:24.223 --> 01:05:31.849]  Again, and we're quoting now, this is the Assistant Attorney General, we have seen a growing threat from those who subscribe to anti-government and anti-authority ideologies.
[01:05:32.694 --> 01:05:32.934]  Really?
[01:05:32.994 --> 01:05:33.895]  Is that threat growing?
[01:05:34.575 --> 01:05:35.195]  Is it true?
[01:05:35.475 --> 01:05:36.096]  Let's see here.
[01:05:36.336 --> 01:05:39.117]  That threat is being used to justify the creation of this agency.
[01:05:39.517 --> 01:05:41.258]  But it's not rooted in reality.
[01:05:41.518 --> 01:05:46.861]  27 years ago, back in 1995, you'll remember, 168 people were murdered in the Oklahoma City bombing.
[01:05:47.321 --> 01:05:49.142]  Another 700 were injured.
[01:05:49.762 --> 01:05:54.344]  Now, the investigation into what happened that day involved nearly 30,000 interviews.
[01:05:54.845 --> 01:05:56.205]  Investigators gathered 7,000 pounds of evidence.
[01:05:56.225 --> 01:05:56.906]  We could go on.
[01:05:59.907 --> 01:06:01.470]  It was an enormous investigation.
[01:06:01.490 --> 01:06:03.915]  Attorney General Merrick Garland, by the way, was part of it at the time.
[01:06:04.637 --> 01:06:05.238]  Here's the point.
[01:06:05.759 --> 01:06:16.907]   Despite the size of that investigation, no one Suggested, even hinted, that we might need to create a new domestic terror division within the DOJ to handle the problem.
[01:06:17.228 --> 01:06:17.408]  No.
[01:06:17.908 --> 01:06:24.229]  The whole thing was handled by FBI field offices, as things like this had been for many decades.
[01:06:24.249 --> 01:06:25.849]  The FBI field offices did their jobs.
[01:06:26.390 --> 01:06:30.190]  The man accused of doing it got the death penalty, and you may have noticed it didn't happen again.
[01:06:31.431 --> 01:06:33.051]  And then Joe Biden became president.
[01:06:33.731 --> 01:06:37.732]  And the number of so-called domestic terror investigations more than doubled.
[01:06:38.834 --> 01:06:45.299]  So the question is, what exactly are they investigating if there's no substantial death toll from these terrorists in our midst?
[01:06:46.414 --> 01:06:48.015]  What exactly are the Feds looking into?
[01:06:48.695 --> 01:06:53.718]  Well, they're taking a close look at crimes like the plot to kidnap Michigan Governor Gretchen Whitmer.
[01:06:54.418 --> 01:06:56.899]  A plot that helped her political fortunes considerably.
[01:06:57.480 --> 01:06:58.360]  What did it consist of?
[01:06:58.740 --> 01:07:05.604]  Well, that conspiracy in the end turned out to have more FBI agents and informants involved than would-be kidnappers.
[01:07:06.064 --> 01:07:09.046]  The guy the Feds said were running it turned out to be homeless.
[01:07:09.486 --> 01:07:12.207]  He was living in the basement of a vacuum repair shop.
[01:07:12.487 --> 01:07:14.789]  His friends called him Captain Autism.
[01:07:15.728 --> 01:07:17.270]  And they called him that for a reason.
[01:07:17.990 --> 01:07:20.113]  He wasn't the ringleader of anything.
[01:07:20.593 --> 01:07:21.334]  He couldn't have been.
[01:07:21.594 --> 01:07:22.916]  The whole thing was ridiculous.
[01:07:23.985 --> 01:07:30.270]  But it stoked the storyline that was politically expedient, and so the media uncritically promoted it again and again, as if it were real.
[01:07:30.710 --> 01:07:36.475]  The media's job, by the way, to remind you is to push back against government statements to find out if they're actually true.
[01:07:36.775 --> 01:07:39.397]  Another famous Chicagoan wants to take him on.
[01:07:39.597 --> 01:07:44.321]  Longtime radio host Eric Mancow Muller, Peaceful Warrior, is with us now.
[01:07:44.601 --> 01:07:45.482]  You're serious about this?
[01:07:45.742 --> 01:07:47.263]  First of all, I gotta talk about the hair.
[01:07:47.663 --> 01:07:48.064]  Your hair.
[01:07:49.625 --> 01:07:50.225]  It's so big!
[01:07:51.326 --> 01:07:53.127]  It doesn't work on a campaign commercial.
[01:07:53.167 --> 01:07:54.087]  Okay, you're serious about this?
[01:07:54.468 --> 01:07:55.128]  I am serious.
[01:07:55.308 --> 01:07:57.529]  I have decided I want to be the captain of the Titanic.
[01:07:58.250 --> 01:07:58.870]  Sign me up.
[01:08:00.311 --> 01:08:00.531]  Yeah.
[01:08:01.211 --> 01:08:02.492]  So you're running as a Republican.
[01:08:02.612 --> 01:08:03.973]  We've got to get basics here.
[01:08:04.053 --> 01:08:06.074]  Well, I'm running as an Independent.
[01:08:06.234 --> 01:08:07.255]  You're running as an Independent.
[01:08:07.395 --> 01:08:08.535]  I went to the Republican Party.
[01:08:08.575 --> 01:08:09.916]  That's a whole other story.
[01:08:09.976 --> 01:08:10.857]  I mean, that's a whole other show.
[01:08:10.897 --> 01:08:12.237]  So you're running as an Independent.
[01:08:12.257 --> 01:08:13.918]  Does that mean there's a primary that you've got to go through?
[01:08:14.439 --> 01:08:14.759]  I don't know.
[01:08:15.279 --> 01:08:15.539]  Okay.
[01:08:15.619 --> 01:08:18.641]  But, you know, Republican... It might be something you should figure out.
[01:08:19.061 --> 01:08:22.663]  No, but this, look, this guy Griffin is running is a Democrat.
[01:08:22.703 --> 01:08:24.504]  He's going to be the frontrunner, probably.
[01:08:24.524 --> 01:08:29.547]  Ken Griffin, the billionaire, he's going to fund a Republican to take on Pritzker.
[01:08:29.567 --> 01:08:30.648]  Well, the guy's not a Republican.
[01:08:31.008 --> 01:08:31.168]  Right.
[01:08:31.308 --> 01:08:33.809]  But hold on, so you're running as an independent... The point is, you buy your way in, brother.
