[00:00:00.280 --> 00:00:09.607]  Ladies and gentlemen, you saw, you heard the broadcast title today of the Alex Jones Show.
[01:06:50.583 --> 01:07:00.512]  Well... That's actually a quote from the French National Anthem, but I think they understand it.
[01:07:00.772 --> 01:07:06.477]  Speaking of the National Anthem, we're going to come back and play your new song that people can find at TedNugent.com.
[01:07:06.537 --> 01:07:08.899]  Ted, say hi to Shemain and God bless you and happy hunting.
[01:07:09.559 --> 01:07:09.980]  You betcha.
[01:07:10.000 --> 01:07:11.561]  The song is Come and Take It.
[01:07:11.421 --> 01:07:12.421]  It's a love song.
[01:07:12.421 --> 01:07:15.421]  Come and take it!
[01:07:15.421 --> 01:07:19.421]  Come and take it!
[01:07:19.421 --> 01:07:24.421]  Come and take it!
[01:07:24.421 --> 01:07:28.421]  Come and take it!
[01:07:28.421 --> 01:07:33.421]  Come and take it!
[01:07:33.421 --> 01:07:36.421]  Man, I haven't heard this song yet.
[01:07:36.042 --> 01:07:37.723]  Ted Nugent was like, hey, play my song.
[01:07:39.008 --> 01:07:40.149]  My new song we just sent to you.
[01:07:40.189 --> 01:07:40.729]  Come and take it.
[01:07:40.749 --> 01:07:41.490]  I hadn't heard it yet.
[01:07:41.930 --> 01:07:42.971]  So I can't wait to hear the whole thing.
[01:07:42.991 --> 01:07:46.113]  That sounds like a big NFL anthem song.
[01:07:46.693 --> 01:07:51.056]  You know, it sounds like, we will, we will rock you.
[01:07:51.877 --> 01:07:57.901]  But instead of, you know, just talking about using drugs or whatever, it's talking about, you're not going to get our guns.
[01:07:57.921 --> 01:07:58.541]  That's powerful.
[01:07:58.581 --> 01:08:16.291]   Speaking of Speaking of come and take it, we need to come and take the Ivermectin, the Budesedine, the things that have now been proven in major studies to absolutely target and reduce the severity of this very serious bioweapon hooked up by Fauci and Bill Gates and others.
[01:08:17.011 --> 01:08:23.656]  And so now he's getting completely vindicated, not just by Oxford six months after he discovered this and promoted it.
[01:08:25.117 --> 01:08:33.107]  Not just by other major studies, scientific studies of the highest caliber, the stoic study as he was saying, that style, but...
[01:08:34.440 --> 01:08:38.623]  Also by millions and millions of people that have seen the miraculous things that happen.
[01:08:38.943 --> 01:08:49.411]  And now you've got Pfizer coming out with their new miracle pill antiviral that's based with a lot of the same compounds and chemicals that are in ivermectin.
[01:08:49.431 --> 01:08:50.292]  So here's the headline.
[01:08:50.712 --> 01:08:52.973]  See the full report at foxnews.com.
[01:08:53.274 --> 01:08:55.996]  Senator Paul and Dr. Bartlett and Dr. Watkins.
[01:08:56.676 --> 01:09:00.961]  FDA should grant Budesedine emergency use authorization to treat COVID.
[01:09:01.442 --> 01:09:07.909]  So I wonder how Howard Stern feels making fun of you, saying you're making money off Budesedine when you don't sell it.
[01:09:07.949 --> 01:09:12.214]  You point people at online pharmacies to get the inhalable steroid.
[01:09:12.974 --> 01:09:21.296]  And I wonder how he feels in his wig and his outfit now that Senator Dr. Paul and others are trying to get emergency authorization of this.
[01:09:21.336 --> 01:09:28.377]  Of course, we know Stern's just following talking points given to him by Big Pharma because if we're not sick and dying, well, we won't be in their clutches.
[01:09:28.397 --> 01:09:31.258]  So Dr. Bartlett, thanks for joining us in the middle of your busy schedule.
[01:09:32.558 --> 01:09:33.459]  Alex, thank you.
[01:09:33.499 --> 01:09:35.519]  Your listeners are getting facts.
[01:09:35.679 --> 01:09:36.679]  They're getting science.
[01:09:37.279 --> 01:09:38.480]  Hashtag science.
[01:09:38.980 --> 01:09:39.880]  Science matters.
[01:09:40.583 --> 01:09:46.206]  And what you're giving people is useful information instead of propaganda talking points.
[01:09:46.326 --> 01:09:52.850]  So I want to thank you for your diligence, for your tenacity, for not giving up.
[01:09:52.930 --> 01:09:58.053]  When people have tried to destroy you over and over again, you can't keep a good man down.
[01:09:58.553 --> 01:09:59.874]  Alex Jones is a good man.
[01:10:01.127 --> 01:10:02.088]  I appreciate that, doctor.
[01:10:02.108 --> 01:10:02.988]  We're all under attack.
[01:10:03.008 --> 01:10:06.691]  They're attacking doctors across the nation that prescribe ivermectin and mutecinine.
[01:10:06.711 --> 01:10:08.112]  They're attacking pharmacies that do it.
[01:10:09.073 --> 01:10:10.574]  These are serious war crimes, aren't they?
[01:10:11.635 --> 01:10:21.922]  Yeah, you know, if you withhold life-saving medicine and you're a doctor, I can't think of a more egregious abuse of power.
[01:10:22.423 --> 01:10:30.405]  When you're the one who actually, there are doctors who have used some of these medicines and seen people come off the ventilator.
[01:10:30.465 --> 01:10:49.570]  They wrote the order in the ICU just as a flippant thing to get a husband off their back and the patient recovers, is off the ventilator in one week, home with the family in two weeks, and that same doctor is withholding that from other people later?
[01:10:49.590 --> 01:10:51.430]  How do you explain that?
[01:10:51.943 --> 01:10:59.045]  But I'll tell you, Rand Paul is a hero, and I appreciate his brilliant explanation of things.
[01:10:59.065 --> 01:11:03.527]  He just cuts to the chase, as do you.
[01:11:04.267 --> 01:11:10.349]  And the issue is, is there already early effective outpatient treatment strategies?
[01:11:10.389 --> 01:11:11.009]  Yes, there is.
[01:11:11.729 --> 01:11:20.912]  And is there actually something you can do to treat ARDS, acute respiratory distress syndrome, caused by COVID, and rescue people?
[01:11:20.952 --> 01:11:21.572]  Yes, there is.
[01:11:22.199 --> 01:11:27.322]  And so what we're talking about is overwhelming evidence.
[01:11:27.402 --> 01:11:28.822]  The science is already settled.
[01:11:29.203 --> 01:11:31.384]  There is nothing to figure out.
[01:11:31.524 --> 01:11:41.709]  We know that monoclonal antibodies, a 30-minute infusion, sitting in the chair, bored, getting an IV infusion, will improve your chances.
[01:11:41.729 --> 01:11:47.151]  70% decrease of hospitalizations and death with a 30-minute infusion.
[01:11:47.491 --> 01:11:48.312]  That's a no-brainer.
[01:11:49.313 --> 01:11:53.055]  And again, and again, we've got Biden and his handlers trying to block that.
[01:11:53.895 --> 01:12:00.679]  That's called, Rand Paul is right on, this is socialism, this is communism, this is rationing of healthcare.
[01:12:01.379 --> 01:12:06.102]  And we've all, you and I grew up hearing about the breadlines in Russia.
[01:12:06.622 --> 01:12:10.724]  I think our children have not been aware of that as much as we have.
[01:12:10.804 --> 01:12:12.545]  It hasn't been taught in the schools.
[01:12:13.266 --> 01:12:18.327]  We were aware that they had bread lines while we were eating dinner with our families.
[01:12:18.707 --> 01:12:23.829]  People in Russia had to wait hours, even days, to get milk or bread for their families.
[01:12:24.229 --> 01:12:26.590]  That's rationing of food.
[01:12:27.030 --> 01:12:29.650]  And you can control the peasants if you control the food.
[01:12:30.111 --> 01:12:35.272]  But, you know, there's lots of principles about socialism, and one of them is rationing.
[01:12:35.916 --> 01:13:02.272]   And so when there's no lack, no shortage of monoclonal antibodies for COVID, but you have the threat, has been spoken at least, of rationing healthcare, including rationing of monoclonal antibodies to several states that happen to be states that are contrary to the dictatorship, like Texas and Florida, you have Governor DeSantis, who is a real hero, I'm standing up and saying, you know what?
[01:13:02.312 --> 01:13:04.234]  I'm going to do what I am supposed to do.
[01:13:04.274 --> 01:13:07.676]  I'm going to take care of the people of Florida because they're under my responsibility.
[01:13:08.197 --> 01:13:22.068]  And if I have blockage of life-saving medicine to Floridians, no matter what color, no matter what their political background, no matter what, if they're a human and they're under my influence, I will make sure they get what they need.
[01:13:23.249 --> 01:13:26.051]  Congratulations, Governor DeSantis, for leading the way.
[01:13:26.721 --> 01:13:30.283]  And Governor Abbott has followed the example of DeSantis.
[01:13:30.303 --> 01:13:53.298]   That's right, and I should add for Howard Stern attacking you, that you also were the top medical advisor to Rick Perry for seven years, you're now one of the main advisors to the current governor, Governor Abbott, and again have won the Texas leadership, a medical assistant, monoclonal antibody infusion center advisor for the state of Texas, COVID Texas emergency management, and you have been working countless hours tirelessly Enemies of the people.
[01:13:53.137 --> 01:13:58.137]   to online pharmacies to get these life-saving, inexpensive drugs that you have no financial interest in,
[01:13:58.137 --> 01:13:59.637]  and for that you get attacked.
[01:13:59.637 --> 01:14:05.137]   It's not about lionizing you doing your job, you are then attacked by these people who are monsters,
[01:14:05.137 --> 01:14:09.637]   who are enemies of truth and life, and they need to be identified.
[01:14:09.637 --> 01:14:11.137]  Enemies of the people.
[01:14:11.137 --> 01:14:15.637]   When you're withholding life-saving medicine, there's 33 million Texans, roughly,
[01:14:15.637 --> 01:14:21.137]   and if you're gonna just arbitrarily say, "I'm gonna cut distribution of life-saving medicine
[01:14:21.137 --> 01:14:28.637]   that will prevent 70% of death, arbitrarily cut the distribution of that by 50%,"
[01:14:28.637 --> 01:14:30.137]  that's the monster.
[01:14:30.080 --> 01:14:31.260]  They would even whisper that.
[01:14:32.681 --> 01:14:45.047]  And as far as suppressing the truth that inhaled Budesonide, according to Oxford University, would prevent 90% of hospitalizations, I thought the hospitals were overwhelmed at one point.
[01:14:45.729 --> 01:14:48.729]   This should be something that hospitals should be excited about.
[01:14:48.729 --> 01:14:52.689]   All I know, Dr. Bartlett, is that I felt like I couldn't breathe and I realized how the
[01:14:52.689 --> 01:14:55.689]   average person would get scared and go to the hospital because it was scary in the middle
[01:14:55.689 --> 01:14:58.408]  of the night waking up not being able to get a breath down.
[01:14:58.408 --> 01:15:02.849]   And again, I was tough, so a few days I ignored it while my parents had already gotten the
[01:15:02.849 --> 01:15:04.448]  treatment from you.
[01:15:04.448 --> 01:15:08.369]   And then I got it and within an hour of the first budesonine treatment, I was getting
[01:15:08.369 --> 01:15:11.369]   deep breaths and by the next day I was about 80% better with that.
[01:15:11.369 --> 01:15:13.329]  And I've remected it and we all experience this.
[01:15:13.350 --> 01:15:14.571]  Ted Nugent experiences this.
[01:15:14.951 --> 01:15:16.032]  Millions have experienced it.
[01:15:16.072 --> 01:15:21.195]  Now we have the science proving our anecdotal evidence, and then again, they try to suppress it.
[01:15:21.295 --> 01:15:30.801]  It's just total proof that they really just want to depopulate people, or is it just about making money, and they don't want you to know that there's other things other than the vaccine?
[01:15:33.015 --> 01:15:35.517]  Minions can be controlled with the money.
[01:15:35.617 --> 01:15:36.598]  That I'm convinced of.
[01:15:37.278 --> 01:15:40.340]  But there are people who are motivated by money.
[01:15:42.022 --> 01:15:44.063]  But I think it is bigger than that.
[01:15:44.664 --> 01:15:56.192]  And there's only a few explanations that'll fit when you're on purpose talking about rationing of life-saving medicine during a pandemic.
