[00:00:00.069 --> 00:00:03.832]  You're watching the American Journal with Harrison Smith.
[01:12:04.336 --> 01:12:08.580]  I mean, it's so bad, and it's so confirmed, and there's no way we're wrong.
[01:12:08.620 --> 01:12:09.661]  They admit they're doing it.
[01:12:09.681 --> 01:12:10.161]  My God!
[01:12:11.007 --> 01:12:16.471]  I mean, Prince Charles, Prince Philip, Ted Turner, Bill Gates, David Rockefeller all said they want to kill us through vaccines.
[01:12:17.431 --> 01:12:24.936]  You know, and they've been studying, hell, we said back in the 2000s that it looked like Mad Cow was how they wanted to do it because they were really obsessed with it.
[01:12:25.276 --> 01:12:31.460]  And we know that there are a lot of prions that are causing a lot of the Alzheimer's and that they're artificially introducing them.
[01:12:32.041 --> 01:12:35.283]  And then now they're in the news saying, we're going to put nanotech into your body.
[01:12:35.303 --> 01:12:37.024]  We're going to make the military take it.
[01:12:38.530 --> 01:12:45.252]  And you read the top of nanotech, it is, it's all protein growers, which is crystals.
[01:12:48.073 --> 01:12:48.973]  It's not just you.
[01:12:49.053 --> 01:12:56.335]  COVID brain fog can linger for months until you just get used to it.
[01:12:58.555 --> 01:13:02.076]  And they hit you with a burst of electromagnetic system and they can grow it.
[01:13:03.977 --> 01:13:05.017]  And that's in major studies.
[01:13:07.538 --> 01:13:07.758]  So
[01:13:10.097 --> 01:13:12.779]  At this point, I mean, just, we got to pray to God.
[01:13:12.919 --> 01:13:16.040]  We just got to get close to God and we've got to understand how serious all this is.
[01:13:16.561 --> 01:13:17.601]  Here's another video.
[01:13:17.641 --> 01:13:18.922]  There's hundreds of these people are finding.
[01:13:19.742 --> 01:13:23.664]  We haven't given it a title yet, but we'll post it to Bandop Video later.
[01:13:24.285 --> 01:13:25.846]  This is from 10 years ago.
[01:13:26.686 --> 01:13:28.167]  There's 12 minutes of this clip.
[01:13:28.187 --> 01:13:29.448]  I'm only going to play about a minute and a half of it.
[01:13:29.468 --> 01:13:29.788]  Here it is.
[01:13:33.049 --> 01:13:39.373]  What did I and Dr. Group and others, and Dr. Blalock, who's a brain surgeon, what have we talked about in the past here on the air?
[01:13:41.223 --> 01:13:50.665]  That the globalists have said in their white papers, in their own UN documents, that they want to create race-specific bioweapons and other systems to depopulate the planet.
[01:13:51.065 --> 01:14:00.567]  They teach that everywhere, that the world without humans would be great, we need to depopulate, China's been the center of one-child policy, all of this, and that it would be good to cull the planet.
[01:14:00.707 --> 01:14:08.949]  A lot of this, from my sources, is that they're preparing to release bioweapons, claim that they're naturally occurring,
[01:14:10.526 --> 01:14:17.190]  And then use that as the cover for civil emergency, societal control, crackdowns on free speech.
[01:14:17.610 --> 01:14:20.111]  Obama put the internet kill switch in five years ago.
[01:14:20.131 --> 01:14:25.834]  And when he got confronted by Congress, he said, well, it's in case the bird flu or SARS gets out.
[01:14:26.154 --> 01:14:26.795]  Just type that in.
[01:14:27.595 --> 01:14:35.877]  CDC says internet kill switch is in case bird flu or SARS breaks out, and they have to control panic and direct every website in the U.S.
[01:14:36.197 --> 01:14:37.658]  to one government announcement.
[01:14:37.898 --> 01:14:46.080]  And we looked at every angle and believe a bioweapon release could be the thing they'd release to bring in a world government to counter a global problem.
[01:14:46.300 --> 01:14:46.800]  And the U.N.
[01:14:46.820 --> 01:14:51.542]  has said that a global pandemic is the only thing that may save their world government.
[01:14:51.702 --> 01:14:54.122]  It may not be this year, but this is the globalist plan.
[01:14:54.682 --> 01:14:55.483]  I'm Alex Jones.
[01:14:55.723 --> 01:14:56.483]  You have been warned.
[01:15:00.214 --> 01:15:00.914]  We're gonna go to break.
[01:15:01.735 --> 01:15:04.055]  I got a lot more of this for you.
[01:15:05.316 --> 01:15:08.597]  Straight ahead and we're just gonna onward through the fog.
[01:15:08.637 --> 01:15:09.077]  Stay with us.
[01:15:09.437 --> 01:15:10.858]  Live from Austin, Texas.
[01:15:11.178 --> 01:15:12.598]  Broadcasting worldwide.
[01:15:13.119 --> 01:15:14.239]  I'm your host Alex Jones.
[01:15:14.259 --> 01:15:14.919]  Thanks for joining us.
[01:15:19.209 --> 01:15:26.510]  President Trump went on a syndicated radio show, Wayne Allen Root, today and asked the question, what happens when people find out all these states are going to flip?
[01:15:26.550 --> 01:15:30.991]  Does that mean you go 3.5 years with someone destroying our country?
[01:15:32.371 --> 01:15:33.211]  Who stole the election?
[01:15:35.152 --> 01:15:39.113]  Well, what happens is, Mr. President, is they indict you with George Soros' operative in New York.
[01:15:44.073 --> 01:15:45.474]  And that's the rest of the story.
[01:15:45.514 --> 01:15:47.354]  I mean, this is a criminal takeover.
[01:15:49.974 --> 01:16:01.844]  But all of that is smokescreen for the soft kill weapons that are being put in the vaccines from the scientific dictatorship.
[01:16:04.726 --> 01:16:17.857]  And of course, you know, last week I aired that piece, see if you guys can dig it up on short notice, from Jesse Ventura's show, American Conspiracy, where I introduced Dr. Remo Labo
[01:16:21.172 --> 01:16:23.473]  I was looking for a video earlier this morning with you guys.
[01:16:23.513 --> 01:16:25.794]  You guys pulled up this video.
[01:16:25.834 --> 01:16:30.815]  It was another video I wanted, but it's the one where I'm in the kitchen in Florida last week that I introduced the piece.
[01:16:32.096 --> 01:16:32.556]  That's the one.
[01:16:32.596 --> 01:16:33.216]  I forget the name.
[01:16:34.896 --> 01:16:37.197]  Yeah, it's this clip.
[01:16:38.538 --> 01:16:42.159]  And you have to ask yourself, you know, how could I say
[01:16:43.652 --> 01:17:00.325]  Twelve years ago, in 2009, exactly what would happen, how it'd be the UN, world government, how they'd use it for censorship, total control, and then how the vaccine would have lipids in it, she listed as squalene, to brain damage people and to turn them into zombies.
[01:17:01.006 --> 01:17:01.886]  Why do you keep hearing that?
[01:17:01.906 --> 01:17:02.627]  Why do you keep seeing it?
[01:17:02.727 --> 01:17:05.709]  It's in all the literature that that's what it's doing.
[01:17:06.170 --> 01:17:08.892]  So, it's like a Twilight Zone episode.
[01:17:10.094 --> 01:17:19.938]  We're here today experiencing what we warned you about 25 years ago, 12 years ago, five years ago, a year ago, six months ago.
[01:17:19.958 --> 01:17:20.918]  I mean, we're here.
[01:17:22.899 --> 01:17:24.040]  And here's the biggest takeaway.
[01:17:25.440 --> 01:17:26.561]  All of these idiots.
[01:17:28.761 --> 01:17:29.422]  Yeah, there it is.
[01:17:29.522 --> 01:17:35.084]  Drug delivery nanoparticles given nanotransmitter passports to cross blood-brain barrier.
[01:17:36.613 --> 01:17:37.533]  Wow, I didn't even know that.
[01:17:37.573 --> 01:17:42.235]  I mean, I got a stack of articles about them going, we're gonna start doing experimental stuff for the public all the time!
[01:17:42.675 --> 01:17:47.537]  And the military, we'll just do all this unapproved whatever we want, we're gonna give the troops nanotech!
[01:17:48.198 --> 01:17:50.318]  It's little crystals that grow and help you!
[01:17:50.879 --> 01:17:54.060]  And then we can put data inside the crystals and computers read it!
[01:17:54.420 --> 01:17:55.160]  We scan it!
[01:17:55.300 --> 01:17:56.821]  Yeah, put that article back up!
[01:17:58.222 --> 01:18:03.864]  See, because what's crazy is it's like mainstream news like, everyone's gonna love animal-human hybrids, we've already made them!
[01:18:05.131 --> 01:18:07.113]  Congress, two days ago, couldn't pass a law.
[01:18:07.193 --> 01:18:07.613]  It failed.
[01:18:07.973 --> 01:18:08.334]  Against it.
[01:18:08.834 --> 01:18:09.475]  It's already happening.
[01:18:11.937 --> 01:18:13.938]  See how suddenly you wake up and you're in the future?
[01:18:14.018 --> 01:18:14.799]  It was already here.
[01:18:14.819 --> 01:18:16.420]  It was a breakaway civilization.
[01:18:16.881 --> 01:18:18.202]  They're at least 50 years ahead.
[01:18:23.991 --> 01:18:27.113]  Genetic engineering and biotechnology news.
[01:18:27.594 --> 01:18:34.519]  Drug delivery nanoparticles given neuron transmitter passports to cross blood-brain barrier.
[01:18:35.299 --> 01:18:42.945]  Oh, it mimics your neurons so your body doesn't reject it when it takes over.
[01:18:43.545 --> 01:18:47.488]  Oh, they're gonna send little things into our brain.
[01:18:48.489 --> 01:18:49.930]  Oh, they love us.
[01:18:52.096 --> 01:19:10.242]  And when you can't talk and get Alzheimer's and, you know, when you get dementia and start, you know, drawing the walls like you're three years old with the brown Crayola that you got out of the toilet, it's a gift.
[01:19:11.722 --> 01:19:14.103]  Like, what did Joe Biden say?
[01:19:14.123 --> 01:19:20.865]  He said, oh, mark my words, in 15 years, every hospital bed will be filled with Alzheimer's because it's true.
[01:19:22.694 --> 01:19:23.894]  And the left's gonna love it.
[01:19:23.915 --> 01:19:28.836]  They're gonna love their five-year-old that takes the COVID shot by the time they're 10 is gonna have Parkinson's.
[01:19:28.856 --> 01:19:30.717]  It won't be like, oh, we get attention now.
[01:19:30.757 --> 01:19:32.038]  Our child's dying.
[01:19:32.378 --> 01:19:33.918]  More shots, more, more, more.
[01:19:33.938 --> 01:19:34.819]  The child's convulsing.
[01:19:34.859 --> 01:19:35.999]  They're like, liberal, liberal, liberal.
[01:19:36.279 --> 01:19:38.940]  Because the left wants to cut their genitals off anyways.
[01:19:41.321 --> 01:19:45.223]  And again, it's, they're bringing us to their dimension.
[01:19:45.363 --> 01:19:47.524]  And a great allegory is Event Horizon.
[01:19:49.193 --> 01:19:50.213]  1990s sci-fi horror movie.
[01:19:50.334 --> 01:19:50.654]  I like it.
[01:19:50.694 --> 01:19:51.234]  It's well done.
[01:19:52.035 --> 01:19:56.159]  And this time machine, you know, this warp drive takes you to another dimension to full space.
[01:19:56.639 --> 01:19:58.060]  But you go through hell on the way.
[01:19:58.881 --> 01:20:00.162]  Or a dimension of just pure evil.
[01:20:00.983 --> 01:20:07.869]  And the people, when they actually watch the footage of the crew killing themselves, are just ripping their eyeballs out, cutting their tongues out, and just loving it.
[01:20:09.230 --> 01:20:10.751]  Like, you know, scratching their eyes out and everything.
[01:20:11.172 --> 01:20:15.576]  Well, that's actually what the Aztecs would do when they were streaming with whatever this stuff was.
[01:20:18.021 --> 01:20:19.744]  And so, I mean, that's it!
[01:20:20.645 --> 01:20:21.707]  You want to know what life's like?
[01:20:22.148 --> 01:20:22.969]  Event Horizon.
[01:20:23.650 --> 01:20:23.991]  Period.
[01:20:24.532 --> 01:20:25.173]  That's your future.
[01:20:26.004 --> 01:20:26.585]  That's where we are.
[01:20:27.245 --> 01:20:28.166]  Hell is opening.
[01:20:28.206 --> 01:20:28.907]  Hell is coming.
[01:20:28.947 --> 01:20:29.467]  Hell is here.
[01:20:30.028 --> 01:20:51.187]  And that's why everything you see is going to be totally hellish, just dying people, convulsing cancer everywhere, total death, armored cars pulling up, leftists jumping out with machine guns, marching in, injecting you, and then a month later, because it's going to get worse and worse, they're going to give you more and more deadly shots, you'll be dying, but your neighbors won't say anything, because if you say they're hurting you, if you say the shots are bad, you'll be shot on sight.
[01:20:53.476 --> 01:20:55.017]  And of course the leftists aren't going to come in your house.
[01:20:55.037 --> 01:20:57.699]  They're going to pull up in a van to loot and rob and rape your kids.
[01:20:58.360 --> 01:20:59.981]  They're going to send robots in to kill you.
[01:21:03.143 --> 01:21:11.770]  So if you want to know, pull up the photos off of Instagram of the left taking selfies of themselves getting the shots.
[01:21:12.010 --> 01:21:14.492]  And they all have this crazy demonic look.
[01:21:14.872 --> 01:21:16.854]  We didn't pick these to show you the crazy ones.
[01:21:17.354 --> 01:21:20.917]  In almost every photo their eyes are like, I took the shot!
