[00:00:00.309 --> 00:00:00.991]  Wednesday live.
[01:06:50.098 --> 01:06:51.958]  And Brain Force Plus is back in stock, 50% off.
[01:06:51.778 --> 01:06:56.178]   five three three one three nine and brain force plus is back in stock 50%
[01:06:56.178 --> 01:07:03.778]   off oh and ultra 12 incredible high quality ultra 12 b12 out of the time
[01:07:02.120 --> 01:07:06.524]  It's 60% off at Infowarsstore.com and you keep us in the fight.
[01:07:06.864 --> 01:07:08.986]  Toothpaste, back in stock, 50% off.
[01:07:09.727 --> 01:07:11.528]  We'll be right back, stay with us.
[01:07:11.548 --> 01:07:11.869]  Okay.
[01:07:13.810 --> 01:07:15.332]  Rittenhouse is on the stand.
[01:07:15.492 --> 01:07:18.915]  It's riveting television on OAN and other great places.
[01:07:19.155 --> 01:07:20.356]  You can find it there if you want.
[01:07:20.556 --> 01:07:21.958]  We're monitoring it and getting clips.
[01:07:21.978 --> 01:07:23.179]  We're going to go to some of those right now.
[01:07:24.258 --> 01:07:29.303]  But his testimony and the fact they were confident enough to put him on the stand for me is not the big issue.
[01:07:29.763 --> 01:07:33.406]  He's a very well-spoken, polite young man, very accurate.
[01:07:34.187 --> 01:07:36.009]  And they're trying to demonize him and attack him right now.
[01:07:36.069 --> 01:07:36.709]  It's not working.
[01:07:36.749 --> 01:07:43.836]  The judges really chewed into the fraudulent criminal prosecution at least five times I've got here in front of me.
[01:07:43.856 --> 01:07:44.837]  We're going to get to a few of those.
[01:07:44.897 --> 01:07:48.380]  But remember, these are Soros prosecutors.
[01:07:48.400 --> 01:07:49.501]  Those are known leftists.
[01:07:50.091 --> 01:07:51.472]  That went out and did this.
[01:07:51.972 --> 01:07:54.313]  And I've got a bunch of articles and a bunch of examples of these.
[01:07:54.353 --> 01:07:55.693]  We're just going to go to a couple right now.
[01:07:56.213 --> 01:07:57.034]  Here's one of the headlines.
[01:07:57.054 --> 01:08:04.277]  Written House trial witness says prosecutors asked him to change his statement to police.
[01:08:05.657 --> 01:08:08.698]  Got another one here where another one of the witnesses said he was asked to lie.
[01:08:08.719 --> 01:08:09.719]  He says this on the stand.
[01:08:11.179 --> 01:08:12.420]  And then I've got another one here.
[01:08:15.001 --> 01:08:19.683]  Jacob Marshall lies on behalf of the prosecution and talks about why he did it.
[01:08:21.488 --> 01:08:23.749]  I mean, this is just mind-blowing.
[01:08:24.750 --> 01:08:32.654]  So let's go to the clip here of Nathan DeBrahman, or whatever his name is.
[01:08:32.674 --> 01:08:33.094]  Here it is.
[01:08:34.775 --> 01:08:41.338]  I don't know the date off the top of my head, but I was called down to the district attorney's office.
[01:08:42.278 --> 01:08:47.481]  I met with Mr. Binger and... I don't remember his name.
[01:08:48.041 --> 01:08:48.901]  The individual who's...
[01:08:52.685 --> 01:09:08.092]  I was called into a room, sat at a table, handed my police statement, got to read over my police statement, and then I was asked if I would like to add anything to the police statement, and I said I would not.
[01:09:09.293 --> 01:09:23.024]   Mr. Binger pulled out a cell phone and showed me a video and also a photo Which was actually one photo that I brought today and asked me to, if I knew who a gentleman was in that photo.
[01:09:23.325 --> 01:09:24.305]  And I said, I did not.
[01:09:25.026 --> 01:09:30.250]  And he asked me to, he said, this is Joshua Zeminsky.
[01:09:32.531 --> 01:09:38.496]  He, Mr. Binger also has a case with him and I am subpoenaed for that case also.
[01:09:38.516 --> 01:09:42.358]   And He says, well, that's who that is.
[01:09:42.418 --> 01:09:45.480]  He put the phone down, he picked the phone back up and says, who is this?
[01:09:46.580 --> 01:09:50.721]  And I confusingly said, like, Joshua Zivinsky.
[01:09:50.741 --> 01:09:52.782]  And he's like, would you like to add that to your statement?
[01:09:53.242 --> 01:09:58.824]  And I just felt I didn't want to change my statement.
[01:09:58.844 --> 01:09:59.384]  Okay.
[01:09:59.804 --> 01:10:01.245]  And as a result, what did you do?
[01:10:02.245 --> 01:10:03.266]  I hired an attorney.
[01:10:03.526 --> 01:10:04.386]  And that's Mr. Rose?
[01:10:04.606 --> 01:10:04.826]  Yes.
[01:10:06.287 --> 01:10:06.967]  And nothing further?
[01:10:09.246 --> 01:10:16.010]  Mr. DeBruin, you said there was a lot of tension in the room when you met with me and Mr. Binger and Ms.
[01:10:16.050 --> 01:10:16.410]  Beezy?
[01:10:17.031 --> 01:10:17.291]  Yes.
[01:10:17.991 --> 01:10:19.792]  Is it fair to say that you were very nervous?
[01:10:19.812 --> 01:10:21.874]  Yeah, absolutely.
[01:10:23.114 --> 01:10:25.796]  And we did have you read over your statement, right?
[01:10:25.956 --> 01:10:26.276]  Correct.
[01:10:26.837 --> 01:10:29.138]  And we asked if you knew anything beyond that statement.
[01:10:29.778 --> 01:10:30.099]  Correct.
[01:10:30.439 --> 01:10:31.780]  We didn't ask you to change it.
[01:10:32.740 --> 01:10:33.260]  Yes, you did.
[01:10:33.280 --> 01:10:34.841]  Tell me if this is fair.
[01:10:36.969 --> 01:10:39.251]  It says, I just talked to Gage Grossgrey.
[01:10:39.291 --> 01:10:39.852]  Oh, here we go.
[01:10:40.092 --> 01:10:47.719]  Two, his only regret was not killing the kid and hesitating to pull the gun before emptying the entire mag.
[01:10:48.980 --> 01:10:49.380]  No.
[01:10:50.201 --> 01:10:51.142]  He didn't say that to you?
[01:10:51.402 --> 01:10:52.483]  He never said that to me.
[01:10:53.424 --> 01:10:56.367]  You just posted something about your friend?
[01:10:57.014 --> 01:10:57.914]  Your roommate?
[01:10:58.455 --> 01:10:59.375]  That was a lie?
[01:10:59.395 --> 01:11:00.156]  I did.
[01:11:00.596 --> 01:11:05.838]  Given the circumstances and all the threats I've received on the internet, I've never been put in a position like that.
[01:11:06.899 --> 01:11:08.760]  Addresses of ours are posted.
[01:11:09.500 --> 01:11:12.141]  You know, my mother was getting inboxed.
[01:11:12.281 --> 01:11:16.503]  And he goes on to say he was threatened, so that's why he did it.
[01:11:18.324 --> 01:11:19.445]  And it just goes on and on.
[01:11:19.505 --> 01:11:21.886]  And that's why this is a black hole even getting into it.
[01:11:21.926 --> 01:11:23.267]  But let's go to some of the clips here.
[01:11:24.787 --> 01:11:25.648]  Let's play a clip 6.
[01:11:27.495 --> 01:11:32.404]  The judge in the Rittenhouse trial shouts down the prosecutor, tells him, don't get brazen with me.
[01:11:32.444 --> 01:11:33.386]  I mean, there's a whole bunch of these.
[01:11:33.406 --> 01:11:33.746]  Here it is.
[01:11:35.219 --> 01:11:39.762]  Now, I've admitted that kind of evidence in other trials when it's been appropriate.
[01:11:40.663 --> 01:11:53.771]  I didn't admit it in this case because, to me, what I've heard in this trial, and by the way, Mr. Richards absolutely correctly points out that just hours ago, I said I had heard nothing in this trial to change any of my rulings.
[01:11:53.791 --> 01:11:55.352]  That was before the witness testimony, Your Honor.
[01:11:55.432 --> 01:11:55.873]  Pardon me?
[01:11:56.073 --> 01:11:57.354]  That was before the witness testimony.
[01:11:57.374 --> 01:11:58.514]  Don't get brazen with me.
[01:12:00.916 --> 01:12:11.977]   You knew very well You know very well that an attorney can't go into these types of areas when the judge has already ruled without asking outside the presence of the jury to do so.
[01:12:12.257 --> 01:12:13.097]  So don't give me that.
[01:12:13.457 --> 01:12:14.118]  That's number one.
[01:12:14.918 --> 01:12:17.578]  Number two, this is propensity evidence.
[01:12:18.038 --> 01:12:24.600]  I said at the time that I made my ruling, and I'll repeat again now for you, I see no similarity.
[01:12:25.393 --> 01:12:36.575]  Between talking about wishing you had your AR gun, which you don't have, so that you could take fire rounds at these thought to be shoplifters.
[01:12:37.935 --> 01:12:47.257]  And the incidents in these cases, which are not, there's nothing in your case that suggests the defendant was lying in wait to shoot at somebody.
[01:12:48.157 --> 01:12:51.218]  Or reflecting upon the shooting for a vast amount of time.
[01:12:52.193 --> 01:12:57.037]  Every one of the incidents involves matters that involve seconds in time.
[01:12:58.298 --> 01:13:03.822]  So I don't, I commented at the time, I don't see the similarity, and I don't see the similarity now.
[01:13:04.683 --> 01:13:07.345]  If it's not similar, that's the whole rule.
[01:13:08.666 --> 01:13:16.993]  So basically, the prosecution's cheating and putting out things that aren't true, that the judge has already told them not to say, and they just keep doing it.
[01:13:20.313 --> 01:13:23.074]  But you see, when you got a bad judge, they let them do that.
[01:13:25.154 --> 01:13:29.355]  And so we're really getting to see just how corrupt this all is out in the open for everybody.
[01:13:29.975 --> 01:13:38.257]  Remember, the national media, for a year now, won't let you show people images of the men pointing guns or gun flashes at Rittenhouse.
[01:13:38.897 --> 01:13:39.797]  They just don't allow that.
[01:13:40.317 --> 01:13:42.238]  Oh, and I've got other articles on that subject.
[01:13:44.478 --> 01:13:47.579]  Facebook is not showing search results for Kyle Rittenhouse.
[01:13:47.599 --> 01:13:48.659]  You just can't look it up.
[01:13:50.993 --> 01:13:52.874]  Because it's not going the way they want.
[01:13:53.194 --> 01:13:59.798]  When you go to Google or you go to YouTube, for years it's the same results, just pinned to the top.
[01:13:59.898 --> 01:14:00.759]  That's not a search engine.
[01:14:01.139 --> 01:14:08.703]  They just pin Sandy Hook at the top to make me the Sandy Hook guy and to claim my whole career is about Sandy Hook and I won't stop talking about Sandy Hook.
[01:14:09.163 --> 01:14:11.025]  So they can attach themselves to me.
[01:14:11.325 --> 01:14:16.428]  Every time Alex Jones gets talked about, we hear about a school shooting they get to bring back up to go after gun owners.
[01:14:16.828 --> 01:14:21.546]   And now they're trying to use this to get Court rulings that you don't have a free speech in this country.
[01:14:21.786 --> 01:14:30.290]  And Democrats have gone on MSNBC and said, soon we'll shut everyone down with the new Alex Jones rule once the appeals courts, you know, let us silence him.
[01:14:30.310 --> 01:14:42.496]  And they're going to create that new jurisprudence law, basically, judicial tyranny for everybody's speech, and they're bragging how they're doing it to me first.
[01:14:44.215 --> 01:14:48.856]  Just like I told you five years ago with the deplatforming, four years ago, I said they're coming after everybody.
[01:14:49.316 --> 01:14:50.756]  You'll be next, and you are.
[01:14:52.716 --> 01:15:00.618]  Facebook ban on supportive comments regarding Kyle Rittenhouse warns and wears thin as trial continues.
[01:15:00.678 --> 01:15:06.579]  Yes, Facebook's ban on supportive comments regarding Kyle Rittenhouse wears thin as trial continues.
[01:15:06.899 --> 01:15:10.219]  And YouTube just banned downvotes for any Biden video.
[01:15:10.980 --> 01:15:13.020]  They're not even hiding it.
[01:15:15.487 --> 01:15:20.271]  It's total AI manipulation of reality.
[01:15:20.291 --> 01:15:21.471]  This isn't censorship.
[01:15:22.652 --> 01:15:27.035]  This is control of what you can type and what you can do in live time.
[01:15:27.256 --> 01:15:30.918]  Not like they come along later and take it down or just ban a person or a group.
[01:15:31.218 --> 01:15:41.566]  They are watching and surveilling everyone in live time and not letting you comment and say something pro-Kyle Rittenhouse on your own accounts because they're not your accounts.
[01:15:42.310 --> 01:15:51.054]  Their digital re-education metaverse systems for behavioral psychologists to train you to submit to them.
[01:15:52.335 --> 01:15:53.575]  And boy, did people submit.
[01:15:54.255 --> 01:16:01.158]  Very little defense of me by other libertarians or conservatives or nationalists when I first got deplatformed because they thought it was just Alex Jones.
[01:16:01.899 --> 01:16:03.520]  But then they learned Noah's about them as well.
[01:16:03.540 --> 01:16:05.801]  But by then, they'd already censored most people off.
[01:16:06.061 --> 01:16:09.602]  So we didn't have that critical mass power if people would have stood up at the time.
[01:16:09.862 --> 01:16:11.063]  But now we can stand up.
[01:16:11.835 --> 01:16:16.138]  The vaccine passports and the digital AI surveillance and that grid that's going in.
[01:16:16.458 --> 01:16:17.860]  Now's the time to stop it.
[01:16:18.300 --> 01:16:19.801]  Not once it's already in place.
[01:16:20.261 --> 01:16:21.242]  Then it's an uphill battle.
[01:16:21.442 --> 01:16:23.023]  We can stop it easily now.
[01:16:24.805 --> 01:16:25.905]  We can beat these people.
[01:16:27.527 --> 01:16:28.467]  We don't have a choice.
[01:16:28.487 --> 01:16:31.089]  If we submit, it means death.
[01:16:33.771 --> 01:16:36.813]  The globalists have been making the preparations for this takeover for more than 100 years.
[01:16:38.530 --> 01:16:44.133]  Now the scientific dictatorship of the eugenics transhumanist death cult has launched their main attack.
[01:16:45.374 --> 01:16:54.118]  Next hour, I'm going to cover the plan to collapse the economy, what it's going to look like and how the very people that have imploded it are going to pose as our saviors.
