[00:00:00.169 --> 00:00:06.154]  And so I got up at 2 a.m., and I've been up since 2 a.m., and I read this whole document.
[01:01:58.341 --> 01:02:03.602]  The CDC has managed to convince everybody that we can handle this like we did smallpox, where we could make a virus go away.
[01:02:04.242 --> 01:02:06.002]  Smallpox had no animal reservoirs.
[01:02:06.042 --> 01:02:07.742]  The only thing it learned to infect was humans.
[01:02:07.942 --> 01:02:09.943]  That's why we were able to make that virus go away.
[01:02:10.363 --> 01:02:19.445]  That will not happen with this any more than it will with influenza, the common cold respiratory syncytial virus, adenoviral respiratory syndromes, or anything else that has animal reservoirs.
[01:02:20.485 --> 01:02:25.490]  So the reason you can't do this is because you're trying to do something which has already been tried and can't be done.
[01:02:26.667 --> 01:02:30.669]  Equally important is that vaccination changes none of this, especially with this vaccine.
[01:02:30.709 --> 01:02:43.455]  And I would hope this board would start asking itself, before it considers taking the advice of the CDC, the NIH, and the State Board of Health, why we are doing things about this that we didn't do for the common cold, influenza, or respiratory syncytial virus.
[01:02:44.035 --> 01:02:53.160]  And then ask yourself, why is a vaccine that is supposedly so effective having a breakout in the middle of the summer when respiratory viral syndromes don't do that?
[01:02:54.000 --> 01:02:58.545]  And to help you understand that, you need to know the condition that is called antibody-mediated viral enhancement.
[01:02:59.366 --> 01:03:14.541]  That is a condition done when vaccines work wrong, as they did in every coronavirus study done in animals, on coronaviruses after the SARS outbreak, and done in respiratory syncytial virus, where a vaccine used in a vulnerable individual
[01:03:15.493 --> 01:03:28.464]  Done the wrong way, which is why it cannot be done right for a respiratory virus which has a very low pathogenicity rate, causes the immune system to actually fight the virus wrong and let the virus become worse than it would with native infection.
[01:03:29.344 --> 01:03:31.206]  And that is why you are seeing an outbreak right now.
[01:03:31.266 --> 01:03:44.637]  In fact, in that flash drive you're going to have coming to you and in the emails with six extra mobile studies showing it, 75% of people who had COVID-19 positive symptom cases in Barnstable, Massachusetts outbreak were fully vaccinated.
[01:03:47.321 --> 01:03:53.504]  Therefore, there is no reason for treating any person vaccinated any differently than any person unvaccinated.
[01:03:53.904 --> 01:04:02.289]  You should also know that no vaccine, even the ones I support and would give to myself and my children, ever stops infection.
[01:04:02.309 --> 01:04:04.930]  In 2014, there was outbreak of mumps in the National Hockey League.
[01:04:05.470 --> 01:04:09.693]  The only people who came down with symptoms were the people who were unvaccinated or unknown vaccine status.
[01:04:09.754 --> 01:04:11.715]  Boy, that sounds like a great argument for vaccines.
[01:04:12.035 --> 01:04:23.985]  But a question that you should ask yourself, knowing that half of the people who came down with symptomatic disease had no contact with an unvaccinated or unknown vaccine status individual, where did they get the disease?
[01:04:24.895 --> 01:04:27.777]  And the answer was from the vaccinated individuals.
[01:04:28.718 --> 01:04:30.840]  No vaccine prevents you from getting infection.
[01:04:31.040 --> 01:04:31.880]  You get infected.
[01:04:32.341 --> 01:04:33.381]  You shed pathogen.
[01:04:33.562 --> 01:04:36.144]  This is especially true of viral respiratory pathogens.
[01:04:36.684 --> 01:04:38.285]  You just don't get symptomatic from it.
[01:04:38.786 --> 01:04:40.167]  So you cannot stop spread.
[01:04:40.207 --> 01:04:44.370]  You cannot make these numbers that you've planned on get better by doing any of the things you're doing.
[01:04:45.287 --> 01:04:47.728]  Because that is the nature of viral respiratory pathogens.
[01:04:48.228 --> 01:04:52.549]  And you can't prevent it with a vaccine because they don't do the very thing you're wanting them to do.
[01:04:53.229 --> 01:05:01.992]  And you will be chasing this the remainder of your life until you recognize that the Center for Disease Control and the Indiana State Board of Health are giving you very bad scientific guidance.
[01:05:02.632 --> 01:05:13.035]  And instead, read the articles that are going to come in the email and are on this flash drive, and listen to the people in this audience here tonight who actually have recognized the advice they are getting from the CDC and the NIH is counterfactual.
[01:05:13.775 --> 01:05:24.179]  And that's why you're still fighting this with this vaccine that supposedly was going to make all of this go away, but has suddenly managed to make an outbreak of COVID-19 develop in the middle of the summer when vitamin D levels are at their highest.
[01:05:24.719 --> 01:05:29.861]  By the way, the other thing that would be necessary for any vaccine restriction to be considered is if there were no other treatment available.
[01:05:30.281 --> 01:05:39.425]  And I can tell you, having treated over 15 COVID-19 patients, that between active loading with vitamin D, ivermectin, and zinc, that there is not a single person who has come anywhere near the hospital
[01:05:40.305 --> 01:05:49.931]  And we already have studies that show that if you achieve a 25-hydroxy vitamin D level greater than 55, your risk of COVID-19 death will drop down to one quarter of the population.
[01:05:50.985 --> 01:05:52.346]  Average for the United States.
[01:05:52.826 --> 01:05:56.587]  And there are active treatment trials included on that flash drive that show the same is true.
[01:05:57.027 --> 01:06:16.534]  So if you were going to discriminate based upon vaccine, you should also discriminate based upon 25-hydroxy vitamin D level, zinc taste test response, and probably previous infections since there are also studies on that flash drive that show that people who have recovered from COVID-19 infection actually get no benefit from vaccination at all, no reduction in symptoms, no reduction in hospitalization.
[01:06:17.114 --> 01:06:21.898]  And suffer two to four times the rate of side effects if they are subsequently vaccinated.
[01:06:22.919 --> 01:06:26.061]  Therefore, the policies that you are basing on are totally counterfactual.
[01:06:26.502 --> 01:06:32.766]  I don't blame this board for that because I know you aren't scientists and you thought it was reasonable to listen to the CDC, NIH, and the Indiana State Board of Health.
[01:06:33.287 --> 01:06:38.451]  But I would encourage that instead you listen to the people out here in this audience and read what's on that data drive.
[01:06:38.911 --> 01:06:46.117]  And if anybody here in this board has any questions about anything on that, I will happily come back and sit with you individually if you would like to explain the science behind this.
[01:06:46.757 --> 01:06:56.244]  And if you're worried about being sued by somebody because you don't follow the guidance of the CDC and the NIH, I will tell you have a free pro bono expert testimony at your disposal.
[01:06:56.644 --> 01:07:02.428]  I will testify in defense of this court, turning down all these recommendations for free at any time in any court.
[01:07:02.989 --> 01:07:03.289]  Thank you.
[01:07:03.349 --> 01:07:03.829]  Thank you.
[01:07:04.150 --> 01:07:04.510]  Thank you.
[01:07:04.850 --> 01:07:09.111]  Well, out of all the incredible doctors and scientists and nurses I've heard, they've all been amazing.
[01:07:09.151 --> 01:07:11.531]  That guy is the most concise in six and a half minutes.
[01:07:11.551 --> 01:07:15.372]  The video is much watched up on InfoWars.com.
[01:07:15.432 --> 01:07:18.593]  So I hope you go to InfoWars.com and find the article.
[01:07:18.613 --> 01:07:19.633]  It's about halfway down the page.
[01:07:19.653 --> 01:07:20.713]  Will you guys put it back on screen for me?
[01:07:20.733 --> 01:07:20.973]  Thanks.
[01:07:21.713 --> 01:07:23.194]  And please get it and share it.
[01:07:24.154 --> 01:07:28.775]  Doctor Educate School Board on COVID Vaccines and Mass Slams.
[01:07:30.475 --> 01:07:31.596]  CDC NIH.
[01:07:31.796 --> 01:07:32.796]  Did you hear what he said?
[01:07:32.816 --> 01:07:33.536]  He kept saying it.
[01:07:34.434 --> 01:07:42.459]  This is accepted, known science that if you gave people this type of vaccine, it would cause a bunch of mutants.
[01:07:43.099 --> 01:07:45.841]  And now the hospitals are seeing a lot of people.
[01:07:45.861 --> 01:07:48.222]  They're not all full, but some are.
[01:07:48.342 --> 01:07:50.183]  It's much worse than last year.
[01:07:51.144 --> 01:07:54.746]  And it's people that have been vaccinated, mainly they're at the hospital, and those numbers are out.
[01:07:54.766 --> 01:07:57.267]  95% in Israel, 99.9% in Australia, 97% in Gibraltar, on and on and on.
[01:08:03.320 --> 01:08:05.241]  And if you're a radio listener, you hear me talking about this.
[01:08:06.821 --> 01:08:07.902]  TV viewers see all this.
[01:08:07.922 --> 01:08:10.943]  Here's Associated Press, this year, April.
[01:08:12.143 --> 01:08:15.925]  More polio cases now caused by vaccine than by wild virus.
[01:08:17.105 --> 01:08:18.406]  The vaccinated are spreading it.
[01:08:18.646 --> 01:08:19.606]  That's a fact!
[01:08:20.587 --> 01:08:22.207]  That's what the doctor's telling them!
[01:08:22.968 --> 01:08:29.650]  And they sit there and, of course, follow the orders of the health department because they don't want liability.
[01:08:29.990 --> 01:08:31.571]  We need to start suing these people.
[01:08:32.714 --> 01:08:33.995]  So they understand liability.
[01:08:35.776 --> 01:08:37.556]  But this is a broken social contract.
[01:08:37.817 --> 01:08:49.723]  The globalists cooked this up to give us a problem, like I told you a year and a half ago, that'll never be fixed, with fake tests, and never-ending problems, and autoimmune responses to our own proteins in our bodies, and spike protein spreading.
[01:08:51.623 --> 01:08:54.525]  I mean, this is so premeditated.
[01:08:55.285 --> 01:08:57.246]  It's a perfect thing to take down civilization.
[01:08:58.347 --> 01:09:00.188]  Alright, we're gonna come back with even more news on that.
[01:09:01.001 --> 01:09:05.606]  And I've got a lot of other news we haven't gotten to yet on other subjects, but everything is this COVID takeover.
[01:09:06.027 --> 01:09:07.989]  Worldwide martial law via the UN.
[01:09:08.990 --> 01:09:17.100]  By the way, I'm going to be going to Sioux Falls, South Dakota, and I'll be there tomorrow, and I'll be there on Thursday and Friday after it's over.
[01:09:18.241 --> 01:09:20.644]  I can say Mike Lindell has done a great job.
[01:09:22.199 --> 01:09:27.823]  We posted a feed to his event at InfoWars.com.
[01:09:28.783 --> 01:09:33.947]  We're team players and it's got 200,000 viewers just on the Rumble feed.
[01:09:34.587 --> 01:09:36.789]  There's a bunch of other feeds I took a look at earlier today.
[01:09:36.809 --> 01:09:40.611]  Looks like they got about a million people tuned in to that right now.
[01:09:40.631 --> 01:09:42.953]  You want to find that and share that most importantly.
[01:09:43.533 --> 01:09:46.375]  We've got links to it up at InfoWars.com and
[01:09:47.895 --> 01:09:53.777]  The big voting machine companies are definitely suing Lindell, Fox, OAN, everybody else.
[01:09:53.857 --> 01:09:57.558]  I mean, anybody that questions anything, they want to intimidate everybody.
[01:09:57.978 --> 01:10:05.881]  So that's why now it's more important than ever for you to support what Mike Lindell is doing and InfoWars.
[01:10:06.926 --> 01:10:11.730]  By going to MyPillow.com with promo code ALEX and getting the very best deals they've got.
[01:10:18.494 --> 01:10:24.376]  Women and men in the arena, and our families, and we are the tip of the spear, so I really appreciate your support.
[01:10:24.436 --> 01:10:29.858]  I think we really deserve your support, and I think it's a smart move for you to support us.
[01:10:30.418 --> 01:10:37.861]  I know you've been doing it, so if you need sheets, or you need towels, or you need pillows, or you need a new bed, he's got some great beds for adults or dogs or cats.
[01:10:38.742 --> 01:10:44.924]  Or if you want the slippers and the shoes, he's got a lot of great Made in America products.
[01:10:45.524 --> 01:10:48.608]  Up to 66% off with promo code Alex.
