[00:00:00.329 --> 00:00:01.449]  So there's today's headline.
[01:01:08.556 --> 01:01:10.698]  And if you just give in to it, you'll be called a slave.
[01:01:11.218 --> 01:01:12.058]  I'm not giving in to it.
[01:01:13.920 --> 01:01:16.561]  I mean, one thing, if you were just a slave of the system, I'd do what it said.
[01:01:16.621 --> 01:01:18.362]  This thing wants your children's souls.
[01:01:18.482 --> 01:01:19.443]  It wants their bodies.
[01:01:19.503 --> 01:01:20.684]  It wants control of your mind.
[01:01:20.744 --> 01:01:21.704]  It wants to poison you.
[01:01:22.245 --> 01:01:24.866]  It wants to make you a living example of its power.
[01:01:24.886 --> 01:01:26.067]  It wants to make you a zombie.
[01:01:26.828 --> 01:01:27.308]  The undead.
[01:01:29.781 --> 01:01:31.002]  And so I'm not going to be part of it.
[01:01:31.062 --> 01:01:33.463]  I know you aren't either, but this is the big epic fight.
[01:01:33.803 --> 01:01:34.804]  It's on now, folks.
[01:01:36.405 --> 01:01:38.846]  The monsters in the room, they flip the switch.
[01:01:41.208 --> 01:01:41.568]  It's on.
[01:01:42.028 --> 01:01:42.349]  All right.
[01:01:43.249 --> 01:01:45.991]  Seth, David, Tim, Ron, Conrad, Jack.
[01:01:47.227 --> 01:01:50.030]  We got callers calling in from all over the place.
[01:01:50.190 --> 01:01:53.413]  David's calling first from a place super locked down.
[01:01:54.514 --> 01:01:58.437]  Iceland, the place I always wanted to go, but I guess you can't really get there now unless you want to be under living hell.
[01:01:59.238 --> 01:02:01.580]  David from Iceland, you're on the air.
[01:02:01.600 --> 01:02:02.200]  Thanks for calling.
[01:02:03.441 --> 01:02:04.202]  Hey, how are you?
[01:02:05.083 --> 01:02:11.549]  Well, I mean, I'm here on air still, desperately, but watching civilization be swallowed up by the post-industrial world.
[01:02:14.517 --> 01:02:18.440]  You know, okay, for the record, we're not in lockdown in Iceland.
[01:02:18.500 --> 01:02:19.481]  We never got locked down.
[01:02:19.781 --> 01:02:20.682]  They didn't have to.
[01:02:22.144 --> 01:02:25.487]  We got 90, over 90% vaccinated rates among people.
[01:02:25.507 --> 01:02:26.768]  12 to 16 year olds, we are 70% vaccinated.
[01:02:26.588 --> 01:02:40.507]   rates among people. 12 to 16 year olds we are 70% vaccinated and like they
[01:02:40.507 --> 01:02:45.068]  update our hospital information every day.
[01:02:43.209 --> 01:02:50.054]  So right now we got 24 people in the hospital vaccinated and 12 that are unvaccinated.
[01:02:50.495 --> 01:02:54.198]  But what they call unvaccinated are people who've only had one shot.
[01:02:55.699 --> 01:03:00.503]  So let me ask, I mean you called in about something and I want to hear what you have to say, but I have a few questions.
[01:03:00.963 --> 01:03:03.365]  Are people ready for their monthly booster shot or every two months?
[01:03:03.705 --> 01:03:07.148]  That actually does nothing for you, the studies show, other than destroy your white blood cells?
[01:03:08.294 --> 01:03:20.217]  Well, you know Alex, we did a big push of the Anson, the Johnson & Johnson shot, and when they realized it doesn't work, people lined up and took their Pfizer on top of it.
[01:03:20.618 --> 01:03:23.858]  Yeah, so they're just gonna, I mean, if it was five shots a day, they'd do it, is what you're saying?
[01:03:24.879 --> 01:03:26.179]  More than ready for it.
[01:03:26.499 --> 01:03:29.740]  And that leads me to my point, you know.
[01:03:31.040 --> 01:03:37.805]   I think, for the most part, You keep saying, oh, you know, there's a peaceful way out of this.
[01:03:37.925 --> 01:03:38.686]  I don't think so.
[01:03:38.706 --> 01:03:40.387]  I think people are too stupid.
[01:03:40.788 --> 01:03:44.832]  And the few of us that aren't, we are a minority.
[01:03:44.912 --> 01:03:46.954]  And I think the only way out of this is violence.
[01:03:47.054 --> 01:03:50.718]  Because non-violence is, we're outnumbered.
[01:03:51.319 --> 01:03:52.120]  Way, way too much.
[01:03:52.939 --> 01:03:54.640]  Just by the general population.
[01:03:54.800 --> 01:03:55.561]  Well, I'll say this.
[01:03:55.661 --> 01:04:02.424]  Trying to make people take the shots and violate the Nuremberg Code is a serious military attack through the health system.
[01:04:02.905 --> 01:04:10.269]  And the police running over people with cars and splitting skulls of people that dare walk on the street in broad daylight is beyond North Korea.
[01:04:10.929 --> 01:04:15.292]  And we're watching every free country on Earth just fall right now.
[01:04:15.312 --> 01:04:16.893]  I mean, let that sink in.
[01:04:17.893 --> 01:04:20.894]  You've got to take an experimental shot or you can't get on an airplane.
[01:04:20.914 --> 01:04:22.355]  They're really trying to do that.
[01:04:22.395 --> 01:04:28.096]  And I mean, I think Iceland, from what I've seen, has got some of the most draconian rules about can't come there unless you've had all the injections.
[01:04:28.136 --> 01:04:29.977]  And again, they don't even protect you.
[01:04:30.017 --> 01:04:31.017]  It's all just a fraud.
[01:04:31.057 --> 01:04:32.058]  It's so incredible.
[01:04:33.058 --> 01:04:33.438]  That's it.
[01:04:33.598 --> 01:04:35.799]  And I mean, unified non-compliances.
[01:04:36.739 --> 01:04:41.161]  Sure, it's a solution, but it's not a viable one because there's not enough people unified.
[01:04:41.521 --> 01:04:42.561]  We're not unified.
[01:04:42.841 --> 01:04:47.263]  There's no unification to not comply, you know?
[01:04:48.428 --> 01:04:50.170]  That's just a dream.
[01:04:50.270 --> 01:04:53.413]  It's a smoke dream, Mike.
[01:04:53.973 --> 01:04:54.654]  I hear you, brother.
[01:04:56.087 --> 01:04:57.268]  The never-ending vaccines.
[01:04:57.288 --> 01:04:58.949]  They've now announced it's never going to stop.
[01:04:59.109 --> 01:05:04.753]  They've announced the head of Pfizer, the head health minister in Australia, the head German minister, they said this never ends.
[01:05:05.133 --> 01:05:07.615]  You never go out, you always wear a mask, the shots never stop.
[01:05:08.115 --> 01:05:08.856]  And they just laugh.
[01:05:09.176 --> 01:05:11.057]  And she'd go, I'll take more shots then.
[01:05:11.577 --> 01:05:12.338]  I'll take more shots.
[01:05:12.978 --> 01:05:15.500]  And we're going to take your baby away from you, ma'am, and forcefully inoculate you.
[01:05:15.520 --> 01:05:17.621]  You're not allowed to be on the street in Australia.
[01:05:18.638 --> 01:05:21.941]  These people are sick, sick authoritarians.
[01:05:21.961 --> 01:05:27.565]  Let's roll the video of the man who's been pepper sprayed, beaten, his head rammed in, and skull split by the police.
[01:05:27.966 --> 01:05:30.107]  Here he is begging for mercy while they enjoy themselves.
[01:05:32.109 --> 01:05:34.051]  My skull is cramping!
[01:05:34.311 --> 01:05:36.811]  (baby crying)
[01:05:36.811 --> 01:05:37.650]  What's your name?
[01:05:37.650 --> 01:05:38.990]  Kyle Mitchell.
[01:05:38.990 --> 01:05:41.990]  (people chattering)
[01:05:41.990 --> 01:05:48.198]   And let's show the woman having her child A woman dared come out in broad daylight.
[01:05:48.238 --> 01:05:49.880]  These people are so evil.
[01:05:50.180 --> 01:05:51.342]  They should be sent to a Gulag.
[01:05:51.442 --> 01:05:52.023]  Oh, don't worry.
[01:05:52.103 --> 01:05:52.723]  They're building them.
[01:05:53.464 --> 01:05:57.349]  They're calling it shielding in place of the healthy are going to be sent to camps.
[01:05:59.160 --> 01:06:01.160]  Here it is.
[01:06:01.160 --> 01:06:03.160]  [Crowd shouting]
[01:06:03.160 --> 01:06:05.160]  [Crowd shouting]
[01:06:05.160 --> 01:06:07.160]  [Crowd shouting]
[01:06:07.160 --> 01:06:09.160]  [Crowd shouting]
[01:06:09.160 --> 01:06:11.160]  [Crowd shouting]
[01:06:11.160 --> 01:06:13.160]  [Crowd shouting]
[01:06:13.160 --> 01:06:15.160]  [Crowd shouting]
[01:06:15.160 --> 01:06:17.160]  [Crowd shouting]
[01:06:17.160 --> 01:06:19.160]  [Crowd shouting]
[01:06:19.160 --> 01:06:21.160]  [Crowd shouting]
[01:06:21.160 --> 01:06:23.160]  [Crowd shouting]
[01:06:23.160 --> 01:06:25.160]  [Crowd shouting]
[01:06:25.160 --> 01:06:27.160]  [Crowd shouting]
[01:06:27.160 --> 01:06:29.160]  [Crowd shouting]
[01:06:29.160 --> 01:06:31.160]  [Crowd shouting]
[01:06:30.308 --> 01:06:32.429]  He needs to meet with his mother!
[01:06:32.609 --> 01:06:33.270]  It goes on.
[01:06:33.290 --> 01:06:36.031]  They grab him away, grab him away, and take him away to the dungeon.
[01:06:36.131 --> 01:06:38.693]  Here they go, grabbing the child.
[01:06:38.733 --> 01:06:39.914]  How dare you be outside!
[01:06:39.934 --> 01:06:45.617]  They're tugging the little boy away, gripping at him.
[01:06:45.637 --> 01:06:46.598]  They're the good guys.
[01:06:46.678 --> 01:06:47.618]  They follow their orders.
[01:06:47.698 --> 01:06:51.561]  They'll find the people that follow orders, and they'll take over our society.
[01:06:51.581 --> 01:06:53.582]  Contact traces are coming.
[01:06:55.723 --> 01:06:56.704]  Into the van, lady.
[01:06:56.724 --> 01:07:00.587]  You don't walk on the street without a mask and suede.
[01:07:00.887 --> 01:07:02.528]  Of course, the cops don't have to wear their masks.
[01:07:03.048 --> 01:07:09.212]  At the Emmys and Grammys, they don't have to wear theirs, the Oscars, but you do.
[01:07:09.253 --> 01:07:11.194]  You want to see evil, folks?
[01:07:11.214 --> 01:07:11.714]  This is it.
[01:07:12.215 --> 01:07:13.135]  Australia's fallen.
[01:07:13.175 --> 01:07:15.597]  Look how they enjoy it, those cops.
[01:07:18.100 --> 01:07:19.081]  I've got God to deal with.
[01:07:19.121 --> 01:07:21.902]  I really feel sorry for their souls, but they've got that satanic look on them.
[01:07:22.142 --> 01:07:23.343]  They're enjoying the power.
[01:07:23.383 --> 01:07:24.524]  They're on the winning team.
[01:07:25.404 --> 01:07:27.326]  They'll all be dead from cancer soon as well.
[01:07:27.946 --> 01:07:28.646]  We'll be right back.
[01:07:28.686 --> 01:07:29.167]  Stay with us.
[01:07:31.748 --> 01:07:34.910]  And that's because the vaccine makers have had liability protections since 1986.
[01:07:36.783 --> 01:07:43.847]  From all the big giant scandals and deaths and illnesses and autoimmune diseases and cancer that previous contaminated vaccines have caused.
[01:07:44.327 --> 01:07:47.929]  I'd love to have clean vaccines at work, but they don't want to give us those.
[01:07:49.030 --> 01:07:53.893]  That's why the life expectancy of the average American has gone way, way down even before COVID came along.
[01:07:54.433 --> 01:07:58.435]  Now our life expectancy has gone down by another two years because they're killing us.
[01:07:59.176 --> 01:08:01.537]  And the more injections we take, the more COVID cases we have.
[01:08:02.705 --> 01:08:03.726]  I want to go back to your calls.
[01:08:04.306 --> 01:08:05.948]  I want to show TV viewers this photo.
[01:08:06.128 --> 01:08:06.829]  There's a bunch of these.
[01:08:09.011 --> 01:08:13.635]  Of the Border Patrol that's going in the water and saving kids out of it and stuff and what's really going on.
[01:08:14.896 --> 01:08:18.299]  Versus when full-grown men are running illegally into the U.S.
[01:08:18.739 --> 01:08:21.162]  and are not being stopped so they can see what's in their bags.
[01:08:22.503 --> 01:08:26.567]  Then they're calling them white supremacists, whipping them with bull whips like it's Django.
[01:08:27.487 --> 01:08:29.089]  That's all Hollywood crap.
[01:08:31.852 --> 01:08:35.793]  If you try to go illegally into Mexico, they'll throw your ass in prison in a dirt floor cell.
[01:08:37.253 --> 01:08:40.134]  People are coming here because they know we're a more open, free society.
