[00:00:00.229 --> 00:00:01.850]  The world is rejecting the globalists.
[00:55:43.112 --> 00:55:45.213]  It's in all their documents.
[00:55:45.533 --> 00:55:47.693]  They think we're so stupid they lay all this out.
[00:55:48.113 --> 00:55:50.054]  And really, if humanity puts up with this,
[00:55:50.914 --> 00:55:52.995]  Don't we really deserve then what happens to us?
[00:55:53.695 --> 00:56:04.318]  So yes, adults that go along with this and who don't care and who are so stupid win the Darwin Awards and deserve to be basically killed by these poison injections that we now know are designed to cause blood clots all over the body.
[00:56:04.939 --> 00:56:05.959]  But you know who doesn't deserve it?
[00:56:06.059 --> 00:56:06.599]  The children.
[00:56:07.219 --> 00:56:09.580]  The one-year-olds, the five-year-olds, the six-year-olds, the ten-year-olds.
[00:56:10.700 --> 00:56:15.162]  It's up to us to protect them and to lead them to the truth.
[00:56:16.360 --> 00:56:31.656]  And we have a responsibility, all of us, to start having a discussion about what do we do when the globalists are casting us as the criminals, casting us as the dirty humans that gotta cover our ugly faces and that are germ spreaders, when all the studies show that 99% of the time our germs sharing makes us healthier.
[00:56:31.676 --> 00:56:34.720]  And if you're not exposed to other people's germs, you get sick and die.
[00:56:36.468 --> 00:56:37.388]  That's the real science.
[00:56:37.428 --> 00:56:39.929]  But see, they say, oh no, there's new science out.
[00:56:39.949 --> 00:56:43.010]  Psaki said, that's why you've now got to wear a mask.
[00:56:43.050 --> 00:56:44.271]  And that's why the vaccines don't work.
[00:56:44.311 --> 00:56:45.011]  But they still work.
[00:56:45.031 --> 00:56:45.791]  You've got to take them.
[00:56:46.551 --> 00:56:55.614]  Science is about asking questions, not having a scientific dictatorship of corporations bully and control all the real doctors and scientists who, by the way, are saying the opposite of what they're saying.
[00:56:56.295 --> 00:56:59.796]  I'm saying what all the real scientists and experts and Nobel Prize winners are saying.
[00:57:00.236 --> 00:57:00.616]  All of them.
[00:57:00.656 --> 00:57:01.136]  It's crazy.
[00:57:01.436 --> 00:57:02.997]  I'm actually proud of the scientific community.
[00:57:03.757 --> 00:57:13.660]  But you have the globalists, the big corporations that have hijacked that community and are now taking over with a medical dictatorship the world economy and where we can go and what we can do and locking us in our homes.
[00:57:14.480 --> 00:57:20.482]  If a foreign enemy came and took over the United States and then ordered us to stay in our homes at night, we wouldn't put up with that.
[00:57:21.062 --> 00:57:25.443]  But when the UN and the big corporations do it, in the name of this virus they cooked up, we do do it.
[00:57:26.203 --> 00:57:29.684]  You never get out of this type of control by bowing down.
[00:57:30.104 --> 00:57:33.025]  You only get out of it by saying no and rebuking it and exposing it.
[00:57:34.349 --> 00:57:42.953]  We either expose and prosecute the ringleaders of this, Bill Gates, Fauci, and others, or they're going to continue to expand this program.
[00:57:43.093 --> 00:57:44.934]  And that's the most important thing I'm going to say here today.
[00:57:45.674 --> 00:57:49.116]  Just like Domino's, we know what's coming next in our plan.
[00:57:50.496 --> 00:57:54.298]  And that's going to be new, even more hardcore viruses they're going to release.
[00:57:55.819 --> 00:57:57.880]  To see if we'll stay in our homes and quietly die.
[00:57:57.900 --> 00:58:09.265]  It's going to be the third world collapsing because of the ongoing lockdowns that are now in place and the UN organizing hundreds of millions of people, which they say they're going to bring here to flood the United States and Europe as a political tool to bring us to our knees.
[00:58:10.185 --> 00:58:21.470]  It's going to mean contact tracers coming to your house, demanding to come in your home with armed police, and then taking you away to emergency COVID centers, even if you've tested negative on their fraudulent machines.
[00:58:22.190 --> 00:58:26.175]  And yes, it means COVID camps for people who refuse the inoculation.
[00:58:26.435 --> 00:58:27.636]  It's being announced in the UK.
[00:58:27.797 --> 00:58:28.798]  It's being announced in Israel.
[00:58:28.998 --> 00:58:30.039]  It's being announced in Australia.
[00:58:30.239 --> 00:58:33.483]  And they're now even beginning to do it in places of Northern Europe.
[00:58:33.884 --> 00:58:35.806]  We shot a big report on that with witnesses yesterday.
[00:58:35.826 --> 00:58:37.047]  That's at Bandot Video.
[00:58:37.992 --> 00:58:40.995]  So this thing just gets worse and worse and worse the more we submit.
[00:58:41.576 --> 00:58:44.319]  And each new stage of the program is completely obvious.
[00:58:44.799 --> 00:58:48.203]  Just like we told you they're going to blame the unvaccinated when the vaccine doesn't work.
[00:58:48.764 --> 00:58:50.225]  How did we say that over a year ago?
[00:58:50.546 --> 00:58:52.928]  Because we know the enemy plan.
[00:58:52.948 --> 00:58:59.415]  I'm going to shoot another report this afternoon that's going to detail what the world will look like in two years
[00:59:00.336 --> 00:59:03.257]  If we don't start turning the tide back now and saying no.
[00:59:03.957 --> 00:59:10.939]  So to all the legislatures and all the corporate owners who aren't globalists, and everybody out there who thinks you're safe on the fence, you're not safe on the fence.
[00:59:11.259 --> 00:59:12.600]  You got to get off the fence now.
[00:59:12.660 --> 00:59:18.541]  This is a very cancerous, hardcore, authoritarian world government takeover plan that has been well thought out.
[00:59:18.622 --> 00:59:19.922]  But if you were awake to the plan,
[00:59:20.542 --> 00:59:27.905]  And awake to how it operates, it's very easy to defeat if people simply, again, awaken and start resisting it in nonviolent ways.
[00:59:28.325 --> 00:59:31.007]  The problem is they're assaulting us physically with these deadly shots.
[00:59:31.627 --> 00:59:33.588]  They're violating our rights, trying to coerce us to take them.
[00:59:34.208 --> 00:59:36.089]  And so we do have a right to defend ourselves.
[00:59:36.629 --> 00:59:38.130]  And I'm not calling for violence right now.
[00:59:38.250 --> 00:59:43.212]  I'm just simply saying that we're entering a wheelhouse where the gloves are off.
[00:59:44.329 --> 00:59:50.915]  I don't want any violence because they're probably going to stage false flags against themselves to make the whole medical tyranny group look like victims.
[00:59:52.616 --> 00:59:57.781]  That's why they've gotten the new Homeland Security report put out two months ago by Biden that anyone that's against lockdowns is a terrorist.
[00:59:58.281 --> 01:00:08.951]  They're already branding us as terrorists as they kill us, as they poison us, as they lock us up, as they say we're not essential, as they rob us, as they implode us, as they impoverish us through economic and cultural warfare.
[01:00:09.531 --> 01:00:15.895]  So we have to be like Gandhi and Jesus Christ and Martin Luther King and point that out to the public and be peaceful.
[01:00:16.355 --> 01:00:23.039]  But also point out that once we take the government back, there will be trials just like Nuremberg for the individuals that did this and they will pay.
[01:00:23.320 --> 01:00:25.381]  It's very important for the globalists to be uncomfortable.
[01:00:26.061 --> 01:00:28.423]  It's very important for them to know that they will be held accountable.
[01:00:28.723 --> 01:00:31.585]  It's very important for them to know that we're aware of their plan.
[01:00:32.205 --> 01:00:34.485]  The only way we can counter this evil is if you take action.
[01:00:34.866 --> 01:00:37.426]  You aren't just part of the equation, you are basically the entire equation.
[01:00:37.446 --> 01:00:41.587]  You know the old saying, if a tree falls in the forest and nobody's there to hear it, did it make a sound?
[01:00:42.087 --> 01:00:44.247]  It's up to you to take this report and get it out.
[01:00:44.267 --> 01:00:46.428]  This is a life and death situation.
[01:00:46.748 --> 01:00:48.348]  Things are deteriorating very, very fast.
[01:00:49.008 --> 01:00:52.509]  We've now confirmed that this is their most vicious takeover plan that they've launched.
[01:00:53.149 --> 01:00:56.130]  And all I can say is you better get right with God as well and take action while you still can.
[01:00:56.837 --> 01:01:04.307]  They have never guessed the right flu virus for the mutation of what the main flu is the next year, and it's always a whole bunch of flus, dozens and dozens of them.
[01:01:04.948 --> 01:01:09.594]  And that it does nothing to protect you from the next flu if it's not the exact flu!
[01:01:11.738 --> 01:01:14.480]  That's why they never ask why they don't have a vaccine for the common cold.
[01:01:14.801 --> 01:01:15.922]  Because it's too varied.
[01:01:16.242 --> 01:01:17.403]  Because there's thousands of them.
[01:01:17.703 --> 01:01:19.685]  And because you have to get it exactly right.
[01:01:19.945 --> 01:01:21.407]  And viruses are always mutating.
[01:01:21.567 --> 01:01:23.409]  But you notice they're telling you they've got a vaccine.
[01:01:23.749 --> 01:01:27.072]  They want you willingly to go take whatever it is that's gonna be in there.
[01:01:27.552 --> 01:01:37.942]  Now Fauci has come out of you, just joined us, we're gonna play the clip again first here in a moment, and said, hey, we're gonna surveil people, we're gonna cycle into other seasons, next year you won't be able to go out either.
[01:01:39.218 --> 01:01:46.503]  So they'll run into the middle of summer, and then let you have a month or two, and then clamp it back down, but there'll be special apps they're announcing, you'll be tracked, China was the model.
[01:01:47.583 --> 01:01:50.225]  They're gonna roll it out like they just got these ideas, but it's all pre-planned.
[01:01:51.206 --> 01:01:59.511]  By the Rockefeller Foundation, Bill and Melinda Gates, the tabletop exercises, predicting COVID-19 in November when it was already launched in China.
[01:01:59.771 --> 01:02:07.336]  I think all of you already instinctively know this is the big one, and if we fail this test, we're gonna be ruled by the threat
[01:02:08.803 --> 01:02:11.768]  Unending invisible bio weapons.
[01:02:11.788 --> 01:02:17.998]  They're gonna tighten down the restrictions loosen them by the summer and then release new strains.
[01:02:19.389 --> 01:02:22.310]  Immediately that aren't even as bad as the current strain.
[01:02:22.330 --> 01:02:26.891]  They'll say they're worse, fear monger and then clamp down even stronger.
[01:02:27.692 --> 01:02:28.792]  That's what they've done in Italy.
[01:02:28.872 --> 01:02:34.073]  It's what they've done in other areas where they've been beta testing like Spain and now moving towards Australia.
[01:02:34.093 --> 01:02:35.274]  So this is all formulaic.
[01:02:35.334 --> 01:02:38.175]  It's all heavily scripted and we know their plan.
[01:02:39.235 --> 01:02:47.157]  InfoWars.
[01:02:47.197 --> 01:02:48.318]  Tomorrow's news.
[01:02:48.378 --> 01:02:48.738]  Today.
[01:02:49.781 --> 01:03:05.721]  And we are back here now live in the InfoWorld headquarters in Austin, Texas, and it's too bad we don't have a real legitimate media in this country that is able to get into the White House press gaggle every day.
[01:03:07.614 --> 01:03:18.236]  And call all these hypocrisies and tyrannies to task on Jen Psaki, other than Peter Doocy, who's, I mean, you know, Peter Doocy's good and he asks the questions, but he's not really that hardcore.
