[00:00:00.425 --> 00:00:01.425]  So here's the big announcement.
[01:06:53.519 --> 01:07:04.903]  There was a plot in Michigan, a so-called Whitmer kidnapping plot, that also involved, coincidentally, a plot to storm the Michigan State Capitol.
[01:07:05.543 --> 01:07:12.766]  This plot to storm the Michigan State Capitol, just coincidentally, happened to involve
[01:07:13.536 --> 01:07:20.701]  The same militia that the government has now imputed to the 1-6 storming of the Capitol.
[01:07:21.081 --> 01:07:23.363]  One of those militias is called the Three Percenters.
[01:07:23.723 --> 01:07:32.610]  The government claims that Adam Fox, the so-called mastermind of this Michigan plot, was a leader of the Three Percenters.
[01:07:33.110 --> 01:07:39.154]  So we have a same militia group, the same style plot to storm a Capitol.
[01:07:40.635 --> 01:07:41.176]  We have
[01:07:42.523 --> 01:07:44.364]  The fact why was it stopped?
[01:07:45.024 --> 01:07:52.967]  Well, of the 18 plotters were ultimately mentioned as part of this plan.
[01:07:53.528 --> 01:07:56.529]  We now know that at least five.
[01:07:57.861 --> 01:08:06.467]  We're either undercover agents or informants and the fifth one came out in a very spectacular fashion, by the way, which we can get into later.
[01:08:27.841 --> 01:08:29.282]  All right.
[01:08:29.302 --> 01:08:30.502]  Our guest is a smart guy.
[01:08:30.522 --> 01:08:32.344]  He's done a really good investigative report.
[01:08:32.904 --> 01:08:48.252]  He's also been exposing himself and other writers over at Revolver.News how they're creating this radical race theory, how they're taking over not just the colleges but the military, and it's just hardcore Marxist racial division.
[01:08:48.272 --> 01:08:50.854]  Instead of class envy, it's all racial division.
[01:08:50.914 --> 01:08:52.015]  It's pure poison.
[01:08:53.375 --> 01:08:55.217]  And it's extremely authoritarian.
[01:08:55.237 --> 01:08:56.999]  I mean, this is Hitler-level stuff.
[01:08:57.399 --> 01:09:02.784]  But in the name of fighting race, you then obsess over race and create real racism, real classism.
[01:09:02.844 --> 01:09:03.824]  It's cyanide.
[01:09:04.405 --> 01:09:09.089]  And it's in the WikiLeaks, you know, where Hillary's talking to this professor, and he says, we just got to have more culture war.
[01:09:09.129 --> 01:09:10.971]  That's how we're going to, you know, beat the Republicans.
[01:09:11.011 --> 01:09:14.233]  And so it's just the nastiest stuff ever.
[01:09:14.253 --> 01:09:15.314]  We're going to be talking about that.
[01:09:16.141 --> 01:09:25.008]  With our guest, Dr. Darren J. Beattie here in a moment, what really happened at the Capitol and how it's the big rollout, the big launch of the takeover, and I believe more false flags.
[01:09:25.468 --> 01:09:33.715]  But first, please remember, we're listeners supported, and we have to run our own infrastructure, our own satellite uplinks, our own encoders, our own streaming, our own bandwidth.
[01:09:33.735 --> 01:09:34.795]  We have our own network.
[01:09:34.835 --> 01:09:36.377]  Nobody else has got something to this level.
[01:09:37.321 --> 01:09:43.666]  And we reach millions of people a day, and we have on special guests that just put out stuff that is coffin nails to tyranny.
[01:09:43.706 --> 01:09:46.108]  So, thank you for your support and keep us on air.
[01:09:46.488 --> 01:09:53.353]  Please visit infowarestore.com and get a Save the Frogs t-shirt, exposing atrazine in the water and things like that to spread the word.
[01:09:53.854 --> 01:09:54.874]  Get a book, get a film.
[01:09:55.695 --> 01:09:57.477]  Three products that have been sold out are back in stock.
[01:09:57.957 --> 01:09:59.279]  X3 triiodine.
[01:09:59.359 --> 01:10:00.300]  It's essential in the body.
[01:10:00.380 --> 01:10:02.182]  All three types of good iodine.
[01:10:02.442 --> 01:10:04.524]  What it does for stamina, libido, your immune system.
[01:10:04.584 --> 01:10:05.145]  It's incredible.
[01:10:05.805 --> 01:10:10.370]  Over two billion people, the UN even says, have cognitive disabilities from lack of iodine.
[01:10:11.191 --> 01:10:14.134]  Especially important in children's neurological development.
[01:10:14.594 --> 01:10:14.974]  We've got
[01:10:16.078 --> 01:10:16.578]  We're good to go.
[01:10:37.990 --> 01:10:39.812]  Nutraceutical, pharmaceutical grade.
[01:10:40.213 --> 01:10:40.773]  We've got it.
[01:10:41.074 --> 01:10:41.755]  It's hard to get.
[01:10:41.915 --> 01:10:43.296]  It's 40% off package stock.
[01:10:43.336 --> 01:10:45.339]  And biotruth selenium from the mustard seed.
[01:10:46.020 --> 01:10:48.022]  Just incredible what it does for your energy.
[01:10:48.282 --> 01:10:48.623]  Everything.
[01:10:48.823 --> 01:10:49.764]  These are all essential.
[01:10:50.084 --> 01:10:51.206]  Infowarsstore.com.
[01:10:51.606 --> 01:10:53.909]  And the three new vitamin products we've got out.
[01:10:54.289 --> 01:10:58.770]  Because we can't keep Vitamin Refusion in stock because it's so many great organic ingredients.
[01:10:59.090 --> 01:11:03.171]  We've come out with this and it's even hard to get with the supply chain breakdowns.
[01:11:03.412 --> 01:11:05.972]  So thanks for thinking about us and keeping us on air.
[01:11:06.232 --> 01:11:12.294]  All right, going back to Dr. Darren J. Beatty at revolver.news, at Darren J. Beatty on Twitter.
[01:11:12.654 --> 01:11:14.015]  All right, I got two more segments with you.
[01:11:14.395 --> 01:11:15.435]  You've got the floor here.
[01:11:15.695 --> 01:11:25.319]  Anywhere you want to go with this, what happened then before Oklahoma City, the FBI's history of this, what you think is coming up in the future, how does Congress counter this?
[01:11:25.359 --> 01:11:26.460]  I think you alluded to that.
[01:11:27.160 --> 01:11:31.942]  We need to get on the offense with these senators and House members to call for hearings on this.
[01:11:32.262 --> 01:11:38.705]  This is a real Achilles heel for the system if we go on the offense instead of, again, arguing about what really happened.
[01:11:38.725 --> 01:11:39.405]  We know what happened.
[01:11:40.788 --> 01:11:41.008]  Right.
[01:11:41.188 --> 01:11:41.528]  Okay.
[01:11:41.548 --> 01:11:42.769]  I'd like to make three points.
[01:11:42.829 --> 01:11:47.130]  First, I'd like to complete the point about Michigan, because it really is striking.
[01:11:47.530 --> 01:11:57.273]  So in a nutshell, this Michigan plot involved a plan to storm the state capitol and involve the very same militia group imputed to 1-6.
[01:11:57.593 --> 01:12:03.315]  It was heavily infiltrated by federal operatives to a ratio of 5-18.
[01:12:05.425 --> 01:12:26.082]  And as a cherry on top, the head of the Detroit field office, the Detroit FBI field office, who oversaw the infiltration of this so-called Michigan plot, Christopher Wray, quietly, mysteriously, and suspiciously gave him a promotion just days after
[01:12:27.443 --> 01:12:34.185]  The so-called plotters were arrested for the Michigan case in October, and he got a promotion to the D.C.
[01:12:34.265 --> 01:12:41.186]  field office, where, you guessed it, he came to oversee the investigation into January 6th.
[01:12:41.206 --> 01:12:42.306]  That's a hell of a coincidence.
[01:12:42.447 --> 01:12:43.067]  Wow!
[01:12:43.567 --> 01:12:48.568]  And now they've indicted more three-percenters, so they're, like, literally going out and finding weak-minded people to manipulate.
[01:12:49.574 --> 01:12:49.814]  Right.
[01:12:49.874 --> 01:12:51.355]  It's a hell of a coincidence.
[01:12:51.675 --> 01:13:02.280]  And look, that fact pattern alone, of course, doesn't say anything definitive about 1-6, but it sure as hell aids our intuition.
[01:13:02.340 --> 01:13:07.803]  And anyone who thinks, oh, our government just doesn't do that, you don't have to go back to J. Edgar Hoover.
[01:13:08.103 --> 01:13:12.665]  Go months before with the Michigan plot that was infiltrated and incited.
[01:13:12.685 --> 01:13:18.068]  The same people, the same groups, the same plan.
[01:13:18.880 --> 01:13:20.562]  And we see it again in 1-6.
[01:13:21.082 --> 01:13:26.987]  And as for the 1-6, just so people get a sense of how we set up the argument, it's really quite simple.
[01:13:27.548 --> 01:13:41.100]  The stated standard of prosecution for 1-6 cases by an individual named Michael Sherwin, who's a real piece of work, he says we're using a shock and awe standard of prosecution.
[01:13:41.482 --> 01:13:44.323]  That's the most aggressive standard imaginable.
[01:13:44.383 --> 01:13:48.264]  He's alluding to the shock and awe campaign of the Iraq War, by the way.
[01:13:48.624 --> 01:13:58.627]  And according to this shock and awe standard, if you want to know what that looks like, I would present the case of this poor fellow called George Tanios, who's facing 60 years.
[01:13:59.107 --> 01:14:00.908]  What is he facing 60 years for?
[01:14:00.968 --> 01:14:01.948]  What did he do?
[01:14:02.468 --> 01:14:05.869]  Well, George Tanios had bear spray in his backpack.
[01:14:06.530 --> 01:14:07.450]  His friend said,
[01:14:08.436 --> 01:14:09.678]  I want to get the bear spray.
[01:14:09.738 --> 01:14:14.204]  It's time to spray some people, spray some of the Capitol officers.
[01:14:14.544 --> 01:14:16.907]  He said, no, no, not yet.
[01:14:17.708 --> 01:14:20.152]  On the basis of saying no, no, not yet.
[01:14:20.808 --> 01:14:26.090]  He's charged with conspiracy to insult Capitol Police officers and facing 60 years.
[01:14:26.530 --> 01:14:34.912]  And by the way, as a side point, the whole reason this bear spray was relevant was that you'll recall this officer Sicknick who died.
[01:14:35.232 --> 01:14:41.934]  Originally, they were saying he died because he was bludgeoned to death with a fire extinguisher by the MAGA mob.
[01:14:42.414 --> 01:14:48.096]  Then when that was exposed as false by Revolver.News, by the way, the New York Times changed the narrative.
[01:14:48.556 --> 01:14:52.197]  The second narrative that they seized upon was he died of bear spray.
[01:14:52.217 --> 01:14:53.377]  So that's why it was relevant.
[01:14:53.637 --> 01:14:55.238]  But it turns out it wasn't even that.
[01:14:55.558 --> 01:14:57.598]  That Sicknick died of natural causes.
[01:14:57.898 --> 01:15:01.539]  So this bear spray isn't even relevant to the death of Sicknick anyway.
[01:15:01.999 --> 01:15:09.881]  But this guy, Tanios, for saying no, no, not yet, when his friend reached his back to grab the bear spray, is facing 60 years.
[01:15:11.201 --> 01:15:12.902]  I think that's a horrible standard.
[01:15:12.922 --> 01:15:13.702]  That's unjust.
[01:15:13.862 --> 01:15:17.984]  Well, they're setting the precedent to arrest whoever they want, whenever they want, and disappearance.
[01:15:18.364 --> 01:15:21.546]  And that's precisely, first of all, that's outrageous.
[01:15:22.286 --> 01:15:25.648]  But that is the crux of our argument here.
[01:15:25.688 --> 01:15:35.893]  To say, if they have such an aggressive, shock and awe, standard of prosecution for this poor sandwich shop owner, George Tanios, who said, no, not yet.
