[00:00:01.025 --> 00:00:01.886]  You can feel it.
[01:25:58.925 --> 01:26:05.026]  That'll be the calls we take today ahead of Michael Young joining us from Southern Central America.
[01:26:05.046 --> 01:26:09.768]  You've got a real opportunity here to...
[01:26:11.499 --> 01:26:12.780]  We're good to go.
[01:26:34.266 --> 01:26:35.446]  If you don't, you're really missing out.
[01:27:00.871 --> 01:27:03.874]  Because you see our information is informative and cutting edge.
[01:27:04.434 --> 01:27:16.084]  Every product we've got, whether it's water filtration, gravity-fed stainless steel water filtration, portable or in your house, you name it, it's one of the highest rated systems out there at the lowest price.
[01:27:17.925 --> 01:27:18.206]  Boom.
[01:27:18.386 --> 01:27:19.647]  Infowarsstore.com.
[01:27:20.107 --> 01:27:21.108]  The Alexa Pure system.
[01:27:22.149 --> 01:27:23.650]  And their air filtration is amazing as well.
[01:27:26.853 --> 01:27:28.875]  And then we've got the supplements.
[01:27:30.734 --> 01:27:33.615]  Right now we have a big special, the Supercharged Special, even though it's selling out.
[01:27:33.975 --> 01:27:36.776]  DNA Force Plus and Real Red Pill Plus that go together so good.
[01:27:37.076 --> 01:27:39.798]  Your telomeres, your DNA, your cell health, cleaning out your blood.
[01:27:40.418 --> 01:27:45.160]  That is 50% off when you get them together, 40% off individually.
[01:27:45.180 --> 01:27:47.140]  You're like, well, why are you discounting it if you're almost sold out?
[01:27:47.240 --> 01:27:48.281]  Because we need the funds now.
[01:27:50.462 --> 01:27:51.902]  So this is a win-win situation.
[01:27:51.922 --> 01:27:53.523]  The only way we fail is if you don't take action.
[01:27:53.583 --> 01:27:54.583]  Infowarsstore.com.
[01:27:54.763 --> 01:27:56.704]  And I mentioned this earlier, but only for like 10 seconds.
[01:27:57.304 --> 01:27:58.405]  I really want you to listen to me.
[01:27:59.298 --> 01:27:59.919]  We're good to go.
[01:28:22.361 --> 01:28:29.139]  With the nano-silver patented, with the high-quality iodine, with the tea tree oil, with the peppermint pure...
[01:28:30.117 --> 01:28:31.638]  This is super strong toothpaste.
[01:28:32.218 --> 01:28:32.839]  You'll use this.
[01:28:32.879 --> 01:28:35.361]  You only need like a quarter of the amount of regular toothpaste.
[01:28:35.381 --> 01:28:36.241]  You're going to be blown away.
[01:28:36.281 --> 01:28:37.542]  People are so excited it's back.
[01:28:37.982 --> 01:28:40.424]  Limited run at drjonesnaturals.com.
[01:28:40.684 --> 01:28:47.349]  The original Super Blue and all the other great silver products you love are available there at drjonesnaturals.com.
[01:28:48.009 --> 01:28:49.490]  And it keeps this broadcast on the air.
[01:28:49.530 --> 01:28:54.233]  But you want to experience these products at drjonesnaturals.com and infowarsstore.com.
[01:28:54.253 --> 01:28:54.754]  We'll be right back.
[01:28:59.332 --> 01:29:07.555]  Cellular damage from a type of free radical known as reactive oxygen species can cause decreased cellular function.
[01:29:07.896 --> 01:29:14.758]  DNA Force Plus contains what are believed to be the most beneficial ingredients to remedy this.
[01:29:15.359 --> 01:29:19.160]  Now 40% off at InfoWarsStore.com.
[01:29:19.660 --> 01:29:23.642]  The main ingredient in the real red pill plus is pregnenolone.
[01:29:24.002 --> 01:29:27.863]  Which occurs naturally in our body, but decreases with age.
[01:29:28.343 --> 01:29:33.265]  Low levels of pregnenolone are associated with fatigue and low brain function.
[01:29:33.665 --> 01:29:41.628]  The real Red Pill Plus is also full of essential trace minerals to synergistically support optimal cognitive function.
[01:29:41.648 --> 01:29:42.868]  Now 40% off at InfoWarsStore.com.
[01:29:46.329 --> 01:29:50.892]  Get them both today at 50% off the supercharged special.
[01:29:51.473 --> 01:29:57.017]  Support your health and support the InfoWars at InfoWarsStore.com.
[01:29:59.438 --> 01:30:03.581]  You know, I sit up here and I yell and scream about the New World Order and the globalists.
[01:30:03.601 --> 01:30:07.704]  They're planning to get rid of the borders and release a virus and have a global power grab.
[01:30:07.744 --> 01:30:08.785]  And you saw it all come true.
[01:30:09.906 --> 01:30:10.646]  But there's a...
[01:30:11.767 --> 01:30:12.548]  Inverse of that.
[01:30:13.288 --> 01:30:15.970]  There's not just the bad stuff I'm telling you about.
[01:30:15.990 --> 01:30:18.272]  There's the good stuff I'm telling you about.
[01:30:19.032 --> 01:30:23.696]  And just like our information is the best you're going to find out there, our supplements are amazing.
[01:30:24.336 --> 01:30:28.079]  So our new special in the last half of January 2024 is here.
[01:30:28.599 --> 01:30:32.942]  It's Real Red Pill Plus and DNA Force Plus both 50% off.
[01:30:33.103 --> 01:30:36.185]  We're calling it the Supercharged Special.
[01:30:36.845 --> 01:30:37.285]  Take advantage now.
[01:30:37.365 --> 01:30:37.725]  InfoWarsStore.com.
[01:30:59.201 --> 01:30:59.581]  We're good to go.
[01:30:59.621 --> 01:31:00.142]  We're good to go.
[01:31:18.831 --> 01:31:19.451]  We're good to go.
[01:31:41.417 --> 01:31:49.481]  Do a deep dive, research the possibilities of colloidal silver yourself, and don't miss out on this limited-time offer of $10 off.
[01:31:49.641 --> 01:31:53.503]  Try InfoWars Life Silver Bullet Colloidal Silver today.
[01:31:53.723 --> 01:31:56.725]  Available right now at InfoWarsStore.com.
[01:31:58.906 --> 01:32:00.167]  Bodies is back.
[01:32:00.307 --> 01:32:07.354]  The ultimate turmeric product on the market has returned to InfoWarsStore.com and is now 25% off for a limited time.
[01:32:07.714 --> 01:32:12.719]  Utilized for thousands of years, turmeric is one of the most studied medicinal herbs today.
[01:32:13.100 --> 01:32:20.747]  Hundreds of peer-reviewed scientific articles are published every year on the chemistry and therapeutic potential of turmeric and its active components.
[01:32:21.047 --> 01:32:25.091]  But our super powerful extract used in bodies contains over 95% of the active ingredients in turmeric.
[01:32:43.951 --> 01:32:47.172]  No other product can compare with this curcuminoid delivery system.
[01:32:47.432 --> 01:32:51.053]  So if you want to put the true power of turmeric to the test, then look no further.
[01:32:51.273 --> 01:32:57.595]  Grab yourself a bottle today for 25% off at Infowarsstore.com and put your body at ease.
[01:33:00.535 --> 01:33:06.437]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:33:10.717 --> 01:33:11.417]  Big Brother.
[01:33:11.877 --> 01:33:13.118]  Mainstream media.
[01:33:13.678 --> 01:33:15.559]  Government cover-ups.
[01:33:15.579 --> 01:33:17.000]  You want to stop tyranny?
[01:33:17.260 --> 01:33:18.420]  Well, so does he.
[01:33:18.920 --> 01:33:23.422]  Live from the InfoWars.com studios, it's Alex Jones.
[01:33:23.822 --> 01:33:25.323]  Let's get your motor running.
[01:33:27.043 --> 01:33:28.684]  Get it on the highway.
[01:33:30.345 --> 01:33:31.885]  Looking for adventure.
[01:33:33.346 --> 01:33:35.107]  And whatever comes our way.
[01:33:44.534 --> 01:33:45.475]  All right.
[01:33:45.495 --> 01:33:54.602]  I'm about to go right to your phone calls for the rest of the hour.
[01:33:54.642 --> 01:33:57.884]  Michael Young with massive, biggest news yet on the border.
[01:33:57.904 --> 01:33:59.105]  It just gets more insane.
[01:33:59.125 --> 01:34:01.267]  Because the world gets more insane every day.
[01:34:02.591 --> 01:34:03.151]  Alex Jones Show!
[01:34:03.171 --> 01:34:03.672]  We're good to go.
[01:34:31.172 --> 01:34:31.732]  We're good to go.
[01:34:32.513 --> 01:34:33.233]  We're good to go.
[01:34:57.432 --> 01:34:59.395]  So I'm still on a bunch of radio stations.
[01:34:59.415 --> 01:35:05.883]  So when they deplatformed me five years ago off of everything but InfoWars.com, we stayed on air barely.
[01:35:08.305 --> 01:35:33.924]  Because I sold my savings and everything I had as backup, wasn't that much, and we were on a lot of radio stations, and then we could tell people where to find us on those to spread the word, so the talk radio listeners told their friends and family around the country and the world, tune in to the Forbidden Show at InfoWars.com, so we got over a million people tuning in on the internet, at least a day there, and then people shared the clips to five or six million off of that.
[01:35:35.245 --> 01:35:36.526]  That's a conservative guesstimation.
[01:35:37.853 --> 01:35:38.293]  We're good to go.
[01:36:01.678 --> 01:36:07.519]  So, now we're back, thanks to X, conservatively reaching 10 million extra people a day.
[01:36:07.979 --> 01:36:11.500]  On top of the 5 million or so we reach over Infowars.com and radio stations.
[01:36:11.900 --> 01:36:13.560]  Those are very conservative numbers, all right?
[01:36:15.681 --> 01:36:16.861]  We're reaching about 20 million a day.
[01:36:18.441 --> 01:36:19.641]  And I see it everywhere.
[01:36:19.742 --> 01:36:20.822]  Man, why are there ads?
[01:36:20.922 --> 01:36:24.222]  Because I'm on the traditional media.
[01:36:25.043 --> 01:36:25.863]  This is a show.
[01:36:25.903 --> 01:36:27.143]  Now, what have I done?
[01:36:28.686 --> 01:36:31.528]  I've been skipping almost all the network breaks.
[01:36:33.429 --> 01:36:37.371]  And the network breaks are at 15 after and 45 after.
[01:36:38.111 --> 01:36:44.735]  All the other breaks at the middle of the hour and at the start of the hour, those are local stations.
[01:36:44.755 --> 01:36:47.476]  We're not getting rid of those because they've got to pay their bills.
[01:36:48.817 --> 01:36:52.039]  That's how they pay for the tower and their crew and their people.
[01:36:53.339 --> 01:36:56.261]  So I have basically phased out
[01:36:57.415 --> 01:36:57.915]  We're good to go.
[01:36:57.955 --> 01:36:58.656]  We're good to go.
[01:36:58.676 --> 01:36:59.036]  We're good to go.
[01:37:22.711 --> 01:37:23.051]  I don't know.
[01:37:49.158 --> 01:37:49.578]  We're good to go.
[01:37:49.618 --> 01:37:49.878]  I think?
[01:38:14.544 --> 01:38:16.085]  But it's been one hell of a fight.
[01:38:16.185 --> 01:38:23.890]  So, yeah, I do intend, and I've been doing some of it, to do commercial-free podcast.
[01:38:25.311 --> 01:38:32.015]  I'm just so busy running around trying to find money to fund this thing that I spent half my time trying to raise funds.
[01:38:33.075 --> 01:38:39.582]  So, I want to get in a position where there's plenty of money so I can do the special podcasts, the special interviews with no commercials.
[01:38:39.622 --> 01:38:40.523]  And I've been doing a lot of those.
[01:38:40.824 --> 01:38:41.424]  At least one a week.
[01:38:41.444 --> 01:38:42.746]  But I want to do them like five days a week.
[01:38:43.406 --> 01:38:43.987]  I'm trying.
[01:38:44.047 --> 01:38:45.188]  I'm trying to do the show with Crowder.
[01:38:45.208 --> 01:38:46.150]  I'm trying here, folks.
[01:38:46.770 --> 01:38:48.352]  And I've got more interviews than I can ever do.
[01:38:48.472 --> 01:38:50.534]  I'm busier than a one-legged man in an ass-kicking contest.
[01:38:51.560 --> 01:38:52.941]  And I get pissed at myself sometimes.
[01:38:53.001 --> 01:38:58.503]  It's like 9 at night, an interview's set, and I've got to call the interviewer up and say, I know you're a big show.
[01:38:58.683 --> 01:38:59.503]  I can barely talk.
[01:38:59.663 --> 01:39:00.364]  I just can't do it.
[01:39:00.864 --> 01:39:01.864]  I used to have unlimited energy.
[01:39:01.944 --> 01:39:02.484]  I'm older now.
[01:39:03.645 --> 01:39:08.707]  That's why I look at Trump at 77, 78, and they'll show footage of him at 3 a.m.
[01:39:08.787 --> 01:39:09.287]  coming in.
[01:39:09.647 --> 01:39:12.328]  He sleeps two hours, and then they go, oh, look, he's dragging his feet.
[01:39:13.809 --> 01:39:16.510]  I told Roger Stone last night, we need to cut that out.
[01:39:17.347 --> 01:39:21.370]  I mean, when I was 25, 30 years old, I could work 18 hours a day for weeks on end.
[01:39:22.331 --> 01:39:23.652]  Trump's Superman, folks.
[01:39:23.672 --> 01:39:25.153]  Just because of that, my respect for him.
[01:39:25.354 --> 01:39:27.936]  So I've been watching his schedule.
[01:39:27.956 --> 01:39:28.696]  20-hour days?
[01:39:28.716 --> 01:39:32.759]  I mean, this is Conan the Barbarian stuff.
[01:39:33.020 --> 01:39:34.060]  This is Superman stuff.
[01:39:35.123 --> 01:39:36.844]  And it's not smart.
[01:39:37.445 --> 01:39:40.407]  Trump's biggest enemy is himself, and he needs to put the brakes on.
[01:39:40.887 --> 01:39:41.567]  And I've learned how.
[01:39:41.687 --> 01:39:50.673]  I have some interviews set up at midnight on some huge show, international show, and most of the time I just say, I'm not doing it because I just can't.
