[00:00:00.009 --> 00:00:01.510]  ["Pomp and Circumstance"]
[01:24:29.770 --> 01:24:31.732]  We're going to have a mobile billboard.
[01:24:31.852 --> 01:24:33.894]  I've got two video crews with me.
[01:24:35.195 --> 01:24:38.317]  And I'm guessing probably about 50 activists.
[01:24:38.878 --> 01:24:45.904]  And so, we're going to bring as much attention... And by the way, that's what's scaring the establishment, is the human potential that's being unleashed, man.
[01:24:46.304 --> 01:24:47.666]  This wave has not even begun.
[01:24:50.799 --> 01:24:54.362]  Well, and Alex, I just want to tell you, man, like, we stand with you.
[01:24:54.923 --> 01:24:59.426]  Like, continue to fight, continue to speak out, and continue to keep your eye on the prize.
[01:24:59.886 --> 01:25:09.734]  All of this bullshit, all this internal bullshit, it's all designed to knock you off course and to stop providing people with the voice that you've provided us for decades.
[01:25:10.214 --> 01:25:12.015]  And so, we stand with you.
[01:25:12.055 --> 01:25:14.636]  We will continue to fight for you and amplify.
[01:25:14.756 --> 01:25:19.278]  If there's anything that we can do, you just have to ask and we will rally for you.
[01:25:19.298 --> 01:25:19.799]  Well, I appreciate you.
[01:25:19.819 --> 01:25:24.161]  Just take this live feed of Real Alex Jones right now and repost it because I'm putting it all on the line here.
[01:25:24.201 --> 01:25:24.961]  I love this crew.
[01:25:24.981 --> 01:25:25.861]  I love this operation.
[01:25:25.901 --> 01:25:26.742]  I don't want to restart.
[01:25:27.402 --> 01:25:28.943]  But I can't not back down.
[01:25:29.003 --> 01:25:30.504]  These people are like cowards.
[01:25:30.544 --> 01:25:32.405]  They're just so pathetic.
[01:25:32.445 --> 01:25:33.386]  They think we're stupid.
[01:25:33.846 --> 01:25:35.187]  And I don't know what their problem is.
[01:25:35.227 --> 01:25:36.067]  They just don't stop.
[01:25:37.148 --> 01:25:38.329]  They're like minions.
[01:25:38.349 --> 01:25:39.129]  They love the system.
[01:25:39.169 --> 01:25:39.789]  Thank you so much.
[01:25:40.790 --> 01:25:45.213]  Who else is up next?
[01:25:45.233 --> 01:25:46.353]  This could be the last broadcast.
[01:25:46.413 --> 01:25:50.096]  I mean, they're literally... Last night and tonight, they're like, we're going to shut it down.
[01:25:50.116 --> 01:25:51.036]  We're going to padlock it.
[01:25:51.056 --> 01:25:53.177]  And their own lawyers are like, we can't do that legally.
[01:25:53.638 --> 01:25:54.558]  But it's all going to go down.
[01:25:54.898 --> 01:25:55.639]  It's all happening right now.
[01:25:57.631 --> 01:26:00.773]  Yeah, but we're not going to let that happen.
[01:26:00.813 --> 01:26:02.855]  We have a lot of people here supporting you, Alex.
[01:26:02.875 --> 01:26:13.803]  You have other big creators that are benefiting from the freedom of speech that X in particular gives, and Rumble and such, and somebody like Diligent Denizen, who we have up here on stage as well.
[01:26:13.883 --> 01:26:14.504]  Diligent, jump in.
[01:26:15.896 --> 01:26:16.356]  Yeah, man.
[01:26:16.436 --> 01:26:21.118]  I think that what we saw was the flag, right?
[01:26:21.158 --> 01:26:28.380]  The go flag for them to start implementing all of the levers of power against dissent that they have.
[01:26:28.560 --> 01:26:29.120]  Exactly.
[01:26:29.140 --> 01:26:31.281]  The enemy assault has begun.
[01:26:31.301 --> 01:26:33.521]  They've been given green light.
[01:26:33.641 --> 01:26:34.442]  Attack.
[01:26:34.722 --> 01:26:35.342]  You're dead on.
[01:26:35.382 --> 01:26:35.622]  Go ahead.
[01:26:37.313 --> 01:26:37.833]  Yeah, yeah.
[01:26:37.853 --> 01:26:44.736]  As soon as Donald Trump was convicted and they said, OK, you know, there's not people... By the way, that's all over the news today.
[01:26:44.776 --> 01:26:46.817]  They say we're going to outlaw Trump supporters.
[01:26:47.157 --> 01:26:48.698]  That's in the news everywhere.
[01:26:48.918 --> 01:26:50.259]  We're going to outlaw them now.
[01:26:50.379 --> 01:26:51.939]  It's about you're convicted.
[01:26:52.019 --> 01:26:52.740]  You're a criminal.
[01:26:52.960 --> 01:26:53.300]  Yeah.
[01:26:53.340 --> 01:26:57.742]  And by the way, this is the trend that we've gone through here at Infowars over the years where...
[01:26:58.382 --> 01:27:02.426]  It's like if somebody sues Alex or somebody sues Infowars, it becomes like chum in the water.
[01:27:02.867 --> 01:27:04.929]  And unfortunately, I get mixed up in this crap too.
[01:27:05.310 --> 01:27:09.514]  So it's like somebody will sue Infowars, somebody sue Alex, and then there'll be like four or five other lawsuits that show up.
[01:27:09.794 --> 01:27:11.797]  And it's mostly just frivolous that gets tossed out.
[01:27:12.097 --> 01:27:13.578]  But it's like, it's like chum in the water.
[01:27:13.618 --> 01:27:14.780]  So it's like, oh, we got Trump.
[01:27:14.800 --> 01:27:16.141]  That's like the chum in the water.
[01:27:16.181 --> 01:27:18.544]  And now it's like, oh, okay, everybody, everybody hop on.
[01:27:18.584 --> 01:27:19.705]  Everybody do what you got to do.
[01:27:19.745 --> 01:27:20.266]  Do your evil.
[01:27:20.786 --> 01:27:24.250]  Look, they're trying to get Samuel Alito forcibly recused.
[01:27:24.270 --> 01:27:33.900]  Jamie Raskin said the DOJ should force Supreme Court Justices Thomas and Alito to recuse themselves in Alito's case because he flew a flag that George Washington once flew.
[01:27:34.100 --> 01:27:36.663]  It was at the San Francisco City Hall and it's flown everywhere.
[01:27:36.843 --> 01:27:37.744]  It is totally normal.
[01:27:37.844 --> 01:27:39.504]  I mean, they are setting the groundwork.
[01:27:39.524 --> 01:27:42.506]  But that's the executive trying to take over the judicial.
[01:27:42.746 --> 01:27:43.387]  That's a coup!
[01:27:43.627 --> 01:27:44.067]  Sorry, go ahead.
[01:27:44.207 --> 01:27:46.268]  No, it's the destruction of the three branches of government.
[01:27:46.588 --> 01:27:48.709]  The checks and balances are basically abolished at this point.
[01:27:49.030 --> 01:27:54.032]  The DOJ and the executive branch operates completely without congressional oversight.
[01:27:54.072 --> 01:27:58.355]  The FBI, the CIA, the Congress will demand something from them, they refuse it, nothing's done.
[01:27:58.395 --> 01:28:00.896]  That means our representatives don't have any power.
[01:28:00.936 --> 01:28:02.757]  That means we aren't able to vote for people.
[01:28:02.777 --> 01:28:04.458]  But the good news is, it's out of the open now.
[01:28:04.958 --> 01:28:16.661]  We've drugged the CIA out, and I'm glad you bring up the CIA, because that's another issue we have in Congress, where they get up and they have these hearings with the FBI or the CIA, and it's like they've somehow forgotten their role here.
[01:28:17.101 --> 01:28:19.722]  The CIA, the FBI, they are under you!
[01:28:20.242 --> 01:28:21.883]  They are under you!
[01:28:22.223 --> 01:28:23.063]  You run the show!
[01:28:23.123 --> 01:28:26.324]  And there's just like this weird thing of, oh no, the FBI runs the D.C.
[01:28:26.404 --> 01:28:26.964]  government now.
[01:28:27.064 --> 01:28:28.624]  Oh no, the CIA runs the government now.
[01:28:28.864 --> 01:28:30.725]  That's not the correct flow of power.
[01:28:31.451 --> 01:28:34.574]  That is the actual... On CNN they're like, don't worry, the CIA runs things.
[01:28:34.934 --> 01:28:40.278]  So they've gone from denying it to like, don't worry, the CIA... New York Times, it turns out the Deep State exists and it's great!
[01:28:40.458 --> 01:28:41.599]  It's full of patriots.
[01:28:42.480 --> 01:28:42.880]  It's absurd.
[01:28:43.701 --> 01:28:44.221]  That's what they say.
[01:28:44.662 --> 01:28:46.143]  But the good news is we forced them out of the oven.
[01:28:47.022 --> 01:28:47.882]  Well, and that's the process.
[01:28:48.142 --> 01:28:51.023]  Obviously, it's not new that the spy state has been running things.
[01:28:51.043 --> 01:28:52.144]  They've been doing it for decades.
[01:28:52.564 --> 01:28:53.324]  That's the process.
[01:28:53.344 --> 01:28:54.785]  They want everybody to get used to that.
[01:28:54.825 --> 01:28:58.906]  They want everybody to acknowledge that, hey, this whole democracy thing, it doesn't work out.
[01:28:58.946 --> 01:29:00.187]  We got Joe Biden as a result.
[01:29:00.227 --> 01:29:03.468]  And they don't want to give us vacations and swimming pools and freedom.
[01:29:03.928 --> 01:29:05.608]  They want to cut our son's dicks off.
[01:29:06.229 --> 01:29:08.069]  It's like, dude, no, man, we're not with you.
[01:29:09.550 --> 01:29:09.990]  It's obscene.
[01:29:11.170 --> 01:29:13.611]  Well, they want to cut their own children's wee-wees off.
[01:29:13.651 --> 01:29:15.912]  But, you know, this is a realization I've had, too, because
[01:29:16.348 --> 01:29:23.938]  It's kind of been a conservative talking point recently that, oh, well, conservatives will procreate and we'll inherit the earth and our children will inherit the earth.
[01:29:24.239 --> 01:29:25.440]  We're two decades behind.
[01:29:25.741 --> 01:29:28.945]  The liberals conquered the education system 20 years ago.
[01:29:29.225 --> 01:29:30.927]  They're indoctrinating your kids.
[01:29:31.508 --> 01:29:32.949]  So they already got out ahead of you.
[01:29:32.989 --> 01:29:34.209]  You're just realizing it now.
[01:29:34.349 --> 01:29:34.789]  Oh, wow.
[01:29:35.249 --> 01:29:38.010]  You know, well, we got to have kids and we got to not send them to the public schools.
[01:29:38.290 --> 01:29:39.571]  They've indoctrinated the kids.
[01:29:39.811 --> 01:29:41.612]  Look at what happened to these college students.
[01:29:41.692 --> 01:29:43.592]  Look at what happens now to the younger grade.
[01:29:43.652 --> 01:29:46.653]  So there's been a kind of an awakening with that too.
[01:29:46.793 --> 01:29:52.615]  Yeah, stop over accentuating our victories and realize we are gaining, but we're still down.
[01:29:54.616 --> 01:29:55.636]  There's that famous video.
[01:29:56.036 --> 01:29:58.057]  Yeah, the choir of San Francisco.
[01:29:58.077 --> 01:29:59.198]  We're going to indoctrinate your kids.
[01:29:59.218 --> 01:29:59.958]  We're going to screw them.
[01:30:00.888 --> 01:30:03.313]  Um, let's uh, who's the next person?
[01:30:04.735 --> 01:30:08.101]  Alright, let's go next to, um, let's give Bill Elmore the floor.
[01:30:08.181 --> 01:30:09.123]  I always love hearing from Bill.
[01:30:09.143 --> 01:30:10.946]  Bill's a major host as well.
[01:30:11.047 --> 01:30:11.948]  Bill, what do you have to say?
[01:30:11.968 --> 01:30:12.690]  Go ahead and unmute yourself.
[01:30:14.471 --> 01:30:14.871]  Thank you.
[01:30:15.331 --> 01:30:16.852]  There's no way they're going to shut you down.
[01:30:17.032 --> 01:30:21.915]  I mean, they may shut this down, but you've got so many folks here on X on Rumble.
[01:30:22.435 --> 01:30:29.638]  You know, we we will all broadcast, we'll host, we'll co-host, you know, until you find your next, you know, whatever it is.
[01:30:30.099 --> 01:30:31.820]  There's no way they're going to shut you down.
[01:30:32.120 --> 01:30:32.820]  They're trying to hide.
[01:30:33.180 --> 01:30:36.562]  And I'll just echo a diligent said right there to come in the water.
[01:30:37.262 --> 01:30:39.323]  And they're doing so many things in the background.
[01:30:39.343 --> 01:30:40.324]  It's like the news cycle is
[01:30:42.637 --> 01:30:50.183]  The World Health Organization is approving IHR to give away our sovereignty for our healthcare.
[01:30:50.283 --> 01:30:52.405]  All this stuff's happening at the same time.
[01:30:52.786 --> 01:31:02.514]  They're firing on all cannons and we've got to stand up and we've got to say, hell no, we're not going to comply, we're not going to put up with it, and we're definitely not going to be shut up.
[01:31:04.068 --> 01:31:04.588]  No, I agree.
[01:31:04.628 --> 01:31:06.369]  As long as we join the fight, we're going to win.
[01:31:06.649 --> 01:31:16.933]  Well, the World Health Organization actually took a major loss and they're kind of having to re-scramble the deck now because they did not get approval for their global pandemic treaty.
[01:31:16.953 --> 01:31:17.753]  They totally failed.
[01:31:17.793 --> 01:31:19.654]  And Tedros has egg on his face now.
[01:31:20.074 --> 01:31:21.474]  So they're trying to re-scramble the deck.
[01:31:21.494 --> 01:31:24.695]  I don't know if there's been some other new development since the... Well, they're going to try to bring it back.
