[00:00:04.685 --> 00:00:07.868]  On FISA, there are a couple of amendments that are being considered.
[01:08:57.352 --> 01:08:57.672]  Really?
[01:08:58.333 --> 01:09:01.538]  So you're literally here just to kill half the population and leave?
[01:09:02.179 --> 01:09:03.822]  Yeah, I guess so.
[01:09:04.163 --> 01:09:07.187]  Well crap, you're not even close to the most evil thing on this planet.
[01:09:07.668 --> 01:09:08.449]  What do you mean?
[01:09:08.990 --> 01:09:10.974]  Well, it all started with...
[01:09:13.905 --> 01:09:36.041]  So, in other words, for over a century, planet Earth has been secretly ruled by a bloodthirsty cabal of Satan-worshipping pedophiles who engineer diseases to kill us, manipulate our money supply for their own profit, contaminate our food and water, propagandize us 24-7, and rig our elections, all to make way for the Grandmaster Plan to wipe out the vast majority of the population and enslave the rest of us in an inescapable social credit caste system in which the surf class subsists off bugs and synthetic meat while the elites eat steak and hunt us for support.
[01:09:37.002 --> 01:09:40.765]  So, when you put it that way, I guess I'm not even needed here anymore.
[01:09:50.356 --> 01:09:53.658]  Now the people are awake and resisting and it's growing quickly.
[01:09:54.439 --> 01:09:59.142]  Humanity won't be as easy to destroy as Satan believes.
[01:10:01.083 --> 01:10:03.845]  But many will die in the process of victory.
[01:10:06.707 --> 01:10:08.528]  Key Report at Infowars.com.
[01:10:08.769 --> 01:10:09.529]  Might want to share it.
[01:10:09.589 --> 01:10:11.551]  Might want to fight back or roll over and die.
[01:10:11.591 --> 01:10:12.171]  It's your choice.
[01:10:12.691 --> 01:10:14.833]  Warning to America!
[01:10:15.093 --> 01:10:15.913]  25 ways the U.S.
[01:10:15.974 --> 01:10:16.934]  is being destroyed.
[01:10:16.954 --> 01:10:19.296]  Whole world's being destroyed, but...
[01:10:20.686 --> 01:10:25.909]  I think of Yuri Bezmenov, the famous on-record high-level KGB defector.
[01:10:25.929 --> 01:10:28.950]  There's hours of him talking to G. Edward Griffin and others.
[01:10:28.970 --> 01:10:31.692]  We ought to do a whole special soon just to air hours of it and analyze it.
[01:10:32.392 --> 01:10:33.093]  There he is back in the 80s.
[01:10:34.580 --> 01:10:37.341]  Explaining the Soviet style of demoralizing people and breaking them down.
[01:10:37.361 --> 01:10:41.423]  But you look at the modern one, oh, it's way more sophisticated and more fancy.
[01:10:41.824 --> 01:10:54.450]  But if you're aware of all these tactics and see it and warn others and don't comply and are a light in the darkness, people will listen to you and we will exponentially refuse this system and reject this system.
[01:10:57.657 --> 01:11:05.582]  But you've got to understand it's all being rolled out, not for your convenience, but it's like a mousetrap with a little piece of cheese on it or a hook.
[01:11:05.923 --> 01:11:09.965]  You put a worm or a minnow on to catch a bash, and you're the bash.
[01:11:12.687 --> 01:11:21.213]  Now, nowhere is this illustrated better than the fact that Biden gave six billion dollars to Iran,
[01:11:22.287 --> 01:11:29.648]  And just one payment, 29 days before they launched their operation into Israel via Hamas.
[01:11:29.728 --> 01:11:36.370]  And Iran has since bragged, and I've got a stack of articles on that, that they did the training of the troops and did it.
[01:11:36.390 --> 01:11:40.911]  And then when I posted a video about that, I saw, oh, you're for Israel, damn you, Iran, nobody did anything wrong.
[01:11:41.771 --> 01:11:44.531]  You don't even know who the players are that Iran uses proxy armies?
[01:11:44.571 --> 01:11:46.372]  I'm not defending some of the things Israel's done.
[01:11:47.012 --> 01:11:48.072]  I'm stating facts there.
[01:11:49.045 --> 01:11:57.012]  And I don't like the Islamists teamed up with the left and the universities and them trying to block people going to the schools and trying to take them over.
[01:11:57.052 --> 01:12:02.777]  They have a right to protest but not have encampments and block the way to people and they don't have a right to attack police.
[01:12:03.417 --> 01:12:12.385]  But the larger issue is they're trying to create a clash of civilizations and that's why the State Department and the federal government is bringing in all these radicals and all these Islamists.
[01:12:12.785 --> 01:12:13.626]  It's why the U.S.
[01:12:13.666 --> 01:12:16.489]  military is building a giant pier
[01:12:18.098 --> 01:12:31.140]  In Gaza, so that when Israel forces everyone out, which they've announced it's imminent, Israel says it's posed to move into Rafah any day now, they're coming here!
[01:12:31.820 --> 01:12:32.821]  And they're coming to Europe!
[01:12:33.781 --> 01:12:46.103]  So see, the larger dialectic, I put out an ex-post last night, simply pointing this out, and showing, you know, Iranians and others admitting it, and people said, oh, well that's someone captured by the Israelis, don't believe them!
[01:12:47.173 --> 01:12:51.576]  I have a stack of articles here where Iran is bragging about it, and I'll show them to you.
[01:12:52.036 --> 01:12:53.197]  You're like, well, that's U.S.
[01:12:53.217 --> 01:12:53.497]  media.
[01:12:53.557 --> 01:12:53.737]  No!
[01:12:53.757 --> 01:12:55.658]  Iranian news!
[01:12:57.259 --> 01:12:58.760]  They said, you killed Soleimani.
[01:12:58.820 --> 01:13:00.181]  That's why we trained and did this.
[01:13:02.183 --> 01:13:03.784]  Just admit that that's going on.
[01:13:07.206 --> 01:13:07.526]  Okay?
[01:13:07.686 --> 01:13:12.029]  So, it's a clash of civilizations going on.
[01:13:13.260 --> 01:13:26.231]  So for those of you saying, oh, all the Islamic protesters are great, I don't think cameramen that the police shoved into another cop at UT this week, Owen was down there, Owen Schroer, I don't think that cameraman deserved to be arrested and roughed up.
[01:13:29.414 --> 01:13:34.518]  But also, I don't like the Islamists going in and taking over the schools and businesses and beating people up.
[01:13:36.224 --> 01:13:38.445]  And checking people's IDs to see if they have a Jewish last name.
[01:13:38.505 --> 01:13:39.445]  That's terrible too.
[01:13:39.806 --> 01:13:44.167]  You can have a tribal war going on, and both sides can be wrong.
[01:13:45.568 --> 01:13:48.149]  That's more common than one side being good, one side being bad.
[01:13:48.589 --> 01:13:55.452]  But it's an existential crisis, and it's admitted that George Soros and the State Department are funding it.
[01:13:55.912 --> 01:14:02.675]  Headline, George Soros is paying student radicals who are fueling nationwide explosion of Israel-hating protests.
[01:14:04.599 --> 01:14:05.959]  You see, because it's a dialect.
[01:14:07.100 --> 01:14:08.820]  It's problem, reaction, solution.
[01:14:12.221 --> 01:14:18.263]  Wild video of NYU protesters chasing and surrounding NYPD shows how out of control things are getting.
[01:14:20.163 --> 01:14:22.604]  Pro-Amos students have taken over DC campuses.
[01:14:23.804 --> 01:14:27.645]  And I've got the videos where they're saying we're going to kill all the Jews and kill all Israel supporters.
[01:14:28.125 --> 01:14:29.646]  No one who supports Israel deserves to live.
[01:14:29.666 --> 01:14:30.266]  You want to see the video?
[01:14:31.940 --> 01:14:39.685]  Iran-backed militias incite the raging pro-Hamas protest at universities and chant, Death to America.
[01:14:41.467 --> 01:14:45.750]  Police deploy tasers, rubber bullets, and tear gas against protesters at Emory University.
[01:14:47.911 --> 01:14:52.494]  Pro-Hamas protester who suggested murdering Jews responds, claims he's being victimized.
[01:14:53.435 --> 01:14:53.815]  Shocking!
[01:14:53.835 --> 01:14:57.738]  Pro-Hamas protest leader suggests murdering Jews while negotiating with Columbia officials.
[01:15:00.302 --> 01:15:01.282]  Pearl Hamas U.S.
[01:15:01.302 --> 01:15:05.003]  students lose the plot as Iran rap artist faces death sentence.
[01:15:09.664 --> 01:15:12.944]  Panic as automatic sprinklers soak Harvard anti-Israel encampment.
[01:15:12.964 --> 01:15:14.145]  They thought it was a police attack.
[01:15:14.165 --> 01:15:15.865]  They don't know what automatic sprinklers are.
[01:15:18.905 --> 01:15:22.146]  And it goes on and on and on.
[01:15:23.746 --> 01:15:26.887]  So, again, this is all part of the larger
[01:15:28.820 --> 01:15:33.462]  Destabilization operation that is unfolding.
[01:15:33.502 --> 01:15:39.224]  Now, I mentioned Israel and how both sides are being funded.
[01:15:39.604 --> 01:15:42.105]  And people said, oh, both sides aren't being funded.
[01:15:42.346 --> 01:15:54.530]  OK, 22 billion or 23 billion to Israel, 62 billion to Ukraine, 9 billion to Gaza, which is run by Hamas.
[01:15:54.591 --> 01:15:55.531]  They are the government there.
[01:15:57.853 --> 01:16:08.161]  So, that is funding both sides, to keep the whole thing going, and a big floating bridge is being built to bring them to the West.
[01:16:10.842 --> 01:16:14.005]  Israel says it's poised to move on Rafa, Reuters.
[01:16:14.965 --> 01:16:26.614]  They say they're ready, they could move tomorrow or within the next month, but that they are preparing a tent city miles away to move the people to, but then they just keep moving and moving them, and then they admit the plan is to finally move them,
[01:16:27.995 --> 01:16:33.021]  I mean, they've interrogated people and Lord knows what, inside the quote, refugee camp.
[01:16:37.426 --> 01:16:44.775]  And then whoever's not dragged away to some Israeli dungeon, including children, will be brought here.
[01:16:45.436 --> 01:16:46.097]  And they're pissed off.
[01:16:48.311 --> 01:16:48.431]  U.S.
[01:16:48.471 --> 01:16:54.336]  military begins construction of pier off Gaza for complex and dangerous aid delivery mission, CNN.
[01:16:54.637 --> 01:17:03.524]  But it came out a month ago, State Department and Israeli documents, that the pier is going to bring them to Europe and the United States.
[01:17:04.705 --> 01:17:06.407]  And Netanyahu's already proposed it.
[01:17:06.747 --> 01:17:08.749]  They're so dangerous they can't stay there.
[01:17:09.827 --> 01:17:11.247]  But we should take them.
[01:17:11.608 --> 01:17:17.929]  And again, people that are totally pro-Islam will take clips out of context and say, I'm being pro-Israel.
[01:17:18.250 --> 01:17:25.992]  And people that are totally pro-Israel will take clips out of context about what the West is funding and the larger dialectic and say, I'm against Israel.
[01:17:26.032 --> 01:17:29.233]  No, I am trying to fairly talk about the real picture here.
[01:17:30.413 --> 01:17:35.097]  And people need to understand that there's a larger manipulation going on, and it needs to stop.
[01:17:35.137 --> 01:17:44.583]  And as Senator Paul has said, all the funding should be cut off to Ukraine, Israel, Hamas, all of them, because that is what is helping continue this on and on.
[01:17:45.264 --> 01:17:52.029]  Palestinian rescuers find signs of organ harvesting in Khan Younis mass graves.
[01:17:52.729 --> 01:17:57.473]  Israel has been caught killing people and selling their organs, and it's gone in Ukraine as well.
[01:17:59.600 --> 01:18:03.901]  Now, here's what I mentioned in that post last night.
[01:18:03.921 --> 01:18:06.142]  I'd say a third of the posters were like, no, you're making it up.
[01:18:06.242 --> 01:18:07.282]  Iran's done nothing.
[01:18:07.302 --> 01:18:08.303]  They've never attacked anybody.
[01:18:10.583 --> 01:18:12.564]  You can go to Press TV, and we have.
[01:18:12.624 --> 01:18:15.845]  That's the official Iranian English global channel.
[01:18:17.045 --> 01:18:22.687]  RT is the Russian English channel, and Al Jazeera is the main Middle Eastern one in English.
[01:18:23.487 --> 01:18:28.989]  Iran's Revolutionary Guard, October 7th attack, and Israel's response to the assassination of Soleimani.
[01:18:30.106 --> 01:18:30.606]  Overhead shot.
[01:18:30.626 --> 01:18:32.027]  I want to show people these articles, please.
[01:18:34.387 --> 01:18:35.168]  Okay, so see that?
[01:18:35.668 --> 01:18:36.728]  And that's on press TV.
[01:18:37.288 --> 01:18:41.890]  Iran's general killed in Israeli strikes was architect of October 7th.
[01:18:43.830 --> 01:18:46.371]  Iran helped plot attack on Israel over several weeks.
[01:18:48.151 --> 01:18:54.213]  Iran and Hamas argue over credit for October 7th terror attacks, looking to wash blood away with blood.
[01:18:56.114 --> 01:18:59.395]  Hamas says attacks on Israel were backed by Iran.
[01:19:00.549 --> 01:19:03.692]  And that was a spokesperson for Hamas, the main spokesperson, Wall Street Journal.
[01:19:04.293 --> 01:19:07.255]  Hamas fighters trained in Iran before October 7th attacks.
[01:19:10.338 --> 01:19:11.339]  And here's what I posted.
[01:19:11.419 --> 01:19:15.903]  They were interviewing, interrogating one of the commanders they caught.
[01:19:15.923 --> 01:19:16.524]  He was admitting it.
[01:19:16.564 --> 01:19:19.867]  Well, I mean, I don't just believe what the Israelis say or our government or anybody else.
[01:19:19.987 --> 01:19:22.430]  I know that's already a fact because the Iranians
[01:19:23.951 --> 01:19:39.159]  I bragged about it, and if you go to the October 7th Saturday broadcast I did, everybody said, oh, you're wrong, don't say Hamas backed, or Hezbollah backed Hamas invades Israel, takes hostages, that was the headline.
[01:19:40.180 --> 01:19:43.982]  I said, hey, this is Hezbollah funding, training.
[01:19:44.242 --> 01:19:52.607]  I was just pointing out a fact, and of course, a month later, the Mullahs come out and said, yes, we did it, and we'll do it again, and Netanyahu's wrong.
[01:19:53.817 --> 01:19:57.898]  The main threat is not us hitting you with nukes, it's us attacking you from all three sides.
[01:19:58.958 --> 01:20:00.658]  Gaza, Lebanon, West Bank.
[01:20:01.559 --> 01:20:15.101]  And now Iran has launched missiles to show Israel they can hit them from Iran proper with high-tech ballistic missiles with MIRV technology that carry plastic explosives, but they can put atomic bombs on there and they have them.
