[00:00:04.646 --> 00:00:05.011]  What the fuck?
[01:26:54.554 --> 01:26:58.037]  But just a year into this trade war, that yeah, we're gonna have some pain.
[01:26:58.737 --> 01:26:59.838]  That's the cost of being free.
[01:27:00.619 --> 01:27:04.001]  At least the cost of at least living on our knees instead of our bellies.
[01:27:04.062 --> 01:27:06.764]  I mean, Trump's just trying to get us off our bellies right now.
[01:27:07.484 --> 01:27:09.406]  Gotta learn to crawl first, right?
[01:27:09.426 --> 01:27:10.106]  Before we walk.
[01:27:12.108 --> 01:27:15.951]  But just that climate already has it all flooding back to
[01:27:17.113 --> 01:27:25.214]  The United States and other countries, which have better standards of living, which pay people 10, 15 times what a Chinese slave laborer is paid.
[01:27:26.575 --> 01:27:27.895]  But we have to invest in America.
[01:27:27.915 --> 01:27:28.975]  We have to invest in the West.
[01:27:32.136 --> 01:27:36.276]  We have to invest in ourselves, just like you have to invest in this broadcast, and I thank you for doing so.
[01:27:37.897 --> 01:27:45.818]  But where are you going to find an operation or a company or a news organization that's had this big a devastating attacks on the globalist?
[01:27:47.025 --> 01:27:49.446]  That's why they attack us so people go, oh, that's too controversial.
[01:27:49.726 --> 01:27:55.008]  We better not repeat what he says, because what we're saying is the truth and it's successful in the fight against them.
[01:27:55.949 --> 01:28:09.514]  So we have the Memorial Day special running with the biggest specials ever on some products, like MycoZX, the next level probiotic that knocks out the mold, Candida, all that other garbage that's so critical right now.
[01:28:11.528 --> 01:28:11.768]  60% off.
[01:28:12.148 --> 01:28:14.249]  Extend-A-Wise for your heart and cardiovascular system.
[01:28:14.349 --> 01:28:16.169]  All the key herbs and compounds known for that.
[01:28:16.589 --> 01:28:17.250]  Super strong.
[01:28:17.270 --> 01:28:17.870]  Super affordable.
[01:28:18.350 --> 01:28:19.250]  That's 60% off.
[01:28:20.630 --> 01:28:22.171]  The new 8-Pack Power Stack.
[01:28:22.951 --> 01:28:23.711]  That's our newest product.
[01:28:23.731 --> 01:28:24.471]  I'm not going to belabor it.
[01:28:24.511 --> 01:28:25.051]  It's amazing.
[01:28:26.252 --> 01:28:27.532]  That's 50% off out of the gate.
[01:28:27.592 --> 01:28:28.832]  Body's Ultimate Turmeric Formula.
[01:28:29.632 --> 01:28:30.173]  50% out of the gate.
[01:28:30.213 --> 01:28:30.993]  Vitamin Refusion.
[01:28:31.593 --> 01:28:32.533]  50% out of the gate.
[01:28:32.953 --> 01:28:33.793]  Ultimate Bone Brow.
[01:28:34.153 --> 01:28:34.514]  50% off.
[01:28:34.894 --> 01:28:35.874]  Super Mel Vitality.
[01:28:36.154 --> 01:28:36.814]  50% off.
[01:28:37.034 --> 01:28:40.295]  40% off Turbo Force and our protein bars that are now back in stock.
[01:28:42.079 --> 01:28:49.383]  So shop with the good guys, fund the InfoWar, change the world before the cashless society is in place.
[01:28:49.964 --> 01:28:51.644]  Thank you all for your support.
[01:28:52.145 --> 01:28:55.267]  We cannot and would not be able to do it without you.
[01:28:56.007 --> 01:28:59.909]  All right, straight to the EU elections that affect the entire world.
[01:28:59.949 --> 01:29:00.910]  Straight ahead with Lord Monckton.
[01:29:12.403 --> 01:29:16.669]  The Globalists are hyper-competitive, scientific dictators.
[01:29:16.789 --> 01:29:17.571]  They are technocrats.
[01:29:17.851 --> 01:29:19.954]  They are control freaks in their own words.
[01:29:20.555 --> 01:29:27.425]  And they believe allowing you to live your own life, make your own decisions, is in the way of their great destiny to merge with AI gods.
[01:29:28.326 --> 01:29:29.827]  Now, we're fighting them hard in cyberspace.
[01:29:30.208 --> 01:29:32.329]  We're fighting them hard right here in the third dimension.
[01:29:32.650 --> 01:29:39.095]  But one of the biggest places that we neglect to forget that we've really got a lot of control in our lives is our bodies.
[01:29:39.255 --> 01:29:39.995]  And I'm not perfect.
[01:29:40.476 --> 01:29:41.396]  I work a lot of hours.
[01:29:41.977 --> 01:29:46.961]  And if I wasn't taking the highest quality supplements from 4warslife.com, I couldn't do it.
[01:29:47.601 --> 01:29:56.608]  That's why we decided to take our original Secret 12 that was incredibly high quality medical bottlement and double the strength of it in a new formula, Ultra 12.
[01:29:57.569 --> 01:30:03.252]  Ultra 12 is undoubtedly the strongest, highest quality B12 over-the-counter you're going to find anywhere.
[01:30:03.372 --> 01:30:07.014]  That's what we set out with top developers in the United States to do.
[01:30:07.294 --> 01:30:10.816]  It took us years to up the quality and be able to concentrate it like this.
[01:30:11.476 --> 01:30:12.697]  Secret 12 is still amazing.
[01:30:13.377 --> 01:30:15.718]  This is the next level.
[01:30:15.758 --> 01:30:16.878]  This is Ultra 12.
[01:30:17.298 --> 01:30:23.119]  Exclusively available at InfoWarsLife.com or by calling toll-free 888-253-3139.
[01:30:23.179 --> 01:30:26.240]  You take it under your tongue for maximum absorption.
[01:30:26.580 --> 01:30:27.200]  It tastes great.
[01:30:27.560 --> 01:30:28.881]  There's no sweeteners, no additives.
[01:30:29.181 --> 01:30:29.881]  It is amazing.
[01:30:30.141 --> 01:30:37.803]  Experience pure Methicobalamin B12 for yourself and fund the second American Revolution against the tyrants and their attack on our free speech.
[01:30:38.263 --> 01:30:43.589]  At InfoWarsStore.com, InfoWarsLife.com, or 888-253-3139.
[01:30:44.089 --> 01:30:53.039]  Again, Ultra 12, the best vitamin B12, the highest quality you're gonna find anywhere, and it funds the Info War, and really pisses the globalist control freaks off.
[01:30:53.279 --> 01:30:56.683]  So again, thank you for your support, and thank you for taking care of your own body.
[01:31:02.623 --> 01:31:12.089]  And this shocking footage is even more painful when you see the albatrosses of CNN and other MSM outlets cheering on the rape.
[01:31:12.770 --> 01:31:23.137]  In fact, it's been found that these systems actually direct the monstrous CEO, Zuckerberg, against the free speech enemies and anyone that tries to not submit.
[01:31:23.877 --> 01:31:35.584]  But most sad of all is other penguins in the independent media, simply looking up at the sky and ignoring the vicious rape of their own freedoms and birthright taking place right in front of them.
[01:31:36.924 --> 01:31:39.606]  After enduring over an hour of the assault,
[01:31:40.595 --> 01:31:42.957]  Our dear penguin finally succumbs.
[01:31:43.737 --> 01:31:56.246]  But one more vicious insult is heaped upon its broken body by CNN, as its identity is stolen, gobbled up and devoured, and uses a straw man to attack other penguins.
[01:31:58.968 --> 01:32:00.169]  This is CNN.
[01:32:05.402 --> 01:32:06.983]  We are in a complete war!
[01:32:07.063 --> 01:32:09.984]  And you idiots don't join with the Republic, you fools!
[01:32:10.665 --> 01:32:13.526]  I want them shut down, I want them silenced, I want them muted.
[01:32:13.566 --> 01:32:15.427]  I think they are horrible for our society.
[01:32:16.427 --> 01:32:24.091]  Yes, now Facebook is going to be banning Alex Jones and InfoWars from not only their main platform, Facebook, but also from Instagram.
[01:32:24.331 --> 01:32:27.793]  President Trump, please save the First Amendment!
[01:32:32.377 --> 01:32:34.959]  Mark Zuckerberg is not simply censoring opinions.
[01:32:35.479 --> 01:32:40.084]  He's prescribing which political opinions you're allowed to have.
[01:32:40.144 --> 01:32:45.248]  We're losing the thread of the concepts that are important to this country.
[01:32:45.568 --> 01:32:49.212]  I don't like Alex Jones, but Alex Jones gets to speak.
[01:32:49.572 --> 01:32:50.533]  Everybody gets to speak.
[01:32:58.379 --> 01:32:59.920]  How dangerous is Infowars?
[01:33:07.006 --> 01:33:09.609]  You're listening to the Alex Jones Show.
[01:33:16.710 --> 01:33:21.414]  Just into CNN, Facebook is purging several high-profile names from its platforms.
[01:33:21.434 --> 01:33:26.879]  Among them, right-wing conspiracy theorist Alex Jones, as well as his media outlet, InfoWars.
[01:33:27.180 --> 01:33:36.048]  President Trump's furious reaction to Facebook's action showcases that he is, I'm sorry to say, the InfoWars president.
[01:33:36.894 --> 01:33:44.458]  Yes, now Facebook is going to be banning Alex Jones and InfoWars from not only their main platform, Facebook, but also from Instagram.
[01:33:44.698 --> 01:33:45.739]  I want them shut down.
[01:33:45.759 --> 01:33:46.719]  I want them silenced.
[01:33:46.759 --> 01:33:47.540]  I want them muted.
[01:33:47.580 --> 01:33:49.421]  I think they are horrible for our society.
[01:33:49.701 --> 01:33:57.005]  Why is there this unprecedented feeding frenzy happening when it comes to InfoWars and yours truly?
[01:33:57.645 --> 01:33:59.086]  Why is there this pile on?
[01:34:00.327 --> 01:34:04.849]  Well, it's not because Trump is the InfoWars presidency.
[01:34:05.930 --> 01:34:06.070]  No.
[01:34:07.274 --> 01:34:12.817]  It's because Trump is trying to execute the Americana presidency.
[01:34:13.417 --> 01:34:14.377]  He's trying to reboot it.
[01:34:14.537 --> 01:34:15.338]  And yes, it's true.
[01:34:16.778 --> 01:34:26.143]  InfoWars, and my syndicated radio and TV show, and our internet reach, literally thanks to you, you're 90% of it.
[01:34:26.623 --> 01:34:31.125]  You have relaunched a global populist movement.
[01:34:32.293 --> 01:34:39.258]  And the establishment thinks if they can destroy me and my name, they can discredit the liberty movement, the populist movement.
[01:34:39.579 --> 01:34:40.479]  That's not going to happen.
[01:34:41.800 --> 01:34:44.102]  But I will be honest with you.
[01:34:44.262 --> 01:34:58.353]  Selfishly, I would like to continue this operation, and I'd like to continue to keep our crew members employed, and I would like to stay in the fight, and keep taking the globalist on, and hopefully contribute meaningfully again in the future.
[01:34:59.546 --> 01:35:12.714]  I understand that just to have the success we've had relaunching Americana and Liberty Worldwide, once-in-a-lifetime, that was hitting the lottery culturally, politically, spiritually, I'm very thankful to God.
[01:35:12.834 --> 01:35:13.415]  I'm not bitching.
[01:35:13.995 --> 01:35:14.695]  I'm not a victim.
[01:35:15.296 --> 01:35:15.996]  I'm not a loser.
[01:35:17.017 --> 01:35:17.977]  I signed on to this.
[01:35:18.137 --> 01:35:18.938]  I knew the dangers.
[01:35:20.559 --> 01:35:21.700]  I just want to stand the fight.
[01:35:22.740 --> 01:35:27.123]  It's like saying to the coach, Coach, please put me into the game.
[01:35:28.630 --> 01:35:29.451]  And I'll do a great job.
[01:35:29.471 --> 01:35:38.535]  I don't want to use a parallel to the greatest player of all time in the NFL, a certain quarterback with the New England Patriots.
[01:35:39.456 --> 01:35:42.517]  But, you know, he could barely get put in in college.
[01:35:43.398 --> 01:35:47.380]  And even when he finally was put in and did nothing but win, they still weren't sure about him.
[01:35:48.780 --> 01:35:49.501]  That's football.
[01:35:50.741 --> 01:35:53.403]  When it comes to Americana and anti-globalism,
[01:35:54.562 --> 01:36:00.144]  InfoWars, as an operation, is the greatest player of all time.
[01:36:00.884 --> 01:36:03.145]  It's not me, it's all of us together.
[01:36:03.765 --> 01:36:08.886]  And the globalists recognize that, and they want to keep us out of the game.
[01:36:10.407 --> 01:36:13.588]  So please, for yourself, for myself, for everybody.
[01:36:15.140 --> 01:36:17.282]  I don't want them to be successful shutting us down.
[01:36:17.302 --> 01:36:20.344]  I don't want them to be successful having them take us off the air.
[01:36:21.264 --> 01:36:25.487]  You can stop their deplatforming with text messages, with emails, with word of mouth.
[01:36:25.968 --> 01:36:29.010]  It makes them so angry because they can't silence you.
[01:36:29.870 --> 01:36:31.632]  The fact that you're resisting them and winning.
[01:36:32.372 --> 01:36:38.877]  And they can't stop you supporting the broadcast financially, which so many of you have done.
[01:36:38.897 --> 01:36:38.957]  But
[01:36:40.905 --> 01:36:41.346]  Please.
[01:36:41.926 --> 01:36:43.748]  We have the best supplements.
[01:36:44.428 --> 01:36:45.429]  We have great t-shirts.
[01:36:45.449 --> 01:36:46.190]  We have great books.
[01:36:46.210 --> 01:36:46.950]  We have great films.
[01:36:47.331 --> 01:36:48.371]  We have great products.
[01:36:48.411 --> 01:36:49.132]  Thousands of them.
[01:36:49.693 --> 01:36:59.000]  And if you'll just go check out the air filtration, the water filtration, all the things you need, and buy some of the products, and try them out, that will change the world.
[01:37:00.223 --> 01:37:02.744]  I am in your hands, and you are in your hands.
[01:37:03.444 --> 01:37:06.724]  We'll hang together, or hang separate, as Benjamin Franklin said.
[01:37:07.264 --> 01:37:11.925]  Please visit mfulwarstore.com today, and please continue to support the mfulwar.
[01:37:12.125 --> 01:37:12.465]  Thank you.
[01:37:17.606 --> 01:37:18.667]  All right.
[01:37:18.747 --> 01:37:20.467]  He's in the middle of a political conference.
