[00:00:01.058 --> 00:00:02.919]  Well, ladies and gentlemen,
[01:04:43.262 --> 01:04:44.602]  Whatever happens, I'm doing the right thing.
[01:04:45.322 --> 01:04:47.443]  And Mark was asking the crew, like, is this a shut-up?
[01:04:47.523 --> 01:04:48.504]  Alex really wants to be friends?
[01:04:49.004 --> 01:04:50.625]  Yeah, Mark, I want to be friends.
[01:04:50.665 --> 01:04:51.625]  I don't care.
[01:04:52.366 --> 01:04:54.247]  You can say I'm an axe murderer if you want.
[01:04:56.648 --> 01:04:57.669]  I had tried everything.
[01:04:57.729 --> 01:04:59.870]  I'd cut back the amount of food I was eating.
[01:05:00.090 --> 01:05:02.792]  I was lifting weights and jogging, but nothing was working.
[01:05:03.212 --> 01:05:07.694]  My body was literally starving for minerals and trace elements, as well as key vitamins.
[01:05:08.034 --> 01:05:14.418]  And as soon as I had that, I immediately could eat half of what I was eating previously and be satisfied.
[01:05:14.898 --> 01:05:25.384]  Now there are hundreds of great products at Infowarsteam.com, but I want to point out the three that have helped me lose 37 pounds in just two months.
[01:05:26.104 --> 01:05:30.247]  Products like Beyond Tangy Tangerine, Pollen Burst, and Rebound.
[01:05:30.587 --> 01:05:36.610]  When I started taking the Tangy Tangerine and other products every day, I lost more than 37 pounds in just two months.
[01:05:36.850 --> 01:05:37.991]  Now that's results.
[01:05:38.411 --> 01:05:50.517]  I want to challenge my listeners to go to Infowarsteam.com and to order just three of their products and you will see the changes in the way you look, feel, and in your appetite almost immediately.
[01:05:50.917 --> 01:05:53.158]  Start your journey to health and wellness today.
[01:05:53.458 --> 01:05:54.719]  Infowarsteam.com
[01:05:55.999 --> 01:05:57.639]  Introducing Pro-1.
[01:05:57.900 --> 01:06:01.420]  All of your filtration in one system, portable, on-the-go.
[01:06:01.540 --> 01:06:05.942]  No more do you have two or three filters to just reduce sodium fluoride.
[01:06:06.062 --> 01:06:12.063]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[01:06:12.203 --> 01:06:22.966]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals all in one filter element.
[01:06:23.186 --> 01:06:29.493]  It is the only one that does it, and out of the gates, we have it discounted at 10% off with promo code WATER.
[01:06:29.673 --> 01:06:44.408]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands,
[01:06:45.509 --> 01:06:52.298]  Get your Pro-Pure with the new Pro-1 filters today at Infowarsstore.com or by calling 888-253-3139.
[01:06:56.328 --> 01:07:07.655]  With health threats on the rise such as West Nile virus, MRSA, CRE, and now the new bird flu recently discovered in China, there has never been a more crucial time to support your immune system.
[01:07:07.935 --> 01:07:20.842]  Supernatural Silver is a revolutionary new silver solution that is clinically shown to be several hundred times more effective than colloidal or ionic silver, and is powerful enough to help protect you and your family.
[01:07:21.163 --> 01:07:25.165]  Supernatural Silver is scientifically supported, highly effective,
[01:07:25.385 --> 01:07:28.727]  And perfect for everyday use inside the body as well as out.
[01:07:28.867 --> 01:07:30.508]  The Science Digest Journal says,
[01:08:01.006 --> 01:08:01.667]  Big Brother.
[01:08:02.307 --> 01:08:03.367]  Mainstream media.
[01:08:04.087 --> 01:08:05.208]  Government cover-ups.
[01:08:05.848 --> 01:08:06.668]  You want answers?
[01:08:07.428 --> 01:08:08.428]  Well, so does he.
[01:08:08.989 --> 01:08:12.609]  He's Alex Jones on the GCN Radio Network.
[01:08:13.170 --> 01:08:17.291]  And now, live from Austin, Texas, Alex Jones.
[01:08:20.712 --> 01:08:21.852]  Over a year ago,
[01:08:24.332 --> 01:08:29.313]  We said that they would try to stage chemical attacks in Syria and blame the Assad regime.
[01:08:30.534 --> 01:08:49.199]  They're now in the media saying we've got to attack them and even trying to imply and I knew what happened during the break I was watching TV trying to connect it the attack on Syria to what happened on Boston it's kind of like 15 of the supposed hijackers come from Saudi Arabia so we attack Iraq and there's WMDs and mobile anthrax labs all lies.
[01:08:50.598 --> 01:08:52.779]  It all came out, premeditated lies.
[01:08:53.199 --> 01:09:04.322]  Now Obama has got his guy up there, Hagel, Chuck Hagel, head of the Defense Department, saying, oh yeah, we've got evidence, they're the ones that launched the chemical weapons.
[01:09:04.803 --> 01:09:07.043]  And that's exactly what the Assad regime's been saying.
[01:09:07.503 --> 01:09:09.364]  You would never use it in asymmetrical warfare.
[01:09:09.844 --> 01:09:14.246]  Saying they're going to blame us, Al Qaeda has smuggled it in, they're going to try to frame us.
[01:09:14.266 --> 01:09:18.067]  They said that about a year ago, over a year ago, we said that was the plan.
[01:09:19.955 --> 01:09:20.977]  And it is incredible.
[01:09:21.097 --> 01:09:21.838]  Another war.
[01:09:21.938 --> 01:09:28.408]  See, they've lost with Al Qaeda and over 60,000 out of Saudi Arabia that NATO's brought in and Turkey's brought in.
[01:09:28.708 --> 01:09:30.631]  And Turkey's shelling Syria.
[01:09:31.111 --> 01:09:32.333]  They've lost that takeover.
[01:09:32.874 --> 01:09:33.895]  That two-year war.
[01:09:33.976 --> 01:09:34.516]  Proxy war.
[01:09:36.668 --> 01:09:41.289]  With just incredible atrocities against Christians and Jews by the Al-Qaeda group our government's putting in.
[01:09:41.629 --> 01:09:52.791]  See, they think you're so dumb and ignorant about geopolitical things that our government and NATO uses Al-Qaeda, and even puts it in the LA Times and CFR, and then the public doesn't even know that's going on.
[01:09:53.611 --> 01:10:03.173]  But now they're saying, oh, lone actors with these bombers, but they had Lindsey Graham, the senator up there, going, the CIA's so brave, to known CIA agent,
[01:10:05.009 --> 01:10:06.430]  On CNN, Anderson Cooper.
[01:10:06.470 --> 01:10:07.490]  In fact, I think they're still on.
[01:10:07.530 --> 01:10:10.272]  Right as I came out, they were on there, on CNN.
[01:10:10.612 --> 01:10:12.513]  I mean, this is the type of garbage.
[01:10:12.553 --> 01:10:15.854]  And CNN has so little viewers now, they're putting cooking shows on.
[01:10:17.495 --> 01:10:22.238]  We have more viewers than their top shows, their top three shows, every day combined.
[01:10:22.258 --> 01:10:23.478]  That's conservative, by the way.
[01:10:23.578 --> 01:10:30.562]  I'm freaked out by the fact that one way or another, 50 million people came through our websites and news show last week.
[01:10:31.650 --> 01:10:33.454]  We have the Google Analytics.
[01:10:33.474 --> 01:10:35.879]  50 million people.
[01:10:36.500 --> 01:10:38.023]  Now, no wonder they came out!
[01:10:38.831 --> 01:10:40.112]  Then we're going to Gerald Cilente.
[01:10:40.172 --> 01:10:44.535]  Some stations just joined us two days ago and said the bombers did it because of Alex Jones.
[01:10:44.955 --> 01:10:47.537]  Bombing suspect influenced by mysterious radical.
[01:10:47.577 --> 01:10:50.499]  Infowars.com is who they blamed.
[01:10:50.659 --> 01:10:51.239]  That was AP.
[01:10:51.299 --> 01:10:54.321]  Tamerlan linked Infowars conspiracy theorist Alex Jones.
[01:10:54.782 --> 01:10:55.142]  Slate.
[01:10:55.582 --> 01:10:57.904]  Tamerlan believed in basically every conspiracy theory.
[01:10:58.064 --> 01:10:59.165]  Slate.
[01:10:59.265 --> 01:11:00.065]  News of Australia.
[01:11:00.085 --> 01:11:02.247]  Alleged bomber was Alex Jones conspiracy fan.
[01:11:02.687 --> 01:11:04.128]  Tamerlan was Alex Jones fan.
[01:11:04.188 --> 01:11:04.688]  Salon.
[01:11:04.968 --> 01:11:05.929]  I'm not going to keep going over this.
[01:11:06.129 --> 01:11:06.529]  Gawker.
[01:11:06.830 --> 01:11:08.651]  Accused Marathon bomber influenced by Infowars.
[01:11:09.071 --> 01:11:13.214]  He also had Spider-Man and Michael Jackson on his Facebook, so it's their fault too.
[01:11:14.795 --> 01:11:19.638]  So, all of this is going on, ladies and gentlemen, and now it's come out and been confirmed!
[01:11:20.038 --> 01:11:27.683]  All over the Russian news, the Georgian government released the documents, Tamerlan was under the State Department, and Zbigniew Brzezinski in a CIA program.
[01:11:28.063 --> 01:11:28.864]  Gee, really?
[01:11:29.064 --> 01:11:30.305]  The Russians blew his cover now.
[01:11:30.345 --> 01:11:33.367]  Just as the mothers said, not two and a half years ago, five years ago!
[01:11:33.727 --> 01:11:34.908]  They came to the CIA!
[01:11:34.948 --> 01:11:36.529]  That's in the New York Times today!
[01:11:38.041 --> 01:11:39.982]  And said, is this guy one of your spies?
[01:11:40.002 --> 01:11:43.565]  Because he's hanging out with terrorists who the West is funding to destabilize us.
[01:11:43.625 --> 01:11:44.486]  And that's all on record.
[01:11:45.285 --> 01:11:47.285]  Just like our government runs Al-Qaeda in Libya and Syria.
[01:11:47.826 --> 01:11:49.026]  And then you've got the setup.
[01:11:49.106 --> 01:11:50.226]  The drill confirmed.
[01:11:50.506 --> 01:11:51.586]  All the other backpacks.
[01:11:51.826 --> 01:11:52.306]  All of this.
[01:11:52.667 --> 01:11:53.687]  Probably part of a drill.
[01:11:53.727 --> 01:11:54.327]  They set them up.
[01:11:54.367 --> 01:11:55.187]  They're out partying.
[01:11:55.447 --> 01:11:56.707]  They figure out they're coming after him.
[01:11:56.747 --> 01:11:57.728]  Was there a real shootout?
[01:11:57.868 --> 01:11:58.328]  I don't know.
[01:11:58.688 --> 01:11:59.808]  Now he's confessed.
[01:12:00.148 --> 01:12:01.688]  No judge, no jury, no proof.
[01:12:02.149 --> 01:12:03.169]  With his throat cut out.
[01:12:03.409 --> 01:12:04.389]  Gets out of the boat fine.
[01:12:04.429 --> 01:12:05.009]  Cut his throat out.
[01:12:05.249 --> 01:12:08.330]  Gerald Cilente, I want to get into your incredible new cover.
[01:12:09.270 --> 01:12:16.053]  On the New Trends Journal, it blew me away, the fine art level of it, of the Temple of the Bankers, and how this is a global cult to them.
[01:12:16.073 --> 01:12:17.014]  They even say that.
[01:12:17.294 --> 01:12:20.775]  And I want to get into the new trends, what happened in gold, everything with you.
[01:12:21.235 --> 01:12:23.036]  But I first got to ask you.
[01:12:23.496 --> 01:12:24.837]  Yeah, yeah, expand on that cover.
[01:12:24.877 --> 01:12:26.078]  That is just incredible artwork.
[01:12:26.538 --> 01:12:28.559]  Maybe like a movie cover to Prometheus or something.
[01:12:28.939 --> 01:12:30.900]  The Temple of the Moneylenders.
[01:12:31.560 --> 01:12:33.021]  And you know what Christ did to that.
[01:12:33.461 --> 01:12:37.763]  So the whole point is, Gerald, you've heard me break this down, because we're in the eye of the storm.
[01:12:38.383 --> 01:12:43.145]  And they are coming after us now at every single level, Gerald.
[01:12:43.785 --> 01:12:47.687]  And it turns out the White House is hanging out with this Saudi who was on the terror watch list.
[01:12:48.147 --> 01:12:51.209]  They said before Congress that wasn't true, then it is.
[01:12:51.229 --> 01:13:02.894]  I mean, what do you make, you know, being a consultant, working in government, being the top world trends forecaster for more than 25 years, what do you make of what's happening and why are they coming after us like this?
[01:13:04.431 --> 01:13:06.353]  Well, I can't associate with you anymore.
[01:13:06.393 --> 01:13:08.334]  I mean, this is my last program with you.
[01:13:08.354 --> 01:13:08.855]  Exactly.
[01:13:09.815 --> 01:13:15.700]  You know, how could anybody believe these Keystone cops from Boston?
[01:13:16.441 --> 01:13:24.107]  This has to be not only an affront to our civil liberties and our rights, but let's get this straight.
[01:13:24.668 --> 01:13:30.313]  They closed down over a hundred square miles around the Boston area.
[01:13:30.973 --> 01:13:34.882]  They stopped the trains from running between New York and Boston.
[01:13:35.182 --> 01:13:39.592]  They barely run the way it is because our infrastructure stinks.
[01:13:40.053 --> 01:13:41.136]  But I digress.
[01:13:42.133 --> 01:13:52.455]  They stopped people from going to school, stopped commerce, as they started raping our constitutional rights.
[01:13:52.955 --> 01:13:54.335]  Shelter in place!
[01:13:54.855 --> 01:13:56.036]  Shelter in place!
[01:13:56.436 --> 01:13:58.416]  I got a shelter in place for you!
[01:13:58.656 --> 01:14:00.136]  Who made this crap up?
[01:14:00.456 --> 01:14:03.597]  Going door to door like Gestapo!
[01:14:04.037 --> 01:14:08.478]  Let's take that C out of America and put a K in there!
[01:14:09.358 --> 01:14:12.660]  Forcing people out of their homes at gunpoint.
[01:14:13.141 --> 01:14:15.622]  And the sheeple applauding.
[01:14:15.963 --> 01:14:19.465]  People going out with just robes on and no shoes.
[01:14:19.925 --> 01:14:23.828]  Women with their hands up could hardly walk down the stairs.
[01:14:24.188 --> 01:14:25.529]  And these goons.
[01:14:25.849 --> 01:14:27.130]  They all look alike.
[01:14:27.471 --> 01:14:31.593]  A bunch of fat guys with a lot of body armor on.
[01:14:33.855 --> 01:14:34.836]  Keep them hands up!
[01:14:35.076 --> 01:14:36.137]  Keep them hands up!
[01:14:37.217 --> 01:14:39.639]  And they couldn't... Hey, look at this good-looking blonde!
[01:14:39.919 --> 01:14:41.480]  She didn't hold her hands up long enough.
[01:14:41.500 --> 01:14:43.081]  Let's shove her up against the wall.
