[00:00:02.591 --> 00:00:04.892]  Thank you for listening to GCN.
[00:55:42.757 --> 00:55:46.302]  We've seen the t-shirts that say dead or alive and it has alive scratched out.
[00:55:46.602 --> 00:55:49.265]  And you've got Facebook pages that call for his murder?
[00:55:49.366 --> 00:55:50.367]  They don't say anything there?
[00:55:50.387 --> 00:55:53.311]  Celebrities tweeting his parents home address.
[00:55:53.331 --> 00:55:55.694]  I don't even think they were tweeting the correct addresses on those.
[00:55:56.074 --> 00:56:08.717]  And you and I remember the time, you know, we've been visited, just people make a, you know, a comment about murdering the Bush family or something like that on Planet Info Wars, and they show up at our door, Secret Service.
[00:56:08.737 --> 00:56:10.217]  We were both here when they showed up.
[00:56:10.337 --> 00:56:14.698]  People don't believe us when we tell them that story, but we actually had the Secret Service come up.
[00:56:14.718 --> 00:56:23.880]  It was around Christmas time this past year, and I was just about to leave to get on a plane to go back to Oklahoma, and the Secret Service comes and knocks on the door, and I believe you answered the door.
[00:56:24.580 --> 00:56:28.203]  Yeah, he flashes me the badge and says, Secret Service, can I come in?
[00:56:28.263 --> 00:56:28.783]  I said, no.
[00:56:30.525 --> 00:56:31.846]  You got some papers to come in?
[00:56:32.246 --> 00:56:33.807]  So yeah, we went around and talked around with people.
[00:56:34.087 --> 00:56:49.759]  You know, they don't hesitate to come to the door about a little spurious comment on our website, but somebody takes out an entire Facebook page, they start doing t-shirts, they start putting out dollar bounties to have him killed, they have absolutely no problem with that.
[00:56:49.799 --> 00:56:50.760]  That tells you right there.
[00:56:51.320 --> 00:56:52.340]  What this whole thing is about.
[00:56:52.400 --> 00:56:55.962]  That tells you right there, this is a counterintelligence operation.
[00:56:56.102 --> 00:56:59.843]  This is a government operation to pit the races against each other.
[00:57:00.463 --> 00:57:02.944]  Nothing could be clearer about that.
[00:57:03.244 --> 00:57:11.567]  And you look at the Black Panthers, how the Department of Justice just passed on doing anything about them turning voters away, threatening voters at polling places in Chicago.
[00:57:11.987 --> 00:57:18.230]  We know that the government has used counterintelligence to create groups like the Ku Klux Klan
[00:57:19.310 --> 00:57:22.873]  And groups like the New Black Panthers, and this is absolute proof of it.
[00:57:23.093 --> 00:57:28.036]  No other group, unless they were a government, COINTELPRO operation would be allowed to do something like that.
[00:57:28.056 --> 00:57:35.001]  And also the, I don't know if you want to call them an organized group, but all these riots, and I'll call them rioters because they're not protesters.
[00:57:35.021 --> 00:57:39.124]  You don't protest by jumping on innocent people's cars in the middle of a
[00:57:39.564 --> 00:57:40.465]  We're good to go.
[00:57:57.802 --> 00:58:01.685]  How do you justify pulling out an innocent person who hasn't done anything to anybody?
[00:58:01.705 --> 00:58:03.266]  I mean, don't they see the irony of this?
[00:58:03.686 --> 00:58:07.048]  They think that Trayvon was singled out for having done nothing at all.
[00:58:08.269 --> 00:58:11.951]  Singled out because he was a particular race or appearance or whatever.
[00:58:12.332 --> 00:58:13.773]  He was singled out and killed.
[00:58:13.853 --> 00:58:16.194]  So then they are going to go out and single out people?
[00:58:16.234 --> 00:58:21.258]  So they drive around and abduct joggers, beat them up and drop them off someplace, you know?
[00:58:21.278 --> 00:58:22.719]  And that's justice for Trayvon.
[00:58:22.779 --> 00:58:23.139]  That's right.
[00:58:24.090 --> 00:58:25.071]  Well, that's it for this segment.
[00:58:25.091 --> 00:58:27.473]  We're going to be back in the next hour with Stan Linick.
[00:58:27.594 --> 00:58:36.443]  He's the Deputy Sheriff of the Year from the Constitutional Sheriffs and Police Officers Association, and we're going to talk to him about real law enforcement, constitutional law enforcement.
[00:58:36.783 --> 00:58:37.584]  So stay tuned.
[00:58:52.370 --> 00:58:56.133]  This is GCN, the Genesis Communications Radio Network.
[00:59:00.276 --> 00:59:03.558]  There is an increased need to support our immunity and health.
[00:59:04.579 --> 00:59:10.484]  At Silver Lungs, we are committed to meeting your needs by providing a full selection of silver-based products.
[00:59:11.584 --> 00:59:16.128]  Our most popular silver-based products are the 32-ounce nano-silver solutions.
[00:59:17.398 --> 00:59:18.119]  Our 2 oz.
[00:59:18.199 --> 00:59:22.382]  nano silver nasal applicators, as well as our all-natural silver soaps.
[00:59:23.523 --> 00:59:26.825]  Just released is our 100% natural silver gel.
[00:59:27.786 --> 00:59:33.991]  Our new silver gel is not based on synthetic gelling agents, which quickly evaporate and leave the silver at the surface.
[00:59:35.091 --> 00:59:46.000]  But rather, we have formulated our silver gel using the natural skin nourishing chemistry of aloe vera, to quickly penetrate and nourish the skin, while delivering the silver more effectively.
[00:59:46.960 --> 00:59:54.642]  Visit www.silverlungs.com and click on our store page to find what silver-based products are best for you.
[00:59:55.722 --> 00:59:58.703]  That's www.silverlungs.com.
[01:00:02.384 --> 01:00:04.325]  Waging war on corruption.
[01:00:04.765 --> 01:00:07.546]  Alex Jones on the GCM Radio Network.
[01:00:14.124 --> 01:00:18.328]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:18.969 --> 01:00:19.770]  You want answers?
[01:00:20.551 --> 01:00:21.431]  Well, so does he.
[01:00:22.092 --> 01:00:25.756]  He's Alex Jones on the GCN Radio Network.
[01:00:26.296 --> 01:00:30.361]  And now, live from Austin, Texas, Alex Jones.
[01:00:38.462 --> 01:00:39.963]  Welcome back to the Alex Jones Show.
[01:00:40.023 --> 01:00:41.765]  I'm David Knight, filling in for Alex Jones.
[01:00:41.785 --> 01:00:48.010]  We're going to be joined in this next hour by Stan Linnick, Deputy Constitutional Sheriff of the Year.
[01:00:48.671 --> 01:00:52.955]  And we're going to talk to him about what it really looks like to be a constitutional sheriff.
[01:00:53.135 --> 01:00:56.758]  What it really looks like to respect the rule of law, to respect the Constitution.
[01:00:56.798 --> 01:00:58.840]  So we're looking forward to talking to him.
[01:00:59.460 --> 01:01:01.242]  Now, we've got some breaking news here.
[01:01:01.282 --> 01:01:01.682]  We've got
[01:01:02.950 --> 01:01:07.274]  The EPA, according to Cryptogon, is nuking the radiation rules.
[01:01:07.374 --> 01:01:07.834]  That's right.
[01:01:08.915 --> 01:01:12.658]  If they don't get the kind of results they want, they just disregard the rules.
[01:01:12.999 --> 01:01:29.193]  They have now rewritten the rules for what it passes for a safe exposure to radiation, and raising it from the current goal of 1 in 10,000 to 1 in a million Americans, they're going to have fatal cancers, but they have
[01:01:29.833 --> 01:01:33.715]  Raise this by about a factor of, I think, a thousand in the article it says here.
[01:01:35.116 --> 01:01:43.460]  So, if you don't get the, if they're worried about radiation from Fukushima, then the solution is not to actually address the problem.
[01:01:43.540 --> 01:01:44.700]  It's just to change the rules.
[01:01:44.740 --> 01:01:45.821]  This is the same EPA.
[01:01:46.721 --> 01:01:52.768]  They did human testing in order to justify their fine particulate matter regulations.
[01:01:52.808 --> 01:01:59.595]  They did human testing feeding diesel exhaust directly into people's aspirators.
[01:02:00.512 --> 01:02:08.738]  Deliberately searching for people who had respiratory and heart problems so they could create an incident which would justify the regulations.
[01:02:09.078 --> 01:02:18.464]  Exposing them to levels that were up to 70 times what the EPA had already said would not just make you sick as EPA Administrator Lisa Jackson said.
[01:02:18.804 --> 01:02:21.246]  She clarified this in a congressional hearing.
[01:02:21.286 --> 01:02:22.887]  She said this is not just going to make you sick.
[01:02:23.227 --> 01:02:24.809]  I'm talking about stuff that will kill you.
[01:02:25.289 --> 01:02:29.292]  And so they took that level that they had presumably determined already
[01:02:30.072 --> 01:02:34.737]  And fed that up to 70 times that level to people trying to provoke an incident.
[01:02:34.778 --> 01:02:38.041]  So, is the EPA really looking after our health?
[01:02:38.562 --> 01:02:40.003]  Or is it trying to build an empire?
[01:02:40.444 --> 01:02:42.927]  Is it trying to find a way to control our economy?
[01:02:42.947 --> 01:02:48.153]  Is it trying to find a way to shut down our industry and shut down our power generation?
[01:02:48.193 --> 01:02:49.054]  I think it's the latter.
[01:02:50.353 --> 01:02:57.835]  We also have some other interesting news here about Monsanto patents getting rejected by the Indian government.
[01:02:58.395 --> 01:03:03.837]  Now, you know, Monsanto can get pretty much anything they want in America, but not in India.
[01:03:04.457 --> 01:03:12.320]  If you recall, in India they already had farmers committing suicide by the thousands because they were being sued by Monsanto.
[01:03:13.200 --> 01:03:19.964]  Just like the Supreme Court case that the Supreme Court found 9-0 in favor of Monsanto.
[01:03:20.244 --> 01:03:28.408]  That was rejected in India because what they said was Monsanto's wheat or corn was cross pollinating with other farmers.
[01:03:30.080 --> 01:03:35.104]  Corn and wheat, and they would come around then and look at that and say, we have some genetic material from Monsanto.
[01:03:35.164 --> 01:03:39.708]  They would sue them for royalties and essentially destroy these people's lives financially.
[01:03:40.129 --> 01:03:41.930]  And the farmers were committing suicide there.
[01:03:41.950 --> 01:03:43.892]  But in America, that's okay.
[01:03:44.132 --> 01:03:47.095]  In America, we serve the interests of Monsanto.
[01:03:47.655 --> 01:03:51.179]  You might remember Clarence Thomas was formerly a lawyer for Monsanto.
[01:03:51.839 --> 01:03:55.903]  Did not recuse himself from that court decision either.
[01:03:57.498 --> 01:03:58.419]  And some other news here.
[01:03:58.459 --> 01:04:03.081]  You may have seen the preview for the new movie Elysium that is coming up.
[01:04:04.922 --> 01:04:06.423]  It's a science fiction film.
[01:04:06.964 --> 01:04:11.126]  And there's an article today in Wired Magazine with the director.
[01:04:11.646 --> 01:04:15.008]  And this director is originally from South Africa and he says that
[01:04:16.269 --> 01:04:17.290]  He kind of likes L.A.
[01:04:17.350 --> 01:04:23.375]  because it has this thermonuclear weapons feel, like it's about to go off at any point.
[01:04:23.875 --> 01:04:24.576]  He says L.A.
[01:04:24.596 --> 01:04:29.100]  can't quite match the level of intensity of Johannesburg, South Africa, but he says it's getting there.
[01:04:29.460 --> 01:04:30.421]  It's getting pretty close.
[01:04:31.062 --> 01:04:41.170]  And this takes place, Elysium is set in 2154, where you have this wealthy 1% live in this orbiting satellite and they have everything provided for them.
[01:04:41.570 --> 01:04:44.213]  The rest of the people are brutalized by
[01:04:45.413 --> 01:04:47.154]  Robots by RoboCops.
[01:04:47.615 --> 01:04:49.616]  And that's basically where we're headed.
[01:04:49.956 --> 01:04:51.337]  And he's perfectly fine with that.
[01:04:52.258 --> 01:04:59.042]  He thinks that, so this is maybe some predictive programming and not really complaining about it, but it'll be an interesting film to see.
[01:04:59.482 --> 01:05:02.825]  We'll be right back with Stan Linick, Constitutional Deputy Sheriff of the Year.
[01:05:02.865 --> 01:05:03.385]  Stay tuned.
[01:05:09.738 --> 01:05:10.979]  What does freedom mean to you?
[01:05:10.999 --> 01:05:13.880]  How about the freedom to take control of your own future?
[01:05:14.140 --> 01:05:17.641]  At eFoods Direct, we're again celebrating Food Freedom Month.
[01:05:17.961 --> 01:05:27.085]  In July, for every $329 you spend on our highly nutritious, great-tasting food, you will receive a $190 Patriot Pack free.
[01:05:27.345 --> 01:05:31.927]  For example, purchase a six-month supply and get three Patriot Packs free.
[01:05:32.147 --> 01:05:39.650]  The Patriot Pack is a 24-day supply of eFoods quick-fix, easy-to-store food, plus stove, fuel, and cookpots.
[01:05:39.990 --> 01:05:41.711]  All in an easy-to-carry bucket.
[01:05:41.831 --> 01:05:47.252]  Patriot Packs are the ideal grab-and-go emergency kit for your car or to have by the back door.
[01:05:47.472 --> 01:05:49.733]  Perfect for your cabin or camping trip this summer.
[01:05:49.933 --> 01:05:52.734]  Or even simply to add more food to your supply, free!
[01:05:53.074 --> 01:05:55.834]  Call 800-409-5633 or go to efoodsdirect.com slash alex and get your free Patriot Pack with purchase.
