[00:00:00.089 --> 00:00:07.235]  I'm here.
[01:18:06.002 --> 01:18:12.044]  I'm a red-blooded person who is not even near good, but that simply doesn't want to hurt innocent people.
[01:18:12.564 --> 01:18:16.005]  You people are a bunch of delusional scum, and I'm going to tell you something.
[01:18:16.325 --> 01:18:18.086]  Society is going to collapse.
[01:18:18.726 --> 01:18:20.287]  This country is going to be judged.
[01:18:20.868 --> 01:18:26.533]  So you have all your parcel birth abortions and you shoot your kids up and watch them have convulsions and brain damage them.
[01:18:26.753 --> 01:18:29.455]  This country is run by psycho killer demons, folks.
[01:18:29.996 --> 01:18:30.857]  That's all I got to tell you.
[01:18:31.834 --> 01:18:32.675]  That's all I gotta tell you.
[01:18:33.075 --> 01:18:34.316]  And you know what?
[01:18:34.496 --> 01:18:37.759]  I seem crazy to people because I'm awake and I see it.
[01:18:38.239 --> 01:18:38.580]  That's why.
[01:18:38.840 --> 01:18:40.241]  At first it's just so shocking.
[01:18:40.281 --> 01:18:41.342]  He yelled at Piers Morgan.
[01:18:41.622 --> 01:18:46.767]  We don't need to be like that and say, I know you want my guns because you want to enslave me.
[01:18:47.067 --> 01:18:48.888]  But you notice nobody else invited me on.
[01:18:49.089 --> 01:18:51.350]  You notice everybody else is scared to death.
[01:18:52.188 --> 01:18:54.549]  And I went down and confronted Piers Morgan when he was in Houston.
[01:18:54.789 --> 01:18:55.789]  Walked in behind the scenes.
[01:18:55.809 --> 01:18:56.509]  There's video of it.
[01:18:56.949 --> 01:18:58.130]  And he jumped when he saw me.
[01:18:58.390 --> 01:19:02.511]  And then later, off camera, his people said, no, no, it was the highest ratings we ever got.
[01:19:02.551 --> 01:19:03.711]  It's on record.
[01:19:04.051 --> 01:19:05.772]  But we're not going to have you back on.
[01:19:05.812 --> 01:19:07.052]  We're trying to get you back on.
[01:19:07.312 --> 01:19:14.074]  But Piers and higher-ups, this is with the producer in front of my crew, the higher-ups just say, it's giving you too much attention.
[01:19:14.414 --> 01:19:15.094]  Exactly.
[01:19:15.454 --> 01:19:18.335]  If I was losing, they would have me everywhere.
[01:19:18.535 --> 01:19:21.016]  I'd be sticking my tongue out on the cover of Time magazine.
[01:19:21.656 --> 01:19:23.718]  But ladies and gentlemen, we're not losing.
[01:19:24.618 --> 01:19:26.860]  And we're not winning because we're something special.
[01:19:27.240 --> 01:19:29.722]  We're winning because we've got a pulse and we're not pure evil.
[01:19:30.583 --> 01:19:33.185]  That's all you gotta do is be able to recognize good versus evil.
[01:19:33.585 --> 01:19:34.646]  2 plus 2 equals 4.
[01:19:35.026 --> 01:19:41.932]  If you can do that, if you can just recognize the evil running rampant all over the place,
[01:19:43.280 --> 01:19:50.785]  If you can simply recognize that, and simply understand that, then everything else falls into place.
[01:19:50.825 --> 01:19:54.788]  But if you can't recognize that we're in deep trouble, you'll never recognize it.
[01:19:54.828 --> 01:19:59.711]  As stuff gets worse and worse, you've already said nothing's wrong, so you'll go down with the ship.
[01:20:00.071 --> 01:20:02.553]  You won't even fix the holes in the ship, because you're a delusion.
[01:20:02.913 --> 01:20:05.635]  Do you suffer from low-functioning adrenal or thyroid gland?
[01:20:05.855 --> 01:20:11.558]  Did you know that mercury from your dental fillings comes off your teeth both as a vapor and as metal particles into your body?
[01:20:11.678 --> 01:20:15.420]  Wherever mercury deposits in your body, it stops cells from functioning normally.
[01:20:15.680 --> 01:20:18.501]  Animal studies show that mercury causes kidney function to drop by 60%.
[01:20:19.742 --> 01:20:20.343]  We're good to go!
[01:20:37.395 --> 01:20:49.599]  After investigating most high-end whey proteins on the market, only one is the most noggy natured, the most active, the most complete, and in our opinion, the most powerful, in what nature originally put into the fresh raw whey.
[01:20:49.939 --> 01:20:51.499]  It is One World Whey.
[01:20:51.940 --> 01:20:52.360]  Call 888-988-3325.
[01:20:52.420 --> 01:20:52.600]  That's 888-988-3325.
[01:20:52.620 --> 01:20:53.460]  Or visit OneWorldWhey.com.
[01:20:53.480 --> 01:20:54.000]  That's OneWorldWhey.com.
[01:21:03.283 --> 01:21:05.385]  You've heard about our MRE Smorgasbord.
[01:21:05.666 --> 01:21:13.593]  Now, Long Life Food Depot introduces the most unique, safe, and longest-lasting way to stash emergency food, the EatPod.
[01:21:13.893 --> 01:21:20.280]  Most survival food products recommend an ideal storage environment, including low temps, low moisture, and low oxygen.
[01:21:20.400 --> 01:21:22.602]  If you're storing in a basement too humid,
[01:21:22.782 --> 01:21:23.763]  Garages and Attics?
[01:21:24.003 --> 01:21:24.643]  Too hot!
[01:21:24.823 --> 01:21:41.151]  But the waterproof, double-walled, high-density polyethylene patent-pending EatPod™ is a unique roll-away food bunker that creates the perfect conditions, can be buried up to 30 feet, and can keep your survival food supply safe, secure, dry, and virtually undetectable.
[01:21:41.271 --> 01:21:48.117]  For 25 years or more, get full details on the EatPod at eatpod.com spelled E-A-T-P-O-D dot com or call 800-601-2833.
[01:21:48.137 --> 01:21:48.477]  That's 800-601-2833.
[01:21:48.517 --> 01:21:50.119]  The EatPod from Long Life Food Depot.
[01:21:50.239 --> 01:21:51.860]  Since 1983, sending real food to your real future.
[01:22:03.112 --> 01:22:10.176]  HempUSA.org has a revolutionary wonder food for detoxing the body and rebuilding the immune system.
[01:22:10.496 --> 01:22:18.821]  Microplant powder can help unclog arteries and soften heart valves while removing heavy metals, virus, fungus, bacteria, and parasites.
[01:22:19.021 --> 01:22:22.563]  Plus it cleans and purifies the blood, lungs, stomach, and colon.
[01:22:22.743 --> 01:22:25.705]  Keep your body clean with Microplant Powder.
[01:22:26.125 --> 01:22:27.486]  Order today at 888-910-4367 or visit HempUSA.org.
[01:22:32.285 --> 01:22:33.366]  Hi, this is Ted Anderson.
[01:22:33.526 --> 01:22:37.909]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[01:22:38.089 --> 01:22:43.793]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[01:22:43.913 --> 01:22:47.315]  Gold has outperformed paper investments, yet no word about IRAs.
[01:22:47.535 --> 01:22:50.137]  If you would like to have gold for your retirement, call 800-686-2237.
[01:22:50.257 --> 01:22:55.180]  Don't get left behind by rising inflation and low returns.
[01:22:55.320 --> 01:22:55.541]  Call 800-686-2237.
[01:22:55.561 --> 01:22:56.962]  Secure your future and call 1-800-686-2237.
[01:23:02.125 --> 01:23:02.212]  Yeah.
[01:23:06.704 --> 01:23:08.364]  Curious about what comes next?
[01:23:09.124 --> 01:23:15.346]  Next is the feeling of vulnerability you get after you arrive home to discover your house has been ransacked by burglars.
[01:23:15.826 --> 01:23:18.846]  Fool the bad guys with a new improved fake TV.
[01:23:19.206 --> 01:23:25.467]  You asked for it, we listened, and we made our new fake TV three times brighter than our previous model.
[01:23:25.687 --> 01:23:29.288]  The brightness of our new fake TV is equivalent to a 40-inch TV.
[01:23:29.768 --> 01:23:34.509]  It simulates the color and motion of a real TV while you're away from home.
[01:23:35.089 --> 01:23:41.214]  And when burglars think someone is home watching television, they're likely to pass your house and move on to an easier target.
[01:23:41.535 --> 01:23:45.978]  The new, brighter Fake TV is only $39.95 and includes free shipping.
[01:23:46.359 --> 01:23:49.041]  Go to FakeTV.com or call 1-877-5-FAKE-TV.
[01:23:49.061 --> 01:23:49.441]  That's 877-532-5388.
[01:23:49.461 --> 01:23:50.482]  Or go to FakeTV.com.
[01:23:50.662 --> 01:23:51.123]  Fake TV.
[01:23:51.163 --> 01:23:52.604]  The burglar deterrent.
[01:24:20.300 --> 01:24:32.130]  Right now, in Egypt, in Libya, in Syria, NATO, CENTCOM, U.S.
[01:24:32.170 --> 01:24:38.636]  military forces are arming and trading Al-Qaeda who are blowing up and burning churches as we speak.
[01:24:40.237 --> 01:24:47.103]  New videos every day of Christian families begging as their heads are chopped off, as mosques are burned to the ground.
[01:24:48.652 --> 01:24:49.873]  And Al Qaeda has given U.S.
[01:24:49.913 --> 01:24:51.993]  satellite data to carry out the operations.
[01:24:53.154 --> 01:24:55.895]  Now, see, I guess that is spooky, what I just said.
[01:24:56.035 --> 01:24:56.595]  It's true.
[01:24:58.496 --> 01:25:01.097]  Because our government is gone, ladies and gentlemen.
[01:25:01.177 --> 01:25:10.902]  It's totally taken over by foreign mega-banks that are completely disconnected from reality and get away with anything they want.
[01:25:13.303 --> 01:25:16.304]  And China's pure evil, Russia's pure evil, it's all evil.
[01:25:21.738 --> 01:25:24.920]  Having a country not completely run by evil is extremely rare.
[01:25:29.643 --> 01:25:33.386]  I got the famous basketball player Mike Glenn, known as the Stinger, coming on.
[01:25:33.426 --> 01:25:36.088]  Really interesting guy, so I wanted to get him on and talk about a host of issues.
[01:25:36.668 --> 01:25:37.589]  Antonio Buehler.
[01:25:40.070 --> 01:25:42.072]  Buehler is going to be in studio with us.
[01:25:43.834 --> 01:25:46.496]  Yep, Austin says you can't film police, you'll be indicted.
[01:25:47.096 --> 01:25:49.158]  They spin it and say, well he was interfering with the police.
[01:25:49.198 --> 01:25:52.100]  Yeah, they run over and start grabbing on his camera.
[01:25:56.584 --> 01:25:58.405]  And so they've had a grand jury indict him.
[01:26:02.948 --> 01:26:05.951]  And they tried to tell me three weeks ago we couldn't hand out magazines in Austin.
[01:26:08.442 --> 01:26:13.183]  You know, I don't have to drive far now to see National Guard running checkpoints and traffic control in Austin.
[01:26:13.923 --> 01:26:19.205]  I don't have to go far to find TSA doing checkpoints, searching bags and cars without warrants.
[01:26:19.705 --> 01:26:21.245]  I can just go, like, two miles from here.
[01:26:23.506 --> 01:26:26.487]  Told you it was coming, you know, twelve years ago, but now I can just go down and show you.
[01:26:27.127 --> 01:26:28.347]  And then I know what else is going to come.
[01:26:30.528 --> 01:26:37.390]  And then the weird enviro inspectors with their badges, little green uniforms and badges, are going to order their way into my home.
[01:26:39.107 --> 01:26:47.692]  And if I tell them they can't come, well, they'll just come with a SWAT team and kill me.
[01:26:47.712 --> 01:26:50.214]  Because they're the good guys.
[01:26:52.115 --> 01:26:54.937]  Now they get on the news and tell me my kids belong to them.
[01:26:54.957 --> 01:26:59.800]  I knew their textbooks have said that forever, but now they're just openly saying it.
[01:27:01.127 --> 01:27:02.967]  And the yuppies will just go whatever they think is popular.
[01:27:03.408 --> 01:27:04.348]  Oh, the state runs kids?
[01:27:04.368 --> 01:27:05.468]  Well, here's my kids.
[01:27:06.408 --> 01:27:09.329]  Oh, you'll arrest me if I don't take shots?
[01:27:09.369 --> 01:27:10.149]  There's no law?
[01:27:10.169 --> 01:27:12.670]  But even if there was a law, it'd be unconstitutional?
[01:27:12.710 --> 01:27:13.330]  Okay, fine.
[01:27:13.350 --> 01:27:16.251]  You know, lie to me and say it's the law, I gotta take shots.
[01:27:16.291 --> 01:27:22.012]  I mean, it's criminals have gotten away with everything, and now they're gonna take your pension fund,
[01:27:23.260 --> 01:27:28.122]  By the way, that's being announced that they're going to take rich people's pension funds of after-tax money.
[01:27:28.222 --> 01:27:29.603]  Only the rich people, of course.
[01:27:29.663 --> 01:27:31.584]  And when they're done, they'll get your money, too.
[01:27:32.884 --> 01:27:34.705]  This is the season of the takeover, though.
[01:27:34.725 --> 01:27:44.669]  100-plus million people out of work, 50 million on food stamps, and that number's going to just increase until they got everybody on the dole.
[01:27:45.209 --> 01:27:51.552]  You'll either work for the government, or you'll be a bureaucrat with the government, or you'll work for a corporation that's fed by the government, or you'll be on welfare.
[01:27:53.047 --> 01:27:56.629]  And who do they demonize in all the Homeland Security and FEMA training manuals?
[01:27:58.250 --> 01:28:02.492]  Conservative, libertarian, returning veterans, gun owners, Christians.
[01:28:03.652 --> 01:28:06.854]  It says evangelical Christians, Christian Catholics, period.
[01:28:06.894 --> 01:28:07.694]  You're with Al Qaeda.
[01:28:08.315 --> 01:28:08.895]  Fox News.
[01:28:10.954 --> 01:28:29.382]  Why, I was sent from Phoenix in 1999 a famous FBI training manual for police and it said those that believe in the Constitution, those that call themselves Constitutionalists, or make frequent references to the Constitution, they are terrorists.
