[00:00:13.725 --> 00:00:15.045]  Oh, I'm sorry.
[01:21:14.822 --> 01:21:34.618]  And they're using the crisis and the hype of this virus to release prisoners from jails and to block known medical treatments that medical doctors are prescribing that have been used for decades against similar viruses because they want the maximum hysteria and they want the maximum death rate.
[01:21:35.399 --> 01:21:37.902]  And then they're releasing the prisoners out of the jails.
[01:21:37.902 --> 01:21:41.125]  They're not letting normal businesses stay open.
[01:21:41.125 --> 01:21:47.512]  They're shutting down the gun shops in all the Democrat areas, saying they're not essential.
[01:21:47.512 --> 01:21:57.723]  And meanwhile, Extinction Rebellion, funded by the UN, funded by the British royal family and others, is saying that humans are the disease, coronavirus is the cure.
[01:21:59.172 --> 01:21:59.652]  We're good to go.
[01:22:22.745 --> 01:22:30.327]  Patience, because it's so effective, even according to the EU, even according to the Chinese.
[01:22:30.327 --> 01:22:35.608]  They want destruction, and they're holding the economy hostage.
[01:22:35.608 --> 01:22:41.269]  And the Democrat mayors and governors are saying, we're not opening in two weeks or two months.
[01:22:41.269 --> 01:22:42.229]  18 months.
[01:22:42.229 --> 01:22:45.390]  I showed you all the articles.
[01:22:45.390 --> 01:22:47.650]  Is the amount of time.
[01:22:49.878 --> 01:22:53.781]  That's when the forced vaccine comes out, the medical tyranny.
[01:22:53.781 --> 01:22:56.983]  They're trying to ban cash all over the world.
[01:22:56.983 --> 01:23:07.310]  They're pushing surveillance using your cell phone where you are, where you go to enforce this unconstitutional nightmare scenario.
[01:23:07.310 --> 01:23:09.191]  But when real diseases were coming across,
[01:23:11.257 --> 01:23:27.325]  When the drug-resistant TB and all these other horrible pathogens were coming across from the Mexican border, from all over the world, and the children weren't even being tested, were being put in school right next to your children and my children, and those poor children that came in weren't even being tested or cured!
[01:23:27.325 --> 01:23:31.868]  That was all fine, don't discuss it, why it's xenophobic to talk about diseases from the third world.
[01:23:34.087 --> 01:23:41.890]  But now it's pouring in, and President Trump's being blamed for the crisis, and he says, hey, the Communist Chinese are the ones that covered it up.
[01:23:41.890 --> 01:23:44.371]  It's their virus.
[01:23:44.371 --> 01:23:53.794]  Even when they blame Trump and say he launched a bio-attack with no evidence, and Trump defends America, our own media attacks the President and the American people because they're not our media.
[01:23:54.684 --> 01:24:07.117]  They're multinational globalist media bought and paid for by the same megabanks, the same soulless, sick, evil groups that put the chi comms in power.
[01:24:07.117 --> 01:24:15.787]  You know, right before World War II, Prescott Bush headed up Brown Brother Harriman and was actually a known Nazi agent that came out in congressional hearings of the McCormick-Nixon Committee later after the war.
[01:24:18.248 --> 01:24:21.769]  And thousands of prominent Americans were arrested for working with the Nazis.
[01:24:21.769 --> 01:24:26.950]  But the top industrialists were so powerful, it was thought it would bring down the country.
[01:24:26.950 --> 01:24:30.370]  If the Bushes and others got in trouble for it.
[01:24:30.370 --> 01:24:33.851]  But the Nazis didn't have a foothold in America like the Chi-Coms do.
[01:24:33.851 --> 01:24:35.631]  Owning and running many of our universities.
[01:24:35.631 --> 01:24:37.511]  Controlling Harvard.
[01:24:37.511 --> 01:24:39.472]  Controlling other big institutions.
[01:24:39.472 --> 01:24:41.052]  Buying off most of the politicians.
[01:24:41.052 --> 01:24:45.093]  Having spies in Dianne Feinstein's office running her operations.
[01:24:45.093 --> 01:24:46.913]  Her valet was a Chi-Com.
[01:24:48.390 --> 01:24:51.513]  Her personal assistant was a Chai Kom.
[01:24:51.513 --> 01:24:53.594]  Her managing assistant was a Chai Kom.
[01:24:53.594 --> 01:24:56.377]  Three of them, at least.
[01:24:56.377 --> 01:25:01.321]  But that was allowed as a wedding with the Communist Party, as a merger with them.
[01:25:01.321 --> 01:25:02.202]  They don't run it.
[01:25:02.202 --> 01:25:04.544]  The globalists run Chai Kom China.
[01:25:06.058 --> 01:25:09.279]  And Chaicom China began to buck them under Obama.
[01:25:09.279 --> 01:25:14.461]  And that's why we had to pivot with the fleet over there to put pressure on the Chaicoms to behave themselves.
[01:25:14.461 --> 01:25:16.322]  Trump got in and said, we're not playing this game.
[01:25:16.322 --> 01:25:17.202]  It's over.
[01:25:17.202 --> 01:25:19.263]  The globalist control of our countries is done.
[01:25:19.263 --> 01:25:23.084]  And you're seeing them now strike back at us.
[01:25:25.074 --> 01:25:30.544]  I believe Xi Jinping, who had to deal with Taiwan rebellions and mainland rebellions, released it himself.
[01:25:30.544 --> 01:25:32.207]  But we do know it's man-made.
[01:25:32.207 --> 01:25:37.836]  And we do know Obama transferred the precursor virus, without the HIV delivery system, to them, which was then added.
[01:25:38.888 --> 01:25:40.449]  So we know it came from them.
[01:25:40.449 --> 01:25:41.730]  We know it's man-made.
[01:25:41.730 --> 01:25:50.536]  And we know the Democrats are using it to try to break the country down and cause a Great Depression and hold the states and cities they control hostage until Trump is driven from office.
[01:25:50.536 --> 01:25:51.677]  And that's the scripting.
[01:25:51.677 --> 01:25:52.698]  That's the narrative.
[01:25:52.698 --> 01:25:56.220]  And we better expose that narrative!
[01:25:56.220 --> 01:25:58.042]  And we better get that truth out!
[01:25:58.042 --> 01:26:02.245]  And the President is starting to get on that narrative, which is the narrative of truth.
[01:26:03.288 --> 01:26:11.476]  Which is the narrative of victory, which is the narrative of success, which is the narrative of vengeance against the globalists.
[01:26:11.476 --> 01:26:12.758]  They are criminals.
[01:26:12.758 --> 01:26:14.199]  They are supervillains.
[01:26:14.199 --> 01:26:15.981]  They are so arrogant.
[01:26:15.981 --> 01:26:22.127]  I used to wonder as a child, I'd watch movies about Italian gangsters where they cry and they go do all that stuff.
[01:26:22.127 --> 01:26:24.410]  That was fake until I met real famous Italian gangsters.
[01:26:25.714 --> 01:26:32.095]  And I used to see super villains in movies bragging to Superman when he's tied up with Kryptonite how they're going to launch the master plan.
[01:26:32.095 --> 01:26:33.516]  And I think that's stupid.
[01:26:33.516 --> 01:26:35.876]  If I was a master villain, I wouldn't brag about it.
[01:26:35.876 --> 01:26:39.357]  They actually brag!
[01:26:39.357 --> 01:26:42.758]  All the stuff you see in movies and stuff is an archetype of what really goes on.
[01:26:42.758 --> 01:26:50.699]  And you learn as you get older and involved in things that it's actually real.
[01:26:50.699 --> 01:26:53.860]  The UN says there's too many people and they want to buy a weapon to release us.
[01:26:54.824 --> 01:26:56.045]  Bill Gates says it.
[01:26:56.045 --> 01:26:57.267]  Extinction Rebellion says it.
[01:26:57.267 --> 01:27:00.910]  And now they're all doing it.
[01:27:00.910 --> 01:27:03.493]  And now they're all celebrating it and saying it'll bring down Trump.
[01:27:03.493 --> 01:27:04.374]  Yay!
[01:27:04.374 --> 01:27:06.997]  While on the news they go, oh Trump's not doing a good job.
[01:27:06.997 --> 01:27:09.679]  He needs to shut it all down or we'll have a depression.
[01:27:09.679 --> 01:27:12.682]  Knowing shutting it all down will cause a depression.
[01:27:12.682 --> 01:27:13.924]  It's incredible!
[01:27:15.919 --> 01:27:26.105]  It's like watching somebody walk around your house with a five-gallon can of gasoline, pour it all over the house, and then get a flare out and say, gee, I wish you wouldn't have burned your house down.
[01:27:26.105 --> 01:27:27.186]  You're like, hey, don't do that.
[01:27:27.186 --> 01:27:27.866]  Don't do that.
[01:27:27.866 --> 01:27:28.747]  Hey, hey, don't!
[01:27:28.747 --> 01:27:31.229]  You're like, you're the one that burned it down.
[01:27:31.229 --> 01:27:33.150]  You're the one that... Get ready!
[01:27:36.343 --> 01:27:40.145]  These people are sick, and they don't respect you because they think you don't have a memory.
[01:27:40.145 --> 01:27:42.667]  Remember Gruber, when they wrote Obamacare at tripling prices?
[01:27:42.667 --> 01:27:52.033]  He said, I wrote it to screw them, and Obama wanted to gouge them with big corporations, and consolidate the insurance companies.
[01:27:52.033 --> 01:27:53.994]  He goes, thank God they're so stupid.
[01:27:53.994 --> 01:28:00.398]  And he's up there on C-SPAN with all these other professors, and they're all just looking at him, admiring him, and going, sir, how do you lie so good?
[01:28:00.398 --> 01:28:02.719]  He says, I'll teach you.
[01:28:02.719 --> 01:28:03.780]  I'll teach you how to do it.
[01:28:05.151 --> 01:28:05.991]  Michael, how do you do it?
[01:28:05.991 --> 01:28:08.433]  He goes, well, just, they're so stupid.
[01:28:08.433 --> 01:28:15.436]  They don't have a memory of a goldfish and they just all sat back and laughed and rubbed their hands together like rats.
[01:28:15.436 --> 01:28:17.097]  These are human cockroaches.
[01:28:18.291 --> 01:28:32.276]  And the minute you get into the real world, like you get into Netflix or movies or video games, and the minute you figure out how they really operate, now you're a player in the universe, and you can go out and meet them on the front lines and beat them every time.
[01:28:32.276 --> 01:28:37.198]  With intellectual and spiritual gravitas, they can never imagine.
[01:28:37.198 --> 01:28:42.540]  They seek power because they don't have any innate power.
[01:28:43.789 --> 01:28:47.554]  That's why they seek to bring people low, because they're so low.
[01:28:47.554 --> 01:28:55.445]  Instead of rising people up because you're already so high, you want to see those mountains transcend throughout the universe and go interdimensional.
[01:28:56.747 --> 01:29:07.929]  Attention GCN self-reliance listeners, if you've ever wanted an emergency solar survival backup system but were waiting for prices too crazy to pass up, this will be the most important message you'll ever hear.
[01:29:07.929 --> 01:29:17.231]  Bill Hyde here and I want to tell you about a huge sale with historically low prices on our PPX microgrid system that's going to let you produce an endless supply of electricity off the grid.
[01:29:17.231 --> 01:29:22.312]  The clearance price is a result of the historic flooding we're having here right on the east bank of the Mississippi.
[01:29:22.512 --> 01:29:26.717]  Because of the flooding, we've had to move a lot of our inventory to a temporary location.
[01:29:26.717 --> 01:29:34.705]  And rather than move it back to the warehouse, we thought we'd offer the system at a price that might seem unbelievable if you didn't know the floodwater's backstory.
[01:29:34.705 --> 01:29:35.967]  So here's what you should do right now.
[01:29:35.967 --> 01:29:37.949]  Check out the PPX Microgrid system
[01:29:38.109 --> 01:29:38.689]  That's right.
[01:29:57.568 --> 01:30:18.263]  For more than four days, the Democratic Party and their willing accomplices in the establishment media have been fighting to keep President Trump from being able to pass emergency funding through Congress to get money to the American people who've lost their jobs and to get money to the emergency first responders for basic medical equipment, respirators, you name it.
[01:30:18.723 --> 01:30:28.911]  We've seen all these Democrat leaders, governors, mayors, come out and say Trump hasn't lifted a finger while they're actually trying to tie him down in a straitjacket of lies.
[01:30:28.911 --> 01:30:30.853]  It is next level.
[01:30:30.853 --> 01:30:34.996]  I never thought they would go this far and be this criminal publicly.
[01:30:34.996 --> 01:30:37.318]  Yes, they hoped the virus would plunge the economy.
[01:30:37.318 --> 01:30:38.919]  Yes, they hyped it all up.
