[00:00:01.495 --> 00:00:03.896]  It's Monday, August 24th.
[01:05:00.743 --> 01:05:03.124]  Successive approximation.
[01:05:03.124 --> 01:05:08.007]  First they tell you only stay in your house for 15 days so the hospitals can stay empty.
[01:05:08.007 --> 01:05:09.167]  That was all a fraud.
[01:05:09.167 --> 01:05:10.948]  Then wear a mask for a month.
[01:05:10.948 --> 01:05:12.889]  Here we are six months later.
[01:05:12.889 --> 01:05:22.814]  Then they start making people at colleges and at big corporations wear wristbands showing that they've been, quote, contact traced and tested for COVID.
[01:05:22.814 --> 01:05:23.815]  Then comes the apps.
[01:05:24.315 --> 01:05:30.317]  On your phones and the global social credit score now being rolled out by Virginia, California, and others.
[01:05:30.317 --> 01:05:31.817]  It's not coming, it's here.
[01:05:31.817 --> 01:05:37.479]  And then the inoculations, if you ever want to leave your house, which amounts to forced inoculations.
[01:05:37.479 --> 01:05:40.120]  This is the medical tyranny takeover.
[01:05:40.120 --> 01:05:42.900]  These are not classic vaccines that have their own problems.
[01:05:42.900 --> 01:05:48.662]  These are DNA vaccines that change your DNA and are having massive, serious side effects.
[01:05:49.062 --> 01:05:50.043]  Guaranteed.
[01:05:50.043 --> 01:05:51.685]  This is about depopulation.
[01:05:51.685 --> 01:05:53.126]  Bill Gates admits that.
[01:05:53.126 --> 01:05:54.347]  This is an emergency.
[01:05:54.347 --> 01:05:55.749]  Resist or die.
[01:05:55.749 --> 01:05:56.770]  The New World Order is here.
[01:06:13.630 --> 01:06:18.613]  If you are receiving this transmission, you are the resistance.
[01:06:18.613 --> 01:06:24.557]  Live from the InfoWars.com studios, it's Alex Jones.
[01:06:24.557 --> 01:06:29.120]  All right, at the end of World War II, the United States dominated the planet.
[01:06:29.120 --> 01:06:34.043]  By 1955, we had about 53% of the world's wealth.
[01:06:34.043 --> 01:06:38.606]  We had the biggest middle class on the planet, bigger than all middle classes pretty much combined.
[01:06:39.878 --> 01:06:43.000]  But then corrupt corporations came in with the Rockefellers and others.
[01:06:43.000 --> 01:06:43.821]  This is all on record.
[01:06:43.821 --> 01:06:45.301]  They all brag about it.
[01:06:45.301 --> 01:06:48.744]  The Rockefellers, the Carnegie, the Ford Foundation.
[01:06:48.744 --> 01:07:06.255]  And they set up the program of complete and general disarmament and incrementally break up the country, divide the country to push liberation theology that would make racism against whites a new religion by minorities.
[01:07:06.255 --> 01:07:08.156]  This is the cold-blooded establishment
[01:07:09.420 --> 01:07:24.290]  Not wanting brown people to go, oh, I want an American system for South Africa, or for Libya, or for Venezuela, or for Japan.
[01:07:24.290 --> 01:07:25.731]  Of course, Japan got the American system.
[01:07:25.731 --> 01:07:26.632]  Look how successful they are now.
[01:07:28.806 --> 01:07:42.759]  So, our system, and this was in the British newspapers, it was in the Russian newspapers, if you go back 220 years ago, there are front page Times of London articles called, we must stop the American system.
[01:07:42.759 --> 01:07:47.644]  We can't compete with it, our mercantile system of licensing, our centralized systems can't compete.
[01:07:49.522 --> 01:07:58.146]  Now, Germany ended up being almost as powerful as the US, with only 40 million people in it by World War I, because they had such good scientists.
[01:07:58.146 --> 01:08:05.969]  So then the full-page ads in the British newspapers were, we've got to stop the German system, the German problem.
[01:08:05.969 --> 01:08:10.231]  Type in, British newspapers, the German problem.
[01:08:10.231 --> 01:08:10.832]  1913.
[01:08:10.832 --> 01:08:11.952]  You'll get the old articles.
[01:08:11.952 --> 01:08:14.793]  It was the top news.
[01:08:14.793 --> 01:08:15.634]  And it wasn't the...
[01:08:16.545 --> 01:08:20.626]  It wasn't the British people that were doing all this.
[01:08:20.626 --> 01:08:29.809]  It was the empire of these powerful families that was competing with America and competing with the Germans and the Russians to a lesser extent.
[01:08:29.809 --> 01:08:37.611]  You saw how the British Royalty and others actually funded the Bolsheviks to go in and take out their cousins, the Tsars, and set up that nightmare.
[01:08:37.611 --> 01:08:39.832]  So that was, you know, the British intelligence helped do that.
[01:08:39.832 --> 01:08:41.713]  So this is very nasty people, folks.
[01:08:41.713 --> 01:08:45.154]  Very, very Machiavelli, very evil.
[01:08:45.154 --> 01:08:45.774]  But then after
[01:08:46.977 --> 01:08:48.919]  Really, World War II, it was cemented.
[01:08:48.919 --> 01:08:52.883]  The United States merged with the British Empire for World War II.
[01:08:52.883 --> 01:08:55.585]  And that's called the special relationship today.
[01:08:55.585 --> 01:08:58.067]  So, let's get down to brass tacks.
[01:08:58.067 --> 01:08:59.349]  The Brits paid for all this.
[01:08:59.349 --> 01:09:01.811]  They're great people.
[01:09:01.811 --> 01:09:05.655]  The UK is under this new world order.
[01:09:05.655 --> 01:09:10.019]  It's been colonized by the third world populations, the globalists themselves colonized.
[01:09:11.516 --> 01:09:13.957]  You're saying, you're supposed to tell us about the Democrats' plan.
[01:09:13.957 --> 01:09:14.817]  Well, here's the deal.
[01:09:14.817 --> 01:09:26.402]  America now is supposed to be folded into this international order that the British Empire model set up, and at the center of that is to be communist China, and the United States and the UK are to now be
[01:09:27.458 --> 01:09:28.979]  Dissolved, basically.
[01:09:28.979 --> 01:09:30.881]  Well, there are certain elements in the U.S.
[01:09:30.881 --> 01:09:32.002]  and in the U.K.
[01:09:32.002 --> 01:09:35.045]  that are saying, hey, why don't we just not do that?
[01:09:35.045 --> 01:09:44.193]  So it's the E.U., the CHICOMS, Hollywood, the left, this international system, the big corporations that have agreed upon this Rockefeller plan, Rockefeller Rothschild plan.
[01:09:44.193 --> 01:09:47.817]  They all write books about it, white papers, Chinese century, all of it.
[01:09:47.817 --> 01:09:52.021]  It'll be a worldwide authoritarian system, and it will fully erase Western values.
[01:09:53.749 --> 01:09:58.632]  So there's a fight inside the establishment about, well, why should the CHICOMs run it all?
[01:09:58.632 --> 01:09:59.392]  We want to run it all.
[01:09:59.392 --> 01:10:02.934]  Plus, we don't want to have one-child policies and do all this stuff.
[01:10:02.934 --> 01:10:06.195]  So, there's a fight in the establishment.
[01:10:06.195 --> 01:10:09.717]  And Pelosi and all these people are just bought and paid for henchmen.
[01:10:09.717 --> 01:10:11.938]  They carry out the operations they're supposed to.
[01:10:11.938 --> 01:10:14.180]  Demoralize the nation, bankrupt it, shut it down.
[01:10:14.180 --> 01:10:16.000]  All that's public now.
[01:10:16.000 --> 01:10:18.982]  Give you worthless college degrees.
[01:10:18.982 --> 01:10:20.023]  Get you into debt.
[01:10:20.023 --> 01:10:20.963]  Take your guns.
[01:10:20.963 --> 01:10:22.224]  They're now out in the open because
[01:10:23.072 --> 01:10:24.093]  This is the collapse point.
[01:10:24.093 --> 01:10:28.438]  It was already supposed to happen under Hillary Clinton and fold us into the world government.
[01:10:28.438 --> 01:10:38.889]  Because you can't have an open, free society with guns and private property and families and swimming pools and churches and all this because they can't compete with that under an authoritarian system.
[01:10:38.889 --> 01:10:43.033]  They say it's bad for the earth while the globals fly around on their jumbo jets.
[01:10:43.033 --> 01:10:44.234]  So they want a post-human world.
[01:10:46.235 --> 01:10:50.757]  This is the end of freedom, the end of largesse, the end of all of it.
[01:10:50.757 --> 01:10:52.237]  Because a lot of folks don't care about freedom.
[01:10:52.237 --> 01:10:54.979]  Well, how about caring about food?
[01:10:54.979 --> 01:10:57.440]  You're not going to do well in the New World Order.
[01:10:57.440 --> 01:11:00.821]  99.9% of people will have less under this.
[01:11:00.821 --> 01:11:02.181]  This isn't an attack by the 1%.
[01:11:02.181 --> 01:11:11.565]  This is an attack by, we did the math once, of how the, you know, only a few hundred people have 80 plus percent of the wealth, and it came out to .000000000042.
[01:11:16.820 --> 01:11:19.462]  And that's just a guesstimation, you know, with the numbers we have.
[01:11:19.462 --> 01:11:29.508]  So it's this tiny group, doesn't want air travel for you, doesn't want you eating beef, doesn't want you going to the church you want, doesn't want you raising your kids the way you want, because they want your kids sterilized.
[01:11:29.508 --> 01:11:30.889]  They want a post-human world.
[01:11:30.889 --> 01:11:32.910]  So here's what's going to happen.
[01:11:32.910 --> 01:11:35.032]  There's a plan the globalists are following.
[01:11:35.032 --> 01:11:39.475]  Trump they see as a speed hump, as something that slows them down, as tar.
[01:11:41.448 --> 01:11:42.948]  That's their own description of it.
[01:11:42.948 --> 01:11:45.389]  Now, if we can use Trump to get full control of the U.S.
[01:11:45.389 --> 01:11:50.330]  and England and Brazil and a few other areas, we can really build a global alliance for a pro-human future.
[01:11:50.330 --> 01:11:51.811]  And that's what we're promoting here.
[01:11:51.811 --> 01:11:56.792]  And I know as their evil plan comes into fruition, people won't be laughing anymore.
[01:11:56.792 --> 01:11:58.512]  They'll be listening to what I said.
[01:11:58.512 --> 01:11:59.653]  Notice, they have.
[01:11:59.653 --> 01:12:04.034]  How many thousands of times for people who have been listening 20 years or longer than I say,
[01:12:04.696 --> 01:12:21.045]  I'll say all this now, you'll laugh, but then later we'll have total credibility, and everything we said will be dug up and looked at as gospel, because it is, because what I'm saying will happen, because the globalists are on track to do it, and only once we wake up will it slow down and then stop.
[01:12:21.045 --> 01:12:32.030]  So we've slowed them down, so they're having what they call an evolutionary jump point, where they're locking it all down, forcing us onto the new system with the COVID right now.
[01:12:32.030 --> 01:12:32.911]  So here's what's gonna happen.
[01:12:34.164 --> 01:12:37.127]  Trump is going to win in a landslide.
[01:12:37.127 --> 01:12:43.472]  They've put out 80 million ballots at least that are just floating around on purpose to gum up the post office, shut everything down.
[01:12:43.472 --> 01:12:52.840]  They then claim Trump was sabotaging and taking mailboxes away and wouldn't give them the money they needed to count the votes to legitimize the narrative when it all messes up that Trump did it.
[01:12:52.840 --> 01:12:59.605]  When the post office didn't want the money, they didn't need the $25 billion, Obama signed the order to remove a lot of the mailboxes you see around town.
[01:12:59.605 --> 01:13:01.287]  You know, the old-fashioned big blue heavy ones.
[01:13:03.527 --> 01:13:06.608]  They go videotape that happening here or there, say, oh look, Trump's doing it.
[01:13:06.608 --> 01:13:09.510]  That was a hoax.
[01:13:09.510 --> 01:13:12.691]  Election night happens.
[01:13:12.691 --> 01:13:21.475]  They have engaged in so much fraud and electronic fraud and illegals voting and dead people voting that Trump narrowly loses.
[01:13:21.475 --> 01:13:25.157]  Trump then challenges the fraud, as he rightfully should, has the evidence.
[01:13:25.157 --> 01:13:28.739]  They call him illegitimate, begin seceding, have their own inauguration.
[01:13:28.739 --> 01:13:29.299]  They said they will.
[01:13:30.492 --> 01:13:44.744]  The more apt, the more probable scenario, because the landslide is so big, the revulsion Americans have is so big, to Russiagate and the other coups, is that Trump wins in a landslide, there's a ton of fraud, but he still barely wins.
[01:13:44.744 --> 01:13:50.189]  They then say, okay, he didn't win the popular vote, we secede as well.
[01:13:50.189 --> 01:13:52.671]  Or he wins the popular vote, they will still
[01:13:54.096 --> 01:14:03.639]  Say that he shut down the post office and that he didn't give him the funds and so the votes didn't get counted and so he's illegitimate yet again, even if he officially wins.
[01:14:03.639 --> 01:14:10.482]  All three scenarios, you're going to have contention, you're going to have a challenge.
[01:14:10.482 --> 01:14:13.103]  They win, it's a fraud.
[01:14:13.103 --> 01:14:14.043]  Trump has to challenge.
[01:14:15.851 --> 01:14:19.133]  Trump wins the Electoral College but not the popular vote.
[01:14:19.133 --> 01:14:20.614]  They challenge.
[01:14:20.614 --> 01:14:22.635]  Trump wins overwhelmingly, resoundingly.
