[00:00:00.233 --> 00:00:00.314]  Oh.
[01:08:39.806 --> 01:08:43.567]  And to not play games with that.
[01:08:43.567 --> 01:08:44.828]  So, real leadership
[01:08:46.181 --> 01:08:55.909]  Is pure individualism connected to God, but realizing that you yourself will have to make sacrifices for the greater collective.
[01:08:55.909 --> 01:08:59.572]  Now they invert that and say, oh, we're all a collective, but a small group tells us what to do.
[01:08:59.572 --> 01:09:00.253]  No, no, no.
[01:09:00.253 --> 01:09:06.398]  Individuals make decisions that are right for everyone and themselves and others for the greater good.
[01:09:06.398 --> 01:09:10.661]  That is the pure collectivism of God.
[01:09:10.661 --> 01:09:12.483]  But in that collective, in that
[01:09:13.618 --> 01:09:26.548]  Colony, organism, there is the individual spirit, the individual cell, the individual system that is pointed at God, not pointed at man's system.
[01:09:26.548 --> 01:09:31.972]  That's why we have God over our Republic, because man would make themselves God.
[01:09:31.972 --> 01:09:33.893]  We have to recognize we are not God.
[01:09:33.893 --> 01:09:34.834]  We are not the highest.
[01:09:34.834 --> 01:09:36.175]  There is a transcendence.
[01:09:36.175 --> 01:09:37.816]  There are more levels above us.
[01:09:37.816 --> 01:09:40.178]  We must recognize that we are children.
[01:09:43.365 --> 01:09:48.108]  I could talk for a thousand hours on these subjects, but I just want you to understand that.
[01:09:48.108 --> 01:09:49.649]  Let's just get to some basics.
[01:09:49.649 --> 01:09:53.572]  I talked about one example of propaganda and not being one-dimensional.
[01:09:53.572 --> 01:09:55.093]  Being two-dimensional.
[01:09:55.093 --> 01:10:00.937]  Well, three-dimensional would be, well, okay, we know there's propaganda making us do this.
[01:10:00.937 --> 01:10:02.378]  Why is this being done?
[01:10:02.378 --> 01:10:03.479]  Who is behind that?
[01:10:03.479 --> 01:10:06.461]  That's third-dimensional.
[01:10:06.461 --> 01:10:07.382]  And then fourth-dimensional.
[01:10:08.652 --> 01:10:10.133]  What is the oppositional group?
[01:10:10.133 --> 01:10:12.175]  What's the larger pantheon of systems?
[01:10:12.175 --> 01:10:18.340]  And is there a fifth dimensional system directing those systems against each other for another aim?
[01:10:18.340 --> 01:10:22.263]  You can't just look at this aim, the right hand or the left hand aim.
[01:10:22.263 --> 01:10:27.687]  You have to then look at the larger systems around that and what is really governing them.
[01:10:27.687 --> 01:10:33.171]  And most people that are in advanced level of research understand the universe gets stuck at a fifth dimensional level.
[01:10:33.171 --> 01:10:35.013]  But then there are the dimensions above that.
[01:10:38.277 --> 01:10:52.530]  You're caught up in the fifth dimension, in the complexity and the Machiavellian-ness of it, from a human perspective, and you think that, oh, it must get more complex as you go up, but it actually gets more simple, but more pure.
[01:10:52.530 --> 01:10:59.556]  But because we're not pure beings, we cannot even begin to read that information, understand it, because we're children.
[01:10:59.556 --> 01:11:03.019]  And it's a process of learning, just like in life on this level of
[01:11:03.988 --> 01:11:08.251]  Our spirit's experience, our soul's experience.
[01:11:08.251 --> 01:11:10.913]  A three-year-old doesn't know what an 80-year-old knows.
[01:11:10.913 --> 01:11:13.374]  A 20-year-old doesn't know what a 60-year-old knows.
[01:11:13.374 --> 01:11:15.876]  A man will never know what a woman knows.
[01:11:15.876 --> 01:11:19.838]  A woman will never know what a man knows.
[01:11:19.838 --> 01:11:23.461]  But through this level, we fuse at the next level.
[01:11:23.461 --> 01:11:29.345]  That's why the Satanists try to create a system on this level where they fuse man and woman.
[01:11:29.345 --> 01:11:32.607]  It's an abomination because they've just seen to the next level.
[01:11:35.933 --> 01:11:40.598]  But still, the spirit is male with female.
[01:11:40.598 --> 01:11:43.742]  Now, I don't want to get esoteric, because you're not going to get any of this in books.
[01:11:43.742 --> 01:11:45.364]  You're not going to get any of this in Globeless Writings.
[01:11:45.364 --> 01:11:46.465]  You're not going to get any of this in church.
[01:11:46.465 --> 01:11:48.527]  You're not going to get this in Solomon's Secret Scrolls.
[01:11:48.527 --> 01:11:49.608]  You're not going to get this anywhere.
[01:11:49.608 --> 01:11:51.310]  You're going to get this with a direct connection to God.
[01:11:51.310 --> 01:11:52.652]  But let's talk when we come back.
[01:11:54.565 --> 01:12:08.095]  About specifics now and specifics to lead us out of this evil and what specific leadership could be executed now that would change the world because we have the keys to the castle.
[01:12:08.095 --> 01:12:10.677]  We have the deed to the castle.
[01:12:10.677 --> 01:12:13.980]  We have the will to open the door to the castle.
[01:12:13.980 --> 01:12:21.125]  We have the mind and the soul that once we're in the castle to realize it's not a castle at all.
[01:12:21.125 --> 01:12:21.665]  But another
[01:12:22.694 --> 01:12:33.402]  Dimensional gateway and itself a ship that once you realize is a ship opens up and is a whole nother level of the universe.
[01:12:33.402 --> 01:12:47.954]  But we'll move past the big trillion mile view right into the subatomic view on the other side here on terra firma planet Earth the year 2020 the year of vision the year of awakening the year of understanding the year of the Satanist fear.
[01:12:47.954 --> 01:12:48.434]  Stay with us.
[01:12:50.993 --> 01:12:57.518]  I'm going to say something right now that is one of the most important things I've ever said, so please listen very, very carefully.
[01:12:57.518 --> 01:13:03.402]  Donald Trump is not the reason they released COVID or had the lockdown.
[01:13:03.402 --> 01:13:08.045]  They already had this plan, the Rockefeller Foundation and Bill and Melinda Gates.
[01:13:08.045 --> 01:13:09.386]  It is beyond critical.
[01:13:10.393 --> 01:13:21.136]  It is life and death for you and your family to understand, no matter where you live on the planet, that this is a worldwide, world government takeover, on record, that it's never going to end.
[01:13:21.136 --> 01:13:23.237]  The United Nations has admitted that.
[01:13:23.237 --> 01:13:26.738]  First it's a month, then it's six months, then they say, okay, it's two years.
[01:13:26.738 --> 01:13:29.178]  They're now saying two years.
[01:13:29.178 --> 01:13:31.959]  They're now saying you'll never go back to normal.
[01:13:31.959 --> 01:13:34.260]  No more gatherings, no more anything.
[01:13:34.260 --> 01:13:37.281]  Constant forced inoculations that they admit don't even work.
[01:13:38.424 --> 01:13:41.249]  And the way they say they work, they change your DNA.
[01:13:41.249 --> 01:13:44.375]  This is the culling of the planet.
[01:13:44.375 --> 01:13:49.624]  This is the beginning of the straitjacket being put on you before you're slowly tortured to death and killed.
[01:13:49.624 --> 01:13:50.125]  Do you understand?
[01:13:51.872 --> 01:13:54.994]  How do you contest an election in the year 2020?
[01:13:54.994 --> 01:14:04.562]  Well, you trigger race riots, and you tell the blue states and blue cities, when you're the Speaker of the House, that you are legitimately now the President.
[01:14:04.562 --> 01:14:07.224]  That's what she said on CBS News.
[01:14:07.224 --> 01:14:10.307]  And that you're going to have those blue states secede.
[01:14:10.307 --> 01:14:14.130]  Yes, that's officially called a civil war, ladies and gentlemen.
[01:14:14.130 --> 01:14:18.213]  And the Democrats are backed by the EU, Hollywood, the Chi-Coms, and the whole globalist system.
[01:14:18.533 --> 01:14:28.799]  This is treason with a capital T. And our federal government is so paralyzed with cowards, they won't even stand up against it and do anything, even though our president has been exposing it.
[01:14:28.799 --> 01:14:30.060]  Here's the bottom line.
[01:14:30.060 --> 01:14:31.180]  You need storable food.
[01:14:31.180 --> 01:14:33.802]  We've got the best quality ready to ship to you right now.
[01:14:33.802 --> 01:14:35.142]  Two to four week delivery.
[01:14:35.142 --> 01:14:38.904]  With 80 days out from the election, you need to get high quality, storable food right now.
[01:14:38.904 --> 01:14:42.026]  In case they are able to pull this off, we're going to have a Great Depression.
[01:14:42.026 --> 01:14:42.967]  We're on the streets.
[01:14:42.967 --> 01:14:43.487]  It'll make a road
[01:14:43.567 --> 01:14:44.768]  You're listening to the Alex Jones Show.
[01:14:44.768 --> 01:14:45.448]  News, analysis, reports.
[01:14:45.448 --> 01:14:46.209]  It's the Alex Jones Show.
[01:15:13.168 --> 01:15:16.949]  All right, so let's cut right to the chase here.
[01:15:16.949 --> 01:15:21.850]  Leadership now is about understanding the types of leadership.
[01:15:21.850 --> 01:15:23.710]  And there's leadership by example.
[01:15:23.710 --> 01:15:27.771]  There's leadership by carrying out your duty.
[01:15:27.771 --> 01:15:32.452]  But if you boil it all down, there's leadership of following other people's directives.
[01:15:32.452 --> 01:15:37.113]  And so within that system, you're leading people to go along with something else.
[01:15:37.113 --> 01:15:39.634]  Or are you leading people against the system?
[01:15:40.845 --> 01:15:42.565]  We have to then know what system is that.
[01:15:42.565 --> 01:15:50.908]  Well, there's a global government system coming in and absorbing all the other systems to create one system so there's no resistance.
[01:15:50.908 --> 01:15:53.388]  That's an oversimplification.
[01:15:53.388 --> 01:16:00.050]  And so when you challenge the dominant system, you're going to be censored, you're going to be attacked.
[01:16:00.050 --> 01:16:02.751]  As Christ said, you're in the world, not of it.
[01:16:02.751 --> 01:16:03.571]  They're going to come after you.
[01:16:05.230 --> 01:16:15.096]  Well, that's okay, because this is an artificial, fraudulent corruption being projected over us that we must defeat.
[01:16:15.096 --> 01:16:22.661]  It's like not being a fish, but you're a mammal, and someone grabs you and plunges you down into 20 feet of water and is holding you there.
[01:16:22.661 --> 01:16:25.643]  You're going to drown unless you get back to the oxygen.
[01:16:25.643 --> 01:16:33.548]  So, if you're a drowning man, a society held under, and everyone knows it's unhealthy, everyone knows it's bad, is it leadership to struggle?
[01:16:35.731 --> 01:16:38.412]  Is it leadership to try to pull the hands off your neck?
[01:16:38.412 --> 01:16:42.254]  Or kick them in the groin to try to get this monster off you so you can get back to the oxygen?
[01:16:42.254 --> 01:16:51.458]  There's some people who might sit there with Stockholm Syndrome and say, if you just let this brute, who's got scuba tanks and we don't, hold us down here at the bottom of the pool, he'll leave us alone.
[01:16:51.458 --> 01:16:52.038]  He'll be nice.
[01:16:52.038 --> 01:16:56.020]  Until you look over and there's other dead bodies all around you at the bottom.
[01:16:56.020 --> 01:16:57.781]  And he's smiling at you.
[01:16:57.781 --> 01:16:59.581]  And your lives are going to go out soon.
[01:16:59.581 --> 01:17:00.322]  And he's going to win.
[01:17:01.741 --> 01:17:05.684]  So see, leadership's realizing there's no leadership at all.
[01:17:05.684 --> 01:17:14.352]  There's your will to survive, your will to thrive, your will to reach out towards God or be a slave.
[01:17:14.352 --> 01:17:28.964]  There's the will of making the decision that you're not going to be destroyed, that you're not going to be lied to, that you're not going to be passive, that you're not going to be weak, that you're not going to be a victim with Stockholm Syndrome, that you've all been primed to be, to just be, feel sorry for yourself and lay down and take it.
