[00:00:06.602 --> 00:00:08.624]  It's Monday, October 12th.
[01:06:43.546 --> 01:06:44.527]  And this other huge news.
[01:06:46.667 --> 01:06:48.028]  Gotta give credit to the Australian News.
[01:06:48.028 --> 01:06:50.410]  Australian News ABC.
[01:06:50.410 --> 01:06:53.553]  That's the state-run media over there, not our ABC.
[01:06:53.553 --> 01:06:57.656]  And there are other big stations, other big papers.
[01:06:57.656 --> 01:07:01.500]  WHO backflips on virus stance by condemning lockdowns.
[01:07:01.500 --> 01:07:04.182]  All of it just says it's a fraud, it's killing the economy and starving millions.
[01:07:04.182 --> 01:07:05.183]  Wow!
[01:07:05.183 --> 01:07:12.229]  Instead of just implementing a lockdown and then getting money to feed people after they caused the crisis, they're actually, they're head-on voice saying it's got to stop.
[01:07:12.229 --> 01:07:13.510]  Wow!
[01:07:13.510 --> 01:07:14.151]  Pigs fly!
[01:07:15.316 --> 01:07:19.338]  But I mean, you are talking about Hitlerian-level murder.
[01:07:19.338 --> 01:07:23.459]  I mean, forget Hitlerian, this is going to kill more than Hitler.
[01:07:23.459 --> 01:07:26.340]  Malice-level killing here.
[01:07:26.340 --> 01:07:33.103]  Where Bill and Melinda Gates tell the UN and China how to run the scam, they run the scam, and then all hell breaks loose.
[01:07:33.103 --> 01:07:36.384]  So that is absolutely huge news.
[01:07:36.384 --> 01:07:42.947]  Now I've got all this campaign news, and all the COVID-19 news, and I've got a bunch of video clips and things I want to get to.
[01:07:42.947 --> 01:07:43.687]  There's so much.
[01:07:44.804 --> 01:07:48.246]  We're gonna be covering here today, but let's start doing your phone calls.
[01:07:48.246 --> 01:07:54.829]  Tristan, and Todd, and Joe, and Henry, and Cece, and Tom, and Cruz, and Jonathan, and Jay, and Patriot.
[01:07:54.829 --> 01:07:58.391]  The toll-free number to join us is 877-789-ALEX.
[01:07:58.391 --> 01:08:04.094]  On this live Monday, October 12th, transmission, 21 days out from the election.
[01:08:04.094 --> 01:08:09.696]  You can talk about the UN admission that the COVID lockdown is a weapon to starve people to death.
[01:08:09.696 --> 01:08:12.018]  You can get into what you think Trump's up to.
[01:08:13.052 --> 01:08:19.396]  You can get into what you think of the economy, what you think the dirty tricks are the left's gonna pull, what you think of Biden degenerating.
[01:08:19.396 --> 01:08:20.196]  I've got videos.
[01:08:20.196 --> 01:08:24.018]  In fact, did I tell you those videos, guys, where Biden doesn't even know where he is in these new videos?
[01:08:24.018 --> 01:08:25.119]  I think I forgot to show those to you.
[01:08:25.119 --> 01:08:26.780]  I've got them right here.
[01:08:26.780 --> 01:08:27.720]  It's all coming up.
[01:08:27.720 --> 01:08:34.404]  But just whatever you want to talk about, it's like the Ted Nugent song.
[01:08:34.404 --> 01:08:36.245]  It's a free-for-all.
[01:08:36.245 --> 01:08:37.926]  It's a free-for-all.
[01:08:37.926 --> 01:08:39.026]  So let's go ahead and
[01:08:40.509 --> 01:08:42.710]  Take a call from who's been holding the longest.
[01:08:42.710 --> 01:08:45.911]  That would be Tristan in Oregon.
[01:08:45.911 --> 01:08:50.272]  Welcome.
[01:08:50.272 --> 01:08:51.713]  Hi, Tristan.
[01:08:51.713 --> 01:08:52.733]  Hey, can you hear me?
[01:08:52.733 --> 01:08:54.634]  I can, brother.
[01:08:54.634 --> 01:08:55.494]  Alrighty.
[01:08:55.494 --> 01:08:59.476]  So, yeah, I'm a high school senior here in Oregon.
[01:08:59.476 --> 01:09:08.199]  I'd like to first start off by saying, being somebody who actually lives in Oregon with all the craziness in Portland, I can tell you, it's real.
[01:09:08.199 --> 01:09:08.579]  Alright?
[01:09:09.957 --> 01:09:12.018]  But the New York Times said nothing happened.
[01:09:12.018 --> 01:09:14.580]  They said it's peaceful.
[01:09:14.580 --> 01:09:16.821]  Yeah, no, no, it's definitely not.
[01:09:16.821 --> 01:09:20.784]  Every time I've gone up to Portland, it's been one thing after another.
[01:09:20.784 --> 01:09:24.185]  Sir, I've got the New York Times right here, it says it doesn't exist, sir.
[01:09:24.185 --> 01:09:26.907]  You heard Nadler, he said it doesn't exist!
[01:09:26.907 --> 01:09:37.113]  Yeah, and another thing, I don't know if you've seen the exact article, but recently a statement came out, I believe it was the Secretary of Defense,
[01:09:37.782 --> 01:09:48.569]  Who said that they had been receiving intelligence that foreign operatives were training left-wing groups like Antifa to stage an organized armed resistance within the U.S.
[01:09:48.569 --> 01:09:49.850]  And they tried to bury the article.
[01:09:49.850 --> 01:09:50.650]  You can't hardly find it anymore.
[01:09:50.650 --> 01:09:51.811]  Now, you know, I did see that article.
[01:09:51.811 --> 01:09:52.852]  In fact, guys, reprint that.
[01:09:52.852 --> 01:09:53.632]  What was the headline?
[01:09:53.632 --> 01:09:57.435]  Secretary of Defense says, says leftist radicals being trained by foreign powers.
[01:09:57.435 --> 01:10:00.277]  And I think they were saying ISIS and China were involved, right?
[01:10:01.044 --> 01:10:02.544]  I believe that was the case.
[01:10:02.544 --> 01:10:05.905]  Well, sir, I can tell you that it's mainstream news.
[01:10:05.905 --> 01:10:07.026]  They caught him.
[01:10:07.026 --> 01:10:18.369]  Thousands of Antifa fighters went to fight alongside the Kurds against Assad in the last seven years, and so that goes on as well.
[01:10:18.369 --> 01:10:20.230]  Yeah.
[01:10:20.230 --> 01:10:22.770]  It's hard to find the article anymore.
[01:10:22.770 --> 01:10:27.752]  I imagine that they tried to bury it a little bit, but particularly here in the Northwest,
[01:10:28.430 --> 01:10:37.526]  Kind of where, uh, groups like Antifa... Well, I'll tell you what I've been seeing pop up in, in, like, LA Times and mainstream news for 25 years.
[01:10:37.526 --> 01:10:38.307]  First time I saw it was 19...
[01:10:40.121 --> 01:10:43.404]  96, I guess that's about 24 years, was L.A.
[01:10:43.404 --> 01:10:43.984]  Times.
[01:10:43.984 --> 01:10:51.690]  Containers full of AK-47s and hand grenades seized coming in from, in Costco containers from China.
[01:10:51.690 --> 01:11:03.619]  Well, we've confirmed, I saw these reports a few months ago and I checked with sources inside federal law enforcement, they confirmed they are, they are finding guns from China, full auto, that have been shipped in to crime gangs around the country.
[01:11:03.619 --> 01:11:04.140]  What do you make of that?
[01:11:05.271 --> 01:11:10.979]  I believe I've seen that as well, and that kind of mirrors something that happened, I believe it's Boise.
[01:11:10.979 --> 01:11:20.292]  There was a protest a while back, and pallets of brick started shilling up on the side of the road, but that's been happening all over the country for some time now.
[01:11:21.101 --> 01:11:22.563]  And they don't like to address that.
[01:11:22.563 --> 01:11:23.644]  And they tried to deny that.
[01:11:23.644 --> 01:11:26.727]  Then they found one innocent guy that put bricks out.
[01:11:26.727 --> 01:11:29.310]  Did they go to him and say, oh, none of it's really happening.
[01:11:29.310 --> 01:11:29.690]  BS.
[01:11:29.690 --> 01:11:30.932]  They're delivering bricks.
[01:11:30.932 --> 01:11:31.993]  They're delivering shields.
[01:11:31.993 --> 01:11:36.758]  They're delivering clubs from George Soros funded groups and groups funded by Jack Dorsey.
[01:11:36.758 --> 01:11:38.140]  Appreciate your call, brother.
[01:11:38.140 --> 01:11:38.440]  All right.
[01:11:38.440 --> 01:11:39.561]  I got to one call that segment.
[01:11:39.561 --> 01:11:40.963]  I'll try to get to four or five next segment.
[01:11:42.183 --> 01:11:48.609]  Up next, when we come back, will be Todd, Henry, Joe, CeCe, and many, many others.
[01:11:48.609 --> 01:11:58.557]  Please don't forget, there is seven days left now in the InfoWars total blowout, up to 60% off free shipping at InfoWarsTore.com, because everything's selling out.
[01:11:58.877 --> 01:11:59.959]  Highest quality fish oil.
[01:11:59.959 --> 01:12:00.960]  Highest quality krill oil.
[01:12:00.960 --> 01:12:01.761]  So amazing.
[01:12:01.761 --> 01:12:05.566]  Look at what it does for your energy, your mind, your body, your health, your cardiovascular, all of it.
[01:12:05.566 --> 01:12:06.127]  It's just crazy.
[01:12:06.127 --> 01:12:08.049]  When I forget to take it, I really feel it.
[01:12:08.049 --> 01:12:09.231]  We've got RainForce Plus.
[01:12:09.231 --> 01:12:09.972]  Last run of that.
[01:12:09.972 --> 01:12:15.299]  I know it's a bestseller because we're about to come out with a new version, but it's the last run of that.
[01:12:15.299 --> 01:12:16.040]  50% off free shipping.
[01:12:16.821 --> 01:12:17.721]  Super Mel Vitality.
[01:12:17.721 --> 01:12:19.362]  Incredible high quality.
[01:12:19.362 --> 01:12:19.942]  50% off.
[01:12:19.942 --> 01:12:21.362]  Free shipping.
[01:12:21.362 --> 01:12:22.023]  Winter Sun.
[01:12:22.023 --> 01:12:25.263]  Highest quality vitamin D3 and vitamin K. So good for your immune system.
[01:12:25.263 --> 01:12:26.204]  That's selling out.
[01:12:26.204 --> 01:12:27.644]  Still discounted.
[01:12:27.644 --> 01:12:28.725]  Body's selling out.
[01:12:28.725 --> 01:12:30.625]  Still discounted.
[01:12:30.625 --> 01:12:31.605]  Vitamin Refusion.
[01:12:31.605 --> 01:12:32.085]  Selling out.
[01:12:32.085 --> 01:12:33.706]  Still discounted.
[01:12:33.706 --> 01:12:36.007]  Prostagard with the high quality zinc and salt palmetto.
[01:12:36.007 --> 01:12:36.487]  Selling out.
[01:12:36.487 --> 01:12:37.607]  Still discounted.
[01:12:37.607 --> 01:12:38.547]  8-pack Power Stack.
[01:12:38.547 --> 01:12:39.228]  Last chance to get it.
[01:12:39.228 --> 01:12:40.508]  It'll be sold out within 2 days.
[01:12:40.508 --> 01:12:41.448]  60% off.
[01:12:41.448 --> 01:12:42.268]  Free shipping.
[01:12:42.268 --> 01:12:44.009]  InfoWarsTore.com.
[01:12:51.253 --> 01:12:54.416]  The future isn't coming, it's here.
[01:12:54.416 --> 01:13:02.981]  And in the future, keeping your humanity, saving your soul, your integrity, your very essence, is going to be your most valuable asset.
[01:13:02.981 --> 01:13:05.543]  In fact, it's going to be your only asset.
[01:13:06.563 --> 01:13:21.753]  The world being built by the technocrats and the trap they've now sprung is COVID-19 and the endless lockdown is the beginning of the process of taking us past domestication into total and complete dehumanization.
[01:13:23.014 --> 01:13:29.139]  Human life will be impossible to be carried out in an original biological way by the year 2050.
[01:13:29.139 --> 01:13:32.982]  This is their stated goal.
[01:13:32.982 --> 01:13:41.249]  I'm sorry to have to report horrifying things like this to you, but only by facing the horror and not projecting your own decency onto the enemy.
[01:13:41.249 --> 01:13:43.251]  Let me turn this around.
[01:13:43.251 --> 01:13:48.655]  You must study their own writings, you must face the facts, and you must come to grips with it.
[01:13:48.655 --> 01:13:50.277]  You're all being incrementally destroyed.
[01:13:51.618 --> 01:14:08.328]  The Bible talks about there being ten kings of the earth that sit above the nation states and who give their power unto the one world leader, the Antichrist, and that he has a beast system that no one can buy and or sell unless he has that marked in the forehead or in the palm of their hand.
[01:14:08.328 --> 01:14:15.512]  And we look back on all the warnings that were given and all just the common sense that even if you don't believe in God,
[01:14:16.212 --> 01:14:16.853]  We're here!
[01:14:46.192 --> 01:14:48.054]  They're just rolling it out.
[01:14:48.054 --> 01:14:49.375]  And a lot of people are complying with it.
[01:14:49.375 --> 01:14:53.918]  It's insane.
[01:14:53.918 --> 01:15:02.405]  You're listening to the Alex Jones Show.
[01:15:02.405 --> 01:15:11.613]  Old pirates, yes they rob I. Sold I to the merchant ships.
[01:15:11.613 --> 01:15:13.775]  Minutes after they took I.
[01:15:16.320 --> 01:15:21.264]  That's right.
[01:15:21.264 --> 01:15:27.670]  We're made strong by God.
[01:15:27.670 --> 01:15:33.675]  On our own strength.
[01:15:33.675 --> 01:15:34.496]  Spirit.
[01:15:34.496 --> 01:15:38.720]  If the spirit isn't with you, you're dead.
[01:15:38.720 --> 01:15:41.943]  If you have a spirit, you live forever.
[01:15:44.474 --> 01:15:50.059]  It's all I'll ever have.
[01:15:50.059 --> 01:15:50.700]  I don't know.
[01:15:50.700 --> 01:15:54.163]  Somebody didn't tell the German police.
[01:15:54.163 --> 01:16:02.190]  Because the New York Times and Congressman Nadler says there's no such thing as Antifa.
[01:16:02.190 --> 01:16:03.551]  It doesn't exist.
[01:16:03.551 --> 01:16:07.154]  But I mean, this is an article that just went up on Infowars.com with video.
[01:16:07.154 --> 01:16:10.317]  German police raid Antifa squat house in Berlin.
[01:16:11.863 --> 01:16:26.231]  InfoWarsEurope report from the scenes of a clash between German police, that's EuropeWars.com, and Antifa in Berlin after authorities evicted dozens of left-wing radicals from a squat house that had been occupied for decades.
[01:16:26.231 --> 01:16:27.192]  Decades.
[01:16:27.192 --> 01:16:38.999]  German MP Peter Berstrand explains that 2,500 officers were deployed from the capital to mitigate violence riots by Antifa who had summoned reinforcements from around Europe
[01:16:39.878 --> 01:16:42.461]  For a weekend of retaliatory chaos.
[01:16:42.461 --> 01:16:49.709]  And it's a bunch of drug addicts that just sit around having sex all day and everything else you can imagine.
