[00:00:02.431 --> 00:00:04.673]  January 21st, 2020.
[01:10:32.822 --> 01:10:38.267]  The only true crime is to propose a policy that they don't like, or to investigate them.
[01:10:39.597 --> 01:10:39.837]  I think?
[01:10:55.852 --> 01:10:57.654]  Vote guilty.
[01:10:57.654 --> 01:10:58.634]  55 said not guilty.
[01:10:58.634 --> 01:11:03.618]  Now that was a clear, clear jury nullification case.
[01:11:03.618 --> 01:11:09.262]  They won't call it that because they're a bunch of lawyers and they don't want to use that term because they want to keep you in the dark.
[01:11:09.262 --> 01:11:13.865]  All this talk from Chuck Schumer about how, oh they want to have this testimony late at night.
[01:11:13.865 --> 01:11:14.786]  They want to keep you in the dark.
[01:11:14.786 --> 01:11:17.968]  They want to keep you in the dark about jury nullification.
[01:11:17.968 --> 01:11:21.231]  Even Alan Dershowitz, who is defending President Trump,
[01:11:22.943 --> 01:11:29.949]  I guess somebody went to him and said, you need a criminal lawyer.
[01:11:29.949 --> 01:11:31.571]  You know, like Better Call Saul?
[01:11:31.571 --> 01:11:32.451]  You need a criminal lawyer.
[01:11:32.451 --> 01:11:32.992]  Yeah, I know.
[01:11:32.992 --> 01:11:34.934]  No, you need a criminal lawyer.
[01:11:34.934 --> 01:11:40.718]  Well, you know, President Trump did not commit any crime with these charges that they have brought against him.
[01:11:40.718 --> 01:11:43.521]  It's not a crime to investigate corruption.
[01:11:43.521 --> 01:11:47.144]  It's not a crime to delay foreign aid to Ukraine if you think that they're corrupt.
[01:11:48.744 --> 01:11:54.168]  As a matter of fact, I think we ought to be a lot more stingy and have a lot more conditions on foreign aid.
[01:11:54.168 --> 01:11:57.171]  As a matter of fact, I think we ought to stop it altogether.
[01:11:57.171 --> 01:12:09.140]  But nevertheless, he did not commit any crime, but Alan Dershowitz has defended, if you remember, he's defended OJ Simpson, he defended Jeffrey Epstein.
[01:12:09.140 --> 01:12:15.666]  And when we look at this particular case, there was absolutely no question
[01:12:16.522 --> 01:12:18.763]  That Bill Clinton committed perjury.
[01:12:18.763 --> 01:12:19.603]  No question.
[01:12:19.603 --> 01:12:20.483]  They had the dress.
[01:12:20.483 --> 01:12:24.525]  They had objective evidence.
[01:12:24.525 --> 01:12:26.986]  And that's one of the reasons why Ken Starr couldn't look the other way.
[01:12:26.986 --> 01:12:32.888]  Because Ken Starr also was a defender of Jeffrey Epstein.
[01:12:32.888 --> 01:12:36.629]  And he defended the football team there at Baylor when he was president.
[01:12:36.629 --> 01:12:39.210]  When they violently sexually assaulted women.
[01:12:39.210 --> 01:12:41.311]  He doesn't have a problem with that.
[01:12:41.311 --> 01:12:43.452]  He will do whatever men in power want him to do.
[01:12:45.690 --> 01:12:53.814]  But the Senate there, by 55 to 45, essentially did jury nullification.
[01:12:53.814 --> 01:13:05.260]  They looked at it, they said, yes, of course, we all know that he had an affair, we got the stain on the dress, and we have him on videotape lying under oath.
[01:13:05.260 --> 01:13:08.102]  Objectively, he committed perjury.
[01:13:08.102 --> 01:13:09.703]  No question about it.
[01:13:09.703 --> 01:13:12.004]  But we don't agree with the penalty.
[01:13:12.004 --> 01:13:13.425]  We don't think that it's strong enough.
[01:13:14.244 --> 01:13:18.126]  That he should be removed from office for whatever reason.
[01:13:18.126 --> 01:13:19.526]  And that's called jury nullification.
[01:13:19.526 --> 01:13:29.071]  When you know that the person objectively committed the crime, but you don't agree with the law, or you don't agree with the penalty, removing him from office.
[01:13:29.071 --> 01:13:30.852]  That's called jury nullification.
[01:13:30.852 --> 01:13:37.695]  And I wish we had somebody other than lawyers like Alan Dershowitz be honest with us.
[01:13:37.695 --> 01:13:40.156]  And just say, it's a case for jury nullification.
[01:13:40.156 --> 01:13:41.617]  This, even if it were true,
[01:13:42.847 --> 01:13:44.207]  And it's not true.
[01:13:44.207 --> 01:13:50.290]  Even if it were true, it would not be a crime, really, and it would not be serious enough to warrant the removal of office.
[01:13:50.290 --> 01:13:51.690]  But it's not true.
[01:13:51.690 --> 01:13:52.851]  I've said this from the very beginning.
[01:13:52.851 --> 01:13:57.092]  I remember when the documents were released.
[01:13:57.092 --> 01:14:03.934]  They were released live on the morning show that I host here, before the show every morning.
[01:14:03.934 --> 01:14:05.855]  And I got handed the documents.
[01:14:05.855 --> 01:14:06.575]  I said, look at this.
[01:14:06.575 --> 01:14:07.916]  First of all, this complaint
[01:14:08.837 --> 01:14:10.777]  The guy says, well, I heard it from other people.
[01:14:10.777 --> 01:14:16.759]  How do you have a complaint and the basis for an impeachment on hearsay evidence?
[01:14:16.759 --> 01:14:18.159]  And who was it that told him this?
[01:14:18.159 --> 01:14:21.860]  Oh, well, we can't talk about Eric CIA Romella or anybody else.
[01:14:21.860 --> 01:14:27.322]  I mean, obvious to us what is going on with this, isn't it?
[01:14:27.322 --> 01:14:32.103]  And the fact that President Trump, even before that, immediately declassified the transcript.
[01:14:32.103 --> 01:14:32.723]  I said, look at this.
[01:14:33.949 --> 01:14:41.993]  You've got even the president of Ukraine saying, yeah, you know, we've got a lot of corruption here in Ukraine and we want to drain the swamp.
[01:14:41.993 --> 01:14:46.516]  He said that before President Trump said anything to him about that.
[01:14:46.516 --> 01:14:49.698]  He brought up the corruption in Ukraine.
[01:14:49.698 --> 01:15:01.424]  And like Rand Paul said, since when are we bound, as a president, bound to give money to foreign aid to a country even if we know it's got rampant corruption in that country?
[01:15:02.912 --> 01:15:05.558]  Yeah, that's the amazing thing about this.
[01:15:05.558 --> 01:15:07.964]  We have turned everything upside down.
[01:15:07.964 --> 01:15:09.067]  Foreign aid must be given!
[01:15:10.239 --> 01:15:15.623]  Regardless of how corrupt the government is, the President doesn't set foreign policy, the Senate does.
[01:15:15.623 --> 01:15:17.264]  Well, none of that is true.
[01:15:17.264 --> 01:15:18.185]  None of that is true.
[01:15:18.185 --> 01:15:20.687]  Just like they said the President couldn't build a wall.
[01:15:20.687 --> 01:15:23.409]  He couldn't use the military to defend our country.
[01:15:23.409 --> 01:15:28.813]  But he can build as many military bases, as many airfields as he wants to in Syria.
[01:15:28.813 --> 01:15:33.657]  He must defend the border between Turkey and Syria to defend the Kurds and so forth.
[01:15:33.657 --> 01:15:35.158]  But don't do anything to defend Americans.
[01:15:36.101 --> 01:15:37.262]  We're told that by the Democrats.
[01:15:37.262 --> 01:15:40.585]  We're told that by the judicial tyrants.
[01:15:40.585 --> 01:15:43.408]  Oh, by the way, we have to end judicial supremacy.
[01:15:43.408 --> 01:15:46.571]  And we'll be talking more about the show trial when we come back.
[01:15:46.571 --> 01:15:47.012]  Stay with us.
[01:15:55.598 --> 01:16:01.343]  Finally, there's a way for you to get into the blockchain, the hottest financial sector without all the speculation.
[01:16:01.343 --> 01:16:06.448]  Now, enjoy a 27% annualized payment each month without the ups and downs of Bitcoin.
[01:16:06.448 --> 01:16:14.175]  Seen on programs broadcast on Fox Business News, blockchain data centers offer an equipment leasing program in the explosive digital asset marketplace.
[01:16:14.175 --> 01:16:22.062]  Inspired by entrepreneurs who sold picks and shovels during the gold rush, the money is in the mining equipment used to manufacture dozens of critical digital assets.
[01:16:22.222 --> 01:16:24.004]  Not a security IPO or note.
[01:16:24.004 --> 01:16:33.532]  Blockchain data centers have a proven turnkey equipment sale leaseback program with a 27% annualized lease payment deposited into your bank account each month.
[01:16:33.532 --> 01:16:34.373]  Don't miss this one.
[01:16:34.373 --> 01:16:35.674]  Stake your claim today.
[01:16:35.674 --> 01:16:35.954]  Call 800-600-3388.
[01:16:35.954 --> 01:16:36.255]  That's 800-600-3388.
[01:16:36.255 --> 01:16:38.377]  These valuable lease contracts won't last long.
[01:16:38.377 --> 01:16:38.677]  Call now.
[01:16:38.677 --> 01:16:38.737]  800-600-3388.
[01:16:38.737 --> 01:16:38.777]  800-600-3388.
[01:16:48.906 --> 01:16:50.329]  Equipment offered poses a financial risk.
[01:16:50.329 --> 01:16:52.252]  Owners consult with financial professionals before purchasing.
[01:16:52.252 --> 01:16:54.777]  Not an offer to buy or sell a security which requires an offering document.
[01:16:55.214 --> 01:16:58.656]  I'm here with Scott Youseum, founder of OMG Tax.
[01:16:58.656 --> 01:17:03.519]  Tell us how your company helps our listeners out there who have a problem with the IRS.
[01:17:03.519 --> 01:17:09.923]  My team of lawyers, enrolled agents, and licensed tax experts remove wage garnishments sometimes in the same day.
[01:17:09.923 --> 01:17:15.407]  We even have reduced the total debt some of our clients were required to pay through what is known as an offer in compromise.
[01:17:15.407 --> 01:17:17.828]  Can you give us an example of somebody you help?
[01:17:17.828 --> 01:17:19.289]  Oh, can I ever?
[01:17:19.289 --> 01:17:21.370]  We have taken a $500,000 liability with the IRS
[01:17:24.412 --> 01:17:25.173]  Guess what?
[01:17:25.173 --> 01:17:30.239]  The client didn't pay a dime through the representation known as non-collectible status with the government.
[01:17:30.239 --> 01:17:40.511]  If you owe the IRS more than $10,000 and you want to see if it's possible to pay a lot less, call OMG Tax right now for a free tax-saving consultation.
[01:17:40.751 --> 01:17:41.011]  Call 800-486-8112.
[01:17:41.011 --> 01:17:41.071]  800-486-8112.
[01:17:41.071 --> 01:17:41.131]  800-486-8112.
[01:17:41.131 --> 01:17:41.372]  That's 800-486-8112.
[01:17:56.519 --> 01:18:02.325]  I wanted to talk about Super Silver whitening toothpaste because I hadn't tried it except for maybe the last week and a half.
[01:18:02.325 --> 01:18:06.029]  And I told Alex, I said, man, this is the best toothpaste I've ever tried.
[01:18:06.029 --> 01:18:08.192]  He's like, well, what are you doing just sitting in here telling me?
[01:18:08.192 --> 01:18:10.034]  You got to get up there and tell people.
[01:18:10.034 --> 01:18:11.616]  So here I am telling people.
[01:18:12.356 --> 01:18:17.600]  Super Silver Whitening Toothpaste is by far the best toothpaste I've ever tried.
[01:18:17.600 --> 01:18:18.841]  And I'm 45 years old.
[01:18:18.841 --> 01:18:20.802]  And I've tried a lot of different toothpaste.
[01:18:20.802 --> 01:18:22.523]  And it's fluoride-free.
[01:18:22.523 --> 01:18:25.765]  I think the big difference, the game-changer in this is the Coral Calcium.
[01:18:25.765 --> 01:18:29.388]  Because after I brush my teeth with this, they feel so clean.
[01:18:29.388 --> 01:18:34.051]  And the toothpaste, I don't even like rinse out my mouth after I brush my teeth with this.
[01:18:34.051 --> 01:18:36.432]  It feels so good.
[01:18:36.432 --> 01:18:39.494]  It feels like good things are happening in my mouth.
[01:18:39.494 --> 01:18:41.796]  In fact, I find myself brushing my teeth
[01:18:42.516 --> 01:18:45.679]  Three to four times a day rather than just twice a day now.
[01:18:45.679 --> 01:18:56.767]  Because I like the way it feels.
[01:18:56.767 --> 01:18:58.949]  Hey, you there.
[01:18:58.949 --> 01:19:00.670]  We have a problem.
[01:19:00.670 --> 01:19:03.492]  You see, there is a baby.
[01:19:03.492 --> 01:19:07.395]  The mother of this baby is not sure she's ready.
[01:19:07.395 --> 01:19:10.437]  The father of this baby doesn't want to settle down.
[01:19:11.462 --> 01:19:14.263]  The mother starts to have regrets.
[01:19:14.263 --> 01:19:18.025]  The father considers leaving town.
[01:19:18.025 --> 01:19:21.366]  But a friend says there's a solution.
[01:19:21.366 --> 01:19:25.508]  She says to have an abortion.
[01:19:25.508 --> 01:19:27.409]  The mother decides to look into it.
[01:19:27.409 --> 01:19:30.491]  The clinic assures her it's safe.
[01:19:30.491 --> 01:19:32.271]  She's made her decision.
[01:19:32.271 --> 01:19:34.772]  She's going to have an abortion.
[01:19:34.772 --> 01:19:38.014]  The problem is that baby is you.
