[00:00:12.403 --> 00:00:14.684]  Wednesday, February 12, 2020.
[01:17:35.476 --> 01:17:35.777]  That's 800-600-3388.
[01:17:35.777 --> 01:17:37.899]  These valuable lease contracts won't last long.
[01:17:37.899 --> 01:17:38.119]  Call now.
[01:17:38.119 --> 01:17:38.179]  800-600-3388.
[01:17:38.179 --> 01:17:38.219]  800-600-3388.
[01:17:48.408 --> 01:17:50.074]  Equipment offered poses a financial risk to owners.
[01:17:50.074 --> 01:17:51.779]  Consult with financial professionals before purchasing.
[01:17:51.779 --> 01:17:54.308]  Not an offer to buy or sell the security which requires an offering document.
[01:17:58.117 --> 01:18:06.565]  Three weeks ago, we told you the Pentagon had set up secret quarantine centers for the coronavirus and that they believed it was much more serious than we were being told.
[01:18:06.565 --> 01:18:08.547]  Now we know that that is the case.
[01:18:08.547 --> 01:18:14.774]  And we know the federal government and major corporations have been buying up all the major storable food supplies around the country.
[01:18:14.774 --> 01:18:16.595]  Almost everyone else is sold out.
[01:18:16.595 --> 01:18:22.061]  But our supplier, MyPatriot, at InfowarsStore.com, still has their entire line
[01:18:22.481 --> 01:18:24.021]  High-quality, fresh food.
[01:18:24.021 --> 01:18:25.142]  And it's fresh.
[01:18:25.142 --> 01:18:27.702]  That's why you have to wait 10 to 14 days for it to get delivered.
[01:18:27.702 --> 01:18:33.644]  Not because they don't have the food, but because they've got to package it, and their factories are going 24 hours a day.
[01:18:33.644 --> 01:18:35.144]  High-quality, fresh food.
[01:18:35.144 --> 01:18:36.504]  The best package systems.
[01:18:36.504 --> 01:18:37.264]  Tastes great.
[01:18:37.264 --> 01:18:38.505]  Protects you and your family.
[01:18:38.505 --> 01:18:39.845]  And funds the InfoWar.
[01:18:39.845 --> 01:18:44.566]  You've just got to get the orders in until they extend it out even more, which could happen.
[01:18:44.566 --> 01:18:45.906]  Lock in your orders now.
[01:18:45.906 --> 01:18:48.707]  Ensure you get it at InfoWarStore.com today.
[01:18:49.307 --> 01:18:56.772]  If you are receiving this transmission, you are the resistance.
[01:18:56.772 --> 01:19:10.220]  I have confirmed with high-level sources that President Trump is intending to either pardon Roger Stone after his sentencing or give him clemency, saying the conviction stands, but you now basically don't go to jail.
[01:19:10.220 --> 01:19:12.962]  Either way, this is incredibly good news, but
[01:19:13.462 --> 01:19:15.502]  Let's not forget Julian Assange.
[01:19:15.502 --> 01:19:20.563]  That's one of the biggest black marks on Trump is that he famously said, I don't know who got the emails.
[01:19:20.563 --> 01:19:22.204]  I don't know where they came from.
[01:19:22.204 --> 01:19:24.424]  The Russians, a fat dude in his mom's basement.
[01:19:24.424 --> 01:19:26.085]  Whoever's got them, release them.
[01:19:26.085 --> 01:19:29.505]  It's about Hillary committing a crime, not who has the emails.
[01:19:29.505 --> 01:19:30.745]  Don't change the subject.
[01:19:30.745 --> 01:19:33.766]  Well, Julian Assange undoubtedly took Trump over the top.
[01:19:33.766 --> 01:19:35.446]  The Wikileaks exposed the deep state.
[01:19:35.446 --> 01:19:36.667]  The man is a hero.
[01:19:36.667 --> 01:19:38.067]  Daniel Ellsberg was a hero.
[01:19:38.607 --> 01:19:44.129]  Assange is even a bigger hero and he's rotting in solitary confinement and the court hearings can barely talk.
[01:19:44.129 --> 01:19:50.551]  President Trump, do the right thing and ask the British to release Julian Assange and give him a medal.
[01:19:50.551 --> 01:19:53.572]  President Trump, you must release Julian Assange!
[01:19:53.572 --> 01:19:55.212]  Free Julian Assange!
[01:19:55.212 --> 01:19:59.554]  Free Julian Assange!
[01:19:59.554 --> 01:20:02.195]  You're listening to the Alex Jones Show.
[01:20:15.563 --> 01:20:19.987]  The answer to 1984 is 1776.
[01:20:19.987 --> 01:20:25.011]  You're listening to the Alex Jones Show.
[01:20:25.011 --> 01:20:27.613]  So, the red storm is here.
[01:20:27.613 --> 01:20:30.796]  Hundreds and hundreds and hundreds of firings.
[01:20:30.796 --> 01:20:33.718]  A lot of them delicious.
[01:20:33.718 --> 01:20:36.141]  Trump withdraws nomination of former U.S.
[01:20:36.141 --> 01:20:38.402]  Attorney for Treasury Post.
[01:20:38.402 --> 01:20:41.005]  Trump's now paying attention to how his own staff
[01:20:42.065 --> 01:20:42.626]  We're good to go.
[01:20:59.668 --> 01:21:05.411]  Oversaw various high-profile cases, including those against Trump campaign adviser Roger Stone.
[01:21:05.411 --> 01:21:08.453]  Well, they gave her the nomination for number three of the Treasury.
[01:21:08.453 --> 01:21:11.455]  She quit her Justice Department job for it.
[01:21:11.455 --> 01:21:12.976]  And then guess what?
[01:21:12.976 --> 01:21:14.777]  The nomination was withdrawn.
[01:21:16.940 --> 01:21:20.043]  Isn't that just perfect?
[01:21:20.043 --> 01:21:23.886]  And of course, that's the way all of this ends up unfolding.
[01:21:23.886 --> 01:21:28.169]  Jesse Lew, we're taking your phone calls right now.
[01:21:28.169 --> 01:21:30.010]  Let's go ahead and go to Bill in Iowa.
[01:21:30.010 --> 01:21:30.811]  Bill, you're on the air.
[01:21:30.811 --> 01:21:33.353]  Thanks for calling.
[01:21:33.353 --> 01:21:33.513]  Yeah.
[01:21:33.513 --> 01:21:34.014]  Hi, Mr. Jones.
[01:21:34.014 --> 01:21:34.694]  Can you hear me?
[01:21:34.694 --> 01:21:35.234]  I can, brother.
[01:21:35.234 --> 01:21:36.936]  Thanks for calling.
[01:21:36.936 --> 01:21:37.296]  Great.
[01:21:37.296 --> 01:21:37.736]  Thank you.
[01:21:37.736 --> 01:21:43.361]  I want to first of all say, long-time listener, first-time caller, you've woken me up in so many ways.
[01:21:44.531 --> 01:21:50.074]  Because of you I got my patriotism back, love my country, would die for it.
[01:21:50.074 --> 01:21:55.896]  I think it's good right now what Trump is doing is getting rid of all the little scumbags there.
[01:21:55.896 --> 01:22:04.640]  I think what he really needs to do is start getting the military police involved and just have one big sweep get rid of all these corrupt people.
[01:22:04.640 --> 01:22:09.082]  The downside of that is, you know, when you have a rapid raccoon, you know, cornered in
[01:22:09.921 --> 01:22:10.922]  No, I agree with you.
[01:22:10.922 --> 01:22:12.183]  Well, this coronavirus could tank the economy.
[01:22:12.183 --> 01:22:12.883]  The numbers are coming in.
[01:22:12.883 --> 01:22:14.985]  It's definitely hurt the economy.
[01:22:14.985 --> 01:22:16.846]  Not helped it, but pulling back from that.
[01:22:30.356 --> 01:22:33.678]  The globalists know that they're running out of time.
[01:22:33.678 --> 01:22:36.539]  And they are going to pull some major curveballs.
[01:22:36.539 --> 01:22:37.860]  And Trump should be aware of that.
[01:22:37.860 --> 01:22:39.821]  And it's not like he wants to stir up trouble.
[01:22:39.821 --> 01:22:44.284]  They're not going to stop because they were put in power by other people.
[01:22:44.284 --> 01:22:45.204]  These are minions.
[01:22:45.204 --> 01:22:46.565]  These are followers.
[01:22:46.565 --> 01:22:52.969]  And so they can't help but work against Trump because they were put there because there's dirt on them.
[01:22:52.969 --> 01:22:56.811]  And so that's why Trump can do nothing but cut them out of the country.
[01:22:56.811 --> 01:22:58.752]  He's got to remove them from the power structure.
[01:22:59.372 --> 01:23:05.718]  Right, and I agree, you know, and as far as this censorship with the big tech companies and everything like that, Trump doesn't do nothing right now.
[01:23:19.366 --> 01:23:23.008]  There's a good chance that he might not be president again if they don't take him out before then, you know?
[01:23:23.008 --> 01:23:32.752]  Well, that's exactly what Professor Epstein, Robert Epstein, documented is that Google can only send out election alerts to Democrats.
[01:23:32.752 --> 01:23:35.673]  That's another 10, 15, 20 million voters right there.
[01:23:35.673 --> 01:23:36.814]  This is election meddling.
[01:23:36.814 --> 01:23:39.215]  This isn't, oh, companies do what they want.
[01:23:39.215 --> 01:23:43.537]  What if AT&T in 1980 wouldn't let Republicans use the phone?
[01:23:43.537 --> 01:23:45.038]  I mean, Reagan would have lost.
[01:23:45.698 --> 01:23:47.600]  That's what they do!
[01:23:47.600 --> 01:23:49.981]  This isn't about companies can do what they want.
[01:23:49.981 --> 01:23:51.883]  This is the new mode of communication.
[01:23:51.883 --> 01:24:01.770]  Problem is, it's a good thing in ways, because you know, he's got some old instincts, but Trump does all his stuff on a phone and doesn't get the internet.
[01:24:01.770 --> 01:24:03.972]  He still thinks it's like a side thing.
[01:24:03.972 --> 01:24:08.836]  He doesn't know that the internet communication is 20 times bigger than mainstream media.
[01:24:08.836 --> 01:24:11.958]  He just doesn't get that it's the whole ballgame.
[01:24:11.958 --> 01:24:13.159]  And so it's a real blind spot.
[01:24:13.159 --> 01:24:13.940]  Thank you so much, Bill.
[01:24:14.912 --> 01:24:16.953]  Derek in California, thanks for holding.
[01:24:16.953 --> 01:24:17.833]  We'll go to Jacob and others.
[01:24:17.833 --> 01:24:18.413]  Derek, thank you.
[01:24:18.413 --> 01:24:19.493]  Go ahead.
[01:24:19.493 --> 01:24:20.733]  Yes, sir.
[01:24:20.733 --> 01:24:21.974]  Nice to hear from you, Alex.
[01:24:21.974 --> 01:24:23.894]  Yes, sir.
[01:24:23.894 --> 01:24:27.495]  I just want to say that I agree with the caller.
[01:24:27.495 --> 01:24:29.415]  I think it's time to put the military in here.
[01:24:29.415 --> 01:24:32.856]  I think it's time to just go ahead and get it going.
[01:24:32.856 --> 01:24:37.057]  You know, we can't deal with these people in the court system.
[01:24:37.057 --> 01:24:39.598]  We just went through what Trump just went through with the
[01:24:41.621 --> 01:24:43.002]  And you know they're not going to stop.
[01:24:43.002 --> 01:24:44.243]  Here's the deal.
[01:24:44.243 --> 01:24:45.864]  There were Americans doing it.
[01:24:45.864 --> 01:24:46.365]  It's one thing.
[01:24:46.365 --> 01:24:48.787]  But they are CHICOM and Globalist funded.
[01:24:48.787 --> 01:24:51.489]  As an ethos, they say America shouldn't exist.
[01:24:51.489 --> 01:25:03.458]  So when you're a citizen that says the country shouldn't exist, and you're working to bankrupt it, and you're working to suppress other people, and all these Bernie Sanders people say they want to put us in death camps, yeah, they're like the Nazi Party.
[01:25:03.458 --> 01:25:04.559]  You just outlaw it.
[01:25:05.660 --> 01:25:06.660]  I'm not an authoritarian.
[01:25:06.660 --> 01:25:07.761]  I'm the opposite of that.
[01:25:07.761 --> 01:25:09.642]  They brought the authoritarianism.
[01:25:09.642 --> 01:25:11.022]  They brought the cancer.
[01:25:11.022 --> 01:25:12.143]  They brought the war.
[01:25:12.143 --> 01:25:15.704]  They brought... And you're right, these aren't Americans!
[01:25:15.704 --> 01:25:22.487]  And so how do you address something with normal means, normal measures, when it's not normal?
[01:25:22.487 --> 01:25:25.329]  Well, they already committed treason here.
[01:25:25.329 --> 01:25:27.029]  We're past that.
[01:25:27.029 --> 01:25:28.250]  You know, from Obama...
[01:25:28.971 --> 01:25:30.154]  All the way up to Hillary.
[01:25:30.154 --> 01:25:32.539]  These people have committed treason.
[01:25:32.539 --> 01:25:35.727]  And we can't go to the courts and try these people.
[01:25:35.727 --> 01:25:37.230]  We need military tribunal.
[01:25:37.981 --> 01:25:38.781]  Plain and simple.
[01:25:38.781 --> 01:25:39.441]  Well, it is true.
[01:25:39.441 --> 01:25:40.822]  That's what happened to the Nazis.
[01:25:40.822 --> 01:25:42.923]  But actually, it's real.
[01:25:42.923 --> 01:25:49.825]  When a political system works in unison to destroy a country, you don't put them on criminal trial.
[01:25:49.825 --> 01:25:52.406]  You have the military arrest them, and you have tribunals.
[01:25:52.406 --> 01:25:54.046]  That's what you do.
[01:25:54.046 --> 01:25:55.427]  So you're right.
[01:25:55.427 --> 01:26:02.069]  That's the game they brought, that this is the arena they're now in.
[01:26:03.469 --> 01:26:08.251]  And part of the reason why I say that is because a lot of people have suffered.
[01:26:08.251 --> 01:26:10.291]  I've been suffering ever since Obama.
[01:26:10.291 --> 01:26:20.774]  I didn't vote for the cat, because I've seen him coming out the gate from people like you and a couple other people I used to listen to, and just from doing my basic research, I knew he wasn't no good.
