[00:00:16.519 --> 00:00:18.861]  It's Monday, September 7th.
[01:00:34.532 --> 01:00:36.773]  The US was under their policy.
[01:00:38.533 --> 01:00:40.454]  At the WHO and at UNESCO.
[01:00:40.534 --> 01:00:41.534]  Trump's pulled out of both.
[01:00:42.134 --> 01:00:46.356]  Pulled out of UNESCO three years ago.
[01:00:47.976 --> 01:00:51.437]  Because when you sign onto that treaty, the UN is in control of your immigration policy.
[01:00:51.937 --> 01:00:56.839]  It was bringing us refugees that were 80 plus percent Islamic age, military men.
[01:00:58.311 --> 01:00:59.892]  And so Trump pulled us out of that.
[01:01:00.433 --> 01:01:02.694]  And then a few months ago, as you know, he pulled us out of the W.H.O.
[01:01:03.115 --> 01:01:04.516]  This is the real deal, folks.
[01:01:05.036 --> 01:01:07.138]  And then the W.H.O.
[01:01:07.178 --> 01:01:13.102]  has come out and criticized us owning guns and said we're racist and our police are bad.
[01:01:13.922 --> 01:01:16.282]  When there are some bad cops, good, fry them when they're bad.
[01:01:16.723 --> 01:01:24.704]  But, I mean, statistically, if you're a black man getting shot by cops is, like, about 14 black men are killed wrongly a year by cops, even with mainline numbers.
[01:01:24.764 --> 01:01:29.845]  I mean, but every time it happens, it's like, burn all these cities and try to destabilize the country.
[01:01:30.685 --> 01:01:33.746]  As Kanye West came out and said, 22-plus million black people have been killed.
[01:01:35.326 --> 01:01:36.126]  That clip's coming up.
[01:01:36.966 --> 01:01:37.847]  In fact, let's just do this.
[01:01:38.067 --> 01:01:39.007]  Let's air the Clintons.
[01:01:40.069 --> 01:01:43.332]  Came out again, now with Bill, and said contest the election no matter what.
[01:01:43.352 --> 01:01:48.216]  Even though they admit Trump's going to win in the poll numbers, they're still going to contest it with their mail-in ballots.
[01:01:48.596 --> 01:01:50.038]  And then play the clip of Kanye.
[01:01:50.938 --> 01:01:54.441]  He came out and said, Black Lives Matter is fake.
[01:01:55.162 --> 01:01:57.184]  If you cared about black lives, you'd care about abortion.
[01:01:57.644 --> 01:02:00.747]  Passed by Margaret Sanger to kill black people on record.
[01:02:00.967 --> 01:02:01.828]  So here's both those clips.
[01:02:03.730 --> 01:02:20.495]  And I said, my advice to Joe Biden, and I've told the campaign this, obviously, is do not concede under any circumstances because I believe the other side is going to cheat and sneak and try to do everything they can.
[01:02:20.555 --> 01:02:23.255]  He's not going to leave if he loses.
[01:02:24.636 --> 01:02:29.137]  So we're going to be resolved and we're going to be strong and we're going to be
[01:02:29.617 --> 01:02:30.979]  You know, on that front line.
[01:02:31.319 --> 01:02:33.341]  And, uh, we're gonna get our country back.
[01:02:33.401 --> 01:02:34.142]  That's our plan.
[01:02:49.181 --> 01:02:51.743]  Have horrible policies where the military has record suicides.
[01:02:52.323 --> 01:02:52.803]  All of this.
[01:02:52.863 --> 01:02:53.724]  Promote pedophilia.
[01:02:53.744 --> 01:02:55.445]  And she's like, we're going to get our country back.
[01:02:55.865 --> 01:02:57.906]  Smiling like a little goblin demon.
[01:02:58.246 --> 01:03:00.728]  With Bill the pervert pedophile in the background.
[01:03:00.768 --> 01:03:01.148]  Here it is.
[01:03:01.328 --> 01:03:01.828]  Here's Kanye.
[01:03:05.250 --> 01:03:06.811]  To the award show because it was a setup.
[01:03:07.012 --> 01:03:07.272]  Right.
[01:03:07.352 --> 01:03:10.033]  Now, okay, so let us get to, let's get to life.
[01:03:12.799 --> 01:03:26.623]  In 50 years, there's been over 22,500,000 black people aborted, strategically and on purpose.
[01:03:27.883 --> 01:03:34.865]  Planned Parenthood was set up and placed in minority communities to
[01:03:36.400 --> 01:03:37.300]  Kill black people.
[01:03:37.761 --> 01:03:51.145]  You're talking about when Margaret Sanger, the originator of Planned Parenthood at the time, because a lot of people, when you say things like that, in their defense, they say, well, Planned Parenthood today is a different organization.
[01:03:51.205 --> 01:03:58.308]  But what you cannot deny is these facts that Ye is about to give you right now.
[01:03:58.928 --> 01:03:59.368]  Here we go.
[01:03:59.588 --> 01:04:08.450]  Margaret Sanger, the founder of Planned Parenthood, was an avowed racist whose goal was to reduce the black population in America, and she succeeded.
[01:04:08.470 --> 01:04:13.991]  80% of abortion clinics in America are in minority neighborhoods.
[01:04:14.451 --> 01:04:16.631]  Over 22,500,000 black babies have been aborted in 50 years.
[01:04:16.731 --> 01:04:18.632]  Over 1,000 black babies are aborted every day.
[01:04:27.918 --> 01:04:30.999]  So that means we are inside of it as we speak.
[01:04:31.059 --> 01:04:32.039]  This is genocide.
[01:04:32.079 --> 01:04:34.880]  So wait, we are inside of genocide as we speak.
[01:04:34.900 --> 01:04:48.163]  So what about the people that are going to argue and say, but... Alright, last segment of this hour, I'm going to play more of this, but imagine 14 black dudes killed wrongly by the cops, maybe each year, versus hundreds of thousands, millions killed each year.
[01:04:49.031 --> 01:04:52.095]  Again, it's the genocide group running the black leadership.
[01:04:52.135 --> 01:04:59.724]  That's what Margaret Singer went and did, is they hired the black leadership and created the NAACP and all of it to exterminate black people.
[01:05:04.129 --> 01:05:04.950]  You see this ad?
[01:05:05.551 --> 01:05:09.095]  I wrote it about a week ago, and I believe every single word in it.
[01:05:10.273 --> 01:05:18.685]  The safest bet you can make in the world right now is getting high quality, storable food at a low price because the future is so uncertain.
[01:05:19.326 --> 01:05:26.115]  The entire New World Order operation is about making you dependent and making you domesticated where you're not self-sufficient.
[01:05:26.656 --> 01:05:30.519]  The number one thing you need is a relationship with God and self-defense.
[01:05:31.299 --> 01:05:33.841]  After that comes food and water.
[01:05:34.181 --> 01:05:42.186]  We've got the best storable food and the best water filters in-house and portable at InfoWarsTore.com and we have the storable food in stock.
[01:05:42.387 --> 01:05:45.989]  All the other big competitors have sold out or have like 10 week waiting periods.
[01:05:46.249 --> 01:05:46.629]  We don't.
[01:05:47.110 --> 01:05:48.771]  One to two weeks to ship to you.
[01:05:48.971 --> 01:05:49.771]  We have the food.
[01:05:50.012 --> 01:05:51.052]  We've got to get it packaged.
[01:05:51.292 --> 01:05:54.855]  It's the biggest company in the world because they've got the name because they're trusted.
[01:05:55.275 --> 01:05:56.556]  InfoWarsTore.com.
[01:05:56.696 --> 01:06:00.701]  Get prepared now before the globalists go completely crazy.
[01:06:00.781 --> 01:06:01.521]  Get ready now!
[01:06:06.144 --> 01:06:12.606]  From the front lines of the Information War, it's Alex Jones!
[01:06:34.318 --> 01:07:01.713]  Speaking at a city council about a week and a half ago, Carlos Zapata, a business owner, a father, a veteran of the Iraq War, laid out what was really happening, and I think did a 100% dead-on job, better than I could have done in two minutes, in Citizens Communications, to challenge their arrogance, to lay out the facts, and let them know the reality, that even a minority of us are highly motivated and stand up, they cannot stop us.
[01:07:02.073 --> 01:07:02.974]  Here's what he had to say.
[01:07:05.938 --> 01:07:12.542]  I'm telling you guys, you know, I'm pretty appalled at what's going on.
[01:07:12.662 --> 01:07:19.866]  You know, at first we sat as concerned citizens that we all want to figure out how to best navigate our way through this whole COVID thing, you know, and
[01:07:21.206 --> 01:07:24.107]  As we realize that, it's not quite as dangerous as we thought it'd be.
[01:07:24.127 --> 01:07:25.767]  I was absolutely appalled at the cowardice.
[01:07:25.827 --> 01:07:32.049]  And as you're sitting there with your masks on, I don't blame you for wearing masks because I'd be hiding my face too if I was you for what you're doing.
[01:07:32.329 --> 01:07:33.929]  It's absolutely horrendous what you're doing to these people.
[01:07:33.969 --> 01:07:34.689]  I'm a business owner.
[01:07:35.349 --> 01:07:37.770]  And I'm telling you, our families are starving.
[01:07:38.390 --> 01:07:39.410]  You guys can sit here with your jobs.
[01:07:39.430 --> 01:07:40.530]  You can sit here and you're going to get paid.
[01:07:40.550 --> 01:07:43.431]  You can fall asleep in your chair like that gentleman's doing behind his mask right there.
[01:07:44.991 --> 01:07:47.432]  And I'm telling you right now, that right now we're being peaceful.
[01:07:48.292 --> 01:07:51.413]  And you better be happy that we're good citizens, that we're peaceful citizens.
[01:07:51.713 --> 01:07:53.074]  But it's not going to be peaceful much longer.
[01:07:53.094 --> 01:07:53.834]  Okay?
[01:07:54.094 --> 01:07:54.834]  And this isn't a threat.
[01:07:54.874 --> 01:07:55.415]  I'm not a criminal.
[01:07:55.435 --> 01:07:56.255]  I've never been a criminal.
[01:07:56.635 --> 01:08:01.637]  I'm telling you, good citizens are going to turn into real concerned and revolutionary citizens real soon.
[01:08:02.217 --> 01:08:03.458]  And nobody else is going to say that.
[01:08:03.738 --> 01:08:06.399]  I'm probably the only person that has a ball to say what I'm saying right now.
[01:08:07.379 --> 01:08:12.041]  That we're building, we're organizing, and we'll work with law enforcement or without law enforcement.
[01:08:12.481 --> 01:08:15.702]  But you won't stop us when time comes because our families are starving.
[01:08:17.219 --> 01:08:21.522]  If you don't hear the seriousness of my voice, I hope you open your ears and you absolutely listen to what I'm saying.
[01:08:21.762 --> 01:08:24.084]  Because this is a warning for what's coming.
[01:08:24.604 --> 01:08:25.865]  It's not going to be peaceful much longer.
[01:08:26.045 --> 01:08:26.685]  It's not going to be rah-rahs.
[01:08:26.705 --> 01:08:27.686]  It's not going to be speeches.
[01:08:27.726 --> 01:08:30.087]  It's not going to be gathering outside saying the Pledge of Allegiance.
[01:08:30.288 --> 01:08:31.388]  It's not going to be waving flags.
[01:08:31.889 --> 01:08:32.549]  It's going to be real.
[01:08:33.990 --> 01:08:36.572]  When you've seen the things that I've seen, I went to war for this country.
[01:08:37.072 --> 01:08:39.614]  I've seen the ugliest, dirtiest part of humanity.
[01:08:40.578 --> 01:08:41.439]  I've been in combat.
[01:08:41.899 --> 01:08:43.301]  And I never want to go back again.
[01:08:43.481 --> 01:08:45.463]  But I'm telling you what, I will to save this country.
[01:08:46.164 --> 01:08:48.286]  If it has to be against our own citizens, it will happen.
[01:08:49.127 --> 01:08:50.529]  And there's a million people like me.
[01:08:50.849 --> 01:08:51.650]  And you won't stop us.
[01:08:52.851 --> 01:08:53.552]  Open the county.
[01:08:54.373 --> 01:08:55.855]  Let our citizens do what they need to do.
[01:08:57.236 --> 01:09:00.039]  Let owners of businesses do what they need to do to feed their families.
[01:09:01.155 --> 01:09:02.176]  Take the masks off!
[01:09:02.796 --> 01:09:04.437]  Quit masking and muzzling your children!
[01:09:05.117 --> 01:09:07.439]  The psychological damage you're doing to them is horrible.
[01:09:07.839 --> 01:09:10.401]  I've had six friends kill themselves since it's happened.
[01:09:10.821 --> 01:09:11.922]  Veterans who lost their jobs.
[01:09:12.562 --> 01:09:14.803]  How do you feel about being complicit in perpetuating that?
[01:09:15.123 --> 01:09:18.806]  The greatest hoax ever perpetuated on the American people, and you're a part of it by wearing your masks.
[01:09:19.066 --> 01:09:21.607]  In Shasta County, we're supposed to be red country up here.
[01:09:22.708 --> 01:09:24.129]  Not blue country, we're red country up here.
[01:09:24.309 --> 01:09:24.909]  You guys know that.
[01:09:24.929 --> 01:09:28.512]  I don't know, you claim to be conservatives, maybe you're not, maybe you're liberals, I don't know.
[01:09:29.414 --> 01:09:30.536]  But by God, we're Americans.
[01:09:30.716 --> 01:09:31.297]  And remember that.
[01:09:31.858 --> 01:09:32.559]  Take your masks off.
