[00:00:15.512 --> 00:00:15.992]  We are live.
[01:07:07.305 --> 01:07:09.866]  Well, give people some history on that, and then I have something I want to ask you.
[01:07:09.886 --> 01:07:10.147]  Go ahead.
[01:07:11.587 --> 01:07:13.929]  He got his eugenics philosophy from us.
[01:07:14.309 --> 01:07:15.910]  You know, that's where he got it.
[01:07:17.313 --> 01:07:22.194]  Regretfully, as you know, he applied it to the Jews and the Roma.
[01:07:22.394 --> 01:07:26.235]  And for folks who don't know, you've been involved with the International Court, Hague, in big cases.
[01:07:26.275 --> 01:07:28.615]  Well, the predecessor of that was the Nuremberg Trials.
[01:07:28.915 --> 01:07:32.256]  The Nazi defense was Margaret Sanger, Rockefeller Foundation.
[01:07:32.296 --> 01:07:33.316]  You told us to do this!
[01:07:35.297 --> 01:07:39.538]  Right, all that came up also in the Dockers case, right?
[01:07:41.758 --> 01:07:45.459]  Okay, now, let me just pull back and bring this point up for you.
[01:07:47.799 --> 01:07:48.559]  It's a paradox.
[01:07:48.639 --> 01:07:53.041]  Listeners ask me, they say, hey, you're saying don't panic, don't crash the stock market.
[01:07:53.361 --> 01:07:54.941]  We don't know how bad it is weeks ago.
[01:07:55.741 --> 01:08:02.224]  Well, absolutely, because the left was trying to jump on it and those that want to kick Trump out of power for political gain, trying to create more fear.
[01:08:02.304 --> 01:08:03.124]  Fear is not going to do anything.
[01:08:03.604 --> 01:08:04.464]  Action is going to do something.
[01:08:05.064 --> 01:08:08.465]  But then I have guests on like you that have been saying, no, this is a bio weapon.
[01:08:08.505 --> 01:08:09.526]  It's going to get really bad.
[01:08:10.006 --> 01:08:11.066]  We want people to get ready.
[01:08:11.807 --> 01:08:12.887]  But the paradox is this.
[01:08:14.358 --> 01:08:15.598]  It's obviously a bad virus.
[01:08:15.638 --> 01:08:17.459]  We're going to see how bad it is in our population.
[01:08:17.499 --> 01:08:18.399]  People should get ready.
[01:08:18.700 --> 01:08:21.621]  But the people exacerbating, it'll never end.
[01:08:21.661 --> 01:08:23.001]  You can never leave your house again.
[01:08:23.021 --> 01:08:24.181]  It's a new way of life.
[01:08:24.241 --> 01:08:25.282]  Drones are going to watch you.
[01:08:25.702 --> 01:08:28.203]  Their agenda is evil and they're using it for bad.
[01:08:28.963 --> 01:08:30.984]  The same way, if you look at this,
[01:08:32.168 --> 01:08:33.789]  With what they're doing with vaccines.
[01:08:33.909 --> 01:08:46.535]  I'm no scientist, but I've read tens of thousands of articles and hundreds and hundreds of studies and had probably 50 medical doctors on, many of them prestigious, explaining they can never guess the flu because it mutates too much every year.
[01:08:46.795 --> 01:08:49.437]  And I've got the studies that lowers immunity when you take a bunch of those.
[01:08:49.677 --> 01:08:53.539]  I'm not saying that some of the immunology and vaccines don't work sometimes.
[01:08:53.839 --> 01:08:58.981]  I'm just saying with things like the common cold, they never had a vaccine because the damn thing mutates too much and there's too many of them.
[01:08:59.282 --> 01:09:00.022]  That's a fact!
[01:09:00.402 --> 01:09:09.029]  So them up there saying, you can't leave, we won't let up the lockdown until a vaccine's out in a year is asinine, is false hope.
[01:09:09.250 --> 01:09:16.976]  Then I go read what real virologists and epidemiologists are saying and they're saying, you'll never have a vaccine and this will hurt people if you give it to them.
[01:09:17.236 --> 01:09:18.497]  And I've got the articles right here.
[01:09:18.577 --> 01:09:21.720]  So I'm watching this and even having arguments with family.
[01:09:21.760 --> 01:09:23.842]  I'm like, listen, the vaccine isn't going to help you.
[01:09:24.082 --> 01:09:25.824]  They're like, Alex, come on, you're not a doctor.
[01:09:26.184 --> 01:09:28.506]  Well, dammit, this is all I do is interview experts.
[01:09:28.786 --> 01:09:29.847]  And so I live this.
[01:09:30.227 --> 01:09:33.410]  And so them giving that false hope pisses me off.
[01:09:33.650 --> 01:09:40.817]  But then they don't want you to know about zinc or vitamin D3 or vitamins that boost immunity.
[01:09:41.337 --> 01:09:48.083]  I've got them literally on the news saying I should be arrested for telling people, hey, you should try to boost your natural immunity.
[01:09:48.123 --> 01:09:48.864]  This is crazy.
[01:09:51.198 --> 01:09:51.418]  Right.
[01:09:51.859 --> 01:09:56.265]  You know, Fauci has been up to vaccines forever, as has Bill Gates.
[01:09:56.465 --> 01:09:57.867]  So you're right.
[01:09:58.327 --> 01:10:04.876]  And so many of these, I'm not saying all vaccines, but so many of them are more dangerous than useless.
[01:10:05.276 --> 01:10:05.496]  Right.
[01:10:05.737 --> 01:10:07.319]  So I think this is just
[01:10:07.979 --> 01:10:08.700]  A mirage.
[01:10:09.500 --> 01:10:21.610]  I think there are other measures that we could focus on, like therapeutics, some degree of social distancing, and try to bring this under control.
[01:10:21.750 --> 01:10:21.990]  Right.
[01:10:22.451 --> 01:10:25.593]  But I see no point in panicking here.
[01:10:25.733 --> 01:10:32.599]  We have to confront the reality of what we are dealing with, analyze it, and try to move forward.
[01:10:35.185 --> 01:10:44.391]  We put together an eight-minute compilation that's been banned on video back in January, that no one had given any attention, a two-day summit in Switzerland.
[01:10:45.549 --> 01:10:54.697]  Where the head of the World Health Organization, the head scientist, and a bunch of others get up and say, listen, we're given untested vaccines.
[01:10:55.357 --> 01:10:56.358]  It is hurting people.
[01:10:56.538 --> 01:10:57.679]  The doctors are getting pissed.
[01:10:57.699 --> 01:10:59.821]  The people don't believe that there's no side effects.
[01:10:59.861 --> 01:11:03.104]  We lie to them and we're losing the public's confidence.
[01:11:03.444 --> 01:11:05.806]  We need these vaccines tested before they're used.
[01:11:06.227 --> 01:11:08.669]  They're just given to us by the Bill and Melinda Gates Foundation.
[01:11:09.773 --> 01:11:13.958]  And I'd ask the crew at the start of the show to ask Rob Deu, who's here, doing a great job.
[01:11:14.278 --> 01:11:16.981]  There's four or five edits of the two-day deal.
[01:11:17.221 --> 01:11:20.004]  There's a four-minute one, an eight-minute one, a 12-minute one, an hour-long one.
[01:11:20.184 --> 01:11:21.966]  If I could have the eight-minute one, they'll know in the file.
[01:11:21.986 --> 01:11:26.831]  If I could have that, it'd be really good, because after the doctor leaves us, I'm going to show you that.
[01:11:27.612 --> 01:11:28.973]  I want tested vaccines.
[01:11:29.513 --> 01:11:30.473]  I want clean vaccines.
[01:11:30.553 --> 01:11:49.280]  It came out during the H1N1 that German elites and British elites and Chinese elites have these super fancy high-tech companies that create expensive vaccines just for them, that have had electron microscopes check them, they've been scanned, they don't have contamination, and then you don't get an autoimmune response to whatever else is in the vaccine.
[01:11:49.501 --> 01:11:50.901]  Like, you know, people died from peanuts?
[01:11:50.941 --> 01:11:52.001]  They were growing it in peanuts.
[01:11:52.302 --> 01:11:52.962]  This is known.
[01:11:53.482 --> 01:11:54.663]  I know this is real.
[01:11:54.843 --> 01:11:56.104]  I want clean vaccines.
[01:11:56.364 --> 01:12:01.967]  Then I can read what the real threat may be, much lower with a clean vaccine, and I can decide if I want it.
[01:12:02.147 --> 01:12:03.828]  Of course I know tetanus shots work.
[01:12:04.088 --> 01:12:04.809]  Of course I know.
[01:12:05.389 --> 01:12:06.590]  It's not that I'm against science.
[01:12:06.990 --> 01:12:11.173]  It's that I know these companies have been given liability protection and
[01:12:11.753 --> 01:12:13.876]  They test experimental crap on troops.
[01:12:13.976 --> 01:12:19.283]  I know a lot of troops who died from these things, like the anthrax vaccine, that was totally unproven and dangerous.
[01:12:19.724 --> 01:12:27.354]  And it pisses me off that science has always had mad scientists, doctor, as you know, but now they're getting liability protection everywhere.
[01:12:27.714 --> 01:12:57.434]  And it's getting crazier and crazier and they're trying to cover up the damage and I wonder where this goes when even the head UN scientist says we're getting a wobbly front line, our own doctors are freaking out and don't want to give this, their own kids are having convulsions and you find out the doctors are paid off by dictators and they're lying and Rick Perry ordered the Gardasil shot, you know, 15 years ago that in studies killed a bunch of people and doesn't protect you from the cancer virus and it just goes on and on.
[01:12:58.074 --> 01:12:58.875]  I know I'm ranting.
[01:12:59.416 --> 01:13:01.077]  I want safe vaccines.
[01:13:01.597 --> 01:13:03.519]  I want clean drugs.
[01:13:03.839 --> 01:13:10.705]  I know I like science, but I don't want to go into the doctor, you know, and they've got flesh-eating bacteria that eat my leg off, you know?
[01:13:10.966 --> 01:13:16.731]  We've got to hold science accountable, and it seems like we're going off the Nazi edge of a cliff again, doctor.
[01:13:19.412 --> 01:13:21.775]  I'm afraid you're right on that, Alex.
[01:13:21.835 --> 01:13:36.290]  You know, these scientists are the new priesthood or something like that, and they expect us to kiss their ring and, you know, go along with whatever they tell us without
[01:13:36.950 --> 01:13:38.951]  Asking some very hard questions.
[01:13:39.591 --> 01:13:44.213]  The biggest question is, he who pays the piper calls the tune.
[01:13:44.713 --> 01:13:50.935]  You know, Bill Gates is paying for all this, and we know he's a genocider and a eugenicist.
[01:13:51.095 --> 01:13:55.777]  So why you would trust anything funded by Bill Gates is behind me.
[01:13:55.797 --> 01:14:03.140]  I believe the Gates funding was behind that Zika pandemic that afflicted
[01:14:04.060 --> 01:14:14.862]  Latin America, as far as I was able to figure out, that was a bioengineered mosquito, probably going back to Fort Collins, U.S.
[01:14:14.902 --> 01:14:19.883]  government lab there that specializes in weaponizing insects.
[01:14:21.104 --> 01:14:23.584]  So yeah, there's a long history of this.
[01:14:24.084 --> 01:14:31.506]  Yes, I was involved in the experimental anthrax and botulin
[01:14:32.668 --> 01:14:39.033]  Vaccines that were given to our troops in the runoff to the Gulf War.
[01:14:39.674 --> 01:14:47.800]  I helped defend Captain Dr. Yohanda Hewitt-Waughn who was court-martialed for refusing to do this.
[01:14:48.320 --> 01:14:53.784]  Let me stop you again because people don't get this how big a guest you are and I'm not kissing your ass.
[01:14:54.365 --> 01:14:56.546]  People that are doers and are active like you
[01:14:57.580 --> 01:15:02.342]  I've had, like, Dr. Steve Pachinick on, and he's overthrown governments, you know, run psychological operations for the CIA.
[01:15:02.623 --> 01:15:05.524]  He's done so much stuff that I had him on about his memoir one time.
[01:15:05.784 --> 01:15:07.005]  He goes, OK, I'll talk about myself.
[01:15:07.305 --> 01:15:09.606]  He rattled off stuff, and I got all these calls and emails.
[01:15:09.666 --> 01:15:10.566]  That can't be true.
[01:15:10.847 --> 01:15:12.487]  He didn't co-write books with Tom Clancy.
[01:15:12.708 --> 01:15:13.948]  He didn't overthrow that government.
[01:15:14.208 --> 01:15:16.770]  He didn't trick the Communists to kill the Prime Minister of Italy.
[01:15:17.090 --> 01:15:17.850]  Yeah, he did it all.
[01:15:18.310 --> 01:15:21.332]  And he didn't found the Delta Force with General Boykin and Schumacher.
[01:15:21.932 --> 01:15:33.698]  They're here, and it's like, I bring up stuff you've done, and you've been there at every level, but on the good guy side, you know, exposing the anthrax shots and how anthrax folks, they think, might live, you know, 10 million years or something.
[01:15:33.718 --> 01:15:34.998]  I mean, they know thousands of years.
[01:15:35.358 --> 01:15:42.782]  It's basically a plant spore, and how do you attenuate something or make something harmless that is a deadly spore that grows?
[01:15:42.822 --> 01:15:43.462]  You just can't.
[01:15:43.722 --> 01:15:50.506]  So they inject it in guinea pigs, humans, seeing what it'll do, and it killed a bunch of people, and I'd even forgotten that you were at the tip of the spear
[01:15:51.286 --> 01:15:53.928]  Getting the military to stop doing that and save thousands.
[01:15:54.008 --> 01:15:55.229]  I mean, you're a damn hero.
[01:15:55.729 --> 01:16:03.435]  And so when you're up here telling us that you think it's super bad, I take that seriously.
