[00:00:08.916 --> 00:00:11.279]  No, he's corrupt.
[01:25:13.500 --> 01:25:17.121]  But you see, Twitter and Facebook and others totally censored the info.
[01:25:17.501 --> 01:25:21.164]  And even censored major news publications, and even censored the President.
[01:25:21.164 --> 01:25:29.150]  But when the President and Congress said they were going to take action, suddenly Jack of Twitter said he didn't know what had happened and it was wrong.
[01:25:29.150 --> 01:25:30.871]  And that's the big life lesson here.
[01:25:30.871 --> 01:25:34.694]  Standing up and saying no to organized crime, rapid tearing.
[01:25:35.194 --> 01:25:36.635]  ...is the way to stop it.
[01:25:36.635 --> 01:25:43.420]  Groveling to it and letting big tech lie to us and run over us is the way to make these tyrants continue to go absolutely crazy.
[01:25:43.420 --> 01:25:46.482]  Remember, they support Communist China and its death camps.
[01:25:46.482 --> 01:25:47.522]  What will they do to us?
[01:25:47.522 --> 01:25:48.983]  Well, we now know.
[01:25:48.983 --> 01:25:55.388]  It was in the Telecommunications Act of 1996 that all new cell phones would track your GPS location.
[01:25:55.948 --> 01:26:01.393]  I read from the federal law and listeners couldn't believe me because that was un-American.
[01:26:01.393 --> 01:26:19.667]  Now the media admits that almost every app and every company that are on Apple and on Droids don't just track your location, but your surfing history, where you go, who you talk to, your relationships, and they all share the data with each other of what you're doing on the apps as well, including having apps to
[01:26:19.667 --> 01:26:30.732]  Turn on and listen to what you're saying, just like Siri or Alexa do, and then putting databases, transcripts of everything you say into those systems to be saved forever.
[01:26:30.732 --> 01:26:35.974]  Your phone is spying on you and companies are generating secret surveillance scores based on information.
[01:26:35.974 --> 01:26:39.095]  This is the Global Chinese Communist Social Credit Score.
[01:26:39.095 --> 01:26:45.898]  Get your protection privacy pockets at Infowarstore.com and cut Big Brother off dead in his filthy tracks.
[01:26:45.898 --> 01:26:47.079]  Infowarstore.com.
[01:26:51.762 --> 01:26:54.381]  You're listening to the Alex Jones Show!
[01:27:49.352 --> 01:27:53.215]  All right, we've got limited time within two segments, then we'll continue with the calls next hour.
[01:27:53.215 --> 01:28:06.564]  Dr. Steve McKinnick was gracious enough to pop in because he was a real spy chief, State Department and over CIA and Army operations and others, regime change, Camp David Accords, founding of Delta Force, and he's actually been there in the last 40 plus years.
[01:28:06.564 --> 01:28:10.207]  He's a psychiatrist, Harvard, MIT, all of it.
[01:28:10.207 --> 01:28:13.009]  So he's a real insider, not one of these fake ones.
[01:28:13.009 --> 01:28:18.433]  And he's really charted the course on the show the last 18 years, been probably the most accurate guest we've had.
[01:28:19.474 --> 01:28:26.896]  I gotta tell you, I know Trump's gonna win big in real polls, but there's so much election fraud, the Democrats are gonna declare Biden won.
[01:28:26.896 --> 01:28:28.996]  And they're gonna do all this.
[01:28:28.996 --> 01:28:34.357]  And I made a lot of calls last week and this weekend about how he's compromised with the Chinese.
[01:28:34.357 --> 01:28:37.278]  Well, Biden hides this in plain view, like Ukraine.
[01:28:37.278 --> 01:28:42.319]  And the emails are real, his lawyer confirms it, like, yeah, okay, yeah, that place shouldn't have had these.
[01:28:42.319 --> 01:28:44.680]  The FBI did nothing with it.
[01:28:44.680 --> 01:28:45.700]  Barr did nothing with it.
[01:28:46.502 --> 01:28:50.385]  And now they're talking about if the New York Post publishes it, even blurred out, it's a crime.
[01:28:50.385 --> 01:28:51.566]  Well then, okay, so who has it?
[01:28:51.566 --> 01:28:52.647]  It's not a criminal.
[01:28:52.647 --> 01:28:54.608]  But then who exposes it's a criminal?
[01:28:54.608 --> 01:28:57.431]  I guess it's like Julian Assange locked up in prison.
[01:28:57.431 --> 01:29:03.135]  So, going to Steve Pachinick of stevepachinick.com, also find all his books.
[01:29:03.135 --> 01:29:06.558]  He co-authored with Tom Clancy and his new ones as well there.
[01:29:06.558 --> 01:29:09.360]  I know he doesn't care about promoting them, but they're still great books.
[01:29:09.360 --> 01:29:10.881]  What the hell is going on here?
[01:29:10.881 --> 01:29:15.084]  Because the media won't show any of this, but now they say it's Russian disinfo.
[01:29:15.825 --> 01:29:18.148]  But the head of national intelligence says that's a lie.
[01:29:18.148 --> 01:29:20.512]  I don't care if the Easter Bunny came up with this stuff.
[01:29:20.512 --> 01:29:21.874]  This is Hunter Biden.
[01:29:21.874 --> 01:29:24.678]  He's compromised with the shy comms and others.
[01:29:24.678 --> 01:29:28.543]  I don't see how Biden can even be a candidate when it's open and shut like this.
[01:29:28.543 --> 01:29:31.848]  I mean, I really feel the Republic is in peril, Dr. Pachinic.
[01:29:33.345 --> 01:29:46.402]  Well, you're right in some way, but the other part that you and I have been talking about in terms of the Democratic Party, what you're seeing it doing, it is constantly self-destructing.
[01:29:46.402 --> 01:29:51.088]  For several years now, I've told you that the Democrats have been self-destructing because
[01:29:51.983 --> 01:29:53.584]  You've had, they're too old.
[01:29:53.584 --> 01:29:54.444]  They're too old.
[01:29:54.444 --> 01:29:55.985]  They're too antiquated.
[01:29:55.985 --> 01:29:59.787]  They're too irrelevant to what's happening in this new era.
[01:29:59.787 --> 01:30:05.590]  In an era where we need a businessman who's never been a politician, who understands business.
[01:30:05.590 --> 01:30:09.272]  Sometimes he makes a mistake, but he knows how to correct it.
[01:30:09.272 --> 01:30:14.714]  I can't have an 87 year old Dianne Feinstein who's worth $858 million.
[01:30:14.714 --> 01:30:19.157]  I can't have a Nancy Pelosi who's 80 years old and worth $35 million.
[01:30:20.467 --> 01:30:25.070]  I can't have a Maxine Waters worth $8 million and it's 82 years old.
[01:30:25.070 --> 01:30:29.414]  In other words, what you're seeing here is Biden, what we said all along.
[01:30:29.414 --> 01:30:34.217]  He's the metaphor for what happened to the Democratic Party.
[01:30:34.217 --> 01:30:35.778]  Senile dementia.
[01:30:35.778 --> 01:30:40.702]  They eventually erupted and became literally senile demented.
[01:30:40.702 --> 01:30:49.288]  And in turn, they brought in some woman who happened to have spent most of her life, not in the United States, but in Canada, in Montreal.
[01:30:49.921 --> 01:30:57.003]  And claims that she is a black American, has no relevance to America, is not even black.
[01:30:57.003 --> 01:31:04.784]  And so what you see is the narrative for the Democrats is not only distorted, it's perverted.
[01:31:04.784 --> 01:31:13.386]  The Hunter Biden is the metaphor and the reality of what happens when you are in Congress or the House of Representative or Senator.
[01:31:13.966 --> 01:31:17.269]  For so long, this is what Biden really did.
[01:31:17.269 --> 01:31:29.337]  He did nothing except self-aggrandize, self-destruct, and at the same time lead our country into six wars, for which he's never been held accountable.
[01:31:29.337 --> 01:31:36.482]  Now is the time for America to start incarcerating these people and stop giving rationalizations.
[01:31:36.482 --> 01:31:39.404]  Well, that's why I got you on, because I'm against police states.
[01:31:39.404 --> 01:31:42.166]  But when you've got a foreign power backing crazy people,
[01:31:43.107 --> 01:31:43.908]  You're correct.
[01:31:43.908 --> 01:31:47.010]  I mean, in the area where I am, the Second Amendment is enshrined.
[01:31:47.010 --> 01:31:49.152]  We have a Second Amendment free zone, so to speak.
[01:32:11.047 --> 01:32:15.388]  The rest of the country has become less and less irrelevant.
[01:32:15.388 --> 01:32:21.670]  As we said, the East Coast, the West Coast, the Northeast, all of them are irrelevant now.
[01:32:21.670 --> 01:32:28.992]  The power has clearly shifted down to Florida, Texas, South Carolina, North Carolina.
[01:32:28.992 --> 01:32:31.973]  What we have now is the time for
[01:32:32.825 --> 01:32:33.285]  I think?
[01:32:49.993 --> 01:33:01.498]  The President of the United States, you do not disseminate false information and you do not self-aggrandize when you are part of a unit that is a paramilitary unit.
[01:33:01.498 --> 01:33:03.879]  There is no reason for him to be there.
[01:33:03.879 --> 01:33:05.940]  There's no reason for him to make 400,000.
[01:33:05.940 --> 01:33:11.122]  There's no reason for his wife to make 200,000 plus NIH.
[01:33:11.122 --> 01:33:17.085]  So Trump has to begin to act in a way, incarceration of Hunter Biden.
[01:33:17.845 --> 01:33:22.507]  Well, you've been saying that for a while, so have I. He's been saying in every speech, I want them locked up.
[01:33:22.507 --> 01:33:23.268]  They're criminals.
[01:33:23.268 --> 01:33:24.428]  I want Obama.
[01:33:24.428 --> 01:33:25.349]  I want the Clintons.
[01:33:25.349 --> 01:33:27.450]  I want Biden locked up, because they deserve to be locked up.
[01:33:27.450 --> 01:33:28.630]  The media goes, oh, he's crazy.
[01:33:28.630 --> 01:33:29.331]  No, that's the truth.
[01:33:29.331 --> 01:33:34.513]  But what does he do when there's a toothless Justice Department that is scared of their own shadow?
[01:33:36.089 --> 01:33:38.511]  This is what we've been talking about for years.
[01:33:38.511 --> 01:33:41.874]  When I said, and you know, I can't blame Trump.
[01:33:41.874 --> 01:33:44.335]  He really didn't know who he was bringing in.
[01:33:44.335 --> 01:33:52.702]  But when you bring in everybody who'd been with the Bush administration, Christopher Wray, my God, went to Andover.
[01:33:52.702 --> 01:33:55.224]  The people at Andover thought he was a jerk.
[01:33:55.894 --> 01:33:57.435]  Totally incompetent.
[01:33:57.435 --> 01:33:58.976]  I know that for a fact.
[01:33:58.976 --> 01:34:02.357]  Bush Jr., Bush Senior went to Andover.
[01:34:02.357 --> 01:34:03.658]  Where did they go to school?
[01:34:03.658 --> 01:34:04.779]  Yale.
[01:34:04.779 --> 01:34:06.860]  What is Christopher Wray really doing?
[01:34:06.860 --> 01:34:19.586]  He's nothing but a pimp who self-aggrandizes himself, made a lot of money as a pimp lawyer, has no sense of what the FBI, and by the way, the FBI has to be taken down.
[01:34:19.586 --> 01:34:22.948]  How many times have I said this since 9-11?
[01:34:22.948 --> 01:34:24.869]  The FBI is totally
[01:34:25.561 --> 01:34:27.463]  against our civil rights.
[01:34:27.463 --> 01:34:29.624]  It's totally incompetent.
[01:34:29.624 --> 01:34:31.426]  It can't find anything.
[01:34:31.426 --> 01:34:42.255]  If you ask the local police force in any county, anywhere from Montana to Florida, I've worked with policemen and the same story comes across.
[01:34:42.255 --> 01:34:46.258]  The FBI is incompetent, useless, worthless.
[01:34:46.258 --> 01:34:47.219]  Get rid of them.
[01:34:47.219 --> 01:34:48.820]  We have Homeland Security.
[01:34:48.820 --> 01:34:50.281]  I got ATF.
[01:34:50.281 --> 01:34:52.163]  I've got enough federal troops to
[01:34:52.731 --> 01:35:03.841]  Block any kind of secessionist movement that I predicted in State of Emergency in a novel I wrote that was happened around Arizona because of the water rights.
[01:35:03.841 --> 01:35:10.947]  Now, what we have here is a chance for Trump to redefine what does incarceration mean?
[01:35:10.947 --> 01:35:13.429]  Get rid of Barr, who in God's name?
[01:35:14.378 --> 01:35:28.952]  Uses a man who was a DI, an analyst at the agency, then converted to a DDO, an operative, then converted to a quote, a lawyer, but has always been loyal to the CIA.
[01:35:28.952 --> 01:35:30.514]  I mean, it doesn't make sense.
[01:35:31.114 --> 01:35:36.378]  I've said we've got 16 units in the CIA getting rid of 80% of them.
[01:35:36.378 --> 01:35:40.581]  Let's talk about what's about to happen in the next two weeks because I agree with all of that.
[01:35:40.581 --> 01:35:47.447]  I know there's a bunch of different camps in the government and the corporate system really wants to put Joe Biden in because it'll totally control him and loot the country.
[01:35:47.447 --> 01:35:53.291]  But obviously anyone saying there's any good people left in government, we need to stop this and put Trump in.
[01:35:53.291 --> 01:35:54.052]  This is crazy.
[01:35:55.353 --> 01:35:59.894]  Well, I may be crazy, but the point of fact is what you and I said correctly.
[01:35:59.894 --> 01:36:04.455]  There's going to be ballot harvesting, and that is a problem for me.
[01:36:04.455 --> 01:36:12.237]  It's a problem for me individually and as an operative, because we do not know how many ballots have been harvested.
[01:36:12.237 --> 01:36:16.638]  And in nine states, it's mandatory balloting.
[01:36:16.638 --> 01:36:19.779]  Washington, Oregon, you know, all the liberal states.
[01:36:19.779 --> 01:36:22.300]  So they can have all kinds of ballots come in.
[01:36:23.004 --> 01:36:38.595]  Personally, I would bring in the police force in every area to monitor what's going on, and I would bring, as much as I hate it, a national force, either the ATF or some other unit of the government, not the FBI.
[01:36:38.595 --> 01:36:39.576]  They're useless.
[01:36:39.576 --> 01:36:41.877]  But another... Let's talk about this when we come back.
[01:36:41.877 --> 01:36:44.679]  America is fighting what's alive right now.
[01:36:44.679 --> 01:36:46.401]  The answer to 1984.
[01:37:02.562 --> 01:37:06.964]  InfoWars has been banned.
[01:37:06.964 --> 01:37:10.846]  Arrested.
[01:37:10.846 --> 01:37:13.807]  Attacked and threatened.
