[00:00:00.209 --> 00:00:01.549]  It was all pre-planned.
[01:08:53.556 --> 01:09:00.899]  I know I don't want to sit here at one level and laugh at the stupid African warlord that's taken over part of Seattle and how ridiculous it is.
[01:09:02.439 --> 01:09:04.120]  It's our failure that has allowed that
[01:09:05.472 --> 01:09:05.892]  To happen.
[01:09:09.535 --> 01:09:14.658]  Because we've relinquished the cities to the Democrats.
[01:09:19.581 --> 01:09:21.442]  And here I am, literally leaving Austin.
[01:09:23.124 --> 01:09:24.945]  But I'll still come back into it to fight with my point.
[01:09:26.906 --> 01:09:29.047]  And there's no perfect answer except God, you know.
[01:09:30.108 --> 01:09:32.610]  So many good people, too, never engaged in the New World Order because
[01:09:35.726 --> 01:09:43.974]  They don't have a perfect plan and well there could be a downside and it's not that you're scared of a downside to you, you just don't want to make a mistake and hurt people.
[01:09:44.375 --> 01:09:55.866]  What matters is the spirit and the intent and that's the secret of the universe that it's like English that you put on a cue ball on a pool ball
[01:09:57.372 --> 01:10:01.754]  The masters of pool know how to put spin and things on it, and no one even knows how they do it.
[01:10:02.134 --> 01:10:04.414]  They're not even sure how they do it, but that's the master.
[01:10:04.434 --> 01:10:08.536]  They put the English on it, and God puts the English on the ball.
[01:10:09.916 --> 01:10:11.117]  You have to have the intent.
[01:10:11.237 --> 01:10:12.337]  You have to have the will.
[01:10:12.457 --> 01:10:26.282]  You have to want to do the right thing, and you have to be willing to get up and get knocked down over and over again, but the more you do it, you enter into a place where you know God's real because you see things happen and things go on where you know that wasn't coming from you.
[01:10:28.826 --> 01:10:31.048]  And God doesn't give you anything you can't handle.
[01:10:31.768 --> 01:10:35.771]  That's why a lot of folks want a miracle right now, or they want all the answers right now.
[01:10:36.512 --> 01:10:39.974]  There's an old saying in A Few Good Men, you can't handle the truth.
[01:10:41.375 --> 01:10:42.897]  Well, this audience can handle the truth.
[01:10:42.917 --> 01:10:45.178]  A lot of you are more informed than I am in different areas.
[01:10:45.679 --> 01:10:47.140]  I'm more informed than you in different areas.
[01:10:47.560 --> 01:10:50.702]  That's how God works different creations in the garden.
[01:10:50.983 --> 01:10:52.584]  Together we create the perfection.
[01:10:54.994 --> 01:10:58.716]  And the perfection is in us finally realizing God is the perfection.
[01:11:03.658 --> 01:11:04.498]  I'm gonna stop preaching.
[01:11:07.800 --> 01:11:09.721]  But it's just how Tale of Two Cities begins.
[01:11:09.921 --> 01:11:12.302]  It was the best of times, it was the worst of times.
[01:11:13.122 --> 01:11:15.103]  So many beautiful, wonderful things are happening.
[01:11:17.844 --> 01:11:21.706]  And so many truly horrible, degraded, fallen things are happening.
[01:11:23.373 --> 01:11:30.817]  And the New World Order knows it's ugly, and sickening, and twisted, and it wants us to accept it, and merge with it, and let it become us.
[01:11:30.898 --> 01:11:31.858]  It wants to rape us.
[01:11:32.899 --> 01:11:44.406]  And it wants us to know it's ugly, and know it's fallen, and know it's failed, and then out of fear, because we're in a cage, it wants us to spread our legs for it.
[01:11:44.886 --> 01:11:46.567]  And I'm not doing it.
[01:11:47.327 --> 01:11:49.729]  Look at this photo of Drag Queen Storytime.
[01:11:50.981 --> 01:11:51.802]  Pervert story time.
[01:11:52.122 --> 01:12:02.329]  Facebook shuts down 500 mom strong group that advocated against Drag Queen Story Hour, purposely coming in, in many cases convicted pedophiles, bouncing your children on their knee.
[01:12:09.854 --> 01:12:14.737]  They have to get you to turn off your own defense mechanisms.
[01:12:18.490 --> 01:12:20.311]  Turn it off, get it off script, I can't look at it.
[01:12:20.811 --> 01:12:25.092]  The point is, is that that's all this is!
[01:12:27.213 --> 01:12:33.094]  Is the system getting humanity weakened down to the point before they smash us flatter than a pancake.
[01:12:34.215 --> 01:12:37.816]  And I don't know about you, but I'm not gonna sit here and take it.
[01:12:43.617 --> 01:12:45.078]  The new order just keeps coming to me.
[01:12:46.576 --> 01:12:50.699]  Do different things and people are like, oh, uh, things will go better if you just did this.
[01:12:51.259 --> 01:12:52.920]  Things will go better if you just did that.
[01:12:52.980 --> 01:12:57.363]  Would you just, would you just give in just a little bit?
[01:13:01.885 --> 01:13:06.488]  And then we'll take the claws off.
[01:13:07.329 --> 01:13:08.389]  I kind of like the claws.
[01:13:10.250 --> 01:13:15.874]  In fact, the harder the claws squeeze on me, the smarter I get, the closer to God I get.
[01:13:16.820 --> 01:13:23.822]  The harder you punch me, the harder you peck at me, all you do is push me right into Jesus Christ's arms.
[01:13:24.862 --> 01:13:28.243]  And I just want listeners to get that through your skulls, and I need to get that through my skull as well.
[01:13:29.243 --> 01:13:30.804]  Alex Jones isn't going to fix this.
[01:13:31.364 --> 01:13:32.564]  You're not going to fix this.
[01:13:32.924 --> 01:13:33.785]  God's going to fix it.
[01:13:37.466 --> 01:13:42.847]  But God's going to fix it working through you and through other people.
[01:13:44.468 --> 01:13:48.092]  All right, I'm going to play these clips and get to the rest of this and shift gears into a bunch of other news.
[01:13:49.273 --> 01:13:55.078]  Almost happening in Seattle and just everywhere in the model of the fallen civilization, how we laugh at it, but it's not a laughing matter.
[01:13:55.699 --> 01:13:57.941]  There's a trick inside of that system.
[01:13:59.062 --> 01:13:59.843]  And so much more.
[01:13:59.863 --> 01:14:01.945]  I tend to get busy.
[01:14:01.985 --> 01:14:03.667]  I have it plugged in an hour and 50 minutes here.
[01:14:03.687 --> 01:14:05.849]  Hour and 40 minutes.
[01:14:07.742 --> 01:14:12.144]  We have some great products and, you know, the problem with the sale is we sell a lot of stuff.
[01:14:12.164 --> 01:14:14.805]  We don't make as much money per capita to fund ourselves.
[01:14:14.825 --> 01:14:16.746]  And then when the sale ends, nobody buys product.
[01:14:17.366 --> 01:14:17.886]  And so it's a catch-22.
[01:14:17.946 --> 01:14:20.827]  We got to fund ourselves, plus these are great products.
[01:14:20.867 --> 01:14:24.089]  But we had everything in the store at 60% off.
[01:14:24.749 --> 01:14:27.790]  We couldn't do that because a bunch of stuff sold out, but a lot of items are still available.
[01:14:28.170 --> 01:14:28.891]  So I've decided
[01:14:30.000 --> 01:14:35.025]  To have a huge savings on select best-selling products, then fullerstore.com, get yours before they sell out.
[01:14:35.445 --> 01:14:47.637]  Our original Megaflash specials have ended at infomercial.com, but to help clear out our high-quality inventory, we have launched a new 60% off specials on our best sellers and products that are about to sell out at infomercial.com.
[01:14:47.857 --> 01:14:49.759]  Yeah, these will sell out in the next couple weeks.
[01:14:50.620 --> 01:14:58.242]  But I'm going to go ahead and just give them a 60% off in the hopes that you like the product so much, because a lot of new people buy stuff when it's at that price, then you become a repeat customer is why I'm doing it.
[01:14:58.882 --> 01:15:02.003]  Just 60% off these top formulas before they're sold out on Forcewear.com.
[01:15:02.303 --> 01:15:04.824]  Brain Force Plus is an amazing nootropic, number one bestseller.
[01:15:05.164 --> 01:15:07.665]  Turbo Force is incredible, clean hour to energy, 60% off.
[01:15:08.085 --> 01:15:09.866]  Real Red Pill, Red Pill Plus, that will sell out.
[01:15:09.886 --> 01:15:10.946]  I'm not even sure I'm bringing it back.
[01:15:10.986 --> 01:15:11.866]  It's an important product.
[01:15:12.286 --> 01:15:14.047]  It's very hard to source, very expensive to make.
[01:15:15.270 --> 01:15:15.911]  You want to get it.
[01:15:16.331 --> 01:15:17.872]  Real Red Pill Plus, selling out soon.
[01:15:17.892 --> 01:15:19.873]  Vanilla Coconut Protein Bar, selling out soon.
[01:15:19.973 --> 01:15:22.594]  Bio True Selenium, selling out soon.
[01:15:22.634 --> 01:15:26.536]  And get an unprecedented 70% off on the AMPM 8-Pack Power Stack.
[01:15:27.677 --> 01:15:28.397]  13 pills per day.
[01:15:28.838 --> 01:15:29.858]  So easy to use.
[01:15:29.878 --> 01:15:31.079]  Helps you not forget to take it.
[01:15:31.559 --> 01:15:35.181]  Take advantage of these new specials before they run out of inventory at Infolwerestore.com.
[01:15:35.609 --> 01:15:37.310]  And all apparel is at cost.
[01:15:37.350 --> 01:15:37.871]  The average is $9.95.
[01:15:38.231 --> 01:15:44.336]  The apparel cost is, so that's the shirt that might have cost us $15 to make, or a shirt that cost us $5 to make.
[01:15:44.656 --> 01:15:45.057]  The average is $9.95.
[01:15:46.318 --> 01:15:46.918]  All apparel, $9.95.
[01:15:49.220 --> 01:15:51.502]  All the t-shirts, infowarestore.com.
[01:15:51.942 --> 01:15:57.126]  That helps you spread the word in the third dimension, which really pisses off the slaves of Surin.
[01:15:57.607 --> 01:15:58.287]  We'll be right back.
[01:15:58.307 --> 01:15:58.728]  Stay with us.
[01:16:01.190 --> 01:16:02.190]  We are on the march.
[01:16:02.531 --> 01:16:03.952]  The empire is on the run.
[01:16:05.126 --> 01:16:06.327]  Alex Jones here back live.
[01:16:06.387 --> 01:16:09.929]  Larry Pinckney is one of the original members of the real Black Panther Party.
[01:16:10.670 --> 01:16:15.813]  The new Black Panther Party is a black supremacist, like the black version of the KKK.
[01:16:16.974 --> 01:16:26.020]  He's a really smart guy and he's going to be joining us coming up in the next hour to cover the waterfront about what's going on.
[01:16:26.040 --> 01:16:30.884]  Now, I'm not playing this to toot my horn.
[01:16:32.156 --> 01:16:35.498]  I'm playing this to show you the premeditated, that's a key word.
[01:16:36.639 --> 01:16:41.242]  I've got hundreds of articles, 30, 40 incredible clips, guests coming up.
[01:16:41.262 --> 01:16:45.365]  I don't need to keep saying premeditated, premeditated, premeditated like I'm a parrot.
[01:16:46.785 --> 01:16:50.868]  The whole COVID thing is engineered by Bill and Melinda Gates, Fauci, the NIH.
[01:16:50.928 --> 01:16:51.649]  It's all on record.
[01:16:51.709 --> 01:16:52.469]  It's all a fraud.
[01:16:52.709 --> 01:16:53.750]  Their tests are frauds.
[01:16:53.770 --> 01:16:54.831]  Their studies are frauds.
[01:16:55.231 --> 01:16:57.012]  Their attack on hydroxychloroquine is a fraud.
[01:16:57.252 --> 01:16:58.433]  It's all been thrown out.
[01:16:58.453 --> 01:16:59.754]  They're actually getting their asses kicked.
[01:17:00.998 --> 01:17:08.622]  But the media and the blue states are saying, we're not opening, we're not opening second wave, second wave to further devastate the world economy, not just our economy.
[01:17:08.862 --> 01:17:09.823]  You want to talk about death?
[01:17:10.283 --> 01:17:12.945]  The UN admits 100 plus million people starving to death the next year.
[01:17:12.965 --> 01:17:14.886]  30 something million starving to death right now.
[01:17:17.047 --> 01:17:20.329]  Those are real numbers, not fairytale COVID-19 stuff.
[01:17:22.690 --> 01:17:25.392]  But here's the article from back in early May.
[01:17:26.491 --> 01:17:30.734]  Alex Jones claims frontline coronavirus health workers are killing patients.
[01:17:31.174 --> 01:17:39.619]  Now at the time, doctors were saying you're putting people with COVID-19 and other things in the hospitals and in the nursing homes is going to cause death.
[01:17:40.418 --> 01:17:41.218]  Especially in earthing homes.
[01:17:41.699 --> 01:17:45.320]  While the family can't come in, because they might have COVID, but someone with COVID you bring in.
[01:17:45.800 --> 01:17:46.941]  And I explained what was going on.
[01:17:46.981 --> 01:17:49.402]  They made a big George Soros joke.
[01:17:49.782 --> 01:17:51.883]  Because what does George Soros that runs Media Matters say?
[01:17:52.623 --> 01:17:54.204]  He says, it was happy making time.
[01:17:54.484 --> 01:17:56.304]  Best time of my life was working for Hitler.
[01:17:56.965 --> 01:17:59.346]  If I didn't do it, someone else would do it, he told.
[01:17:59.366 --> 01:18:01.307]  60 minutes.
[01:18:01.667 --> 01:18:03.247]  That's the sociopath brain.
[01:18:03.988 --> 01:18:07.089]  So the sociopaths over at Media Matters, boy, this didn't age well, did it?
[01:18:08.365 --> 01:18:11.809]  Alex Jones claims frontline coronavirus health workers are killing patients.
[01:18:12.109 --> 01:18:13.170]  Here's one of the clips.
[01:18:14.452 --> 01:18:19.537]  If you've had a cold in the last decade, you will show up positive for coronavirus.
[01:18:19.697 --> 01:18:25.423]  And then if you die in a car wreck or even a shark attack, they're now saying that's not a joke.
[01:18:26.323 --> 01:18:31.766]  Or you die in a plane crash, or you die of cancer, or you die of pneumonia from some other pneumonia.
[01:18:32.126 --> 01:18:33.747]  You will be counted as COVID-19.
[01:18:33.787 --> 01:18:35.008]  That's why they've got the graphs.
[01:18:35.448 --> 01:18:48.736]  We'll be going over at the bottom of the hour where suddenly all the deaths from flu and the deaths from cancer and heart attacks, those have all gone down in the graphs and the exact same amount cut off that graph put over on COVID-19.
[01:18:50.237 --> 01:18:51.518]  Because the hospitals get
[01:18:53.029 --> 01:18:55.050]  $39,000 to begin with.
[01:18:55.070 --> 01:18:59.551]  $39,000 to begin with.
[01:19:00.491 --> 01:19:04.293]  I decided to do some digging last night and this morning, and the other money they get.
[01:19:06.173 --> 01:19:13.375]  When you treat COVID patients, period, the hospital gets, depending on its size, between $190,000 and $10 million.
