[00:00:05.264 --> 00:00:07.305]  Careful what you wish.
[01:06:19.040 --> 01:06:25.024]  One out of three or four people is dealing with some kind of health challenge, and everyone knows at least one person with a degenerative disease.
[01:06:25.484 --> 01:06:46.264]  If you're dealing with a health challenge, or if you're healthy and want to maintain your vigor and longevity, and you're looking for a convenient, easy way to incorporate nutritional raw materials into your day-to-day lives to guarantee that your body is getting the fundamental nutrients, the 90 essential vitamins, minerals, fats, and amino acids it needs to do its healing work, you need to check out InfoWarsTeam.com.
[01:06:46.264 --> 01:06:48.226]  Give your body the gift of good nutrition.
[01:06:48.226 --> 01:06:48.626]  Head over to
[01:06:48.826 --> 01:06:50.647]  Infowarsteam.com.
[01:06:50.647 --> 01:06:52.487]  Your body will be very grateful.
[01:06:52.487 --> 01:06:55.548]  On the web at Infowarsteam.com.
[01:06:55.548 --> 01:06:59.630]  That's Infowarsteam.com.
[01:06:59.630 --> 01:07:10.174]  You're investing in your health and supporting the Infowar when you visit Infowarslife.com and purchase your supply of Survival Shield X2 Nation Iodine and all the great products at Infowarslife.com.
[01:07:10.174 --> 01:07:16.076]  As you know, we've talked to pharmacists, chemists, doctors, researchers, scientists, and the answer is clear.
[01:07:16.076 --> 01:07:18.677]  Iodine is key, is paramount, and there's still
[01:07:18.677 --> 01:07:23.321]  There's still so much new information coming out that we simply can't even keep up with it.
[01:07:23.321 --> 01:07:32.270]  In our quest for the purest iodine, we drill down more than 7,000 feet to gather these purple-blue crystals to extract the ultra-pure iodine.
[01:07:32.270 --> 01:07:36.173]  On top of that, we also screen our iodine for radiation before bottling.
[01:07:36.173 --> 01:07:39.016]  It is the purest, cleanest, strongest out there.
[01:07:39.016 --> 01:07:43.080]  Quite frankly, I'm flattered that with the launch of survival shield nascent iodine,
[01:07:43.200 --> 01:07:51.904]  That major brands and major companies have been knocking down our doors to get our formula and that they have been unable to come up with anything even close to what we have.
[01:07:51.904 --> 01:08:02.150]  It is exclusive to InfoWarsLife.com and the InfoWarsLife family of incredible products.
[01:08:02.150 --> 01:08:04.931]  Crashing through the lies and disinformation.
[01:08:04.931 --> 01:08:08.753]  It's Alex Jones, only on the GCN Radio Network.
[01:08:20.213 --> 01:08:26.976]  We now take you live to the Central Texas Command Center, where we're broadcasting from worldwide.
[01:08:26.976 --> 01:08:29.317]  I'm your host, Alex Jones.
[01:08:29.317 --> 01:08:33.439]  A collection of megabanks have seized control of the globe to a great extent.
[01:08:33.439 --> 01:08:45.345]  They're mopping up the last corners of resistance and even drilling down to end all resistance and terminating the life force itself, terminating the will to live and survive and thrive.
[01:08:46.914 --> 01:08:53.737]  Attacking the very biological processes of humans and targeting the family unit itself.
[01:08:53.737 --> 01:08:56.138]  The basis of civilization.
[01:08:56.138 --> 01:09:08.123]  And that is being done openly because they're going to collapse world civilization selectively into a new dark age and out of that will be the rise of the machines and the technotronic era.
[01:09:08.123 --> 01:09:13.886]  You see this in a lot of globalist propaganda placement.
[01:09:13.886 --> 01:09:16.367]  In fiction prepping your mind
[01:09:18.370 --> 01:09:22.291]  With predictive programming so that you simply accept it into the future.
[01:09:22.291 --> 01:09:24.172]  And that is the plan for the planet.
[01:09:24.172 --> 01:09:32.175]  I think people should be concerned about an unelected world government being set up, whose goal is to carry out eugenics.
[01:09:32.175 --> 01:09:36.617]  I talked earlier about the British East India Company and it merged with the Dutch East India Company.
[01:09:36.617 --> 01:09:40.118]  These were big private combines backed by banks and insurance companies.
[01:09:42.381 --> 01:09:49.783]  And the first stock exchanges, where you'd buy stock in a ship, that way if you lost a ship, you wouldn't lose everything, because you and 100 other people were invested in it.
[01:09:49.783 --> 01:09:56.305]  And they brought in mercenaries, they brought in private groups, they learned how to play groups off against each other in India and other areas.
[01:09:56.305 --> 01:10:00.826]  And this is the model we're under today.
[01:10:00.826 --> 01:10:12.049]  And you've got all these politicians, bought and paid for by globalists, parlaying the national sovereignty, the jobs, the industry, shelling it off, even though it's not theirs to sell, to these institutions.
[01:10:14.793 --> 01:10:24.416]  And our children are being prepped to go to colleges, to get into debt, and they'll never get jobs, almost all of them, with the degrees they're getting, that are obsolete before they even get the degrees.
[01:10:24.416 --> 01:10:38.981]  It's all done by design, to arrest development, and to create servile, soft people, ready to be basically taken over with national health care, and very slowly euthanized.
[01:10:38.981 --> 01:10:43.283]  And here's an article, Politico, Obama will push transgender
[01:10:44.435 --> 01:10:48.116]  Gender identity rules on all K-12 schools.
[01:10:48.116 --> 01:10:48.796]  Kindergarten through 12.
[01:10:48.796 --> 01:10:51.597]  And that's in Breitbart.
[01:10:51.597 --> 01:10:53.838]  Well, that's already going on.
[01:10:53.838 --> 01:10:55.518]  Confusing children.
[01:10:55.518 --> 01:10:57.839]  Sexualizing children.
[01:10:57.839 --> 01:11:01.660]  Who needs Bill Clinton's pedophile island when you've got just the schools?
[01:11:01.660 --> 01:11:05.741]  Becoming places where the school tells your child they can have an abortion.
[01:11:05.741 --> 01:11:08.482]  Where the school tells your child they can have an inoculation.
[01:11:08.482 --> 01:11:11.603]  Where the school is going to talk to your five-year-old.
[01:11:13.561 --> 01:11:20.243]  I mean, my children are 13, 11, and 8, and I barely have talked to them about sex.
[01:11:20.243 --> 01:11:23.744]  And I probably should do it more, but it's an uncomfortable thing.
[01:11:23.744 --> 01:11:31.386]  Instead, you've got the government involved, trying to confuse their identities.
[01:11:31.386 --> 01:11:41.629]  Imagine if somebody wrote a science fiction book 60 years ago, where in the year 2016, they'd be opening the borders to jihadis by the millions, they'd be teaching children
[01:11:44.941 --> 01:11:54.864]  How to do things sexually that I didn't even know about till I covered it as a young man on the air.
[01:11:54.864 --> 01:12:08.329]  They set up in middle schools, now they're going to go earlier grades, little signs up and say, come to this counselor's office, come to this school room after school today if you're bi or curious and if you don't want to be bullied because you're gay.
[01:12:08.329 --> 01:12:12.150]  And you get there and then you're led by adults who take you
[01:12:13.311 --> 01:12:24.639]  To these off-school retreats that your liberal parents sign on for you to go to, and they go and then they are in dormitories with beds.
[01:12:24.639 --> 01:12:26.500]  This has been in the news all over the country.
[01:12:26.500 --> 01:12:29.222]  Same program.
[01:12:29.222 --> 01:12:37.227]  And then they sit there and teach them all this incredible sexual stuff, and then the teachers say, we're leaving now, enjoy yourselves.
[01:12:37.227 --> 01:12:37.968]  This is pedophilia!
[01:12:39.650 --> 01:12:43.693]  Well, 6th and 7th graders, now they're gonna go down lower.
[01:12:43.693 --> 01:12:47.817]  It's a sex cult.
[01:12:47.817 --> 01:12:54.823]  But the sex cult is only one engineered system to totally confuse and break down society.
[01:12:54.823 --> 01:12:58.086]  And they sell it like, oh, you're against somebody because they're, quote, gay.
[01:12:58.086 --> 01:13:02.810]  Look, there are homosexual pedophiles, there are heterosexual pedophiles.
[01:13:02.810 --> 01:13:05.212]  Anybody trying to sexualize children is a pervert.
[01:13:06.673 --> 01:13:12.636]  And is encroaching and getting involved in parents' lives and children's lives.
[01:13:12.636 --> 01:13:15.758]  They're bullying us!
[01:13:15.758 --> 01:13:31.245]  Just like the Republicans bully us and get up there with arrogance and laugh at us on every TV channel going, your vote never counted, it never did, we're sovereign, we decide, we don't go with the mere plurality of the majority, we decide, okay?
[01:13:31.245 --> 01:13:33.707]  I'm George Will and I approve this message.
[01:13:33.707 --> 01:13:35.648]  I'm Curly Hewlin, I approve this message.
[01:13:36.929 --> 01:13:38.631]  Revis, previs, wevis.
[01:13:38.631 --> 01:13:39.412]  I approve this message.
[01:13:39.412 --> 01:13:43.156]  I'm Paul Blue-Eyed Ryan.
[01:13:43.156 --> 01:13:46.721]  Boy toy of the house.
[01:13:46.721 --> 01:13:53.749]  I mean, it's a bunch of guys up there, literally delusional in their own world, hanging out at the D.C.
[01:13:53.749 --> 01:13:54.430]  bathhouses.
[01:13:55.950 --> 01:13:59.652]  Just thinking they're invincible because they prance around in fancy suits.
[01:13:59.652 --> 01:14:10.139]  Look, this country and this planet and our families and this species doesn't belong to you just because you hijacked the country, shined the world onto a bunch of derivatives fraud and think you own us.
[01:14:10.139 --> 01:14:10.539]  It's over!
[01:14:10.539 --> 01:14:24.728]  At the bottom of the hour, I'm going to play part of this beautiful classical music that a Russian orchestra played for solidarity
[01:14:26.305 --> 01:14:30.046]  With the folks being massacred in Palmyra, Syria.
[01:14:30.046 --> 01:14:46.813]  And mainstream western news decried the Russian propaganda because they had a symphony in solidarity with the people being murdered in the non-radical Muslim nation of Syria.
[01:14:46.813 --> 01:14:49.073]  They call that propaganda.
[01:14:49.073 --> 01:14:53.375]  Not sending in hundreds of thousands of jihadis, not spending tens of billions of dollars
[01:14:57.355 --> 01:15:12.302]  No, they hate the fact that the Russian orchestra would go to Palmyra, in the ruins, recently retaken from ISIS, and they would play there, obviously at serious risk to their lives.
[01:15:12.302 --> 01:15:18.545]  And just an act of dignity, and wholesomeness, and you know why the New World Order hates classical music?
[01:15:18.545 --> 01:15:25.568]  Because it touches the soul, it raises the connections in the brain, it takes us to a higher level.
[01:15:27.162 --> 01:15:37.405]  The globalists admit ugly music, ugly culture, ugly this, every message you see is father is stupid, father is bad, women are all the heroes, women get everything done.
[01:15:37.405 --> 01:15:49.349]  It's not to empower women, it's to totally make women disdain men and think that they get power out of dominating men.
[01:15:49.349 --> 01:15:51.730]  There are Roman handbooks, you can look them up, we've covered them.
[01:15:52.833 --> 01:15:57.314]  On how, when they would take over areas of Europe, they would bring back slaves.
[01:15:57.314 --> 01:16:00.055]  They'd kill the men, but keep boys.
[01:16:00.055 --> 01:16:05.737]  And then they would single out, as soon as they got to the camp, some of the boys and beat them with an inch of their life, claiming they'd done something wrong.
[01:16:05.737 --> 01:16:12.719]  And they'd tell the women, you suppress your boys, you control them, you spy on them, you report to us, or we're gonna kill them.
[01:16:13.604 --> 01:16:23.606]  And within just a few months, the women were the biggest oppressors of the men and then set themselves up as a predatory group in every slave culture.
[01:16:23.606 --> 01:16:26.447]  The women are the controllers of the men.
[01:16:26.447 --> 01:16:30.448]  It's an inverted system.
[01:16:30.448 --> 01:16:31.688]  And this is what they've set up.
[01:16:31.688 --> 01:16:32.948]  This is what they're doing.
[01:16:32.948 --> 01:16:34.329]  And then women are totally frustrated.
[01:16:34.329 --> 01:16:35.889]  They've got these men groveling to them.
[01:16:37.244 --> 01:16:38.925]  They're in discord in their families.
[01:16:38.925 --> 01:16:53.471]  The men act like arrested development babies, and now the wife or the girlfriends like their mom, and the boys run off together and act like bad kids playing hooky from school.
