[00:00:11.814 --> 00:00:12.714]  June 7th, 2016.
[01:28:27.170 --> 01:28:27.691]  Exactly.
[01:28:27.971 --> 01:28:36.980]  Well, and that's what we're starting to see trickling out in Austin, because as we know, Texas is great, but then you've got Austin starting to get full-on Democratic representation there.
[01:28:37.080 --> 01:28:40.063]  So it's kind of, don't bring the locusts here!
[01:28:40.083 --> 01:28:42.685]  All right, Leanne, great job.
[01:28:42.886 --> 01:28:44.147]  By the way, I love that green jacket.
[01:28:44.167 --> 01:28:44.928]  You know, that's my favorite.
[01:28:45.528 --> 01:28:46.349]  Thank you, mine too.
[01:28:47.430 --> 01:28:49.032]  I tell you, that's the Irish in you.
[01:28:49.432 --> 01:28:51.154]  But seriously, what else are you going to be covering?
[01:28:52.836 --> 01:28:54.537]  Well, we are also going to be out here.
[01:28:54.697 --> 01:28:58.878]  We wanted to talk a little bit about what a Clinton presidency would look like.
[01:28:58.918 --> 01:29:12.144]  We're outside of the Laugh Factory, and you can recall we did that whole series with people submitting their videos trying to insult Hillary Clinton because she wanted to shut down people's free speech if they dare make jokes about her.
[01:29:12.424 --> 01:29:15.525]  So that's just one of the things going on here out in California with the Laugh Factory.
[01:29:15.965 --> 01:29:23.047]  And we'll kind of be bouncing all around here, meeting up with some of her, seeing if we can actually find any Hillary Clinton supporters.
[01:29:23.267 --> 01:29:24.248]  I have yet to find one.
[01:29:24.388 --> 01:29:28.429]  Leanne, tell folks how they find... So that's key.
[01:29:28.509 --> 01:29:29.449]  I mean, do a report on that.
[01:29:29.950 --> 01:29:33.791]  A reporter cannot find a Hillary supporter, but she's set to win the state.
[01:29:33.811 --> 01:29:34.211]  There you go.
[01:29:34.791 --> 01:29:35.652]  Yeah, exactly.
[01:29:36.352 --> 01:29:38.853]  Leanne, in closing, fire out your Facebook or Twitter.
[01:29:38.893 --> 01:29:42.834]  It's important for people to follow those as well, not just our main ones, because you post a lot of exclusive stuff there.
[01:29:43.638 --> 01:29:51.582]  Yes, you can follow me at Leanne McAdoo on Twitter and also Leanne McAdoo InfoWars on my Facebook page and we'll be seeing you tonight live at 7 p.m.
[01:29:51.622 --> 01:29:53.363]  Central for the InfoWars Nightly News.
[01:29:53.663 --> 01:29:58.285]  That's right, expanded coverage with our reporters from Bilderberg, Germany and from California and more.
[01:29:58.325 --> 01:29:59.365]  I'm Alex Jones from Austin.
[01:29:59.926 --> 01:30:02.907]  We're on the march, the Empire's on the run.
[01:30:03.227 --> 01:30:06.529]  The Tim Kenney Mom Show and the GCN Radio Network.
[01:30:10.558 --> 01:30:18.909]  Hillary Clinton has no shortage of celebrity endorsements, including actress Eva Longoria, Snoop D-O-double-G, and Kim Kardashian.
[01:30:19.090 --> 01:30:23.275]  Now she's gaining support from an unlikely source for a very bizarre reason.
[01:30:23.535 --> 01:30:25.418]  Scott Adams, the creator of the
[01:30:25.418 --> 01:30:26.299]  We're good to go.
[01:30:42.182 --> 01:30:42.843]  We're good to go.
[01:31:10.327 --> 01:31:11.688]  Clean, pure drinking water.
[01:31:11.968 --> 01:31:13.269]  You can't survive without it.
[01:31:13.449 --> 01:31:14.350]  But where do you get it?
[01:31:14.670 --> 01:31:20.435]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[01:31:20.655 --> 01:31:26.359]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[01:31:26.559 --> 01:31:43.440]  Pairing the unprecedented superfiltration power of an all-new gravity block core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[01:31:43.800 --> 01:31:45.941]  Filter capacity up to 5,000 gallons.
[01:31:46.301 --> 01:31:47.501]  Stainless steel construction.
[01:31:47.761 --> 01:31:48.542]  Easy assembly.
[01:31:48.802 --> 01:31:49.442]  Low maintenance.
[01:31:49.722 --> 01:31:51.543]  Replacement filters are simple to install.
[01:31:51.823 --> 01:31:58.925]  And now, as part of an exclusive limited-time introductory offer, you can save $20 off the retail price and get free shipping.
[01:31:59.085 --> 01:32:04.087]  This is a limited-time offer, so order your unit today and receive free shipping and $20 off.
[01:32:04.287 --> 01:32:06.868]  Go to InfowarsStore.com or call 888-253-3139.
[01:32:09.929 --> 01:32:10.930]  BrainForce is here.
[01:32:11.471 --> 01:32:13.754]  Ladies and gentlemen, I've been on this the last few months.
[01:32:14.015 --> 01:32:21.845]  You probably noticed I've been more crazed, more focused, less brain fog, more energy, more special reports, and it's because of BrainForce.
[01:32:22.611 --> 01:32:25.753]  One of the worst things with most energy products is it's not sustainable.
[01:32:26.053 --> 01:32:26.194]  Right?
[01:32:26.214 --> 01:32:28.555]  You're gonna crash and gonna feel really bad afterwards.
[01:32:28.915 --> 01:32:32.438]  This has a bunch of different antioxidants and compounds and polyphenols.
[01:32:32.478 --> 01:32:35.620]  Everybody's on these drugs to knock their brain out because the brain's so fried.
[01:32:36.121 --> 01:32:40.924]  We kept changing this formula over and over and over again until it became sort of a grand puzzle.
[01:32:41.464 --> 01:32:43.286]  For example, the L-theanine inside of it.
[01:32:43.646 --> 01:32:48.069]  That is activated by the different compounds in the Yerba Mate that we put inside of it as well.
[01:32:48.229 --> 01:32:50.250]  This just increases the compounds you already have.
[01:32:50.851 --> 01:32:52.332]  This is what you're actually designed to run on.
[01:32:52.472 --> 01:32:52.712]  Exactly.
[01:32:52.732 --> 01:32:56.713]  It's kind of like a car will run on one form of junky gas, but it runs really good on what it's designed for.
[01:32:57.033 --> 01:33:04.296]  You will find Brain Force, Survival Shield X2, and other game-changing products at InfoWarsLife.com.
[01:33:04.576 --> 01:33:05.036]  Or call 888-253-3139.
[01:33:11.294 --> 01:33:18.216]  From the front lines of the Information War, it's Alex Jones!
[01:33:39.282 --> 01:33:40.704]  Yes, sir.
[01:33:51.064 --> 01:33:51.765]  Thank you for joining us.
[01:33:51.825 --> 01:33:53.005]  This is the Info War.
[01:33:53.105 --> 01:33:54.166]  I'm your host Alex Jones.
[01:33:54.186 --> 01:33:55.627]  We've got our reporters in Germany.
[01:33:55.647 --> 01:33:59.109]  We've got our reporters in California reporting on the 2016 election.
[01:33:59.129 --> 01:34:03.572]  Tonight we'll have coverage from 7 o'clock Central past 9 o'clock.
[01:34:04.012 --> 01:34:07.995]  We'll have a bunch of produced news packages covering the latest developments this evening.
[01:34:08.375 --> 01:34:12.218]  And then we'll also have reporters across the world giving you geopolitical
[01:34:12.978 --> 01:34:14.219]  Analysis as well.
[01:34:14.339 --> 01:34:15.959]  I'll be popping in as well.
[01:34:16.339 --> 01:34:26.104]  And Jakari Jackson along with Aaron McBreen and David Knight will be running the show here from the InfoWars News Center in Austin, Texas.
[01:34:26.144 --> 01:34:29.005]  The center that you built with your support, your prayers.
[01:34:29.485 --> 01:34:30.126]  We're good to go.
[01:34:52.182 --> 01:35:02.394]  Black, white, hispanic, male, female, wearing Molon Lambe shirts, wearing Hillary for prison shirts, and unifying humanity around freedom.
[01:35:03.427 --> 01:35:06.069]  That absolutely freaks out Obama and the globalists.
[01:35:06.329 --> 01:35:11.332]  They do not want to show the crowds of people of every race, color, and creed going into these Trump rallies.
[01:35:11.792 --> 01:35:12.333]  They do not.
[01:35:12.393 --> 01:35:14.894]  They want to spin it and make it look like Trump is a racist.
[01:35:15.355 --> 01:35:19.057]  That is what they're pushing as hard as they can, but it's not working.
[01:35:19.817 --> 01:35:22.899]  They're also pushing a big hoax that Hillary's ahead of him in every poll.
[01:35:23.440 --> 01:35:25.041]  Just like she's ahead of Bernie Sanders, right?
[01:35:25.201 --> 01:35:28.043]  Oh no, the superdelegates stole more than 10 states for her.
[01:35:28.583 --> 01:35:31.665]  And now Sanders, to his credit, is saying, we're still going to fight at the convention.
[01:35:32.745 --> 01:35:36.388]  Because we've got the delegates, and the superdelegates don't speak for the voters.
[01:35:37.710 --> 01:35:39.211]  They've never implemented this before.
[01:35:39.571 --> 01:35:43.154]  They're doing this because they've got candidates they don't want, like Trump and Sanders.
[01:35:43.435 --> 01:35:45.216]  I've got problems with both Sanders and Trump.
[01:35:45.517 --> 01:35:46.758]  A lot less with Trump, obviously.
[01:35:47.058 --> 01:35:50.601]  I admire his courage, agree with a lot of what he has to say, but he says some stuff I don't agree with.
[01:35:50.621 --> 01:35:53.564]  The way he put the Mexican judge thing.
[01:35:53.784 --> 01:35:58.128]  I got it, in the full context, but it was just giving him a weapon.
[01:36:01.158 --> 01:36:03.380]  But maybe that's his plan, knowing it would all come out later.
[01:36:03.720 --> 01:36:04.761]  It's just a complex issue.
[01:36:04.781 --> 01:36:10.485]  Now, before I go to Rob Dew and Josh Owens there, a lot has happened since they were on with us yesterday.
[01:36:10.525 --> 01:36:11.906]  We've gotten the Bilderberg list.
[01:36:11.947 --> 01:36:12.787]  We've gotten the intel.
[01:36:12.827 --> 01:36:14.408]  It's up on DrudgeReport.com.
[01:36:15.389 --> 01:36:19.032]  It's the Bilderberg group that is the most important private organizational meeting.
[01:36:19.212 --> 01:36:20.033]  It's a Spectre meeting.
[01:36:21.437 --> 01:36:23.138]  And George Soros basically runs the show now.
[01:36:23.178 --> 01:36:24.778]  It used to be David Rockefeller, but he's faded off.
[01:36:24.798 --> 01:36:25.579]  He's not there this year.
[01:36:26.039 --> 01:36:29.320]  With a bunch of British and Dutch royalty and Saudis and you name it.
[01:36:30.301 --> 01:36:32.241]  Chinese have been kicked out of him for about four years.
[01:36:32.922 --> 01:36:34.142]  Showing that big split is real.
[01:36:36.263 --> 01:36:40.445]  And they are outside the hotel where the Bilderberg Group is going to be meeting this year.
[01:36:40.645 --> 01:36:45.186]  They've been able to get inside and get footage, but they always try to push people out, so we're going to be talking to them in a moment.
[01:36:46.467 --> 01:36:48.728]  But before we go to Dresden, Germany,
[01:36:51.584 --> 01:36:56.328]  Tim Kennedy was number two middle heavyweight, narrowly lost.
[01:36:57.009 --> 01:37:02.694]  Hasn't fought in a year or two because he doesn't like some of the UFC deals, where they don't even let you have sponsorship now.
[01:37:02.955 --> 01:37:04.076]  Can't have names on your trunks.
[01:37:04.396 --> 01:37:05.637]  Can't even pay yourself, basically.
[01:37:05.657 --> 01:37:06.238]  It's a joke.
[01:37:07.539 --> 01:37:12.504]  I mean, I thought that boxing, you know, had some heads.
[01:37:12.944 --> 01:37:13.645]  I know Dana White.
[01:37:13.705 --> 01:37:14.145]  I've met him.
[01:37:14.185 --> 01:37:15.086]  I'm friends with Joe Rogan.
[01:37:15.126 --> 01:37:16.347]  I've been out to fights in Vegas.
[01:37:19.178 --> 01:37:26.484]  But at the same time, I'm not really a big UFC fan because I'm not into sports and seeing guys beat the hell out of each other, I admire them.
[01:37:26.584 --> 01:37:28.025]  It's interesting.
[01:37:28.045 --> 01:37:29.266]  I'm all for contact sports.
[01:37:29.326 --> 01:37:33.489]  It's just that I'm so into the Second Amendment and other political issues, I don't have time to focus on it.
