[00:00:02.040 --> 00:00:03.181]  All right, folks, we're live.
[01:30:26.801 --> 01:30:37.527]  Health officials said 23 countries are affected by mosquitoes that are spreading the virus locally, while some people are transporting the virus after traveling to affected countries.
[01:30:37.527 --> 01:30:38.968]  The CDC said the U.S.
[01:30:38.968 --> 01:30:42.289]  has 31 confirmed cases in 11 states and D.C.
[01:30:43.670 --> 01:30:45.331]  There is no cure for Zika.
[01:30:45.331 --> 01:30:52.356]  For now, officials urge wearing mosquito repellent and absolutely leave no standing water on your property.
[01:30:52.356 --> 01:30:55.558]  Stay tuned to InfoWars.com for more updates.
[01:30:55.558 --> 01:30:57.380]  Leanne McAdoo for InfoWars.com
[01:30:58.624 --> 01:31:02.126]  Infowarslife.com, oil of oregano formulation.
[01:31:02.126 --> 01:31:07.708]  We have now procured the most high quality and potent forms of oregano oil on the market.
[01:31:07.708 --> 01:31:16.071]  A highly advanced nutraceutical form of this key herb that has been traditionally used by civilizations for thousands of years to promote health.
[01:31:16.071 --> 01:31:21.714]  Sourced from top leading manufacturers to ensure a concentrated level of bioactive ingredients.
[01:31:22.194 --> 01:31:31.296]  Extracted directly from the wild herb and sealed in easy-to-use capsules, you will no longer need to endure the burning of liquid oregano on the tongue.
[01:31:31.296 --> 01:31:37.517]  Used since before the days of the Roman Empire to support the body's natural systems and enhance overall health.
[01:31:37.517 --> 01:31:44.259]  Wild-crafted from the Mediterranean oregano species that experts agree is one of the most powerful and most challenging to acquire.
[01:31:44.259 --> 01:31:49.320]  This winter season, it's more important than ever to secure this true form of oil of oregano.
[01:31:49.640 --> 01:31:52.107]  Now available at Infowarslife.com.
[01:31:52.107 --> 01:31:54.153]  That's Infowarslife.com or call 888-253-3139.
[01:31:58.271 --> 01:31:59.091]  Hey, everyone!
[01:31:59.091 --> 01:32:01.392]  Pharmacist Ben Fuchs here, host of The Bright Side.
[01:32:01.392 --> 01:32:05.234]  And as many of you know, I'm on a mission to help Americans get and stay healthy.
[01:32:05.234 --> 01:32:07.315]  You've all heard the shocking statistics.
[01:32:07.315 --> 01:32:17.579]  Despite spending trillions of dollars in health care, nearly $10,000 per man, woman, and child in this country, obesity, diabetes, cancer, heart disease, and autoimmune illnesses are rampant.
[01:32:17.579 --> 01:32:23.562]  One out of three or four people is dealing with some kind of health challenge, and everyone knows at least one person with a degenerative disease.
[01:32:24.042 --> 01:32:40.878]  If you're dealing with a health challenge, or if you're healthy and want to maintain your vigor and longevity, and you're looking for a convenient, easy way to incorporate nutritional raw materials into your day-to-day lives to guarantee that your body is getting the fundamental nutrients, the 90 essential vitamins, minerals, fats, and amino acids it needs to do its healing work,
[01:32:41.318 --> 01:32:44.780]  You need to check out Infowarsteam.com.
[01:32:44.780 --> 01:32:46.762]  Give your body the gift of good nutrition.
[01:32:46.762 --> 01:32:49.203]  Head over to Infowarsteam.com.
[01:32:49.203 --> 01:32:51.044]  Your body will be very grateful.
[01:32:51.044 --> 01:32:54.086]  On the web at Infowarsteam.com.
[01:32:54.086 --> 01:33:03.632]  That's Infowarsteam.com.
[01:33:03.632 --> 01:33:07.415]  Seven miles out from the standoff in Oregon, the road is closed.
[01:33:08.442 --> 01:33:18.409]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones on the GCN Radio Network.
[01:33:18.409 --> 01:33:23.752]  David Knight, Joe Biggs, and Travis Knight.
[01:33:23.752 --> 01:33:28.536]  David Knight's son who works here, does a great job, he's a cameraman, are out there in Oregon.
[01:33:28.536 --> 01:33:33.099]  We're going to be going to them here in just a moment.
[01:33:33.099 --> 01:33:36.141]  Where the globalists controlling the federal government
[01:33:36.877 --> 01:33:39.940]  I've had a major propaganda victory against the Liberty Movement.
[01:33:39.940 --> 01:33:43.462]  Doesn't matter for every victory they have, we have 10 bigger victories.
[01:33:43.462 --> 01:33:45.704]  I can give you scores of victories after they leave us.
[01:33:45.704 --> 01:33:50.408]  I'm going to do that, but we need to learn from our mistakes.
[01:33:50.408 --> 01:33:54.091]  And I have been through this so many times, watching people get set up and manipulated.
[01:33:54.091 --> 01:33:56.233]  It makes me want to throw up.
[01:33:56.233 --> 01:34:03.859]  And the exact aftermath of what we predicted and the players and what was going on is now being confirmed.
[01:34:03.859 --> 01:34:04.980]  I just can't believe it.
[01:34:04.980 --> 01:34:06.401]  I don't know what it is about
[01:34:07.685 --> 01:34:10.686]  Rural patriot communities listen, they love the show.
[01:34:10.686 --> 01:34:23.549]  So many times we put their stories out in the spotlight, and then in come the federal operators, and they end up, they won't talk to us anymore, and then I watch them set up and thrown in jail.
[01:34:23.549 --> 01:34:25.690]  And it's just very, very sad.
[01:34:28.339 --> 01:34:29.540]  And they convert him in seconds.
[01:34:29.540 --> 01:34:31.941]  They come to him and say, Alex Jones saying bad things about you.
[01:34:31.941 --> 01:34:33.062]  They never ask to see it.
[01:34:33.062 --> 01:34:34.183]  Never ask for the proof.
[01:34:34.183 --> 01:34:34.883]  They just go, he is.
[01:34:34.883 --> 01:34:36.284]  And there's that moment of brotherhood.
[01:34:36.284 --> 01:34:36.945]  You care about me?
[01:34:36.945 --> 01:34:37.785]  Yes.
[01:34:37.785 --> 01:34:41.548]  Now I'm the commander and I'm going to protect you now.
[01:34:41.548 --> 01:34:42.288]  You're with me now.
[01:34:42.288 --> 01:34:43.529]  You do what I say.
[01:34:43.529 --> 01:34:44.590]  I'm your bodyguard.
[01:34:44.590 --> 01:34:45.770]  And then it's all over.
[01:34:45.770 --> 01:34:48.993]  They are under the wings of the system.
[01:34:48.993 --> 01:34:51.634]  And of course, under the wings of the system, they eat you alive.
[01:34:51.634 --> 01:34:52.975]  But there's still people inside.
[01:34:52.975 --> 01:34:54.636]  The bunnies have said, let him out.
[01:34:54.636 --> 01:34:55.357]  You know, come out.
[01:34:56.568 --> 01:34:57.770]  I think the Bundys are good people.
[01:34:57.770 --> 01:34:58.731]  They've been manipulated.
[01:34:58.731 --> 01:34:59.592]  It's very, very sad.
[01:34:59.592 --> 01:35:04.677]  And we don't want this to turn into any more of a victory for the globalists.
[01:35:04.677 --> 01:35:12.046]  To take that huge victory we had with the Bundys before, where the feds were in the wrong and had to turn back, and now, boy, you've seen how their psyops work.
[01:35:14.264 --> 01:35:32.998]  And I've had Marine Corps officers on about it yesterday, and top CIA field operatives on, and CIA commanders on, and former FBI agents on, and all of them telling you, it's all a stage, it's a setup, get out of there.
[01:35:32.998 --> 01:35:35.960]  And people don't listen to them.
[01:35:35.960 --> 01:35:39.163]  You don't listen to people that have seen it, covered it, and been through it.
[01:35:42.483 --> 01:35:49.550]  They've got a psychological handbook with sociology on how to manipulate you.
[01:35:49.550 --> 01:35:53.355]  And they think it's funny to chump the American people.
[01:35:53.355 --> 01:35:58.660]  Now don't worry, all those feds and the rest of them are going to have the globals take their pension funds, you name it, they have no future.
[01:35:58.660 --> 01:36:00.682]  They'll be turned on, they always are.
[01:36:00.682 --> 01:36:03.906]  They think they're running psyops on us, their bosses are running psyops on them.
[01:36:05.370 --> 01:36:08.731]  So we're going to go to our reporters here in just a moment.
[01:36:08.731 --> 01:36:13.153]  Before I do that, then Ron Paul's coming up on huge developments.
[01:36:13.153 --> 01:36:19.475]  Before we go any further though, ladies and gentlemen, we're offering the best special ever on DNA Force.
[01:36:19.475 --> 01:36:21.256]  In fact, where did my bottle of DNA Force go?
[01:36:22.489 --> 01:36:25.351]  Here it is, I had a bottle of it in here yesterday as they put the top on it for me.
[01:36:25.351 --> 01:36:27.553]  I take one of these at lunch and one of these at dinner.
[01:36:27.553 --> 01:36:41.783]  They say the best time to take it is really at dinner so you digest it all night on more of an empty stomach so none of this key deliciousness ends up getting bound with other food and not getting fully absorbed because it is a true high-quality nutraceutical.
[01:36:41.783 --> 01:36:46.766]  Don't want to be wasteful with these babies.
[01:36:46.766 --> 01:36:47.407]  And when you
[01:36:49.420 --> 01:36:51.621]  Research it at InfoWarsLife.com.
[01:36:51.621 --> 01:36:54.143]  You'll find out why it's so special.
[01:36:54.143 --> 01:37:00.286]  For a limited time, get our flagship nutraceutical, DNA Force, for 25% off at InfoWarsLife.com.
[01:37:00.286 --> 01:37:01.207]  All supplies last.
[01:37:01.207 --> 01:37:04.769]  And by the way, they will sell out at current sales rates by Saturday morning.
[01:37:05.720 --> 01:37:08.903]  And so we won't be able to offer that special obviously anymore very soon.
[01:37:08.903 --> 01:37:12.246]  This is our most advanced product, the InfoWars Lifeline.
[01:37:12.246 --> 01:37:15.869]  We did extensive research to design this formulation for maximum impact.
[01:37:15.869 --> 01:37:18.792]  It includes patented ingredients that are lab quality.
[01:37:18.792 --> 01:37:20.333]  Those ingredients are difficult to source.
[01:37:20.333 --> 01:37:21.434]  True!
[01:37:21.434 --> 01:37:23.156]  Bio PQQ, not synthetic.
[01:37:24.500 --> 01:37:35.252]  The DNA Forest is loaded with the patented BioPQQ compound which is backed by 175 clinical studies by major respected research firms and facilities, universities, you name it.
[01:37:35.252 --> 01:37:36.934]  It's been all the rage for 20 years in Japan.
[01:37:36.934 --> 01:37:43.441]  And by the way folks, you can get it in our product for much less than other people sell it.
[01:37:43.441 --> 01:37:44.623]  We discount it mightily.
[01:37:46.474 --> 01:37:48.155]  And it's something you have to experience.
[01:37:48.155 --> 01:37:51.337]  This amazing compound is known to influence nerve growth and regeneration.
[01:37:51.337 --> 01:37:58.241]  It's known to support the powerhouse, the cell, the mitochondrial systems that are the source for energies in our body.
[01:37:58.241 --> 01:38:02.243]  And then it goes to the CoQ, DEN, the trans-reservatol, and all the rest of it.
[01:38:02.243 --> 01:38:04.485]  I'm not going to get into everything that's in it.
[01:38:04.485 --> 01:38:07.607]  Just one of the ingredients per batch cost us $30,000 or about $14,000 a kilo.
[01:38:07.607 --> 01:38:08.927]  And that's the bio PQQ directly from
[01:38:14.005 --> 01:38:15.546]  Misubishi USA.
[01:38:15.546 --> 01:38:18.408]  It's made right here in America and it is amazing.
[01:38:18.408 --> 01:38:22.830]  It's the equivalent of 300 pounds of blueberries per pill.
[01:38:22.830 --> 01:38:29.915]  The BioPQQ and it has the same effect as the amount of vitamin C and other cofactors in 300 pounds in studies of blueberries.
[01:38:29.915 --> 01:38:31.756]  That's all up at Infowarslife.com.
[01:38:31.756 --> 01:38:33.337]  Go read it for yourself.
[01:38:35.362 --> 01:38:37.143]  What a game changer!
[01:38:37.143 --> 01:38:48.029]  And comparable nutraceuticals, we're about to go to our reporters, comparable nutraceuticals sell for $300 to $600 in the United States and Europe.
[01:38:48.029 --> 01:38:51.131]  Really, stuff of this quality you don't get on store shelves.
[01:38:51.131 --> 01:38:56.134]  What you do is you go to medical doctors and then they'll have stuff that you get from a prescription from them.
[01:38:56.934 --> 01:39:01.217]  But it's not even really prescription, they just say that because people then think it has the value.
[01:39:01.217 --> 01:39:03.579]  Because it does cost a lot.
[01:39:03.579 --> 01:39:08.442]  And so they're trying to make a lot of this prescription because of how dramatic its effects are.
[01:39:08.442 --> 01:39:14.387]  So find out for yourself, InfoWarsLife.com or 888-253-3139.
[01:39:14.387 --> 01:39:19.290]  And finally, I almost forgot, we now have free shipping on all orders above $50.
[01:39:19.290 --> 01:39:21.252]  We got a bunch of other specials running as well, like
[01:39:21.993 --> 01:39:30.733]  Free shipping and 10% off on the water filtration system, shower filter, the new Max Pro, super fast flow, amazing, InfowarsStore.com.
