[00:00:09.994 --> 00:00:11.735]  Really important for us to remember our history.
[01:37:22.078 --> 01:37:27.182]  I'm going to get to these clips here in a moment and get into the coal mining story and then open the phones up and take some of your calls.
[01:37:27.222 --> 01:37:31.066]  You can also call in if you want to talk to Wayne Madsen with any 2016 questions.
[01:37:31.086 --> 01:37:32.587]  He's got a lot of breaking news coming up.
[01:37:33.808 --> 01:37:39.634]  But first, I kept saying we're extending it one day, one day in the last few days, and I just called him up and said, look,
[01:37:40.387 --> 01:37:42.407]  I'm going to stop arguing every day about extending the sale.
[01:37:43.148 --> 01:37:46.168]  Our major suppliers in Utah, super high quality, storable food.
[01:37:46.188 --> 01:37:52.810]  I said, I want to get the maximum I can push this contractually as a private labeler and what your factory can supply.
[01:37:52.870 --> 01:37:56.831]  They said, okay, at current sales rates, we can go until Sunday.
[01:37:58.971 --> 01:38:01.972]  And because our rule at My Patriot Supply is to get it out within a week.
[01:38:04.394 --> 01:38:05.775]  Because they're so fresh, such high quality.
[01:38:06.515 --> 01:38:11.779]  And we private label to be able to sometimes get around their already lowest prices to the very lowest prices in the industry.
[01:38:11.799 --> 01:38:17.843]  Because they got a lot of other distributors and suppliers and quite frankly a lot of folks don't like prices down there with, you know, 10% profit or whatever.
[01:38:17.863 --> 01:38:20.525]  They want 30, 40% or 50% and sell less.
[01:38:20.545 --> 01:38:21.586]  That's not how I work.
[01:38:21.986 --> 01:38:23.227]  I want the deal I'd want.
[01:38:23.247 --> 01:38:26.549]  I want a relationship.
[01:38:26.569 --> 01:38:27.910]  I want you to get quality food.
[01:38:27.970 --> 01:38:28.951]  I want you to enjoy it.
[01:38:28.971 --> 01:38:30.832]  I want you to know you got a good deal on it.
[01:38:31.994 --> 01:38:40.236]  And I hope you don't ever have to use it with talk of revolution and war and the economy and the bubbles and the elites running into bunkers and all the craziness.
[01:38:40.716 --> 01:38:45.598]  I hope that we're prepared, we're ready, and that we don't have to use the storable food.
[01:38:45.618 --> 01:38:47.318]  But it's not like insurance you get for fire.
[01:38:47.558 --> 01:38:48.999]  You never have a fire for 50 years.
[01:38:49.679 --> 01:38:50.979]  Or auto insurance for a decade.
[01:38:51.019 --> 01:38:51.719]  You don't have a wreck.
[01:38:51.900 --> 01:38:53.600]  You're like, well, at least I didn't ever have a wreck.
[01:38:53.640 --> 01:38:55.040]  Yeah, but you wasted all that money.
[01:38:55.581 --> 01:38:58.481]  With storable food, let's say things get better in five years.
[01:38:58.561 --> 01:39:00.182]  You eat it, tastes as good as the day you bought it.
[01:39:01.109 --> 01:39:01.931]  Super high quality.
[01:39:02.292 --> 01:39:04.016]  This is insurance you don't lose on.
[01:39:04.036 --> 01:39:09.187]  In fact, with inflation going up, you probably gain money in many different analyses.
[01:39:11.136 --> 01:39:12.657]  30 to 40 percent off, depending on the package.
[01:39:12.698 --> 01:39:15.620]  We have the full spectrum of MyPatriot and InfoWars Select.
[01:39:15.660 --> 01:39:17.401]  Exact same food, side by side.
[01:39:17.421 --> 01:39:23.126]  You can buy MyPatriot, their full selection, or you can buy it from InfoWars Select.
[01:39:23.166 --> 01:39:23.946]  It's the exact same food.
[01:39:24.347 --> 01:39:27.049]  InfoWarsLife.com is the nutraceuticals.
[01:39:27.589 --> 01:39:29.911]  InfoWarsSelect.com is the storable food.
[01:39:30.191 --> 01:39:32.633]  But you can find it all at InfoWarsStore.com.
[01:39:35.425 --> 01:39:56.673]  And because we have sold a lot of food the last few weeks, I am in a better position to really send a full crew to Bilderberg next month, to send a giant crew to Cleveland and to the DNC in Philadelphia, and to send a crew to Oregon this weekend to cover the anti-free speech social justice warriors, and to hire a couple more reporters, and to be able to
[01:39:57.648 --> 01:40:02.334]  Get some bonuses into these well-deserved reporters that, quite frankly, aren't paid that much.
[01:40:02.374 --> 01:40:04.557]  So, thank you for your support, folks.
[01:40:04.637 --> 01:40:08.541]  We are hardcore patriots that love freedom.
[01:40:09.603 --> 01:40:15.931]  And whether it's non-GMO heirloom seeds, or whether it's high-quality water filtration systems, or whether it's the super high-quality
[01:40:17.591 --> 01:40:22.453]  Nutraceuticals, they're all 10% off right now as part of this Preparedness Special.
[01:40:22.653 --> 01:40:25.714]  And I'm going to run that until next Wednesday, and that's the day that ends.
[01:40:26.074 --> 01:40:33.797]  But this Sunday it ends to get 30 to 40% off on the high-quality, storable foods at InFullWorksStore.com.
[01:40:33.817 --> 01:40:35.098]  We sold out of Supramel Vitality.
[01:40:35.118 --> 01:40:41.600]  It's just a bunch of known, cold-pressed, organic herbs that just get your body and your glands operating the way God intended them to.
[01:40:41.680 --> 01:40:42.881]  All I know is it's changed my life.
[01:40:43.201 --> 01:40:44.722]  I've lost weight, libido, stamina.
[01:40:44.762 --> 01:40:45.242]  It's incredible.
[01:40:46.732 --> 01:40:52.560]  Quite frankly, I said, look, I know that formulas similar to super male that are cold pressed are a hundred bucks and ours is basically half that.
[01:40:53.220 --> 01:41:00.930]  But I said, I said, I want to come out with a one that is organic, but dry herbs.
[01:41:01.231 --> 01:41:03.293]  So it's a bigger dose, but not as powerful.
[01:41:04.448 --> 01:41:06.290]  Kind of a poor man's Supermetal Vitality.
[01:41:06.310 --> 01:41:09.973]  And it's not a poor man's, but it's very inexpensive.
[01:41:09.993 --> 01:41:09.973]  $24.00, $26.00.
[01:41:10.313 --> 01:41:15.177]  Similar dry powder brands are $80.00 that you buy at major stores.
[01:41:15.717 --> 01:41:17.178]  And they're worth it, in my view.
[01:41:18.319 --> 01:41:20.101]  And a lot of folks argue with me in marketing.
[01:41:20.141 --> 01:41:22.963]  They go, listen, shelf or more, there's more perceived value.
[01:41:23.524 --> 01:41:25.645]  I will not play that game, ever!
[01:41:26.506 --> 01:41:28.568]  I need to be punched in the nose the day I do, okay?
[01:41:33.638 --> 01:41:38.923]  Anyways, the point is, I appreciate you, and I appreciate your support, and I want you to be blown away by Anthroplex.
[01:41:39.864 --> 01:41:44.449]  Now, be careful with it, because I've had some temper issues, I'll just be honest.
[01:41:45.851 --> 01:41:49.815]  And I already had them, so if you don't have a temper problem, it's not a game.
[01:41:49.835 --> 01:41:50.816]  In fact, consult your physician.
[01:41:51.036 --> 01:41:53.618]  This is all seen as FDA grass, recognized safe.
[01:41:54.239 --> 01:41:54.960]  That's the whole law.
[01:41:55.320 --> 01:41:56.862]  We don't sell anything that isn't seen as grass.
[01:41:59.189 --> 01:42:00.730]  That doesn't mean grass on the ground, folks.
[01:42:00.770 --> 01:42:01.230]  It's a law.
[01:42:02.151 --> 01:42:08.814]  But still, whether it's the liver cleanse or X2 or AnthroPlex, consult a physician because it may interact with something you're taking or whatever.
[01:42:09.054 --> 01:42:10.035]  This is powerful stuff.
[01:42:10.275 --> 01:42:12.156]  You may detox big time on a liver cleanse.
[01:42:12.456 --> 01:42:18.439]  You may detox big time on the X2 nascent iodine because you're already so deficient and your thyroid was already about to go over the edge.
[01:42:18.499 --> 01:42:20.500]  So, buyer beware.
[01:42:20.620 --> 01:42:22.661]  We're not selling sugar water.
[01:42:23.182 --> 01:42:24.302]  These aren't placebo.
[01:42:25.022 --> 01:42:26.183]  Easter bunny eggs, baby.
[01:42:26.963 --> 01:42:27.184]  Okay?
[01:42:28.120 --> 01:42:29.141]  Just get that and know it.
[01:42:29.781 --> 01:42:30.902]  Experience it for yourself.
[01:42:43.781 --> 01:42:44.682]  You feel like you're flying?
[01:42:44.702 --> 01:42:48.045]  About three weeks into this, I felt like crud for about a week.
[01:42:48.726 --> 01:42:53.330]  And Dr. Groot predicted that, but man, after that, it was just like, all the stuff came out of my skin.
[01:42:54.031 --> 01:42:54.952]  Other things happened.
[01:42:55.092 --> 01:42:56.253]  I mean, it was spectacular.
[01:42:56.933 --> 01:43:02.118]  Because it was an element I needed all along that wasn't available in the food chain, basically, for most people.
[01:43:02.138 --> 01:43:03.419]  I know I was deficient.
[01:43:03.439 --> 01:43:06.062]  Okay, I'm going to stop plugging right there.
[01:43:06.142 --> 01:43:07.703]  Infowarslife.com and forestwar.com.
[01:43:07.723 --> 01:43:08.624]  Thank you for your support.
[01:43:10.603 --> 01:43:14.424]  And support our affiliates, support our local sponsors, become a sponsor, that's what it's all about.
[01:43:16.005 --> 01:43:16.825]  And spread the word!
[01:43:16.845 --> 01:43:19.466]  Let's say you don't have two pennies to rub together, fine!
[01:43:19.886 --> 01:43:20.506]  You're incredible!
[01:43:21.387 --> 01:43:30.750]  You can take action and send people to InfoWars.com forward slash show to find the free video and audio feeds and droid and iPhone apps that are all free and the audio and video feeds.
[01:43:30.770 --> 01:43:35.751]  You can tell folks about InfoWars.com forward slash newsletter to get the videos and the articles sent right to them.
[01:43:36.091 --> 01:43:38.212]  You can tell people about the local station you're listening to.
[01:43:38.832 --> 01:43:41.894]  Get in the fight, get off the bench, realize history's happening.
[01:43:42.254 --> 01:43:43.855]  It's only going to get crazier here on out.
[01:43:43.895 --> 01:43:56.922]  Let me tell you, it's going to get so crazy that many people you know that wouldn't wake up and wouldn't get involved before, they're going to get involved because the veneer of civilization is peeling off like a heat shield on the space shuttle coming back into orbit.
[01:43:58.062 --> 01:43:59.363]  Coming back into the atmosphere.
[01:44:00.824 --> 01:44:04.586]  I'm going to stop right there.
[01:44:06.084 --> 01:44:08.425]  I want to get into the coal mine situation, but first let's cover this.
[01:44:09.646 --> 01:44:11.007]  The outrageousness!
[01:44:11.768 --> 01:44:12.888]  Here's the CNN article.
[01:44:12.908 --> 01:44:15.070]  There's video up on their site.
[01:44:15.110 --> 01:44:16.010]  I'm not going to play it here.
[01:44:16.611 --> 01:44:27.598]  And you've heard this from all the different parrots, the repeaters, or like a tree of monkeys, all the Republican establishment up there throwing you-know-what at us and telling us it's pumpkin pie.
[01:44:28.158 --> 01:44:32.641]  With Trump in, Bush will not participate, close quote, in a White House contest.
[01:44:34.511 --> 01:44:37.792]  As if that crazy man participates in anything.
[01:44:38.772 --> 01:44:39.532]  He was never even president.
[01:44:39.572 --> 01:44:41.213]  He was a puppet, chaining around the show.
[01:44:41.573 --> 01:44:44.434]  President George W. Bush, the fake Texan.
[01:44:45.514 --> 01:44:51.976]  I'm just sick of people coming down here and doing it in Texas's name, like Ted Cruz and, you know, George Bush and all these guys.
[01:44:52.016 --> 01:44:55.216]  I love folks from Connecticut, but go be criminals in Connecticut.
[01:44:55.957 --> 01:44:57.777]  President George W. Bush.
[01:44:58.317 --> 01:45:00.118]  LBJ was a Texan and was a criminal.
[01:45:00.358 --> 01:45:01.458]  We get the blame for that one.
[01:45:02.912 --> 01:45:06.373]  President Super Texan, he was the real deal, the criminal version, look out.
[01:45:07.274 --> 01:45:11.655]  President George W. Bush is staying out of presidential campaign politics.
[01:45:12.115 --> 01:45:19.018]  A spokesman said Wednesday, an announcement that came just after Donald Trump became the Republican Party's presumptive nominee.
[01:45:19.558 --> 01:45:25.600]  President Bush does not plan to participate or comment on the presidential campaign, Bush spokesman Freddie Ford told CNN.
