[00:00:00.089 --> 00:00:01.450]  We fight the Globals!
[01:09:46.274 --> 01:09:49.175]  And he would say, it's your listeners listening to you in the U.S.
[01:09:49.195 --> 01:09:51.396]  when I go knock on doors, that's why we're getting the U.K.
[01:09:51.416 --> 01:09:52.156]  Independence Party.
[01:09:52.236 --> 01:09:52.877]  It's InfoWars.
[01:09:53.097 --> 01:09:53.457]  Thank you.
[01:09:54.277 --> 01:09:55.118]  He said that on the show.
[01:09:55.578 --> 01:10:01.380]  It's not about us bragging, it's that the spirit of the InfoWars across the world, from Australia to the U.K.
[01:10:01.420 --> 01:10:05.642]  and Russia, from Nigeria to Mexico, is spreading.
[01:10:08.283 --> 01:10:10.804]  And it's the Renaissance idea of freedom.
[01:10:12.011 --> 01:10:14.472]  And that's why they're trying to shut us down.
[01:10:15.032 --> 01:10:18.153]  Because we're not perfect, but we're not out to get people.
[01:10:18.453 --> 01:10:19.794]  We believe in lower taxes.
[01:10:20.194 --> 01:10:22.335]  We know empowering the people is the answer.
[01:10:23.175 --> 01:10:24.555]  We don't want to break up families.
[01:10:25.636 --> 01:10:26.876]  We're not out to get people.
[01:10:29.737 --> 01:10:32.798]  And Donald Trump is not out to get you.
[01:10:33.598 --> 01:10:33.918]  That's all.
[01:10:35.239 --> 01:10:41.261]  He's not some weird asshole that wants you to abort your kid, or take a dangerous vaccine, or submit to their system.
[01:10:42.847 --> 01:10:46.070]  Now that said, it's 3 o'clock in the morning, I'm going to shut this down, I'm exhausted.
[01:10:46.771 --> 01:10:48.813]  But this historic occasion has happened, I should warn you.
[01:10:52.357 --> 01:10:55.160]  Donald Trump is more a figurehead of liberty than ever before.
[01:10:58.123 --> 01:11:00.886]  And he has the Holy Ghost protecting him.
[01:11:02.127 --> 01:11:05.531]  And no weapon formed against him will prosper, as long as we pray for him.
[01:11:11.738 --> 01:11:13.860]  And the evil of the globalists is ongoing.
[01:11:15.541 --> 01:11:17.223]  Donald Trump isn't some panacea.
[01:11:17.503 --> 01:11:19.365]  He's only a manifestation of our awakening.
[01:11:20.205 --> 01:11:22.588]  So listen to me, and I'm going to close this out.
[01:11:25.490 --> 01:11:28.633]  They are going to try to collapse the world economy.
[01:11:28.653 --> 01:11:30.254]  They've already been propping it up for a while.
[01:11:30.615 --> 01:11:32.376]  They're going to blame it on Donald Trump.
[01:11:32.937 --> 01:11:33.857]  A global depression.
[01:11:34.398 --> 01:11:35.779]  They knew they couldn't stop the movement.
[01:11:36.460 --> 01:11:37.421]  So now that he's in,
[01:11:38.356 --> 01:11:42.137]  They're going to implode the economy and blame him when they're the ones who created the derivatives.
[01:11:42.978 --> 01:11:45.499]  When they're the ones who created the end of Glass-Steagall.
[01:11:45.539 --> 01:11:47.780]  When Hillary Clinton and Larry Summers did it all.
[01:11:48.240 --> 01:11:49.240]  They're going to blame Donald Trump.
[01:11:52.361 --> 01:11:53.021]  How do I know that?
[01:11:53.242 --> 01:11:54.122]  They threatened the UK.
[01:11:54.142 --> 01:11:57.103]  They said, you try to leave this unelected thing, we'll implode your economy.
[01:11:57.283 --> 01:11:58.203]  We'll take your jobs away.
[01:11:58.223 --> 01:11:59.784]  Just like they did in Iceland or Greece.
[01:12:00.264 --> 01:12:01.645]  Some countries fold, some fight back.
[01:12:02.205 --> 01:12:03.065]  We know their plan.
[01:12:03.505 --> 01:12:05.966]  If you're just conscious and want to know the truth, it's all there.
[01:12:06.827 --> 01:12:07.527]  It's not my opinion.
[01:12:09.491 --> 01:12:10.592]  I want self-determination.
[01:12:10.612 --> 01:12:11.633]  I won't be held hostage.
[01:12:14.395 --> 01:12:25.143]  So, this isn't like buying a lottery ticket, where you elect Donald Trump and beat the establishment and then expect the whole gravy train to continue on.
[01:12:26.024 --> 01:12:27.325]  Who wants this fake gravy train?
[01:12:28.766 --> 01:12:31.308]  We need to get back to what makes us human, what makes us real.
[01:12:31.849 --> 01:12:34.791]  And if we're getting ahead of the expense of some third world people, we shouldn't do it.
[01:12:36.572 --> 01:12:38.714]  If we're getting ahead of the expense of our kids, we shouldn't do it.
[01:12:40.913 --> 01:12:48.035]  Donald Trump, for all his gold-plated planes and everything he does, his sin is that he doesn't have to get you.
[01:12:49.776 --> 01:12:55.578]  I saw the enemy truly against Donald Trump, spiritually hating him, so I backed him.
[01:12:58.298 --> 01:13:02.740]  And I've interviewed him on air, I've talked to Donald Trump, but I've talked to other people.
[01:13:02.840 --> 01:13:03.980]  I've talked to other presidents.
[01:13:05.001 --> 01:13:07.581]  Governor Bush tried to get me to work with him.
[01:13:07.641 --> 01:13:09.202]  I didn't do it because he wasn't a good man.
[01:13:11.618 --> 01:13:17.200]  Trump, my spirit tells me, needs to be supported.
[01:13:19.120 --> 01:13:24.622]  And he can falter, he can waver, but all of us are prodigal sons.
[01:13:27.903 --> 01:13:30.104]  And I can tell you, if you want freedom, it's not free.
[01:13:31.344 --> 01:13:32.425]  The storm is coming now.
[01:13:33.285 --> 01:13:39.627]  This victory is part of the destiny of the Republic.
[01:13:42.563 --> 01:13:57.636]  This country is the vision of incredibly pure people who wanted to build up society and create a launch pad for the technology we now enjoy.
[01:13:57.656 --> 01:14:08.946]  And they believe we would be pure and appreciate this technology in their incredible crystal visions and not a bunch of lazy assholes.
[01:14:11.363 --> 01:14:13.844]  So let's make those pilgrims right.
[01:14:15.665 --> 01:14:19.507]  And let's build what they envisioned, because we're their children.
[01:14:21.007 --> 01:14:27.350]  And let's never look down on people that aren't as smart as us, and are weak, and say, use them as animals, they're dumb.
[01:14:28.191 --> 01:14:31.392]  Because the minute we stoop down to do that, we become cannibals.
[01:14:32.353 --> 01:14:33.173]  We lose our humanity.
[01:14:36.604 --> 01:14:40.106]  It's not some New Age term, because they use this term, but it's God.
[01:14:40.146 --> 01:14:46.809]  It's Christ energy is dumping into this planet right now.
[01:14:48.009 --> 01:14:56.994]  We're being bathed in the ambionic fluid of the birth of something magic.
[01:14:59.014 --> 01:15:04.217]  But all of us, individually, have to collectively decide
[01:15:05.762 --> 01:15:08.564]  We want to give birth to what God talked about in the Bible.
[01:15:09.284 --> 01:15:11.206]  The eye has not seen, the ear has not heard.
[01:15:11.226 --> 01:15:16.349]  We have to decide we care.
[01:15:18.310 --> 01:15:19.371]  And we can do anything.
[01:15:20.732 --> 01:15:21.332]  Anything we want.
[01:15:23.613 --> 01:15:24.874]  But we can't hurt the innocent.
[01:15:27.096 --> 01:15:28.316]  Alright, I'm done talking.
[01:15:28.356 --> 01:15:28.937]  I'm exhausted.
[01:15:28.997 --> 01:15:29.757]  It's 2.43.
[01:15:30.538 --> 01:15:33.080]  I want to thank you, Josh.
[01:15:33.100 --> 01:15:35.201]  I want to thank this whole crew, the viewers and listeners.
[01:15:38.815 --> 01:15:40.477]  And I may not have all the answers.
[01:15:44.120 --> 01:15:49.726]  But thank God I'm not one of these people like Lady Gaga and John Podesta and all the stuff they're doing.
[01:15:49.746 --> 01:15:56.412]  Can you imagine being so fallen that you think corrupting children gives you power?
[01:15:57.833 --> 01:16:00.876]  You're like burning your own hardware up, your own circuitry.
[01:16:00.896 --> 01:16:02.798]  You think, oh, I'm dying spiritually.
[01:16:02.918 --> 01:16:03.639]  Oh, I've got power.
[01:16:09.261 --> 01:16:14.485]  But it's our weakness and subservience to them that let them think they were God.
[01:16:16.326 --> 01:16:25.753]  And I realize it's those of us that have the spark of creativity and intellect that give in to these people that are their enablers.
[01:16:27.435 --> 01:16:33.639]  And the fact that we won't take control and rule and build is our fault.
[01:16:34.000 --> 01:16:36.802]  We are the real people that did all this.
[01:16:38.513 --> 01:16:44.337]  By creating a vacuum and putting these demons in control, we ceded control.
[01:16:44.757 --> 01:16:46.098]  We committed the crimes.
[01:16:46.759 --> 01:16:47.839]  I committed the crimes.
[01:16:48.880 --> 01:16:50.962]  And I will no longer commit those crimes.
[01:16:53.283 --> 01:16:57.506]  It's time to take charge of this third dimension and beyond.
[01:16:59.688 --> 01:17:04.231]  Donald Trump is only a childlike, as we all are, manifestation of this.
[01:17:06.837 --> 01:17:10.339]  We have the keys to the universe because God gave them to us.
[01:17:11.380 --> 01:17:13.121]  God, who has dreams for us.
[01:17:13.541 --> 01:17:14.501]  God, who loves us.
[01:17:15.222 --> 01:17:17.243]  God, who gave us knowledge of good and evil.
[01:17:18.324 --> 01:17:23.607]  But we must thank God, and then take those keys in our hands, and have the will to open those doors.
[01:17:26.728 --> 01:17:34.133]  The big challenge now comes, because the promise to this country, in Providence, was of Iulia Cherdes,
[01:17:35.492 --> 01:17:36.973]  You'll ask God, you'll get it.
[01:17:38.874 --> 01:17:44.939]  But if we now don't deliver, you don't ask God for providence here to not deliver.
[01:17:46.000 --> 01:17:47.481]  Now we are bound forever.
[01:17:48.101 --> 01:17:55.346]  And if we don't deliver this plan and free humanity, we will be bound to the ninth circle of hell.
[01:17:57.588 --> 01:18:01.611]  I'm bound to this truth and I will never stop delivering.
[01:18:03.376 --> 01:18:08.920]  It's time for you to transcend Hollywood and all these other weak people and submit yourself to God.
[01:18:09.361 --> 01:18:11.262]  You won't find God in these schools.
[01:18:11.662 --> 01:18:13.283]  You won't find God in these churches.
[01:18:13.864 --> 01:18:14.965]  They're all there to deflect.
[01:18:15.805 --> 01:18:18.768]  You're going to find God in your heart.
[01:18:20.089 --> 01:18:20.609]  I've said it.
[01:18:21.450 --> 01:18:22.370]  I've already run my course.
[01:18:22.390 --> 01:18:25.993]  I already know my entire life purpose has been completed.
[01:18:26.353 --> 01:18:27.154]  I will continue on.
[01:18:27.734 --> 01:18:31.117]  But now, I realize I've won.
[01:18:35.390 --> 01:18:38.491]  And that was Alex Jones at 240 last night.
[01:18:40.912 --> 01:18:42.332]  I didn't think he was going to celebrate.
[01:18:42.372 --> 01:18:44.213]  He was serious the whole time.
[01:18:44.273 --> 01:18:50.655]  It looked like, you know, Trump still had it and Trump was going to win and we were just waiting for either Wisconsin or Pennsylvania to break.
[01:18:51.735 --> 01:18:59.158]  And Alex was still on task, on task.
[01:19:00.126 --> 01:19:01.547]  And I didn't even want to believe it.
[01:19:02.067 --> 01:19:04.789]  I was not going to celebrate until I saw it.
[01:19:04.809 --> 01:19:10.073]  Around the world, here's Marine Le Pen.
[01:19:11.234 --> 01:19:13.256]  Their world is crumbling, ours is building.
[01:19:13.736 --> 01:19:20.801]  French far right, including national front leader Marine Le Pen, declared Trump election a victory for populist politics.
[01:19:22.122 --> 01:19:22.862]  They're in France.
[01:19:24.103 --> 01:19:25.965]  They've seen what happened in the Brexit as well.
[01:19:28.843 --> 01:19:31.744]  Speaking of the Brexit, we now have a president who likes our country.
[01:19:31.804 --> 01:19:39.087]  Nigel Farage gloats over Donald Trump's victory as he flies to America today in a bid to be Donald's ambassador to the EU.
[01:19:42.148 --> 01:19:45.550]  He says he'd do the job of a Brussels ambassador very well.
[01:19:47.951 --> 01:19:52.292]  And he tells the Agenda Show he's booked flights for Wednesday morning, so he's flying here.
[01:19:52.332 --> 01:19:53.633]  Nigel Farage is coming back.
[01:19:55.333 --> 01:19:56.633]  Into the United States.
[01:19:56.693 --> 01:20:01.275]  We got to meet him in person in, uh, in Cleveland.
[01:20:03.936 --> 01:20:08.317]  And he's, you know, he's just a guy who wanted freedom.
[01:20:11.398 --> 01:20:13.339]  Gary, I've left you holding there long enough.
[01:20:13.359 --> 01:20:21.002]  You're my last caller that I'm going to take, and I'm sure the next host who comes out, I believe it's Paul Joseph Watson, comes in at 10, about 40 minutes.
[01:20:21.742 --> 01:20:22.882]  He might take some more calls.
[01:20:23.242 --> 01:20:24.443]  I'm sure Owen went through the
[01:20:25.393 --> 01:20:26.274]  The ringer on calls.
[01:20:26.294 --> 01:20:27.334]  But Gary, go ahead.
[01:20:27.354 --> 01:20:35.279]  You want to talk about the NBC article, I guess, that had Russian cyber fears?
[01:20:35.699 --> 01:20:37.000]  Everybody was worried about the Russians.
[01:20:37.420 --> 01:20:39.561]  They're the only ones that can hack an election at this point.
[01:20:40.122 --> 01:20:41.102]  Go ahead, Gary.
[01:20:42.543 --> 01:20:43.384]  Hey, Rob.
[01:20:43.424 --> 01:20:45.105]  I appreciate you guys taking my call.
[01:20:45.265 --> 01:20:50.308]  And before I get into it, I just want to say y'all have my blessing to take weeks R&R after this is done.
