[00:00:00.029 --> 00:00:00.529]  Tip of the week.
[01:16:57.153 --> 01:17:05.059]  Iran's already been given free reign to develop nuclear weapons, and the Iranians are saying they've got 100,000 missiles pointed at Israel.
[01:17:05.620 --> 01:17:08.562]  No one's going to stand up under a Clinton administration for Israel.
[01:17:09.406 --> 01:17:22.693]  We're going to have deficits that are going to bankrupt average Americans, throw us into a global currency, with the TPP and this transatlantic agreement both being ratified in a lame duck session.
[01:17:22.713 --> 01:17:28.316]  I think they'll ratify TPP, and then they'll push the transatlantic under agreement.
[01:17:28.336 --> 01:17:32.839]  We'll be into a global world economy, which is the prelude to a global government.
[01:17:36.040 --> 01:17:36.240]  Wow!
[01:17:39.249 --> 01:17:43.691]  I kind of feel like we're sitting here, Dr. Corsi, just calmly presiding over the death of the Republic.
[01:17:43.951 --> 01:17:58.776]  There have been so many signposts, so many indicators of a political class and foreign interest being basically somewhat invincible because of the corruption at the top, but now it seems to be getting worse.
[01:17:58.816 --> 01:18:01.537]  I mean, is it accurate that it's getting worse, or do we just know more about it now?
[01:18:02.389 --> 01:18:03.790]  Oh, I think it's a combination.
[01:18:03.830 --> 01:18:04.831]  I mean, you've done a great deal.
[01:18:04.871 --> 01:18:17.402]  We've all worked to expose the corruption, to expose the far-left agenda for what it is, which is totalitarianism and an elimination of the Constitution, our free speech.
[01:18:17.422 --> 01:18:21.366]  We're going to have a Supreme Court that's going to be unimaginable under Hillary Clinton.
[01:18:22.286 --> 01:18:29.692]  You're going to find that, I think like in Europe, Americans are waking up and I think saying enough to this agenda.
[01:18:30.113 --> 01:18:31.574]  But this is a critical time.
[01:18:32.094 --> 01:18:39.520]  If Hillary Clinton manages to be president, then the Clinton Foundation is going to go into overdrive.
[01:18:39.640 --> 01:18:42.903]  Obama will have his own criminal foundation.
[01:18:43.564 --> 01:18:48.307]  Politicians in the United States will be in it for one reason, that is money, maybe money and power.
[01:18:49.028 --> 01:18:52.229]  You'll see the rich get richer, the global rich.
[01:18:52.269 --> 01:19:00.431]  They'll be the extremely well-off, and then everybody else who can barely not buy a house or, you know, live from paycheck to paycheck.
[01:19:01.151 --> 01:19:02.071]  And they won't care.
[01:19:02.091 --> 01:19:04.012]  The global elite won't care.
[01:19:04.032 --> 01:19:08.853]  There'll be lie after lie after lie, a double standard of prosecution.
[01:19:09.473 --> 01:19:12.814]  Conservatives will be defined as politically criminals.
[01:19:13.953 --> 01:19:24.780]  Well, the Clintons making millions, you know, ignoring laws with regards to classified information, running their all above the law entirely.
[01:19:24.800 --> 01:19:28.363]  So this is a classic totalitarian takeover.
[01:19:28.383 --> 01:19:35.307]  And if you just joined us, Dr. Jerome Corsi of WND.com always had three or four number one New York Times bestselling books.
[01:19:35.327 --> 01:19:39.410]  Two of his books have openly, they say, affected the outcome of US elections.
[01:19:39.450 --> 01:19:41.651]  So this guy is not playing games.
[01:19:41.692 --> 01:19:43.513]  Partners in Crime is the new book.
[01:19:44.313 --> 01:19:54.536]  And while he's talking, I'm being flooded with just backup articles and things that we've seen where they're openly on the Democratic Party platform.
[01:19:54.956 --> 01:19:58.517]  Daily Caller reported last week saying they want to arrest climate change deniers.
[01:19:59.377 --> 01:20:03.039]  They want to now start arresting people in Canada and the U.S.
[01:20:03.079 --> 01:20:04.999]  and Europe that say there's only two genders.
[01:20:05.539 --> 01:20:11.301]  I mean, this is true totalitarianism with a dumbed-down mass of minions behind it, and it looks like the left
[01:20:11.821 --> 01:20:21.329]  As a kind of fascist global movement with socialism as the political tool at the bottom, exempting themselves from it, are basically attempting a final takeover.
[01:20:22.570 --> 01:20:24.391]  So speak to that, sir, and then expand, though.
[01:20:24.431 --> 01:20:26.673]  How does the Brexit affect that, though?
[01:20:26.693 --> 01:20:29.796]  It seems like that's only getting them to accelerate their timetable.
[01:20:30.416 --> 01:20:52.706]  Well, in fact, I think what you see today with Hillary Clinton being announced by Comey that the FBI is not going to recommend prosecution, now you're going to see a run, you know, a mad run to the finish line where the globalists are going to try to take over power completely so that they can say the Brexit vote, well, we're just going to ignore it.
[01:20:52.766 --> 01:20:53.586]  We're going to slow it down.
[01:20:53.606 --> 01:20:54.487]  So they're going to try to show it up.
[01:20:55.162 --> 01:20:55.322]  That's
[01:21:10.290 --> 01:21:11.351]  To push the United States.
[01:21:11.391 --> 01:21:22.297]  And Hillary's plan, the Bilderberger globalist plan, is to do the Trans-Pacific Partnership, the Trans-Atlantic Investment Partnership.
[01:21:22.717 --> 01:21:28.420]  This puts us into a global economic one-world order that is the prelude
[01:21:28.880 --> 01:21:33.966]  What we're seeing now in the EU, where the EU is finally saying openly that they meant empire.
[01:21:34.046 --> 01:21:35.448]  They're going to have their own army.
[01:21:35.828 --> 01:21:38.752]  They're going to destroy the individual countries' legislatures.
[01:21:39.392 --> 01:21:41.655]  Italy is going to do what the EU wants it to do.
[01:21:41.675 --> 01:21:43.397]  That's always been the plan.
[01:21:44.358 --> 01:21:45.958]  It's been a lie from the very beginning.
[01:21:45.978 --> 01:21:46.238]  That's right.
[01:21:46.258 --> 01:21:50.899]  They now admit, oh, we're just going to dissolve your military and we'll have an EU military and you can't leave.
[01:21:51.219 --> 01:21:58.481]  Open declaration of Hitlerian invasion or communist style, you know, Soviet takeover.
[01:21:58.941 --> 01:22:03.902]  I mean, this is classic and they're doing it so nakedly, I guess because they're in power.
[01:22:04.382 --> 01:22:06.762]  And it's the same thing, that will to power historically.
[01:22:06.782 --> 01:22:07.422]  Let me ask you this.
[01:22:07.762 --> 01:22:08.823]  You mentioned the Bilderberg Group.
[01:22:08.863 --> 01:22:09.943]  They had the professor there.
[01:22:10.723 --> 01:22:10.863]  Let's
[01:22:32.227 --> 01:22:36.972]  And we are going to make it where the money you get every month is controlled by us.
[01:22:37.072 --> 01:22:40.275]  I mean, that is a nightmare scenario, but it's coming from them.
[01:22:41.056 --> 01:22:46.141]  You would write books, I would write articles exposing these statements to say, look, this is horrible.
[01:22:46.402 --> 01:22:50.706]  Instead, they've got the political calculus, Dr. Jerome Corsi, of just throwing it in our face.
[01:22:51.046 --> 01:22:52.067]  What's the thinking there?
[01:22:52.768 --> 01:22:55.690]  Well, I mean, again, I think they're going to run to the finish line naked.
[01:22:55.730 --> 01:22:56.391]  They don't care.
[01:22:56.411 --> 01:23:04.477]  The things that we were, you know, branded conspiracy theorists and ridiculed by the globalists, now they're publishing openly.
[01:23:04.537 --> 01:23:06.999]  The EU has declared it wants to be an empire.
[01:23:07.419 --> 01:23:08.720]  And look, this all fits together.
[01:23:08.740 --> 01:23:17.087]  The same day, you've got Hillary's not going to be prosecuted, the FBI caves in, admits she broke laws, but who cares?
[01:23:17.687 --> 01:23:21.350]  You've got the House going to vote, the House Democrats pushing again.
[01:23:21.850 --> 01:23:22.891]  For gun control.
[01:23:22.931 --> 01:23:25.172]  They're not going to give up pushing for the guns.
[01:23:25.872 --> 01:23:27.213]  Freedom by freedom here.
[01:23:27.633 --> 01:23:31.995]  So, you know, the elite don't have to face law the way we have to face law.
[01:23:32.035 --> 01:23:34.596]  Hillary, oh no, well, she did all these things.
[01:23:34.636 --> 01:23:36.717]  You know, she, oh, yes, she lied.
[01:23:36.777 --> 01:23:38.958]  Well, there were classified documents.
[01:23:38.978 --> 01:23:39.579]  She lied.
[01:23:39.639 --> 01:23:42.240]  She, you know, knew that documents were classified.
[01:23:42.260 --> 01:23:43.621]  They were marked, actually.
[01:23:43.981 --> 01:23:44.841]  But that's okay.
[01:23:44.881 --> 01:23:46.082]  Don't worry about it because
[01:23:46.602 --> 01:23:48.784]  You know, we can't prove intent.
[01:23:48.824 --> 01:23:50.586]  Well, of course you can prove intent.
[01:23:50.626 --> 01:23:54.389]  You proved intent on Petraeus for far lesser crimes.
[01:23:54.789 --> 01:23:59.073]  She went to great pains to set up this separate email system and she did it for a reason.
[01:23:59.133 --> 01:24:06.400]  The reason she did it was to evade all the government scrutiny, the FOIA requests, and to be able to pad her
[01:24:07.608 --> 01:24:18.733]  Personal piggy bank with the Clinton Foundation with all kinds of emails shared between the State Department and the Clinton Foundation where they could cash in on our various decisions.
[01:24:18.953 --> 01:24:21.074]  Selling State Department decisions.
[01:24:21.134 --> 01:24:23.815]  Of course, all this is just going to be excused.
[01:24:24.355 --> 01:24:31.202]  And we're going to be told, you know, by the officials that are there, that, oh, this is not a... we can't prosecute for this.
[01:24:31.742 --> 01:24:35.566]  You know, yes, all these crimes were committed, but we can't prosecute for this.
[01:24:35.626 --> 01:24:38.108]  Well, that's totalitarianism.
[01:24:38.449 --> 01:24:39.630]  That's the double standard.
[01:24:39.650 --> 01:24:40.491]  That's the elite.
[01:24:40.951 --> 01:24:42.993]  She's already been crowned part of the elite.
[01:24:43.374 --> 01:24:46.256]  She's already been declared president by the Bilderberger Group.
[01:24:46.597 --> 01:24:48.479]  Now they're just going to play the show out.
[01:24:49.019 --> 01:24:49.659]  The drama.
[01:24:50.119 --> 01:24:59.461]  You know, we have the Comey press conference, and now we've got the Clinton appearance with Obama at Air Force One, which by the way, who paid for?
[01:24:59.921 --> 01:25:00.621]  Taxpayers.
[01:25:01.221 --> 01:25:14.204]  So here we get this coming on, and now we've got Obama, you know, kissy-kissy with Hillary, and she's going to be promoted as innocent, just pursued by the right wing, while she pushes the global agenda.
[01:25:14.924 --> 01:25:15.985]  Trade agreements.
[01:25:17.667 --> 01:25:24.453]  People don't realize that John Kerry signed the UN's gun declaration while all this was going on.
[01:25:24.954 --> 01:25:27.296]  The trade ambassador, U.S.
[01:25:27.336 --> 01:25:32.661]  Trade Ambassador Froman, declared that they were going to pass TP in the lame duck session.
[01:25:34.079 --> 01:25:39.625]  Lame duck session when, you know, in between the election and the new Congress coming in.
[01:25:40.085 --> 01:25:41.767]  The elite don't give up.
[01:25:42.368 --> 01:25:46.172]  And this is a, the elite today think they've won a victory.
[01:25:46.192 --> 01:25:48.494]  Now, where'd the American people vote?
[01:25:48.934 --> 01:25:55.081]  And if the American people start listening and waking up and understanding that, you know, Donald Trump, imperfect though he may be,
[01:25:55.879 --> 01:26:00.063]  Is the only one who's going to call this without worrying about political correctness.
[01:26:00.103 --> 01:26:03.225]  That's just another standard so none of us tell the truth.
[01:26:03.526 --> 01:26:04.046]  I agree with you.
[01:26:04.066 --> 01:26:05.868]  And by the way, I think they've miscalculated.
[01:26:05.888 --> 01:26:08.610]  I think they're rushing the finish line out of concern.
[01:26:09.711 --> 01:26:18.698]  And I think the fact that this isn't a regular cycle where you've got some milquetoast Republican that's going to lay down his greatest attribute is he's brazen and brave.
[01:26:18.739 --> 01:26:19.980]  And you know him well.
[01:26:20.540 --> 01:26:21.241]  He's committed
[01:26:21.901 --> 01:26:22.882]  Uh, to what he's doing.
[01:26:22.942 --> 01:26:32.250]  And so, that's got to really worry Hillary when he gets into debates with her, uh, and, and, and, you know, starts bringing all this up because, you know, they're hoping to keep this from her constituents.
[01:26:32.290 --> 01:26:38.055]  But as more of this comes out, I expect that 20, 30 percent that doesn't vote, a big percentage to switch to Trump.
[01:26:38.635 --> 01:26:41.177]  Uh, so A, what do you think Trump should do?
[01:26:41.618 --> 01:26:43.119]  How do you think Hillary will strike back?
[01:26:44.520 --> 01:26:46.602]  And do you expect him to try to steal the election?
[01:26:47.346 --> 01:26:49.428]  They're going to try to steal the election, no question.
[01:26:49.448 --> 01:26:50.509]  They're going to do voter fraud.
[01:26:50.529 --> 01:26:51.730]  They're going to do everything they can.
[01:26:52.311 --> 01:26:54.313]  Trump is the real deal.
