[00:00:00.572 --> 00:00:04.636]  Dr. Fauci, as you are aware, it is a crime to lie to Congress.
[01:03:09.768 --> 01:03:12.911]  You know, I've written, you know, in private jets with Mike Liddell.
[01:03:12.931 --> 01:03:19.437]  I was with Herman Cain at the rally in Tulsa, where they say that he caught COVID and unfortunately, you know, lost his life.
[01:03:19.517 --> 01:03:20.878]  And I've seen the support
[01:03:21.198 --> 01:03:22.339]  That this president has.
[01:03:22.379 --> 01:03:27.643]  And I know that since, you know, Joe Biden has gotten in office, a lot of eyes have been open.
[01:03:27.683 --> 01:03:31.386]  But back to January 6th, I was there, Alex, and so were you.
[01:03:31.526 --> 01:03:36.830]  And I never heard the president tell anyone to storm the Capitol.
[01:03:37.250 --> 01:03:44.356]  I've heard the president speak very peacefully and calmly about what his expectations were and how we could support each other.
[01:03:44.696 --> 01:03:47.038]  But, you know, I have heard the Democrats tell people
[01:03:47.418 --> 01:03:50.442]  To burn things down, get in their faces, right?
[01:03:50.482 --> 01:03:53.146]  To make sure you attack them, to run up on them.
[01:03:53.486 --> 01:03:55.789]  We'll burn everything down if we don't get what we want.
[01:03:55.809 --> 01:03:58.813]  Whoever said protests are peaceful, that's Cuomo on CNN.
[01:03:58.853 --> 01:03:58.913]  Hey.
[01:04:00.700 --> 01:04:10.808]  Listen, they're playing us all for fools, and now we've got this big whole January 6th insurrection, but didn't a couple of the Democrats get locked up for storming the Capitol the other day?
[01:04:11.289 --> 01:04:17.474]  Absolutely, and now they're holding 500 people, most of which didn't even hit anybody, in solitary confinement.
[01:04:17.514 --> 01:04:18.314]  Since when does that happen?
[01:04:18.334 --> 01:04:19.856]  They let carjackers out in a week now.
[01:04:20.476 --> 01:04:20.877]  In a week.
[01:04:20.937 --> 01:04:21.877]  And let me tell you something.
[01:04:22.358 --> 01:04:25.281]  I was there on January 6th and I was on my way.
[01:04:25.321 --> 01:04:28.844]  I was riding in a golf cart and I had security take me up to the front.
[01:04:28.864 --> 01:04:31.386]  And when I got there, I had a really bad feeling.
[01:04:31.546 --> 01:04:39.914]  I saw some people there that I had never seen at any of the president's rallies before and I knew that they were all about trouble.
[01:04:40.014 --> 01:04:44.939]  I turned around and there's a video of me leaving just because I had a bad feeling.
[01:04:44.959 --> 01:04:45.920]  I had a horrible feeling too.
[01:04:46.460 --> 01:04:56.547]  It just the energy wasn't right and I mean I was at the president's RNC speech as well and also at the National Prayer Breakfast but even at the RNC speech that night where we were all attacked by Black Lives Matter.
[01:04:56.907 --> 01:05:01.570]  I was on the inside of the White House and it was such a peaceful atmosphere.
[01:05:01.650 --> 01:05:08.435]  The moment we walked outside of the gates it was almost as if you walked into hell right there.
[01:05:08.455 --> 01:05:10.296]  That was the time Rand Paul got attacked right?
[01:05:10.316 --> 01:05:13.958]  That was I was I was right there and I'm like these people are attacking Bob Paul.
[01:05:13.979 --> 01:05:15.019]  They were saying say her name.
[01:05:16.260 --> 01:05:18.562]  Well, it shows exactly how it's upside down world.
[01:05:35.615 --> 01:05:45.782]  Upside-down world and now we're out here not only fighting against this stereotype that somehow racism is all of a sudden on the rise But what's going on with our children?
[01:05:45.842 --> 01:05:49.804]  I think that racism is just a distraction For what's happening with man?
[01:05:49.844 --> 01:05:51.085]  I wish you would have got into Congress.
[01:05:51.105 --> 01:05:52.006]  I wish they wouldn't stole it
[01:05:52.895 --> 01:05:57.897]  How many other amazing folks are you like out there that people are suppressing of every race, color, and creed or humans?
[01:05:58.717 --> 01:06:17.265]  Listen, they're gonna make sure they suppress people like me because I'm also the one that was down at the Palace Bar in Miami and caught those kids on stage at one o'clock at night in a place where I was made to show my identification because adults were in there drinking, smoking, and having strip teases.
[01:06:17.685 --> 01:06:20.406]  And then here are seven and nine-year-old little girls
[01:06:20.746 --> 01:06:21.646]  Shoes too big.
[01:06:21.786 --> 01:06:29.850]  We're going to cover this next segment, but you're one of these people that is so engaged everywhere that I just, everything you keep showing me, I go, you're that lady, you're that lady, you're that lady?
[01:06:30.250 --> 01:06:30.790]  Wow!
[01:06:31.110 --> 01:06:33.091]  I keep saying, like, what else are you up to?
[01:06:34.231 --> 01:06:35.452]  We've got to fight this fight.
[01:06:35.712 --> 01:06:38.933]  Well, I know you told my producer, I said, what does she want to get into, mainly?
[01:06:39.333 --> 01:06:41.614]  She said, well, she's really pissed off about transgender stuff.
[01:06:41.914 --> 01:06:44.515]  So we'll spend the rest of the interview, if you want, on that when we come back.
[01:06:44.555 --> 01:06:45.976]  But getting back to the Capitol,
[01:06:46.596 --> 01:06:48.617]  Watching that, a million people showed up.
[01:06:49.078 --> 01:06:49.778]  It was peaceful.
[01:06:50.279 --> 01:06:52.400]  Maybe a few thousand got rowdy with the cops.
[01:06:52.480 --> 01:06:53.641]  Maybe 600 went in.
[01:06:53.901 --> 01:06:56.263]  They're calling this worse than Pearl Harbor, worse than 9-11.
[01:06:56.283 --> 01:06:56.903]  That is horrible.
[01:06:57.203 --> 01:06:59.525]  I think that is really horrible that they're doing that.
[01:06:59.545 --> 01:07:09.611]  And I mean, hey, after what we saw Black Lives Matter do, I've watched Black Lives Matter literally not only destroy the city of Atlanta, Minneapolis, I mean, all throughout the United States be violent.
[01:07:09.631 --> 01:07:10.852]  People have lost their lives.
[01:07:11.293 --> 01:07:13.234]  Millions and millions of property damaged.
[01:07:13.574 --> 01:07:15.295]  Downtown buildings spray painted.
[01:07:15.335 --> 01:07:16.196]  I mean, complete
[01:07:17.057 --> 01:07:17.817]  Destitute!
[01:07:17.877 --> 01:07:29.268]  I mean just the whole Wendy's in Atlanta Georgia that was burned down is just completely gone and riding by there and just thinking about some of the things that have happened and took in place and nobody has come back to rebuild and they're gonna say that January 6th was bad?
[01:07:29.288 --> 01:07:31.150]  I just want to say I really like your energy.
[01:07:31.370 --> 01:07:38.938]  Hey, all I know is the people that were at the Capitol on January 6th weren't the people coming into the black communities burning our communities down and that's all I got to say.
[01:07:41.208 --> 01:07:46.291]  If America was in a football game right now, globalist versus American, who really is winning right now?
[01:07:46.311 --> 01:07:48.853]  Because I see them stealing the election, doing all this.
[01:07:48.873 --> 01:07:53.095]  Yeah, they think they're in charge right now, but I see it backfiring big on them.
[01:07:53.155 --> 01:07:56.517]  It's definitely going to backfire big on them because people are getting fed up.
[01:07:56.557 --> 01:07:57.098]  And guess what?
[01:07:57.558 --> 01:07:58.719]  Americans are joining forces.
[01:07:58.739 --> 01:08:00.520]  They're saying, hey, wait a minute, this isn't right.
[01:08:01.360 --> 01:08:04.341]  Trump was, you know, the year 2020 was just that.
[01:08:04.401 --> 01:08:05.562]  It gave us 2020 vision.
[01:08:05.982 --> 01:08:12.784]  Trump opened our eyes and we're getting ready to fight this thing and we're not going out silent and we ain't going out like no punks either.
[01:08:13.985 --> 01:08:16.986]  Well, I think that's what really panicked the Democrats was the demographics.
[01:08:17.026 --> 01:08:22.728]  You had almost 40% of black males voting for Republicans under Trump, almost a tripling.
[01:08:22.768 --> 01:08:24.529]  You had double black females voting for him.
[01:08:24.849 --> 01:08:30.611]  If that continued and then Trump delivered on the economy and unifying, that'd be game over for the race pimp Democrats.
[01:08:30.831 --> 01:08:32.972]  Hey, listen, I was right there in Atlanta.
[01:08:33.052 --> 01:08:38.856]  Trump rolled out his $500 billion platinum plan that was specifically for the black community.
[01:08:39.216 --> 01:08:39.837]  What did we do?
[01:08:39.957 --> 01:08:46.261]  We watched Joe Biden on with Charlamagne Tha God saying, hey, if you don't vote for me, then you ain't black.
[01:08:46.421 --> 01:08:47.782]  And what did black people do?
[01:08:47.922 --> 01:08:51.925]  Have to prove the color of their skin like he didn't already know it.
[01:08:52.245 --> 01:08:56.488]  I think that we may be missing our own opportunities because we're misled.
[01:08:57.048 --> 01:08:58.288]  Well, it's so condescending.
[01:08:58.388 --> 01:09:04.730]  I mean, if somebody told me you're not a Christian, unless you do what I say, or you're not, you're not what I mean, it's like he owns somebody.
[01:09:05.090 --> 01:09:06.371]  Somebody told me you better do this.
[01:09:06.411 --> 01:09:07.111]  You're not who you are.
[01:09:07.131 --> 01:09:08.231]  I'd say shut the hell up.
[01:09:08.731 --> 01:09:09.851]  I mean, who the hell is this guy?
[01:09:10.172 --> 01:09:11.092]  It's so horrible.
[01:09:11.132 --> 01:09:11.852]  It's so bad.
[01:09:11.892 --> 01:09:13.472]  I mean, I can just see playing this day.
[01:09:13.532 --> 01:09:18.254]  I mean, one call, we could get a meeting with President Trump, get in, discuss issues going on in the black community.
[01:09:18.654 --> 01:09:22.835]  Right now, you still got Black Lives Matter, Ice Cube, all of these organizations saying, hey,
[01:09:23.295 --> 01:09:24.395]  Joe Biden, what about us?
[01:09:24.475 --> 01:09:27.496]  We see that there's been $50 million for the Asian community.
[01:09:27.536 --> 01:09:31.137]  We see that there's been a stop paid against the Asian Americans.
[01:09:31.457 --> 01:09:38.079]  But if you got in off of the people that say black lives matter, where is anything that you're doing for black life?
[01:09:38.219 --> 01:09:39.079]  That was like Obama.
[01:09:39.099 --> 01:09:41.120]  Remember, he wouldn't even go speak in a black group.
[01:09:41.460 --> 01:09:42.802]  Listen.
[01:09:42.962 --> 01:09:44.123]  Why did he run away from black people?
[01:09:44.143 --> 01:09:54.976]  Not only that, but took away the funding from our HBCUs and also banned funding for our faith-based HBCUs, which Donald Trump actually put back in place.
[01:09:54.996 --> 01:09:56.678]  So thank you, Mr. Trump, for that.
[01:09:57.319 --> 01:09:58.240]  But why did?
[01:09:58.260 --> 01:10:00.883]  Because he was even pointed out by the black community, everybody.
[01:10:01.684 --> 01:10:03.306]  Obama ran from the black community.
[01:10:03.766 --> 01:10:10.072]  Listen, Obama was all about transitioning our children, changing their sexes, and aborting our babies.
[01:10:10.132 --> 01:10:11.974]  And that's just the bondage to God's truth.
[01:10:12.034 --> 01:10:15.517]  I mean, we gotta stop voting just because of someone's skin color.
[01:10:15.537 --> 01:10:17.179]  That doesn't mean that that's what's best for you.
[01:10:17.999 --> 01:10:18.860]  And that goes back to what?
[01:10:18.900 --> 01:10:19.581]  Common sense?
[01:10:20.061 --> 01:10:20.722]  Common sense.
[01:10:22.143 --> 01:10:23.645]  Wow, I'm impressed.
[01:10:23.965 --> 01:10:24.506]  The new book,
[01:10:25.526 --> 01:10:33.689]  I know your other was the number one bestseller, but this is Caught in the Coup, Angela Stanton King, and you can find this in bookstores, on your website, where's the best place?
[01:10:33.709 --> 01:10:34.649]  Yep, you can find it everywhere.
