[00:00:19.286 --> 00:00:21.367]  It's Wednesday, August 25th.
[01:12:05.026 --> 01:12:05.627]  Inoculated.
[01:12:05.627 --> 01:12:06.367]  They're not stupid.
[01:12:06.367 --> 01:12:07.788]  They have really low rates.
[01:12:07.788 --> 01:12:11.972]  And so it's really only the Western world doing this and there's a desperate timeline.
[01:12:11.972 --> 01:12:22.400]  Australia under martial law until quote the public takes it and just a desperate is just take it just take it then they admit it doesn't even work and now there's all these new weird viruses.
[01:12:22.400 --> 01:12:27.844]  So flesh out what you were getting at there because clearly this is how you would soft kill America.
[01:12:27.844 --> 01:12:31.367]  This is how you would shut us down where people are so sick.
[01:12:31.367 --> 01:12:33.389]  We can't stand up when China takes Taiwan.
[01:12:35.134 --> 01:12:38.595]  You know, I think that's not an outrageous statement at all.
[01:12:38.595 --> 01:12:54.099]  I think that we are, let's say, I think we're in a national security nightmare here because our standing army, you know, is being vaccinated and we've seen, you know, before they shut down all the communication out of Australia, there were some squeaking guys in the Navy.
[01:12:54.099 --> 01:12:59.641]  They vaccinated all the Australian ships and there were some guys squeaking onto Facebook to their relatives and friends saying,
[01:13:00.061 --> 01:13:07.608]  That their readiness is down, that they've lost 25% of their crew to either illness or death, and then they kind of shut it all up.
[01:13:07.608 --> 01:13:11.551]  Now I can't verify that number, but certainly there's a problem.
[01:13:11.551 --> 01:13:18.718]  And we know already, just the myocarditis, there's a problem with our military readiness with this.
[01:13:19.619 --> 01:13:29.733]  What a genius to get China files like Gates and Fauci to literally get us to take this, that it debilitates us, we fall apart.
[01:13:29.733 --> 01:13:34.079]  I mean, it's a perfect plan to get your own enemy to take a bioweapon themselves.
[01:13:35.424 --> 01:13:41.367]  Well, and that's what I keep telling people, you know, if you think you're fighting a virus, then you're going to be a victim.
[01:13:41.367 --> 01:13:44.829]  If you think you're fighting a war, then you'll have a big picture here of what's going on.
[01:13:44.829 --> 01:13:58.035]  We're in a, you know, and I find myself as kind of funny as a physician now, instead of reading, you know, medical texts, I'm reading the Colonel Zhao and Wang textbook on unrestricted warfare, their book that they wrote in 1999.
[01:13:59.716 --> 01:14:03.420]  You know, it outlines the point about unrestricted warfare.
[01:14:03.420 --> 01:14:05.663]  You know, we think of warfare as having a battlefield.
[01:14:05.663 --> 01:14:06.764]  We can see the enemy.
[01:14:06.764 --> 01:14:08.146]  We know how many troops we have.
[01:14:08.146 --> 01:14:09.708]  We know what they have.
[01:14:09.708 --> 01:14:10.449]  Classical warfare.
[01:14:10.449 --> 01:14:11.410]  That's the old wars.
[01:14:11.410 --> 01:14:13.452]  All new wars are what we're seeing now.
[01:14:13.452 --> 01:14:14.734]  This is the first modern war.
[01:14:16.189 --> 01:14:17.450]  That's exactly right.
[01:14:17.450 --> 01:14:18.191]  Old news.
[01:14:18.191 --> 01:14:19.973]  So, we know about this.
[01:14:19.973 --> 01:14:24.338]  We actually have written texts on strategy of synthetic biology.
[01:14:24.338 --> 01:14:26.321]  And that's the world we're in right now.
[01:14:26.321 --> 01:14:27.843]  But beyond that, it's a psyop.
[01:14:27.843 --> 01:14:29.685]  We're in economic war, cyber war.
[01:14:29.685 --> 01:14:33.510]  The multi-dimensions are in your brain, in your child's crib.
[01:14:33.510 --> 01:14:34.771]  They're fighting this everywhere.
[01:14:34.771 --> 01:14:35.372]  There is no
[01:14:35.832 --> 01:14:36.392]  No, no, Doc.
[01:14:36.392 --> 01:14:38.393]  You've got the floor here.
[01:14:38.393 --> 01:14:40.734]  Like, we've got you for the next 40 minutes.
[01:14:40.734 --> 01:14:43.195]  If you want to go longer, this is exactly where I want to go.
[01:14:43.195 --> 01:14:46.936]  Because on other shows, you're with other people and it's hurried.
[01:14:46.936 --> 01:14:48.856]  Come back and you've got all the time.
[01:14:48.856 --> 01:14:50.477]  We're going to go to break and you can cover it all.
[01:14:50.477 --> 01:14:51.897]  We've got 30 seconds left.
[01:14:51.897 --> 01:14:52.118]  Keep going.
[01:15:06.189 --> 01:15:10.913]  Well, I'll talk about that, about was this ever an airborne viral outbreak?
[01:15:10.913 --> 01:15:22.901]  And I will just say that I can't prove what I'm going to say, but I'm going to say the numbers don't add up for a viral outbreak as much as they do as something that was a contact genetic pathogen and was spread.
[01:15:22.901 --> 01:15:35.371]  Well, that's what my sources, who are really smart folks, are saying is that the Pentagon knows that this was basically deployed and that it's not just one bioweapon, it's a cocktail of bioweapons.
[01:15:37.007 --> 01:15:39.008]  One of them being the vaccine.
[01:15:39.008 --> 01:15:39.989]  Absolutely.
[01:15:39.989 --> 01:15:41.529]  That lowers the immunity, too.
[01:15:41.529 --> 01:15:42.130]  All right.
[01:15:42.130 --> 01:15:43.010]  Doctors, stay there.
[01:15:43.010 --> 01:15:45.831]  Dr. Leigh Merritt, TheMedicalRebel.com.
[01:15:45.831 --> 01:15:48.072]  She can flesh all this out.
[01:15:48.072 --> 01:15:52.914]  The Chinese war paper, synthetic biological war, all of it straight ahead.
[01:15:52.914 --> 01:15:53.895]  Tell folks to tune in now.
[01:15:59.912 --> 01:16:01.994]  Your voice counts.
[01:16:01.994 --> 01:16:07.060]  When you share information, be it over the internet or in person, it changes the world.
[01:16:07.060 --> 01:16:09.643]  The globalists know their agenda is unpopular.
[01:16:09.643 --> 01:16:11.145]  They know you're angry.
[01:16:11.145 --> 01:16:15.950]  And now to get around big tech, it's more important than ever that we use every tool we've got.
[01:16:16.531 --> 01:16:27.278]  Well, ladies and gentlemen, if you sign up for our free news and show alerts, you can then take those alerts, those articles, and those live feeds, both the regular shows and special reports, and share them with everyone you know.
[01:16:27.278 --> 01:16:31.361]  Take action now by texting the word NEWS, N-E-W-S, to 833-470-0438.
[01:16:31.361 --> 01:16:32.642]  That's 833-470-0438 for InfoWars Emergency News Alerts.
[01:16:32.642 --> 01:16:35.224]  Or, text the word SHOW to 833-470-0438 and receive live show notifications.
[01:16:46.611 --> 01:16:51.094]  Take action now, rate the chain reaction, and tell others to share those texts.
[01:16:51.094 --> 01:16:52.015]  Get news alerts at 833-470-0438.
[01:16:57.554 --> 01:16:58.375]  Hey, everybody.
[01:16:58.375 --> 01:17:01.617]  Confused about staying healthy in a crazy COVID culture?
[01:17:01.617 --> 01:17:02.378]  Me too.
[01:17:02.378 --> 01:17:09.483]  But listen, after all the research, all the conflicting studies, after all the squabbling, there's one thing almost everyone agrees on.
[01:17:09.483 --> 01:17:13.886]  It's that immune system health can literally be the difference between life and death.
[01:17:13.886 --> 01:17:15.788]  You probably already believe that.
[01:17:15.788 --> 01:17:16.789]  I certainly do.
[01:17:16.789 --> 01:17:17.729]  So here's the thing.
[01:17:17.729 --> 01:17:26.056]  I wanted to get past the craziness and find out which plant-based substances actually have studies that demonstrate some efficacy in immune support.
[01:17:26.616 --> 01:17:32.041]  Now, you'll have to sign a waiver, but you can check out what I've discovered at StrongerDefense.com.
[01:17:32.041 --> 01:17:33.402]  No cures or treatments there.
[01:17:33.402 --> 01:17:42.630]  Instead, little known but shocking immune system research and a breakthrough immune support product based on that research called Immune 10X.
[01:17:42.630 --> 01:17:43.530]  And the best part?
[01:17:43.530 --> 01:17:50.256]  You can go to the Stronger Defense website right now and claim your own supply of Immune 10X without paying anything today.
[01:17:50.256 --> 01:17:51.097]  Crazy, right?
[01:17:51.097 --> 01:17:54.760]  Learn more about this unusual limited time offer at StrongerDefense.com
[01:17:55.060 --> 01:17:56.541]  That's StrongerDefense.com.
[01:18:19.580 --> 01:18:24.563]  BioSeptic Pro, a product specifically designed to establish a healthy septic system.
[01:18:24.563 --> 01:18:29.365]  BioSeptic Pro contains live microorganisms, not traditional enzymes like its competitors.
[01:18:29.365 --> 01:18:31.326]  This stuff lives in your septic system.
[01:18:31.326 --> 01:18:40.671]  It's really like probiotics for your septic tank and is at least 100 times more effective than similar microbial products due to its revolutionary patented delivery system.
[01:18:40.671 --> 01:18:45.133]  BioSeptic Pro contains no chemical ingredients and no genetically modified organisms.
[01:18:45.453 --> 01:18:49.597]  Visit TheBiopros.com today and protect your septic system.
[01:18:49.597 --> 01:18:51.618]  That's TheBiopros.com.
[01:18:51.618 --> 01:18:55.782]  This is for anaerobic septic tanks and the job it does is unparalleled.
[01:18:55.782 --> 01:18:56.622]  TheBiopros.com.
[01:19:02.429 --> 01:19:03.609]  Granny Do-Right.
[01:19:03.609 --> 01:19:04.429]  Granny Do-Right.
[01:19:04.429 --> 01:19:05.490]  Thanks for holding her on the air.
[01:19:05.490 --> 01:19:06.070]  Go ahead.
[01:19:06.070 --> 01:19:06.590]  Hey, Alex.
[01:19:06.590 --> 01:19:09.211]  First of all, let me say I love your products.
[01:19:09.211 --> 01:19:10.251]  I am a granny.
[01:19:10.251 --> 01:19:19.913]  And for all the senior citizens out there that may have spent a lifetime in the sun like me, I was loaded up with sunspots, or age spots, as they're lovingly called.
[01:19:19.913 --> 01:19:25.914]  But since taking Eurex 2 for the last couple of years, my skin is just really gorgeous, actually.
[01:19:25.914 --> 01:19:26.915]  People think I'm 55 years old.
[01:19:29.195 --> 01:19:36.919]  And I was already taking your other supplements, but I thought, you know, well, maybe that's what I need to do, because I just thought it was a hopeless situation.
[01:19:36.919 --> 01:19:45.684]  But when I started taking it, I mean, it doesn't happen immediately, but, you know, over a period of time, I started noticing, OK, you know, this is a ticket.
[01:19:45.684 --> 01:19:46.504]  This is working.
[01:19:46.504 --> 01:19:47.505]  This is wonderful.
[01:19:47.505 --> 01:19:52.027]  You know, I don't, I don't have to put on Dermablend anymore, you know?
[01:19:52.027 --> 01:19:56.690]  So anyway, it worked wonderfully, and it really has totally cleared up my skin.
[01:20:01.627 --> 01:20:13.452]  You're listening to The Alex Jones Show.
[01:20:13.452 --> 01:20:21.135]  No one knows what it's like to be the bad
[01:20:22.210 --> 01:20:24.733]  Well, Dr. Leigh Merritt's our guest here on the Alex Jones Show.
[01:20:24.733 --> 01:20:33.344]  She's normally rushed, but we've got some time with her, so I want her to go wherever she wants and get into what she really thinks is going on here and what's coming next and why.
[01:20:33.344 --> 01:20:34.926]  TheMedicalRebel.com.
[01:20:34.926 --> 01:20:37.048]  She's a medical doctor and a great lady.
[01:20:37.048 --> 01:20:39.131]  Okay, so please continue, Doc.
[01:20:40.282 --> 01:20:43.146]  Well, I was just, so here's what happened.
[01:20:43.146 --> 01:20:45.810]  You know, every year we have a winter death curve.
[01:20:45.810 --> 01:20:48.033]  Call it, you know, if it's a viral death curve, we don't know.
[01:20:48.033 --> 01:20:53.861]  But every winter we blame it on flu and pneumonia and all these things, picking off old people and people at risk.
[01:20:53.861 --> 01:20:55.724]  And it's just like a bell-shaped curve.
[01:20:56.344 --> 01:21:05.330]  But when this started, and I have a friend that used to work at USAMR at our bioweapons lab, and I used to call him and say, hey, should I watch this one whenever like SARS or MERS came out?
[01:21:05.330 --> 01:21:06.991]  He used to always say no until this one.
[01:21:06.991 --> 01:21:08.291]  So he said, watch this one.
[01:21:08.291 --> 01:21:09.432]  So I did.
[01:21:09.432 --> 01:21:12.454]  And quite frankly, this looked really bad at first.
[01:21:12.454 --> 01:21:14.175]  It didn't look like that curve.
[01:21:14.175 --> 01:21:15.756]  It was going up hyperbolically.
[01:21:15.756 --> 01:21:19.278]  And you had epidemiologists all over the world saying, this is the worst thing we've ever seen.
[01:21:19.278 --> 01:21:19.958]  This is the worst.
[01:21:19.958 --> 01:21:21.860]  Remember that R0 value, the worst R0 value.
[01:21:22.640 --> 01:21:24.223]  You know, it really looked bad.
[01:21:24.223 --> 01:21:28.549]  And if you'd projected that out, we would have lost 2 million people by the middle of July.
[01:21:28.549 --> 01:21:29.350]  But we didn't.
[01:21:29.350 --> 01:21:30.552]  That isn't what happened, right?
[01:21:30.552 --> 01:21:36.822]  What happened was, it just went right down into the normal curve we see every winter.
