[00:00:12.657 --> 00:00:14.759]  It's Tuesday, March 23rd.
[01:15:06.425 --> 01:15:11.111]  And it's because we have so much credibility, they can't allow us to stay on air much longer.
[01:15:11.111 --> 01:15:14.476]  And I don't have time to tell you all the stuff they're doing to us for a lot of reasons.
[01:15:14.476 --> 01:15:15.998]  I can't tell you what's going on.
[01:15:15.998 --> 01:15:17.179]  But let's just say this.
[01:15:17.179 --> 01:15:18.501]  We're going to see this through to the end.
[01:15:18.501 --> 01:15:20.965]  We're going to stay on air as long as we can.
[01:15:21.585 --> 01:15:25.227]  So please pray for us and please buy the products at mfulworthstore.com.
[01:15:25.227 --> 01:15:27.808]  They're great products, plus they fund the operation.
[01:15:27.808 --> 01:15:30.989]  So you know, unlike other products you can buy, they're still great.
[01:15:30.989 --> 01:15:31.850]  Do they fund freedom?
[01:15:31.850 --> 01:15:32.950]  No, a lot of them don't.
[01:15:32.950 --> 01:15:39.393]  These are great products that fund freedom and fund justice when the whole world's waking up and looking for truth.
[01:15:39.393 --> 01:15:41.134]  That's why the globalists are censoring.
[01:15:41.134 --> 01:15:43.955]  They can't bring in all this tyranny and leave people like us on the air.
[01:15:44.535 --> 01:15:47.659]  So while you're at it, don't just financially support us and spread the word.
[01:15:47.659 --> 01:15:50.362]  Download everything we've done you can find and save it.
[01:15:50.362 --> 01:15:55.307]  Because who knows how long we're going to be on the air and the enemy is trying to destroy everything we ever said.
[01:15:55.307 --> 01:15:59.052]  Alex Jones here with the new M4 Wars sale and it is a fantastic sale.
[01:15:59.492 --> 01:16:03.554]  It is many of our best-selling products that just so happen to also be selling out.
[01:16:03.554 --> 01:16:09.157]  But despite that, they're 50% off and free shipping on these select items.
[01:16:09.157 --> 01:16:12.339]  Again, all these are selling out, except for Rainforest.
[01:16:12.339 --> 01:16:13.960]  It finally came back into stock.
[01:16:13.960 --> 01:16:14.740]  It's amazing.
[01:16:14.740 --> 01:16:16.661]  It's 50% off and free shipping.
[01:16:16.661 --> 01:16:21.163]  We've got the Toothpaste, the Mouthwash, the Cabochill, the Vazobeats, the Alpha Power.
[01:16:21.163 --> 01:16:27.487]  All of these are best-sellers, 50% off and free shipping at InfoWarsStore.com.
[01:16:28.587 --> 01:16:29.087]  Or 888-253-3139.
[01:16:29.087 --> 01:16:32.728]  And it funds our operation.
[01:16:32.728 --> 01:16:34.609]  Plus, all of the Emirates Essentials.
[01:16:34.609 --> 01:16:38.250]  Essential oils, natural deodorants, shampoos, conditioners.
[01:16:38.250 --> 01:16:39.530]  A whole host of products.
[01:16:39.530 --> 01:16:42.371]  The entire Emirates Essentials line is close to selling out.
[01:16:42.371 --> 01:16:43.511]  More coming in a few months.
[01:16:43.511 --> 01:16:49.273]  But despite that, right now, ladies and gentlemen, they're all 50% off as well, with free shipping.
[01:16:49.273 --> 01:16:51.013]  Just follow the banners at InfoWarsTore.com.
[01:16:51.013 --> 01:16:53.454]  It's a huge savings, and it funds the Info War.
[01:16:53.454 --> 01:16:53.614]  A 360 win.
[01:16:57.674 --> 01:17:16.404]  You're listening to the Alex Jones Show.
[01:17:16.404 --> 01:17:22.568]  Defending the republic from enemies foreign and domestic, it's Alex Jones.
[01:17:25.575 --> 01:17:28.656]  Well, I was on a secret mission in Connecticut.
[01:17:28.656 --> 01:17:32.157]  It was not the Snow and Bones visit yesterday, but that was part of it.
[01:17:32.157 --> 01:17:33.498]  But I am back in Austin.
[01:17:33.498 --> 01:17:34.878]  Just landed about 30 minutes ago.
[01:17:34.878 --> 01:17:36.479]  Rushed here to the studio.
[01:17:36.479 --> 01:17:39.000]  Flight was a little bit delayed, or I would have been here for the start of the broadcast.
[01:17:39.000 --> 01:17:43.242]  Appreciate Owen Schroeder sitting in during much of the first hour into the second.
[01:17:43.242 --> 01:17:47.043]  But we are now live, and I'll be hosting the fourth hour today as well.
[01:17:47.043 --> 01:17:52.365]  And so, coming up next hour, I'm going to open the phones up so you can respond
[01:17:53.129 --> 01:17:58.194]  To the wheels coming off the Obama administration, just absolutely flying off.
[01:17:58.194 --> 01:18:00.716]  And no, that was not a mistake I made on air.
[01:18:00.716 --> 01:18:07.002]  The wheels coming off Obama 2.0 administration with their puppet, Biden.
[01:18:07.002 --> 01:18:10.065]  It is disintegrating way quicker than I thought it even would.
[01:18:10.065 --> 01:18:11.586]  We predicted it would disintegrate.
[01:18:11.586 --> 01:18:12.647]  That was a foregone conclusion.
[01:18:12.647 --> 01:18:17.111]  But this is like watching a train wreck in fast motion.
[01:18:17.111 --> 01:18:18.853]  It's not in slow motion.
[01:18:20.077 --> 01:18:21.018]  Totally crazy.
[01:18:21.018 --> 01:18:28.382]  And let's go ahead and play a clip of Biden telling everybody just six months ago, if I get elected, surge the border.
[01:18:28.382 --> 01:18:33.025]  What I would do as president is several more things because things have changed.
[01:18:33.025 --> 01:18:38.069]  I would in fact make sure that there is, we immediately surge to the border.
[01:18:38.069 --> 01:18:39.970]  All those people are seeking asylum.
[01:18:39.970 --> 01:18:40.951]  They deserve to be heard.
[01:18:40.951 --> 01:18:42.131]  That's who we are.
[01:18:42.131 --> 01:18:45.974]  We're a nation that says if you want to flee and you're fleeing oppression, you should come.
[01:18:47.446 --> 01:18:50.728]  And if you want to kidnap a kid and bring him along with you, even better.
[01:18:50.728 --> 01:18:59.475]  And so now we have the incredible Project Veritas, out of all their exploits, out of all their bombshells, out of everything they've done, this is the biggest thing.
[01:18:59.475 --> 01:19:06.660]  I wouldn't say it's the biggest journalistic thing they ever did, even though it's incredible, and a five star, compared to some of the undercover stuff that took years to do.
[01:19:06.660 --> 01:19:10.403]  But just getting the photos they don't want out, flying over the compound,
[01:19:11.227 --> 01:19:13.249]  Uh, just bringing it out right at this moment.
[01:19:13.249 --> 01:19:18.714]  It's the biggest thing Project Veritas has ever done hands down.
[01:19:18.714 --> 01:19:21.737]  Incredible.
[01:19:21.737 --> 01:19:30.085]  Just, I had tears in my eyes last night watching that and just seeing that for the fact that
[01:19:31.002 --> 01:19:33.908]  They have told people come here with kidnapped children.
[01:19:33.908 --> 01:19:37.093]  They've said if you got a child under 10, you get in free.
[01:19:37.093 --> 01:19:38.797]  So they are literally kidnapping children.
[01:19:38.797 --> 01:19:42.564]  The smugglers are making in Texas alone 14 million more a day.
[01:19:44.108 --> 01:19:45.109]  Off of smuggling people.
[01:19:45.109 --> 01:19:47.551]  If they don't pay the full price, they kill them.
[01:19:47.551 --> 01:19:51.614]  There are hundreds of thousands of people in unmarked mass graves all over the U.S.
[01:19:51.614 --> 01:19:52.855]  border with Mexico.
[01:19:52.855 --> 01:19:58.839]  And it's not ranchers like in Machete Kills with Don Johnson shooting pregnant women in the stomach.
[01:19:58.839 --> 01:20:03.643]  It's the coyotes that the Democrats think I'm talking about a real wolf.
[01:20:03.643 --> 01:20:05.804]  No, the smugglers that are doing it.
[01:20:05.804 --> 01:20:07.926]  Just absolute pure evil.
[01:20:09.415 --> 01:20:11.156]  As the globalists attempt to break this country.
[01:20:11.156 --> 01:20:12.697]  We have the video and the photos.
[01:20:12.697 --> 01:20:19.302]  Migrants, illegal aliens, wave a Biden for President flag while waiting to enter the United States.
[01:20:19.302 --> 01:20:20.322]  Are some of these nice people?
[01:20:20.322 --> 01:20:21.163]  Yes.
[01:20:21.163 --> 01:20:22.023]  Are some of them bad people?
[01:20:22.023 --> 01:20:22.644]  Yes.
[01:20:22.644 --> 01:20:28.668]  But the big overarching issue is they turned the third world off with complete lockdown for over six months.
[01:20:29.511 --> 01:20:31.392]  Now we're into a year of partial lockdown.
[01:20:31.392 --> 01:20:33.993]  The immigrants say, we have nothing.
[01:20:33.993 --> 01:20:34.634]  There's no water.
[01:20:34.634 --> 01:20:35.534]  There's no food.
[01:20:35.534 --> 01:20:36.334]  We have to come here.
[01:20:36.334 --> 01:20:44.918]  And the UN is there with Joe Biden t-shirts and with thousand, two thousand, three thousand dollar euro or debit cards with no name on them.
[01:20:44.918 --> 01:20:46.859]  This is in the news.
[01:20:46.859 --> 01:20:49.601]  And the people from all over the world.
[01:20:49.601 --> 01:20:50.601]  They're from Asia.
[01:20:50.601 --> 01:20:51.542]  They're from Africa.
[01:20:51.542 --> 01:20:52.702]  They're from the Middle East.
[01:20:52.702 --> 01:20:54.383]  They're from South America.
[01:20:54.383 --> 01:20:55.544]  They're from Central America.
[01:20:55.544 --> 01:20:56.324]  They're from Mexico.
[01:20:57.552 --> 01:20:59.493]  And they are just pouring across.
[01:20:59.493 --> 01:21:02.334]  The UN opens up these migration centers into Europe.
[01:21:02.334 --> 01:21:04.595]  They open them up into the United States.
[01:21:04.595 --> 01:21:05.815]  We put Trump in.
[01:21:05.815 --> 01:21:07.376]  He stopped it dead.
[01:21:07.376 --> 01:21:09.597]  The Border Patrol stopped it dead.
[01:21:09.597 --> 01:21:17.119]  And now they're breaking our border with tens of thousands a day.
[01:21:17.119 --> 01:21:21.421]  And it's a crime when Obama would just release children
[01:21:22.239 --> 01:21:23.139]  To smuggler groups.
[01:21:23.139 --> 01:21:24.660]  They call them NGOs.
[01:21:24.660 --> 01:21:25.921]  Non-governmental organizations.
[01:21:25.921 --> 01:21:27.421]  And Biden's doing that again.
[01:21:27.421 --> 01:21:32.363]  They're only holding people at these facilities that hold 10,000, 15,000, 20,000 apiece.
[01:21:32.363 --> 01:21:35.404]  They've built new ones, by the way, under Trump.
[01:21:35.404 --> 01:21:38.426]  Trump built a bunch of them to send people back.
[01:21:38.426 --> 01:21:41.587]  Now they're just overflowing with people sleeping on the floor.
[01:21:41.587 --> 01:21:43.388]  Some cases without even the space blankets.
[01:21:43.388 --> 01:21:44.268]  Children are being raped.
[01:21:46.514 --> 01:21:51.419]  And Biden says, you're not allowed to have cameras inside, even though federal law says you are.
[01:21:51.419 --> 01:21:56.405]  And so good people inside that actually care and have a tough job, well, they leaked the information.
[01:21:56.405 --> 01:22:00.669]  Remember all the nice facilities Trump built with the water fountains in each area?
[01:22:00.669 --> 01:22:03.232]  And they said, oh, you're drinking out of toilets.
[01:22:03.232 --> 01:22:06.916]  And AOC went and cried in front of a fence in a parking lot.
[01:22:07.478 --> 01:22:19.648]  Well, she's not crying now because she's a monster and an exploiter for the most powerful, rich, tax-exempt billionaires on the planet, ladies and gentlemen.
[01:22:19.648 --> 01:22:20.629]  Absolutely insane.
[01:22:20.629 --> 01:22:23.171]  And look, these people came here illegally.
[01:22:23.171 --> 01:22:24.512]  Are they in a bad situation?
[01:22:24.512 --> 01:22:25.633]  Yes.
[01:22:25.633 --> 01:22:32.559]  But they said Trump was a monster for photos of what Biden's boss did, Barack Hussein Obama.
[01:22:35.091 --> 01:22:36.993]  So this is the big overarching issue.
[01:22:36.993 --> 01:22:38.614]  Our dollar is being attacked.
[01:22:38.614 --> 01:22:42.157]  Our energy sectors are being turned off.
[01:22:42.157 --> 01:22:45.260]  Everything we have built as a republic is being dismantled.
[01:22:45.260 --> 01:22:46.381]  Our culture is under attack.
[01:22:46.381 --> 01:22:47.622]  Our children are under attack.
[01:22:47.622 --> 01:22:50.925]  Our family is under attack.
[01:22:50.925 --> 01:22:53.667]  America is not meant to exist in the New World Order.
[01:22:53.667 --> 01:22:56.589]  China, with all its evils, is the model.
[01:22:56.589 --> 01:23:01.874]  And then they bring in millions of Islamists, mainly military-age men, just like Europe.
[01:23:02.861 --> 01:23:08.164]  80 to 90 percent major studies of the men brought into Europe and the U.S.
[01:23:08.164 --> 01:23:14.647]  of the quote migrants they call 25 30 even 40 year old men on terror watch list children
[01:23:16.169 --> 01:23:26.518]  And they sickeningly, as leftists in Germany and Sweden and all those other countries, put them in middle schools and high schools with young girls who they then rape.
[01:23:26.518 --> 01:23:32.963]  And they run PSAs, we've shown you, telling 14-year-old girls, get yourself a 25-year-old Pakistan husband.
[01:23:34.378 --> 01:23:42.783]  German TV advertises pedophilia and tells 14-year-old girls, get yourself a Pakistani husband who is put in school with her in the class.
[01:23:42.783 --> 01:23:48.146]  Then the government pays to move her in to an apartment with him.
[01:23:48.146 --> 01:23:52.469]  These are German PSAs, German TV shows I have aired here before.
[01:23:52.469 --> 01:23:56.231]  They show the women how to wear burkas.
[01:23:56.231 --> 01:24:02.055]  And that's where we're going when we come back with Ahmed Alisa, look at this maniac, from
[01:24:03.872 --> 01:24:10.317]  Syria got into the country before Trump blocked it four years ago.
[01:24:10.317 --> 01:24:11.238]  Totally mentally ill.
[01:24:11.238 --> 01:24:12.619]  Of course he's mentally ill.
[01:24:12.619 --> 01:24:13.560]  The Daily Beast spins it.
[01:24:13.560 --> 01:24:14.741]  Oh, he's mentally ill.
