[00:00:00.765 --> 00:00:02.506]  To inject everyone's children.
[01:28:59.269 --> 01:29:04.018]  I'm cutting this brief announcement on the afternoon of November 9th, 2021.
[01:29:07.113 --> 01:29:17.357]  And I just want all the listeners and viewers to know that have kept this show on the air that I am very, very thankful to you because my main drive is opposing these globalists and is standing against them.
[01:29:17.357 --> 01:29:19.358]  I know that that's your main drive as well.
[01:29:19.358 --> 01:29:28.922]  So I thank you for your moral support, your prayers, your word of mouth, fighting for all of us and all of our children's futures, and also your financial support at infowarestore.com.
[01:29:30.037 --> 01:29:33.358]  And it isn't just funding the InfoWar that you engage in when you buy the products.
[01:29:33.358 --> 01:29:38.159]  You get amazing products that are so good for you, and yourself, and your family.
[01:29:38.159 --> 01:29:47.881]  And right now, until November 14th, we have, Black Friday comes early, up to 60% off on our best-selling items, store-wide free shipping, and double Patreon points.
[01:29:47.881 --> 01:29:54.482]  So again, thank you all for your support, and get amazing products like Ultimate Bone Broth, and Brain Force Plus, and so many others.
[01:29:54.482 --> 01:29:58.403]  Right now, massively discounted at infowarestore.com.
[01:29:58.763 --> 01:30:10.591]  It's Thursday, November 11th, 2021, and that means there's only a few days left until November 15th for you to take advantage of the biggest sale of the year at InfoWarsTore.com.
[01:30:10.591 --> 01:30:14.854]  Black Friday comes early, ends on this coming Tuesday.
[01:30:14.854 --> 01:30:16.455]  You get store-wide free shipping.
[01:30:16.455 --> 01:30:20.218]  Double Patriot points up to 60% off on best-selling items.
[01:30:20.218 --> 01:30:23.060]  Now, I'm not going to list them all here, but 60% off on Ultra 12,
[01:30:23.780 --> 01:30:25.221]  The Free Shipping Double Pantry Appoints.
[01:30:25.221 --> 01:30:27.423]  That's the best deal we've offered in years.
[01:30:27.423 --> 01:30:28.104]  Back in stock.
[01:30:28.104 --> 01:30:29.304]  Brain Force Plus.
[01:30:29.304 --> 01:30:32.047]  50% off the amazing Nootropic.
[01:30:32.047 --> 01:30:33.608]  Sold out for more than two years.
[01:30:33.608 --> 01:30:36.130]  Now back in stock and improved and even stronger.
[01:30:36.130 --> 01:30:42.135]  Ultimate Bone Broth Paleo Formula with Chaga Mushroom, with Turmeric, with Beet Pollen and so much more.
[01:30:42.135 --> 01:30:43.756]  It's discounted as well with Free Shipping.
[01:30:43.996 --> 01:30:50.665]  And so many other items are up to 60% off with store-at-free shipping right now at InfoWarStore.com.
[01:30:50.665 --> 01:30:51.927]  It's a 360 win.
[01:30:51.927 --> 01:30:55.451]  We're fighting the globals as hard as we can and selling great products to fund it.
[01:30:55.451 --> 01:30:57.254]  Please support us and make your life better.
[01:30:58.840 --> 01:31:07.065]  The CEO of Pfizer just came out and said that people talking bad about the vaccines are working for, quote, dark forces.
[01:31:07.065 --> 01:31:14.569]  That the FBI and CIA have been advising him on who these evil groups are.
[01:31:14.569 --> 01:31:19.431]  They know that all over the world their poison shot is being banned by major governments.
[01:31:19.431 --> 01:31:21.713]  And Moderna's in trouble as well.
[01:31:21.713 --> 01:31:25.695]  They know that the people are starting to get wise to the depopulation agenda.
[01:31:26.610 --> 01:31:38.340]  In fact, evidence is starting to mount that the shots were supposed to be soft kill weapons, but they're so deadly, they're killing a higher percentage up front, and so people are waking up.
[01:31:38.340 --> 01:31:41.563]  The weapons work a little too good.
[01:31:41.563 --> 01:31:46.367]  They're supposed to be silent weapons for quiet wars, but instead, they're making too big of a noise!
[01:31:47.088 --> 01:31:49.229]  But it's too late for them to turn back now.
[01:31:49.229 --> 01:31:50.990]  They're coming after our children.
[01:31:50.990 --> 01:31:56.093]  So it's up to us to protect our little children, or God will not look favorably on us.
[01:31:56.093 --> 01:31:58.595]  Remember, God is watching.
[01:31:58.595 --> 01:32:04.038]  If a hurricane is smashing into the Gulf Coast, and I make the prediction,
[01:32:04.918 --> 01:32:06.359]  But it's going to cause flooding.
[01:32:06.359 --> 01:32:07.939]  That's not a prediction.
[01:32:07.939 --> 01:32:08.780]  You know it's a hurricane.
[01:32:08.780 --> 01:32:10.281]  You know it's got a lot of water it's going to dump.
[01:32:10.281 --> 01:32:11.501]  It's going to cause flooding.
[01:32:11.501 --> 01:32:23.327]  So it wasn't a prediction 20 months ago when I said the UN order to lock down the world economy is going to cause a chain reaction that's going to cause supply chain problems for years, that's going to starve tens of millions to death.
[01:32:23.327 --> 01:32:24.787]  And now it all happened.
[01:32:24.787 --> 01:32:30.230]  25 million extra dead, hundreds of millions on the verge of starvation, and the UN that ordered it is running around being the savior.
[01:32:31.070 --> 01:32:33.812]  Listen, when the first world collapses, the third world dies.
[01:32:33.812 --> 01:32:35.694]  And now the first world's becoming the third world.
[01:32:35.694 --> 01:32:37.395]  So listen to me now.
[01:32:37.395 --> 01:32:43.861]  We've got the highest quality storable foods, the lowest price you're going to find, ready to ship to you right now at 10% off until November 15th.
[01:32:43.861 --> 01:32:46.143]  But after that, the prices are going up.
[01:32:46.143 --> 01:32:48.645]  We cannot suppress prices anymore.
[01:32:48.645 --> 01:32:56.071]  So protect yourself, get high quality storable food, so you're self-sufficient, and fund the InfoWar today, a 360 win, at InfoWarStore.com.
[01:32:56.071 --> 01:32:57.032]  It's time to get your food.
[01:33:00.563 --> 01:33:21.207]  You're listening to the Alex Jones Show.
[01:33:21.207 --> 01:33:23.808]  Waging war on corruption.
[01:33:23.808 --> 01:33:25.188]  It's Alex Jones.
[01:33:35.126 --> 01:33:42.792]  Well, again, I just cannot express to listeners and viewers of this broadcast how blessed I am that you tune into the show.
[01:33:42.792 --> 01:33:50.017]  Let me hit some of the bullying now, and then I'm going to hit the race war garbage, and then go to your phone calls.
[01:33:50.017 --> 01:33:56.002]  And then next time I'm going to hit some of the Klaus Schwab new declarations of war he announced today.
[01:33:56.002 --> 01:33:59.264]  But right now, here on the Alex Jones Show, let's just mention some of this.
[01:33:59.264 --> 01:34:01.006]  And some of this is a few days old.
[01:34:01.006 --> 01:34:02.407]  I was going through the stacks from
[01:34:03.769 --> 01:34:07.351]  Monday, Tuesday, Wednesday, Thursday.
[01:34:07.351 --> 01:34:10.433]  And notice that I hadn't hit some of this that I should have gotten into.
[01:34:10.433 --> 01:34:15.077]  Because when you look at it all in context, it's pretty outrageous.
[01:34:15.077 --> 01:34:15.657]  Video.
[01:34:15.657 --> 01:34:21.761]  Geraldo Rivera tells Fox viewers, quote, you have no rights when it comes to the vaccine.
[01:34:21.761 --> 01:34:25.023]  So you could just put any unauthorized thing in me you want.
[01:34:25.023 --> 01:34:25.704]  The answer is yeah.
[01:34:25.704 --> 01:34:29.526]  Now we're putting a heart attack drug in it for children.
[01:34:29.526 --> 01:34:30.707]  And then that's just a footnote.
[01:34:30.707 --> 01:34:32.668]  And then InfoWars talks about it.
[01:34:32.668 --> 01:34:33.269]  And that's about it.
[01:34:34.246 --> 01:34:35.987]  Just earth-shaking stuff, Geraldo.
[01:34:35.987 --> 01:34:40.169]  And, you know, I've been on Geraldo's show four or five times.
[01:34:40.169 --> 01:34:41.409]  I've run into him.
[01:34:41.409 --> 01:34:43.450]  He says he thinks I've gotten an unfair shake.
[01:34:43.450 --> 01:34:45.651]  He at least supports the First Amendment.
[01:34:45.651 --> 01:34:55.416]  But, I mean, what is up with these people when they're old-line liberals like Gene Simmons and Geraldo Rivera and all these people supporting this tyranny?
[01:34:57.381 --> 01:34:58.941]  You're saying you have no rights, you have no rights.
[01:34:58.941 --> 01:35:01.882]  Well then what the hell is the Nuremberg Code there, buddy boy?
[01:35:01.882 --> 01:35:06.003]  And again, you guys have signed on to something that's a disaster.
[01:35:06.003 --> 01:35:07.863]  I don't think Geraldo Rivera thinks this hurts people.
[01:35:07.863 --> 01:35:09.664]  I don't think he wants to kill people.
[01:35:09.664 --> 01:35:16.105]  He's certainly not Klaus Schwab or Bill Gates, but I mean, any moron could research this and know this.
[01:35:16.105 --> 01:35:18.525]  And then like I told you, I mean, I've got the clips.
[01:35:18.525 --> 01:35:19.686]  I watched them at like 4 a.m.
[01:35:19.686 --> 01:35:20.106]  this morning.
[01:35:20.106 --> 01:35:21.906]  I just saw these headlines.
[01:35:21.906 --> 01:35:23.366]  White privilege of Aaron Rodgers.
[01:35:23.366 --> 01:35:25.127]  Just go to YouTube and type that in.
[01:35:25.127 --> 01:35:25.487]  And it's...
[01:35:26.829 --> 01:35:29.150]  Mainly, I watched like four of these videos.
[01:35:29.150 --> 01:35:31.671]  Three of the panels were all black.
[01:35:31.671 --> 01:35:37.673]  And these are respected, rich, powerful guys that America has done a great job for.
[01:35:37.673 --> 01:35:42.155]  And they're just talking about how horrible white people are and how horrible Aaron Rodgers are.
[01:35:42.155 --> 01:35:46.076]  And Skip Bayless is on there like a little gremlin agreeing with them.
[01:35:46.076 --> 01:35:47.217]  It's just unwatchable.
[01:35:50.083 --> 01:35:53.006]  Absolutely unwatchable, but I've got to watch it.
[01:35:53.006 --> 01:35:53.926]  I don't know what they're up to.
[01:35:53.926 --> 01:35:56.609]  And just so again, they know you don't listen to the news.
[01:35:56.609 --> 01:36:02.133]  They know nobody believes Brian Stelter or Brian Williams.
[01:36:02.133 --> 01:36:07.098]  And so what they do is the propaganda is in the comedy shows at night.
[01:36:07.098 --> 01:36:10.040]  We all know that, but it's even worse on sports.
[01:36:10.040 --> 01:36:10.741]  And that's why
[01:36:12.386 --> 01:36:14.307]  I was a sports addict 35 years ago.
[01:36:14.307 --> 01:36:15.707]  Loved sports 30 years ago.
[01:36:15.707 --> 01:36:17.968]  Didn't watch much of it 25 years ago.
[01:36:17.968 --> 01:36:21.209]  And you know, in the last 10 years of it all, I just can't watch it.
[01:36:21.209 --> 01:36:28.151]  It's just, it's, it's, it'd be like, I like a steak, but if somebody took a dump on it, I'm not going to eat it.
[01:36:28.151 --> 01:36:31.192]  And that's the thing is you just, I can't watch these channels.
[01:36:31.192 --> 01:36:32.112]  I can't watch any of it.
[01:36:32.112 --> 01:36:35.793]  But, but then I realized that's where the real propaganda is going on.
[01:36:35.793 --> 01:36:40.234]  That's where the real brainwashing is.
[01:36:40.234 --> 01:36:41.635]  And so here's a Rolla Rivera.
[01:36:41.635 --> 01:36:42.155]  Here's another one.
[01:36:43.580 --> 01:36:50.814]  Surgeon General rebuts Matthew McConaughey over vaccinating kids, warns Americans not to share misleading means about COVID.
[01:36:50.814 --> 01:36:55.142]  So Matthew McConaughey comes out, says, I took the shot, he thinks other people should take it, but you have a right not to.
[01:36:56.701 --> 01:36:58.522]  And I say, Matthew, you're not a moron.
[01:36:58.522 --> 01:37:00.523]  You know damn well it's killing a bunch of people.
[01:37:00.523 --> 01:37:02.504]  And I don't support him for governor over that.
[01:37:02.504 --> 01:37:04.465]  I said, he needs to get his head out of his butt.
[01:37:04.465 --> 01:37:07.667]  And then he comes on and says, hey, you're not going to shoot up my young children.
[01:37:07.667 --> 01:37:09.088]  I got some real questions here.
[01:37:09.088 --> 01:37:12.289]  Good, McConaughey, because how far are you going to let this go?
[01:37:12.289 --> 01:37:15.011]  You think just because you're worth hundreds of millions of dollars, you're going to be protected?
[01:37:15.011 --> 01:37:19.513]  You think just because you live in a big house on Lake Austin, you're going to be protected?
[01:37:19.513 --> 01:37:22.815]  No.
[01:37:22.815 --> 01:37:23.956]  That's a powerful video.
[01:37:23.956 --> 01:37:25.316]  Yeah, we never got to a few days ago.
[01:37:25.316 --> 01:37:26.057]  Eight-year-old girl.
[01:37:27.273 --> 01:37:31.135]  Tell school board they should all go to jail for forcing masks on children.
[01:37:31.135 --> 01:37:34.698]  Because there's serious brain damage long term.
[01:37:34.698 --> 01:37:36.579]  And the psychological damage is bad as well.
[01:37:36.579 --> 01:37:42.162]  But ex-NFL star sound off on Aaron Rodgers COVID-19 Vax Saga.
[01:37:42.162 --> 01:37:46.285]  Subsequent fines.
[01:37:46.285 --> 01:37:49.747]  And it goes on and on and on.
[01:37:49.747 --> 01:37:54.530]  But the big one is Gene Simmons.
[01:37:54.530 --> 01:37:55.991]  Coming out and saying you're evil.
[01:37:57.136 --> 01:38:00.219]  And that you're the enemy when you don't take the shots.
[01:38:00.219 --> 01:38:09.048]  Well, Gene, people that have gotten natural immunity don't ever transmit it, and it's 100%, and that's in all the studies.
[01:38:09.048 --> 01:38:12.272]  But those that have still do, in fact, at a higher rate.
[01:38:12.272 --> 01:38:13.433]  Oh, but it isn't about studies.
[01:38:13.433 --> 01:38:17.437]  It's about Gene Simmons kissing the ass of the system, period.
