[00:00:10.478 --> 00:00:12.300]  They're all alike.
[01:26:39.436 --> 01:26:47.359]  We want to be absolutely sure that as we go about our daily lives, we do not come into contact with anyone else that would pose a risk.
[01:26:48.702 --> 01:26:52.345]  I think that's the reality that most of the world has been confronting.
[01:26:52.345 --> 01:26:58.090]  What we're really pleased to say is we've got great vaccines and I think I've indicated before that
[01:27:08.619 --> 01:27:11.762]  You know, we will be getting vaccinated regularly.
[01:27:11.762 --> 01:27:17.366]  There will be new strains that emerge, potentially, and we'll have boosters, a bit like seasonal flu.
[01:27:17.366 --> 01:27:23.811]  So every year in seasonal flu, they try and predict which strains are the predominating strains, and we have a vaccine.
[01:27:23.811 --> 01:27:27.014]  What's really useful is some of the technology.
[01:27:27.014 --> 01:27:30.977]  We've made vaccines quicker than we've ever made them before.
[01:27:30.977 --> 01:27:32.178]  Those are not vaccines you witch!
[01:27:32.178 --> 01:27:35.200]  The mRNA technology gives us hope that we'll be able to... That is a monster!
[01:27:36.161 --> 01:27:36.741]  Very pleased!
[01:27:36.741 --> 01:27:38.302]  That's the most bad.
[01:28:01.817 --> 01:28:02.918]  That's how we believe in science.
[01:28:02.918 --> 01:28:11.128]  What I also need to do is get that second dose into people because two doses protects.
[01:28:11.128 --> 01:28:17.255]  When we do open up at 70% double dose, anyone who interacts with each other will be completely vaccinated.
[01:28:17.255 --> 01:28:21.260]  So that massively reduces the chance of anybody requiring hospitalisation.
[01:28:22.020 --> 01:28:27.841]  But they're going to have to surveil you and watch you with an app to make sure you're only close to someone doing that.
[01:28:27.841 --> 01:28:30.782]  And they're saying it's the law to have the Now apps on your phones.
[01:28:30.782 --> 01:28:31.722]  That's the future.
[01:28:31.722 --> 01:28:32.982]  A hell on earth.
[01:28:32.982 --> 01:28:35.483]  Big article about it on Infowars.com.
[01:28:35.483 --> 01:28:36.303]  Fight back.
[01:28:36.303 --> 01:28:36.723]  Spread it.
[01:28:36.723 --> 01:28:37.643]  Get ahead of it.
[01:28:37.643 --> 01:28:39.824]  Don't just take each new phase of the power grab.
[01:28:39.824 --> 01:28:44.945]  Call the whole thing out and get our leaders to stand up and say no and fight this U.N.
[01:28:44.945 --> 01:28:45.705]  takeover.
[01:28:45.705 --> 01:28:46.765]  Come on, Senator Paul!
[01:28:49.227 --> 01:28:57.493]  Attention radio listeners, if you're concerned about the coming chaos after the November elections, this will be an extremely important message.
[01:28:57.493 --> 01:28:58.374]  Here's why.
[01:28:58.374 --> 01:29:05.239]  No matter what the outcome in November, catastrophic social upheaval is a very real possibility.
[01:29:05.239 --> 01:29:06.900]  Here's why this is important.
[01:29:06.900 --> 01:29:15.146]  Listen, we all know that silver and gold have been historic hedges against the uncertain waves of social chaos and unstable currencies.
[01:29:15.146 --> 01:29:17.448]  But did you know that there's been times in the past
[01:29:17.908 --> 01:29:31.677]  During times of extreme hardship, when Americans put another store of value above even silver and gold, it's true, open pollinated seeds have been and could very well be the ultimate store of value in the coming hard times ahead.
[01:29:31.677 --> 01:29:35.420]  Go to survivalseedbank.com to get heirloom seeds below wholesale.
[01:29:35.660 --> 01:29:41.026]  Visit SurvivalSeedBank.com this week and get hundreds of dollars in free bonuses.
[01:29:41.026 --> 01:29:42.347]  Beat the coming chaos.
[01:29:42.347 --> 01:29:43.728]  Beat rising food prices.
[01:29:43.728 --> 01:29:45.310]  But above all, don't wait.
[01:29:45.310 --> 01:29:48.313]  Beat the crowds by claiming your own Survival Seed Bank today.
[01:29:49.984 --> 01:29:54.849]  I've been fighting as hard as I can for almost 28 years against the globalists.
[01:29:54.849 --> 01:29:56.891]  I wanted to stop their agenda.
[01:29:56.891 --> 01:30:02.377]  I wanted to wake up the world and stop them dead in their tracks before they went operational.
[01:30:02.377 --> 01:30:03.478]  But we failed.
[01:30:03.478 --> 01:30:05.140]  Yes, a lot of people are awake.
[01:30:05.140 --> 01:30:07.002]  Yes, we're not getting caught flat-footed.
[01:30:07.002 --> 01:30:11.987]  But they are going ahead with their full operational deindustrialization great reset.
[01:30:12.968 --> 01:30:21.872]  And that's why it's more important than ever that all viewers and all listeners tell everybody they know about the show, because people are ready to wake up and ready to hear the truth.
[01:30:21.872 --> 01:30:27.394]  So we've got to information warfare the enemy and try to stop their agenda, but we've also got to get personally prepared.
[01:30:27.394 --> 01:30:29.975]  And one of the number one things to do is high-quality, storable food.
[01:30:29.975 --> 01:30:34.717]  We've got the best food ready to ship at very affordable prices at Impulwarestore.com.
[01:30:34.717 --> 01:30:39.879]  So whether it's a month or a six-month or a year supply or specialty diets, it's ready to ship right now.
[01:30:40.299 --> 01:30:45.185]  Lock your orders in before food prices go up and before there are long lines in wait.
[01:30:45.185 --> 01:30:47.528]  Because believe me, serious times are coming.
[01:30:47.528 --> 01:30:49.350]  Get ready at InfoWarsTore.com.
[01:30:50.215 --> 01:31:03.846]  The ultimate fluoride-free charcoal mouthwash is now available at InfoWarsStore.com and DrJonesNaturals.com for the lowest price possible to complete your daily mouth cleaning routine.
[01:31:03.846 --> 01:31:14.575]  It is the perfect companion for the new activated charcoal toothpaste all under our new line by Dr. Jones Naturals that will naturally give your mouth and breath a deep clean.
[01:31:15.570 --> 01:31:25.007]  This mouthwash only uses the best natural ingredients like real peppermint oil, dime oil, xylitol, and of course, high quality charcoal.
[01:31:25.868 --> 01:31:37.059]  Not only fluoride-free, this mouthwash is completely free of other dangerous ingredients such as SLS, harsh detergents, BPA, and so much more.
[01:31:37.059 --> 01:31:41.123]  As soon as you use it, you can tell that this formula is the real deal.
[01:31:41.123 --> 01:31:47.289]  So get your bottle of the new Activated Charcoal Mouthwash right now at InfowarsStore.com.
[01:31:49.773 --> 01:31:54.439]  Just a week ago, we got a new shipment of vitamin and mineral fusion back in stock.
[01:31:54.439 --> 01:31:57.423]  And it was only half of the order we wanted to get.
[01:31:57.423 --> 01:32:02.789]  But because we won't cut corners on the quality of what goes into it, the factory can only get limited supplies.
[01:32:02.789 --> 01:32:04.732]  So again, it was half the order we wanted.
[01:32:04.932 --> 01:32:10.417]  But despite that, I'm still offering it for 33% off, so everybody on the fence will get it.
[01:32:10.417 --> 01:32:12.739]  It's critical for your immune system and your whole body.
[01:32:12.739 --> 01:32:17.943]  All the essential vitamins, all the essential minerals, and a bunch of key amino acids at infowarestore.com.
[01:32:17.943 --> 01:32:19.925]  So, while supplies last until it runs out,
[01:32:20.305 --> 01:32:25.148]  We're selling it for 33% off and it'll be months until more comes in.
[01:32:25.148 --> 01:32:28.170]  So, get yours today at InfoWarsStore.com.
[01:32:28.170 --> 01:32:31.893]  Because it's not just a great product, we need those funds to keep operating as well.
[01:32:31.893 --> 01:32:33.294]  We're all in a catch-22.
[01:32:33.294 --> 01:32:41.760]  But we have another great product, Hair and Beard Formula, that's really a great multivitamin mineral system that's one of the best multivitamin mineral systems out there.
[01:32:41.760 --> 01:32:43.741]  It's just called Hair and Beard.
[01:32:43.741 --> 01:32:45.522]  So get that as well for your immune system.
[01:32:45.522 --> 01:32:48.364]  It's great for women, great for children, but it's designed for men.
[01:32:48.364 --> 01:32:49.225]  InfoWarsStore.com.
[01:32:53.135 --> 01:33:00.980]  You're listening to The Alex Jones Show.
[01:33:00.980 --> 01:33:12.146]  I've been waiting so long to be where I'm going in the sunshine of your love.
[01:33:12.146 --> 01:33:12.386]  Woo!
[01:33:22.987 --> 01:33:25.828]  There's Eric Clapton!
[01:33:25.828 --> 01:33:33.150]  Who barely survived his Pfizer shot.
[01:33:33.150 --> 01:33:36.151]  And is fighting back against the tyranny.
[01:33:36.151 --> 01:33:39.732]  Everything Clapton does is great work.
[01:33:39.732 --> 01:33:44.093]  And that's going to be their big problem, is covering up all the damage these shots are causing.
[01:33:44.093 --> 01:33:46.314]  And the fact that they're not vaccines, they're gene therapies.
[01:33:46.314 --> 01:33:50.795]  They were always planning to do this, because it gets rid of your immune system, and addicts you to the shots.
[01:33:51.687 --> 01:33:58.751]  They only work for about two months, but they also make you super, super sick.
[01:33:58.751 --> 01:34:21.242]  Unbelievable that they would do something like this, but it's also unbelievable, isn't it, ladies and gentlemen, that the current head of the FDA was the head regulator, what was it, 20 years ago and respectively 10 years ago, and she authorized OxyContin and then OxyContin for children,
[01:34:22.259 --> 01:34:34.509]  Which is heroin, synthetic heroin, and then fentanyl, which is 50 to 100 times, depending on the type, they make stronger than heroin.
[01:34:34.509 --> 01:34:35.870]  She got that authorized.
[01:34:35.870 --> 01:34:38.632]  The Chinese just cloned it.
[01:34:38.632 --> 01:34:44.977]  Now, what type of monsters, people like Janet Woodcock, would do that?
[01:34:44.977 --> 01:34:49.400]  Well, evil eugenicist depopulationist.
[01:34:49.400 --> 01:34:50.181]  Remember Pfizer?
[01:34:52.148 --> 01:34:57.851]  Put out the Gardasil shot that was a live virus vaccine and killed a bunch of people and sterilized them.
[01:34:57.851 --> 01:35:03.314]  So Pfizer even pulled out of this vaccine operation last year and said, this doesn't work in our trials.
[01:35:03.314 --> 01:35:04.614]  This is killing lab animals.
[01:35:04.614 --> 01:35:07.916]  Because even though they said, you don't have to do tests, they still did them.
[01:35:07.916 --> 01:35:13.639]  They said, we're getting antibody dependent enhancement.
[01:35:13.639 --> 01:35:16.780]  And they said, we don't want to kill a bunch of people.
[01:35:16.780 --> 01:35:18.041]  But you know who does like to kill people?
[01:35:18.041 --> 01:35:19.362]  Bayer.
[01:35:19.362 --> 01:35:20.902]  You know him for aspirin and the rest of it.
[01:35:20.902 --> 01:35:21.743]  That's really just a plant.
[01:35:22.375 --> 01:35:25.336]  But Bayer Pharmaceuticals worked for the Nazis.
[01:35:25.336 --> 01:35:27.336]  They still had that attitude.
[01:35:27.336 --> 01:35:33.597]  And in the 90s, for over a decade, they knowingly got blood from one state that didn't do any screening.
[01:35:33.597 --> 01:35:36.938]  That was Arkansas with certain governors there when they were president.
[01:35:36.938 --> 01:35:40.439]  This is all mainline news.
[01:35:40.439 --> 01:35:44.180]  Hell, back when MSNBC wasn't totally evil, they covered it.
[01:35:44.180 --> 01:35:45.240]  Even.
[01:35:45.240 --> 01:35:49.681]  And they knowingly shipped it around the world and millions got hepatitis and HIV from it.
[01:35:51.129 --> 01:35:55.710]  And they reached a $10 billion settlement just recently in Roundup.
[01:35:55.710 --> 01:35:58.851]  So that's the type of stuff that they're involved in.
[01:35:58.851 --> 01:36:07.092]  And so now they've done something a hundred times worse than Roundup, which is hard to say.
[01:36:07.092 --> 01:36:14.474]  Probably 200 times bigger than Bayer with the HIV.
[01:36:14.474 --> 01:36:15.354]  I mean, this is
[01:36:17.151 --> 01:36:24.473]  Hundreds of millions of people in the West have been given something that in the lab studies kills rats and mice within about six months.
[01:36:24.473 --> 01:36:26.613]  So they estimate two to five years with humans.
[01:36:26.613 --> 01:36:30.274]  And now people are getting blood clots or dying even quicker than scientists thought.
[01:36:30.274 --> 01:36:34.515]  And the hospitals are full of people that took the two shots.
[01:36:34.515 --> 01:36:44.018]  Whether it's rock stars that take it or whether it's Oscar de la Hoya who takes the second shot in the hospital.
[01:36:44.018 --> 01:36:45.298]  They tell them, oh, you've got COVID.
[01:36:46.886 --> 01:36:55.752]  And if you die of COVID, the feds have said, CDC, and we're vaccinated, they don't call it COVID.
[01:36:55.752 --> 01:37:03.056]  So the fact that the majority of people dying worldwide have had the shot, they're just suppressing that information here.
