[00:00:13.634 --> 00:00:22.982]  Yeah, we're in Chevy.
[01:09:09.567 --> 01:09:10.407]  He joins us now.
[01:09:10.427 --> 01:09:13.731]  Of course, he stands right beside us today, rolling daily, bigger than ever, WND.com.
[01:09:13.751 --> 01:09:15.212]  We're talking to him in about three minutes.
[01:09:15.893 --> 01:09:19.416]  Dr. Pachinick, again, I mean, you don't do a lot of other interviews.
[01:09:19.456 --> 01:09:20.958]  You've been nice to come on my show for 15 years.
[01:09:22.439 --> 01:09:29.644]  It's on record with General Boykin and with Schumacher, you helped found Delta Force, black ops, ran psychological warfare, overthrown eight countries.
[01:09:30.345 --> 01:09:33.147]  I mean, you're the Jack Ryan character.
[01:09:33.187 --> 01:09:36.129]  Co-wrote books with Clancy, Hollywood producer, you've done it all.
[01:09:37.129 --> 01:09:42.473]  Psychiatrist, MIT scientist, military officer, all that secret, obviously, in your history.
[01:09:42.873 --> 01:09:49.478]  But here you are saying you represent the intelligence community, and I check with people, generals, colonels, you know, they go, absolutely, machinic's on target.
[01:09:49.978 --> 01:09:55.423]  And you're saying this is a counter to the WikiLeaks where we have the British ambassador saying he's met with the folks that did it.
[01:09:55.523 --> 01:09:56.404]  They're ready to go public.
[01:09:57.845 --> 01:09:59.066]  Because they know that they did the right thing.
[01:09:59.087 --> 01:09:59.767]  It's not the Russians.
[01:10:00.208 --> 01:10:07.995]  What is the other messages that the intelligence community, the patriots, and what percentage would you say of the intelligence community is awake of 16 agencies?
[01:10:08.395 --> 01:10:14.481]  What's their message then to Hillary and the communist Chinese and the Saudi Arabians that run her like a sock puppet?
[01:10:15.779 --> 01:10:17.160]  The message is very simple.
[01:10:17.180 --> 01:10:22.625]  I'm talking now on my behalf, but you understand I work informally with other people.
[01:10:22.645 --> 01:10:25.448]  I don't work formally in any way.
[01:10:25.989 --> 01:10:27.310]  The message is very simple.
[01:10:27.330 --> 01:10:28.731]  It's for her to stand down.
[01:10:29.072 --> 01:10:31.634]  She cannot become President of the United States.
[01:10:32.174 --> 01:10:38.921]  She's not physically, mentally, or psychologically, or financially capable to maintain the presidency
[01:10:42.077 --> 01:10:42.637]  We're good to go.
[01:11:10.983 --> 01:11:15.526]  Her targets will be Uber, Iva Dean, Peter Karachick, a whole bunch of Podestas.
[01:11:15.606 --> 01:11:18.588]  There will be all kinds of issues that will be brought up.
[01:11:18.729 --> 01:11:29.776]  She will be brought up on charges of bribery, interference with an investigation, lying to the public, lying to the FBI, and RICO charges.
[01:11:29.856 --> 01:11:30.897]  They will be major.
[01:11:30.977 --> 01:11:39.983]  Those RICO charges will in fact involve many, many people within the Clinton campaign and the Clinton administration and all the law firms, including
[01:11:40.043 --> 01:11:42.664]  Dickstein Shapiro cannot get her out of that.
[01:11:42.684 --> 01:11:47.486]  And actually, Peter Kaczyk may be part of that RICO charge.
[01:11:48.246 --> 01:11:59.670]  I can't speak any more on behalf of what the intelligence community will or will not do, but you have seen so far how effective they have been and how they were able to turn around James Comey.
[01:12:00.090 --> 01:12:07.853]  And it was the brave men and women within the FBI, within the other agencies who stepped forward and said they will not accept this.
[01:12:08.453 --> 01:12:12.016]  Do you know which agency leaked the information to Assange?
[01:12:12.036 --> 01:12:14.639]  I don't want to identify it.
[01:12:15.199 --> 01:12:15.720]  Do I know?
[01:12:15.800 --> 01:12:16.040]  Yes.
[01:12:16.160 --> 01:12:17.321]  Do I want to identify it?
[01:12:17.381 --> 01:12:17.582]  No.
[01:12:18.142 --> 01:12:22.146]  And the reason for that has to do with my long-standing relationship.
[01:12:22.166 --> 01:12:27.131]  So what about the word, though, if Hillary really wants to push, there's going to be a press conference of a bunch of different agencies?
[01:12:28.317 --> 01:12:29.757]  Well, in terms of what?
[01:12:29.797 --> 01:12:31.118]  That their agency is going to come out?
[01:12:31.158 --> 01:12:33.979]  Well, people are just coming out and saying, you know, I released it, I leaked it, I did it.
[01:12:34.079 --> 01:12:40.940]  Okay, well that's their prerogative, but it's, I don't want to, I do not want to reveal who and when.
[01:12:40.960 --> 01:12:41.540]  No, I totally understand.
[01:12:41.580 --> 01:12:42.821]  I totally understand, but let me say this.
[01:12:42.841 --> 01:12:44.361]  That will not happen, but I do say this.
[01:12:44.381 --> 01:12:49.903]  General Flynn gave a speech two months ago where he said, this is Lexington and Concord, our country's been overtaken, this is important to 1776.
[01:12:51.343 --> 01:12:54.388]  Well, I know, I've met Michael Flynn, General Flynn.
[01:12:54.889 --> 01:12:57.233]  I admire him amazingly.
[01:12:57.253 --> 01:12:58.936]  He's been very effective.
[01:12:58.956 --> 01:13:02.061]  I actually went to one of his meetings where he brought in social scientists.
[01:13:02.101 --> 01:13:04.425]  He understands the psychological perspective.
[01:13:05.899 --> 01:13:06.540]  Okay.
[01:13:22.878 --> 01:13:23.418]  We're good to go.
[01:13:54.807 --> 01:14:00.969]  The American public has to understand this is really a change and a revolution in the internet age.
[01:14:01.189 --> 01:14:14.093]  And Alex Jones and Matt Drudge and all the others, Lou Dobbs and Fox, has been a part of this coup because it's occurring on the internet and on the binary numbers in the ether.
[01:14:14.133 --> 01:14:14.913]  And it's not violent.
[01:14:14.933 --> 01:14:18.095]  Steve Pachetnik dot com, we're having you on for an hour Friday.
[01:14:18.155 --> 01:14:19.055]  Thank you for all your time.
[01:14:19.135 --> 01:14:21.276]  It's my pleasure and God bless your audience.
[01:14:21.816 --> 01:14:22.576]  And thank you, Alex.
[01:14:22.856 --> 01:14:23.257]  Amazing.
[01:14:23.397 --> 01:14:23.997]  Okay, wow.
[01:14:24.698 --> 01:14:26.780]  And again, speaking of the Internet Revolution, Joseph Farah.
[01:14:26.840 --> 01:14:27.721]  There goes Steve Pichetting.
[01:14:28.422 --> 01:14:28.882]  Amazing.
[01:14:29.603 --> 01:14:36.110]  He wants, I was just talking to Farah during the break and my producer was, he wants to get into this very subject and talk about WikiLeaks, the election, how big this is.
[01:14:36.811 --> 01:14:37.572]  Hard guy to get on.
[01:14:37.852 --> 01:14:42.857]  WND.com, WorldNetDaily, with publishing and films and not just print and...
[01:14:43.658 --> 01:14:45.580]  The Western Journalism System Center.
[01:14:45.600 --> 01:14:49.623]  I can tell you, if it wasn't for Joseph Farah, you wouldn't have what we have today.
[01:14:49.663 --> 01:14:51.244]  So we really owe you for that, Joseph.
[01:14:51.604 --> 01:14:53.146]  What an epic time to be alive, my friend.
[01:14:53.166 --> 01:14:54.086]  What do you make of all this?
[01:14:55.227 --> 01:14:56.789]  Well, talk about coups.
[01:14:56.829 --> 01:15:00.371]  That was a pretty big coup, getting that previous guest there, Alex.
[01:15:00.492 --> 01:15:04.895]  I think he's kind of the man of the hour right now, putting all this in perspective.
[01:15:04.955 --> 01:15:12.101]  And I couldn't agree more with him that, you know, we're in the midst of a coup here and a counter coup.
[01:15:12.751 --> 01:15:16.317]  The stakes could not be higher at this election.
[01:15:18.200 --> 01:15:19.742]  Literally, I mean, think about it, Alex.
[01:15:20.764 --> 01:15:23.108]  Hillary Clinton, if she doesn't win,
[01:15:23.843 --> 01:15:25.164]  She's probably going to jail.
[01:15:25.764 --> 01:15:26.144]  Okay?
[01:15:27.125 --> 01:15:28.566]  She's got more motivation.
[01:15:28.586 --> 01:15:29.526]  She's got nothing to lose.
[01:15:29.806 --> 01:15:30.286]  Yeah, exactly.
[01:15:30.367 --> 01:15:33.548]  I mean, you know, Trump loses, you know, he's still a billionaire.
[01:15:33.888 --> 01:15:34.769]  He's still free.
[01:15:35.209 --> 01:15:49.617]  But this is how, and of course, even for the rest of us, the stakes are even higher because we actually, you know, if we want to maintain any semblance of liberty in this country, we better hope for the right outcome.
[01:15:50.419 --> 01:15:54.342]  In this election, and that means a victory by Trump.
[01:15:56.544 --> 01:15:57.946]  I like what you had to say.
[01:15:58.006 --> 01:16:00.087]  This is Lexington and Concord.
[01:16:00.828 --> 01:16:02.990]  Let's hope no shots have to be fired.
[01:16:03.010 --> 01:16:04.391]  I'm not advocating that.
[01:16:04.431 --> 01:16:08.595]  I'm hopeful for a peaceful transition of power here.
[01:16:09.375 --> 01:16:17.923]  The polls are looking better, but Hillary's like a wounded animal out there right now, facing what she's going to face if she does not win.
[01:16:18.573 --> 01:16:20.894]  I mean, they're going to be pulling out all the stops.
[01:16:22.174 --> 01:16:24.695]  I can't imagine she's going to just walk away.
[01:16:24.715 --> 01:16:27.356]  What is front and center on your plate?
[01:16:27.376 --> 01:16:32.317]  I could ask plenty of questions, but Joseph Farah, the center of WND.com, one of the top news sites in the world.
[01:16:32.337 --> 01:16:35.078]  I mean, you know, you're a hundred and something on the web.
[01:16:35.098 --> 01:16:36.258]  We're a hundred and something on the web.
[01:16:36.278 --> 01:16:38.159]  I mean, we're exploding, drivers exploding.
[01:16:38.379 --> 01:16:39.219]  That's got to freak them out.
[01:16:39.239 --> 01:16:40.759]  They're not going to let us just continue to operate.
[01:16:40.980 --> 01:16:42.120]  They admit they're coming after us.
[01:16:42.898 --> 01:16:44.319]  Well, exactly.
[01:16:44.539 --> 01:16:55.845]  And, you know, I mean, taking the Internet out of control of our country and putting it into some kind of a global New World Order may be the first step.
[01:16:56.665 --> 01:17:00.087]  We haven't seen any impact of that yet, but, you know, it's there.
[01:17:00.107 --> 01:17:05.110]  Do you remember being out on a limb 20 years ago talking about global government, UN gun control?
[01:17:05.430 --> 01:17:06.690]  Now they just admit it all.
[01:17:06.750 --> 01:17:09.512]  It's like they've just validated everything we ever said.
[01:17:10.527 --> 01:17:11.248]  Absolutely.
[01:17:11.908 --> 01:17:16.712]  And, you know, this WikiLeaks thing, Alex, it's a treasure trove.
[01:17:17.212 --> 01:17:21.855]  We now have so much visibility into the way they think, the way they operate.
[01:17:22.336 --> 01:17:25.378]  I mean, can you imagine if we had this 20 years ago?
[01:17:25.398 --> 01:17:27.099]  It would have made our jobs so much easier.
[01:17:27.139 --> 01:17:28.940]  We have the blueprint of how these crooks operate.
[01:17:29.541 --> 01:17:30.502]  Absolutely.
[01:17:31.062 --> 01:17:33.844]  And, you know, one of the things that has
[01:17:36.107 --> 01:17:36.608]  I don't know.
[01:17:58.959 --> 01:18:09.789]  They have nothing but contempt for these people, but at the same time they know they were facing no opposition from the Boehners and the McConnells and those people.
[01:18:09.929 --> 01:18:13.973]  And they used them so effectively for years.
[01:18:16.128 --> 01:18:18.930]  And the latest, Veritas, talking bad about black people.
[01:18:18.970 --> 01:18:20.211]  They're so hateful.
[01:18:20.231 --> 01:18:22.593]  I mean, who in emails and videos talks like this?
[01:18:22.833 --> 01:18:26.636]  And then I thought, I'm running my own operation, my own life, and I'm pretty hard-working.
[01:18:26.656 --> 01:18:27.757]  18 hours a day a lot of days.
[01:18:28.157 --> 01:18:29.118]  He actually likes 16.
[01:18:30.299 --> 01:18:37.705]  The control freak of how they manipulate media and newspapers and Hillary's staff running, you know, dozens of... I mean, you've run major newspapers.
[01:18:37.725 --> 01:18:38.385]  That's hard enough.
[01:18:38.705 --> 01:18:39.546]  That'll give you a heart attack.
[01:18:39.586 --> 01:18:41.748]  How the hell do they have such criminal energy, Joseph?
[01:18:44.686 --> 01:18:47.567]  Maybe there's a spiritual angle to it, you know?
[01:18:48.567 --> 01:18:51.828]  Maybe they've got a powerful force behind them.
[01:18:51.848 --> 01:18:53.188]  I don't know.
