[00:00:10.973 --> 00:00:11.673]  And they are panicking.
[01:13:44.634 --> 01:13:45.255]  They love it all.
[01:13:45.275 --> 01:13:47.977]  But it's okay because it's all soft and cute.
[01:13:48.398 --> 01:13:49.299]  They don't have to do it.
[01:13:49.339 --> 01:13:50.980]  They don't have to know how it works.
[01:13:52.081 --> 01:13:59.728]  They just get to sit back and have the media pat them on the head and tell them you're part of the power structure, when they're actually people that are getting worthless degrees, have no future, and are actually chumps.
[01:14:00.049 --> 01:14:00.529]  They're schmucks.
[01:14:01.550 --> 01:14:02.051]  They're idiots.
[01:14:02.591 --> 01:14:03.332]  Let's play that report.
[01:14:04.534 --> 01:14:05.294]  Alright, well here's the thing.
[01:14:05.314 --> 01:14:07.996]  I can see them coming out and I can see if they're voting.
[01:14:08.156 --> 01:14:09.517]  See, now you're obstructing my work.
[01:14:09.577 --> 01:14:12.019]  And I understand we're at your place here, but... Well, wait a minute.
[01:14:12.099 --> 01:14:13.139]  I'm not obstructing anything.
[01:14:13.159 --> 01:14:14.540]  Yeah, yeah, and I'm not obstructing anything.
[01:14:14.560 --> 01:14:15.101]  That's what I'm telling you.
[01:14:15.121 --> 01:14:15.761]  Well, you could scoot over.
[01:14:15.861 --> 01:14:16.401]  How about that?
[01:14:16.561 --> 01:14:17.322]  You're obstructing my work.
[01:14:17.342 --> 01:14:20.824]  Okay, but then I cannot see them coming out is what I'm saying.
[01:14:20.864 --> 01:14:22.225]  You can see them storming right there.
[01:14:22.345 --> 01:14:23.906]  Alright, so standing right here is better.
[01:14:23.966 --> 01:14:24.266]  Right here?
[01:14:24.286 --> 01:14:24.967]  Is this good?
[01:14:27.348 --> 01:14:28.469]  Alright, this is gonna be fun.
[01:14:33.288 --> 01:14:34.909]  Owen Schroeder for Infowars.com.
[01:14:34.929 --> 01:14:38.473]  We are outside an early polling station in Austin, Texas.
[01:14:38.693 --> 01:14:42.116]  There has been long lines outside this door, waits as long as an hour.
[01:14:42.356 --> 01:14:45.379]  We're going to talk to some of these people, find out who they voted for and why.
[01:14:45.399 --> 01:14:48.782]  All right, we're just outside the voting station here, early polling going down.
[01:14:48.822 --> 01:14:49.622]  Who did you vote for today?
[01:14:50.803 --> 01:14:51.284]  Donald Trump.
[01:14:51.584 --> 01:14:52.004]  And you, sir?
[01:14:53.305 --> 01:14:54.426]  Harrison President.
[01:14:54.907 --> 01:14:55.167]  Trump.
[01:14:55.788 --> 01:14:56.448]  You like Donald Trump?
[01:14:56.468 --> 01:14:57.209]  What do you like about Donald?
[01:14:58.442 --> 01:14:59.442]  He's not a politician.
[01:14:59.983 --> 01:15:00.683]  Uh, Donald Trump.
[01:15:01.023 --> 01:15:02.643]  You voted for Donald Trump, alright!
[01:15:02.744 --> 01:15:03.504]  Hillary Clinton.
[01:15:03.544 --> 01:15:04.804]  What do you like about Hillary?
[01:15:05.424 --> 01:15:06.185]  She's not Trump.
[01:15:07.205 --> 01:15:12.387]  We work in here, it's our only entrance in and out of the store, so... It's very congested.
[01:15:12.887 --> 01:15:13.927]  No, I didn't do it, did you?
[01:15:13.987 --> 01:15:14.748]  Congested?
[01:15:17.528 --> 01:15:19.169]  Did you just, uh, did you vote today, sir?
[01:15:19.349 --> 01:15:20.209]  I cast my vote.
[01:15:20.489 --> 01:15:21.130]  Who'd you vote for?
[01:15:21.250 --> 01:15:21.910]  Donald Trump.
[01:15:22.290 --> 01:15:23.070]  Why'd you vote for Donald?
[01:15:23.571 --> 01:15:25.091]  Because I believe Donald can get it done.
[01:15:25.291 --> 01:15:25.551]  Hillary.
[01:15:25.591 --> 01:15:26.632]  Hillary Clinton.
[01:15:26.852 --> 01:15:27.712]  And what do you like about Hillary?
[01:15:29.140 --> 01:15:35.502]  You know, she's a lot more progressive, and she stands for my values as a mom and a human being.
[01:15:35.823 --> 01:15:37.503]  That's the best thing, her best quality?
[01:15:38.083 --> 01:15:43.005]  Well, all of her bad qualities are tied to good policy, so that's convenient.
[01:15:43.105 --> 01:15:45.806]  Man, I'm not congesting, I'm not causing any traffic, alright?
[01:15:45.826 --> 01:15:47.007]  There's no congestion.
[01:15:47.027 --> 01:15:47.387]  Right here?
[01:15:47.487 --> 01:15:48.187]  I can stand right here?
[01:15:48.447 --> 01:15:48.667]  No.
[01:15:49.387 --> 01:15:50.268]  You're being smart-ass.
[01:15:50.328 --> 01:15:51.548]  Why would you be a smart-ass?
[01:15:51.648 --> 01:15:52.428]  You just pointed!
[01:15:52.448 --> 01:15:53.189]  What do you mean smart-ass?
[01:15:53.209 --> 01:15:54.069]  You just pointed right there!
[01:15:54.389 --> 01:15:54.789]  Why not?
[01:15:55.570 --> 01:15:56.130]  You don't like us?
[01:15:57.014 --> 01:15:58.616]  How about you tell us why we're so bad?
[01:15:58.996 --> 01:16:00.258]  Not for InfoWars, why not?
[01:16:01.639 --> 01:16:02.700]  What's wrong with InfoWars?
[01:16:03.561 --> 01:16:04.923]  She called me a racist, did you hear that?
[01:16:06.144 --> 01:16:08.286]  I don't understand these people that walk by.
[01:16:08.306 --> 01:16:11.550]  They refuse to talk to me because my mic flag says InfoWars.
[01:16:11.590 --> 01:16:12.451]  She's yelling at me still.
[01:16:14.941 --> 01:16:18.664]  When I give them the platform, I say, OK, come on our platform and tell us why we're bad.
[01:16:18.744 --> 01:16:19.524]  They just walk away.
[01:16:19.584 --> 01:16:20.865]  So I guess we're really not that bad.
[01:16:20.925 --> 01:16:21.866]  They got nothing to say on that.
[01:16:22.266 --> 01:16:29.251]  So the little nitwit that just tried to come out here and power trip on me and boss me around, this is what you got to do to bullies.
[01:16:29.271 --> 01:16:31.713]  You just stand up to them, and they just cower.
[01:16:32.313 --> 01:16:34.514]  He tried to bring his manager out here to strong on me.
[01:16:34.615 --> 01:16:37.376]  And the manager's like, no, he's given us free publicity.
[01:16:37.416 --> 01:16:37.817]  It's fine.
[01:16:38.357 --> 01:16:40.038]  And that will continue to do our interviews.
[01:16:40.378 --> 01:16:40.979]  Thank you, Randalls.
[01:16:41.759 --> 01:16:43.761]  Do you trust the results of the election?
[01:16:44.261 --> 01:16:44.461]  No.
[01:16:44.942 --> 01:16:45.402]  Maybe.
[01:16:45.602 --> 01:16:46.062]  I don't know.
[01:16:46.342 --> 01:16:47.703]  Only if Trump wins, right?
[01:16:48.364 --> 01:16:49.164]  We'll see.
[01:16:49.644 --> 01:16:49.945]  I do.
[01:16:49.965 --> 01:16:53.507]  I mean, elections are run by districts.
[01:16:53.747 --> 01:16:56.469]  I mean, to do a nationwide rigging is the most ridiculous thing.
[01:16:56.509 --> 01:16:58.250]  Do you trust the results of the election?
[01:16:58.690 --> 01:16:58.910]  Yes.
[01:16:59.210 --> 01:17:00.511]  I don't question America's.
[01:17:01.192 --> 01:17:02.633]  We're one of the greatest democracies.
[01:17:03.013 --> 01:17:04.674]  So you're going to trust the election results?
[01:17:05.134 --> 01:17:06.715]  Absolutely, I'm a rational being.
[01:17:07.035 --> 01:17:07.695]  So, so wait.
[01:17:07.755 --> 01:17:12.017]  So you're telling me that you requested a record of your vote and they wouldn't give it to you?
[01:17:12.097 --> 01:17:13.518]  I requested a written ballot.
[01:17:14.498 --> 01:17:15.199]  And you got nothing?
[01:17:15.539 --> 01:17:15.999]  I got nothing.
[01:17:16.439 --> 01:17:17.620]  This is actually illegal.
[01:17:17.940 --> 01:17:21.681]  You should be able to get a paper record in the state of Texas if you request one.
[01:17:21.922 --> 01:17:26.444]  But this is why the election officials dodge David Knight when he asks them questions.
[01:17:27.084 --> 01:17:27.544]  Hi, Mr. Eagle?
[01:17:27.564 --> 01:17:27.664]  Yeah.
[01:17:27.724 --> 01:17:27.844]  Okay.
[01:17:29.205 --> 01:17:31.366]  Do you want to talk to us?
[01:17:33.378 --> 01:17:33.598]  Really?
[01:17:33.618 --> 01:17:34.719]  You don't want to talk to us at all?
[01:17:34.999 --> 01:17:36.641]  People are concerned the election is going to be rigged.
[01:17:36.721 --> 01:17:39.204]  I guess they're really going to be concerned when they see you turn your back on us.
[01:17:41.486 --> 01:17:41.686]  Yeah.
[01:17:41.966 --> 01:17:42.907]  Well, can I talk to him?
[01:17:43.208 --> 01:17:44.369]  Will anybody here talk to us?
[01:17:45.230 --> 01:17:46.091]  Or do you want to rig this?
[01:17:47.292 --> 01:17:49.754]  Why are you cutting off all these audit trails?
[01:17:49.774 --> 01:17:52.557]  Why are you cutting down the paper audit trails?
[01:17:53.258 --> 01:17:55.340]  So you don't think the Russians are meddling in the election?
[01:17:58.243 --> 01:17:59.583]  I think we need some more information.
[01:17:59.963 --> 01:18:01.564]  No, I don't think so.
[01:18:01.984 --> 01:18:02.984]  You think that's just made up?
[01:18:03.684 --> 01:18:04.404]  Yeah, I think so.
[01:18:05.124 --> 01:18:06.284]  And you're a Hillary Clinton voter?
[01:18:06.885 --> 01:18:07.425]  Yes, I am.
[01:18:07.745 --> 01:18:08.845]  So do you think Hillary made that up?
[01:18:09.645 --> 01:18:09.845]  No.
[01:18:10.065 --> 01:18:13.986]  So, but you trust it, but Russia might be meddling?
[01:18:14.006 --> 01:18:15.766]  I suspect that they might be.
[01:18:16.066 --> 01:18:17.546]  But you're still going to trust the results?
[01:18:19.287 --> 01:18:19.707]  Uh, yes.
[01:18:20.087 --> 01:18:21.967]  So you think- I think it's all possible.
[01:18:22.707 --> 01:18:25.888]  So it's possible the Russians may be meddling, but you're going to trust the results?
[01:18:26.687 --> 01:18:27.687]  I will trust the results.
[01:18:28.367 --> 01:18:29.508]  I'm voting Donald Trump.
[01:18:29.848 --> 01:18:30.808]  I'm voting Pence.
[01:18:31.808 --> 01:18:33.208]  Hillary needs to go to prison.
[01:18:35.229 --> 01:18:45.390]  Owen Schroer, our incredible reporter out there at the corner of Ben White and Manchaca, and that is probably the most liberal area of Austin.
[01:18:45.430 --> 01:18:53.432]  So, 40% or so were voting for Hillary and were horrified to see the racist info wars.
[01:18:54.770 --> 01:18:58.773]  We're so horrible, we're so racist, these people are in a total fantasy land.
[01:18:58.813 --> 01:19:06.979]  You notice the one lady said that her immorality was good because it was applied to good policies.
[01:19:08.100 --> 01:19:16.726]  So in justifies the means, we're going to do evil things because the end justifies the means to get our program through.
[01:19:19.465 --> 01:19:23.007]  Ladies and gentlemen, we are going to go to break and come back with our next guest.
[01:19:23.067 --> 01:19:26.729]  Please don't forget we have a limited edition shirt shipping out same-day order.
[01:19:27.330 --> 01:19:32.513]  That is TrumpIsMyPresidentInfoWars.com, a red shirt, so you can wear it when you go and vote.
[01:19:32.553 --> 01:19:34.594]  Turn it inside out, I guess if you have rules against that.
[01:19:35.935 --> 01:19:39.297]  And then wear it outside so that people can see the numbers.
[01:19:40.177 --> 01:19:41.698]  Whatever you do, wear a red shirt.
[01:19:41.718 --> 01:19:43.778]  This is really caught on around the country.
[01:19:44.559 --> 01:19:46.379]  You can save 60% off on those right now.
[01:19:46.419 --> 01:19:49.940]  They're $9.95 at InfowarsStore.com.
[01:19:50.421 --> 01:19:51.861]  We've got this one run and they're gone.
[01:19:51.921 --> 01:19:52.902]  Same thing with Hillary for President.
[01:19:52.922 --> 01:19:53.862]  That's gone after that.
[01:19:53.882 --> 01:19:56.583]  You have the original Infowars shirt.
[01:19:57.183 --> 01:19:59.604]  We'll be back straight ahead, 12 days out.
[01:20:00.064 --> 01:20:01.345]  T-minus 12 days.
[01:20:01.365 --> 01:20:05.466]  I'm gonna lay it out short and sweet.
[01:20:07.256 --> 01:20:12.940]  I got so dedicated to fighting the globalists and their program for world government that I stopped working out.
[01:20:13.641 --> 01:20:17.604]  I was a total fitness nut 20 years ago.
[01:20:18.484 --> 01:20:20.706]  About 15 years ago, I just stopped working out.
[01:20:20.806 --> 01:20:21.967]  I gained close to 100 pounds.
[01:20:22.627 --> 01:20:26.530]  I have lost 50, 60 pounds of fat, or more.
[01:20:26.590 --> 01:20:28.411]  I've gained 20 pounds of muscle.
[01:20:29.032 --> 01:20:33.975]  I'm stronger than I was when I was 22, when I could bench press close to 400 pounds and squat 600.
