[00:00:12.901 --> 00:00:14.126]  Ladies and gentlemen, we're live.
[01:06:17.829 --> 01:06:19.030]  I mean, there's some good stuff out there.
[01:06:19.190 --> 01:06:21.891]  This is just the very best we can bring you.
[01:06:21.911 --> 01:06:23.931]  And when you buy it, you support Infowars.
[01:06:24.191 --> 01:06:25.252]  You support the reporters.
[01:06:25.472 --> 01:06:26.232]  You support yourself.
[01:06:27.452 --> 01:06:35.576]  Tell folks about some of these other things that are in this, and why this is just this total complete package for your body.
[01:06:35.616 --> 01:06:47.041]  Because, again, we didn't put the synthetic amino acids, we didn't put the synthetic vitamins, we put the plant-based, high-quality, clean, natural ingredients into this.
[01:06:47.561 --> 01:06:48.161]  Yeah, exactly.
[01:06:48.201 --> 01:06:51.362]  So you've got your standard vitamins, vitamin C, vitamin E, the list goes on.
[01:06:51.442 --> 01:06:52.682]  A huge amount of vitamin C, by the way.
[01:06:52.702 --> 01:06:53.542]  Tell folks about that.
[01:06:53.562 --> 01:06:56.203]  Yeah, a thousand plus percent of your daily value, which is what you need.
[01:06:57.083 --> 01:06:59.704]  As the, you know, FDA guidelines, we all know about those.
[01:07:00.284 --> 01:07:06.646]  Zinc, magnesium, selenium, L-glutamine, each one of these you could go on for about 10 minutes about the benefits of these things.
[01:07:07.066 --> 01:07:10.266]  Alpha lipoic acid, folic acid, calcium, and the list goes on.
[01:07:10.707 --> 01:07:11.807]  34 other ones you can check out.
[01:07:12.007 --> 01:07:13.847]  Go to importerslife.com, the label's up there.
[01:07:14.367 --> 01:07:16.668]  You've got the entire ingredients list that you can
[01:07:17.068 --> 01:07:24.475]  Neurotically examined for yourself and just... By the way, look on the other side too, because we're showing people the minerals and things.
[01:07:24.515 --> 01:07:26.377]  Let's look at the vitamins right there, all it's got in there.
[01:07:26.397 --> 01:07:27.057]  I mean, it's amazing.
[01:07:27.098 --> 01:07:27.558]  Top left.
[01:07:27.578 --> 01:07:30.981]  Again, if you're radio listeners, InfoWars.com forward slash show.
[01:07:31.362 --> 01:07:34.304]  Vitamin A has 4,333% from beta carotene and what's the other source?
[01:07:34.364 --> 01:07:36.086]  I show this to all the best sources.
[01:07:39.525 --> 01:07:39.945]  Retinol.
[01:07:39.965 --> 01:07:44.449]  So you've also got your vitamin D at a thousand IU, which is a large dose actually.
[01:07:44.789 --> 01:07:45.170]  And you know what?
[01:07:45.270 --> 01:07:47.432]  Some people could say, well isn't this competing with the other products?
[01:07:47.652 --> 01:07:48.252]  Well yeah, you know what?
[01:07:48.272 --> 01:07:55.298]  We could be like some people and just take all the stuff that we sell also at Infowarslife.com and not put any of it, but then it wouldn't be a balanced formula and we're not gonna do that.
[01:07:55.598 --> 01:07:59.762]  And it might actually hurt us in the long run to put all the best stuff in here, but that's just the way we gotta do it.
[01:07:59.802 --> 01:08:01.163]  Because we can't start thinking like that.
[01:08:01.644 --> 01:08:02.504]  So get them today!
[01:08:02.564 --> 01:08:04.626]  Infowarslife.com or call toll free 888-253-3139.
[01:08:10.426 --> 01:08:18.429]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:08:48.853 --> 01:08:50.834]  I am truly overwhelmed right now, news-wise.
[01:08:51.074 --> 01:08:55.415]  I've covered a lot of it last hour, but I've probably got 90% I haven't gotten to, and I need to get to it.
[01:08:57.036 --> 01:09:03.838]  Earlier this morning, I was watching, like, an hour-long press conference with Donald Trump, giving a bunch of money to veterans groups.
[01:09:07.519 --> 01:09:11.040]  And they had the reporters just chewing him out.
[01:09:11.963 --> 01:09:15.624]  Bitching him out, demanding details of this or that or where the money came from.
[01:09:15.644 --> 01:09:18.204]  He's like, I'm having a press conference about giving veterans money.
[01:09:18.244 --> 01:09:18.944]  I'm not getting to that.
[01:09:19.545 --> 01:09:20.485]  You can look it up later.
[01:09:20.945 --> 01:09:25.186]  And they just turn everything into a controversy.
[01:09:28.266 --> 01:09:35.148]  And there's another Bill Maher clip where he has a hypnotist on to talk about how Donald Trump is hypnotizing people.
[01:09:36.368 --> 01:09:38.548]  And basically using neuro-linguistic programming.
[01:09:38.968 --> 01:09:41.109]  You know, I love how every wannabe
[01:09:42.091 --> 01:09:43.151]  Genius out there.
[01:09:45.232 --> 01:09:48.314]  Thinks that everyone is using Neuro Linguistic Programming.
[01:09:48.414 --> 01:09:49.814]  Neuro Linguistic Programming.
[01:09:50.474 --> 01:09:51.935]  People kept telling me I was doing it.
[01:09:52.655 --> 01:09:55.256]  And so I went and read a book about it like five years ago.
[01:09:55.336 --> 01:09:56.597]  I watched some videos about it.
[01:09:58.398 --> 01:10:00.418]  And it's mainly hype, okay?
[01:10:03.520 --> 01:10:09.362]  But people that are talented speakers are naturally going to do things that
[01:10:11.104 --> 01:10:21.167]  Political scientists and advertising scientists are going to codify into some type of language or nomenclature.
[01:10:24.748 --> 01:10:31.070]  But let me tell you what sells stuff is being genuine and being off-the-cuff and being real.
[01:10:32.611 --> 01:10:35.612]  Hillary does engage in neuro-linguistic programming.
[01:10:36.411 --> 01:10:42.015]  It's dumbed down, it's mindless, and it targets people that are already in a trance, basically.
[01:10:44.337 --> 01:10:56.705]  But it's the TV flicker rate, it's the fluoride in the water, it's the culture, it's the sedentary nature that prepares the ground for neuro-linguistic techniques to take hold.
[01:11:00.148 --> 01:11:04.811]  And if you want to dumb down neuro-linguistic programming, or the voice, as Frank Herbert would call it,
[01:11:07.031 --> 01:11:12.793]  You would play the clip, the famous clip from episode four Star Wars.
[01:11:16.194 --> 01:11:17.254]  How long you have these droids?
[01:11:17.274 --> 01:11:19.895]  I don't know, three or four seasons.
[01:11:20.195 --> 01:11:21.756]  These aren't the droids you're looking for.
[01:11:22.716 --> 01:11:23.437]  You can move along.
[01:11:23.837 --> 01:11:24.977]  These aren't the droids we're looking for.
[01:11:25.057 --> 01:11:25.697]  You can move along.
[01:11:28.118 --> 01:11:29.799]  That's an exaggerated example of that.
[01:11:32.019 --> 01:11:33.300]  So when you listen to NPR,
[01:11:34.537 --> 01:11:50.503]  That is a project of the Rockefeller and Annenberg project of the Defense Department, and the whole thing is about making you think you're intellectual, controlling the left, and putting them in a sedate, calm, tranced fashion.
[01:11:52.104 --> 01:11:56.626]  I have been told by NPR, when I've been on multiple national interviews,
[01:11:59.212 --> 01:12:01.114]  Later they call back and go, oh, we're not airing your interview.
[01:12:01.134 --> 01:12:04.276]  They said your voice was too aggressive and too raspy and too upsetting.
[01:12:04.877 --> 01:12:06.218]  Too awakening.
[01:12:07.078 --> 01:12:08.459]  Too awakening.
[01:12:08.479 --> 01:12:09.740]  They didn't use that word.
[01:12:09.761 --> 01:12:10.941]  They said, it's too upsetting.
[01:12:12.483 --> 01:12:16.326]  And they'd ask me, can you just calm down and just slow down?
[01:12:16.646 --> 01:12:22.651]  Because with them, it was all about, that project is about capturing people.
[01:12:22.671 --> 01:12:23.812]  Everything is calm.
[01:12:23.832 --> 01:12:25.913]  Everything is good.
[01:12:29.628 --> 01:12:33.511]  I don't know why Donald Trump acts like that.
[01:12:33.531 --> 01:12:38.254]  I don't know why he doesn't like women.
[01:12:39.975 --> 01:12:44.498]  All I do know is, we're going to win.
[01:12:44.518 --> 01:12:46.659]  That's Hillary Clinton.
[01:12:51.162 --> 01:12:56.306]  And Obama is clearly trained in a cadence and trying to, it's fake.
[01:12:57.438 --> 01:13:00.240]  It isn't as powerful as taking the gloves off, real deal.
[01:13:01.261 --> 01:13:03.703]  Sometimes I'm gibbering a hundred miles an hour, sometimes I'm talking slow.
[01:13:03.743 --> 01:13:15.191]  It's what I'm feeling, what I'm thinking, and your subconscious mind is a thousand times more sophisticated and is able to read what's genuine versus what's fake.
[01:13:16.292 --> 01:13:20.855]  But these people are sociopaths and psychopaths and they're so ungenuine.
[01:13:22.344 --> 01:13:26.547]  So disingenuous that you study sociopaths and psychopaths because they're not real.
[01:13:27.007 --> 01:13:29.109]  They're like, I've got a little puppy, kid, get in the car.
[01:13:29.289 --> 01:13:31.490]  They're all about smiley and dressing non-threatening.
[01:13:31.510 --> 01:13:33.311]  Oh, hi, I brought you some presents.
[01:13:33.692 --> 01:13:34.752]  Oh, hi, we're friends.
[01:13:35.033 --> 01:13:37.854]  I've always learned now when a sociopath is around, they do all this.
[01:13:38.075 --> 01:13:41.937]  Oh, but you look, you can tell it's fake and it's overdone.
[01:13:41.957 --> 01:13:51.924]  And they come and they bring you gifts and they do, you know, internet videos with, you know, with Muppets, how they're friendly and how they're nice and how they're here to help.
[01:13:53.297 --> 01:13:58.041]  Because they don't know how to be real, so they're trying to study how to be genuine.
[01:13:58.861 --> 01:14:05.466]  And then folks see something genuine and they say, well that looks like neuro-linguistic programming to me, and that's just because you haven't been around anything genuine.
[01:14:06.347 --> 01:14:08.268]  Or you get around the general public who's, huh?
[01:14:08.668 --> 01:14:09.449]  You know how to talk?
[01:14:09.749 --> 01:14:10.770]  Whatever.
[01:14:10.790 --> 01:14:11.710]  I don't care.
[01:14:11.750 --> 01:14:12.471]  Nobody hates me.
[01:14:12.771 --> 01:14:13.852]  I'm on world.
[01:14:16.243 --> 01:14:22.448]  So much the public is so beaten down they just want to get their own little clique with a few people under them so they can be the boss and so they can have the power.
[01:14:22.468 --> 01:14:23.869]  Because they don't have the power.
[01:14:25.230 --> 01:14:35.178]  The whole world was built so they never had rites of passage, never had rituals, never had ways to ascend to feminine power, male power.
[01:14:38.075 --> 01:14:50.296]  I mean, you take people, you put them through trials and tribulations, and you put them through cultural rituals that are natural and wholesome, I can take the weakest person today, and you take them at birth and put them through a real ritual, they'll be an incredible person.
[01:14:51.360 --> 01:14:52.641]  But you've got to have ritual.
[01:14:52.661 --> 01:14:55.041]  You're not going to hear this in any book, folks, by the way.
[01:14:55.882 --> 01:14:56.342]  I know this.
[01:14:56.402 --> 01:14:56.962]  I've experienced it.
[01:14:56.982 --> 01:14:58.003]  You have to have ritual.
[01:14:58.043 --> 01:15:05.766]  You have to have trials of passage to activate the race memories, the race consciousness, and to activate the sixth sense.
[01:15:06.206 --> 01:15:14.589]  And by the way, down at UT Psychology Department, that's all they work on, is the intuitive and the innate and the sixth sense.
[01:15:14.629 --> 01:15:15.110]  They know it.
[01:15:15.330 --> 01:15:16.110]  They're obsessed with it.
[01:15:16.410 --> 01:15:20.832]  And they're just busy trying to keep everybody else in programmed mob psychology.
[01:15:23.757 --> 01:15:27.239]  And controlled.
[01:15:27.399 --> 01:15:28.840]  They know that people are psychic.
[01:15:29.180 --> 01:15:29.921]  They know it, folks.
[01:15:30.221 --> 01:15:31.042]  It's all been proven.
[01:15:32.623 --> 01:15:36.825]  Now, they'll put out con artists on TV, you know, with a Caribbean accent.
[01:15:36.865 --> 01:15:39.827]  They're telling you that, you know, you call in and I will tell you your future.
[01:15:39.847 --> 01:15:41.448]  They'll just tell you some great future.
[01:15:41.688 --> 01:15:42.569]  That's all a bunch of hype.
[01:15:42.689 --> 01:15:45.271]  And that's taking things that people in Aintley know are there.
[01:15:46.451 --> 01:15:53.749]  And then lying about it and claiming that this person has 50 times the innate power that, let's say, a person that's powerfully intuitive would have.
[01:16:00.066 --> 01:16:00.807]  Here's what I'm getting at.
[01:16:01.487 --> 01:16:02.488]  To the so-called elite.
[01:16:02.608 --> 01:16:03.769]  You're going to destroy everybody.
[01:16:03.789 --> 01:16:04.990]  You're going to destroy the planet.
[01:16:05.210 --> 01:16:06.471]  Where you're going won't work.
[01:16:06.671 --> 01:16:08.593]  You're not going to merge with machines and become gods.
[01:16:08.873 --> 01:16:10.434]  Get off your crazy power trips.
[01:16:11.074 --> 01:16:13.857]  You have really got to transcend this for yourself to transcend.
[01:16:14.057 --> 01:16:16.599]  You are not going to dumb everybody down and go to the next level.
