[00:00:00.149 --> 00:00:04.870]  Ted Cruz coming out and saying that the people that attacked the Capitol were terrorists.
[01:10:01.568 --> 01:10:02.409]  Now it's going on.
[01:10:03.570 --> 01:10:08.394]  And only a full understanding of this and a revelation of how the globalist operation can turn this around.
[01:10:08.814 --> 01:10:09.915]  Half measures won't do it.
[01:10:10.655 --> 01:10:12.237]  Eating around the edges of it won't do it.
[01:10:13.090 --> 01:10:17.091]  Ted Cruz and Trump and Senator Paul and all them are doing.
[01:10:17.871 --> 01:10:19.152]  So here's some of the articles I mentioned.
[01:10:19.172 --> 01:10:20.152]  Here's the London Telegraph.
[01:10:20.912 --> 01:10:23.653]  And again, it's all about, oh, they wanted to spray it in China.
[01:10:24.473 --> 01:10:25.033]  What was it?
[01:10:25.213 --> 01:10:26.533]  A nanotech particle.
[01:10:26.873 --> 01:10:28.634]  Synthetic replicating virus.
[01:10:31.514 --> 01:10:35.155]  Luhan scientists plan to release coronavirus particles into bat caves.
[01:10:35.495 --> 01:10:36.596]  Leaked papers reveal.
[01:10:36.856 --> 01:10:37.576]  London Telegraph.
[01:10:38.866 --> 01:10:45.591]  Wuhan scientists plan to release chimeric COVID spike proteins into bat populations using skin-penetrating nanoparticles.
[01:10:46.892 --> 01:10:51.876]  Recent advances in graphene-based hybrids with magnetic nanoparticles for biomedical applications.
[01:10:53.177 --> 01:10:58.501]  And when you read how they replicate the spike protein, it grows like a crystal.
[01:10:59.742 --> 01:11:04.746]  Just like the crystals in transistor radios, just like the crystals in the silicon system.
[01:11:06.927 --> 01:11:10.688]  mRNA vaccine delivery using lipid nanoparticles.
[01:11:10.748 --> 01:11:12.588]  Here's all the patents on it from PubMed.
[01:11:13.088 --> 01:11:14.808]  This is what's going on.
[01:11:15.429 --> 01:11:17.069]  This is what's unfolding.
[01:11:17.509 --> 01:11:23.250]  This is what we have been collectively hammered and hit with at every level.
[01:11:25.630 --> 01:11:31.011]  Now I want to play a very important clip coming up here in a few minutes of Robert Kennedy Jr.
[01:11:31.131 --> 01:11:34.132]  explains why Fauci is going after children.
[01:11:35.396 --> 01:11:40.801]  And what he says is on record and totally true and is a huge evil war crime and scandal in and of itself.
[01:11:40.881 --> 01:11:42.643]  But that's only one level.
[01:11:43.123 --> 01:11:44.184]  This is not about money.
[01:11:44.425 --> 01:11:48.809]  Yeah, the drug reps and the company heads, the people following the directives, it's all about money.
[01:11:49.129 --> 01:11:58.858]  But for the groups above it, it's about sterilization, depopulation, playing God and engaging in mad scientist behavior where they say they want to merge with Silicon and become gods.
[01:11:59.319 --> 01:12:12.051]   Well, the only way to do that Is to give enough people these shots and then test what's happening and see what genetic lines are able to merge with this and what immortal cell lines can be merged with this.
[01:12:12.071 --> 01:12:24.334]  So they want to merge biological immortal cell lines with a human synthesis that is able to merge with these nanotech synthetic matrices.
[01:12:24.874 --> 01:12:25.934]  And then they admit all this.
[01:12:26.710 --> 01:12:28.112]  I mean, I mentioned some of this earlier.
[01:12:28.412 --> 01:12:30.795]  Look how they spend the people that are behind it as the saviors.
[01:12:31.496 --> 01:12:32.577]  Oh, look, the Davos Group.
[01:12:33.018 --> 01:12:34.420]  Technology will enslave you.
[01:12:34.480 --> 01:12:36.102]  Global elites will save you.
[01:12:36.122 --> 01:12:37.063]  60 minutes.
[01:12:37.804 --> 01:12:39.826]  Human history will end when we become gods.
[01:12:40.087 --> 01:12:41.548]  Oh, there's not room for a lot of gods, though.
[01:12:41.989 --> 01:12:42.810]  It goes on from there.
[01:12:43.010 --> 01:12:43.931]  Here's Robert Kennedy, Jr.
[01:12:44.172 --> 01:12:45.033]  knocking it out of the park.
[01:12:46.001 --> 01:12:53.047]  Okay, so what are your views on giving this COVID vaccine that they've made to kids?
[01:12:53.387 --> 01:12:58.591]  I know I'm from Canada and I think that they're implementing that in order to go to school in Canada.
[01:13:00.193 --> 01:13:03.896]  Well, they have to give it to kids because here's why.
[01:13:06.138 --> 01:13:10.201]  They cannot market this vaccine without having immunity shield.
[01:13:11.448 --> 01:13:14.710]  Oh, I mean, I sue pharmaceutical companies for a living.
[01:13:15.770 --> 01:13:20.713]  And I have enough criminal activity that I know about Pfizer at this point and Moderna.
[01:13:22.053 --> 01:13:32.458]  If they went ahead and marketed a vaccine where they end up killing people or injuring them, and I can sue them, they'd be thrilled.
[01:13:32.859 --> 01:13:42.125]   So they're never going to market a vaccine, allow people access to a vaccine, an approved vaccine, Without getting liability protection.
[01:13:42.185 --> 01:13:51.493]  Now the emergency use authorization vaccines have liability protection under the PrEP Act and the CARES Act.
[01:13:51.713 --> 01:13:55.817]  So as long as you take an emergency use, you can't sue them.
[01:13:57.218 --> 01:14:00.341]  Once they get approved, now you can sue them.
[01:14:01.241 --> 01:14:05.096]   Unless They can get it recommended for children.
[01:14:05.916 --> 01:14:06.256]  What?
[01:14:06.416 --> 01:14:15.598]  Because all vaccines that are officially recommended for children get liability protection, even if an adult gets that vaccine.
[01:14:16.539 --> 01:14:18.279]  That's why they're going after kids.
[01:14:18.559 --> 01:14:25.641]  They know this is going to kill and injure a huge number of children, but they need to do it for the liability protection.
[01:14:25.781 --> 01:14:28.322]  And here's how they know that it's going to injure kids.
[01:14:30.594 --> 01:14:36.137]  During the Pfizer study, they only tested it on 1,300 children.
[01:14:37.218 --> 01:14:41.100]  And one of those we now know was a girl called Maddie Gary.
[01:14:42.041 --> 01:14:49.125]  We only know about this because she and her family came forward and told us what happened.
[01:14:50.205 --> 01:14:51.906]  Maddie Gary got the vaccine.
[01:14:51.966 --> 01:14:53.787]  She immediately went into seizures.
[01:14:54.007 --> 01:14:58.850]  She is now in a wheelchair for life, and she needs a feeding tube to eat.
[01:15:00.632 --> 01:15:11.540]  Oh, Pfizer, you know, because Pfizer only tested on 1,300 kids, it is stuck with the extrapolation.
[01:15:13.061 --> 01:15:16.864]  One out of every 1,300 kids is going to be injured like that.
[01:15:17.445 --> 01:15:19.006]  An injury worse than death.
[01:15:20.407 --> 01:15:22.308]  Pfizer did not report her injury.
[01:15:23.049 --> 01:15:25.431]  Instead, it said she had a stomach ache.
[01:15:26.051 --> 01:15:28.713]  So that's what they reported to the FDA.
[01:15:29.052 --> 01:15:31.052]  They lied.
[01:15:31.052 --> 01:15:36.052]  [Music]
[01:15:36.052 --> 01:15:40.052]   And it's time for humanity to stand up in the end for war and say,
[01:15:40.052 --> 01:15:46.052]   "I don't know what's going to happen at the end of this, but you want to fight, you better believe you've got one!"
[01:15:46.052 --> 01:15:47.052]  [Cheering]
[01:15:47.407 --> 01:15:53.007]   From the front lines of the information war, it's Alex Jones.
[01:15:53.007 --> 01:16:17.007]  [Music]
[01:16:17.007 --> 01:16:24.007]   There isn't a tyrant alive or dead who has any love or respect for individual rights.
[01:16:24.199 --> 01:16:36.407]  So when Americans are confused as to why their own government would ever try to harm them, they either don't understand the nature of evil or they don't grasp how priceless the Bill of Rights actually are.
[01:16:37.147 --> 01:16:41.610]  They are the bane of the globalist tyrants who seek to control all of humanity.
[01:16:42.650 --> 01:16:52.714]  We could trace this conspiracy of tyrants all the way back to the 18th century, but we'll begin with the year that gave birth to the Federal Reserve Bank and Big Pharma.
[01:16:53.594 --> 01:17:08.420]  In 1910, the Carnegie Foundation published the Flexner Report, which directly led to the shutting down of natural traditional medicine and gave way for the Rockefellers to patent and monopolize the medicine industry.
[01:17:09.660 --> 01:17:16.388]  That same year, Rothschild banking dynasty's Paul Warburg, along with high-ranking members of U.S.
[01:17:16.448 --> 01:17:25.157]  banking and government, met in secret to hatch a plan that would financially rob every single American citizen for generations to come.
[01:17:26.379 --> 01:17:30.124]  Fractional Reserve Banking was considered a scam for centuries.
[01:17:31.085 --> 01:17:35.031]  This changed in 1913 with the Federal Reserve Banking System.
[01:17:35.992 --> 01:17:40.519]  Fractional Reserve Banking became the norm, regulated by the Fed.
[01:17:41.600 --> 01:17:45.282]  The Federal Reserve was also given the task of managing the U.S.
[01:17:45.342 --> 01:17:54.325]  debt, otherwise known as inflation, the hidden tax where the Fed gets to bail out members of their criminal cabal while everyone else suffers.
[01:17:55.265 --> 01:18:08.871]  Meanwhile, their families created their own interest-free banks, utilizing what's known as a whole life insurance policy and family trusts, keeping their own wealth safely out of the Federal Reserve System.
[01:18:09.711 --> 01:18:15.782]  A banking system that gave this cabal unlimited funds to wage war against all of humanity.
[01:18:18.181 --> 01:18:42.207]  In 1921, after years of meeting in secret, the Roundtable Movement, a group that sought to reunify America with the crown, and the Harvard Business School merged factions to become the Council on Foreign Relations, a think tank allowing bankers and industrialists the opportunity to engineer government policy and discreetly undermine American democracy.
[01:18:43.607 --> 01:18:49.769]  In 1942, the OSS was formed by the Cabal as an intelligence agency to fight the war.
[01:18:50.629 --> 01:19:03.772]  OSS member Alan Dulles went on to help create the CIA in 1947, who immediately began seizing control of the worldwide illicit drug market, starting with the heroin trade in Sicily.
[01:19:04.513 --> 01:19:07.013]  The CIA's reputation speaks for itself.
[01:19:07.553 --> 01:19:09.474]  They are the world's biggest drug cartel.
[01:19:10.214 --> 01:19:15.297]  Overthrower of nations and purveyors of propaganda and MKUltra.
[01:19:16.038 --> 01:19:21.621]  The globalist cabal has these intelligence groups in all of their nations with no oversight.
[01:19:22.202 --> 01:19:25.244]  Using them as a secret army to carry out their agenda.
[01:19:26.565 --> 01:19:36.694]  In 1944, the World Bank and the International Monetary Fund were created under the guise of fostering global growth, followed by the United Nations in 1945.
[01:19:38.076 --> 01:19:43.020]  What they actually did was work together to violently seize control of entire nations.
[01:19:43.721 --> 01:19:51.027]   The World Bank trained people known as economic hitmen, To make a simple offer to world leaders on their behalf.
[01:19:51.627 --> 01:19:56.690]  Either accept a massive loan designed to bankrupt their nation, or be killed.
[01:19:57.811 --> 01:19:58.552]  And many were.
[01:19:59.452 --> 01:20:00.493]  The game is simple.
[01:20:01.153 --> 01:20:02.254]  Conquer by debt.
[01:20:02.774 --> 01:20:06.116]  The Federal Reserve banking system does it to every individual.
[01:20:06.596 --> 01:20:09.558]  And the World Bank and IMF do it to every nation.
[01:20:10.419 --> 01:20:15.202]  Once indebted to these crooked institutions, they lose control over their own destiny.
[01:20:16.322 --> 01:20:20.886]  The only difference between the Mafia and this globalist cabal is scale.
[01:20:22.027 --> 01:20:27.512]  Starting in 1951, Henry Kissinger founded and directed the Harvard International Seminar.
[01:20:28.013 --> 01:20:41.745]  Funded by Kissinger through grants from private foundations known to be fronts for the CIA, the Harvard International Seminar was yet another group of globalist leaders coming together to discuss the future of a one-world government.
