[00:00:00.290 --> 00:00:00.791]  It's here.
[01:10:26.443 --> 01:10:32.348]  All right, ladies and gentlemen, we're going to come back with your phone calls on the global gun grab run by the WEF and how to stop it.
[01:10:32.668 --> 01:10:34.349]  Got a bunch of Canadian callers and others.
[01:10:34.369 --> 01:10:37.272]  It's Trudeau, the dictator, announces he's coming for the guns.
[01:10:38.493 --> 01:10:39.714]  Newswars.com.
[01:10:39.774 --> 01:10:40.274]  Check it out.
[01:10:40.414 --> 01:10:41.455]  Newswars.com.
[01:10:42.215 --> 01:10:45.118]  All right, we got loaded phone lines, a bunch of them from Canada.
[01:10:45.778 --> 01:10:51.183]  We're going to be going to David, Craig, Jay, and others here in just a minute or so.
[01:10:52.543 --> 01:10:55.285]  I want to thank the listeners for their tireless support in this fight.
[01:10:55.365 --> 01:10:56.326]  It certainly paid off.
[01:10:56.366 --> 01:11:10.977]  We are the recognized number one thorn in the side of the globalists and inspiring people like Bolsonaro and of course Nigel Farage and Donald Trump and Victor Orban and so many others.
[01:11:11.798 --> 01:11:14.500]  Have all acknowledged InfoWars being critical.
[01:11:14.701 --> 01:11:15.761]  So is Tucker Carlson.
[01:11:16.242 --> 01:11:17.083]  So is Joe Rogan.
[01:11:17.243 --> 01:11:19.845]  But you have been the most critical part of that.
[01:11:20.005 --> 01:11:24.349]  And we fund ourselves not with globalist money, but with viewers and listeners like you.
[01:11:24.389 --> 01:11:25.369]  Plus, we have great products.
[01:11:25.730 --> 01:11:27.591]  We have the biggest sale of the year running right now.
[01:11:27.691 --> 01:11:29.473]  It's the Memorial Day Special.
[01:11:29.853 --> 01:11:42.202]   Up to 60% off and double Patriot points on Alpha Power, Brain Force Ultra, Vitamin D3 gummies, Ultimate Fish Oil, Ultimate Grill Oil, Immune Support, Whole Food Multivitamin, All the Dr. Jones Naturals are massively discounted.
[01:11:42.622 --> 01:11:46.264]  Cabochill, Top Brain, Rocket Rest, all t-shirts at cost.
[01:11:46.664 --> 01:11:48.485]  Almost sold out of all those limited editions.
[01:11:49.125 --> 01:11:50.706]  Infowarstore.com.
[01:11:51.066 --> 01:11:52.146]  Please take action now.
[01:11:52.747 --> 01:11:54.007]  This is a 360 win.
[01:11:54.828 --> 01:11:55.488]  And then finally...
[01:11:57.284 --> 01:12:00.365]  We have the third and final coin in the founding members set.
[01:12:01.125 --> 01:12:02.766]  You will get exclusive access.
[01:12:02.826 --> 01:12:05.027]  You will get all sorts of freebies and things.
[01:12:05.467 --> 01:12:06.768]  In the next phase, we're launching.
[01:12:06.848 --> 01:12:08.688]  If we're able to stay on air, it looks like we will be able to.
[01:12:09.028 --> 01:12:11.689]  But regardless, you'll know you've been hardcore in the fight.
[01:12:11.769 --> 01:12:12.810]  It's a key fundraiser.
[01:12:13.330 --> 01:12:15.791]  It's the third and final coin, the Second Amendment coin.
[01:12:15.811 --> 01:12:16.951]  It just so happened to come out.
[01:12:17.412 --> 01:12:21.353]  We planned it six months ago, got minute a month ago, got delivered last Monday.
[01:12:22.433 --> 01:12:23.514]  So it's available.
[01:12:24.094 --> 01:12:33.741]  Exclusively at 1776coin.com or there's a big banner at the top of InfoWareStore.com or go to PatriotCollectibles.com.
[01:12:34.361 --> 01:12:41.026]  The third and final coin in the series, I would get yours while they're still there and I want to thank you all for your support.
[01:12:41.066 --> 01:12:45.049]  We've also had a lot of requests to get the first coin and the second coin in the series.
[01:12:45.629 --> 01:12:46.630]  We can't do that.
[01:12:47.651 --> 01:12:49.192]  These are collector's items.
[01:12:49.612 --> 01:12:52.154]  Many of them are selling for three, four times what they were previously.
[01:12:53.370 --> 01:12:54.211]  They're exclusive.
[01:12:55.593 --> 01:12:57.715]  You'll be getting contacted via the email you leave.
[01:12:57.815 --> 01:12:58.936]  Some of you didn't even do that.
[01:12:59.217 --> 01:13:01.740]  You should hit us if you did by the coin.
[01:13:03.081 --> 01:13:06.685]  So what I'm saying to you is the coins are gone.
[01:13:07.046 --> 01:13:11.972]  Except we have 72 of the first two coins.
[01:13:13.339 --> 01:13:16.441]  We actually have 76 and 72, but we've got to sell them a set.
[01:13:16.881 --> 01:13:24.747]  So next week, there'll be a limited offering of all three coins together, and then they're all completely gone, except for two or three I kept for myself.
[01:13:24.807 --> 01:13:29.130]  So they will 100% be sold out next week in the three-coin set.
[01:13:29.150 --> 01:13:32.812]  We're waiting until we get down to 72 coins here.
[01:13:32.832 --> 01:13:37.716]  And we're almost 70% sold out of the Molon Lambe Freeman Bear Arms coin at 1776coin.com.
[01:13:41.849 --> 01:13:45.311]  Or you can call toll-free 888-253-3139.
[01:13:45.471 --> 01:13:45.791]  Okay.
[01:13:46.592 --> 01:13:53.696]  Thanks for keeping the First Amendment on the air, fighting for people's freedoms worldwide, and inspiring liberty on a planetary scale.
[01:13:54.436 --> 01:13:58.839]  Let's go to the callers, the order they received from Canada.
[01:13:59.259 --> 01:14:06.543]  Craig in Canada, under siege, with Trudeau's giant gun ban announcement, which will follow with confiscation.
[01:14:06.623 --> 01:14:07.424]  It's the same formula.
[01:14:07.704 --> 01:14:09.085]  Craig, what's your view on the situation?
[01:14:10.580 --> 01:14:11.681]  Hey Alex, how's it going?
[01:14:11.821 --> 01:14:19.385]  So, uh, back in last November, I actually went to go get my PAL license to go take the safety courses and whatnot.
[01:14:19.945 --> 01:14:29.690]  And while I was there, the instructors advised all of us, they're like, you should get your R-PAL right now at the same time, because in a few months, Justin Trudeau is planning to take all this away.
[01:14:30.611 --> 01:14:32.312]  And now it's happening.
[01:14:32.412 --> 01:14:36.194]  So they were basically right, and it was coming to an end.
[01:14:37.712 --> 01:14:41.712]   Everyone needs to stand up and do what we gotta do, whatever that is.
[01:14:41.712 --> 01:14:44.212]  And they always do it in increments.
[01:14:44.212 --> 01:14:49.412]   Well, he banned free speech, he held people that led the peaceful protest without bail,
[01:14:49.412 --> 01:14:50.952]  he said he wants to be a dictator.
[01:14:50.952 --> 01:14:53.792]  Obviously the evidence showed he stole the last election.
[01:14:53.792 --> 01:14:56.992]   He's insanely unpopular, he's barely still controlled parliament.
[01:14:56.992 --> 01:14:59.353]  Again, he lost the election American style.
[01:14:59.689 --> 01:15:01.491]  He didn't get 50% of the vote, but he got like 30.
[01:15:01.912 --> 01:15:03.813]  His party is almost out of power.
[01:15:03.913 --> 01:15:06.596]  It was a referendum against him, but a lot of fraud came out.
[01:15:07.057 --> 01:15:13.463]  So you need to beat the drum to recall him and have him removed and have another emergency snap election.
[01:15:13.923 --> 01:15:14.844]  That is the answer.
[01:15:14.864 --> 01:15:15.585]  What do you think, Craig?
[01:15:16.621 --> 01:15:18.963]  Well, he can't even go around and campaign.
[01:15:19.484 --> 01:15:20.225]  He's too scared.
[01:15:20.265 --> 01:15:21.526]  He gets everywhere he goes.
[01:15:21.586 --> 01:15:28.493]  He goes to these like thousand dollar plate dinners and he has to walk away because there's too many people standing outside that don't want him there.
[01:15:29.133 --> 01:15:29.473]  That's right.
[01:15:29.493 --> 01:15:31.656]  He's chased around and yelled at and screamed at everywhere.
[01:15:31.696 --> 01:15:35.039]  What really freaks out the left is half the folks aren't white yelling at him.
[01:15:35.479 --> 01:15:37.882]  So they try to say, oh, white supremacists don't like Trudeau.
[01:15:37.942 --> 01:15:39.063]  No, everybody hates him.
[01:15:40.151 --> 01:15:46.073]  Exactly, all you gotta do is look at the footage that Rebel News and stuff puts out, and it's people from all over the place.
[01:15:46.113 --> 01:15:51.616]  Like, I'm up in Northern Alberta, and you can't find a Trudeau supporter anywhere you go.
[01:15:52.456 --> 01:15:53.296]  God bless you, Craig.
[01:15:54.777 --> 01:15:59.439]  That's what dictators do, because they're unpopular, they try to disarm their slaves while they have taxpayers pay for their protection.
[01:15:59.879 --> 01:16:01.660]  Jay in Canada, then David in Canada.
[01:16:01.960 --> 01:16:02.540]  Jay, welcome.
[01:16:03.620 --> 01:16:04.721]  Hi, how are you doing, Alex?
[01:16:04.761 --> 01:16:05.081]  Good, sir.
[01:16:06.452 --> 01:16:13.456]  I just wanted to call in a war in America, what can happen when a liberal dictator is in power and how much of a hypocrite he is.
[01:16:13.677 --> 01:16:16.618]  So basically, you know, he's taking away the guns from Canadians.
[01:16:17.139 --> 01:16:21.902]  But yet again, he gets rid of mandatory minimum for gun offenses.
[01:16:22.682 --> 01:16:30.907]  So basically, you can go rob someone with a gun and get out in a year instead of, for instance, a mandatory minimum as in like five years.
[01:16:31.707 --> 01:16:35.890]  So what he does, everything he does is just a hypocrisy.
[01:16:36.405 --> 01:16:39.486]  Oh, it's always to increase crime, to terrorize the public, and accepting gun control.
[01:16:39.506 --> 01:16:40.626]  It's the same worldwide formula.
[01:16:40.926 --> 01:16:47.447]  Meanwhile, he goes to Ukraine and says, hand everybody AK-47s with your taxpayer money and M-16s, but you can't have a gun.
[01:16:47.527 --> 01:16:48.247]  It's ridiculous.
[01:16:48.987 --> 01:17:07.219]   Yeah, and, you know, what's even worse is we got even, you know, there's so much far less politics in our government, and we even had Jagmeet Singh, the leader of the NDP party, propose a plan to get rid of our Canadian Armed Forces, to utilize that money for more socialized Program.
[01:17:07.819 --> 01:17:13.764]  So this is what I mean when you have dictators running your country that, you know, they don't have the national interest for Canadians.
[01:17:14.104 --> 01:17:22.872]  Your own military came out earlier this year and said they leaked a document that Trudeau was putting Chinese spies all in charge of the Canadian military.
[01:17:23.432 --> 01:17:25.454]  They were flying in our Air Force.
[01:17:26.114 --> 01:17:28.316]  It is unbelievable what this guy does.
[01:17:28.376 --> 01:17:29.637]  I don't know his way of thinking.
[01:17:29.677 --> 01:17:30.878]  Canadians are strong.
[01:17:31.379 --> 01:17:32.700]  We are strong-willed people.
[01:17:33.160 --> 01:17:34.101]  We love Americans.
[01:17:34.590 --> 01:17:38.029]  And you know what he's doing to this country is very sad.
[01:17:38.029 --> 01:17:42.670]   And you know what, I hope Canadians wake up, but the problem is, I'm not just trying to
[01:17:42.670 --> 01:17:44.750]  face it, but it's mass migration too.
[01:17:44.750 --> 01:17:48.989]   Half the people that are, more than half the people that are coming into the country don't
[01:17:48.989 --> 01:17:49.989]  care about politics.
[01:17:49.989 --> 01:17:52.429]  They vote for the person that's helping them out.
[01:17:52.429 --> 01:17:54.750]  And this is what's leading us down this road.
[01:17:55.685 --> 01:17:56.026]  That's right.
[01:17:56.046 --> 01:18:05.252]  We don't hate the people being brought in as refugees from the New World Order, but they are being kept in control as a new permanent underclass to outvote the indigenous populations and take your liberties.
[01:18:05.432 --> 01:18:06.232]  Absolutely right.
[01:18:06.272 --> 01:18:07.093]  Great points, Jay.
[01:18:07.573 --> 01:18:08.754]  David in Canada.
[01:18:08.994 --> 01:18:09.815]  David, you're on the air.
[01:18:11.236 --> 01:18:11.756]  Hey, Jones.
[01:18:11.796 --> 01:18:12.857]  Such a pleasure to speak to you.
[01:18:12.977 --> 01:18:13.877]  Longtime listener.
[01:18:14.938 --> 01:18:18.040]  I've been listening to you since probably about 2008 after the housing bubble.
[01:18:18.618 --> 01:18:20.899]  Well, I took a lot of points from you then.
[01:18:21.519 --> 01:18:22.639]  Made a lot of preparations.
[01:18:23.660 --> 01:18:28.861]  Took a bit of a hiatus for a few years and came back in 2020 when everything kind of hit the fan there.
[01:18:29.761 --> 01:18:40.485]  With regards to Canadian gun confiscation and all that, despite popular American opinion, there's probably about a million gun owners in Canada and at least 100,000 AR-15s.
