[00:00:00.149 --> 00:00:00.549]  It's on.
[01:06:30.188 --> 01:06:38.550]  That means you and I are hindering this Antichrist spirit government from taking over our nation.
[01:06:38.950 --> 01:06:43.211]  Because we know that if America falls, the rest of the world falls.
[01:06:43.311 --> 01:06:48.932]  And how obvious, to interrupt Pastor, you're on target here, is that they've attacked churches not just here but worldwide during these lockdowns.
[01:06:48.992 --> 01:06:50.713]  It shows they fear the brethren.
[01:06:50.733 --> 01:06:51.813]  Talk about multiculturalism.
[01:06:52.133 --> 01:06:56.014]  Your church is the example of love and coming together and what they fear.
[01:06:58.117 --> 01:06:59.158]  27 different nationalities.
[01:06:59.198 --> 01:07:02.960]  They hate that because they win through division and conquering.
[01:07:03.340 --> 01:07:05.001]  But we have perfect unity.
[01:07:05.061 --> 01:07:10.344]  Behold how good and how pleasant it is for Brethren to dwell together in unity.
[01:07:10.564 --> 01:07:14.246]  That's why they want it as six feet apart, because they don't want us together.
[01:07:14.507 --> 01:07:16.908]  That's why they want it as muzzled and masked.
[01:07:17.403 --> 01:07:27.027]  Because the first thing they did in these Western movies when they hung someone was that they covered their face so they become an inanimate object and they dehumanize them.
[01:07:27.327 --> 01:07:28.568]  And that's what they tried to do.
[01:07:29.028 --> 01:07:40.593]  For 27 months, 336 services of breaking their fake laws and holding unrestrained, unlimited gatherings in our local church.
[01:07:41.474 --> 01:07:46.376]  We had zero masking, zero vaxxing, zero socialism distancing.
[01:07:46.761 --> 01:07:47.361]  And you know what?
[01:07:47.842 --> 01:07:52.365]  The Supreme Court in the state of Louisiana said, you were right.
[01:07:53.425 --> 01:08:11.757]  Alex, 39 buses go out every Sunday morning from this church, covering an 80 mile radius, bringing in all races of people, all walks of life, all political persuasions, bringing them in where we feed them a hot meal.
[01:08:12.461 --> 01:08:14.863]  And then we give them spiritual food.
[01:08:15.183 --> 01:08:17.424]  And then we have baptisms and pray for people.
[01:08:17.745 --> 01:08:19.006]  And you know what we're telling them?
[01:08:19.586 --> 01:08:23.749]  We're telling them that God is greater than the virus.
[01:08:23.989 --> 01:08:25.610]  Faith is stronger than fear.
[01:08:26.110 --> 01:08:32.095]  And because of that, as I've stated, incurable diseases have been healed and so much.
[01:08:32.675 --> 01:08:42.468]   But now our attorney, Jeff Wittenbrink, who is our local representation, Chief Justice Roy Moore, Who also represents us.
[01:08:43.068 --> 01:08:51.272]  Here's what Jeff Wittenbrink, he said to me, he said, Pastor, the First Amendment does not give you your right to go to church and peaceably assemble.
[01:08:51.692 --> 01:08:56.955]  The First Amendment protects your right to practice your religion, go to church and peaceably assemble.
[01:08:57.555 --> 01:09:06.539]  Your right and duty to go to church and practice your religion is endowed to you by your Creator, God Almighty.
[01:09:07.360 --> 01:09:09.521]  And that's who the government wants to be.
[01:09:09.963 --> 01:09:12.545]  There are some pockets of resistance in government.
[01:09:13.106 --> 01:09:14.367]  Let's talk about that, Pastor.
[01:09:14.387 --> 01:09:14.887]  Gotta go to break.
[01:09:14.907 --> 01:09:15.308]  We'll come back.
[01:09:15.348 --> 01:09:15.928]  You're on fire.
[01:09:15.948 --> 01:09:16.389]  Stay with us.
[01:09:17.530 --> 01:09:22.534]  You know, we can't forget about the pastors arrested in Europe and the UK and Canada and the U.S.
[01:09:23.415 --> 01:09:26.798]  Pastor Arthur Pawlowski held for months without bail, now on house arrest.
[01:09:27.278 --> 01:09:33.724]  Arrested, what, six times for preaching the gospel and keeping his church open in Canada.
[01:09:34.946 --> 01:09:36.448]  That is what is going on.
[01:09:37.289 --> 01:09:38.531]  That is what is happening.
[01:09:39.072 --> 01:09:45.300]  Their desire from the UN down is to shut down our religious freedom and particularly target Christians.
[01:09:45.320 --> 01:09:50.107]  The UN even admits the last decade persecution of Christians doubled and then tripled.
[01:09:50.808 --> 01:09:52.650]  The level it was just a decade ago.
[01:09:52.710 --> 01:09:55.933]  This is a satanic world government being announced.
[01:09:56.093 --> 01:09:58.275]  Mark of the Beast, implantable microchips.
[01:09:58.355 --> 01:09:59.516]  Next hour I'm going to cover all that.
[01:09:59.536 --> 01:10:02.579]  But Pastor Tony Spell, we know there's going to be a giant revival.
[01:10:02.599 --> 01:10:03.700]  The Bible tells us so.
[01:10:04.221 --> 01:10:07.404]  During this period, we have the Great Falling Away and the Great Awakening.
[01:10:07.464 --> 01:10:26.437]   I'm not going to pretend to be a theologian or to even guess when Christ comes like a thief in the night, but clearly Prophecies being fulfilled, and this historic victory you've had, and I've read the ruling as well, it's posted on Infowars.com, the live show feed is just incredible, and the media spends it like, oh, you're out of trouble now, okay, you were bad, but the court said it was okay.
[01:10:26.477 --> 01:10:28.439]  No, they violated our rights.
[01:10:28.519 --> 01:10:29.699]  They violated your rights.
[01:10:29.959 --> 01:10:34.722]  They violated our sacred First Amendment that, as you said, guards our God-given rights.
[01:10:34.802 --> 01:10:37.044]  This is a raping that we've been through.
[01:10:37.104 --> 01:10:38.645]  You did your duty.
[01:10:38.705 --> 01:10:52.089]   You held fast And now you've been vindicated, but the fight is so important because we know more lockdowns are coming, as I said, and we know that it is the First Amendment that stands against forced inoculations and stands against martial law.
[01:10:52.649 --> 01:10:53.710]  And so thank you again.
[01:10:53.730 --> 01:10:55.110]  I know you don't want the thanks, but it's true.
[01:10:55.150 --> 01:10:57.231]  And your congregation is standing with you.
[01:10:57.271 --> 01:11:00.491]  And I know I read it got even bigger once this persecution happened.
[01:11:00.511 --> 01:11:05.593]  So if we just lean into the attack and don't cower, God will use us for greater things.
[01:11:05.633 --> 01:11:06.173]  Is that not true?
[01:11:07.554 --> 01:11:08.974]  That is the absolute truth.
[01:11:09.034 --> 01:11:10.255]  Ephesians 6.10.
[01:11:10.355 --> 01:11:14.436]  Finally, my brethren, be strong in the Lord and in the power of his might.
[01:11:14.816 --> 01:11:20.077]  Your strength is either derived from God Almighty or from another power.
[01:11:20.737 --> 01:11:22.398]  Saul was the people's choice.
[01:11:23.398 --> 01:11:25.899]  He was head and shoulders above every man in Israel.
[01:11:26.259 --> 01:11:30.580]  However, before he died a suicide, he consorted with witches.
[01:11:30.980 --> 01:11:34.021]  He derived his power from another world, hell itself.
[01:11:34.574 --> 01:11:37.636]  So, there are two classes of people in government today.
[01:11:37.736 --> 01:11:40.597]  See, as Lewis said, there's no neutral ground in the universe.
[01:11:41.138 --> 01:11:45.440]  Every square inch, every split second is either claimed by God or counterclaimed by the devil.
[01:11:46.000 --> 01:11:47.101]  So, here we are.
[01:11:47.561 --> 01:12:00.048]  We wrestle not against flesh and blood, Ephesians 6, 12, but against principalities, number one, against powers, against the rulers of the darkness of this world, three, and against spiritual wickedness in high places.
[01:12:00.568 --> 01:12:01.729]  Political powers.
[01:12:02.193 --> 01:12:04.834]  Supreme Court powers in the judicial branch.
[01:12:05.415 --> 01:12:09.436]  Legislative powers in the Senate and the Congress and in the executive branch.
[01:12:09.897 --> 01:12:15.919]  There are individuals that are possessed by God Almighty or they are possessed by Satan.
[01:12:16.239 --> 01:12:18.060]  And that's what we're fighting against.
[01:12:18.501 --> 01:12:23.363]  It's not, it's not Crazy Joe or it's not Kamala and her cackling.
[01:12:23.863 --> 01:12:30.366]  It's not King Edwards and his anti-God, godless orders that he gives.
[01:12:30.902 --> 01:12:35.464]  These people are empowered and possessed by another world.
[01:12:35.985 --> 01:12:37.685]  And we have righteous leaders.
[01:12:37.725 --> 01:12:41.587]  When the righteous are in power, the people rejoice.
[01:12:41.907 --> 01:12:46.150]  But when the unrighteous are in power, the people mourn because we know it's tyranny.
[01:12:46.370 --> 01:12:47.190]  So what do we have?
[01:12:48.091 --> 01:12:49.171]  Principalities.
[01:12:49.391 --> 01:12:51.832]  America has a principality right now.
[01:12:52.273 --> 01:12:54.734]  And there is loneliness that has come upon us.
[01:12:55.296 --> 01:13:00.979]  And even greater loneliness because of the seclusion and the reclusiveness that came from the lockdowns.
[01:13:01.319 --> 01:13:03.521]  Therefore, we have an identity crisis.
[01:13:04.121 --> 01:13:12.826]  You have the LGBTQ community that wants to inculcate into our children this spiritual wickedness.
[01:13:13.736 --> 01:13:22.240]  And the homos and the fags and the twinkies and the queers, they want to redefine what humanity is, like we have an identity crisis.
[01:13:22.340 --> 01:13:26.042]  No, man is made in God's image and after his likeness.
[01:13:26.642 --> 01:13:29.123]  We, the male and female, created he them.
[01:13:29.483 --> 01:13:30.764]  That's who we represent.
[01:13:31.204 --> 01:13:34.625]  God, our Father, and the church is our mother.
[01:13:34.925 --> 01:13:38.267]  That's why there's an attack to want to close down the church, Alex.
[01:13:38.667 --> 01:13:43.693]   They know if they can muzzle The preachers and the churches and close them.
[01:13:44.033 --> 01:13:45.814]  The next thing to go is the press.
[01:13:46.374 --> 01:13:49.535]  And then the next thing to go will be assembly.
[01:13:49.895 --> 01:13:52.136]  All assemblies will be deemed illegal.
[01:13:52.716 --> 01:13:53.277]  That's what Hitler did.
[01:13:53.337 --> 01:13:56.998]  And those Hitler things, by weaponizing the courts, they're not all controls.
[01:13:57.038 --> 01:13:58.979]  We just proved here with you, your great work.
[01:13:59.079 --> 01:14:04.541]  And then we've also got the attacks on our medical freedom and we've got the attacks on just everything.
[01:14:06.181 --> 01:14:06.921]  Exactly right.
[01:14:07.481 --> 01:14:09.542]  Spiritual wickedness in high places.
[01:14:09.882 --> 01:14:14.144]  Now, though we walk in the flesh, Alex, we do not war after the flesh.
[01:14:14.464 --> 01:14:17.425]  I appreciate what you said in your previous segment.
[01:14:18.205 --> 01:14:19.265]  Who do we go after?
[01:14:19.325 --> 01:14:20.626]  Do we storm the capital?
[01:14:20.646 --> 01:14:21.686]  Do we take up arms?
[01:14:22.606 --> 01:14:24.707]  There's too many of them in the flesh.
[01:14:25.327 --> 01:14:29.148]  We have to use spiritual weapons to fight a spiritual battle.
[01:14:29.208 --> 01:14:32.629]  If we fight carnal battles with carnal weapons, carnality wins.
[01:14:32.969 --> 01:14:34.330]  So we need spiritual weapons.
[01:14:35.091 --> 01:14:39.352]  And this is a sharp two-edged sword, this Bible is.
[01:14:39.372 --> 01:14:43.094]  66 books, 1189 chapters, 31,102 verses.
[01:14:43.814 --> 01:14:45.674]  Here's what we pray every day.
[01:14:46.395 --> 01:14:47.915]  Every day and throughout the day.
[01:14:48.315 --> 01:14:51.256]  And I want our audience to pray this as well.
[01:14:51.276 --> 01:14:52.617]  Please, Pastor, lead us in prayer.
[01:14:52.697 --> 01:14:53.657]  Pastor Tony Spell.
[01:14:54.797 --> 01:14:55.437]  Jeremiah 17, 18.
[01:14:56.958 --> 01:14:59.959]  Let them be confounded that persecute me.
[01:15:00.558 --> 01:15:02.360]  Only let not me be confounded.
[01:15:02.741 --> 01:15:04.322]  Let them be dismayed.
[01:15:04.723 --> 01:15:06.405]  Only let not me be dismayed.
[01:15:06.765 --> 01:15:11.630]  Bring upon them the day of trouble and destroy them with double destruction.
[01:15:12.051 --> 01:15:14.473]  That's what Jeremiah prayed in the Old Testament.
[01:15:14.794 --> 01:15:16.616]  He knew his enemies were too big.
