[00:00:00.309 --> 00:00:04.113]  The COVID crisis was the beginning of the collapse of civilization by design.
[01:03:06.236 --> 01:03:12.995]   Now the Germans, going along with this idea that they could smash Russia via this crisis
[01:03:12.995 --> 01:03:17.275]  in Ukraine, have cut themselves off from Russian gas.
[01:03:17.704 --> 01:03:20.506]  And it's important to understand they're never going to get it back.
[01:03:20.987 --> 01:03:32.777]   The Russians will never provide them with gas in the same scale, in the same way that they did previously. So the Germans have now locked themselves in to
[01:03:32.777 --> 01:03:39.277]   a situation of long-term uncompetitiveness. They're going to pay an awful lot more
[01:03:39.277 --> 01:03:44.657]   for their energy than other countries, more for their energy than the United States,
[01:03:44.657 --> 01:03:51.086]   which produces most of its energy, more for its energy than, say, China will, because
[01:03:51.086 --> 01:03:58.367]   China will be getting energy from Russia. So the Germans have set themselves up for the
[01:03:58.367 --> 01:04:07.626]   deindustrialization of their country, for a prolonged industrial crisis in Germany, and it's
[01:04:07.626 --> 01:04:14.427]   impossible to see how that can be turned round. And of course, on top of that, you have in
[01:04:14.427 --> 01:04:24.646]   Europe a political structure that's been built up over the last 70 years, which is incredibly
[01:04:24.646 --> 01:04:26.067]  stifling.
[01:04:26.024 --> 01:04:40.323]  It's not got much democratic legitimacy or vitality because power has been drained away from the states to the EU centre, which remains, and it's important to say this, unelected.
[01:04:40.862 --> 01:04:49.725]  That means that the Centre cannot itself make decisions which people around Europe are really going to sign up to and accept.
[01:04:49.946 --> 01:05:00.670]  You know, when the EU Centre talks about sacrifices, why should people accept those sacrifices when they're demanded of them by people who are unelected?
[01:05:01.170 --> 01:05:15.384]   But at the same time, the EU Centre itself, and by extension if you like, the people who run things in Germany, Don't like strong sovereign states across Europe able to make their own decisions.
[01:05:15.865 --> 01:05:21.134]  And that means that we have no political class, no political leadership.
[01:05:21.838 --> 01:05:27.702]  Anywhere in Europe that can actually plan and find a way out of this problem.
[01:05:28.122 --> 01:05:30.364]  So we are in a very, very bad place.
[01:05:30.964 --> 01:05:49.177]  Far worse than the one you will find in the United States, where you still have a high degree, a real degree of vitality in your political system and where your economy is much better, much more self-sufficient and far more resilient in face of these kinds of problems.
[01:05:50.177 --> 01:06:05.190]  And Alex, it doesn't look like there's much hope in the UK elections to replace BoJo, Boris Johnson, and that both candidates that appear to be there seem to be featuring the same defects of policy decision-making that Boris Johnson himself represented.
[01:06:05.530 --> 01:06:10.875]  It looks almost like a pre-Trump American electoral scene of twiddle dumb or twiddle dumber.
[01:06:11.515 --> 01:06:17.701]  What's your take on the UK prospects of the two existing... Does it matter which candidate wins the UK primary contest?
[01:06:19.392 --> 01:06:31.295]  Not really, but in Greece we have a saying, Robert, we say in politics, especially when you get to the level of Prime Minister or President, we always say the next guy is going to be worse than the previous guy.
[01:06:31.615 --> 01:06:34.715]  And I think you're seeing that in the UK play out.
[01:06:35.255 --> 01:06:42.677]  I don't think it matters too much whether it's Sunak or Truss, but all indicators point to Truss at the moment.
[01:06:43.297 --> 01:06:52.419]   But either way, I think you're going to get a much A much worse version of Boris Johnson at 10 Downing Street.
[01:06:52.599 --> 01:07:09.542]  And if it's any indication what to expect from the next Prime Minister of the UK, all you have to do is look at that viral video that is making the rounds on the interwebs, where during the debate, it appears that the host of the debate fainted or had some sort of medical issue.
[01:07:09.702 --> 01:07:13.763]  And you could just see the reaction from Truss, the panic and the fear.
[01:07:13.963 --> 01:07:15.203]  And she almost ran away.
[01:07:16.063 --> 01:07:22.146]  No doubt about it.
[01:07:22.286 --> 01:07:36.654]  When we come back on the bottom half of the hour, we'll discuss whether or not the Biden administration will end up waging war in China.
[01:07:37.234 --> 01:07:41.016]  We want to remind all of you that you are the front line in InfoWars.
[01:07:41.116 --> 01:07:53.385]   The reason why InfoWars still exists Despite the massive media assaults and attacks on InfoWars, on Alex Jones, the weaponized lawfare taking place is because you, the audience, keep it alive.
[01:07:53.765 --> 01:07:55.006]  You are the front line.
[01:07:55.307 --> 01:07:59.370]  So I like to say, never forgive, never forget.
[01:07:59.930 --> 01:08:01.010]  Hold the line.
[01:08:01.470 --> 01:08:04.531]  It is up to you to hold the line for InfoWars.
[01:08:04.871 --> 01:08:06.832]  To keep InfoWars on the air.
[01:08:07.132 --> 01:08:08.792]  To keep that information out there.
[01:08:08.852 --> 01:08:15.153]  Because this is not only about Alex Jones' right to speak, it is more importantly about your right to listen.
[01:08:15.493 --> 01:08:16.534]  Your right to hear.
[01:08:16.894 --> 01:08:22.055]  Your right to find independent information and you get to evaluate its credibility or confidence.
[01:08:22.415 --> 01:08:34.584]  In the same way, it's only InfoWars that has brought to you independent voices from across the globe that are independent of and separate from InfoWars, like the Duran that you can find at theduran.locals.com.
[01:08:35.045 --> 01:08:36.426]  The Duran, like the band.
[01:08:36.906 --> 01:08:38.968]  And so, continue to support InfoWars.
[01:08:39.028 --> 01:08:40.629]  Go to InfoWarsStore.com.
[01:08:41.009 --> 01:08:44.552]  Find the things that make you healthier, wealthier, and wiser.
[01:08:44.972 --> 01:08:45.252]  How?
[01:08:45.352 --> 01:08:50.236]  Because the products are products that are often at a competitive or below competitive price level.
[01:08:50.476 --> 01:08:54.719]  There's something on there that you can find value from that you're using in your everyday life.
[01:08:55.079 --> 01:08:56.140]  You can do so.
[01:08:56.240 --> 01:08:56.540]  Why?
[01:08:56.840 --> 01:08:58.381]  Because you are the front of the line.
[01:08:58.662 --> 01:09:02.704]  My great-granddaddy was the Colonel Prescott who said, don't shoot until you see the whites of their eyes.
[01:09:03.065 --> 01:09:04.866]  Well, you can continue to hold the line.
[01:09:05.166 --> 01:09:06.667]  Go to Infowarsstore.com.
[01:09:06.767 --> 01:09:08.969]  When we come back, are we going to war with China?
[01:09:09.389 --> 01:09:11.472]  Welcome back to the Alex Jones Show!
[01:09:11.532 --> 01:09:13.234]  This is Robert Barnes hosting.
[01:09:13.634 --> 01:09:24.006]  We are on with the Duran, who you can find at theduran.locals.com as well as in a range of other platforms from YouTube to Rumble from BitChute to Odyssey.
[01:09:25.027 --> 01:09:39.724]  Let's talk about one of the topics that's on a lot of people's minds because after it looked like we were risking World War 3 with Russia, now it looks like aspects of our deep state and the Biden administration want to see if maybe we could have World War 3 with China instead!
[01:09:40.725 --> 01:09:51.051]  Indeed, the logic where we suddenly saw a bunch of articles exposing a range of issues about China's influence in America, all out of the blue, back-to-back, by institutional media.
[01:09:51.391 --> 01:09:56.054]  Suddenly we're now concerned with China buying up US real estate near military bases.
[01:09:56.294 --> 01:10:03.258]  Suddenly we're now concerned with their telecom giants buying property near places that could interfere with our nuclear arsenal.
[01:10:03.518 --> 01:10:08.557]   Suddenly now, General Milley is running around, Mr. Wilkster, running around Southeast Asia
[01:10:08.557 --> 01:10:10.997]  saying China is the great threat.
[01:10:10.997 --> 01:10:14.557]   Even the UK premier candidates were on script when they saw that.
[01:10:14.557 --> 01:10:17.297]   Then they started talking about China being the great threat.
[01:10:17.297 --> 01:10:21.978]   Now we're sending Nancy Pelosi herself, who just in a drunken stupor might lead to World
[01:10:21.978 --> 01:10:24.518]  War III, going to Taiwan.
[01:10:24.518 --> 01:10:29.237]   So the question is, how much risk are we that once again the globalists in the White House
[01:10:29.237 --> 01:10:35.158]   and the incompetents in the Biden administration may stumble and bumble us into World War III?
[01:10:35.158 --> 01:10:39.957]  Alexander, how big is the risk that we go to war with China?
[01:10:39.957 --> 01:10:41.478]  I'm afraid it's a real risk.
[01:10:41.478 --> 01:10:46.478]   And can I just say stumble and bumble is about the right word, because what I think has happened
[01:10:46.478 --> 01:10:51.518]   is that we've gone from a position which was Donald Trump's position, which is that we
[01:10:51.518 --> 01:10:54.637]  start to push back on China in economics.
[01:10:54.637 --> 01:10:56.318]  We impose tariffs.
[01:10:56.318 --> 01:10:57.318]  We do.
[01:10:57.481 --> 01:11:11.212]  We root out Chinese companies, we root out Chinese influence, we build up the industrial base of the United States, we deal with, you know, we look at, we concern ourselves with the welfare of the United States.
[01:11:11.592 --> 01:11:19.158]  We've gone from that perspective towards China, which is a fully legitimate one, and one which the Chinese themselves understood.
[01:11:19.458 --> 01:11:22.160]  They may not have liked it, but they understood it.
[01:11:22.740 --> 01:11:54.717]   To a geopolitical confrontation with China, An attempt, if you like, to roll back Chinese influence, not because it concerns the United States, the welfare of the United States, in the same way that Trump was worried about, but because China in some ways is seen as standing in the way of the globalist project, the WEF project, because the Chinese have managed to turn it to their own advantage and they've been increasing their power in a way that some people don't like.
[01:11:55.277 --> 01:12:04.361]  So we've had these strange moves over Taiwan, which I don't think, frankly, was a real problem a short time ago.
[01:12:04.381 --> 01:12:08.462]  I don't think the Chinese were planning an invasion of Taiwan.
[01:12:08.943 --> 01:12:21.408]  But the way this whole thing has been arranged, with Pelosi going, with all this rhetoric about opening up what is in effect a Taiwanese embassy in Washington, that's suddenly become an issue.
[01:12:22.088 --> 01:12:33.737]   And what's made this whole thing utterly toxic It's at the same time that the United States has been making these moves over Taiwan, which are hostile to China.
[01:12:34.177 --> 01:12:42.918]  We have Biden coming along and telling Xi Jinping, well actually we continue with our one China policy.
[01:12:43.238 --> 01:12:45.859]  We still accept that Taiwan is part of China.
[01:12:46.159 --> 01:12:49.599]  We still recognize your government as the government of China.
[01:12:50.099 --> 01:12:52.940]  And the Chinese, whatever they are, they're not stupid.
[01:12:53.567 --> 01:12:58.475]  And they can see that this is a game which is a double game that is being played.
[01:12:59.056 --> 01:13:09.031]   And Xi Jinping actually told Biden, you can actually see it in the Chinese readout, you tell me one thing, And your administration does another.
[01:13:09.511 --> 01:13:12.333]  In other words, I don't trust you.
[01:13:12.993 --> 01:13:20.897]  And where trust goes between two powerful countries like China and the United States, it becomes impossible.
